InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroZ
1772.0;-30;474;902.0;-93;-4855.0;?;?
1472.0;-15;478;897.0;?;-3568.0;15;773.0
?;34;485;?;-99;?;-34;646.0
?;?;484;?;-102;-184.0;-31;998.0
656.0;?;480;896.0;-91;447.0;?;954.0
122.0;?;484;897.0;?;560.0;-16;585.0
-225.0;-13;489;?;-99;424.0;13;252.0
-312.0;?;488;931.0;-94;?;19;-89.0
-335.0;8;?;918.0;-91;434.0;?;?
-347.0;?;?;890.0;-86;?;6;-309.0
-276.0;23;487;?;-98;348.0;-23;-338.0
-207.0;34;480;918.0;-101;?;-34;-323.0
-123.0;7;486;889.0;-97;?;-7;-210.0
?;-19;?;?;?;-36.0;?;-163.0
9.0;-24;486;?;-91;-21.0;?;-16.0
10.0;7;?;909.0;-104;-43.0;-7;27.0
-81.0;7;484;912.0;-104;?;-7;?
-190.0;-3;?;915.0;-92;300.0;3;-32.0
-283.0;38;490;923.0;?;727.0;-38;-456.0
263.0;-13;492;?;-90;-159.0;13;306.0
271.0;5;493;931.0;-99;-121.0;-5;249.0
238.0;12;489;?;?;-68.0;-12;?
211.0;?;487;?;-89;?;26;247.0
213.0;?;487;?;-93;?;24;268.0
?;-5;?;915.0;?;16.0;5;263.0
?;-5;491;944.0;-99;-64.0;5;?
?;31;488;893.0;?;-237.0;?;412.0
?;32;492;?;-81;?;-32;543.0
632.0;-15;494;933.0;-94;-555.0;?;729.0
773.0;-4;484;915.0;-91;-875.0;4;931.0
828.0;16;488;906.0;-83;-1402.0;-16;1189.0
980.0;?;489;?;-92;-1320.0;-13;1491.0
1339.0;?;485;907.0;-89;-1430.0;2;1759.0
1479.0;?;492;927.0;-90;?;?;?
1711.0;?;488;?;-95;-1603.0;-3;2553.0
1871.0;7;484;918.0;?;-1641.0;-7;3090.0
?;-4;486;?;-89;?;4;3618.0
2009.0;-28;488;927.0;-89;-1709.0;28;?
?;-2;489;929.0;-82;-1604.0;2;?
1898.0;?;487;922.0;-88;-1762.0;-12;4575.0
?;-28;?;919.0;-91;-1631.0;?;4471.0
1540.0;16;493;?;-86;-1971.0;-16;4062.0
?;7;486;901.0;-84;?;-7;3799.0
723.0;-16;487;940.0;-85;-1289.0;?;3558.0
507.0;5;488;907.0;-85;-875.0;-5;3504.0
387.0;-17;?;907.0;-87;-717.0;17;3209.0
245.0;1;491;934.0;-91;-516.0;?;3117.0
-62.0;-1;?;?;-86;?;?;3258.0
-38.0;2;487;?;-80;-937.0;-2;3408.0
?;16;493;?;-87;-635.0;-16;3376.0
302.0;-13;?;?;-93;-244.0;13;3020.0
619.0;-17;481;926.0;-91;-96.0;17;2492.0
933.0;-6;?;913.0;-91;156.0;6;1969.0
1029.0;-12;484;911.0;-88;?;12;1526.0
1099.0;-23;488;933.0;-86;911.0;?;1340.0
?;?;487;925.0;-87;1572.0;6;1168.0
1030.0;18;492;919.0;?;1419.0;-18;871.0
818.0;16;491;904.0;-87;697.0;-16;702.0
933.0;?;491;922.0;?;1206.0;-16;645.0
961.0;3;491;915.0;-89;1592.0;?;473.0
805.0;-16;485;924.0;-88;1502.0;16;350.0
663.0;-11;484;906.0;-92;1339.0;11;274.0
550.0;?;488;925.0;-95;1275.0;?;?
367.0;17;487;?;-89;1057.0;-17;100.0
181.0;-27;487;920.0;-92;900.0;27;22.0
296.0;0;486;?;-92;?;0;?
171.0;18;?;917.0;-93;484.0;-18;-294.0
39.0;23;489;918.0;-94;289.0;?;-389.0
?;49;489;923.0;?;307.0;-49;-409.0
?;?;?;928.0;-82;319.0;-28;-410.0
-133.0;24;?;930.0;-88;258.0;-24;-282.0
-128.0;28;491;909.0;-84;86.0;-28;-169.0
-55.0;28;492;915.0;-98;-59.0;-28;-153.0
-33.0;20;496;936.0;-118;-133.0;-20;-80.0
?;-8;500;907.0;?;-105.0;8;-43.0
12.0;3;499;923.0;-108;-68.0;-3;-18.0
17.0;4;?;915.0;?;?;-4;?
64.0;-33;?;932.0;-99;91.0;33;-4.0
101.0;-28;494;905.0;-84;174.0;?;12.0
159.0;-2;482;927.0;-91;242.0;?;-69.0
200.0;-20;?;?;-92;270.0;20;-75.0
266.0;-30;490;917.0;-70;308.0;30;-36.0
306.0;-2;488;926.0;-68;313.0;2;?
381.0;?;?;933.0;?;?;-13;-118.0
393.0;11;?;907.0;-78;337.0;-11;-96.0
400.0;-31;?;?;-71;517.0;31;-31.0
393.0;?;495;912.0;-77;?;35;?
503.0;22;492;916.0;-74;611.0;-22;57.0
525.0;-6;492;900.0;-52;594.0;?;143.0
?;-51;498;894.0;-81;676.0;?;301.0
482.0;?;497;?;-95;553.0;44;411.0
?;-18;?;931.0;-67;402.0;18;?
?;27;485;942.0;-62;?;-27;534.0
463.0;13;486;?;-70;202.0;-13;489.0
418.0;-21;?;990.0;?;173.0;21;459.0
439.0;7;?;909.0;?;283.0;-7;?
422.0;30;486;917.0;-80;273.0;-30;312.0
376.0;10;484;951.0;-90;?;-10;266.0
?;-6;498;?;-102;476.0;6;247.0
285.0;-14;496;?;?;467.0;14;215.0
223.0;-32;?;948.0;?;446.0;32;?
?;-53;496;921.0;-85;470.0;53;?
143.0;?;489;944.0;-84;465.0;79;135.0
?;-49;486;938.0;-58;455.0;?;110.0
38.0;-6;487;938.0;?;407.0;6;110.0
44.0;-11;?;941.0;?;341.0;11;109.0
-1.0;46;470;943.0;35;315.0;-46;94.0
29.0;122;458;907.0;-257;231.0;-122;43.0
-1.0;?;?;942.0;?;178.0;-195;30.0
-12.0;?;?;969.0;27;114.0;-172;50.0
-24.0;12;543;950.0;-160;120.0;-12;31.0
-41.0;-43;505;?;-156;111.0;43;?
?;-34;480;975.0;-8;85.0;34;-41.0
?;48;488;946.0;-91;-178.0;-48;-40.0
?;-5;494;?;-89;-138.0;5;-25.0
8.0;-45;497;938.0;-92;-104.0;?;-15.0
58.0;?;?;954.0;-97;-90.0;20;14.0
79.0;4;491;939.0;-88;?;?;56.0
94.0;14;484;931.0;-68;-39.0;-14;79.0
81.0;?;489;?;-75;-77.0;18;128.0
91.0;?;490;952.0;-79;-24.0;40;167.0
?;?;484;932.0;?;?;17;167.0
143.0;-3;490;958.0;-80;-13.0;3;143.0
151.0;-27;491;976.0;-78;-10.0;?;?
?;-23;485;940.0;-87;92.0;23;161.0
166.0;-17;487;?;-95;243.0;17;214.0
160.0;-63;488;984.0;-78;284.0;63;184.0
183.0;-68;?;917.0;-99;387.0;68;140.0
185.0;-26;486;921.0;-73;445.0;26;170.0
?;?;473;930.0;-36;516.0;19;179.0
198.0;-13;489;944.0;-80;623.0;13;?
210.0;?;495;924.0;-76;642.0;-15;?
232.0;?;476;934.0;-46;667.0;-12;?
230.0;?;?;928.0;-71;599.0;16;?
252.0;-7;492;?;-61;?;7;130.0
236.0;6;?;961.0;-68;480.0;-6;160.0
214.0;5;480;?;-66;503.0;-5;186.0
239.0;5;489;?;-73;449.0;-5;181.0
?;?;486;929.0;-113;380.0;-7;?
144.0;52;484;?;7;292.0;-52;169.0
106.0;88;423;961.0;0;254.0;-88;150.0
25.0;?;459;966.0;-14;100.0;-146;118.0
-39.0;107;555;950.0;?;-125.0;-107;59.0
-30.0;-61;?;?;?;-276.0;61;-6.0
-91.0;?;485;?;-278;-278.0;61;4.0
?;-22;496;962.0;-40;-319.0;22;-61.0
?;-54;481;941.0;-35;-302.0;54;-51.0
-178.0;-43;?;970.0;-105;-334.0;43;-110.0
-236.0;-27;?;951.0;-85;-367.0;?;-161.0
-244.0;?;?;985.0;?;-200.0;8;?
?;-11;488;889.0;-65;-609.0;11;-284.0
?;-19;493;936.0;?;-804.0;19;0.0
-398.0;7;484;?;?;56.0;-7;266.0
-216.0;-4;486;667.0;?;-298.0;4;8.0
-234.0;-27;495;1204.0;-75;-125.0;27;-199.0
?;?;489;2011.0;-60;-343.0;8;-267.0
-128.0;-20;497;448.0;-97;-291.0;20;-89.0
-181.0;-23;?;1379.0;-87;-206.0;?;102.0
?;?;470;502.0;-43;12.0;2;100.0
-70.0;-40;493;939.0;-80;?;40;-78.0
-56.0;-37;502;?;-72;-186.0;37;?
-40.0;31;469;1103.0;?;-223.0;-31;-204.0
-8.0;33;476;917.0;?;-161.0;-33;-108.0
20.0;27;498;993.0;-112;-129.0;-27;-37.0
8.0;14;?;937.0;?;-201.0;-14;44.0
38.0;-36;489;939.0;-70;-166.0;36;74.0
65.0;-39;?;957.0;-58;-113.0;39;27.0
?;-28;491;961.0;-64;-67.0;28;?
83.0;?;?;960.0;-68;33.0;?;?
88.0;-23;492;?;-65;106.0;23;?
112.0;-10;484;?;?;27.0;10;-26.0
136.0;23;473;937.0;-34;-107.0;-23;16.0
?;38;483;971.0;?;-237.0;-38;?
97.0;?;500;929.0;-79;-283.0;?;100.0
115.0;8;?;960.0;-69;-236.0;-8;82.0
?;?;490;964.0;-57;-173.0;?;7.0
99.0;0;489;?;-85;?;0;19.0
80.0;21;?;?;-117;-116.0;?;31.0
94.0;?;494;957.0;?;-93.0;-18;?
?;?;483;?;-24;?;?;?
148.0;-37;495;978.0;-77;?;37;60.0
142.0;?;?;792.0;?;?;40;91.0
144.0;-82;473;935.0;3;45.0;82;135.0
167.0;?;499;1035.0;?;135.0;?;200.0
181.0;?;?;846.0;-59;192.0;90;?
?;-113;479;?;-19;200.0;?;220.0
173.0;-108;517;953.0;-61;181.0;108;208.0
173.0;?;424;935.0;?;209.0;179;?
?;39;293;908.0;?;304.0;-39;200.0
218.0;288;438;930.0;?;?;-288;?
172.0;?;594;943.0;-224;326.0;-133;188.0
149.0;80;535;904.0;-29;283.0;?;132.0
133.0;21;478;961.0;?;171.0;-21;111.0
?;-41;499;?;-40;135.0;41;67.0
58.0;47;498;946.0;-1;?;-47;58.0
?;24;482;915.0;?;-47.0;?;36.0
16.0;?;493;950.0;-66;-132.0;-22;25.0
?;20;488;937.0;-61;?;-20;59.0
44.0;4;489;965.0;-80;-107.0;-4;80.0
19.0;?;485;919.0;?;-68.0;-5;90.0
40.0;2;485;952.0;?;25.0;-2;?
42.0;28;?;947.0;?;-22.0;-28;62.0
?;?;497;?;-72;-37.0;-33;?
11.0;8;?;?;?;-64.0;-8;26.0
26.0;-9;492;934.0;-83;-32.0;?;29.0
27.0;-27;?;957.0;-79;23.0;27;17.0
27.0;-7;488;929.0;-74;-91.0;7;32.0
34.0;?;494;962.0;?;?;-27;69.0
19.0;?;496;910.0;-76;-10.0;-19;83.0
34.0;?;?;948.0;-69;-33.0;-17;?
46.0;1;493;916.0;-71;-70.0;-1;?
86.0;?;493;?;-80;-49.0;8;41.0
107.0;18;?;927.0;-78;-111.0;-18;?
?;0;?;944.0;-69;-77.0;?;?
72.0;?;498;978.0;-115;-56.0;-23;119.0
116.0;-7;489;971.0;-54;8.0;7;124.0
112.0;-31;?;?;-87;110.0;31;?
84.0;76;517;?;-165;78.0;-76;107.0
?;-59;466;928.0;68;?;59;74.0
?;-185;?;883.0;57;45.0;185;117.0
112.0;51;464;931.0;?;67.0;-51;120.0
100.0;120;492;897.0;105;?;-120;125.0
46.0;?;?;935.0;-176;3.0;79;100.0
34.0;-87;495;924.0;-192;?;87;61.0
9.0;-6;?;945.0;-58;-41.0;?;?
-8.0;-29;490;924.0;-54;-42.0;29;?
?;?;?;951.0;-34;-46.0;33;-2.0
-30.0;?;487;?;-50;-23.0;15;-48.0
?;?;493;962.0;-72;?;17;20.0
-208.0;-18;483;?;-63;288.0;18;137.0
?;-15;487;940.0;-69;-277.0;15;-126.0
-85.0;-20;490;?;-78;-1230.0;?;-187.0
?;?;487;718.0;-72;-369.0;?;180.0
?;7;482;?;-76;655.0;-7;465.0
47.0;5;483;1194.0;?;465.0;-5;318.0
24.0;3;484;965.0;-74;?;?;184.0
?;?;477;671.0;-79;302.0;-14;176.0
-95.0;11;482;?;?;?;-11;88.0
-129.0;?;484;?;?;?;-2;22.0
-124.0;-7;482;835.0;-88;?;7;-41.0
?;4;491;?;-75;-334.0;-4;?
-95.0;28;?;934.0;-85;?;?;-142.0
-62.0;-2;485;888.0;-83;-318.0;?;-124.0
-83.0;-19;483;991.0;-70;?;?;-71.0
-95.0;?;483;952.0;-72;-105.0;2;-106.0
?;-7;?;?;-74;-88.0;7;-100.0
-95.0;?;491;936.0;-74;?;?;-79.0
-75.0;1;484;908.0;-79;?;-1;-92.0
-74.0;20;?;926.0;-84;-91.0;-20;-84.0
?;26;487;939.0;-83;-89.0;-26;-51.0
-31.0;11;?;?;-76;?;-11;?
-52.0;5;481;940.0;-71;-133.0;?;-56.0
-54.0;5;485;?;-80;-201.0;-5;-67.0
-45.0;-10;?;929.0;?;-265.0;10;-26.0
?;?;483;933.0;-83;?;?;27.0
-21.0;27;485;925.0;-77;-50.0;-27;-5.0
-32.0;?;?;923.0;-80;-39.0;-61;-32.0
-36.0;36;489;932.0;-90;?;-36;-62.0
-12.0;36;501;?;-92;-47.0;-36;-39.0
5.0;33;?;934.0;-76;?;-33;14.0
13.0;19;494;950.0;-89;-39.0;-19;39.0
22.0;7;498;?;-119;-64.0;-7;39.0
26.0;-25;?;924.0;-96;-63.0;25;?
7.0;-14;494;938.0;-64;-71.0;14;61.0
29.0;7;?;935.0;-81;-73.0;-7;75.0
56.0;-44;?;922.0;-92;-112.0;44;58.0
52.0;-57;500;922.0;-77;?;57;37.0
75.0;-12;481;931.0;-81;?;12;83.0
85.0;-36;495;929.0;-55;-27.0;36;144.0
?;22;491;939.0;-63;25.0;-22;210.0
175.0;92;465;916.0;-118;26.0;-92;200.0
238.0;-66;512;974.0;?;-15.0;66;233.0
261.0;-43;438;923.0;-18;40.0;?;?
?;160;404;939.0;42;210.0;-160;305.0
262.0;82;539;906.0;24;338.0;-82;327.0
?;?;543;909.0;-120;324.0;84;321.0
246.0;-41;?;930.0;?;278.0;41;256.0
?;65;501;930.0;-91;144.0;-65;140.0
164.0;28;508;948.0;-84;210.0;?;175.0
?;-50;489;939.0;-44;183.0;50;136.0
?;?;487;956.0;-64;?;61;79.0
-47.0;-61;497;966.0;-107;117.0;61;91.0
-129.0;-44;489;?;?;387.0;44;?
-51.0;-30;486;1006.0;-78;28.0;30;-9.0
-125.0;-27;487;780.0;-80;-220.0;27;71.0
-74.0;-29;?;888.0;?;?;29;283.0
-29.0;-27;487;804.0;?;536.0;27;237.0
-22.0;-28;487;1929.0;-79;26.0;?;-116.0
-131.0;-40;490;-117.0;-80;?;?;?
-115.0;-23;481;942.0;?;?;23;-4.0
?;-23;473;1245.0;-82;?;23;90.0
-73.0;-21;?;782.0;-82;153.0;21;?
-31.0;20;?;828.0;?;?;?;-124.0
-34.0;18;?;944.0;-73;32.0;-18;-233.0
-37.0;-12;479;981.0;-73;-131.0;?;-297.0
?;-20;?;902.0;-77;-122.0;20;-154.0
-82.0;-12;481;?;-70;-88.0;?;-121.0
-73.0;-3;?;969.0;-77;-163.0;3;-102.0
?;6;477;930.0;-89;?;-6;-91.0
-94.0;6;481;930.0;?;-200.0;-6;-20.0
-77.0;?;486;963.0;-77;-145.0;13;-30.0
-81.0;-19;?;?;-80;?;19;-19.0
-95.0;?;487;950.0;?;-133.0;16;-52.0
-40.0;?;487;930.0;-78;-162.0;16;-72.0
-32.0;?;483;950.0;?;-162.0;-7;?
-29.0;17;479;961.0;?;-114.0;-17;-43.0
-23.0;-5;485;961.0;-71;?;?;-3.0
?;2;487;951.0;?;-134.0;-2;19.0
-16.0;-3;484;?;-94;-87.0;3;?
-19.0;-17;?;?;-89;-99.0;17;25.0
-27.0;?;487;954.0;?;-81.0;?;37.0
?;?;488;949.0;?;-38.0;7;?
-33.0;?;?;935.0;?;-57.0;-5;-3.0
-9.0;-13;481;940.0;-82;?;13;-3.0
-25.0;-23;487;?;-86;?;?;-22.0
-17.0;28;484;?;-87;?;-28;-32.0
0.0;36;486;937.0;-87;-90.0;-36;-11.0
-1.0;-10;?;944.0;-87;?;?;-17.0
-17.0;?;491;932.0;-85;-98.0;?;5.0
-1.0;21;?;955.0;?;-67.0;-21;2.0
-11.0;?;479;?;-84;-81.0;?;13.0
-26.0;36;484;?;-86;-83.0;-36;39.0
15.0;16;491;952.0;?;-58.0;-16;?
-31.0;-7;481;940.0;-83;?;7;29.0
-11.0;13;481;?;-77;-59.0;-13;2.0
7.0;4;?;?;-89;-85.0;-4;-29.0
-10.0;?;487;938.0;-87;?;?;2.0
-19.0;16;488;?;-79;-114.0;-16;7.0
-31.0;16;484;957.0;-91;?;-16;15.0
-44.0;51;489;936.0;-91;-109.0;-51;3.0
-38.0;58;?;924.0;-85;-109.0;-58;21.0
-3.0;46;488;940.0;-89;-119.0;-46;19.0
-40.0;65;?;936.0;-82;-122.0;-65;16.0
19.0;?;497;925.0;-90;-85.0;-42;57.0
34.0;?;503;929.0;-104;-9.0;?;49.0
-7.0;27;494;941.0;-86;-30.0;-27;59.0
-5.0;12;490;934.0;-90;19.0;-12;54.0
-10.0;6;?;924.0;?;-81.0;-6;?
-15.0;?;494;915.0;?;-124.0;2;33.0
-25.0;-16;489;935.0;-90;-66.0;?;45.0
?;13;489;?;-93;-28.0;?;49.0
-24.0;20;497;942.0;-93;?;-20;-19.0
-42.0;9;?;938.0;-93;-70.0;-9;-43.0
-50.0;-1;490;?;-91;-53.0;1;-52.0
-73.0;?;491;?;?;-55.0;4;-60.0
-114.0;18;?;?;-101;-12.0;-18;-26.0
?;36;485;914.0;-98;69.0;-36;-86.0
-10.0;51;494;906.0;-99;37.0;-51;-147.0
84.0;23;492;930.0;-97;-185.0;-23;-86.0
145.0;-21;493;?;?;-265.0;21;60.0
131.0;7;496;?;?;?;-7;184.0
73.0;25;489;?;-103;-169.0;-25;355.0
