InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;Accelerometer RKN^ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
-3;-9;12;?;-9;-15;-61.0;12
?;2;19;?;2;-12;-40.0;19
0;24;0;?;?;-15;-4.0;?
?;-18;-10;-883;-18;-17;-18.0;-10
?;-27;-2;-886;-27;?;-38.0;-2
?;-2;3;?;-2;?;-55.0;3
2;-13;-2;-885;-13;-19;-28.0;?
-5;-27;-10;-884;-27;?;1.0;-10
-4;-16;1;-884;-16;-18;3.0;?
?;?;-3;?;-4;-15;23.0;-3
?;-23;?;-883;?;-19;-5.0;-28
?;-15;14;-883;-15;-25;?;14
0;?;21;?;-10;-18;-20.0;21
-9;-40;-9;-882;-40;-12;0.0;-9
3;-46;?;-880;-46;-14;10.0;21
8;-22;?;-880;-22;-16;21.0;?
-4;0;1;-888;0;-23;18.0;1
-8;-28;-5;-889;-28;-21;7.0;-5
-3;?;-24;-884;-41;-16;-19.0;-24
2;?;?;-884;0;-19;-8.0;-5
2;-4;11;-886;-4;?;8.0;11
-2;-12;15;-882;-12;-15;3.0;15
-4;20;41;?;20;-17;7.0;41
-3;19;24;-887;?;-18;-7.0;24
?;?;-4;?;18;-20;-13.0;-4
?;11;1;-886;?;-19;6.0;?
-4;-24;?;-886;-24;-18;17.0;-9
-5;-26;?;-883;-26;-19;39.0;-3
?;-27;-1;-886;-27;-19;39.0;-1
?;?;-15;-882;14;-15;50.0;-15
-4;43;-4;-880;43;?;?;-4
-9;-10;0;-883;-10;-19;?;?
5;-17;?;-878;?;-16;?;0
10;-4;12;-880;-4;-19;?;12
-3;-1;-6;-881;-1;-14;-87.0;-6
-5;?;-21;-885;?;?;?;-21
-4;41;14;-885;41;-24;-5.0;14
?;13;41;-871;13;-15;8.0;41
0;5;7;-872;5;-15;?;7
2;5;-25;-878;?;-19;31.0;?
6;14;4;-874;14;-14;26.0;4
6;30;?;-878;30;-17;?;0
?;?;-19;-881;7;-20;-14.0;-19
?;7;1;-880;7;-16;-3.0;1
?;27;2;-887;27;-20;-19.0;2
-3;-16;-5;-886;-16;-21;0.0;-5
1;-7;?;-879;-7;-15;0.0;-16
0;34;1;-881;34;-18;?;1
-4;?;?;-881;-9;?;?;-7
-1;-25;-18;-882;-25;-18;19.0;-18
3;3;37;?;3;-20;4.0;?
-3;1;4;-877;1;-18;-15.0;4
-1;21;?;-876;?;-17;1.0;?
?;13;-22;-880;13;-18;6.0;?
-5;?;?;-882;-17;-19;?;-38
2;-5;11;-886;-5;-22;-13.0;11
1;-5;28;-884;-5;-17;-11.0;28
1;?;-3;-881;13;-16;20.0;-3
?;31;24;-877;31;?;3.0;24
-4;20;35;-879;20;-16;7.0;35
-2;?;-17;-881;1;-17;11.0;-17
5;?;?;-878;-6;?;?;-11
-5;7;25;-882;7;?;11.0;25
-4;?;-20;-884;-19;-19;-5.0;-20
?;?;-40;-884;-12;?;-1.0;-40
-2;?;-10;-886;20;-18;13.0;-10
0;1;1;-886;1;-18;?;?
?;3;1;-886;3;-18;?;1
0;3;-11;-881;?;-14;-16.0;-11
10;-27;18;?;-27;-17;15.0;18
5;-8;49;-880;?;-20;13.0;49
-5;0;-1;-881;0;?;13.0;?
2;-13;-27;-882;-13;-15;?;-27
?;22;8;-882;22;-15;-6.0;8
-1;10;14;-885;10;?;3.0;14
3;-26;13;-884;-26;-20;-28.0;?
-1;6;26;-878;6;-18;-30.0;26
-7;9;17;-878;9;-17;-19.0;?
-2;?;11;?;?;-16;10.0;11
0;23;12;-886;?;-21;?;?
