InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit RUA gyroX
2;-20.0;-6;-48.0;1.0;-6;37.0
4;-44.0;0;-14.0;-13.0;0;4.0
0;24.0;-21;-10.0;3.0;-21;-24.0
2;-35.0;-10;-14.0;9.0;-10;17.0
2;-50.0;3;8.0;3.0;3;-17.0
-1;-33.0;1;-31.0;5.0;1;28.0
-2;-22.0;17;-9.0;-26.0;17;26.0
-2;-27.0;-29;-16.0;0.0;-29;26.0
4;-21.0;-10;-20.0;17.0;-10;19.0
3;-33.0;-11;-13.0;-20.0;-11;15.0
-4;-24.0;14;17.0;-10.0;14;35.0
-5;23.0;16;-10.0;-25.0;16;21.0
5;35.0;7;-3.0;-18.0;7;29.0
1;-4.0;-27;7.0;19.0;-27;26.0
-2;-2.0;4;-8.0;-21.0;4;15.0
-5;31.0;-15;-9.0;-40.0;-15;41.0
1;-18.0;-25;25.0;25.0;-25;0.0
0;-22.0;-17;-40.0;6.0;-17;-11.0
-2;-17.0;10;-57.0;-17.0;10;9.0
3;-18.0;-8;23.0;-21.0;-8;24.0
5;-9.0;16;-18.0;23.0;16;0.0
3;-12.0;7;-11.0;-38.0;7;46.0
4;-21.0;17;-4.0;20.0;17;42.0
-4;17.0;-7;-34.0;-65.0;-7;89.0
1;-24.0;14;-34.0;25.0;14;15.0
-6;29.0;-137;61.0;59.0;-137;59.0
5;-16.0;-6;-8.0;-44.0;-6;-16.0
-1;31.0;-15;-34.0;-29.0;-15;-22.0
7;20.0;1;6.0;0.0;1;23.0
0;20.0;-8;-10.0;-43.0;-8;40.0
-1;-28.0;2;-11.0;-14.0;2;-5.0
-3;3.0;-1;7.0;-32.0;-1;25.0
-1;-3.0;0;-25.0;-13.0;0;-16.0
3;-27.0;-20;13.0;4.0;-20;-6.0
4;21.0;4;-53.0;-22.0;4;13.0
-3;-6.0;17;-4.0;-44.0;17;44.0
3;16.0;-14;26.0;-29.0;-14;46.0
-2;-2.0;2;-3.0;15.0;2;-22.0
1;-49.0;-5;3.0;-12.0;-5;0.0
2;-23.0;-10;48.0;-7.0;-10;4.0
-2;2.0;30;5.0;12.0;30;9.0
3;-24.0;18;-1.0;42.0;18;14.0
1;-24.0;-23;-6.0;-31.0;-23;30.0
5;-12.0;3;-44.0;-55.0;3;7.0
3;-28.0;-6;-52.0;-31.0;-6;0.0
-4;-32.0;-35;-25.0;11.0;-35;22.0
2;6.0;-38;-10.0;-4.0;-38;-3.0
0;-2.0;12;6.0;3.0;12;22.0
0;6.0;-1;-10.0;16.0;-1;-2.0
0;-4.0;-9;-44.0;-1.0;-9;-9.0
3;21.0;15;-25.0;-21.0;15;-2.0
-3;-4.0;0;-8.0;-14.0;0;-35.0
-5;6.0;-24;-24.0;21.0;-24;49.0
7;37.0;-20;-13.0;8.0;-20;48.0
1;6.0;-12;-7.0;-39.0;-12;-16.0
4;-10.0;2;-9.0;-33.0;2;-1.0
-2;-3.0;-23;-7.0;-11.0;-23;7.0
4;-5.0;-20;-29.0;-42.0;-20;-9.0
-1;-17.0;-26;-12.0;-29.0;-26;-8.0
-1;-11.0;-16;-4.0;-12.0;-16;8.0
4;-21.0;13;-30.0;-4.0;13;6.0
8;-39.0;-2;-1.0;-21.0;-2;8.0
3;21.0;-7;-32.0;30.0;-7;11.0
2;-17.0;-27;-27.0;-17.0;-27;30.0
6;-46.0;-25;-24.0;-4.0;-25;-13.0
9;5.0;-13;-61.0;13.0;-13;4.0
4;-48.0;18;2.0;5.0;18;10.0
0;-10.0;15;-6.0;-23.0;15;14.0
8;-4.0;-2;-35.0;8.0;-2;17.0
8;-12.0;3;-19.0;-12.0;3;4.0
17;-16.0;30;-3.0;11.0;30;12.0
-5;-14.0;12;10.0;1.0;12;34.0
0;-21.0;11;27.0;-10.0;11;6.0
2;-23.0;-18;-30.0;2.0;-18;-1.0
2;22.0;-4;-10.0;-14.0;-4;10.0
2;13.0;-4;-22.0;47.0;-4;12.0
6;-4.0;-4;13.0;30.0;-4;-7.0
-2;-17.0;0;-47.0;-41.0;0;-17.0
-3;-11.0;6;-47.0;-3.0;6;2.0
2;9.0;-3;-28.0;13.0;-3;14.0
-6;9.0;-12;-1.0;26.0;-12;32.0
3;-34.0;18;-10.0;27.0;18;14.0
-9;14.0;-21;-18.0;-58.0;-21;33.0
-2;-43.0;28;-3.0;8.0;28;1.0
3;-47.0;28;-8.0;-35.0;28;-12.0
7;80.0;1;107.0;-90.0;1;-85.0
-8;-19.0;-31;28.0;-63.0;-31;-10.0
3;-27.0;-21;30.0;-5.0;-21;-38.0
-4;-22.0;-6;5.0;83.0;-6;29.0
3;-14.0;-23;46.0;21.0;-23;11.0
-1;-26.0;-11;-38.0;-92.0;-11;24.0
-2;8.0;-12;-27.0;42.0;-12;75.0
-2;0.0;28;21.0;26.0;28;-18.0
6;-40.0;-41;-3.0;61.0;-41;1.0
-3;-191.0;-8;-128.0;-8.0;-8;-241.0
3;12.0;21;38.0;-65.0;21;-10.0
-12;-11.0;-45;-59.0;-54.0;-45;1.0
-1;80.0;15;35.0;-21.0;15;-10.0
1;-41.0;-31;16.0;105.0;-31;11.0
-235;82.0;-569;403.0;310.0;-569;501.0
-1;30.0;-22;-51.0;58.0;-22;1.0
2;22.0;-24;-73.0;-42.0;-24;-34.0
1;9.0;-18;-66.0;-65.0;-18;36.0
5;20.0;12;37.0;-3.0;12;-53.0
-3;-8.0;45;27.0;2.0;45;-20.0
4;29.0;-17;25.0;45.0;-17;40.0
9;-48.0;32;44.0;25.0;32;17.0
-1;26.0;-21;60.0;-30.0;-21;18.0
4;-47.0;49;17.0;11.0;49;7.0
1;-26.0;-25;-4.0;-60.0;-25;37.0
12;-12.0;-22;-33.0;-59.0;-22;-59.0
-5;-38.0;16;-27.0;3.0;16;72.0
-17;-52.0;27;-20.0;16.0;27;54.0
25;45.0;29;9.0;23.0;29;16.0
-10;-59.0;-37;-24.0;-15.0;-37;3.0
4;-11.0;25;-25.0;15.0;25;83.0
9;16.0;34;-35.0;66.0;34;54.0
-2;2.0;5;-59.0;-13.0;5;84.0
7;-61.0;42;-37.0;-32.0;42;40.0
4;-4.0;41;-23.0;19.0;41;-2.0
9;7.0;25;-72.0;-86.0;25;-70.0
5;18.0;41;-40.0;31.0;41;6.0
1;-32.0;32;28.0;-49.0;32;-10.0
0;-2.0;-26;-26.0;186.0;-26;47.0
-4;118.0;-5;-22.0;-33.0;-5;-28.0
2;-4.0;22;-38.0;45.0;22;-6.0
0;-27.0;-7;-36.0;49.0;-7;-134.0
-15;-7.0;-385;-38.0;-20.0;-385;-21.0
27;58.0;11;-121.0;32.0;11;1.0
7;-39.0;21;-113.0;-50.0;21;-67.0
-1;9.0;-35;-44.0;8.0;-35;61.0
2;-35.0;-10;-11.0;-53.0;-10;-78.0
-4;101.0;16;-23.0;-193.0;16;6.0
20;-28.0;5;41.0;40.0;5;10.0
-2;19.0;41;4.0;16.0;41;-30.0
-1;-34.0;6;-22.0;-67.0;6;-10.0
-3;-43.0;31;-58.0;-2.0;31;4.0
-1;-44.0;-13;-91.0;-66.0;-13;-38.0
0;15.0;19;-13.0;-64.0;19;19.0
2;-25.0;16;-71.0;16.0;16;-17.0
-3;-43.0;33;0.0;-5.0;33;-11.0
8;34.0;12;-47.0;32.0;12;-17.0
0;18.0;20;5.0;38.0;20;38.0
4;14.0;29;-30.0;12.0;29;62.0
3;-19.0;19;-52.0;-59.0;19;-7.0
-1;-64.0;-13;19.0;-31.0;-13;29.0
1;19.0;42;-26.0;3.0;42;11.0
-12;-99.0;51;81.0;57.0;51;-37.0
13;25.0;3;43.0;-103.0;3;101.0
3;17.0;23;4.0;26.0;23;34.0
0;16.0;27;-22.0;64.0;27;-6.0
5;-2.0;-21;-42.0;-89.0;-21;36.0
-5;15.0;9;46.0;11.0;9;26.0
8;-31.0;41;5.0;-186.0;41;29.0
1;-42.0;-28;2.0;51.0;-28;10.0
1;-19.0;43;-29.0;-15.0;43;10.0
-7;25.0;-12;-40.0;-88.0;-12;40.0
4;13.0;-11;-2.0;72.0;-11;37.0
2;5.0;6;14.0;-69.0;6;30.0
-4;-35.0;17;39.0;-18.0;17;60.0
-3;10.0;-17;38.0;68.0;-17;19.0
-1;-46.0;24;-3.0;21.0;24;14.0
-7;14.0;24;-24.0;73.0;24;-5.0
-1441;-105.0;145;220.0;223.0;145;-100.0
-13;-73.0;1;-47.0;57.0;1;6.0
3;-14.0;32;-39.0;68.0;32;2.0
-4;8.0;-32;-28.0;17.0;-32;80.0
2;-17.0;4;-27.0;-40.0;4;-46.0
4;18.0;-28;23.0;4.0;-28;62.0
4;18.0;19;-92.0;-19.0;19;1.0
2;25.0;-42;82.0;151.0;-42;123.0
-11;-135.0;13;-28.0;-191.0;13;15.0
1;7.0;9;-11.0;73.0;9;69.0
-9;-34.0;30;-51.0;-65.0;30;-9.0
-4;-12.0;27;-11.0;45.0;27;-1.0
-3;135.0;-53;41.0;-22.0;-53;222.0
3;-33.0;38;-22.0;15.0;38;-28.0
4;1.0;16;28.0;33.0;16;-4.0
-3;-2.0;19;-15.0;-83.0;19;110.0
-2;3.0;3;-67.0;-21.0;3;-40.0
0;-27.0;20;-25.0;-24.0;20;-34.0
1;20.0;16;27.0;19.0;16;-2.0
0;-20.0;10;22.0;79.0;10;-75.0
7;-6.0;-21;15.0;53.0;-21;58.0
-5;68.0;-15;-73.0;25.0;-15;35.0
2;40.0;-25;-41.0;2.0;-25;5.0
-4;50.0;-52;46.0;80.0;-52;62.0
4;65.0;23;24.0;1.0;23;17.0
3;-72.0;-17;-56.0;21.0;-17;-27.0
5;7.0;2;46.0;6.0;2;56.0
-3;-21.0;36;-74.0;-20.0;36;-69.0
-3;-81.0;-8;-59.0;-11.0;-8;44.0
-6;-6.0;0;-36.0;-7.0;0;100.0
-2;-8.0;27;13.0;74.0;27;-19.0
0;-24.0;52;20.0;15.0;52;25.0
0;-24.0;-7;7.0;83.0;-7;19.0
3;-14.0;-30;5.0;145.0;-30;149.0
3;29.0;-13;-63.0;-187.0;-13;-74.0
-4;-1.0;7;36.0;47.0;7;19.0
2;28.0;31;-31.0;57.0;31;-7.0
2;-68.0;9;-26.0;-61.0;9;52.0
2;-70.0;-14;51.0;-20.0;-14;10.0
8;-42.0;-50;-35.0;-42.0;-50;-70.0
5;20.0;-24;0.0;51.0;-24;19.0
3;12.0;22;-31.0;20.0;22;-16.0
-4;74.0;-21;-31.0;-38.0;-21;33.0
3;-25.0;17;0.0;-50.0;17;-19.0
5;-7.0;19;19.0;53.0;19;24.0
5;-46.0;-70;-16.0;-85.0;-70;-41.0
1;-36.0;-23;9.0;-33.0;-23;-47.0
-2;12.0;4;16.0;29.0;4;-53.0
2;0.0;-41;-50.0;-35.0;-41;-1.0
-4;67.0;7;-13.0;-112.0;7;105.0
-1;-28.0;16;-5.0;58.0;16;37.0
-3;17.0;28;12.0;-11.0;28;68.0
-3;24.0;42;-9.0;-13.0;42;43.0
1;-27.0;19;-13.0;75.0;19;-41.0
3;23.0;-2;-28.0;-124.0;-2;85.0
2;-1.0;22;27.0;40.0;22;123.0
-3;44.0;7;2.0;33.0;7;62.0
0;10.0;-2;124.0;-85.0;-2;84.0
1;-44.0;-46;-34.0;13.0;-46;-61.0
-1;-12.0;-2;19.0;-105.0;-2;53.0
2;58.0;51;-151.0;-108.0;51;39.0
2;-22.0;9;1.0;-75.0;9;-42.0
-6;-2.0;2;39.0;42.0;2;39.0
5;-36.0;51;22.0;-31.0;51;11.0
-2;-53.0;-12;-44.0;39.0;-12;52.0
1;-53.0;25;27.0;43.0;25;13.0
0;-23.0;-49;-13.0;23.0;-49;6.0
3;46.0;-63;-73.0;90.0;-63;-29.0
14;7.0;32;-74.0;32.0;32;2.0
-6;40.0;-50;-9.0;-20.0;-50;3.0
2;56.0;-52;-24.0;129.0;-52;133.0
3;29.0;-8;25.0;-38.0;-8;10.0
15;-793.0;16;-311.0;405.0;16;39.0
-2;47.0;-35;-21.0;5.0;-35;14.0
6;21.0;-4;-4.0;-51.0;-4;57.0
-6;-69.0;26;12.0;4.0;26;1.0
4;-3.0;-34;33.0;-15.0;-34;48.0
1;40.0;-40;-31.0;-2.0;-40;-1.0
-1;-13.0;80;-49.0;-50.0;80;-21.0
-6;-62.0;-49;-79.0;-13.0;-49;24.0
-3;-17.0;16;-88.0;-7.0;16;27.0
7;-27.0;31;-21.0;-4.0;31;-9.0
1;32.0;-3;-38.0;44.0;-3;48.0
0;-8.0;8;-16.0;-50.0;8;-49.0
-10;-52.0;16;245.0;-68.0;16;-3.0
-5;-21.0;10;0.0;68.0;10;43.0
10;23.0;-202;125.0;78.0;-202;16.0
2;5.0;6;53.0;36.0;6;11.0
1;-50.0;30;-50.0;16.0;30;14.0
1;-51.0;27;-85.0;-204.0;27;-153.0
3;-64.0;0;-10.0;-40.0;0;-19.0
-1;-69.0;4;0.0;-8.0;4;-9.0
0;-7.0;-51;3.0;0.0;-51;-1.0
2;-34.0;29;21.0;8.0;29;29.0
-4;7.0;0;56.0;4.0;0;19.0
-156;413.0;-1578;1034.0;581.0;-1578;1393.0
-6;-51.0;1;127.0;1.0;1;-124.0
-7;-28.0;-8;46.0;-21.0;-8;-31.0
-2;1.0;-29;-77.0;-14.0;-29;-28.0
0;-15.0;-9;-46.0;20.0;-9;-52.0
-2;43.0;28;9.0;15.0;28;38.0
1;-20.0;25;-38.0;24.0;25;28.0
-6;71.0;4;-11.0;-23.0;4;37.0
0;15.0;49;-22.0;-32.0;49;0.0
1;48.0;-31;-8.0;-11.0;-31;30.0
-1;-37.0;-16;-34.0;-109.0;-16;-57.0
-2;-3.0;-2;14.0;3.0;-2;-46.0
7;19.0;25;-45.0;-1.0;25;-19.0
2;32.0;-3;15.0;-7.0;-3;55.0
0;30.0;0;-10.0;-16.0;0;67.0
1;-1.0;-30;-28.0;15.0;-30;-46.0
3;48.0;27;-1.0;32.0;27;-33.0
3;-50.0;3;14.0;21.0;3;49.0
-3;14.0;-11;-29.0;-34.0;-11;-42.0
7;3.0;-10;27.0;72.0;-10;27.0
-3;-15.0;-7;64.0;29.0;-7;-17.0
2;14.0;47;19.0;28.0;47;3.0
-1;-15.0;-2;40.0;-14.0;-2;78.0
2;26.0;9;-45.0;23.0;9;44.0
-4;-38.0;30;-63.0;8.0;30;2.0
-2;-29.0;31;7.0;7.0;31;4.0
1;-76.0;-20;55.0;18.0;-20;64.0
0;-52.0;-5;8.0;-100.0;-5;-1.0
7;-34.0;18;-49.0;51.0;18;34.0
1;-28.0;-40;-10.0;38.0;-40;32.0
-1790;-134.0;-743;148.0;-328.0;-743;-123.0
-5;0.0;8;-17.0;55.0;8;-13.0
-2;-57.0;0;26.0;-67.0;0;-46.0
35;-342.0;16;-459.0;131.0;16;-27.0
0;-134.0;-22;167.0;-245.0;-22;126.0
42;-45.0;101;-15.0;77.0;101;54.0
2;35.0;20;-38.0;63.0;20;-60.0
2;41.0;14;-35.0;25.0;14;-61.0
201;-47.0;-168;-62.0;-67.0;-168;-71.0
0;-19.0;26;-54.0;103.0;26;-69.0
2;-57.0;-33;142.0;-40.0;-33;-278.0
4;-29.0;-9;13.0;79.0;-9;-87.0
-2;2.0;2;-82.0;105.0;2;25.0
7;-16.0;-13;2.0;109.0;-13;3.0
4;17.0;-9;12.0;109.0;-9;-25.0
-4;-49.0;-76;98.0;-192.0;-76;-6.0
3;-61.0;43;12.0;0.0;43;-30.0
-3;-20.0;41;-46.0;41.0;41;-33.0
0;1.0;74;8.0;144.0;74;146.0
28;13.0;15;-160.0;36.0;15;-48.0
9;134.0;9;638.0;-241.0;9;739.0
5;-138.0;-11;-362.0;-110.0;-11;5.0
1;10.0;0;38.0;-38.0;0;203.0
-4;-125.0;31;113.0;-113.0;31;-80.0
0;13.0;23;-59.0;1.0;23;88.0
3;-34.0;-32;10.0;-156.0;-32;35.0
-2;-16.0;0;6.0;129.0;0;34.0
9;-87.0;-200;-151.0;223.0;-200;-534.0
-2;-26.0;3;71.0;60.0;3;30.0
1;105.0;-2;-87.0;34.0;-2;154.0
-36;195.0;-190;-549.0;206.0;-190;100.0
-555;47.0;-345;-225.0;-614.0;-345;-476.0
-5;-71.0;21;-5.0;85.0;21;146.0
14;-206.0;13;-130.0;-53.0;13;-18.0
2;173.0;46;17.0;146.0;46;208.0
5;91.0;20;-62.0;57.0;20;64.0
-1;-29.0;33;136.0;-113.0;33;-4.0
-1;16.0;57;-3.0;-29.0;57;41.0
3;14.0;-10;85.0;-56.0;-10;-318.0
7;184.0;-1;165.0;311.0;-1;8.0
3;-22.0;21;-57.0;7.0;21;101.0
1;63.0;7;33.0;118.0;7;101.0
192;-276.0;1;-1424.0;-78.0;1;-1001.0
-1;30.0;-3;11.0;-199.0;-3;-210.0
6;70.0;-45;-71.0;80.0;-45;-184.0
0;125.0;-29;-111.0;-16.0;-29;-81.0
8;-121.0;24;-106.0;241.0;24;-71.0
5;-186.0;-6;17.0;60.0;-6;72.0
2;33.0;-13;-160.0;-124.0;-13;-138.0
1;83.0;-2;194.0;205.0;-2;276.0
-1;-11.0;40;3.0;117.0;40;3.0
13;-352.0;-13;-334.0;84.0;-13;-287.0
-20;4.0;-30;-189.0;-276.0;-30;-1347.0
6;-42.0;44;75.0;86.0;44;113.0
-1;18.0;-13;6.0;188.0;-13;-67.0
10;41.0;29;-12.0;49.0;29;74.0
-2;-32.0;-7;5.0;156.0;-7;7.0
-7;21.0;16;75.0;62.0;16;60.0
-1;-71.0;-12;141.0;-3.0;-12;192.0
-1;-28.0;8;7.0;-159.0;8;140.0
2;-63.0;149;25.0;52.0;149;66.0
27;97.0;-104;-19.0;278.0;-104;26.0
11;61.0;-378;-369.0;-135.0;-378;-489.0
-133;129.0;-3157;708.0;134.0;-3157;388.0
4;87.0;25;-551.0;27.0;25;-227.0
8;246.0;3;179.0;274.0;3;24.0
59;-65.0;-121;-100.0;-603.0;-121;-520.0
106;269.0;2293;748.0;510.0;2293;1134.0
-159;-4.0;-1353;147.0;75.0;-1353;67.0
2;-47.0;3;50.0;151.0;3;-100.0
-53;-295.0;31;-757.0;-342.0;31;-418.0
-21;213.0;29;111.0;-52.0;29;-178.0
1;23.0;-3;22.0;-352.0;-3;558.0
18;-25.0;18;-232.0;260.0;18;183.0
82;174.0;110;414.0;296.0;110;500.0
2;49.0;-14;-58.0;254.0;-14;-219.0
9;70.0;-8;-282.0;180.0;-8;-445.0
99;586.0;-120;1269.0;1176.0;-120;1750.0
1;-36.0;-6;-121.0;-617.0;-6;-99.0
-66;-59.0;1164;38.0;85.0;1164;146.0
-2;35.0;-1;1.0;-380.0;-1;-68.0
-152;-138.0;356;-53.0;152.0;356;-158.0
2;-42.0;-30;120.0;231.0;-30;465.0
-1;-2.0;-41;-109.0;158.0;-41;498.0
58;-52.0;-44;495.0;-113.0;-44;-117.0
-3;-59.0;28;-26.0;-314.0;28;41.0
863;-334.0;2432;-235.0;-648.0;2432;-692.0
3;-129.0;0;-16.0;43.0;0;-188.0
-6;8.0;15;9.0;384.0;15;93.0
19;-279.0;289;-14.0;-38.0;289;-459.0
4;-24.0;-12;-73.0;404.0;-12;-126.0
5;-184.0;42;5.0;-53.0;42;-44.0
-1;22.0;-9;8.0;-267.0;-9;218.0
-9;-90.0;26;11.0;-62.0;26;-23.0
-7;62.0;326;-328.0;-21.0;326;-47.0
-5;102.0;-56;54.0;407.0;-56;404.0
8;-41.0;12;-76.0;150.0;12;-304.0
4;-38.0;-13;-161.0;379.0;-13;473.0
6;102.0;-54;427.0;-764.0;-54;-260.0
-8;-15.0;6;-23.0;-727.0;6;245.0
-18;-11.0;23;145.0;-1694.0;23;177.0
162;-72.0;750;-611.0;-423.0;750;-618.0
-3;59.0;33;8.0;-36.0;33;-41.0
-34;515.0;-19;163.0;-215.0;-19;-222.0
-1;-122.0;-22;21.0;665.0;-22;-583.0
-19;8.0;-165;514.0;259.0;-165;-293.0
-10;-108.0;-1;321.0;314.0;-1;312.0
6;22.0;-18;140.0;906.0;-18;242.0
-256;213.0;1523;552.0;1963.0;1523;1257.0
-32;798.0;-17;-384.0;-75.0;-17;38.0
4;239.0;16;-60.0;-107.0;16;84.0
-1;-133.0;1;-69.0;179.0;1;89.0
20;144.0;0;446.0;-186.0;0;363.0
126;-82.0;139;444.0;-109.0;139;523.0
-4;-63.0;-193;175.0;545.0;-193;156.0
5;-181.0;42;-156.0;-1060.0;42;-463.0
-4;-24.0;27;-354.0;-351.0;27;-364.0
10;-69.0;11;144.0;-313.0;11;-184.0
-821;-250.0;2508;-660.0;-429.0;2508;-236.0
8;49.0;-15;298.0;406.0;-15;892.0
123;-237.0;-1126;-382.0;-809.0;-1126;-667.0
-2;-46.0;-37;20.0;-93.0;-37;540.0
906;126.0;-410;-175.0;-98.0;-410;61.0
2;-114.0;-9;74.0;381.0;-9;-322.0
194;-358.0;-90;-824.0;-1191.0;-90;-1329.0
-3;-94.0;21;-517.0;604.0;21;-131.0
5;36.0;-11;195.0;-710.0;-11;1274.0
8;154.0;-11;50.0;-142.0;-11;175.0
-9;-345.0;-42;-183.0;-303.0;-42;-381.0
0;43.0;31;-118.0;-317.0;31;181.0
-12;-107.0;-19;-100.0;480.0;-19;-1076.0
0;5.0;-7;-41.0;-235.0;-7;-533.0
-8;84.0;-82;-121.0;2491.0;-82;397.0
23;127.0;-16;926.0;217.0;-16;260.0
-248;-338.0;-355;395.0;52.0;-355;-29.0
