Accelerometer RWR accX;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit RLA accZ;Accelerometer LUA^ accY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RUA gyroZ;Accelerometer RUA^ accX;Accelerometer RUA_ accZ
-935.0;340.0;-1088.0;-1127.0;?;5;-3;964.0;1312.0;-490.0;?;-790.0;839.0
-286.0;94.0;?;-1085.0;155.0;5;?;704.0;1129.0;-503.0;?;-629.0;584.0
-295.0;46.0;?;-937.0;89.0;5;2;499.0;1169.0;?;253.0;-325.0;512.0
-961.0;167.0;-992.0;-671.0;33.0;?;-1;584.0;928.0;-520.0;?;?;?
?;523.0;-950.0;-580.0;-11.0;5;2;464.0;694.0;?;-53.0;-216.0;?
-1169.0;174.0;-843.0;-363.0;-42.0;?;1;557.0;526.0;-519.0;?;-477.0;476.0
-472.0;187.0;-829.0;-476.0;-68.0;5;-3;368.0;385.0;-512.0;-480.0;-116.0;533.0
-203.0;526.0;-846.0;-573.0;-91.0;5;-10;?;?;-510.0;-409.0;-409.0;?
38.0;72.0;-938.0;-481.0;-108.0;5;-3;?;?;?;-657.0;-265.0;399.0
?;317.0;?;-501.0;-119.0;5;9;5.0;278.0;-490.0;-448.0;?;292.0
784.0;157.0;-943.0;-475.0;-118.0;5;2;?;203.0;-484.0;-610.0;-279.0;191.0
549.0;222.0;?;-558.0;-120.0;5;?;-60.0;290.0;?;-327.0;101.0;238.0
687.0;210.0;-1014.0;-585.0;-116.0;5;7;-46.0;?;?;-39.0;-4.0;239.0
816.0;187.0;-1056.0;?;-104.0;5;4;84.0;381.0;-481.0;130.0;6.0;?
235.0;67.0;-954.0;-349.0;634.0;5;2;554.0;?;-562.0;0.0;74.0;580.0
305.0;118.0;?;-395.0;633.0;5;-5;635.0;289.0;-560.0;54.0;?;633.0
328.0;198.0;-937.0;-437.0;637.0;5;-3;673.0;323.0;-558.0;104.0;-56.0;663.0
71.0;302.0;-964.0;?;?;5;0;763.0;?;?;59.0;-106.0;717.0
?;405.0;?;?;?;5;-2;923.0;413.0;?;15.0;-207.0;779.0
287.0;490.0;-914.0;?;636.0;5;-2;?;476.0;-552.0;15.0;-327.0;902.0
?;482.0;-933.0;-610.0;646.0;5;1;858.0;516.0;-550.0;-78.0;?;920.0
119.0;376.0;-970.0;-665.0;656.0;5;-3;768.0;547.0;-545.0;-135.0;-293.0;?
264.0;261.0;-968.0;-615.0;655.0;5;-1;788.0;594.0;-547.0;-315.0;-218.0;825.0
?;?;-958.0;?;644.0;5;-4;766.0;552.0;-547.0;?;-161.0;?
148.0;183.0;-1025.0;-668.0;?;5;?;729.0;594.0;-545.0;-648.0;-147.0;806.0
187.0;105.0;-990.0;-700.0;587.0;5;?;862.0;637.0;?;-855.0;-103.0;783.0
49.0;31.0;?;-735.0;545.0;5;-3;923.0;678.0;-539.0;?;-32.0;791.0
?;-14.0;-990.0;?;491.0;5;?;947.0;718.0;?;-1483.0;-22.0;?
-150.0;-84.0;-1014.0;-760.0;428.0;5;?;1018.0;694.0;-524.0;?;18.0;823.0
-402.0;-194.0;-1001.0;?;355.0;?;-1;1003.0;738.0;-522.0;-2043.0;20.0;864.0
-558.0;-81.0;-952.0;-764.0;285.0;5;0;936.0;794.0;?;?;177.0;864.0
?;-124.0;-967.0;-693.0;220.0;5;?;917.0;674.0;-504.0;?;?;?
-1212.0;-157.0;-988.0;-669.0;149.0;?;-6;?;664.0;-501.0;-1915.0;99.0;913.0
?;-115.0;-976.0;-640.0;?;5;0;687.0;634.0;?;-1733.0;?;881.0
-842.0;-133.0;-940.0;-616.0;?;?;9;?;585.0;-482.0;?;146.0;?
-601.0;-144.0;-963.0;-597.0;-24.0;5;7;396.0;559.0;?;-1566.0;180.0;744.0
-325.0;?;-990.0;-694.0;-55.0;5;0;34.0;552.0;-479.0;-1396.0;190.0;671.0
-218.0;?;-951.0;-748.0;-78.0;5;0;-98.0;507.0;?;?;216.0;?
-251.0;-234.0;?;-612.0;-89.0;5;0;16.0;560.0;?;-510.0;380.0;415.0
-191.0;-127.0;-933.0;-606.0;-84.0;5;-2;35.0;476.0;-469.0;-58.0;288.0;491.0
-189.0;?;-931.0;-669.0;-78.0;5;0;213.0;449.0;-468.0;?;182.0;520.0
-218.0;-150.0;-951.0;-722.0;-68.0;5;1;318.0;509.0;-467.0;341.0;201.0;?
-194.0;-106.0;-976.0;?;-53.0;?;1;?;551.0;?;296.0;?;548.0
-100.0;-36.0;?;-780.0;-46.0;5;3;343.0;625.0;-472.0;?;91.0;562.0
-77.0;-15.0;-953.0;?;?;5;?;289.0;620.0;-476.0;228.0;56.0;585.0
-95.0;-7.0;?;-746.0;-24.0;5;-1;297.0;601.0;-475.0;254.0;33.0;603.0
?;?;?;-723.0;-19.0;5;1;274.0;598.0;?;157.0;76.0;593.0
-101.0;-221.0;-935.0;-708.0;-5.0;5;2;241.0;564.0;?;193.0;?;522.0
?;?;?;-675.0;7.0;5;6;192.0;532.0;-475.0;238.0;260.0;458.0
-184.0;-341.0;?;-663.0;32.0;5;?;177.0;?;-478.0;203.0;274.0;442.0
193.0;16.0;-939.0;-374.0;600.0;?;2;504.0;356.0;?;?;?;582.0
245.0;44.0;-937.0;-379.0;?;5;?;496.0;346.0;-577.0;-101.0;?;563.0
211.0;63.0;?;?;?;5;0;507.0;329.0;-574.0;?;46.0;561.0
157.0;69.0;-938.0;-413.0;?;?;?;520.0;359.0;-572.0;-113.0;45.0;575.0
178.0;194.0;-912.0;-449.0;611.0;5;-2;?;377.0;-571.0;-126.0;?;?
?;?;?;?;613.0;5;-3;728.0;418.0;-571.0;-252.0;-124.0;696.0
-13.0;308.0;-941.0;?;616.0;5;?;865.0;470.0;-563.0;-277.0;-158.0;754.0
2.0;?;-907.0;-693.0;621.0;5;0;896.0;?;-563.0;-305.0;-291.0;?
13.0;?;-989.0;?;618.0;5;0;915.0;?;?;-393.0;-470.0;935.0
?;444.0;-975.0;-829.0;612.0;?;0;?;692.0;?;?;-414.0;?
-198.0;336.0;-945.0;-880.0;603.0;5;0;1065.0;789.0;-552.0;-1125.0;?;899.0
-337.0;182.0;-982.0;-874.0;?;5;-5;945.0;?;-548.0;-1347.0;-254.0;870.0
-300.0;8.0;-981.0;-927.0;539.0;?;-6;979.0;822.0;?;-1651.0;-124.0;893.0
-484.0;-168.0;-1022.0;-930.0;?;5;0;1010.0;917.0;?;?;?;931.0
-745.0;?;-995.0;-959.0;432.0;5;1;932.0;986.0;-525.0;-1930.0;84.0;940.0
-1170.0;-174.0;-972.0;-891.0;356.0;?;4;934.0;?;-519.0;-2070.0;?;?
-1726.0;?;?;-940.0;272.0;5;?;996.0;975.0;-513.0;-2050.0;?;959.0
-1877.0;-265.0;?;-820.0;199.0;5;-4;762.0;1054.0;-501.0;?;205.0;954.0
-1618.0;-252.0;-935.0;?;134.0;5;1;635.0;844.0;-494.0;-1963.0;166.0;?
-1408.0;-243.0;-1011.0;-770.0;?;5;8;490.0;?;?;-1797.0;168.0;761.0
-945.0;-136.0;-919.0;-608.0;-4.0;?;2;223.0;?;-476.0;-1499.0;234.0;692.0
-738.0;-131.0;-972.0;-571.0;-64.0;?;-1;58.0;546.0;-468.0;-1308.0;73.0;544.0
-414.0;-138.0;-944.0;-746.0;-105.0;5;2;-91.0;534.0;?;-1063.0;221.0;?
?;-150.0;-995.0;?;-132.0;5;-2;-97.0;?;-464.0;-670.0;207.0;401.0
-138.0;?;-968.0;-717.0;-147.0;?;-7;?;598.0;-463.0;-430.0;198.0;391.0
-160.0;?;?;-721.0;?;?;?;244.0;597.0;-467.0;?;54.0;478.0
-185.0;34.0;?;-803.0;-141.0;5;0;331.0;578.0;-470.0;?;-46.0;593.0
-267.0;47.0;-991.0;-821.0;?;?;-5;?;627.0;-468.0;?;-19.0;590.0
-248.0;119.0;-978.0;-816.0;-145.0;5;3;399.0;671.0;?;?;-79.0;642.0
-351.0;66.0;-963.0;-830.0;-144.0;5;7;?;?;-464.0;257.0;-139.0;638.0
?;47.0;-919.0;-754.0;-142.0;5;2;361.0;684.0;-463.0;212.0;-76.0;638.0
-182.0;-48.0;-934.0;?;-138.0;5;4;237.0;?;-465.0;?;-44.0;580.0
-69.0;-103.0;-933.0;-700.0;-133.0;5;3;134.0;622.0;-463.0;?;?;500.0
?;-163.0;-923.0;-618.0;-125.0;5;1;54.0;576.0;?;43.0;111.0;441.0
-271.0;-303.0;-1021.0;-670.0;?;5;0;-13.0;492.0;-465.0;-67.0;?;387.0
-268.0;?;-1026.0;-776.0;-55.0;5;-13;-70.0;535.0;-475.0;?;350.0;309.0
152.0;?;-971.0;-462.0;?;5;?;598.0;393.0;-556.0;?;-63.0;681.0
?;153.0;?;-467.0;564.0;5;-5;569.0;?;-554.0;-65.0;?;621.0
225.0;168.0;?;-471.0;565.0;5;-4;598.0;400.0;-552.0;?;-64.0;641.0
179.0;185.0;-963.0;-473.0;553.0;5;-2;604.0;400.0;?;-7.0;-71.0;662.0
?;220.0;-945.0;-465.0;552.0;5;0;?;?;-550.0;12.0;-74.0;682.0
126.0;259.0;-973.0;-477.0;561.0;5;2;?;393.0;-547.0;-56.0;-135.0;712.0
110.0;381.0;?;-512.0;564.0;5;-1;817.0;417.0;?;-54.0;-179.0;776.0
-46.0;466.0;-948.0;-591.0;?;5;2;916.0;462.0;-543.0;-144.0;-304.0;850.0
-5.0;484.0;-950.0;-717.0;?;5;-1;940.0;540.0;-539.0;-308.0;?;911.0
-101.0;?;-937.0;?;?;5;-6;915.0;654.0;-535.0;-492.0;-442.0;909.0
-120.0;452.0;-953.0;-794.0;599.0;5;?;927.0;692.0;?;-850.0;-439.0;896.0
-118.0;289.0;-950.0;-872.0;?;5;-2;1019.0;720.0;-525.0;-1369.0;-392.0;884.0
-156.0;130.0;-933.0;-921.0;?;?;-6;946.0;?;-519.0;-1618.0;-301.0;952.0
-286.0;?;?;-899.0;?;?;?;?;?;-511.0;-1841.0;-144.0;?
-561.0;-181.0;-965.0;?;503.0;5;3;996.0;887.0;-504.0;-2043.0;0.0;848.0
-1163.0;-191.0;?;?;441.0;5;1;1005.0;1020.0;?;-2227.0;151.0;889.0
-1327.0;-203.0;-992.0;-918.0;355.0;?;?;1164.0;1004.0;-498.0;-2265.0;12.0;1019.0
-1590.0;-265.0;-1014.0;-922.0;?;5;-2;1120.0;1059.0;-493.0;?;145.0;1109.0
-1885.0;-327.0;?;-922.0;155.0;5;?;956.0;1028.0;?;-2322.0;?;1086.0
-1842.0;-254.0;-988.0;-821.0;64.0;?;?;899.0;?;-486.0;?;210.0;1017.0
-1564.0;-134.0;-987.0;-757.0;-18.0;5;5;669.0;881.0;-481.0;-1994.0;63.0;974.0
-1182.0;-19.0;-940.0;-662.0;-93.0;5;5;443.0;780.0;-480.0;-1859.0;-12.0;891.0
-654.0;-121.0;-948.0;-657.0;-148.0;5;1;260.0;628.0;-477.0;-1667.0;90.0;841.0
-392.0;-358.0;?;-602.0;-184.0;5;2;122.0;528.0;-482.0;-1202.0;292.0;644.0
-190.0;?;?;-754.0;-195.0;?;8;102.0;468.0;-481.0;?;?;?
?;?;-888.0;-669.0;?;5;1;173.0;523.0;-480.0;206.0;240.0;472.0
160.0;52.0;-980.0;-747.0;-191.0;5;-8;288.0;499.0;-480.0;?;102.0;601.0
-268.0;154.0;-955.0;-827.0;?;5;?;528.0;552.0;-485.0;?;-84.0;731.0
-389.0;279.0;-983.0;-865.0;?;5;1;586.0;680.0;-483.0;736.0;?;822.0
-289.0;194.0;?;-839.0;-153.0;?;-5;671.0;702.0;-486.0;?;-256.0;839.0
-40.0;?;-952.0;-816.0;-151.0;5;?;647.0;720.0;-486.0;397.0;?;803.0
85.0;161.0;-965.0;-809.0;-147.0;5;1;511.0;662.0;-489.0;257.0;-160.0;768.0
28.0;166.0;?;-766.0;-142.0;?;-3;?;?;?;244.0;-197.0;763.0
?;?;?;-732.0;-133.0;5;-2;428.0;601.0;-488.0;?;-58.0;?
-208.0;-130.0;-954.0;-689.0;-115.0;5;5;273.0;581.0;-486.0;456.0;105.0;664.0
-191.0;-262.0;?;-666.0;-88.0;5;1;273.0;541.0;-487.0;?;?;569.0
-297.0;-302.0;-965.0;-692.0;-43.0;?;1;215.0;?;-490.0;?;273.0;559.0
63.0;?;-983.0;?;585.0;5;1;595.0;424.0;-540.0;14.0;16.0;734.0
57.0;?;-958.0;-496.0;586.0;?;?;623.0;464.0;-539.0;57.0;-44.0;748.0
3.0;174.0;-956.0;-504.0;?;5;-8;?;445.0;-536.0;10.0;-29.0;?
-107.0;201.0;-965.0;-544.0;582.0;5;?;?;442.0;-538.0;-105.0;-80.0;?
-156.0;233.0;?;-567.0;?;5;0;796.0;475.0;-537.0;?;-123.0;798.0
-503.0;387.0;-930.0;-633.0;594.0;5;-5;798.0;537.0;-531.0;-191.0;-136.0;?
-368.0;461.0;?;-661.0;602.0;5;2;969.0;563.0;-533.0;-308.0;-240.0;875.0
-173.0;494.0;-922.0;-768.0;613.0;5;2;?;611.0;-528.0;-459.0;-356.0;977.0
-235.0;446.0;-943.0;?;610.0;5;-5;981.0;710.0;-529.0;-600.0;-376.0;1012.0
-40.0;347.0;-961.0;-753.0;603.0;?;3;982.0;694.0;?;-862.0;?;1002.0
122.0;240.0;-934.0;-824.0;586.0;?;4;963.0;?;-523.0;-1205.0;-313.0;981.0
?;58.0;-974.0;-871.0;548.0;5;3;1004.0;815.0;?;-1309.0;-226.0;?
?;-103.0;-994.0;-925.0;?;5;9;1036.0;882.0;-519.0;-1543.0;-35.0;965.0
-840.0;?;-1001.0;-868.0;418.0;5;4;1087.0;?;-513.0;-1566.0;?;?
-1337.0;-285.0;-1004.0;-994.0;344.0;5;-3;1006.0;888.0;?;-1534.0;101.0;992.0
-1363.0;-334.0;-1056.0;-980.0;275.0;5;4;910.0;984.0;-496.0;?;228.0;924.0
?;-276.0;-1015.0;-795.0;191.0;5;11;870.0;1007.0;-485.0;-1682.0;?;941.0
?;-211.0;-873.0;-703.0;100.0;5;11;?;?;?;?;?;923.0
-1373.0;-243.0;?;-621.0;7.0;5;8;557.0;?;-469.0;-1642.0;171.0;803.0
?;-207.0;-1016.0;-675.0;-69.0;5;1;156.0;657.0;?;-1612.0;?;702.0
-685.0;-290.0;-1032.0;-762.0;-122.0;5;-6;?;581.0;?;-1613.0;?;546.0
-322.0;-336.0;-913.0;-834.0;-153.0;5;-4;-282.0;640.0;?;?;443.0;332.0
-116.0;-218.0;-834.0;-551.0;-162.0;5;1;-124.0;644.0;-469.0;-877.0;339.0;291.0
23.0;-276.0;?;-695.0;-146.0;?;-3;?;408.0;?;-350.0;255.0;365.0
-157.0;-117.0;-929.0;-794.0;-128.0;?;-8;369.0;?;?;66.0;211.0;535.0
?;87.0;?;?;-119.0;5;-5;412.0;702.0;?;368.0;1.0;635.0
?;151.0;-1032.0;-888.0;-106.0;?;?;505.0;762.0;-469.0;410.0;-115.0;745.0
-397.0;53.0;-963.0;-918.0;-97.0;5;0;553.0;?;-471.0;?;-114.0;758.0
-282.0;154.0;?;-850.0;-89.0;5;-2;?;757.0;-474.0;282.0;-88.0;716.0
-177.0;105.0;?;?;-84.0;5;0;?;?;-475.0;?;-176.0;808.0
-111.0;117.0;-979.0;-850.0;-88.0;5;-4;559.0;749.0;-475.0;159.0;-108.0;774.0
-39.0;136.0;-983.0;-851.0;?;5;-12;570.0;717.0;-476.0;104.0;?;?
-75.0;?;?;-845.0;-92.0;5;-4;492.0;681.0;-474.0;104.0;-125.0;777.0
-31.0;74.0;?;-767.0;-95.0;5;?;?;685.0;?;123.0;?;681.0
59.0;-26.0;-912.0;-751.0;-94.0;5;2;240.0;597.0;?;139.0;-32.0;?
-182.0;?;-937.0;-713.0;-91.0;5;6;186.0;597.0;-471.0;164.0;?;?
-223.0;?;-910.0;-631.0;-71.0;5;-5;33.0;548.0;-471.0;265.0;288.0;466.0
28.0;148.0;-976.0;-395.0;?;5;-2;587.0;318.0;?;-189.0;67.0;698.0
55.0;155.0;-962.0;-400.0;539.0;?;-6;585.0;335.0;?;-200.0;40.0;708.0
-39.0;186.0;-946.0;-410.0;540.0;5;1;592.0;359.0;?;?;44.0;724.0
4.0;198.0;-951.0;-428.0;528.0;?;4;?;366.0;-550.0;-153.0;4.0;741.0
-79.0;168.0;-964.0;-435.0;531.0;5;1;604.0;405.0;-550.0;-152.0;7.0;708.0
3.0;187.0;-950.0;-441.0;538.0;5;0;?;390.0;-546.0;-159.0;5.0;732.0
-119.0;251.0;-945.0;?;540.0;5;-3;702.0;?;-546.0;-224.0;-50.0;761.0
-196.0;247.0;-965.0;-492.0;?;5;2;734.0;409.0;-545.0;-303.0;-113.0;799.0
-141.0;313.0;-946.0;-552.0;539.0;?;3;776.0;433.0;-542.0;-426.0;-93.0;780.0
-36.0;287.0;-949.0;-555.0;547.0;5;-3;769.0;496.0;-539.0;?;-189.0;810.0
?;239.0;?;-584.0;565.0;5;5;770.0;489.0;-540.0;-681.0;-136.0;791.0
?;300.0;-984.0;-675.0;?;5;0;691.0;?;-533.0;?;?;831.0
-219.0;?;-975.0;-700.0;597.0;5;-3;?;648.0;-530.0;-1066.0;-185.0;?
?;?;-926.0;-664.0;?;?;4;583.0;588.0;-527.0;-1272.0;-122.0;763.0
-97.0;125.0;-980.0;-736.0;?;5;-2;580.0;621.0;-523.0;?;-132.0;?
?;74.0;-993.0;-793.0;604.0;5;1;556.0;692.0;-517.0;?;-18.0;?
-113.0;96.0;-978.0;-808.0;587.0;5;?;489.0;731.0;-511.0;-1831.0;-8.0;689.0
?;44.0;?;?;563.0;5;3;535.0;761.0;-505.0;?;-4.0;?
-351.0;-43.0;?;-844.0;525.0;5;1;662.0;?;-501.0;-2028.0;-4.0;705.0
-893.0;?;-1012.0;-837.0;484.0;?;?;708.0;821.0;?;?;86.0;769.0
?;102.0;-972.0;?;444.0;?;0;655.0;793.0;-500.0;-2120.0;14.0;747.0
-989.0;188.0;-963.0;-824.0;397.0;?;-3;?;?;-497.0;-1963.0;-4.0;899.0
-1100.0;154.0;-972.0;-798.0;?;5;-4;865.0;767.0;-496.0;-1792.0;-107.0;?
-1063.0;126.0;-962.0;-881.0;?;5;3;786.0;843.0;-493.0;-1426.0;-152.0;984.0
?;242.0;-967.0;-802.0;?;5;2;726.0;924.0;?;-789.0;?;911.0
-1215.0;158.0;?;-776.0;238.0;5;0;662.0;734.0;-494.0;-654.0;-132.0;869.0
-1374.0;149.0;-958.0;-737.0;?;5;3;635.0;759.0;-493.0;-221.0;-90.0;865.0
?;?;-959.0;-807.0;?;5;-3;676.0;801.0;-493.0;-263.0;-203.0;764.0
-1127.0;272.0;-977.0;-876.0;?;5;2;706.0;821.0;-493.0;?;?;740.0
-941.0;305.0;-977.0;-846.0;194.0;5;4;670.0;839.0;-491.0;-519.0;-340.0;?
-1065.0;349.0;-963.0;-795.0;?;?;?;644.0;800.0;?;-571.0;-479.0;687.0
-1196.0;362.0;-957.0;-827.0;186.0;5;1;?;?;-485.0;-662.0;?;611.0
-1156.0;333.0;-956.0;-869.0;189.0;5;7;430.0;802.0;-482.0;-578.0;?;578.0
-1029.0;?;?;-889.0;194.0;5;10;?;830.0;-481.0;-557.0;-325.0;?
?;286.0;-993.0;-929.0;202.0;5;3;346.0;869.0;-478.0;-576.0;-353.0;416.0
-735.0;258.0;-980.0;-856.0;212.0;?;1;378.0;?;-475.0;-622.0;-342.0;?
-468.0;179.0;-971.0;-826.0;?;?;?;515.0;868.0;-476.0;-598.0;-316.0;428.0
?;?;?;-899.0;263.0;5;-5;622.0;?;-475.0;-523.0;-348.0;?
-419.0;268.0;-952.0;?;290.0;?;-5;608.0;978.0;-474.0;-310.0;-500.0;529.0
?;255.0;?;-963.0;320.0;5;?;?;926.0;-474.0;-313.0;-420.0;506.0
-367.0;?;-964.0;?;352.0;?;?;?;?;-476.0;-159.0;-479.0;?
-419.0;283.0;-944.0;-962.0;?;5;?;495.0;1039.0;-472.0;-35.0;-510.0;371.0
-358.0;?;-948.0;?;?;?;1;442.0;992.0;-474.0;-23.0;?;?
-257.0;254.0;-952.0;-994.0;457.0;5;?;?;?;-472.0;-44.0;-495.0;322.0
-294.0;?;-958.0;-986.0;?;5;-1;384.0;1002.0;-476.0;-46.0;-424.0;312.0
-312.0;159.0;-957.0;-1029.0;507.0;?;-1;368.0;996.0;-476.0;-40.0;-383.0;278.0
-293.0;207.0;-970.0;-1040.0;529.0;5;-2;360.0;1077.0;-477.0;-20.0;-397.0;274.0
-325.0;242.0;-963.0;-1023.0;545.0;5;0;352.0;1062.0;-475.0;?;-447.0;245.0
-290.0;181.0;-959.0;?;554.0;5;-3;?;1059.0;?;-129.0;?;275.0
-273.0;153.0;-964.0;?;563.0;?;?;362.0;1111.0;-476.0;-36.0;-331.0;?
-363.0;164.0;-963.0;-1019.0;569.0;5;5;354.0;1081.0;-477.0;-28.0;-322.0;282.0
-328.0;158.0;-968.0;?;?;?;2;338.0;1077.0;-475.0;-34.0;-350.0;?
?;150.0;?;-996.0;574.0;5;1;325.0;1029.0;-474.0;-53.0;-338.0;?
-431.0;136.0;-966.0;-1008.0;573.0;5;-1;299.0;1006.0;-476.0;-53.0;-313.0;247.0
-401.0;131.0;-966.0;?;570.0;?;?;278.0;1016.0;-476.0;?;-319.0;238.0
?;106.0;-962.0;?;570.0;5;?;274.0;1025.0;-475.0;-47.0;-306.0;241.0
-373.0;?;-962.0;-1000.0;569.0;?;?;266.0;1024.0;-476.0;-32.0;-292.0;239.0
-390.0;116.0;-959.0;-985.0;?;5;-2;?;1012.0;-475.0;-53.0;-292.0;240.0
-374.0;120.0;-968.0;-1001.0;568.0;?;-10;255.0;1007.0;-473.0;-43.0;-302.0;?
-402.0;135.0;-981.0;-1000.0;?;5;-3;?;1015.0;-471.0;-49.0;-302.0;?
-372.0;?;-980.0;?;571.0;?;9;248.0;998.0;-471.0;-63.0;-313.0;219.0
-380.0;?;-979.0;-1014.0;570.0;5;2;243.0;?;?;-99.0;-336.0;219.0
-327.0;148.0;?;-1015.0;573.0;4;?;234.0;1008.0;-467.0;?;?;206.0
-295.0;147.0;-970.0;-1001.0;?;4;4;230.0;1029.0;-470.0;?;-332.0;196.0
-301.0;159.0;-961.0;-1008.0;572.0;4;-12;228.0;1024.0;-469.0;-227.0;-354.0;190.0
-333.0;?;-971.0;?;?;4;-8;230.0;1016.0;-467.0;-331.0;-369.0;?
?;175.0;?;?;571.0;4;3;225.0;?;-465.0;-366.0;-395.0;168.0
-391.0;185.0;-944.0;-969.0;573.0;4;-2;229.0;?;?;-446.0;-391.0;199.0
-351.0;192.0;-936.0;-948.0;575.0;4;-1;234.0;982.0;-461.0;-509.0;-383.0;189.0
-379.0;199.0;?;-944.0;578.0;4;1;239.0;949.0;-461.0;-486.0;?;207.0
-362.0;209.0;-941.0;-962.0;581.0;4;-6;?;959.0;-459.0;-517.0;-418.0;201.0
