InertialMeasurementUnit RUA magneticZ;Accelerometer RUA^ accY;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LH accX;InertialMeasurementUnit RUA accX
-159.0;603.0;-155;-219.0;-401.0;915.0;-582.0
287.0;1018.0;-87;-358.0;-364.0;538.0;-871.0
112.0;1024.0;167;-425.0;88.0;830.0;-1038.0
-53.0;1108.0;74;-132.0;-206.0;336.0;-1150.0
-208.0;957.0;119;8.0;-4.0;359.0;-995.0
-61.0;892.0;-82;-315.0;-454.0;1128.0;-923.0
-290.0;1071.0;139;195.0;151.0;386.0;-981.0
-820.0;869.0;52;-334.0;494.0;229.0;-834.0
-335.0;1074.0;125;124.0;169.0;51.0;-980.0
-329.0;1101.0;125;461.0;156.0;79.0;-1012.0
-333.0;807.0;-164;-207.0;-382.0;485.0;-832.0
-255.0;1200.0;125;371.0;116.0;591.0;-987.0
-53.0;1212.0;159;289.0;-222.0;438.0;-1078.0
-58.0;845.0;-166;339.0;-556.0;489.0;-682.0
286.0;640.0;-166;-327.0;-648.0;751.0;-504.0
-216.0;1039.0;119;68.0;-52.0;283.0;-974.0
14.0;422.0;-166;-936.0;-240.0;921.0;-414.0
-197.0;1050.0;-89;-329.0;-135.0;660.0;-978.0
-203.0;1021.0;119;65.0;-82.0;488.0;-975.0
344.0;1071.0;-38;-182.0;-718.0;222.0;-905.0
122.0;948.0;-102;-213.0;-42.0;179.0;-794.0
-172.0;1008.0;-145;-190.0;-162.0;326.0;-888.0
-279.0;902.0;-51;-78.0;-385.0;520.0;-940.0
39.0;894.0;-157;-166.0;-596.0;766.0;-817.0
-128.0;635.0;-159;86.0;-338.0;915.0;-613.0
-646.0;941.0;67;-468.0;-152.0;516.0;-882.0
-200.0;824.0;50;-92.0;-52.0;598.0;-1156.0
-457.0;918.0;25;-59.0;14.0;302.0;-992.0
-565.0;1074.0;97;742.0;489.0;612.0;-1026.0
61.0;804.0;-157;-767.0;-569.0;616.0;-727.0
-762.0;575.0;83;-926.0;46.0;460.0;-715.0
276.0;1043.0;-151;-623.0;-625.0;725.0;-957.0
-125.0;874.0;-9;111.0;-520.0;129.0;-736.0
452.0;1014.0;-81;-279.0;-588.0;649.0;-948.0
2.0;945.0;2;141.0;-542.0;389.0;-841.0
-145.0;1036.0;-123;128.0;-432.0;479.0;-896.0
-150.0;1329.0;-25;198.0;-410.0;188.0;-999.0
198.0;893.0;-82;190.0;-90.0;333.0;-911.0
-398.0;959.0;144;-489.0;182.0;694.0;-924.0
-306.0;901.0;95;70.0;-479.0;286.0;-881.0
141.0;963.0;-156;-734.0;-160.0;894.0;-884.0
-206.0;832.0;-6;-113.0;-593.0;412.0;-666.0
-29.0;883.0;135;346.0;-57.0;-91.0;-805.0
-10.0;1011.0;108;34.0;202.0;223.0;-970.0
-123.0;966.0;-49;-649.0;-105.0;393.0;-962.0
-191.0;789.0;-167;268.0;-552.0;989.0;-750.0
-268.0;1029.0;-34;-69.0;-38.0;203.0;-1017.0
109.0;664.0;-166;-248.0;213.0;850.0;-646.0
132.0;1038.0;-136;344.0;-290.0;868.0;-949.0
357.0;829.0;-66;60.0;-611.0;356.0;-838.0
281.0;992.0;-167;19.0;-442.0;926.0;-935.0
-187.0;714.0;120;264.0;-40.0;223.0;-737.0
-374.0;979.0;114;31.0;-181.0;370.0;-771.0
-498.0;1033.0;83;122.0;588.0;271.0;-985.0
-228.0;1001.0;141;-686.0;283.0;454.0;-945.0
-699.0;815.0;150;48.0;23.0;312.0;-917.0
-292.0;1047.0;140;-414.0;135.0;446.0;-982.0
89.0;919.0;-121;-379.0;-237.0;808.0;-970.0
-230.0;1226.0;-26;-549.0;-157.0;-149.0;-1088.0
280.0;760.0;-166;-381.0;-484.0;345.0;-652.0
-394.0;949.0;-94;-195.0;451.0;399.0;-959.0
109.0;969.0;-97;710.0;-370.0;566.0;-878.0
