InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion2
714.0;?;-394.0;-10;?;?;4;?;?
?;-22;-266.0;16;-16;414.0;-22;-663.0;-579.0
716.0;-6;?;?;26;?;-6;-660.0;-577.0
718.0;?;-93.0;-50;?;416.0;16;-658.0;-576.0
721.0;-2;51.0;?;-10;416.0;?;?;-577.0
725.0;15;?;?;-35;418.0;15;-647.0;?
?;14;-219.0;6;-6;419.0;14;-637.0;-576.0
747.0;-22;?;13;-13;420.0;-22;-621.0;-575.0
765.0;?;-81.0;31;-31;422.0;-4;-601.0;-576.0
789.0;8;-4.0;?;-22;?;8;-572.0;-576.0
813.0;?;?;?;-64;422.0;-10;-537.0;-575.0
?;-1;143.0;96;-96;423.0;-1;-496.0;-576.0
868.0;-16;513.0;55;-55;423.0;-16;-450.0;?
896.0;?;766.0;45;?;424.0;?;-400.0;-579.0
921.0;14;536.0;52;-52;429.0;14;?;-584.0
938.0;27;-432.0;39;?;434.0;27;-301.0;-591.0
945.0;-7;-1620.0;36;-36;437.0;-7;-250.0;-594.0
?;3;-2351.0;?;-7;432.0;3;-209.0;?
934.0;?;-2752.0;?;?;420.0;16;-174.0;-586.0
926.0;-4;-2361.0;17;-17;413.0;-4;-137.0;-586.0
913.0;23;?;45;-45;411.0;23;-117.0;-583.0
892.0;44;-2106.0;12;?;409.0;44;-104.0;-579.0
867.0;33;-1247.0;?;22;408.0;?;-71.0;?
?;25;-1366.0;-21;21;406.0;25;-59.0;-567.0
?;17;-1574.0;-23;23;399.0;17;-37.0;?
?;12;-1226.0;?;58;400.0;12;-25.0;-564.0
755.0;-21;-815.0;-50;?;400.0;-21;?;?
?;-3;-195.0;12;-12;?;-3;-17.0;-565.0
742.0;?;140.0;9;?;406.0;34;-22.0;?
638.0;32;?;22;-22;390.0;?;-516.0;-622.0
640.0;-4;-69.0;-10;10;389.0;-4;-513.0;-622.0
?;-30;-104.0;-3;3;388.0;-30;-508.0;-621.0
653.0;-28;?;?;-35;387.0;?;-499.0;-618.0
665.0;2;-660.0;59;-59;?;2;-487.0;?
677.0;6;-786.0;47;-47;387.0;?;-470.0;?
694.0;?;-1016.0;22;-22;390.0;?;-448.0;-603.0
?;?;-1261.0;-6;6;394.0;8;-422.0;?
730.0;1;-1582.0;?;16;398.0;1;-394.0;-594.0
748.0;-2;-1958.0;-12;12;401.0;-2;-365.0;-591.0
767.0;23;-2373.0;-15;?;?;23;-334.0;-588.0
782.0;16;-2742.0;-33;?;406.0;16;?;-588.0
793.0;-24;-3221.0;-53;?;406.0;-24;?;?
799.0;9;-3684.0;-47;47;406.0;9;-260.0;-582.0
796.0;30;-4080.0;-40;40;?;30;-243.0;-580.0
781.0;11;-4631.0;-26;26;401.0;11;-230.0;-575.0
763.0;21;-4863.0;-13;13;396.0;21;-215.0;-569.0
735.0;57;-4614.0;-23;23;399.0;57;-194.0;?
?;70;-4222.0;-23;23;401.0;70;?;-567.0
667.0;-15;-3722.0;-29;29;404.0;?;-161.0;?
631.0;-43;-3320.0;-31;?;408.0;-43;-145.0;-570.0
593.0;-5;-2875.0;-6;6;?;-5;-130.0;?
559.0;-17;-2290.0;-32;32;?;?;-116.0;-577.0
534.0;-15;-1401.0;-55;55;421.0;-15;-104.0;-582.0
526.0;-7;-784.0;-8;8;426.0;-7;-104.0;-585.0
?;11;?;?;23;426.0;?;?;-582.0
529.0;3;94.0;-21;21;?;?;-105.0;-581.0
533.0;-49;345.0;12;?;423.0;-49;-106.0;-580.0
?;-27;457.0;7;?;?;-27;-110.0;-579.0
539.0;16;455.0;8;-8;422.0;16;?;-578.0
543.0;-9;475.0;?;28;?;-9;-116.0;-578.0
549.0;-9;?;-15;15;424.0;-9;-119.0;-576.0
?;-8;702.0;15;-15;?;-8;-125.0;?
561.0;-8;793.0;5;-5;425.0;?;-135.0;-576.0
?;?;979.0;30;-30;?;?;-147.0;-576.0
570.0;2;1077.0;39;?;423.0;2;-164.0;-574.0
?;3;-7.0;10;-10;360.0;?;-515.0;-596.0
609.0;26;?;33;-33;?;?;-515.0;-596.0
611.0;-26;?;?;?;362.0;?;-515.0;?
614.0;-47;-193.0;23;-23;364.0;-47;-515.0;-596.0
620.0;-17;-267.0;-29;29;?;?;-512.0;-594.0
629.0;-55;-456.0;-34;34;?;-55;-508.0;-592.0
640.0;?;-1111.0;-28;?;?;6;-502.0;-589.0
657.0;44;-1354.0;-60;60;377.0;44;-488.0;-580.0
678.0;3;?;-43;43;381.0;3;-467.0;?
?;-20;?;-7;7;385.0;?;-444.0;?
721.0;-10;-2663.0;-13;?;391.0;-10;-421.0;-574.0
?;?;-3415.0;5;?;395.0;7;-395.0;-572.0
753.0;-17;-4115.0;4;-4;399.0;-17;-365.0;-571.0
756.0;13;-4792.0;-21;21;?;13;-338.0;-570.0
751.0;-7;-5405.0;?;17;?;-7;-310.0;-567.0
742.0;-11;-5281.0;2;-2;399.0;-11;-276.0;?
723.0;47;-4962.0;6;?;403.0;47;-249.0;?
695.0;-16;-4453.0;-21;21;406.0;?;-225.0;-555.0
?;-40;-3767.0;-32;32;409.0;?;-200.0;-556.0
627.0;?;-3157.0;9;?;414.0;9;-180.0;-558.0
591.0;16;-2371.0;26;-26;423.0;?;?;-566.0
557.0;17;-1759.0;-15;15;428.0;?;-139.0;-570.0
?;-7;-1213.0;2;?;?;-7;?;?
521.0;-25;-691.0;46;?;436.0;-25;-121.0;?
514.0;?;-422.0;10;-10;441.0;-11;?;-579.0
512.0;-40;?;?;1;441.0;-40;-119.0;-579.0
?;?;160.0;25;-25;442.0;-49;?;?
517.0;?;278.0;12;-12;442.0;?;-114.0;-581.0
521.0;?;343.0;8;?;440.0;?;-112.0;-581.0
524.0;?;350.0;8;-8;439.0;30;-112.0;-581.0
527.0;-10;404.0;-3;3;438.0;?;-112.0;-581.0
?;?;407.0;8;-8;438.0;?;-115.0;-581.0
531.0;-3;?;41;-41;437.0;-3;-121.0;-581.0
533.0;-10;680.0;43;?;434.0;-10;-133.0;-579.0
?;?;895.0;16;-16;428.0;-24;?;-573.0
544.0;?;1157.0;-9;?;422.0;1;-180.0;-566.0
660.0;-2;41.0;-4;4;385.0;-2;-504.0;-566.0
660.0;?;7.0;?;?;385.0;18;-506.0;?
660.0;17;10.0;23;-23;386.0;17;-507.0;-569.0
661.0;-14;-55.0;4;-4;386.0;?;?;-571.0
662.0;1;-76.0;-17;?;386.0;1;-505.0;-572.0
?;?;-100.0;40;?;386.0;-5;-503.0;-573.0
?;-5;-229.0;39;-39;?;-5;-497.0;-573.0
683.0;-2;-425.0;38;-38;?;-2;-487.0;-573.0
697.0;?;-833.0;?;?;386.0;-11;-473.0;-572.0
713.0;-11;-1357.0;-5;?;?;-11;-456.0;-571.0
731.0;13;-2025.0;8;-8;?;13;-435.0;-571.0
?;?;-2846.0;-15;15;388.0;4;-415.0;-570.0
?;?;-3853.0;-32;32;?;-16;-392.0;-570.0
?;14;-4680.0;-44;44;?;14;-362.0;-569.0
761.0;1;-5400.0;-25;25;?;?;?;-569.0
753.0;10;?;6;-6;389.0;10;?;-567.0
?;?;-5674.0;-10;10;387.0;35;-266.0;-562.0
712.0;-16;-5512.0;-23;23;389.0;-16;-234.0;-559.0
?;-12;?;-14;14;393.0;-12;?;-561.0
644.0;21;-4455.0;-13;?;401.0;21;-175.0;-566.0
606.0;-4;?;-12;?;410.0;-4;-149.0;-570.0
569.0;-16;-2733.0;-16;16;420.0;-16;?;-576.0
541.0;?;-1842.0;-9;9;428.0;-29;-106.0;-571.0
519.0;-24;?;6;?;435.0;-24;?;-559.0
505.0;0;-752.0;-10;10;444.0;0;-92.0;-557.0
502.0;-59;-166.0;-6;6;445.0;-59;-82.0;-563.0
?;-55;?;23;?;445.0;-55;-78.0;-565.0
517.0;15;551.0;?;?;443.0;?;?;-564.0
528.0;-15;802.0;?;?;441.0;-15;-81.0;?
538.0;-35;930.0;27;-27;439.0;?;-87.0;-563.0
?;-6;774.0;14;-14;438.0;-6;-92.0;-562.0
550.0;?;571.0;-8;?;439.0;-11;-97.0;-562.0
556.0;-7;696.0;8;-8;439.0;-7;-100.0;-561.0
565.0;8;918.0;1;-1;439.0;8;-107.0;-561.0
577.0;?;1176.0;28;-28;?;-7;-120.0;-558.0
589.0;-14;1589.0;67;-67;435.0;-14;-140.0;-555.0
602.0;-13;1859.0;29;?;431.0;-13;?;-551.0
657.0;49;?;?;?;373.0;?;-526.0;-572.0
661.0;36;-123.0;34;-34;?;36;-523.0;-572.0
665.0;-27;-201.0;-3;3;?;?;?;-571.0
670.0;-47;?;-23;?;370.0;-47;-515.0;-569.0
?;7;-718.0;-3;?;371.0;?;-513.0;?
683.0;-2;-888.0;-1;1;?;-2;-505.0;?
?;7;-866.0;-14;14;?;7;?;-564.0
?;-15;-1169.0;-3;3;371.0;-15;-475.0;-563.0
?;?;?;6;-6;373.0;-6;-452.0;-563.0
?;?;-2326.0;-20;20;374.0;50;-425.0;-562.0
?;-4;-3019.0;-33;33;?;?;?;-563.0
746.0;?;-3647.0;-30;?;?;-30;?;-561.0
740.0;-8;-4293.0;-59;59;376.0;-8;-322.0;-559.0
726.0;?;-4621.0;?;48;375.0;-30;-283.0;?
701.0;-7;?;-16;16;?;?;-243.0;?
671.0;27;-4875.0;-13;13;377.0;27;-204.0;-557.0
636.0;-3;-4794.0;-13;13;?;-3;?;-554.0
?;-10;-4336.0;-24;24;377.0;?;-130.0;?
?;10;-3654.0;-4;4;383.0;10;?;?
?;?;?;2;-2;389.0;-10;?;-555.0
477.0;-27;-2103.0;-34;34;404.0;-27;?;-562.0
?;-24;?;-18;?;401.0;-24;-53.0;?
449.0;-15;-732.0;-3;3;408.0;-15;-54.0;?
448.0;?;-172.0;-24;24;413.0;-3;-57.0;-552.0
451.0;?;90.0;?;-3;415.0;?;?;-554.0
457.0;-21;366.0;12;-12;416.0;?;?;-555.0
?;-14;411.0;-22;?;418.0;-14;-66.0;-555.0
474.0;-12;?;?;10;416.0;-12;-72.0;-554.0
480.0;15;353.0;-11;11;416.0;15;-75.0;-553.0
483.0;20;314.0;?;23;417.0;20;-76.0;?
?;?;285.0;?;-21;418.0;7;-77.0;-551.0
490.0;-19;182.0;9;-9;419.0;?;-76.0;?
?;?;152.0;-14;14;420.0;-36;-73.0;-551.0
496.0;-36;205.0;-16;16;423.0;-36;-72.0;-551.0
500.0;?;424.0;-18;18;424.0;-36;?;-551.0
506.0;-3;670.0;?;-56;?;-3;-80.0;-550.0
514.0;?;?;?;-50;423.0;6;-93.0;-550.0
679.0;-7;-102.0;-4;4;353.0;-7;-514.0;-563.0
?;?;-72.0;-39;39;355.0;41;-516.0;-563.0
681.0;?;?;-49;?;?;18;?;-563.0
682.0;-24;-123.0;-5;5;358.0;-24;-518.0;-564.0
684.0;-10;-108.0;2;-2;360.0;-10;-519.0;-564.0
?;1;?;-16;16;361.0;1;-519.0;-563.0
690.0;-14;?;-5;5;?;-14;-518.0;-563.0
694.0;-25;?;-10;?;364.0;-25;-516.0;?
?;1;?;?;?;366.0;1;-513.0;?
710.0;27;?;-25;?;369.0;27;?;-563.0
718.0;?;-1060.0;-11;11;?;9;-504.0;?
729.0;12;-1411.0;-22;?;377.0;12;?;-566.0
741.0;13;-1702.0;?;13;380.0;13;-486.0;-567.0
754.0;6;-2027.0;13;-13;382.0;6;-473.0;-566.0
765.0;5;?;5;?;?;5;-463.0;?
775.0;-13;-3144.0;14;?;383.0;?;-451.0;-559.0
786.0;-7;?;?;?;383.0;-7;-437.0;-553.0
794.0;?;-4054.0;-11;11;383.0;?;?;-551.0
798.0;-15;-4657.0;-3;3;382.0;-15;?;-545.0
796.0;0;-5148.0;58;?;380.0;0;-417.0;-542.0
795.0;-5;-5328.0;44;-44;380.0;?;-411.0;-538.0
795.0;?;-4960.0;19;-19;381.0;11;-399.0;-536.0
789.0;33;-4626.0;1;?;382.0;33;-390.0;-533.0
781.0;-37;-4426.0;?;-3;384.0;-37;-384.0;-530.0
?;-35;-3972.0;?;-26;386.0;-35;-375.0;-532.0
771.0;?;-3701.0;25;-25;385.0;8;-372.0;-532.0
769.0;?;-3679.0;27;-27;384.0;-26;?;?
?;?;?;?;?;384.0;-25;-371.0;-530.0
759.0;-42;-2964.0;4;-4;384.0;-42;?;?
751.0;?;-2512.0;-6;?;382.0;?;-379.0;?
742.0;?;-2023.0;-4;4;380.0;13;-384.0;?
736.0;-9;-1455.0;-16;16;378.0;?;?;?
736.0;7;?;-13;13;376.0;7;-402.0;-529.0
739.0;28;-223.0;12;-12;375.0;28;-418.0;?
745.0;12;196.0;33;-33;?;12;-440.0;-527.0
?;4;579.0;39;-39;?;4;-466.0;-526.0
?;7;?;36;-36;?;7;-495.0;-524.0
760.0;6;747.0;38;-38;374.0;?;-517.0;-521.0
760.0;?;758.0;37;-37;374.0;?;-537.0;-521.0
758.0;6;580.0;?;-36;375.0;?;?;-523.0
756.0;12;529.0;31;-31;376.0;12;-569.0;-525.0
753.0;21;587.0;?;4;376.0;?;-583.0;-527.0
751.0;8;?;12;?;377.0;8;?;?
748.0;?;?;34;-34;?;-17;-601.0;-531.0
744.0;?;446.0;-2;2;379.0;-15;?;-533.0
740.0;11;?;2;-2;380.0;11;?;-535.0
737.0;16;?;22;?;381.0;?;-620.0;-537.0
734.0;-7;341.0;60;-60;382.0;-7;-623.0;-540.0
?;8;267.0;33;-33;382.0;8;-625.0;-541.0
729.0;38;148.0;-35;35;383.0;38;-627.0;-541.0
729.0;28;112.0;13;-13;382.0;28;-627.0;-541.0
?;33;22.0;59;-59;?;?;?;-540.0
728.0;44;?;56;-56;379.0;?;-627.0;?
729.0;23;-53.0;51;-51;378.0;23;?;-539.0
729.0;1;-48.0;-20;?;377.0;1;-625.0;-538.0
729.0;-3;-11.0;-38;38;376.0;-3;?;-537.0
?;15;8.0;?;12;375.0;?;-624.0;-537.0
728.0;-1;31.0;?;34;374.0;-1;-624.0;?
727.0;-86;23.0;10;-10;373.0;-86;-624.0;?
728.0;-116;?;?;83;373.0;-116;-623.0;-533.0
729.0;-260;98.0;-175;175;?;-260;-623.0;-531.0
730.0;-578;77.0;-565;?;372.0;?;-622.0;-530.0
731.0;-854;87.0;-1500;1500;371.0;-854;-621.0;-527.0
?;?;?;-2011;2011;371.0;-934;?;-524.0
734.0;-649;-37.0;-2000;2000;370.0;-649;-619.0;-521.0
735.0;-556;-56.0;-1650;?;370.0;-556;?;-515.0
736.0;-602;-79.0;-1279;1279;369.0;-602;-613.0;?
737.0;-314;?;-1220;?;370.0;-314;-610.0;-505.0
738.0;?;-170.0;?;1035;371.0;-127;-607.0;-499.0
739.0;-89;?;-915;915;371.0;-89;-603.0;-493.0
740.0;-71;-243.0;-862;862;370.0;?;?;-485.0
740.0;-65;-319.0;?;684;370.0;?;-596.0;?
739.0;34;-356.0;-660;660;369.0;34;-592.0;-471.0
?;76;-462.0;-621;621;368.0;76;-589.0;?
?;-1;-502.0;-384;384;?;?;?;?
739.0;-91;-465.0;?;?;367.0;-91;-580.0;-451.0
?;-178;-474.0;?;182;367.0;-178;-575.0;-446.0
738.0;-75;-481.0;-69;69;366.0;-75;?;-439.0
737.0;1;?;-190;190;364.0;1;?;-431.0
736.0;-24;-494.0;-162;162;361.0;-24;-561.0;-424.0
735.0;99;?;-24;24;359.0;99;-557.0;-416.0
734.0;-36;-350.0;-380;380;356.0;-36;-554.0;-409.0
?;253;-308.0;439;?;352.0;253;-552.0;-403.0
729.0;-242;-269.0;-497;?;348.0;-242;?;-397.0
727.0;202;-209.0;618;-618;343.0;202;-545.0;?
725.0;19;?;201;-201;?;19;-543.0;-387.0
722.0;335;-163.0;328;?;334.0;335;-542.0;-383.0
720.0;4518;-142.0;10055;-10055;?;4518;?;-380.0
717.0;178;-64.0;2039;-2039;326.0;178;-541.0;-376.0
?;-968;?;?;5283;322.0;-968;-542.0;-375.0
713.0;4391;22.0;3849;?;318.0;?;-542.0;-374.0
?;282;43.0;?;-491;315.0;282;-543.0;-373.0
710.0;-686;81.0;-750;750;313.0;?;-543.0;?
708.0;542;58.0;?;-986;?;542;-542.0;-372.0
710.0;-439;-13.0;-1296;1296;328.0;-439;-578.0;-449.0
710.0;-385;41.0;-1203;1203;329.0;-385;-579.0;-450.0
711.0;?;61.0;-1122;1122;331.0;-311;-579.0;?
711.0;-235;93.0;-891;891;331.0;-235;?;-451.0
712.0;-296;71.0;?;847;332.0;-296;?;-451.0
712.0;?;21.0;?;827;333.0;?;-581.0;-451.0
713.0;-220;4.0;-699;?;?;-220;?;-451.0
713.0;-146;?;?;528;?;-146;-580.0;-450.0
?;?;?;-436;436;335.0;33;-580.0;-450.0
?;?;-163.0;-467;?;336.0;67;-579.0;-449.0
714.0;-52;-158.0;-316;?;337.0;-52;-577.0;-447.0
714.0;-141;-156.0;-166;166;337.0;?;-575.0;-444.0
715.0;-363;-179.0;-108;108;?;?;?;-440.0
715.0;-402;-155.0;-44;44;334.0;-402;-570.0;-435.0
714.0;109;-219.0;-320;320;331.0;109;-566.0;-429.0
714.0;361;-268.0;-242;?;329.0;?;-563.0;-422.0
713.0;?;-286.0;106;-106;?;137;-558.0;?
712.0;-3;-297.0;-172;?;323.0;-3;-553.0;?
710.0;?;-333.0;?;84;319.0;21;?;-398.0
708.0;32;-357.0;302;-302;?;32;-542.0;-389.0
706.0;?;-380.0;-214;214;310.0;-257;?;-380.0
704.0;179;?;669;?;?;?;-531.0;-371.0
701.0;-482;-347.0;-246;246;302.0;?;-526.0;-363.0
699.0;-37;-330.0;766;?;?;-37;-521.0;?
?;-72;-353.0;?;-544;294.0;-72;-517.0;-348.0
694.0;?;-314.0;-1153;1153;290.0;-745;?;-341.0
692.0;?;?;8231;?;287.0;4087;-510.0;?
689.0;-186;?;1506;-1506;285.0;-186;-509.0;-334.0
687.0;?;?;-9269;9269;?;-5298;-508.0;-334.0
686.0;524;?;-387;387;283.0;524;-509.0;-335.0
686.0;497;?;420;-420;283.0;497;-511.0;-338.0
686.0;-385;113.0;-584;584;?;-385;-514.0;-343.0
?;521;?;967;-967;285.0;521;-517.0;?
689.0;-265;398.0;?;396;?;-265;?;?
691.0;99;442.0;118;-118;288.0;99;-524.0;-355.0
692.0;?;463.0;?;90;291.0;-39;-528.0;-364.0
691.0;-37;429.0;-56;?;?;-37;-532.0;-370.0
686.0;-22;?;64;?;297.0;-22;-540.0;-372.0
?;-115;?;?;11;295.0;-115;-553.0;-391.0
688.0;-42;-276.0;9;-9;?;-42;-561.0;?
687.0;?;249.0;-11;?;?;?;-568.0;-416.0
684.0;-4;442.0;?;25;295.0;-4;-569.0;-422.0
682.0;-11;?;-43;?;296.0;-11;?;-426.0
681.0;-48;607.0;?;34;296.0;-48;?;-428.0
683.0;-45;334.0;-43;?;297.0;-45;-582.0;-430.0
685.0;-15;?;-55;55;298.0;-15;-587.0;-433.0
688.0;-15;?;?;?;?;-15;?;-435.0
689.0;-15;492.0;-53;53;299.0;?;-592.0;-437.0
689.0;-78;370.0;-56;56;300.0;-78;?;-438.0
689.0;-207;215.0;-170;170;?;?;?;?
691.0;-303;76.0;-414;414;?;-303;-591.0;?
692.0;?;?;?;763;304.0;-391;?;-438.0
694.0;?;-30.0;?;?;305.0;?;-586.0;-436.0
695.0;-590;?;-1037;?;306.0;-590;-583.0;-434.0
?;?;-56.0;?;1140;306.0;?;?;-433.0
697.0;-362;-66.0;-1049;1049;308.0;-362;-577.0;-430.0
698.0;-416;?;-1416;?;309.0;-416;-574.0;-427.0
700.0;-412;?;-1584;1584;310.0;-412;?;-426.0
701.0;-400;?;-1176;1176;312.0;-400;-570.0;-426.0
702.0;-296;-206.0;?;1056;314.0;-296;-569.0;-426.0
703.0;-99;-175.0;?;835;315.0;-99;-568.0;-427.0
704.0;-83;?;?;629;316.0;-83;-567.0;?
705.0;?;-54.0;?;604;318.0;-202;-566.0;-425.0
706.0;-97;-19.0;-247;247;320.0;-97;-565.0;-423.0
?;-384;8.0;143;-143;?;-384;-563.0;-422.0
709.0;-689;-54.0;100;-100;322.0;-689;-562.0;-422.0
?;-28;-63.0;-197;197;?;?;-560.0;-421.0
713.0;315;-80.0;?;245;325.0;315;-559.0;-420.0
?;-29;-59.0;-259;?;325.0;-29;-558.0;?
714.0;194;-93.0;46;-46;325.0;194;-557.0;-416.0
714.0;?;?;-209;209;325.0;?;-556.0;?
714.0;?;-103.0;-184;?;324.0;114;-555.0;-410.0
715.0;341;?;308;-308;?;?;-553.0;-406.0
715.0;?;-145.0;-752;?;322.0;-603;-552.0;-402.0
714.0;651;-209.0;?;-1206;320.0;651;?;?
713.0;?;?;-412;412;?;-647;-548.0;-393.0
713.0;5416;-287.0;10681;?;318.0;5416;-544.0;?
712.0;14564;-345.0;24564;-24564;317.0;14564;-540.0;?
710.0;3453;?;4538;-4538;315.0;3453;-536.0;-379.0
709.0;-2432;?;-4815;4815;315.0;-2432;?;?
708.0;1353;-257.0;2291;?;314.0;?;?;-373.0
707.0;?;-97.0;-1012;1012;?;-769;-526.0;-371.0
706.0;4;-14.0;196;-196;313.0;4;-524.0;-370.0
700.0;-97;71.0;?;98;308.0;-97;-561.0;-436.0
700.0;-118;47.0;-203;?;?;-118;-563.0;?
700.0;-240;83.0;?;496;309.0;-240;?;?
700.0;-343;73.0;-567;567;?;-343;-565.0;-438.0
700.0;-319;57.0;-451;451;309.0;?;-565.0;-438.0
700.0;-550;58.0;-1257;1257;309.0;-550;-566.0;-438.0
700.0;-654;17.0;-1745;1745;309.0;-654;-567.0;?
?;-312;13.0;-1776;1776;310.0;-312;-567.0;-438.0
701.0;-131;23.0;-1709;?;309.0;-131;-567.0;-437.0
701.0;-234;-28.0;-1218;1218;310.0;-234;-567.0;-435.0
701.0;-260;-13.0;?;1218;310.0;-260;-567.0;?
701.0;?;-26.0;-872;872;309.0;-209;-566.0;-434.0
702.0;-249;43.0;-647;647;?;-249;?;-433.0
702.0;-176;18.0;-546;?;311.0;-176;-566.0;-432.0
703.0;-91;?;?;8;?;-91;-566.0;-431.0
705.0;-156;24.0;?;69;313.0;-156;-565.0;-430.0
706.0;-78;-3.0;?;?;?;-78;-565.0;-429.0
707.0;-26;-1.0;-99;99;315.0;-26;-564.0;-428.0
709.0;-59;?;15;-15;316.0;-59;-562.0;-426.0
?;-27;?;-155;?;317.0;-27;-560.0;?
?;62;-49.0;110;-110;318.0;62;-559.0;-420.0
712.0;28;-81.0;264;?;319.0;28;-556.0;-418.0
713.0;?;-117.0;333;-333;319.0;?;-554.0;-417.0
?;?;-128.0;5288;-5288;319.0;1700;-552.0;?
713.0;?;-90.0;7940;-7940;319.0;2858;-551.0;-414.0
?;1577;-82.0;3552;-3552;320.0;1577;-550.0;?
712.0;52;-97.0;358;-358;319.0;52;-549.0;-412.0
711.0;121;-39.0;?;90;319.0;121;-549.0;-412.0
710.0;-3;35.0;22;-22;318.0;-3;?;-412.0
709.0;-276;66.0;?;-67;?;-276;-549.0;-413.0
709.0;-80;159.0;?;40;316.0;-80;-549.0;-414.0
?;-12;269.0;19;-19;315.0;-12;-548.0;?
707.0;39;437.0;?;37;314.0;39;-547.0;-415.0
703.0;54;377.0;-95;95;314.0;54;?;-419.0
701.0;39;43.0;-76;76;312.0;39;-553.0;-431.0
702.0;?;?;-85;?;307.0;59;?;-441.0
?;33;-71.0;-43;43;303.0;33;-568.0;-447.0
?;15;277.0;57;?;301.0;15;-571.0;-444.0
701.0;17;?;47;-47;301.0;17;-573.0;-441.0
699.0;?;341.0;43;-43;300.0;15;-575.0;-438.0
698.0;33;83.0;?;-51;300.0;33;?;-434.0
?;25;-109.0;8;-8;301.0;25;-575.0;-434.0
700.0;-16;?;-18;18;303.0;-16;-575.0;-436.0
701.0;4;-1.0;-12;12;305.0;4;-575.0;?
701.0;27;21.0;?;13;306.0;27;?;-448.0
701.0;-7;53.0;-31;?;?;-7;-577.0;?
701.0;-23;84.0;-17;?;307.0;?;-579.0;-459.0
701.0;-22;172.0;?;?;308.0;-22;?;-464.0
702.0;14;266.0;18;-18;309.0;?;-581.0;-466.0
703.0;34;309.0;-35;35;309.0;?;?;?
703.0;-12;324.0;?;6;309.0;-12;-584.0;-466.0
703.0;?;270.0;8;-8;309.0;-25;-586.0;-467.0
703.0;-18;167.0;-43;?;309.0;-18;-587.0;?
703.0;22;?;?;37;310.0;22;?;-468.0
704.0;7;41.0;?;-10;310.0;?;-588.0;-470.0
705.0;-55;-19.0;13;-13;311.0;-55;-588.0;-472.0
705.0;18;-71.0;-29;?;312.0;18;-588.0;-472.0
705.0;92;-70.0;?;31;313.0;92;-587.0;-475.0
705.0;37;?;21;-21;?;?;-586.0;-475.0
706.0;-43;58.0;-22;22;313.0;-43;-585.0;?
707.0;?;94.0;-78;78;313.0;-21;-585.0;-477.0
708.0;-292;76.0;?;733;313.0;-292;-585.0;?
?;?;?;-1887;1887;?;-748;-585.0;-476.0
709.0;-729;141.0;-2096;?;314.0;?;-584.0;?
710.0;-663;135.0;-1692;1692;314.0;-663;-584.0;-476.0
709.0;-573;?;-1564;1564;314.0;-573;-585.0;-477.0
710.0;?;30.0;-1348;?;315.0;?;?;-477.0
?;-322;?;?;1051;316.0;-322;-586.0;-477.0
710.0;?;11.0;?;793;316.0;-430;-586.0;-478.0
711.0;-362;31.0;?;542;317.0;-362;-587.0;-480.0
711.0;-79;45.0;-705;705;318.0;?;-587.0;-480.0
