InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ay
1052;-3618;-162;659;946.0;142.0;-102;-307.0;-48;496
-2205;-1610;-144;667;77.0;209.0;-227;25.0;143;786
155;177;-160;51;-182.0;-45.0;37;31.0;0;172
16;52;-156;24;723.0;264.0;17;-380.0;13;733
-167;264;-168;26;-283.0;-392.0;2777;457.0;970;646
-12;-10;-160;17;-81.0;47.0;60;89.0;3;683
-26;33;-163;15;429.0;-185.0;-264;1017.0;20;685
0;29;-156;15;110.0;431.0;-24;-168.0;0;656
-23;7;-156;24;8.0;-28.0;14;65.0;-28;661
-1727;7030;-137;-1116;-611.0;-102.0;-488;578.0;497;2205
-3;23;-153;18;81.0;176.0;-25;20.0;10;667
13;-18;-174;20;-37.0;12.0;-17;23.0;-24;668
770;1038;-159;-16;474.0;1281.0;-14;-237.0;-10;818
-2;2;-160;17;24.0;170.0;-12;-133.0;-1;682
4;5;-159;21;-372.0;-494.0;-12;116.0;-24;650
-4;-21;-159;20;603.0;1096.0;22;-142.0;17;656
-6;16;-162;20;-46.0;-630.0;-14;-15.0;26;661
7;29;-175;24;174.0;654.0;-13;501.0;-4;656
-946;4983;-166;335;-275.0;-108.0;-3917;534.0;-1332;181
-542;257;-157;0;190.0;388.0;-33;-52.0;-13;687
-55;-10;-162;16;-1354.0;-1474.0;704;503.0;1167;663
54;99;-180;17;-1325.0;-768.0;5945;565.0;-98;672
-5;14;-133;15;35.0;39.0;6;22.0;-11;754
