InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit BACK magneticX;Accelerometer BACK accZ;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LLA magneticY;Accelerometer HIP accZ
283.0;277.0;40.0;439.0;-606.0;32.0;584.0;396.0
847.0;308.0;408.0;604.0;-1010.0;-158.0;361.0;10.0
258.0;318.0;364.0;606.0;-449.0;-183.0;670.0;143.0
284.0;276.0;30.0;441.0;-591.0;32.0;583.0;409.0
126.0;-544.0;910.0;891.0;-838.0;339.0;470.0;96.0
403.0;366.0;80.0;571.0;-700.0;-278.0;234.0;279.0
284.0;-547.0;384.0;423.0;-598.0;99.0;-406.0;358.0
308.0;259.0;48.0;448.0;-616.0;45.0;599.0;401.0
237.0;528.0;208.0;527.0;-537.0;-459.0;444.0;365.0
74.0;478.0;-152.0;472.0;-593.0;-205.0;611.0;281.0
631.0;-199.0;241.0;799.0;-528.0;36.0;85.0;198.0
861.0;-746.0;259.0;114.0;-873.0;700.0;223.0;-240.0
282.0;282.0;39.0;438.0;-607.0;25.0;583.0;400.0
494.0;-373.0;214.0;736.0;-409.0;110.0;-161.0;203.0
181.0;-639.0;-59.0;507.0;-435.0;575.0;33.0;358.0
336.0;-619.0;-75.0;272.0;-683.0;124.0;-336.0;332.0
443.0;-270.0;131.0;808.0;-458.0;78.0;-50.0;98.0
112.0;-580.0;5.0;272.0;-449.0;289.0;-497.0;347.0
91.0;0.0;61.0;1113.0;-594.0;-52.0;463.0;482.0
232.0;436.0;180.0;585.0;-568.0;-215.0;674.0;268.0
568.0;58.0;45.0;609.0;-722.0;104.0;668.0;-178.0
302.0;259.0;59.0;448.0;-641.0;45.0;602.0;400.0
340.0;240.0;315.0;492.0;-592.0;-25.0;637.0;225.0
280.0;292.0;39.0;436.0;-610.0;20.0;580.0;395.0
292.0;264.0;42.0;444.0;-610.0;35.0;596.0;414.0
183.0;221.0;-50.0;487.0;-682.0;42.0;615.0;351.0
135.0;-381.0;149.0;682.0;-500.0;23.0;-291.0;771.0
309.0;258.0;55.0;448.0;-640.0;41.0;599.0;408.0
142.0;374.0;36.0;397.0;-456.0;-85.0;524.0;475.0
116.0;-657.0;-32.0;537.0;-474.0;501.0;683.0;447.0
146.0;398.0;573.0;527.0;-438.0;-502.0;131.0;392.0
314.0;-319.0;236.0;463.0;-579.0;-202.0;-357.0;242.0
87.0;398.0;-79.0;417.0;-493.0;-120.0;624.0;488.0
220.0;499.0;-21.0;429.0;-540.0;-401.0;329.0;400.0
83.0;280.0;266.0;485.0;-760.0;-34.0;540.0;274.0
120.0;-18.0;131.0;951.0;-492.0;110.0;624.0;372.0
302.0;329.0;8.0;455.0;-733.0;-81.0;504.0;325.0
243.0;32.0;-77.0;1055.0;-515.0;63.0;530.0;287.0
1.0;466.0;443.0;413.0;-395.0;-293.0;478.0;428.0
286.0;281.0;7.0;449.0;-626.0;15.0;602.0;422.0
155.0;46.0;425.0;652.0;-585.0;-183.0;173.0;-49.0
279.0;296.0;58.0;435.0;-606.0;15.0;584.0;413.0
158.0;-83.0;791.0;992.0;-629.0;-119.0;68.0;330.0
196.0;-421.0;138.0;826.0;-491.0;159.0;17.0;429.0
112.0;34.0;523.0;1007.0;-530.0;-9.0;635.0;460.0
243.0;-534.0;-63.0;578.0;-510.0;516.0;262.0;186.0
381.0;-661.0;-136.0;348.0;-640.0;411.0;-264.0;124.0
290.0;333.0;-39.0;456.0;-617.0;-83.0;588.0;448.0
482.0;282.0;-416.0;569.0;-712.0;-279.0;220.0;40.0
