InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit BACK magneticX;Accelerometer BACK accZ;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LLA magneticY;Accelerometer HIP accZ
62.0;38.0;?;517.0;-402.0;-423.0;562.0;348.0
87.0;58.0;14.0;516.0;-403.0;?;554.0;327.0
120.0;86.0;12.0;515.0;-373.0;-425.0;541.0;349.0
50.0;597.0;-13.0;506.0;?;-432.0;?;395.0
48.0;?;?;505.0;-190.0;?;-133.0;428.0
47.0;597.0;-43.0;502.0;-102.0;-431.0;?;?
10.0;588.0;?;500.0;-244.0;-433.0;-59.0;415.0
16.0;584.0;0.0;?;-216.0;?;0.0;410.0
-39.0;581.0;0.0;499.0;?;-430.0;65.0;?
15.0;567.0;20.0;499.0;-219.0;-432.0;164.0;420.0
25.0;547.0;7.0;502.0;-207.0;-433.0;?;404.0
41.0;514.0;2.0;501.0;-209.0;-434.0;427.0;417.0
27.0;488.0;?;501.0;-199.0;-436.0;546.0;?
32.0;477.0;8.0;499.0;-322.0;-438.0;631.0;418.0
29.0;470.0;-29.0;501.0;-339.0;-439.0;671.0;?
7.0;471.0;-42.0;502.0;-353.0;-443.0;649.0;395.0
59.0;475.0;-1.0;503.0;-405.0;-450.0;?;426.0
105.0;478.0;22.0;506.0;-476.0;-451.0;459.0;389.0
97.0;472.0;29.0;505.0;-497.0;-457.0;347.0;365.0
121.0;459.0;7.0;508.0;-580.0;-457.0;249.0;375.0
?;439.0;40.0;509.0;-559.0;-458.0;180.0;413.0
?;418.0;45.0;511.0;?;-464.0;124.0;390.0
194.0;402.0;29.0;511.0;-562.0;-465.0;103.0;450.0
216.0;391.0;40.0;516.0;-595.0;?;?;463.0
222.0;390.0;20.0;517.0;?;-470.0;85.0;499.0
228.0;398.0;31.0;517.0;-544.0;-471.0;83.0;487.0
216.0;?;51.0;516.0;?;-472.0;102.0;532.0
209.0;?;58.0;515.0;-514.0;-473.0;135.0;493.0
193.0;444.0;63.0;513.0;-525.0;-471.0;176.0;433.0
177.0;458.0;64.0;?;-534.0;-472.0;225.0;466.0
171.0;471.0;45.0;507.0;-512.0;-471.0;?;489.0
176.0;487.0;59.0;?;-512.0;-466.0;?;447.0
174.0;494.0;105.0;503.0;-483.0;-468.0;357.0;462.0
175.0;504.0;143.0;503.0;-497.0;-468.0;?;459.0
165.0;514.0;179.0;500.0;-481.0;-468.0;402.0;428.0
157.0;521.0;283.0;500.0;-502.0;-467.0;419.0;385.0
166.0;526.0;355.0;495.0;-549.0;-470.0;428.0;416.0
151.0;532.0;474.0;497.0;-513.0;-470.0;439.0;411.0
154.0;537.0;446.0;498.0;-507.0;-470.0;449.0;?
162.0;540.0;?;500.0;?;-469.0;451.0;401.0
174.0;541.0;53.0;502.0;-562.0;-472.0;450.0;365.0
180.0;540.0;-32.0;504.0;-554.0;-470.0;440.0;355.0
198.0;539.0;?;505.0;-554.0;-471.0;428.0;369.0
207.0;538.0;?;508.0;-559.0;-467.0;418.0;375.0
217.0;?;59.0;510.0;-566.0;-463.0;403.0;375.0
225.0;535.0;172.0;511.0;-559.0;?;389.0;381.0
234.0;531.0;217.0;517.0;-545.0;-460.0;371.0;421.0
237.0;524.0;312.0;518.0;-568.0;-457.0;351.0;?
230.0;520.0;?;518.0;-554.0;-456.0;332.0;398.0
227.0;514.0;286.0;519.0;-540.0;-455.0;?;384.0
225.0;506.0;142.0;518.0;-559.0;-457.0;312.0;413.0
217.0;499.0;310.0;517.0;-537.0;-455.0;299.0;387.0
206.0;492.0;374.0;517.0;-526.0;-459.0;288.0;385.0
202.0;487.0;?;?;-505.0;-456.0;285.0;?
197.0;485.0;?;515.0;?;-460.0;283.0;391.0
194.0;485.0;277.0;516.0;-375.0;-466.0;286.0;?
203.0;482.0;278.0;514.0;-571.0;-464.0;296.0;286.0
?;482.0;228.0;513.0;-849.0;?;312.0;409.0
190.0;?;285.0;512.0;-426.0;-473.0;331.0;287.0
238.0;492.0;?;512.0;-570.0;-479.0;344.0;317.0
70.0;504.0;363.0;510.0;-400.0;-483.0;357.0;?
169.0;?;341.0;?;-381.0;-491.0;365.0;281.0
221.0;537.0;312.0;499.0;-436.0;-493.0;364.0;197.0
133.0;553.0;259.0;496.0;-607.0;-492.0;361.0;282.0
138.0;569.0;229.0;497.0;-546.0;-488.0;356.0;394.0
148.0;575.0;262.0;498.0;-462.0;-486.0;363.0;378.0
218.0;578.0;253.0;497.0;-430.0;-484.0;392.0;429.0
157.0;583.0;309.0;500.0;?;?;426.0;361.0
?;584.0;?;499.0;-454.0;?;442.0;354.0
128.0;589.0;391.0;499.0;-480.0;-481.0;440.0;?
151.0;591.0;327.0;495.0;-448.0;-482.0;448.0;385.0
146.0;589.0;425.0;500.0;-433.0;-479.0;456.0;369.0
137.0;588.0;179.0;498.0;-455.0;?;460.0;355.0
141.0;585.0;349.0;500.0;-442.0;-476.0;465.0;365.0
135.0;583.0;-994.0;500.0;-440.0;-474.0;458.0;361.0
144.0;577.0;100.0;504.0;-411.0;-473.0;448.0;346.0
152.0;569.0;0.0;503.0;-432.0;-470.0;435.0;359.0
?;563.0;-18.0;505.0;-430.0;-469.0;428.0;411.0
137.0;556.0;-18.0;508.0;-461.0;?;424.0;429.0
?;552.0;135.0;510.0;-449.0;-463.0;414.0;410.0
128.0;545.0;355.0;513.0;-403.0;?;406.0;404.0
140.0;541.0;298.0;516.0;-399.0;-459.0;394.0;385.0
?;538.0;200.0;520.0;-471.0;-451.0;386.0;329.0
140.0;532.0;?;521.0;-489.0;-449.0;?;341.0
152.0;529.0;207.0;524.0;-478.0;?;374.0;384.0
178.0;?;225.0;526.0;-472.0;-444.0;376.0;384.0
195.0;522.0;220.0;?;-494.0;-442.0;377.0;364.0
199.0;521.0;?;531.0;-489.0;-441.0;383.0;362.0
208.0;519.0;?;533.0;-548.0;-441.0;392.0;390.0
211.0;?;208.0;535.0;-557.0;-442.0;400.0;433.0
211.0;?;200.0;533.0;-547.0;-444.0;?;397.0
242.0;521.0;213.0;531.0;-558.0;-448.0;418.0;?
252.0;522.0;200.0;531.0;-547.0;-453.0;427.0;401.0
238.0;524.0;300.0;528.0;-545.0;-456.0;435.0;378.0
237.0;528.0;208.0;527.0;-537.0;-459.0;444.0;365.0
227.0;528.0;41.0;527.0;-549.0;-463.0;449.0;376.0
221.0;531.0;55.0;527.0;-541.0;-462.0;450.0;341.0
223.0;532.0;162.0;526.0;-540.0;-465.0;451.0;377.0
236.0;533.0;225.0;529.0;-539.0;-464.0;452.0;385.0
227.0;531.0;206.0;528.0;-519.0;-465.0;452.0;?
222.0;534.0;260.0;528.0;-521.0;-465.0;450.0;376.0
218.0;533.0;323.0;527.0;-517.0;?;445.0;405.0
210.0;533.0;375.0;528.0;-510.0;-467.0;440.0;391.0
203.0;534.0;362.0;527.0;-509.0;-467.0;437.0;353.0
205.0;532.0;407.0;526.0;-523.0;-466.0;431.0;381.0
208.0;533.0;241.0;525.0;?;-469.0;427.0;350.0
192.0;530.0;250.0;524.0;-478.0;-470.0;?;379.0
182.0;?;265.0;523.0;-354.0;-471.0;415.0;?
178.0;526.0;255.0;523.0;-656.0;-470.0;409.0;405.0
171.0;524.0;238.0;523.0;-440.0;-473.0;?;194.0
190.0;524.0;264.0;523.0;-465.0;-473.0;398.0;111.0
308.0;?;246.0;524.0;-472.0;-477.0;394.0;218.0
224.0;?;242.0;524.0;-401.0;-480.0;389.0;74.0
203.0;528.0;240.0;525.0;-617.0;-478.0;384.0;156.0
181.0;535.0;224.0;528.0;-705.0;?;385.0;29.0
?;543.0;238.0;530.0;-560.0;?;390.0;321.0
249.0;544.0;263.0;529.0;-541.0;-477.0;405.0;369.0
300.0;546.0;261.0;533.0;-524.0;-478.0;427.0;283.0
259.0;546.0;248.0;?;-504.0;-480.0;442.0;233.0
218.0;548.0;263.0;536.0;-530.0;-480.0;443.0;280.0
227.0;550.0;277.0;536.0;-551.0;-484.0;443.0;306.0
?;550.0;286.0;534.0;-502.0;-487.0;449.0;?
?;549.0;263.0;532.0;-509.0;-488.0;453.0;315.0
217.0;549.0;140.0;533.0;-532.0;-490.0;?;265.0
207.0;550.0;560.0;531.0;-496.0;-491.0;462.0;285.0
198.0;544.0;156.0;531.0;-467.0;-491.0;464.0;324.0
184.0;546.0;-324.0;528.0;-472.0;-491.0;460.0;?
177.0;543.0;?;528.0;-452.0;?;453.0;318.0
168.0;541.0;-161.0;530.0;-458.0;-493.0;449.0;359.0
152.0;537.0;90.0;529.0;?;-491.0;435.0;387.0
146.0;533.0;74.0;529.0;-429.0;-493.0;426.0;360.0
150.0;?;115.0;?;-431.0;-494.0;?;383.0
134.0;522.0;183.0;529.0;-444.0;-494.0;399.0;394.0
142.0;519.0;236.0;526.0;-461.0;-497.0;387.0;395.0
124.0;512.0;200.0;527.0;-481.0;?;374.0;375.0
?;510.0;136.0;527.0;-518.0;-492.0;364.0;385.0
162.0;506.0;121.0;528.0;-522.0;-491.0;354.0;370.0
170.0;504.0;117.0;527.0;?;-488.0;352.0;355.0
183.0;?;198.0;526.0;-526.0;-486.0;351.0;384.0
199.0;500.0;165.0;527.0;-540.0;-486.0;351.0;372.0
213.0;?;146.0;525.0;-525.0;?;356.0;362.0
208.0;?;114.0;525.0;-525.0;-486.0;362.0;391.0
209.0;508.0;140.0;525.0;-547.0;-485.0;369.0;380.0
205.0;511.0;128.0;?;?;-482.0;374.0;389.0
214.0;516.0;210.0;525.0;-581.0;-481.0;382.0;?
204.0;520.0;234.0;526.0;-571.0;-481.0;393.0;409.0
230.0;523.0;98.0;528.0;-588.0;-475.0;405.0;426.0
247.0;522.0;99.0;529.0;-573.0;-474.0;415.0;384.0
239.0;524.0;154.0;533.0;-585.0;-468.0;429.0;422.0
245.0;525.0;256.0;535.0;-560.0;?;442.0;415.0
245.0;524.0;206.0;536.0;-562.0;-462.0;?;425.0
248.0;524.0;181.0;537.0;-545.0;-459.0;464.0;395.0
247.0;522.0;232.0;538.0;?;?;470.0;419.0
243.0;522.0;257.0;538.0;?;-455.0;473.0;439.0
240.0;521.0;228.0;539.0;-557.0;-455.0;476.0;457.0
261.0;518.0;209.0;543.0;-545.0;-450.0;477.0;436.0
254.0;516.0;252.0;541.0;-504.0;-451.0;475.0;403.0
247.0;513.0;264.0;545.0;-558.0;-449.0;475.0;384.0
222.0;512.0;262.0;547.0;-410.0;-442.0;477.0;305.0
215.0;512.0;272.0;550.0;-734.0;-446.0;?;372.0
221.0;510.0;222.0;551.0;-607.0;-446.0;467.0;322.0
217.0;507.0;228.0;549.0;-585.0;-448.0;457.0;305.0
?;507.0;240.0;549.0;?;-455.0;451.0;225.0
298.0;?;260.0;547.0;-474.0;-457.0;443.0;231.0
259.0;511.0;256.0;545.0;-512.0;-457.0;?;179.0
282.0;513.0;253.0;546.0;-673.0;-456.0;422.0;110.0
242.0;524.0;294.0;?;-644.0;-450.0;416.0;?
246.0;525.0;309.0;551.0;-557.0;-446.0;422.0;283.0
294.0;527.0;333.0;553.0;-617.0;?;435.0;369.0
321.0;?;286.0;556.0;-569.0;?;458.0;279.0
294.0;529.0;250.0;558.0;-570.0;?;467.0;240.0
289.0;526.0;135.0;?;-595.0;-433.0;482.0;274.0
263.0;527.0;?;559.0;-589.0;-436.0;496.0;354.0
258.0;526.0;400.0;?;-553.0;-433.0;506.0;361.0
274.0;527.0;216.0;557.0;-558.0;-437.0;512.0;337.0
272.0;530.0;308.0;559.0;-551.0;?;515.0;300.0
261.0;526.0;-88.0;?;-530.0;-440.0;518.0;327.0
237.0;524.0;?;553.0;-531.0;-439.0;520.0;363.0
228.0;529.0;356.0;?;-539.0;-438.0;517.0;?
?;527.0;-221.0;552.0;-513.0;-439.0;513.0;334.0
211.0;525.0;-189.0;549.0;-489.0;-442.0;507.0;349.0
198.0;526.0;-73.0;550.0;-504.0;-443.0;502.0;?
183.0;523.0;16.0;548.0;-495.0;?;492.0;395.0
178.0;521.0;126.0;548.0;-534.0;-447.0;480.0;395.0
171.0;519.0;191.0;548.0;-524.0;?;466.0;?
?;515.0;194.0;549.0;-482.0;?;451.0;414.0
182.0;509.0;200.0;548.0;?;-449.0;435.0;420.0
186.0;508.0;129.0;548.0;-515.0;-446.0;423.0;416.0
175.0;502.0;168.0;547.0;-514.0;-447.0;410.0;401.0
183.0;499.0;?;548.0;-530.0;?;400.0;443.0
192.0;497.0;195.0;547.0;-520.0;-448.0;393.0;400.0
187.0;494.0;162.0;548.0;?;-447.0;384.0;377.0
181.0;493.0;135.0;547.0;-530.0;-442.0;383.0;344.0
193.0;?;85.0;548.0;-541.0;-446.0;383.0;?
207.0;492.0;95.0;?;-550.0;-439.0;?;371.0
207.0;496.0;181.0;547.0;?;-442.0;390.0;415.0
?;499.0;179.0;547.0;-576.0;-439.0;400.0;418.0
239.0;500.0;193.0;?;-592.0;-438.0;410.0;423.0
240.0;502.0;241.0;551.0;-588.0;-437.0;421.0;435.0
263.0;504.0;303.0;552.0;-595.0;?;437.0;434.0
260.0;505.0;289.0;553.0;-600.0;-430.0;457.0;416.0
257.0;504.0;155.0;549.0;-597.0;-429.0;477.0;407.0
265.0;506.0;204.0;551.0;-578.0;-430.0;495.0;383.0
274.0;509.0;208.0;552.0;-597.0;-425.0;509.0;422.0
249.0;512.0;172.0;552.0;-578.0;?;519.0;?
259.0;512.0;100.0;552.0;?;-424.0;525.0;400.0
275.0;512.0;157.0;554.0;-591.0;-428.0;532.0;399.0
259.0;512.0;189.0;554.0;-552.0;-423.0;535.0;430.0
249.0;509.0;254.0;556.0;-530.0;-425.0;538.0;461.0
253.0;509.0;291.0;558.0;-539.0;-421.0;535.0;448.0
240.0;?;?;?;-542.0;-421.0;529.0;431.0
229.0;505.0;299.0;557.0;-523.0;-419.0;522.0;431.0
223.0;502.0;?;557.0;-549.0;-419.0;516.0;378.0
215.0;502.0;218.0;557.0;-406.0;-414.0;506.0;299.0
211.0;501.0;225.0;560.0;-692.0;-414.0;496.0;348.0
242.0;499.0;255.0;?;-773.0;?;485.0;354.0
229.0;496.0;250.0;?;?;?;475.0;?
373.0;493.0;230.0;561.0;-586.0;-411.0;469.0;247.0
331.0;493.0;219.0;562.0;-444.0;-413.0;466.0;250.0
293.0;494.0;?;559.0;-590.0;-407.0;461.0;146.0
233.0;502.0;?;559.0;-674.0;-404.0;461.0;207.0
224.0;509.0;238.0;?;-601.0;-399.0;468.0;324.0
233.0;511.0;238.0;558.0;-570.0;-392.0;485.0;459.0
286.0;514.0;205.0;556.0;-560.0;-391.0;511.0;367.0
257.0;516.0;183.0;558.0;-549.0;?;532.0;280.0
246.0;518.0;223.0;556.0;-530.0;-378.0;548.0;295.0
?;519.0;295.0;556.0;-528.0;-377.0;573.0;333.0
220.0;520.0;293.0;556.0;-518.0;-376.0;591.0;391.0
187.0;523.0;445.0;551.0;-485.0;-379.0;603.0;367.0
194.0;529.0;?;547.0;-465.0;-382.0;610.0;284.0
212.0;?;270.0;?;-493.0;-386.0;613.0;296.0
189.0;537.0;362.0;539.0;-469.0;-396.0;614.0;384.0
144.0;540.0;-253.0;540.0;-477.0;-401.0;?;356.0
144.0;542.0;28.0;538.0;-480.0;-402.0;?;413.0
158.0;542.0;-207.0;537.0;-465.0;-408.0;604.0;390.0
120.0;?;?;538.0;-415.0;-406.0;597.0;448.0
141.0;541.0;-30.0;536.0;-432.0;-408.0;588.0;405.0
126.0;541.0;41.0;534.0;-443.0;-408.0;578.0;447.0
109.0;541.0;125.0;536.0;-420.0;-408.0;565.0;499.0
95.0;539.0;194.0;537.0;-420.0;-405.0;549.0;444.0
93.0;535.0;208.0;537.0;?;-405.0;534.0;420.0
88.0;531.0;174.0;536.0;-433.0;-404.0;519.0;473.0
?;524.0;166.0;538.0;-468.0;-401.0;506.0;?
89.0;?;89.0;538.0;-487.0;-403.0;495.0;399.0
103.0;510.0;?;539.0;-484.0;-402.0;482.0;?
?;504.0;131.0;540.0;-480.0;-404.0;472.0;432.0
164.0;498.0;111.0;543.0;-481.0;-407.0;468.0;391.0
160.0;493.0;85.0;545.0;-507.0;-407.0;464.0;384.0
177.0;488.0;?;545.0;-544.0;-404.0;467.0;415.0
170.0;486.0;84.0;547.0;-520.0;-402.0;469.0;403.0
208.0;485.0;189.0;552.0;-540.0;-404.0;472.0;398.0
204.0;483.0;218.0;555.0;-565.0;?;477.0;414.0
224.0;483.0;218.0;556.0;-573.0;-400.0;485.0;404.0
235.0;482.0;283.0;560.0;-591.0;-399.0;495.0;399.0
239.0;480.0;300.0;562.0;-598.0;-396.0;504.0;366.0
281.0;482.0;267.0;564.0;-630.0;-397.0;511.0;?
248.0;484.0;167.0;?;-598.0;-396.0;522.0;405.0
261.0;482.0;22.0;569.0;-602.0;?;533.0;414.0
282.0;487.0;145.0;570.0;-597.0;-395.0;542.0;431.0
287.0;487.0;186.0;574.0;-606.0;-397.0;552.0;403.0
278.0;486.0;207.0;574.0;-601.0;-393.0;555.0;380.0
284.0;?;233.0;574.0;-591.0;?;556.0;?
283.0;487.0;228.0;574.0;-580.0;-389.0;558.0;371.0
289.0;486.0;255.0;576.0;-598.0;-388.0;554.0;385.0
281.0;485.0;?;575.0;-595.0;-387.0;554.0;395.0
272.0;485.0;256.0;576.0;-575.0;-389.0;552.0;392.0
?;?;314.0;577.0;-575.0;-386.0;551.0;366.0
257.0;481.0;299.0;578.0;-587.0;-388.0;548.0;372.0
245.0;?;287.0;577.0;-607.0;-384.0;542.0;397.0
242.0;479.0;?;579.0;-621.0;-382.0;538.0;337.0
262.0;476.0;?;579.0;-605.0;-383.0;530.0;348.0
295.0;473.0;295.0;580.0;-573.0;-380.0;520.0;311.0
326.0;470.0;290.0;580.0;?;?;516.0;460.0
308.0;466.0;292.0;582.0;-454.0;-384.0;?;192.0
300.0;467.0;274.0;583.0;-648.0;-382.0;519.0;111.0
321.0;466.0;256.0;584.0;-575.0;?;526.0;273.0
417.0;475.0;285.0;581.0;?;-385.0;527.0;168.0
320.0;484.0;326.0;579.0;-553.0;-384.0;527.0;215.0
288.0;?;?;577.0;-559.0;-375.0;529.0;?
263.0;?;306.0;576.0;-580.0;-372.0;?;250.0
?;509.0;201.0;575.0;-500.0;-368.0;573.0;373.0
294.0;506.0;220.0;?;-547.0;-362.0;608.0;374.0
246.0;503.0;202.0;575.0;-459.0;-365.0;640.0;317.0
229.0;506.0;266.0;573.0;?;-370.0;660.0;318.0
196.0;505.0;342.0;573.0;-470.0;-374.0;670.0;406.0
140.0;507.0;419.0;570.0;-478.0;-385.0;679.0;429.0
154.0;507.0;517.0;567.0;-480.0;-395.0;681.0;392.0
148.0;510.0;346.0;563.0;-431.0;-404.0;674.0;374.0
160.0;511.0;439.0;560.0;-460.0;-412.0;?;355.0
141.0;511.0;344.0;554.0;-451.0;-421.0;643.0;334.0
136.0;510.0;-907.0;550.0;-470.0;-429.0;620.0;459.0
156.0;510.0;415.0;548.0;-422.0;-445.0;?;430.0
100.0;511.0;-165.0;546.0;-396.0;-454.0;534.0;411.0
?;512.0;-60.0;548.0;-384.0;-460.0;?;430.0
121.0;?;48.0;543.0;?;-469.0;417.0;438.0
140.0;533.0;124.0;540.0;-420.0;-478.0;344.0;406.0
128.0;546.0;113.0;537.0;-396.0;-480.0;263.0;424.0
112.0;559.0;141.0;533.0;-452.0;-485.0;194.0;405.0
110.0;573.0;181.0;530.0;-386.0;-491.0;129.0;416.0
?;586.0;225.0;529.0;-406.0;?;66.0;415.0
110.0;603.0;228.0;?;-399.0;-491.0;-2.0;426.0
117.0;626.0;217.0;525.0;?;-496.0;?;391.0
112.0;651.0;?;525.0;-440.0;-497.0;-137.0;385.0
93.0;672.0;229.0;526.0;-400.0;?;?;421.0
86.0;688.0;232.0;527.0;-406.0;-498.0;-231.0;411.0
?;700.0;245.0;527.0;-370.0;-502.0;-259.0;418.0
130.0;707.0;221.0;526.0;-409.0;?;-273.0;407.0
81.0;708.0;178.0;528.0;-404.0;?;-283.0;415.0
87.0;708.0;190.0;531.0;-398.0;-496.0;-287.0;430.0
61.0;706.0;220.0;531.0;?;-496.0;-283.0;438.0
?;706.0;236.0;531.0;-350.0;-497.0;-281.0;492.0
74.0;705.0;213.0;533.0;-396.0;-494.0;-273.0;?
62.0;704.0;142.0;532.0;-425.0;-495.0;-270.0;421.0
25.0;706.0;175.0;531.0;-423.0;?;-271.0;425.0
38.0;704.0;154.0;530.0;-428.0;-495.0;-270.0;433.0
82.0;703.0;138.0;530.0;?;-496.0;-264.0;394.0
107.0;701.0;148.0;531.0;-427.0;-493.0;-256.0;433.0
90.0;699.0;139.0;532.0;-430.0;?;-250.0;442.0
?;698.0;150.0;531.0;-470.0;?;?;432.0
?;698.0;167.0;529.0;-456.0;-493.0;-247.0;442.0
78.0;695.0;?;528.0;-444.0;-491.0;-243.0;434.0
106.0;694.0;157.0;526.0;?;-497.0;-245.0;429.0
86.0;695.0;143.0;525.0;-438.0;-495.0;?;403.0
109.0;?;140.0;525.0;-436.0;-495.0;?;?
104.0;696.0;137.0;525.0;?;-496.0;-242.0;440.0
88.0;695.0;142.0;521.0;-459.0;-500.0;?;411.0
89.0;693.0;126.0;517.0;-436.0;-499.0;-233.0;432.0
73.0;690.0;128.0;517.0;-422.0;-502.0;-224.0;437.0
98.0;683.0;144.0;516.0;-436.0;-501.0;-206.0;398.0
78.0;671.0;134.0;515.0;-444.0;-498.0;-169.0;414.0
67.0;649.0;157.0;516.0;-421.0;-498.0;-111.0;433.0
62.0;621.0;149.0;517.0;-446.0;-494.0;?;400.0
69.0;589.0;141.0;519.0;-424.0;-486.0;?;473.0
72.0;555.0;109.0;519.0;-410.0;-485.0;171.0;454.0
104.0;526.0;117.0;522.0;-420.0;-475.0;281.0;?
84.0;497.0;64.0;525.0;?;-470.0;?;422.0
75.0;474.0;66.0;527.0;?;?;486.0;450.0
?;469.0;106.0;?;-425.0;-459.0;568.0;414.0
101.0;467.0;119.0;532.0;-457.0;-453.0;614.0;423.0
80.0;477.0;121.0;534.0;-432.0;-449.0;622.0;452.0
87.0;494.0;113.0;538.0;-416.0;?;?;428.0
113.0;?;115.0;538.0;-459.0;-437.0;522.0;425.0
?;?;112.0;538.0;-502.0;-428.0;448.0;424.0
94.0;534.0;120.0;540.0;-493.0;-424.0;398.0;418.0
125.0;?;126.0;540.0;-471.0;-422.0;?;412.0
146.0;518.0;115.0;543.0;-455.0;-421.0;340.0;455.0
160.0;504.0;136.0;544.0;-448.0;-428.0;311.0;435.0
177.0;493.0;132.0;?;-450.0;-431.0;294.0;444.0
139.0;489.0;110.0;544.0;-450.0;-434.0;293.0;411.0
132.0;487.0;?;541.0;-450.0;-442.0;313.0;407.0
132.0;489.0;149.0;?;-460.0;-443.0;344.0;417.0
133.0;493.0;181.0;537.0;-450.0;-447.0;387.0;425.0
