InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ay
-2;6;-159;19;-67.0;?;-7;-380.0;-9;?
-12;28;-159;?;-40.0;900.0;-10;-254.0;-7;643
15;18;-159;21;47.0;1017.0;-7;-61.0;-17;640
?;0;?;25;?;980.0;-34;232.0;-51;638
-40;6;-159;24;-284.0;1023.0;?;443.0;-15;641
-4;18;-159;22;-294.0;998.0;35;786.0;18;638
19;-11;?;?;-455.0;813.0;-36;1123.0;-10;644
?;?;-159;20;-728.0;745.0;?;1426.0;?;643
-18;-26;-159;18;-820.0;529.0;-8;1573.0;-16;639
-10;10;-159;16;?;169.0;-25;1600.0;?;646
-17;7;?;24;294.0;-222.0;36;1040.0;-15;642
-26;?;-159;20;769.0;?;22;750.0;-18;?
-4;12;-159;18;591.0;?;-5;434.0;-10;648
24;?;-159;21;166.0;-161.0;17;?;-8;?
8;-21;-159;20;-179.0;?;-28;84.0;10;644
8;-13;-159;24;-166.0;70.0;-19;?;1;641
16;12;-159;17;-131.0;-2.0;10;?;15;644
?;-7;-159;17;-285.0;-10.0;-9;-258.0;56;647
15;7;-159;21;-495.0;2.0;-14;-64.0;33;641
-3;2;-159;22;-21.0;-249.0;8;121.0;-4;645
-3;?;?;20;202.0;-455.0;-29;231.0;11;643
-10;0;-159;16;443.0;-482.0;16;478.0;-3;645
-1;0;-160;17;568.0;-163.0;36;888.0;-20;648
-13;0;-159;21;501.0;379.0;26;1348.0;-41;645
-26;-6;-159;20;403.0;728.0;28;?;-24;641
14;-10;-159;20;431.0;939.0;19;2437.0;2;645
-10;24;-159;19;330.0;473.0;1;2892.0;32;648
?;14;-159;19;507.0;274.0;-3;3069.0;37;645
-1;-32;-160;21;2.0;279.0;6;3251.0;?;?
-28;-3;-159;18;-689.0;9.0;43;3286.0;79;644
-8;-21;-159;24;-1479.0;-352.0;59;3115.0;81;642
?;-20;?;19;-1389.0;-63.0;-53;?;28;643
-34;1;-159;21;-1169.0;-98.0;-77;2714.0;40;638
-25;1;-159;14;-1317.0;91.0;22;2646.0;49;648
-35;-27;-159;16;-1060.0;620.0;1;2336.0;23;640
9;-13;-159;25;-1205.0;?;17;2096.0;35;?
-72;142;-159;?;-962.0;446.0;?;1664.0;66;670
-65;-31;-159;40;-628.0;461.0;-22;1255.0;-27;591
-515;273;-159;-33;-368.0;261.0;-48;948.0;-26;652
-515;346;-159;-188;?;49.0;26;697.0;73;?
649;-933;-159;11;-39.0;-230.0;-35;506.0;19;348
?;-1565;-159;99;375.0;-360.0;-35;180.0;-11;255
344;-1731;-159;-19;777.0;-478.0;3;-183.0;-24;453
186;-2134;-159;14;1103.0;-446.0;-33;-513.0;-21;525
155;-2010;-159;105;1212.0;?;-28;-644.0;-20;667
531;-1877;-159;?;1088.0;-162.0;-26;-720.0;-49;732
745;-1530;?;71;1007.0;19.0;-35;-765.0;37;762
689;-785;-159;270;675.0;30.0;-15;-766.0;79;833
452;-671;-159;?;439.0;40.0;-24;-796.0;65;?
269;-742;-159;-3;230.0;?;-32;-738.0;81;94
356;-502;-159;?;99.0;-190.0;-20;-690.0;113;262
271;-519;-159;-1;46.0;-370.0;-1;-535.0;133;249
68;-513;-159;-8;55.0;-459.0;26;-388.0;67;241
140;-402;-159;56;108.0;-315.0;-3;-296.0;-13;183
221;?;-158;16;100.0;-178.0;-11;-171.0;-47;161
274;-248;-158;105;60.0;-162.0;9;14.0;-25;136
336;-106;-159;144;?;-284.0;-10;176.0;?;68
?;?;-159;18;23.0;-265.0;-25;389.0;-21;186
-66;-79;-159;26;59.0;-94.0;?;507.0;-45;186
-262;-34;?;68;11.0;54.0;-13;?;-38;97
-169;63;-158;54;-86.0;151.0;?;463.0;-124;117
69;108;-159;?;-269.0;202.0;30;481.0;-140;119
229;111;-159;47;-322.0;?;27;525.0;-92;140
389;?;-159;85;?;47.0;54;457.0;-123;139
392;259;-159;118;-145.0;35.0;46;348.0;-117;123
299;83;-159;-53;-208.0;138.0;2;231.0;?;299
276;496;-159;261;-396.0;143.0;30;158.0;?;-38
280;61;-159;-115;-506.0;127.0;43;70.0;-29;341
278;?;-159;270;-532.0;51.0;49;-12.0;-28;-49
259;960;-159;428;-539.0;-77.0;29;-105.0;-30;-113
210;828;-159;324;-469.0;-190.0;-34;-186.0;-60;82
?;4975;?;3042;-324.0;-303.0;54;-257.0;60;-2890
?;3266;-159;-709;166.0;-505.0;-2;-424.0;22;1070
-674;-1480;-159;-3745;300.0;-575.0;-117;-338.0;-60;4699
-249;233;?;481;128.0;-545.0;-23;-313.0;48;436
52;327;-159;162;?;-210.0;-30;?;-12;530
17;-58;-159;-316;-119.0;-186.0;-30;-605.0;-72;1049
-10;385;-160;345;?;-900.0;53;-396.0;-27;440
7;?;-160;-206;?;-40.0;28;81.0;3;914
10;-48;-160;131;-284.0;163.0;-8;382.0;25;522
18;-29;-160;-3;311.0;451.0;-18;516.0;31;675
-8;-27;?;4;768.0;617.0;-61;?;14;667
-21;0;-160;58;?;660.0;-36;-5.0;-23;619
14;?;-160;8;343.0;393.0;19;-116.0;6;672
7;10;-160;25;362.0;157.0;0;-137.0;?;646
-13;10;-160;30;390.0;-18.0;-12;-49.0;2;641
?;24;?;14;420.0;-10.0;19;-147.0;43;655
-1;0;-160;11;231.0;159.0;29;-209.0;?;666
11;-62;-160;?;-9.0;251.0;2;-127.0;22;642
22;?;-160;-19;-216.0;224.0;-2;-54.0;20;688
?;?;-160;?;-260.0;200.0;13;?;25;623
35;-200;-160;?;?;209.0;14;48.0;?;?
202;-740;-160;-435;-245.0;288.0;-16;76.0;17;1072
239;-1915;-160;-103;-183.0;283.0;?;67.0;-30;?
63;-2128;-160;24;?;?;-28;170.0;0;599
66;-1950;-160;-52;-93.0;181.0;-33;177.0;-6;588
188;-1933;-160;161;-8.0;?;-40;?;-57;309
154;-1665;-160;170;-45.0;183.0;9;245.0;-30;264
0;-1361;-160;108;-49.0;129.0;36;292.0;-11;213
-114;-1073;-160;172;41.0;126.0;?;322.0;-23;127
-109;-1019;-160;118;211.0;47.0;13;280.0;-1;?
-173;-369;-160;163;311.0;10.0;?;217.0;-13;-25
-16;288;-160;?;279.0;-50.0;22;109.0;3;?
?;83;-160;17;301.0;?;10;64.0;-1;294
137;-56;?;?;333.0;-304.0;46;38.0;-62;218
53;-41;-160;13;?;-416.0;27;?;-7;211
56;-66;-160;-25;241.0;-528.0;?;-57.0;31;276
-2;-102;?;25;190.0;-496.0;20;-106.0;8;222
-56;-121;-160;?;212.0;-406.0;32;-138.0;?;243
-133;-129;-160;13;202.0;-174.0;?;-190.0;-4;237
-236;-166;-160;61;76.0;-54.0;-44;-179.0;-11;190
-249;-94;-160;65;-37.0;-73.0;-31;-109.0;-8;158
-125;-48;-160;63;-41.0;-117.0;1;-79.0;-24;146
-124;-81;-160;8;-23.0;-150.0;30;-3.0;-31;197
39;?;-160;113;?;-84.0;35;38.0;-12;127
130;150;-160;12;-116.0;-50.0;38;-1.0;0;206
155;177;-160;51;-182.0;-45.0;37;31.0;0;172
250;199;?;254;?;-21.0;24;?;?;38
-155;409;-160;-255;-268.0;85.0;38;33.0;-15;?
430;341;-160;640;-227.0;109.0;23;0.0;1;-284
-386;848;-160;-431;-306.0;95.0;18;?;8;595
135;1235;-160;1341;-350.0;24.0;-25;-7.0;-12;-918
?;2899;-160;?;-385.0;?;-66;-81.0;7;-2059
-5439;5425;-160;-6144;-451.0;?;-25;-90.0;3;4561
-3074;?;-160;-3905;-480.0;-131.0;-159;-104.0;-82;3662
?;-669;-160;1644;-509.0;-174.0;-203;-92.0;-73;-371
-553;402;-160;-735;-544.0;?;-131;-52.0;-70;1212
102;-43;-160;157;-559.0;40.0;-44;-172.0;-26;572
80;-139;-160;147;-51.0;-607.0;189;-232.0;134;563
-164;89;-160;?;90.0;60.0;178;193.0;83;827
159;-54;-160;226;160.0;-20.0;?;241.0;1;509
-109;51;-160;?;549.0;-172.0;28;129.0;13;740
29;-22;-160;82;385.0;-6.0;3;-141.0;-19;?
2;14;-160;?;-52.0;-122.0;27;-141.0;-9;658
-33;15;?;8;10.0;-226.0;13;-77.0;-16;?
-44;6;-160;29;?;-224.0;-26;96.0;-31;649
?;?;-160;17;-47.0;-377.0;-6;-24.0;?;654
-4;23;-160;?;-77.0;-408.0;8;-146.0;-1;656
-10;-12;-160;18;-45.0;-143.0;?;-209.0;-2;653
-29;-10;-160;14;9.0;?;6;-153.0;64;661
?;-2;-160;15;94.0;83.0;-3;-104.0;60;667
58;-49;-160;-8;72.0;162.0;-7;-79.0;23;670
-9;-102;-160;-22;-115.0;77.0;-19;-28.0;60;714
99;-666;-160;-107;-274.0;-21.0;44;14.0;63;777
338;-1134;-160;-362;-338.0;-55.0;65;63.0;39;1009
322;-1288;-160;-384;-376.0;-2.0;-24;118.0;30;1074
?;?;-160;-37;-362.0;-7.0;?;142.0;-6;644
44;-1851;-160;68;-344.0;-4.0;6;?;-6;440
?;-1539;?;-33;-304.0;?;-10;236.0;2;487
-144;-1488;-159;?;-237.0;39.0;17;314.0;26;358
?;-1260;-159;165;-128.0;128.0;-2;?;66;207
-77;-1002;-159;165;-12.0;211.0;-33;387.0;82;150
-146;-754;-159;93;?;211.0;-16;358.0;112;171
?;-575;-159;93;263.0;188.0;-23;332.0;84;154
-237;-456;-159;115;344.0;132.0;-43;279.0;44;132
-168;-291;-159;76;448.0;190.0;-44;215.0;18;152
-170;-192;-159;65;?;183.0;-43;149.0;-12;155
-139;?;-159;75;386.0;159.0;-25;?;-1;161
4;-94;-159;47;305.0;?;-23;79.0;1;174
75;-9;-159;?;322.0;107.0;-11;55.0;-12;177
46;-9;-159;55;399.0;143.0;62;15.0;-67;163
18;14;-159;55;466.0;?;110;?;-87;148
-21;54;-159;52;486.0;158.0;68;-17.0;-35;?
?;52;-159;42;467.0;101.0;55;-44.0;-20;192
-51;81;-159;43;476.0;?;74;-93.0;-41;187
87;178;-159;75;421.0;172.0;22;-100.0;-75;153
199;171;-159;44;339.0;149.0;20;-132.0;-45;?
159;?;-159;110;169.0;?;?;-143.0;-5;120
193;214;-160;59;12.0;126.0;53;-123.0;-10;185
304;363;-160;?;-57.0;143.0;11;?;0;223
383;642;-160;195;-145.0;104.0;-47;-100.0;-18;91
471;77;-160;-73;-59.0;227.0;-37;-70.0;-10;?
131;1406;?;625;13.0;298.0;-5;-74.0;-3;-345
-277;1165;?;824;-86.0;371.0;-16;-113.0;-7;-531
-206;1924;-160;1044;-231.0;345.0;21;?;22;-783
-345;5316;-160;2151;-407.0;91.0;24;-112.0;22;-1987
-486;?;-160;?;-569.0;-118.0;-95;-101.0;26;?
?;-781;-159;-379;?;-348.0;-159;-95.0;27;1059
30;656;-159;261;-717.0;?;-78;-130.0;-8;435
-87;?;-159;?;-690.0;-598.0;-28;-303.0;-16;792
36;-43;-159;88;-370.0;-705.0;33;108.0;34;643
31;32;-159;81;-224.0;44.0;108;281.0;64;632
7;-80;-159;5;302.0;-20.0;12;287.0;?;707
14;68;-159;71;551.0;324.0;-27;14.0;?;?
-43;-56;-159;17;242.0;?;43;-22.0;-8;682
-37;?;-159;44;379.0;280.0;41;-134.0;5;647
-42;11;-159;36;478.0;?;36;-87.0;-21;657
-36;-9;-159;25;355.0;-6.0;13;-12.0;?;661
-16;-11;-159;15;324.0;-333.0;-5;-134.0;-13;?
-39;-2;-159;20;189.0;-413.0;26;-231.0;1;660
-28;-36;-159;12;28.0;-198.0;-6;-235.0;-15;675
15;-31;-159;26;-67.0;12.0;-15;-172.0;-25;663
29;-29;-159;22;14.0;186.0;57;?;20;664
1;-75;-159;-1;-23.0;241.0;23;-50.0;5;676
-36;-41;?;34;-128.0;98.0;-17;-17.0;7;635
42;-72;-159;-34;-221.0;15.0;47;30.0;29;?
-8;-6;?;58;-262.0;68.0;5;92.0;17;?
76;?;?;-99;-241.0;106.0;-12;128.0;36;762
244;-1627;-159;?;-272.0;135.0;47;193.0;51;1043
12;-2008;-159;-58;-320.0;139.0;-35;252.0;35;677
-40;-1986;-159;88;-366.0;86.0;-44;321.0;17;526
-86;-1943;?;34;-266.0;22.0;7;346.0;0;?
?;?;-159;147;-177.0;-4.0;-14;?;-16;343
160;?;-159;54;-103.0;-40.0;?;352.0;-34;328
-82;-1249;?;39;-48.0;-50.0;-54;408.0;?;368
-140;-1145;-159;?;-7.0;46.0;-30;383.0;-81;262
-136;-996;?;?;129.0;86.0;11;324.0;-102;179
-289;?;-159;112;214.0;94.0;-19;285.0;-6;160
-338;-649;-159;92;201.0;52.0;-45;242.0;51;154
-349;-505;-159;88;252.0;69.0;?;?;8;139
-313;-237;-159;?;326.0;148.0;?;95.0;47;104
-293;-106;-159;71;333.0;134.0;53;52.0;57;124
-186;-167;-159;55;366.0;17.0;25;-14.0;-1;196
36;-95;-159;71;402.0;-97.0;17;-56.0;-5;133
236;67;-159;88;551.0;-106.0;27;?;-5;104
250;100;-159;51;551.0;-17.0;2;-203.0;-32;183
172;99;-159;29;613.0;174.0;?;-227.0;-14;182
130;129;-159;39;548.0;314.0;11;-295.0;1;178
35;122;-159;53;336.0;?;-18;-288.0;-41;159
113;153;?;18;153.0;192.0;?;-262.0;-23;213
-57;-36;-159;31;50.0;-53.0;19;-230.0;?;222
-284;53;-159;84;-8.0;-167.0;6;-201.0;-39;116
80;296;-159;87;-52.0;-86.0;15;-146.0;15;?
221;50;-159;57;?;57.0;10;-125.0;?;213
293;581;-159;-18;-182.0;?;6;-65.0;?;204
330;-185;-159;?;-295.0;-94.0;5;8.0;-7;211
505;1175;-159;169;-278.0;-103.0;23;36.0;-29;55
-53;855;-159;410;-215.0;-1.0;?;16.0;0;-74
-565;?;?;1285;-315.0;126.0;0;33.0;-1;?
84;9111;-159;1290;-449.0;173.0;46;?;18;-1008
-1767;3551;-159;359;-472.0;164.0;-76;69.0;5;2722
?;?;-159;0;-444.0;29.0;-157;11.0;21;3047
305;?;-159;52;-441.0;-130.0;-98;-42.0;74;254
-19;?;-159;-2;-409.0;?;-144;-124.0;-3;722
-114;-369;-158;8;-208.0;-369.0;-6;-500.0;-40;784
215;352;-158;26;160.0;-269.0;225;-44.0;31;505
-31;-353;-159;6;?;302.0;123;111.0;12;793
64;183;-159;18;539.0;319.0;-9;3.0;-45;587
-1;-81;-159;11;552.0;545.0;22;-222.0;-24;691
-1;-29;-159;17;317.0;539.0;6;-291.0;-11;658
14;?;-159;?;519.0;475.0;-20;-378.0;-4;644
7;-7;-159;10;592.0;522.0;?;-315.0;7;674
3;2;-159;18;?;254.0;15;-322.0;-12;652
-11;10;-159;21;412.0;-61.0;46;-419.0;18;661
18;1;-159;19;195.0;-138.0;42;-481.0;38;661
?;-6;-159;20;-34.0;-190.0;?;-388.0;20;?
55;-2;?;13;-173.0;?;35;-248.0;49;665
50;?;-159;19;-226.0;-63.0;38;-130.0;35;660
59;-47;-159;19;?;-7.0;30;14.0;44;662
-4;-30;-159;13;-283.0;-178.0;-8;128.0;38;652
31;-122;-159;17;-287.0;-149.0;32;241.0;-1;656
-4;?;-159;-9;-257.0;?;28;?;1;683
0;-190;-159;-70;-158.0;153.0;10;352.0;-54;725
349;-750;-159;-104;-157.0;211.0;28;?;-32;806
-106;-1300;-159;-40;-188.0;169.0;-17;410.0;9;722
-706;-1264;-159;36;-116.0;95.0;-42;453.0;-14;581
?;-1349;?;?;-112.0;122.0;-11;395.0;39;613
-622;-1618;?;15;-172.0;156.0;5;?;54;553
-485;-1515;-159;65;-271.0;112.0;22;356.0;17;395
-548;-1422;-159;56;?;34.0;-18;332.0;47;368
-493;-1388;-159;79;-291.0;-81.0;-25;283.0;22;?
-240;-1234;-159;126;-168.0;?;-6;237.0;-61;232
-312;-964;-159;?;24.0;-250.0;-36;?;-70;193
-248;-776;-159;103;198.0;-267.0;?;142.0;-53;?
-233;-823;-159;89;213.0;-205.0;-2;123.0;-41;192
-93;-375;-159;153;185.0;-197.0;-37;134.0;-48;73
21;67;-159;79;199.0;-137.0;-13;115.0;-54;94
12;-13;-159;10;296.0;-53.0;50;112.0;-87;238
166;?;-159;94;371.0;-55.0;40;13.0;-123;156
186;?;-159;21;364.0;-70.0;-21;32.0;-88;128
105;-109;?;-28;329.0;-52.0;-2;34.0;-61;193
-131;-63;-159;36;357.0;-131.0;35;-48.0;-26;?
-293;-69;-159;30;402.0;-147.0;31;?;-12;165
-98;16;-159;25;470.0;-204.0;12;-90.0;-20;?
101;21;?;57;437.0;-208.0;28;-88.0;-22;186
86;-3;-159;64;289.0;-130.0;?;-63.0;-42;172
-40;164;-159;51;19.0;7.0;-16;50.0;-6;152
-47;249;-159;9;-84.0;72.0;?;102.0;19;185
39;189;-159;85;-60.0;136.0;-43;71.0;25;?
223;288;?;32;-60.0;131.0;-77;54.0;12;?
425;?;-159;43;-64.0;179.0;-14;62.0;-21;208
547;166;-159;107;-100.0;118.0;-14;21.0;?;147
595;320;-159;-85;-115.0;38.0;19;21.0;?;400
420;-27;-159;342;-147.0;0.0;7;14.0;26;-144
893;822;-159;?;?;-51.0;20;28.0;68;?
959;1522;-159;993;-283.0;-89.0;77;60.0;?;-988
99;5084;-159;1853;-315.0;13.0;28;74.0;71;-1578
-108;9651;-159;-1069;-309.0;?;-1;78.0;131;2785
-581;3614;-159;-1027;-217.0;-90.0;-104;3.0;?;?
-725;-1294;-159;355;-133.0;-322.0;-169;-97.0;19;-146
-7;511;-158;-238;-162.0;-407.0;-93;-222.0;7;1074
37;-94;?;90;-286.0;-88.0;?;-302.0;-88;562
-121;-15;-159;40;-151.0;-189.0;12;-434.0;?;636
-9;132;-159;?;130.0;160.0;69;?;?;762
2;?;-159;65;243.0;503.0;?;-63.0;-1;581
-30;78;-159;-18;565.0;742.0;-14;-298.0;-40;724
-15;?;-159;34;601.0;972.0;4;-545.0;9;631
-20;-3;?;15;544.0;?;31;-667.0;44;665
7;-2;-159;27;408.0;471.0;46;-628.0;-37;658
33;-28;-159;23;159.0;3.0;15;-531.0;?;?
16;-2;?;22;?;-406.0;-8;?;-4;653
9;-5;-159;26;-333.0;-581.0;?;?;?;652
13;-14;-159;?;-799.0;-450.0;-4;-235.0;-17;662
21;?;-159;17;-1251.0;?;1;-245.0;-28;659
12;16;-159;17;-1260.0;-155.0;-51;-420.0;-1;656
-7;28;-159;13;-1072.0;?;-17;-604.0;?;664
-11;34;-159;17;-865.0;-96.0;27;?;-4;662
-11;-31;-159;21;-745.0;-417.0;-26;-986.0;19;655
-8;-24;-159;19;-853.0;-579.0;-36;-1132.0;-21;657
0;13;-159;20;-1066.0;-683.0;?;?;-19;658
-9;-25;-159;18;-1405.0;-662.0;9;-1456.0;6;656
-6;?;-159;15;-1281.0;-519.0;-4;-1542.0;34;659
13;19;-159;18;-1312.0;-415.0;?;-1612.0;-4;656
21;?;-159;22;-1384.0;-245.0;-9;?;-32;?
3;-19;-159;20;-1322.0;-153.0;?;-1598.0;12;659
-10;8;-159;17;?;4.0;-54;-1608.0;30;662
0;41;-159;20;-1292.0;52.0;-30;-1505.0;-3;658
-3;-20;-159;?;-1733.0;?;-2;-1415.0;-45;657
11;1;-159;19;-2014.0;-12.0;-12;-1278.0;-14;657
-3;18;-159;19;-1886.0;-185.0;?;-1156.0;-6;657
-17;-20;-159;19;-1448.0;-193.0;17;-985.0;-4;658
10;5;-159;22;-981.0;-137.0;-45;?;?;660
-6;-5;-159;21;-556.0;35.0;-33;?;-39;660
-3;5;-159;25;-191.0;111.0;7;?;-5;655
28;-25;-159;24;-9.0;124.0;-6;-234.0;3;654
21;?;-159;23;104.0;48.0;-14;-137.0;?;655
-18;14;?;?;198.0;101.0;-15;-70.0;18;653
-20;?;-159;21;144.0;79.0;-14;-24.0;-21;654
18;44;?;21;?;65.0;4;-43.0;1;657
5;36;?;21;136.0;30.0;-3;4.0;12;659
4;-13;-159;19;?;-15.0;-26;10.0;-13;659
-15;-6;-159;16;172.0;-35.0;-37;23.0;-8;663
-37;30;-159;19;229.0;27.0;-45;50.0;-13;662
19;16;-159;26;224.0;75.0;-44;75.0;-31;?
28;-8;-159;19;133.0;?;-30;99.0;-52;660
5;11;-159;18;?;-80.0;0;82.0;-20;661
19;7;?;24;49.0;-103.0;1;78.0;41;654
-2;-9;-159;20;-16.0;-82.0;-17;130.0;25;655
-7;-7;-159;15;-59.0;?;?;153.0;?;658
1;-7;-159;?;?;-79.0;17;186.0;18;660
-38;19;-159;21;-32.0;-99.0;6;231.0;27;660
-17;23;-159;16;40.0;-60.0;24;338.0;5;658
0;-17;-159;15;?;-33.0;42;454.0;26;664
-8;-9;-159;17;?;?;32;593.0;20;666
23;-12;-159;19;247.0;42.0;14;853.0;-24;?
21;-40;-159;?;619.0;170.0;15;?;-13;?
26;3;-159;16;1052.0;260.0;24;1321.0;10;?
?;15;-159;14;1157.0;?;-3;1597.0;5;?
-5;0;-159;17;?;203.0;34;1794.0;-10;659
-5;5;-159;?;1786.0;?;13;1969.0;?;656
22;6;-159;20;1714.0;280.0;-52;2002.0;-39;654
13;25;-159;11;1984.0;326.0;27;1900.0;-21;658
-20;11;-159;13;1560.0;290.0;49;1885.0;?;657
-2;?;-159;21;806.0;330.0;16;?;-7;655
?;37;-159;23;?;327.0;-3;1465.0;6;656
-13;14;-159;22;800.0;378.0;8;1468.0;-29;655
1;-6;-159;?;?;?;57;1721.0;?;658
1;22;-159;14;796.0;415.0;24;2069.0;21;?
-10;23;-159;21;444.0;486.0;-11;1928.0;-4;656
?;8;?;25;-251.0;?;?;1749.0;-12;657
0;22;-159;18;-732.0;449.0;?;1350.0;-14;659
-13;7;-159;16;-745.0;239.0;10;908.0;-21;655
12;-6;-159;21;-430.0;-127.0;-14;525.0;-10;656
18;5;-159;?;-436.0;-372.0;-12;126.0;-10;654
-45;-28;-159;19;-359.0;-413.0;-36;-262.0;-17;651
18;-36;-159;21;66.0;?;0;-541.0;-25;654
50;-8;-159;22;381.0;-476.0;16;-738.0;-15;659
-18;-6;-159;19;403.0;-347.0;-58;-754.0;-28;659
21;27;-159;18;440.0;-234.0;-32;-732.0;?;658
29;51;-159;17;326.0;-178.0;?;-691.0;4;660
-11;16;?;18;83.0;-112.0;?;-579.0;5;657
10;?;-159;22;?;-2.0;-6;-456.0;7;655
34;-14;-159;24;22.0;-60.0;1;-377.0;?;655
?;-28;-159;20;72.0;-30.0;-9;-293.0;10;656
-31;?;-159;21;167.0;51.0;37;-164.0;31;658
-4;19;-159;25;253.0;58.0;18;-48.0;35;650
-1;-4;-159;19;391.0;79.0;-16;29.0;23;654
9;-4;-159;17;476.0;97.0;-7;145.0;43;657
-1;-15;-159;22;414.0;62.0;-21;203.0;14;?
-19;-28;-159;20;219.0;94.0;-21;284.0;?;657
0;-8;-159;16;?;153.0;-13;346.0;11;662
-11;11;-159;13;-106.0;142.0;-10;362.0;-40;657
16;?;-159;16;-170.0;122.0;14;342.0;-5;?
25;11;-159;18;-145.0;127.0;-18;274.0;-5;657
-9;-10;-159;18;-78.0;158.0;-5;142.0;-6;656
-9;-7;-159;19;-177.0;222.0;49;133.0;?;656
-1;?;-159;16;?;143.0;28;92.0;-6;660
19;11;-159;16;33.0;-57.0;29;64.0;-10;654
8;15;-159;?;30.0;?;-9;?;?;649
6;17;?;21;-76.0;-196.0;?;?;41;652
39;11;-159;15;-88.0;?;-19;-135.0;0;657
26;18;-159;17;-1.0;63.0;-11;-158.0;-10;655
?;?;?;20;-20.0;3.0;?;-138.0;-1;655
-6;-38;-159;16;14.0;22.0;-41;-147.0;-9;663
-18;-6;-159;16;35.0;81.0;-12;?;-50;661
11;9;-159;14;25.0;117.0;?;-60.0;-30;660
26;-3;-159;?;-15.0;11.0;18;16.0;2;657
-12;25;?;27;?;-201.0;?;74.0;-10;650
