InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ay
-28;-7;-175;14;-108.0;-33.0;-12;40.0;-19;673
193;214;-160;59;12.0;126.0;53;-123.0;-10;185
4600;117;-173;-113;-1819.0;-1061.0;-22;644.0;-66;917
145;-3780;-160;656;1136.0;156.0;-87;-274.0;-203;328
-26;13;-156;17;156.0;-3.0;-3;-497.0;-23;667
-24;12;-162;15;-17.0;279.0;0;-10.0;17;658
-8;8;-159;21;-93.0;61.0;-20;79.0;-3;658
-1;9;-168;13;-35.0;2.0;-83;3.0;-40;658
10;-3;-160;18;-70.0;121.0;4;33.0;3;676
-19;7;-157;21;-23.0;112.0;14;-8.0;-36;652
-33;163;-93;-54;-508.0;-997.0;4662;1063.0;555;671
-2;14;-133;14;-17.0;13.0;1;0.0;9;757
-951;-943;-162;267;553.0;555.0;-14;-290.0;12;465
-37;-13;-157;18;-25.0;6.0;36;-27.0;-11;656
-1685;150;-155;244;229.0;21.0;-65;-28.0;-76;1444
-29;-12;-157;22;0.0;-4.0;-25;18.0;-25;648
-7;8;-132;13;-49.0;76.0;-17;26.0;40;753
18;12;-133;12;-41.0;37.0;-4;-12.0;3;752
-1;0;-157;18;-44.0;175.0;-21;255.0;-34;662
-2;4;-131;13;-22.0;-135.0;-27;20.0;-7;759
-4;-12;-133;17;-25.0;29.0;-39;12.0;7;753
-12;-13;-156;21;-121.0;23.0;-8;65.0;5;660
-11;-47;-175;20;-164.0;-89.0;10;175.0;7;683
-25;0;-174;21;-58.0;21.0;18;-9.0;-34;654
-22;13;-133;15;-27.0;27.0;3;21.0;0;756
-15;-19;-163;13;-7.0;100.0;-15;-156.0;-19;671
-7;-3;-168;21;137.0;-322.0;-22;-63.0;-8;646
-23;3;-133;13;-76.0;20.0;7;17.0;-15;754
24;-50;-133;14;-19.0;13.0;-12;29.0;-16;756
-23;48;-149;19;173.0;-100.0;-272;245.0;364;667
-16;27;-174;21;-22.0;27.0;26;-16.0;-17;668
-24;23;-167;18;-44.0;76.0;-64;-18.0;-32;660
10;-10;-159;20;-62.0;48.0;5;-13.0;-25;655
-25;8;-133;11;-28.0;14.0;5;41.0;-21;752
1493;-2688;-167;398;-905.0;-850.0;-30;194.0;-14;1377
-1805;2095;-170;-403;-336.0;-953.0;-1707;-9.0;-548;120
-25;12;-156;20;6.0;36.0;-21;11.0;-14;668
56;234;-154;27;-776.0;-982.0;2741;419.0;1153;601
-11;-26;-168;23;-64.0;-197.0;-72;-69.0;-16;654
17;-29;-133;19;32.0;34.0;-24;114.0;4;748
-12;-16;-133;10;-41.0;10.0;-17;-7.0;-19;758
-8;6;-156;17;401.0;-9.0;686;-235.0;347;680
-6;-26;-162;18;-104.0;-175.0;27;-8.0;-21;655
15;2;-175;16;13.0;-11.0;-39;50.0;-21;674
-3;2;-133;9;-32.0;-24.0;45;17.0;12;758
-1;12;-160;23;-1614.0;-1298.0;-378;181.0;57;650
179;2596;173;23;-797.0;-473.0;54;-253.0;153;580
-7;-3;-159;19;101.0;148.0;15;41.0;-16;658
5;27;-162;24;-456.0;-688.0;-50;228.0;759;656
-955;1636;-161;658;466.0;871.0;-2049;-1039.0;-803;-2
-19;26;-153;19;3.0;44.0;8;-3.0;-16;669
-8;-19;-131;15;-30.0;-47.0;-22;23.0;-9;759
-34;-10;-158;25;223.0;317.0;-2;-106.0;-20;654
-33;-26;-155;19;310.0;-4.0;6;228.0;-1;669
-22;1;-163;15;-333.0;-2.0;25;5.0;0;673
840;-1079;-167;802;-830.0;-466.0;-861;363.0;-130;1737
1819;-3105;-163;364;632.0;711.0;-114;-767.0;-32;918
-3;36;-147;25;-27.0;-394.0;5174;542.0;230;661
-14;33;-160;13;269.0;1447.0;-3;-138.0;13;682
-16;-23;-156;18;817.0;359.0;-283;31.0;-1346;680
6;-4;-162;19;-237.0;232.0;-17;-86.0;-29;655
-14;-55;-161;8;-645.0;-67.0;-24;-181.0;-21;689
1;-10;-159;14;63.0;27.0;13;-61.0;-20;659
53;9;-162;10;57.0;-196.0;5;-159.0;-433;684
-20;2;-156;21;217.0;422.0;-3;747.0;-44;662
-20;30;-131;15;-27.0;19.0;-1;52.0;43;754
16;-8;-170;14;-113.0;282.0;-16;83.0;10;670
-58;-19;-154;3;-1662.0;-1684.0;-54;795.0;1609;679
-1;16;-156;10;64.0;-126.0;2;-19.0;-32;674
-29;32;-162;23;192.0;-122.0;50;-50.0;30;655
-66;15;-156;25;-133.0;53.0;-68;-1065.0;27;663
-21;18;-156;17;-60.0;25.0;15;-38.0;-6;655
0;-5;-156;21;-52.0;7.0;-46;-131.0;21;649
-6;16;-162;20;-46.0;-630.0;-14;-15.0;26;661
-23;26;-174;19;-45.0;63.0;3;19.0;-22;671
18;15;-157;16;-111.0;77.0;-8;65.0;-12;653
-943;4758;-160;-603;-60.0;-149.0;198;94.0;369;1562
-13;2;-132;8;-36.0;23.0;-5;12.0;-22;764
14;-53;-161;21;-233.0;-520.0;-13;273.0;18;669
33;47;-155;15;60.0;187.0;-9;-81.0;-1;672
-33;-31;-131;10;51.0;33.0;2;-240.0;-15;760
-23;7;-156;24;8.0;-28.0;14;65.0;-28;661
-7;11;-162;15;525.0;535.0;11;-440.0;-16;657
-30;-17;-133;9;-13.0;8.0;-9;-25.0;-8;754
0;31;-133;11;-42.0;40.0;10;26.0;11;755
5;8;-174;15;-318.0;174.0;21;-66.0;7;677
1;-35;-155;25;109.0;691.0;-1;-191.0;20;661
-8;10;-159;13;-80.0;-56.0;-1;191.0;-5;660
-8;-34;-140;36;-75.0;-191.0;209;262.0;-539;691
-19;2;-133;14;-31.0;2.0;24;67.0;-11;755
26;2;-159;25;67.0;-619.0;-569;66.0;-132;657
-8;16;-159;18;-154.0;-173.0;-19;-103.0;-23;658
22;2;-158;17;-665.0;771.0;-61;-53.0;-169;668
-33;16;-162;16;344.0;180.0;-63;-277.0;-28;679
-14;12;-132;18;-64.0;116.0;-3;22.0;-37;753
-2955;7998;-180;-110;-347.0;-251.0;-3324;309.0;-495;905
1088;-286;178;145;-111.0;-95.0;9;145.0;-13;559
1420;-1868;-156;2669;122.0;406.0;-631;-1197.0;-162;2158
-5;-5;-162;13;3.0;-275.0;1;18.0;-11;657
-1727;7030;-137;-1116;-611.0;-102.0;-488;578.0;497;2205
-18;24;-162;23;100.0;-8.0;-22;-22.0;-31;658
-1893;-768;-163;51;-191.0;818.0;-45;172.0;-22;651
31;-20;-160;24;-761.0;-858.0;499;760.0;-464;669
-30;25;-158;16;-563.0;-639.0;-274;-90.0;82;663
12;74;-121;11;-46.0;200.0;3176;-25.0;729;687
-991;15;-163;93;203.0;264.0;-15;29.0;-10;568
26;-33;-152;10;128.0;-109.0;1052;-233.0;-811;691
2565;-130;-146;37;-118.0;-609.0;-5;-419.0;-1;2133
-21;-30;-131;15;770.0;-123.0;-46;-910.0;67;764
-28;-49;-157;11;-47.0;224.0;7;-228.0;-2;657
78;-34;-158;26;424.0;364.0;1134;-281.0;-2971;670
-613;757;-140;-176;-357.0;-18.0;-6730;219.0;-187;1157
-6;-3;-155;16;-859.0;68.0;-39;1302.0;-20;671
2055;-5262;-163;-990;1223.0;1043.0;-417;-1142.0;-24;1640
18;4;-133;10;-32.0;22.0;19;6.0;-26;757
-19;16;-131;12;-5.0;117.0;11;-7.0;0;763
-2;2;-159;21;3.0;57.0;-7;-3.0;-20;657
-11;37;-159;18;-9.0;15.0;45;-14.0;-13;653
6;-11;-159;14;361.0;330.0;-27;-43.0;-15;660
2557;484;-166;52;-118.0;-100.0;29;326.0;43;1119
-61;70;-163;19;12.0;-831.0;-36;1158.0;-34;676
-167;4034;-174;30;-827.0;-629.0;-2697;550.0;3;631
-485;-1515;-159;65;-271.0;112.0;22;356.0;17;395
-162;846;-161;62;-1084.0;-363.0;-1337;495.0;582;569
-2332;166;-163;63;1663.0;1134.0;14;-597.0;47;693
-4;-3;-136;24;-235.0;36.0;-273;224.0;126;665
-1755;-397;-160;-801;-249.0;90.0;-408;257.0;-74;2472
-1061;5086;-201;460;-414.0;810.0;-4757;289.0;-2606;192
-2242;-112;-143;317;-1031.0;-823.0;3;345.0;-133;1012
38;13;-131;12;-621.0;-582.0;-7;626.0;22;756
-9;3;-156;21;429.0;309.0;-28;2159.0;15;667
-29;-17;-156;14;-192.0;-232.0;5;61.0;7;657
-1267;2124;-146;-323;-678.0;203.0;-20;170.0;21;1028
-7;-9;-149;23;-187.0;167.0;-54;165.0;-1007;676
-11;27;-157;16;-474.0;194.0;27;123.0;-14;706
-69;36;-156;22;-210.0;277.0;-77;234.0;-13;661
-1;-4;-159;19;391.0;79.0;-16;29.0;23;654
-524;2516;-168;-304;424.0;-235.0;-3856;-64.0;-1243;1127
12;-22;-146;16;558.0;-192.0;44;-180.0;-92;668
-1;13;-133;14;-54.0;5.0;11;1.0;-43;757
-8;-19;-133;8;-96.0;-1512.0;-15;-7.0;10;758
-16;6;-133;11;-25.0;31.0;-18;-12.0;-36;753
-18;-36;-132;8;-181.0;1100.0;-25;136.0;34;758
7;13;-132;8;85.0;35.0;27;-39.0;19;760
-27;-43;-166;10;1283.0;574.0;-66;-616.0;-68;666
-26;23;-167;18;-66.0;45.0;26;-31.0;-11;660
-103;377;-174;-13;-1527.0;-862.0;6140;753.0;-3;713
16;12;-157;19;-258.0;-130.0;-4;74.0;-22;700
-22;-15;-162;11;349.0;91.0;-866;-89.0;-179;666
4;24;-132;15;-75.0;479.0;18;44.0;12;760
45;46;-159;22;310.0;467.0;713;-98.0;-1021;669
-18;-11;-159;23;25.0;-276.0;-1;-281.0;-21;645
-2;-10;-158;17;142.0;-60.0;-39;-209.0;4;665
-11;-12;-162;25;-252.0;-369.0;-26;-159.0;-6;657
-44;7;-164;3;-789.0;283.0;357;606.0;-289;665
191;-595;176;-15;30.0;-110.0;15;-248.0;7;730
-20;-15;-133;25;61.0;78.0;-5;39.0;-11;743
