InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
566.0;-639.0;-717.0;134.0;300.0;709.0;-532.0;-844.0;54.0;-52.0;31.0;?
565.0;-641.0;-716.0;134.0;301.0;709.0;-531.0;-844.0;54.0;-51.0;31.0;-274.0
565.0;-642.0;-715.0;135.0;303.0;?;-531.0;-845.0;54.0;-49.0;29.0;-273.0
565.0;?;-714.0;135.0;304.0;711.0;-531.0;-846.0;54.0;-45.0;28.0;-271.0
564.0;?;-713.0;135.0;306.0;713.0;-531.0;-846.0;54.0;-43.0;27.0;-270.0
?;-642.0;-713.0;134.0;306.0;714.0;-531.0;-847.0;55.0;-42.0;26.0;-269.0
563.0;-642.0;-711.0;134.0;309.0;714.0;-531.0;-847.0;57.0;-42.0;26.0;-267.0
?;-642.0;-709.0;135.0;311.0;713.0;-532.0;-848.0;59.0;-42.0;24.0;-265.0
562.0;-641.0;-707.0;136.0;313.0;711.0;-534.0;-849.0;62.0;-44.0;23.0;-264.0
562.0;-641.0;-705.0;?;316.0;708.0;-536.0;-849.0;65.0;-47.0;22.0;-264.0
562.0;-640.0;-703.0;139.0;318.0;704.0;-537.0;?;68.0;-49.0;21.0;?
562.0;-639.0;-700.0;141.0;321.0;?;-538.0;-849.0;72.0;-51.0;18.0;-259.0
563.0;-637.0;-698.0;144.0;324.0;?;-539.0;-848.0;78.0;-52.0;13.0;-256.0
?;-636.0;-695.0;147.0;329.0;694.0;-540.0;-847.0;84.0;-52.0;8.0;-253.0
567.0;-634.0;-692.0;151.0;334.0;692.0;-540.0;-846.0;91.0;-52.0;1.0;-249.0
569.0;-633.0;-690.0;155.0;340.0;692.0;-539.0;-845.0;98.0;-51.0;-7.0;-246.0
569.0;-630.0;-688.0;160.0;344.0;692.0;-538.0;-846.0;106.0;-51.0;?;-245.0
568.0;-630.0;-686.0;164.0;346.0;694.0;?;-845.0;118.0;-55.0;-26.0;?
573.0;-632.0;-687.0;164.0;348.0;694.0;-538.0;-845.0;122.0;?;-24.0;-229.0
574.0;-635.0;-687.0;165.0;354.0;?;-532.0;-846.0;?;-45.0;-22.0;-232.0
573.0;-638.0;-687.0;165.0;360.0;696.0;-528.0;-846.0;113.0;-47.0;-22.0;-235.0
571.0;-637.0;-686.0;170.0;364.0;702.0;-524.0;-846.0;106.0;-48.0;-17.0;-236.0
570.0;?;-687.0;173.0;368.0;707.0;-520.0;-846.0;99.0;-48.0;-14.0;-236.0
570.0;?;-689.0;172.0;370.0;711.0;-516.0;-847.0;99.0;?;-11.0;-231.0
571.0;-637.0;-689.0;167.0;373.0;716.0;-511.0;-848.0;99.0;-39.0;-12.0;-226.0
573.0;-638.0;-688.0;164.0;377.0;722.0;?;-847.0;99.0;-36.0;-18.0;-226.0
576.0;-638.0;-685.0;166.0;382.0;724.0;-505.0;-844.0;100.0;-37.0;-23.0;-225.0
578.0;-638.0;-683.0;174.0;385.0;722.0;-506.0;-842.0;103.0;-37.0;-24.0;?
580.0;-638.0;-681.0;184.0;387.0;719.0;-506.0;-839.0;106.0;-38.0;-23.0;-224.0
582.0;-637.0;-680.0;189.0;388.0;714.0;-506.0;-837.0;107.0;-42.0;-20.0;-226.0
584.0;-636.0;-679.0;191.0;?;709.0;-508.0;-835.0;107.0;-49.0;-15.0;-228.0
586.0;-634.0;?;191.0;388.0;703.0;-509.0;-834.0;105.0;-55.0;-9.0;-230.0
588.0;-633.0;?;?;389.0;697.0;-510.0;-832.0;105.0;-58.0;-4.0;-230.0
589.0;-631.0;-676.0;191.0;389.0;693.0;-512.0;-831.0;107.0;?;-2.0;?
?;?;-675.0;190.0;389.0;689.0;-512.0;-831.0;110.0;-56.0;-1.0;-230.0
592.0;-627.0;-675.0;188.0;389.0;685.0;-513.0;-830.0;113.0;-53.0;-2.0;-231.0
?;-625.0;-674.0;185.0;389.0;683.0;-514.0;-829.0;116.0;-50.0;-2.0;-232.0
594.0;-623.0;-674.0;182.0;?;680.0;-514.0;-829.0;119.0;-47.0;?;-234.0
593.0;-621.0;?;178.0;386.0;679.0;-514.0;-829.0;?;-42.0;-4.0;-235.0
593.0;-619.0;-676.0;175.0;384.0;678.0;-515.0;-830.0;?;-37.0;?;-237.0
591.0;-617.0;-678.0;169.0;382.0;678.0;?;-831.0;121.0;-33.0;-2.0;-240.0
588.0;-616.0;-679.0;164.0;378.0;?;?;-833.0;119.0;-32.0;1.0;-246.0
585.0;-614.0;-682.0;159.0;372.0;679.0;-518.0;-835.0;115.0;-32.0;4.0;-250.0
582.0;-614.0;-685.0;156.0;366.0;680.0;-519.0;-837.0;110.0;-32.0;9.0;-254.0
579.0;-614.0;-689.0;152.0;359.0;?;?;-838.0;104.0;-31.0;14.0;-256.0
575.0;-616.0;-692.0;149.0;351.0;682.0;-522.0;?;?;-31.0;19.0;-260.0
572.0;-618.0;-695.0;145.0;344.0;684.0;-523.0;-842.0;88.0;-31.0;24.0;-262.0
568.0;-621.0;-699.0;142.0;336.0;686.0;-524.0;-844.0;81.0;-32.0;?;-265.0
?;-624.0;-701.0;141.0;329.0;690.0;-525.0;-846.0;76.0;-33.0;30.0;-267.0
?;-628.0;-705.0;140.0;322.0;695.0;-525.0;-847.0;71.0;-34.0;31.0;-270.0
559.0;-631.0;-708.0;139.0;316.0;699.0;-526.0;-848.0;66.0;-35.0;32.0;-273.0
556.0;-633.0;-711.0;138.0;310.0;704.0;-526.0;-850.0;60.0;-36.0;34.0;-276.0
554.0;-635.0;-714.0;?;305.0;708.0;-526.0;-851.0;53.0;-36.0;37.0;-279.0
552.0;-636.0;?;132.0;300.0;711.0;-526.0;-851.0;48.0;-35.0;39.0;-281.0
551.0;-637.0;-720.0;129.0;296.0;?;-527.0;-851.0;42.0;-35.0;43.0;-283.0
550.0;-638.0;-722.0;125.0;293.0;714.0;-527.0;-851.0;36.0;-35.0;46.0;-286.0
550.0;-638.0;-724.0;123.0;291.0;714.0;-528.0;-851.0;32.0;-35.0;48.0;-288.0
550.0;-637.0;-724.0;120.0;290.0;714.0;-528.0;-850.0;30.0;-35.0;49.0;-290.0
550.0;-637.0;-725.0;118.0;?;713.0;-529.0;-850.0;30.0;-35.0;49.0;-291.0
551.0;-635.0;-725.0;117.0;289.0;711.0;-530.0;-849.0;31.0;-36.0;48.0;-292.0
?;-634.0;-725.0;?;290.0;709.0;-531.0;-849.0;34.0;-37.0;48.0;-292.0
551.0;-632.0;-726.0;115.0;289.0;706.0;-532.0;-849.0;36.0;-39.0;?;-295.0
552.0;?;-727.0;?;289.0;702.0;-532.0;-849.0;36.0;-43.0;51.0;-298.0
551.0;-629.0;-727.0;113.0;289.0;697.0;-533.0;-849.0;37.0;?;52.0;-301.0
550.0;-627.0;-727.0;113.0;?;693.0;-534.0;-849.0;39.0;-53.0;52.0;?
551.0;-625.0;-724.0;114.0;295.0;689.0;-534.0;?;44.0;-56.0;48.0;-302.0
554.0;-623.0;-721.0;118.0;302.0;687.0;-533.0;?;51.0;-56.0;41.0;-298.0
?;-621.0;-718.0;124.0;309.0;686.0;-532.0;-844.0;61.0;-53.0;31.0;?
562.0;-618.0;-715.0;133.0;315.0;686.0;?;-843.0;72.0;-50.0;19.0;-288.0
569.0;-620.0;-710.0;137.0;325.0;686.0;-533.0;-840.0;?;-44.0;14.0;-273.0
576.0;-621.0;-707.0;142.0;337.0;685.0;?;-840.0;87.0;-36.0;11.0;-263.0
577.0;-622.0;-708.0;145.0;342.0;688.0;-529.0;-842.0;?;-35.0;?;?
575.0;-623.0;?;148.0;345.0;694.0;-529.0;-844.0;86.0;-40.0;10.0;-262.0
571.0;-622.0;-711.0;?;346.0;698.0;-527.0;-848.0;78.0;-49.0;16.0;-264.0
566.0;-623.0;?;150.0;?;701.0;-524.0;-851.0;74.0;-62.0;20.0;?
562.0;-623.0;-718.0;146.0;343.0;705.0;-523.0;-853.0;71.0;-72.0;26.0;-264.0
561.0;-624.0;-722.0;142.0;?;710.0;-522.0;-854.0;64.0;-78.0;29.0;-262.0
?;-624.0;-725.0;140.0;338.0;712.0;-519.0;-854.0;59.0;-81.0;29.0;-261.0
?;-622.0;-726.0;144.0;336.0;712.0;-518.0;-852.0;?;-82.0;30.0;-258.0
564.0;-622.0;-725.0;152.0;335.0;712.0;?;-850.0;54.0;-80.0;29.0;-256.0
566.0;-622.0;-725.0;160.0;335.0;711.0;-520.0;-849.0;55.0;-76.0;?;-255.0
566.0;-623.0;-724.0;163.0;335.0;709.0;-521.0;-847.0;56.0;?;29.0;?
566.0;-623.0;-724.0;160.0;334.0;706.0;-522.0;-847.0;56.0;-77.0;30.0;?
566.0;-623.0;-724.0;155.0;333.0;703.0;-523.0;-846.0;55.0;-78.0;32.0;-262.0
567.0;-622.0;-722.0;?;333.0;699.0;?;-845.0;56.0;-76.0;36.0;-263.0
568.0;-622.0;-721.0;147.0;333.0;696.0;-526.0;-844.0;57.0;-71.0;39.0;-264.0
569.0;-622.0;-719.0;143.0;333.0;693.0;-527.0;-843.0;58.0;-65.0;41.0;-265.0
570.0;-622.0;-718.0;137.0;334.0;690.0;-528.0;?;60.0;?;43.0;-267.0
571.0;-621.0;-716.0;131.0;335.0;687.0;?;-842.0;60.0;-56.0;?;-269.0
570.0;-621.0;-715.0;126.0;335.0;685.0;-529.0;-841.0;62.0;-52.0;45.0;?
570.0;-619.0;-714.0;123.0;336.0;?;-529.0;-841.0;64.0;-49.0;45.0;-275.0
570.0;-618.0;-714.0;?;336.0;682.0;?;-840.0;65.0;-46.0;45.0;-276.0
570.0;-616.0;-715.0;121.0;334.0;681.0;-528.0;-840.0;65.0;-43.0;46.0;-277.0
569.0;-615.0;-715.0;120.0;333.0;680.0;-527.0;-841.0;?;?;49.0;-277.0
568.0;-614.0;-716.0;?;331.0;679.0;-528.0;-841.0;62.0;-40.0;51.0;-278.0
?;-614.0;-717.0;122.0;328.0;678.0;-527.0;-842.0;61.0;-40.0;53.0;-279.0
564.0;?;-719.0;123.0;324.0;678.0;-528.0;-843.0;57.0;-42.0;56.0;-281.0
