Accelerometer LH accX;Accelerometer LUA_ accZ;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer LWR accY;InertialMeasurementUnit LLA accY;Accelerometer LUA^ accZ;Accelerometer RWR accZ;Accelerometer LUA_ accY
433.0;366.0;501.0;157.0;793;830.0;-411.0;312.0;608.0;935.0
412.0;367.0;491.0;152.0;799;839.0;-413.0;322.0;595.0;917.0
388.0;378.0;482.0;134.0;795;823.0;-424.0;329.0;?;926.0
358.0;370.0;478.0;126.0;797;848.0;-405.0;301.0;570.0;948.0
303.0;?;473.0;134.0;800;828.0;-376.0;286.0;?;977.0
292.0;361.0;?;153.0;793;845.0;-367.0;267.0;561.0;990.0
292.0;349.0;503.0;159.0;800;869.0;-347.0;254.0;570.0;1000.0
294.0;339.0;?;163.0;797;906.0;-336.0;?;559.0;1000.0
326.0;345.0;516.0;156.0;794;920.0;-330.0;253.0;561.0;986.0
325.0;380.0;536.0;129.0;797;915.0;-323.0;?;572.0;958.0
309.0;?;545.0;122.0;797;?;-326.0;241.0;575.0;948.0
293.0;376.0;541.0;153.0;799;876.0;?;220.0;?;926.0
297.0;409.0;531.0;198.0;?;880.0;-286.0;227.0;547.0;927.0
?;412.0;510.0;220.0;792;853.0;-297.0;220.0;562.0;932.0
305.0;410.0;490.0;219.0;801;849.0;-310.0;235.0;555.0;936.0
?;?;497.0;181.0;802;831.0;-310.0;243.0;539.0;948.0
360.0;376.0;500.0;?;804;858.0;-312.0;248.0;523.0;960.0
392.0;379.0;491.0;128.0;804;868.0;-313.0;221.0;540.0;979.0
387.0;386.0;483.0;133.0;796;868.0;-331.0;232.0;?;956.0
398.0;381.0;484.0;141.0;802;879.0;-355.0;249.0;558.0;949.0
407.0;395.0;484.0;145.0;804;870.0;-360.0;233.0;533.0;883.0
418.0;337.0;479.0;156.0;806;871.0;-355.0;252.0;547.0;779.0
417.0;349.0;486.0;154.0;802;812.0;-364.0;265.0;550.0;658.0
416.0;561.0;483.0;156.0;798;792.0;-369.0;254.0;562.0;1385.0
304.0;404.0;496.0;?;819;499.0;-361.0;256.0;486.0;1150.0
?;334.0;494.0;?;808;1048.0;-357.0;262.0;495.0;877.0
391.0;364.0;?;165.0;787;1271.0;?;?;857.0;790.0
505.0;368.0;478.0;179.0;786;759.0;-365.0;252.0;579.0;898.0
611.0;433.0;391.0;34.0;780;737.0;-280.0;226.0;415.0;1042.0
?;441.0;623.0;96.0;789;760.0;-372.0;234.0;468.0;1067.0
255.0;400.0;?;?;804;932.0;-457.0;239.0;458.0;896.0
201.0;447.0;334.0;?;807;?;-376.0;165.0;531.0;810.0
365.0;475.0;364.0;459.0;800;904.0;-376.0;468.0;621.0;836.0
281.0;471.0;356.0;237.0;794;772.0;-471.0;408.0;547.0;879.0
148.0;425.0;352.0;194.0;799;775.0;-370.0;154.0;528.0;911.0
156.0;391.0;372.0;231.0;799;?;-283.0;249.0;534.0;922.0
259.0;404.0;360.0;248.0;796;?;-341.0;189.0;529.0;924.0
282.0;409.0;362.0;200.0;799;848.0;-403.0;158.0;491.0;924.0
321.0;398.0;405.0;156.0;?;858.0;-388.0;281.0;509.0;905.0
301.0;398.0;409.0;?;796;856.0;-359.0;294.0;520.0;907.0
353.0;421.0;399.0;186.0;?;842.0;-331.0;267.0;538.0;935.0
378.0;419.0;424.0;?;804;867.0;-334.0;298.0;518.0;929.0
?;407.0;434.0;222.0;800;839.0;-342.0;305.0;529.0;926.0
387.0;452.0;428.0;201.0;?;848.0;-335.0;305.0;518.0;?
?;428.0;454.0;194.0;799;853.0;-319.0;301.0;558.0;968.0
388.0;425.0;477.0;190.0;795;848.0;-345.0;249.0;586.0;962.0
382.0;413.0;483.0;173.0;801;848.0;-364.0;228.0;598.0;894.0
395.0;423.0;507.0;171.0;798;868.0;-371.0;?;622.0;867.0
418.0;428.0;519.0;154.0;798;821.0;-372.0;275.0;602.0;908.0
438.0;?;530.0;?;800;811.0;-378.0;269.0;581.0;920.0
430.0;411.0;542.0;135.0;794;791.0;-379.0;302.0;?;923.0
427.0;386.0;534.0;?;795;808.0;-405.0;286.0;574.0;958.0
438.0;336.0;510.0;150.0;797;820.0;?;350.0;542.0;978.0
439.0;337.0;505.0;132.0;795;825.0;-401.0;389.0;550.0;999.0
477.0;379.0;495.0;?;796;847.0;-407.0;347.0;550.0;1010.0
426.0;349.0;489.0;112.0;794;867.0;-399.0;?;557.0;1018.0
362.0;358.0;495.0;128.0;786;908.0;-405.0;326.0;532.0;999.0
351.0;353.0;?;147.0;788;922.0;-390.0;?;557.0;1012.0
341.0;379.0;490.0;?;793;906.0;-359.0;318.0;510.0;1001.0
?;368.0;?;169.0;793;932.0;-337.0;276.0;526.0;961.0
324.0;?;489.0;171.0;796;911.0;-348.0;241.0;507.0;971.0
313.0;354.0;479.0;?;801;903.0;-353.0;243.0;502.0;975.0
308.0;342.0;473.0;174.0;796;905.0;?;224.0;?;978.0
285.0;319.0;459.0;172.0;793;905.0;-315.0;240.0;530.0;992.0
284.0;339.0;471.0;171.0;?;896.0;-323.0;262.0;553.0;976.0
258.0;349.0;478.0;170.0;792;904.0;-328.0;?;568.0;934.0
260.0;?;485.0;166.0;798;885.0;-310.0;251.0;570.0;954.0
255.0;372.0;497.0;178.0;803;884.0;-290.0;238.0;562.0;962.0
252.0;351.0;505.0;187.0;796;876.0;-277.0;198.0;567.0;?
302.0;349.0;516.0;192.0;800;875.0;?;203.0;562.0;972.0
343.0;330.0;525.0;190.0;805;886.0;-285.0;174.0;520.0;?
361.0;332.0;?;178.0;799;910.0;-281.0;184.0;592.0;930.0
401.0;311.0;526.0;171.0;800;892.0;-295.0;?;528.0;885.0
?;326.0;508.0;163.0;803;874.0;-315.0;226.0;533.0;741.0
374.0;442.0;503.0;167.0;803;813.0;?;222.0;539.0;?
348.0;400.0;484.0;197.0;798;689.0;-307.0;227.0;?;1244.0
?;405.0;474.0;211.0;798;759.0;-306.0;215.0;504.0;854.0
310.0;410.0;468.0;210.0;809;1184.0;-307.0;200.0;682.0;864.0
408.0;407.0;483.0;202.0;?;?;-316.0;163.0;763.0;860.0
531.0;396.0;447.0;162.0;775;?;-327.0;161.0;453.0;?
543.0;461.0;557.0;125.0;?;773.0;-268.0;?;486.0;981.0
376.0;374.0;608.0;264.0;769;797.0;-385.0;203.0;480.0;1037.0
296.0;408.0;418.0;403.0;811;868.0;-336.0;136.0;454.0;932.0
373.0;394.0;395.0;467.0;803;989.0;-394.0;331.0;507.0;881.0
342.0;411.0;?;339.0;787;888.0;-550.0;432.0;?;866.0
230.0;410.0;309.0;261.0;798;799.0;?;250.0;500.0;902.0
169.0;388.0;302.0;260.0;794;810.0;-296.0;324.0;?;933.0
?;378.0;338.0;289.0;?;852.0;-331.0;208.0;507.0;932.0
?;368.0;?;311.0;799;888.0;-364.0;119.0;486.0;913.0
250.0;371.0;332.0;278.0;799;874.0;-341.0;255.0;462.0;?
275.0;376.0;382.0;223.0;802;856.0;-306.0;260.0;468.0;919.0
256.0;355.0;399.0;215.0;799;838.0;-283.0;168.0;526.0;931.0
277.0;383.0;?;236.0;799;849.0;-284.0;197.0;538.0;942.0
307.0;400.0;423.0;267.0;799;?;-293.0;184.0;548.0;961.0
336.0;417.0;428.0;275.0;793;846.0;-302.0;214.0;562.0;946.0
334.0;398.0;437.0;253.0;797;868.0;-291.0;212.0;561.0;931.0
335.0;401.0;461.0;227.0;802;877.0;-290.0;211.0;593.0;?
363.0;433.0;479.0;212.0;799;865.0;-311.0;193.0;597.0;?
397.0;446.0;497.0;200.0;799;849.0;-331.0;207.0;587.0;958.0
381.0;425.0;519.0;205.0;805;860.0;-333.0;224.0;609.0;?
379.0;390.0;525.0;209.0;812;873.0;-338.0;215.0;619.0;936.0
399.0;397.0;522.0;209.0;810;882.0;-350.0;240.0;622.0;923.0
412.0;?;533.0;186.0;797;836.0;-369.0;?;592.0;962.0
452.0;417.0;547.0;160.0;800;826.0;-386.0;255.0;?;951.0
450.0;414.0;551.0;150.0;807;845.0;-391.0;?;?;943.0
423.0;384.0;?;159.0;809;828.0;-391.0;289.0;589.0;944.0
437.0;362.0;521.0;172.0;811;844.0;-396.0;319.0;547.0;952.0
465.0;352.0;511.0;?;786;842.0;-411.0;316.0;524.0;956.0
458.0;369.0;506.0;152.0;782;851.0;?;327.0;538.0;993.0
432.0;330.0;503.0;149.0;798;883.0;?;?;529.0;993.0
398.0;324.0;?;148.0;797;895.0;-402.0;278.0;550.0;995.0
?;329.0;500.0;159.0;797;905.0;-403.0;297.0;536.0;998.0
353.0;336.0;484.0;179.0;791;913.0;-369.0;?;518.0;?
350.0;329.0;480.0;182.0;799;906.0;?;280.0;497.0;1001.0
318.0;309.0;479.0;?;809;927.0;-360.0;258.0;501.0;1013.0
273.0;314.0;474.0;180.0;796;917.0;-346.0;240.0;535.0;?
272.0;300.0;471.0;191.0;789;922.0;?;231.0;552.0;989.0
273.0;329.0;472.0;186.0;796;943.0;-317.0;?;500.0;991.0
268.0;320.0;473.0;183.0;805;944.0;-299.0;254.0;?;971.0
240.0;?;484.0;196.0;805;924.0;-269.0;193.0;552.0;959.0
213.0;347.0;480.0;?;801;895.0;-242.0;205.0;581.0;?
184.0;386.0;501.0;235.0;803;896.0;-245.0;190.0;553.0;939.0
198.0;?;516.0;227.0;803;892.0;-254.0;179.0;571.0;929.0
242.0;?;526.0;223.0;?;855.0;-254.0;146.0;569.0;?
?;369.0;524.0;187.0;802;855.0;-239.0;162.0;544.0;912.0
296.0;393.0;?;159.0;803;865.0;-244.0;152.0;536.0;909.0
333.0;392.0;?;167.0;803;878.0;-263.0;145.0;547.0;823.0
371.0;401.0;502.0;185.0;805;849.0;-287.0;164.0;512.0;?
435.0;339.0;504.0;182.0;807;796.0;?;218.0;533.0;612.0
416.0;491.0;508.0;179.0;?;790.0;-309.0;230.0;535.0;1271.0
458.0;448.0;486.0;185.0;796;590.0;-310.0;229.0;535.0;1279.0
295.0;332.0;469.0;181.0;?;824.0;-351.0;229.0;444.0;874.0
507.0;388.0;471.0;?;805;?;-385.0;206.0;692.0;883.0
570.0;342.0;?;202.0;797;?;-410.0;204.0;655.0;891.0
683.0;408.0;408.0;158.0;765;766.0;-400.0;204.0;458.0;943.0
512.0;435.0;507.0;158.0;766;764.0;-367.0;215.0;501.0;1050.0
310.0;395.0;544.0;352.0;803;862.0;-465.0;253.0;?;996.0
?;388.0;385.0;510.0;809;1021.0;-397.0;?;497.0;902.0
377.0;386.0;368.0;495.0;804;1008.0;-413.0;342.0;576.0;882.0
270.0;394.0;?;317.0;803;863.0;-491.0;414.0;?;921.0
?;405.0;326.0;249.0;791;?;-382.0;168.0;535.0;?
102.0;375.0;340.0;247.0;794;868.0;-310.0;296.0;572.0;925.0
115.0;375.0;356.0;284.0;799;884.0;-388.0;156.0;587.0;879.0
191.0;?;344.0;302.0;793;904.0;-358.0;131.0;543.0;865.0
160.0;408.0;?;254.0;?;846.0;-302.0;273.0;549.0;827.0
124.0;422.0;414.0;222.0;798;816.0;-277.0;258.0;551.0;848.0
177.0;458.0;447.0;236.0;793;781.0;-264.0;170.0;590.0;863.0
223.0;444.0;458.0;?;797;785.0;-261.0;191.0;561.0;888.0
?;490.0;471.0;250.0;804;802.0;-256.0;201.0;590.0;920.0
307.0;478.0;487.0;231.0;804;821.0;-263.0;232.0;560.0;943.0
350.0;466.0;?;210.0;801;830.0;-286.0;225.0;558.0;933.0
384.0;457.0;506.0;185.0;796;856.0;-300.0;216.0;535.0;973.0
451.0;463.0;495.0;171.0;799;865.0;-334.0;255.0;604.0;989.0
507.0;437.0;496.0;170.0;?;891.0;-384.0;256.0;?;976.0
529.0;446.0;479.0;163.0;797;897.0;-407.0;295.0;583.0;963.0
497.0;436.0;468.0;172.0;801;888.0;-421.0;335.0;582.0;969.0
492.0;430.0;477.0;195.0;806;885.0;-448.0;?;?;960.0
482.0;415.0;485.0;203.0;801;?;-465.0;321.0;605.0;958.0
457.0;409.0;493.0;?;805;?;-459.0;333.0;603.0;949.0
439.0;388.0;503.0;?;799;839.0;-444.0;320.0;621.0;957.0
423.0;358.0;515.0;158.0;797;831.0;?;270.0;606.0;964.0
409.0;349.0;516.0;?;?;826.0;-442.0;312.0;?;947.0
391.0;341.0;531.0;111.0;?;828.0;-442.0;321.0;585.0;941.0
?;341.0;532.0;126.0;801;859.0;-431.0;322.0;562.0;943.0
378.0;329.0;531.0;150.0;800;?;-400.0;334.0;?;943.0
346.0;358.0;522.0;173.0;796;861.0;-371.0;355.0;560.0;933.0
280.0;330.0;513.0;193.0;807;858.0;-343.0;337.0;539.0;952.0
236.0;329.0;499.0;209.0;809;869.0;-337.0;293.0;539.0;991.0
297.0;310.0;481.0;200.0;798;846.0;-346.0;276.0;482.0;?
291.0;323.0;482.0;177.0;792;900.0;-322.0;269.0;443.0;995.0
307.0;331.0;483.0;168.0;787;907.0;?;244.0;?;1050.0
306.0;326.0;455.0;167.0;790;?;-296.0;219.0;483.0;1041.0
273.0;347.0;441.0;175.0;796;966.0;-293.0;222.0;480.0;965.0
254.0;383.0;462.0;197.0;801;989.0;-293.0;240.0;501.0;937.0
217.0;358.0;473.0;227.0;807;917.0;-286.0;197.0;?;929.0
243.0;362.0;458.0;256.0;805;868.0;-265.0;196.0;541.0;937.0
219.0;354.0;489.0;267.0;799;?;-246.0;181.0;?;?
243.0;370.0;497.0;274.0;794;863.0;?;166.0;531.0;943.0
299.0;352.0;490.0;254.0;793;853.0;?;141.0;526.0;985.0
311.0;358.0;493.0;?;807;880.0;-301.0;149.0;549.0;992.0
321.0;342.0;487.0;177.0;?;893.0;-309.0;180.0;540.0;972.0
336.0;348.0;474.0;181.0;?;917.0;-306.0;174.0;550.0;963.0
?;340.0;478.0;192.0;799;918.0;-301.0;183.0;508.0;933.0
353.0;319.0;475.0;213.0;804;927.0;-310.0;215.0;520.0;911.0
370.0;336.0;481.0;226.0;797;843.0;-312.0;222.0;506.0;888.0
377.0;314.0;484.0;229.0;799;827.0;-308.0;203.0;513.0;830.0
385.0;355.0;479.0;231.0;807;778.0;-304.0;202.0;521.0;?
411.0;484.0;472.0;?;797;785.0;-316.0;192.0;532.0;1223.0
?;397.0;463.0;226.0;793;688.0;-321.0;191.0;512.0;?
291.0;369.0;448.0;203.0;802;1074.0;-342.0;204.0;?;1039.0
468.0;?;448.0;?;?;1168.0;-358.0;228.0;?;898.0
608.0;?;469.0;183.0;773;982.0;-342.0;192.0;573.0;932.0
657.0;362.0;415.0;152.0;780;831.0;-297.0;174.0;475.0;1011.0
534.0;298.0;567.0;?;800;859.0;-311.0;159.0;?;?
334.0;307.0;494.0;407.0;800;942.0;?;169.0;450.0;947.0
?;369.0;391.0;567.0;801;1003.0;-445.0;112.0;482.0;934.0
255.0;417.0;377.0;537.0;810;1019.0;-498.0;389.0;547.0;?
307.0;506.0;314.0;?;805;948.0;-509.0;?;580.0;980.0
474.0;688.0;267.0;285.0;799;917.0;-361.0;203.0;557.0;971.0
746.0;786.0;276.0;257.0;805;907.0;?;199.0;542.0;878.0
930.0;974.0;320.0;253.0;803;873.0;-277.0;108.0;545.0;742.0
1085.0;1008.0;344.0;293.0;796;803.0;-356.0;135.0;530.0;678.0
1162.0;1019.0;?;?;798;632.0;?;?;559.0;658.0
1241.0;1013.0;?;358.0;794;515.0;-513.0;163.0;594.0;639.0
1432.0;?;467.0;298.0;793;461.0;-762.0;169.0;612.0;514.0
1469.0;1008.0;472.0;253.0;804;450.0;-954.0;153.0;609.0;334.0
