NMHC(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT)
40.0;1396.0;4.1;?;?;0.6276;1304.0;?;718.0;692.0;1.4;91.0;82.0
21.0;1680.0;1.9;7.0;62.3;0.6261;1187.0;889.0;574.0;512.0;0.8;-200.0;-200.0
10.0;1893.0;1.1;6.1;65.9;0.6248;1134.0;831.0;?;384.0;-200.0;?;21.0
7.0;1895.0;1.0;?;65.0;0.6233;1155.0;847.0;501.0;394.0;?;44.0;30.0
17.0;1685.0;1.8;?;62.9;0.6234;1223.0;927.0;?;487.0;?;71.0;56.0
33.0;1387.0;4.4;6.4;65.1;0.6316;1361.0;1091.0;730.0;748.0;?;104.0;109.0
202.0;?;?;7.3;63.1;?;1900.0;1587.0;1236.0;1400.0;?;141.0;?
-200.0;?;22.1;9.2;56.2;0.6561;2058.0;1545.0;?;1588.0;?;-200.0;-200.0
208.0;?;14.0;?;41.7;0.632;1712.0;1350.0;1118.0;1237.0;3.1;122.0;187.0
166.0;969.0;11.6;14.3;38.4;?;1598.0;1263.0;?;1167.0;2.7;143.0;216.0
?;1035.0;10.2;?;36.5;0.6195;1537.0;1206.0;?;?;2.1;113.0;?
140.0;1008.0;11.0;16.1;34.5;0.6262;1593.0;?;1016.0;983.0;2.5;116.0;160.0
?;949.0;12.8;16.3;35.7;0.656;1660.0;1287.0;1078.0;1061.0;?;123.0;?
185.0;922.0;?;15.8;?;0.661;1740.0;1353.0;1122.0;1139.0;?;126.0;?
165.0;954.0;12.7;15.9;?;0.6657;?;1309.0;1073.0;?;2.8;?;178.0
?;?;11.7;?;34.3;0.6549;1610.0;?;?;994.0;2.4;119.0;150.0
233.0;812.0;19.3;?;39.6;?;1910.0;?;1277.0;1410.0;3.9;149.0;206.0
242.0;821.0;18.2;?;43.4;0.7084;?;?;1246.0;1448.0;3.7;145.0;202.0
488.0;624.0;32.6;12.9;50.5;0.7478;?;1843.0;1610.0;1887.0;6.6;?;340.0
333.0;752.0;20.1;12.1;53.3;0.7536;1941.0;1598.0;1299.0;1627.0;4.4;149.0;274.0
215.0;839.0;?;11.0;59.1;0.774;1723.0;?;?;1491.0;3.5;139.0;253.0
?;741.0;21.8;9.7;64.6;0.7771;2062.0;1677.0;1346.0;1657.0;5.4;?;300.0
122.0;?;9.6;9.5;?;0.7597;1544.0;?;964.0;1285.0;2.7;113.0;193.0
67.0;1071.0;7.4;?;63.9;0.7423;1463.0;?;873.0;1144.0;1.9;97.0;139.0
43.0;1176.0;5.4;?;63.9;0.7256;1365.0;1184.0;782.0;1043.0;?;82.0;83.0
46.0;?;?;7.8;67.5;0.7173;1380.0;1172.0;783.0;996.0;?;-200.0;-200.0
56.0;1132.0;?;7.0;71.1;0.7158;1412.0;1147.0;821.0;?;-200.0;83.0;109.0
?;1420.0;?;8.3;63.6;0.6982;1274.0;978.0;625.0;819.0;?;65.0;?
?;?;2.9;7.2;?;0.6887;?;1100.0;646.0;835.0;1.2;?;53.0
47.0;1228.0;5.1;6.3;71.9;0.6932;1409.0;1112.0;770.0;940.0;1.5;77.0;139.0
132.0;935.0;?;?;71.6;0.6945;?;1336.0;?;1192.0;2.7;96.0;?
239.0;830.0;15.1;9.6;59.7;0.7124;?;1408.0;?;1411.0;3.7;119.0;295.0
?;869.0;12.9;12.4;51.2;0.7335;?;1447.0;1081.0;1465.0;3.2;126.0;250.0
283.0;808.0;?;15.6;?;?;1780.0;?;1184.0;1583.0;4.1;158.0;296.0
210.0;875.0;14.0;18.4;33.8;0.709;1679.0;1451.0;1117.0;?;3.6;161.0;239.0
?;987.0;12.3;19.4;31.3;?;1600.0;1328.0;1059.0;1101.0;?;?;153.0
112.0;?;8.6;18.0;34.8;0.7127;1488.0;1207.0;924.0;?;2.0;?;118.0
108.0;1049.0;9.2;?;33.6;0.7042;1532.0;?;?;947.0;2.0;?;119.0
111.0;1004.0;10.2;17.6;35.1;0.7012;1554.0;1306.0;987.0;1078.0;2.5;124.0;138.0
?;976.0;10.6;?;37.8;0.7117;1602.0;1326.0;1000.0;?;2.3;125.0;148.0
191.0;831.0;15.5;16.1;41.0;0.7451;1779.0;1473.0;1163.0;1395.0;3.2;148.0;227.0
258.0;758.0;19.6;15.8;42.4;?;1922.0;1609.0;?;?;4.2;165.0;277.0
284.0;754.0;19.2;15.7;44.1;0.7786;1915.0;1611.0;?;1697.0;4.2;161.0;279.0
269.0;?;18.3;?;46.8;?;1860.0;1621.0;1247.0;?;?;159.0;283.0
180.0;844.0;13.1;14.6;48.6;?;1748.0;1444.0;1089.0;1624.0;3.1;143.0;214.0
116.0;?;10.9;14.7;49.3;0.8193;1603.0;1418.0;?;1536.0;2.6;130.0;?
93.0;889.0;11.0;13.9;?;0.8498;1611.0;1534.0;1013.0;1535.0;2.9;?;?
131.0;880.0;11.9;14.6;51.5;0.8536;?;1484.0;?;1530.0;2.8;119.0;?
?;953.0;8.6;12.5;58.9;0.8537;1543.0;1367.0;925.0;1337.0;2.5;104.0;128.0
132.0;921.0;9.7;11.6;63.4;0.8674;1620.0;1344.0;968.0;1278.0;2.4;-200.0;-200.0
56.0;1130.0;?;12.1;61.1;0.8603;1452.0;1130.0;773.0;1051.0;-200.0;82.0;70.0
32.0;1272.0;3.7;11.5;63.1;0.8533;1377.0;1062.0;691.0;929.0;1.2;70.0;53.0
29.0;?;2.5;11.6;?;0.8473;1333.0;1076.0;?;872.0;1.0;63.0;44.0
27.0;1384.0;2.4;10.4;67.6;0.853;1340.0;1028.0;615.0;853.0;?;67.0;74.0
?;1225.0;?;?;62.7;0.853;1414.0;?;722.0;959.0;1.4;84.0;101.0
57.0;?;6.4;12.4;?;0.8627;1527.0;1235.0;828.0;1093.0;1.6;83.0;?
129.0;952.0;8.6;14.5;53.1;0.8728;1614.0;1332.0;923.0;1225.0;?;98.0;144.0
148.0;878.0;10.9;16.9;?;0.8789;1696.0;?;1009.0;1355.0;2.8;114.0;?
145.0;907.0;?;19.3;38.3;0.8474;1677.0;1416.0;?;1262.0;2.8;?;161.0
93.0;1084.0;7.5;21.2;31.4;0.7812;1525.0;1281.0;880.0;980.0;2.0;104.0;113.0
84.0;1104.0;?;21.4;30.2;0.7616;1490.0;1207.0;879.0;872.0;1.8;102.0;103.0
99.0;1081.0;8.2;21.9;29.0;0.7525;1511.0;1258.0;906.0;900.0;?;107.0;?
150.0;974.0;?;22.2;28.4;?;1646.0;1458.0;1045.0;1099.0;3.0;129.0;?
156.0;943.0;12.0;?;30.8;0.7696;1668.0;1438.0;1051.0;1206.0;2.9;128.0;?
122.0;929.0;12.2;19.7;36.7;?;1671.0;1478.0;1055.0;1262.0;2.5;121.0;160.0
262.0;753.0;20.6;18.4;41.7;0.8732;1993.0;?;1312.0;1698.0;4.6;157.0;261.0
341.0;681.0;23.1;17.6;?;0.921;2103.0;1898.0;1381.0;1905.0;5.9;?;?
?;784.0;14.7;?;49.6;0.932;1818.0;?;1140.0;1648.0;3.4;146.0;217.0
?;924.0;?;?;51.0;0.9341;?;?;940.0;?;?;?;?
79.0;933.0;8.8;14.7;55.9;?;1617.0;?;933.0;1349.0;?;119.0;152.0
66.0;985.0;?;14.8;54.7;0.9164;1547.0;1239.0;872.0;1250.0;1.8;99.0;104.0
73.0;1010.0;?;14.0;57.0;0.9094;1543.0;1239.0;853.0;1174.0;1.8;93.0;106.0
66.0;?;?;13.4;61.3;0.9361;?;1224.0;855.0;1149.0;1.8;?;108.0
44.0;1128.0;?;12.6;63.5;?;1487.0;1078.0;734.0;1021.0;1.1;-200.0;-200.0
44.0;1150.0;4.0;12.3;65.4;0.9351;1468.0;1078.0;711.0;1013.0;-200.0;71.0;66.0
39.0;?;3.9;?;67.4;0.9375;1464.0;1075.0;703.0;1010.0;1.0;?;88.0
?;1030.0;6.4;11.4;70.5;0.9475;1584.0;1157.0;830.0;1083.0;1.4;80.0;138.0
107.0;897.0;9.7;11.3;70.2;0.9401;1710.0;?;966.0;1235.0;?;89.0;228.0
336.0;652.0;25.9;12.4;63.9;0.917;2323.0;1797.0;?;1680.0;5.5;114.0;360.0
618.0;537.0;36.7;?;54.3;0.9076;?;1961.0;1701.0;2184.0;8.1;149.0;478.0
438.0;622.0;26.6;17.4;45.6;0.8993;2262.0;1771.0;1470.0;1973.0;5.8;157.0;394.0
334.0;?;20.1;19.8;?;0.8801;2029.0;1564.0;1300.0;1798.0;?;155.0;319.0
221.0;831.0;14.1;22.0;34.1;0.8904;1783.0;1430.0;1120.0;?;3.1;134.0;201.0
207.0;830.0;14.9;23.3;32.2;0.9096;1831.0;?;?;1404.0;?;119.0;171.0
191.0;838.0;15.4;23.9;30.0;?;1829.0;1400.0;1162.0;1263.0;2.9;?;159.0
185.0;926.0;?;?;28.9;0.8736;1707.0;?;1053.0;1137.0;2.5;104.0;153.0
141.0;?;11.5;24.4;29.4;?;1675.0;1318.0;1033.0;1068.0;2.3;99.0;143.0
214.0;857.0;14.8;?;31.3;0.9137;1824.0;1445.0;?;1252.0;2.8;110.0;156.0
?;631.0;32.1;22.5;35.4;0.9547;2447.0;1917.0;?;1843.0;6.1;162.0;314.0
685.0;542.0;39.2;20.4;42.5;1.0086;?;2040.0;?;2122.0;8.0;187.0;404.0
538.0;565.0;31.0;18.3;52.6;1.0945;2443.0;1895.0;1573.0;1992.0;6.5;165.0;320.0
319.0;678.0;?;16.7;57.4;1.0786;2058.0;1595.0;1294.0;1707.0;4.2;?;256.0
224.0;764.0;15.3;15.7;60.2;1.0654;1856.0;?;1159.0;1494.0;3.2;?;193.0
67.0;1008.0;6.9;15.3;61.4;?;1547.0;?;852.0;1164.0;1.4;101.0;89.0
?;852.0;?;?;?;1.0494;1731.0;1304.0;1019.0;1272.0;2.1;103.0;127.0
49.0;1098.0;5.4;14.8;60.6;1.0148;?;?;784.0;1040.0;1.2;88.0;79.0
29.0;1320.0;2.8;14.8;59.2;0.9879;1386.0;968.0;640.0;867.0;0.8;?;43.0
25.0;1376.0;2.3;13.6;62.1;0.9636;?;929.0;608.0;826.0;0.7;-200.0;-200.0
25.0;1316.0;2.6;12.3;66.2;0.945;1373.0;941.0;626.0;?;-200.0;59.0;59.0
17.0;1412.0;2.0;?;63.2;0.9283;?;937.0;?;793.0;0.6;?;38.0
27.0;1246.0;3.5;11.2;68.5;0.9081;1418.0;1017.0;681.0;870.0;0.9;64.0;?
50.0;1162.0;5.1;11.0;66.5;0.8705;1467.0;1171.0;770.0;930.0;1.3;70.0;99.0
?;770.0;16.2;11.7;63.7;0.8719;1889.0;1541.0;1185.0;1407.0;3.4;97.0;263.0
285.0;698.0;19.7;?;?;0.8743;2055.0;1539.0;1287.0;1507.0;3.7;95.0;?
437.0;?;?;17.8;42.9;0.8672;2211.0;1735.0;1431.0;1843.0;5.3;150.0;396.0
327.0;?;20.0;21.4;?;0.8417;1973.0;1571.0;1297.0;1729.0;4.1;162.0;314.0
?;776.0;18.3;24.4;?;0.8231;1868.0;1452.0;1250.0;1583.0;3.3;154.0;217.0
366.0;724.0;?;25.3;?;0.8264;1998.0;?;?;1671.0;4.0;?;252.0
318.0;773.0;?;25.8;23.2;0.7589;?;?;1309.0;1491.0;3.8;161.0;263.0
228.0;893.0;14.6;?;20.2;?;1675.0;1280.0;1136.0;1240.0;2.8;?;180.0
201.0;905.0;16.6;28.2;18.6;0.7014;?;1407.0;1197.0;1313.0;2.9;129.0;184.0
199.0;898.0;15.8;28.0;19.1;0.7098;1739.0;1389.0;1173.0;1363.0;2.9;133.0;190.0
237.0;?;?;?;25.7;0.7519;1778.0;1447.0;1235.0;1296.0;3.4;?;184.0
?;?;?;21.3;34.8;0.873;1875.0;?;1271.0;1432.0;3.9;137.0;181.0
230.0;854.0;15.8;20.4;?;0.8704;1776.0;?;1173.0;?;?;143.0;166.0
349.0;700.0;24.9;19.0;41.3;?;2106.0;?;1426.0;2034.0;5.1;177.0;317.0
183.0;818.0;13.5;17.9;45.9;0.9342;?;1379.0;1101.0;1602.0;2.6;138.0;184.0
88.0;935.0;9.1;16.7;48.9;0.9226;1560.0;1201.0;943.0;?;1.7;?;130.0
85.0;922.0;8.6;15.5;52.9;0.9271;1547.0;?;?;1314.0;1.7;107.0;132.0
47.0;1066.0;?;15.5;51.9;0.9059;1442.0;1072.0;784.0;1114.0;?;?;95.0
34.0;1169.0;?;?;?;0.891;1383.0;?;714.0;?;0.9;79.0;?
26.0;1292.0;2.6;?;?;0.8666;1332.0;933.0;625.0;884.0;?;-200.0;-200.0
17.0;1396.0;1.9;?;?;?;1303.0;883.0;577.0;808.0;-200.0;60.0;54.0
11.0;1460.0;1.6;11.8;58.0;0.8026;1268.0;?;?;667.0;0.5;40.0;28.0
?;1417.0;1.9;11.9;57.4;?;1289.0;891.0;576.0;733.0;0.5;53.0;46.0
?;?;?;9.9;?;0.7956;?;1173.0;878.0;1052.0;1.6;84.0;160.0
?;702.0;21.4;11.1;60.2;0.7958;1999.0;1587.0;1334.0;1534.0;4.1;108.0;320.0
534.0;553.0;36.4;14.1;?;0.802;2535.0;1852.0;1696.0;?;?;127.0;377.0
368.0;703.0;21.3;?;40.1;0.8048;2026.0;1522.0;1331.0;1734.0;?;134.0;280.0
200.0;?;15.4;21.1;33.4;0.8265;1782.0;1438.0;1161.0;1595.0;2.9;135.0;221.0
145.0;905.0;?;24.3;28.3;0.8471;1654.0;1393.0;1067.0;1490.0;2.5;142.0;210.0
188.0;861.0;15.1;?;25.6;0.8254;1747.0;1452.0;1152.0;1508.0;2.8;?;?
?;887.0;13.7;25.9;25.9;0.8503;1712.0;1389.0;?;1334.0;2.6;123.0;161.0
?;1013.0;10.4;26.8;18.7;0.65;1520.0;?;994.0;1045.0;2.0;104.0;135.0
193.0;940.0;15.2;29.3;15.8;0.6309;1679.0;1365.0;1154.0;1221.0;2.9;?;?
134.0;1032.0;12.3;?;14.9;0.5708;?;1247.0;?;?;2.5;114.0;?
386.0;793.0;27.0;25.9;16.0;0.5237;?;1557.0;1478.0;1569.0;5.0;?;299.0
?;617.0;38.4;23.1;26.5;?;2414.0;1973.0;1737.0;?;7.6;?;?
523.0;597.0;35.1;20.5;38.2;?;2416.0;1975.0;1667.0;?;6.7;182.0;347.0
?;653.0;27.2;19.1;?;?;2174.0;1795.0;1485.0;?;5.7;180.0;336.0
206.0;770.0;15.0;?;44.1;0.8558;1727.0;1444.0;1150.0;1727.0;?;136.0;202.0
216.0;731.0;15.7;16.0;50.9;0.9206;?;1488.0;1171.0;?;?;127.0;178.0
159.0;796.0;13.0;?;53.9;?;1669.0;1371.0;1083.0;1551.0;2.3;?;154.0
70.0;947.0;8.1;14.3;55.4;0.8975;1502.0;1161.0;904.0;1240.0;1.4;?;?
44.0;1057.0;5.5;14.8;52.1;?;1407.0;1064.0;?;1115.0;1.0;?;61.0
?;1196.0;?;13.9;53.9;0.8501;1351.0;970.0;687.0;969.0;0.7;-200.0;-200.0
28.0;1260.0;2.9;?;61.9;0.8442;1334.0;954.0;645.0;925.0;-200.0;78.0;60.0
20.0;1293.0;2.5;12.0;58.9;0.8233;1307.0;931.0;623.0;828.0;?;?;37.0
26.0;1251.0;3.0;10.9;62.1;0.8113;1333.0;938.0;650.0;?;0.7;?;68.0
78.0;1005.0;?;10.6;?;0.8067;1551.0;?;885.0;?;1.5;85.0;139.0
?;?;23.3;?;?;0.8117;2094.0;1643.0;1384.0;1610.0;4.7;124.0;339.0
?;541.0;35.8;14.3;50.6;0.8186;2468.0;1934.0;1682.0;2051.0;6.6;151.0;421.0
?;686.0;21.3;17.8;40.5;?;2010.0;1617.0;1333.0;?;4.5;150.0;?
-200.0;831.0;?;?;?;0.8365;1752.0;1473.0;1127.0;?;2.8;152.0;?
?;899.0;?;23.8;?;0.8219;?;1379.0;1068.0;1374.0;?;139.0;171.0
-200.0;891.0;12.2;?;28.7;0.8515;?;?;1056.0;1268.0;?;133.0;?
-200.0;901.0;?;?;24.9;0.7829;1660.0;1379.0;1087.0;1144.0;?;126.0;137.0
-200.0;934.0;14.4;27.0;17.8;0.6275;1639.0;1322.0;1129.0;1109.0;2.2;?;149.0
-200.0;822.0;?;?;23.1;0.818;1767.0;1496.0;?;?;2.8;169.0;172.0
-200.0;?;14.5;25.8;23.9;0.7832;1689.0;?;?;1206.0;2.7;149.0;166.0
-200.0;764.0;21.5;23.0;26.8;0.7446;1957.0;1513.0;1338.0;1397.0;3.7;156.0;214.0
-200.0;683.0;26.4;20.7;31.1;0.7523;2118.0;1667.0;1464.0;?;5.1;168.0;?
-200.0;?;26.0;18.6;36.2;0.7676;2051.0;1667.0;1453.0;?;?;176.0;276.0
-200.0;814.0;14.1;16.0;48.4;0.8768;1732.0;1430.0;1121.0;1322.0;3.2;135.0;178.0
?;?;10.3;14.5;57.8;0.9456;?;1333.0;989.0;1194.0;?;121.0;129.0
-200.0;948.0;?;13.1;64.2;0.9606;?;1262.0;911.0;1062.0;1.7;99.0;95.0
-200.0;?;8.9;?;?;0.9735;1606.0;1287.0;936.0;1040.0;2.0;?;126.0
?;1021.0;?;11.9;?;0.9915;1501.0;1134.0;840.0;917.0;1.6;96.0;103.0
-200.0;1229.0;3.6;12.5;?;1.0029;1380.0;999.0;?;594.0;0.9;63.0;48.0
-200.0;1382.0;2.5;12.5;67.5;0.9768;?;961.0;?;430.0;0.7;-200.0;?
-200.0;1440.0;1.8;12.3;67.7;0.9665;1280.0;934.0;569.0;397.0;?;32.0;?
-200.0;1620.0;?;12.5;66.8;0.962;1260.0;?;525.0;370.0;0.5;28.0;?
?;?;2.3;12.3;66.3;0.9487;1324.0;969.0;?;438.0;0.7;61.0;56.0
-200.0;1054.0;6.7;12.4;64.9;?;?;1182.0;845.0;704.0;?;99.0;115.0
-200.0;671.0;22.8;13.0;61.6;?;2144.0;1740.0;1372.0;1476.0;4.8;?;320.0
?;575.0;31.3;13.6;?;0.912;2456.0;1819.0;1582.0;1716.0;6.2;166.0;357.0
-200.0;701.0;?;13.9;57.1;0.9032;1980.0;1427.0;?;?;4.0;149.0;?
-200.0;?;16.4;14.5;54.4;0.8917;1879.0;1390.0;1191.0;1268.0;3.3;135.0;218.0
-200.0;813.0;14.0;15.5;50.1;0.8744;?;?;1117.0;1188.0;2.8;?;192.0
-200.0;793.0;?;16.1;47.6;0.8655;1801.0;1304.0;1157.0;1171.0;3.0;122.0;176.0
-200.0;771.0;16.7;16.3;47.1;0.864;1875.0;1364.0;?;1250.0;?;135.0;198.0
-200.0;724.0;19.0;16.4;47.5;?;1957.0;1410.0;1268.0;1344.0;?;?;212.0
-200.0;708.0;19.4;?;50.2;0.9094;1955.0;1476.0;1280.0;1378.0;?;147.0;249.0
?;?;?;16.0;?;0.9142;2005.0;1522.0;1320.0;?;?;158.0;?
-200.0;704.0;20.2;15.8;50.3;?;1952.0;1442.0;1301.0;1372.0;4.1;146.0;231.0
?;677.0;21.7;15.5;50.6;?;?;1469.0;1344.0;1471.0;4.5;?;251.0
?;698.0;19.8;?;51.4;0.8956;1942.0;1467.0;1292.0;1439.0;?;138.0;210.0
-200.0;?;?;?;53.1;0.9117;1854.0;1421.0;1202.0;1429.0;4.0;143.0;249.0
-200.0;904.0;9.1;14.7;57.6;0.9573;1604.0;1175.0;?;1081.0;2.2;116.0;143.0
?;?;8.3;14.2;58.3;0.938;1547.0;1215.0;912.0;993.0;2.1;?;127.0
-200.0;?;?;13.8;57.9;0.9085;1447.0;1127.0;802.0;837.0;?;92.0;104.0
-200.0;1105.0;5.2;?;55.9;0.8842;1429.0;1090.0;773.0;761.0;1.6;83.0;86.0
-200.0;1182.0;4.1;13.9;55.6;0.8765;1382.0;?;718.0;650.0;1.3;81.0;74.0
-200.0;?;3.4;13.8;?;?;1359.0;997.0;677.0;591.0;1.3;-200.0;-200.0
?;1308.0;2.9;?;54.6;0.8574;1332.0;945.0;646.0;505.0;-200.0;?;44.0
-200.0;1260.0;?;13.6;55.1;0.856;1351.0;956.0;661.0;518.0;0.8;?;42.0
-200.0;1317.0;2.5;13.6;?;0.9129;1342.0;966.0;622.0;571.0;?;67.0;63.0
-200.0;1161.0;4.3;13.5;58.4;0.896;1461.0;1064.0;?;?;1.1;91.0;115.0
-200.0;902.0;?;13.8;58.0;0.9083;1623.0;?;?;1145.0;2.1;113.0;170.0
?;834.0;10.5;14.6;53.1;0.8765;1689.0;1348.0;?;1218.0;?;102.0;147.0
-200.0;776.0;12.5;15.0;52.3;0.8881;1764.0;1425.0;1068.0;1341.0;2.6;107.0;166.0
-200.0;768.0;12.3;15.4;?;0.9046;?;1474.0;1061.0;?;2.8;113.0;195.0
?;782.0;11.7;?;50.0;0.9158;1757.0;1490.0;1039.0;?;2.6;108.0;182.0
-200.0;809.0;?;17.1;47.9;0.9281;1735.0;1495.0;1040.0;1373.0;2.6;105.0;168.0
-200.0;900.0;9.3;?;42.9;0.937;?;1376.0;953.0;1153.0;2.1;93.0;125.0
-200.0;?;7.6;19.5;42.3;0.9476;1573.0;1305.0;884.0;927.0;1.7;?;95.0
-200.0;?;?;19.5;42.3;0.9493;1539.0;?;?;766.0;1.6;76.0;79.0
-200.0;?;9.7;?;43.8;0.9556;?;?;967.0;941.0;2.1;94.0;119.0
-200.0;?;12.4;18.5;46.3;0.9744;1774.0;1452.0;1063.0;1146.0;?;110.0;142.0
-200.0;734.0;16.6;17.4;51.6;1.0159;1919.0;1633.0;1199.0;1417.0;3.5;136.0;215.0
-200.0;733.0;16.4;?;?;0.9914;1885.0;1625.0;1191.0;?;3.9;139.0;229.0
?;785.0;13.7;16.4;?;?;?;1535.0;1108.0;1323.0;3.3;125.0;206.0
-200.0;864.0;9.9;?;55.4;1.0132;1712.0;1323.0;973.0;1125.0;?;111.0;147.0
-200.0;?;8.9;15.9;?;1.0356;1672.0;1309.0;?;1036.0;2.1;?;122.0
-200.0;835.0;10.6;15.7;?;1.0396;1714.0;1456.0;?;1202.0;2.8;107.0;175.0
?;941.0;7.4;?;?;1.0398;1577.0;1300.0;872.0;1054.0;2.1;?;133.0
-200.0;1004.0;6.2;15.6;56.6;0.9951;?;1203.0;823.0;903.0;1.6;84.0;89.0
-200.0;987.0;?;?;57.9;0.9941;1554.0;1195.0;836.0;885.0;1.6;-200.0;-200.0
-200.0;1029.0;5.8;?;?;?;1539.0;?;802.0;818.0;-200.0;?;85.0
-200.0;1136.0;?;14.9;60.6;1.0196;1461.0;?;711.0;700.0;1.1;66.0;55.0
-200.0;1300.0;2.1;14.5;63.0;1.0316;?;947.0;594.0;580.0;0.7;36.0;24.0
-200.0;1143.0;3.6;?;66.2;1.063;?;1065.0;687.0;?;0.8;62.0;72.0
?;1062.0;4.4;14.5;65.3;?;1528.0;1155.0;734.0;1035.0;1.2;91.0;122.0
-200.0;996.0;5.4;15.3;62.1;1.073;1560.0;1220.0;782.0;1067.0;1.4;?;111.0
?;914.0;7.1;?;59.0;1.0868;1633.0;1301.0;862.0;1114.0;?;93.0;123.0
-200.0;911.0;7.3;18.9;49.6;1.07;1646.0;1279.0;870.0;1000.0;1.8;81.0;?
-200.0;953.0;?;?;46.1;1.0249;?;1267.0;883.0;906.0;1.8;82.0;103.0
-200.0;981.0;6.8;20.8;?;1.0091;1568.0;1239.0;?;822.0;1.9;80.0;102.0
-200.0;1144.0;4.6;21.4;40.3;1.0126;1507.0;1128.0;?;610.0;1.3;48.0;48.0
-200.0;962.0;8.4;21.2;39.3;?;1669.0;?;916.0;?;1.6;61.0;63.0
-200.0;1060.0;6.9;20.3;38.0;0.8942;1506.0;1208.0;853.0;?;1.9;?;98.0
-200.0;961.0;9.0;19.4;?;0.9206;1607.0;1306.0;938.0;?;2.3;105.0;132.0
-200.0;?;?;?;43.8;?;?;?;1151.0;1122.0;?;116.0;?
-200.0;823.0;12.6;?;48.1;0.9689;?;1501.0;1071.0;1130.0;3.5;119.0;?
?;769.0;15.1;17.9;46.9;?;1840.0;1605.0;1153.0;1637.0;4.3;144.0;?
?;883.0;?;17.4;49.1;0.9688;1673.0;?;974.0;1272.0;2.8;123.0;?
-200.0;933.0;8.0;17.0;51.7;0.9914;?;1195.0;898.0;1098.0;1.9;?;122.0
-200.0;920.0;?;16.4;55.1;?;1624.0;?;?;?;1.9;93.0;112.0
