InertialMeasurementUnit R-SHOE Nav_Ax;Accelerometer RWR accX;Accelerometer RUA_ accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA accY;Accelerometer RWR accZ
-4;-212.0;310.0;25.0;-175;415.0;692.0
-4;-205.0;331.0;27.0;-175;413.0;710.0
-3;-208.0;338.0;35.0;-175;407.0;683.0
-2;-227.0;342.0;32.0;-175;408.0;705.0
-8;-198.0;471.0;34.0;-191;426.0;634.0
3;-220.0;320.0;28.0;-175;438.0;691.0
0;-225.0;326.0;28.0;-175;433.0;692.0
5;-220.0;337.0;18.0;-175;432.0;680.0
-20;-222.0;329.0;30.0;-175;430.0;681.0
1;-208.0;322.0;47.0;-175;405.0;702.0
-9;-195.0;327.0;55.0;-175;420.0;682.0
-9;-195.0;323.0;49.0;-175;422.0;682.0
2;-91.0;137.0;132.0;-177;563.0;552.0
-3;-226.0;334.0;114.0;-174;539.0;669.0
7;-219.0;339.0;27.0;-177;424.0;688.0
-2;-250.0;327.0;26.0;-166;426.0;661.0
-59;-323.0;249.0;-19.0;165;281.0;550.0
-138;-342.0;360.0;11.0;-184;364.0;798.0
29;230.0;406.0;-4.0;-176;460.0;797.0
-32;-229.0;370.0;46.0;-167;260.0;483.0
-22;-430.0;365.0;-143.0;-172;239.0;854.0
47;-440.0;313.0;-7.0;-179;216.0;787.0
-7;-318.0;359.0;-14.0;-177;281.0;629.0
29;-316.0;371.0;-132.0;-180;207.0;523.0
-10;-239.0;287.0;-70.0;-175;464.0;655.0
36;-349.0;285.0;-43.0;-179;171.0;664.0
7;-285.0;282.0;76.0;-176;289.0;631.0
328;-240.0;134.0;124.0;-174;326.0;477.0
42;-262.0;156.0;55.0;-172;214.0;603.0
-3;-374.0;250.0;-88.0;-177;195.0;552.0
4;-313.0;270.0;6.0;-176;282.0;575.0
5;-291.0;300.0;39.0;-176;312.0;564.0
28;-152.0;717.0;145.0;155;540.0;909.0
7;-317.0;284.0;39.0;-176;304.0;606.0
5;-272.0;280.0;32.0;-176;315.0;580.0
286;-375.0;163.0;-18.0;-161;189.0;480.0
45;-277.0;283.0;-9.0;-179;195.0;641.0
352;-508.0;250.0;31.0;-150;193.0;744.0
-1;-333.0;300.0;30.0;-176;311.0;604.0
1;-209.0;124.0;154.0;-174;285.0;708.0
-97;-289.0;140.0;-38.0;-163;403.0;442.0
39;-207.0;234.0;93.0;-179;294.0;546.0
0;-266.0;287.0;46.0;-176;325.0;582.0
-1;-377.0;280.0;-56.0;-177;248.0;567.0
-238;-388.0;245.0;-91.0;-184;228.0;603.0
153;-533.0;273.0;-10.0;-161;256.0;732.0
1;-255.0;281.0;41.0;-176;301.0;622.0
0;-308.0;290.0;33.0;-176;305.0;586.0
3;-320.0;275.0;72.0;-176;281.0;584.0
1;-314.0;300.0;32.0;-176;307.0;592.0
2;-337.0;318.0;42.0;-176;317.0;589.0
126;-386.0;261.0;5.0;-173;222.0;622.0
-5;-304.0;281.0;-6.0;-176;312.0;599.0
0;43.0;586.0;95.0;-176;775.0;819.0
9;-217.0;384.0;65.0;-162;516.0;791.0
-2;-44.0;136.0;118.0;-174;359.0;533.0
2;-145.0;489.0;59.0;-174;531.0;785.0
5;-412.0;260.0;-38.0;-178;305.0;546.0
-61;-256.0;-130.0;5.0;-176;264.0;438.0
-2;-273.0;281.0;45.0;-176;306.0;586.0
-2;-333.0;274.0;23.0;-176;301.0;576.0
0;-325.0;281.0;47.0;-179;273.0;555.0
0;-272.0;281.0;50.0;-176;303.0;601.0
-1;-314.0;282.0;35.0;-176;305.0;601.0
3;-265.0;600.0;-11.0;-153;534.0;802.0
1;-315.0;289.0;37.0;-176;309.0;593.0
-6;-332.0;686.0;194.0;-177;542.0;899.0
-431;-34.0;260.0;241.0;-159;413.0;631.0
-2;-336.0;295.0;38.0;-176;314.0;590.0
6;-297.0;295.0;49.0;-176;301.0;597.0
-7;-290.0;281.0;48.0;-176;302.0;601.0
522;-166.0;310.0;152.0;-164;454.0;675.0
-4;-304.0;282.0;35.0;-176;301.0;592.0
0;-248.0;254.0;28.0;-177;288.0;602.0
3;-276.0;289.0;27.0;-176;298.0;611.0
-4;-282.0;289.0;56.0;-176;305.0;571.0
-1;-285.0;298.0;46.0;-176;312.0;572.0
1;-290.0;279.0;54.0;-176;305.0;595.0
1;-290.0;291.0;39.0;-176;299.0;594.0
-1;-294.0;278.0;42.0;-176;295.0;592.0
-2;-289.0;287.0;38.0;-176;302.0;586.0
-2;-311.0;282.0;30.0;-176;291.0;598.0
10;-304.0;289.0;35.0;-176;298.0;581.0
-1;-122.0;126.0;123.0;-174;261.0;487.0
-1;-324.0;305.0;39.0;-176;312.0;595.0
127;-349.0;264.0;106.0;-158;254.0;762.0
14;-335.0;831.0;-6.0;-175;773.0;946.0
-3;-293.0;291.0;61.0;-176;315.0;618.0
-3;-272.0;290.0;60.0;-176;300.0;600.0
0;-316.0;287.0;37.0;-176;303.0;594.0
-1;-332.0;301.0;64.0;-176;322.0;599.0
-2;-301.0;313.0;66.0;-176;321.0;577.0
1;-618.0;811.0;-198.0;-176;222.0;722.0
2;-279.0;289.0;70.0;-176;298.0;602.0
-146;-164.0;9.0;85.0;-178;410.0;431.0
0;-285.0;270.0;51.0;-176;288.0;615.0
-3;-266.0;282.0;12.0;-176;285.0;594.0
0;-300.0;292.0;27.0;-177;321.0;556.0
8;-304.0;293.0;23.0;-176;295.0;570.0
0;-304.0;291.0;60.0;-177;330.0;593.0
-6;-115.0;229.0;115.0;-174;58.0;546.0
-57;-442.0;226.0;27.0;-161;176.0;686.0
34;-310.0;296.0;199.0;-177;214.0;575.0
0;-296.0;273.0;47.0;-176;301.0;570.0
926;-299.0;177.0;70.0;-177;247.0;539.0
2;-139.0;235.0;20.0;-174;422.0;505.0
0;-139.0;933.0;171.0;-176;560.0;811.0
-1;-284.0;286.0;48.0;-177;297.0;630.0
2;-307.0;276.0;28.0;-176;285.0;576.0
3;-294.0;303.0;14.0;-177;311.0;570.0
-83;-156.0;102.0;121.0;-175;210.0;414.0
0;-314.0;305.0;18.0;-177;330.0;578.0
-8;-237.0;282.0;188.0;-177;349.0;688.0
8;-281.0;272.0;30.0;-177;292.0;610.0
4;-275.0;297.0;25.0;-177;321.0;572.0
-3;-310.0;271.0;44.0;-177;285.0;610.0
1;-302.0;291.0;21.0;-177;278.0;610.0
6;-749.0;512.0;-246.0;-176;36.0;451.0
-3;-304.0;301.0;43.0;-177;282.0;589.0
-8;-303.0;201.0;-8.0;-178;148.0;548.0
-109;-248.0;138.0;92.0;-175;281.0;624.0
-101;-355.0;178.0;-46.0;-160;189.0;534.0
-10;-304.0;242.0;4.0;-177;319.0;538.0
26;-375.0;160.0;1.0;-176;326.0;500.0
-1;-289.0;288.0;49.0;-177;294.0;586.0
1;-334.0;300.0;22.0;-177;297.0;568.0
-5;-295.0;285.0;38.0;-177;293.0;601.0
2;-314.0;275.0;32.0;-177;293.0;600.0
3;-308.0;293.0;26.0;-177;314.0;602.0
-197;-415.0;267.0;49.0;-154;216.0;738.0
-1;-276.0;289.0;49.0;-177;320.0;600.0
-1;-271.0;280.0;56.0;-177;317.0;613.0
1;-307.0;277.0;42.0;-177;317.0;595.0
5;-284.0;299.0;43.0;-177;318.0;568.0
-1;-301.0;282.0;42.0;-177;312.0;619.0
5;-422.0;218.0;-174.0;116;96.0;467.0
-3;-292.0;291.0;38.0;-177;294.0;621.0
-253;-216.0;94.0;39.0;-176;214.0;408.0
5;-317.0;297.0;15.0;-177;320.0;579.0
-33;-450.0;284.0;-222.0;153;550.0;662.0
-1;-609.0;502.0;-522.0;-176;384.0;849.0
-1;-246.0;303.0;51.0;-177;317.0;595.0
3;-216.0;311.0;65.0;-172;431.0;669.0
-2;-306.0;292.0;38.0;-177;304.0;603.0
3;-301.0;291.0;28.0;-177;305.0;591.0
-18;-198.0;211.0;133.0;-177;541.0;544.0
-30;144.0;493.0;230.0;177;648.0;705.0
4;-21.0;399.0;180.0;-177;494.0;769.0
3;-281.0;280.0;34.0;-177;287.0;598.0
2;-352.0;272.0;12.0;-177;285.0;582.0
-19;173.0;250.0;245.0;-175;484.0;637.0
-459;-379.0;237.0;68.0;-135;277.0;712.0
-1;-140.0;310.0;41.0;-172;348.0;709.0
-4;-211.0;171.0;64.0;-174;475.0;655.0
6;-194.0;316.0;43.0;-175;422.0;678.0
-105;-172.0;226.0;68.0;-188;880.0;492.0
0;-176.0;327.0;30.0;-175;425.0;692.0
2;-312.0;290.0;9.0;-177;295.0;602.0
2;-351.0;281.0;15.0;-177;300.0;624.0
-5;-338.0;279.0;-8.0;-176;319.0;568.0
0;-143.0;279.0;26.0;-174;489.0;657.0
1;-243.0;258.0;-6.0;-177;302.0;567.0
4;-314.0;291.0;17.0;-177;291.0;601.0
5;-304.0;300.0;20.0;-177;307.0;588.0
0;-114.0;339.0;104.0;175;492.0;687.0
-1;-183.0;341.0;0.0;-175;426.0;697.0
4;-340.0;296.0;22.0;-177;309.0;584.0
14;-114.0;179.0;158.0;-177;322.0;490.0
-91;-789.0;303.0;-436.0;-174;298.0;453.0
-399;-184.0;601.0;161.0;16;485.0;881.0
2;-273.0;290.0;-3.0;-177;308.0;608.0
2;-275.0;290.0;15.0;-177;308.0;584.0
-1;-303.0;294.0;19.0;-177;293.0;581.0
-2000;-350.0;212.0;38.0;-170;334.0;541.0
-1;-283.0;269.0;9.0;-176;296.0;581.0
-7;-337.0;281.0;-6.0;-177;272.0;610.0
-2;-302.0;269.0;43.0;-176;290.0;574.0
5;-283.0;299.0;9.0;-177;298.0;600.0
3;-311.0;291.0;8.0;-177;297.0;602.0
60;-486.0;265.0;16.0;-162;187.0;687.0
3;-318.0;275.0;-88.0;-178;233.0;557.0
-3;-300.0;291.0;11.0;-177;321.0;571.0
3;-319.0;275.0;-74.0;-177;309.0;559.0
2;-306.0;320.0;-28.0;-177;252.0;639.0
1;-323.0;262.0;-3.0;-176;254.0;599.0
34;-397.0;89.0;-171.0;-174;344.0;445.0
-122;-426.0;241.0;-102.0;-162;211.0;647.0
7;-562.0;742.0;-133.0;-179;764.0;670.0
0;-324.0;145.0;61.0;-177;347.0;630.0
-835;-246.0;154.0;59.0;-153;342.0;504.0
-1;-266.0;257.0;28.0;-177;275.0;572.0
-5;-303.0;282.0;33.0;-176;304.0;623.0
-708;-330.0;141.0;20.0;178;311.0;504.0
2;-342.0;300.0;9.0;-176;324.0;614.0
13;-309.0;300.0;18.0;-176;308.0;593.0
41;-212.0;262.0;11.0;-179;322.0;688.0
3;-348.0;278.0;-106.0;-174;564.0;541.0
-11;-300.0;293.0;66.0;-176;296.0;614.0
387;-546.0;122.0;-230.0;-9;204.0;424.0
-7;-253.0;285.0;40.0;-144;178.0;455.0
2;-357.0;310.0;-68.0;-178;275.0;609.0
10;-352.0;291.0;26.0;-177;275.0;591.0
-19;-313.0;215.0;-39.0;-150;198.0;668.0
63;-219.0;519.0;75.0;-178;277.0;876.0
-6;-712.0;423.0;-133.0;164;-255.0;212.0
1;-228.0;101.0;39.0;-178;331.0;481.0
0;-324.0;264.0;24.0;-176;295.0;580.0
4;-338.0;242.0;0.0;-176;269.0;550.0
-3;-362.0;247.0;-3.0;-178;228.0;561.0
29;-345.0;-26.0;-60.0;123;235.0;416.0
-1;-420.0;107.0;-146.0;-180;163.0;458.0
2;12.0;731.0;113.0;173;840.0;927.0
-128;-387.0;181.0;46.0;-142;178.0;578.0
1;59.0;820.0;243.0;-178;789.0;939.0
