InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion1
-246.0;-719.0;222.0;-689.0;-858.0;396.0;-288.0;-33.0;-427.0;193.0;?
-229.0;-724.0;208.0;-667.0;-862.0;393.0;-291.0;-50.0;-433.0;153.0;395.0
-214.0;-726.0;190.0;-650.0;-865.0;385.0;-289.0;-62.0;-433.0;124.0;430.0
-198.0;-727.0;173.0;-641.0;-870.0;377.0;-286.0;-68.0;-426.0;105.0;461.0
?;-733.0;178.0;?;-878.0;371.0;-284.0;-65.0;-416.0;93.0;479.0
-180.0;-741.0;187.0;-637.0;-882.0;?;-283.0;-62.0;-411.0;88.0;495.0
-179.0;-743.0;188.0;?;-880.0;374.0;-284.0;-62.0;-411.0;88.0;507.0
-180.0;-740.0;189.0;-635.0;-875.0;375.0;-285.0;-59.0;-416.0;92.0;507.0
-187.0;-732.0;187.0;-637.0;-868.0;376.0;-287.0;-54.0;-421.0;99.0;498.0
-195.0;-727.0;183.0;-643.0;-864.0;377.0;-287.0;-48.0;-420.0;110.0;487.0
-201.0;-725.0;183.0;-649.0;-862.0;375.0;-285.0;-40.0;-416.0;121.0;473.0
-205.0;-722.0;185.0;-654.0;-861.0;371.0;-283.0;-35.0;-415.0;130.0;459.0
-211.0;-715.0;182.0;-657.0;-858.0;367.0;-281.0;-33.0;-415.0;141.0;448.0
-222.0;?;179.0;-658.0;-852.0;365.0;-279.0;?;?;153.0;433.0
-659.0;-397.0;616.0;-684.0;-376.0;369.0;-246.0;425.0;-252.0;685.0;-405.0
-660.0;?;614.0;-686.0;-376.0;369.0;-248.0;423.0;-249.0;690.0;-400.0
-659.0;-402.0;613.0;-688.0;-377.0;370.0;-249.0;420.0;-246.0;694.0;-395.0
-656.0;-405.0;607.0;-692.0;-380.0;371.0;-251.0;416.0;-245.0;?;?
-648.0;-411.0;599.0;-699.0;-389.0;371.0;-251.0;407.0;-247.0;701.0;-374.0
-635.0;-421.0;585.0;-710.0;-404.0;372.0;-250.0;392.0;-252.0;705.0;-355.0
-618.0;-436.0;570.0;-724.0;-422.0;373.0;-249.0;374.0;-258.0;706.0;-331.0
-599.0;-455.0;?;?;-445.0;373.0;-247.0;354.0;-267.0;702.0;-302.0
-578.0;-477.0;541.0;-748.0;-475.0;?;-244.0;327.0;-281.0;691.0;-265.0
-553.0;-502.0;521.0;-759.0;-511.0;374.0;-241.0;295.0;-298.0;674.0;-217.0
-524.0;-529.0;493.0;-769.0;-553.0;375.0;-237.0;260.0;-315.0;649.0;-159.0
-489.0;-559.0;466.0;-776.0;-599.0;375.0;-236.0;225.0;-331.0;?;-96.0
-451.0;-589.0;439.0;-779.0;-645.0;376.0;-237.0;188.0;-346.0;572.0;-30.0
-412.0;-619.0;412.0;-778.0;-690.0;378.0;-240.0;151.0;-361.0;524.0;37.0
-374.0;-647.0;381.0;?;-733.0;381.0;-248.0;113.0;-372.0;472.0;103.0
-338.0;-674.0;351.0;-762.0;-771.0;383.0;-256.0;79.0;-385.0;413.0;167.0
-306.0;?;325.0;-748.0;-804.0;385.0;-265.0;45.0;-395.0;352.0;225.0
-278.0;-712.0;302.0;-731.0;-830.0;384.0;-273.0;15.0;-403.0;291.0;277.0
-255.0;-723.0;286.0;-713.0;?;381.0;-277.0;-9.0;-406.0;?;322.0
-235.0;-728.0;271.0;-693.0;-865.0;377.0;-279.0;-28.0;?;181.0;362.0
-220.0;-728.0;247.0;-674.0;-876.0;371.0;-279.0;-40.0;-405.0;136.0;402.0
-205.0;-729.0;226.0;-658.0;-882.0;366.0;-275.0;-45.0;-401.0;?;?
-190.0;-735.0;227.0;-648.0;-886.0;361.0;-274.0;-44.0;-395.0;78.0;455.0
-182.0;-743.0;234.0;-645.0;-890.0;362.0;-274.0;-39.0;?;63.0;471.0
-175.0;-747.0;229.0;-646.0;-892.0;366.0;-275.0;-35.0;-384.0;57.0;488.0
-172.0;-745.0;222.0;-646.0;-890.0;368.0;-276.0;-33.0;-384.0;58.0;495.0
-174.0;-740.0;213.0;-646.0;-886.0;370.0;-277.0;-32.0;-388.0;63.0;493.0
?;-736.0;210.0;-649.0;-880.0;371.0;-278.0;-30.0;-393.0;73.0;483.0
-182.0;?;208.0;-652.0;-876.0;372.0;-279.0;?;-398.0;85.0;474.0
-187.0;-726.0;203.0;-656.0;?;372.0;-279.0;-28.0;-404.0;100.0;464.0
-199.0;-712.0;200.0;-660.0;-862.0;371.0;-277.0;-25.0;-410.0;?;447.0
-674.0;-419.0;587.0;?;-381.0;374.0;-276.0;488.0;-141.0;684.0;-292.0
-663.0;-436.0;584.0;-680.0;-397.0;373.0;-275.0;480.0;?;692.0;-271.0
-648.0;-462.0;580.0;-696.0;-421.0;373.0;-274.0;474.0;-130.0;698.0;-239.0
-630.0;-497.0;580.0;-712.0;-451.0;372.0;-273.0;471.0;-118.0;698.0;-197.0
-612.0;-538.0;587.0;-725.0;-485.0;372.0;-271.0;469.0;-99.0;692.0;-146.0
-596.0;-582.0;603.0;-735.0;-523.0;374.0;-269.0;466.0;-71.0;680.0;-83.0
?;-627.0;629.0;-742.0;-568.0;374.0;-272.0;464.0;-30.0;659.0;-6.0
-572.0;-669.0;661.0;-749.0;-620.0;373.0;-273.0;463.0;28.0;623.0;86.0
-563.0;-705.0;692.0;-754.0;-674.0;373.0;-276.0;466.0;97.0;571.0;?
-560.0;-735.0;711.0;-757.0;-722.0;373.0;-280.0;?;176.0;506.0;303.0
-562.0;-759.0;?;-761.0;?;371.0;-282.0;470.0;252.0;?;409.0
-567.0;-776.0;719.0;-760.0;-796.0;368.0;-287.0;483.0;310.0;379.0;503.0
-573.0;-784.0;712.0;-754.0;-821.0;366.0;-292.0;499.0;359.0;321.0;584.0
-583.0;-788.0;689.0;-748.0;-834.0;365.0;-298.0;511.0;?;262.0;656.0
-588.0;-792.0;664.0;-740.0;-841.0;363.0;-302.0;525.0;445.0;203.0;711.0
-585.0;-799.0;645.0;-726.0;-843.0;360.0;-307.0;537.0;474.0;149.0;746.0
-579.0;-805.0;636.0;-713.0;-841.0;358.0;-312.0;545.0;499.0;99.0;763.0
-570.0;-811.0;635.0;-704.0;-837.0;355.0;-318.0;550.0;517.0;58.0;767.0
-563.0;-814.0;640.0;-696.0;-834.0;354.0;-323.0;554.0;528.0;29.0;765.0
-559.0;-814.0;648.0;-692.0;-832.0;353.0;-328.0;555.0;536.0;10.0;759.0
-560.0;-812.0;658.0;-692.0;-829.0;352.0;-333.0;555.0;542.0;0.0;751.0
-566.0;-807.0;668.0;-693.0;-830.0;350.0;?;555.0;544.0;0.0;?
-573.0;-802.0;677.0;-696.0;-832.0;345.0;-339.0;556.0;543.0;8.0;?
-581.0;-798.0;686.0;-700.0;-835.0;341.0;-339.0;556.0;540.0;19.0;725.0
-589.0;-795.0;693.0;-704.0;-838.0;337.0;-339.0;556.0;534.0;33.0;715.0
-597.0;-792.0;701.0;-708.0;-842.0;332.0;-338.0;555.0;527.0;47.0;704.0
-604.0;-789.0;708.0;-712.0;-845.0;326.0;-336.0;552.0;517.0;63.0;692.0
-610.0;-785.0;716.0;-715.0;-849.0;321.0;-334.0;548.0;506.0;78.0;677.0
-615.0;-782.0;724.0;-719.0;-851.0;314.0;-332.0;543.0;495.0;91.0;662.0
-619.0;-777.0;732.0;-722.0;-854.0;309.0;-331.0;539.0;486.0;101.0;646.0
-625.0;-772.0;740.0;-724.0;-855.0;303.0;-329.0;536.0;479.0;110.0;631.0
-630.0;-767.0;745.0;-727.0;-856.0;299.0;?;535.0;474.0;119.0;618.0
-634.0;-763.0;?;-731.0;-857.0;297.0;-330.0;535.0;472.0;125.0;607.0
-637.0;-759.0;753.0;-734.0;-858.0;296.0;-331.0;536.0;471.0;130.0;598.0
-640.0;-756.0;754.0;-736.0;-859.0;295.0;-332.0;537.0;473.0;133.0;593.0
-643.0;-754.0;755.0;-736.0;-859.0;296.0;-334.0;538.0;475.0;133.0;591.0
-644.0;-753.0;754.0;-737.0;-859.0;297.0;-336.0;540.0;479.0;129.0;592.0
-645.0;-753.0;753.0;-737.0;-858.0;298.0;-336.0;542.0;486.0;123.0;597.0
-644.0;-755.0;751.0;-737.0;-857.0;299.0;-336.0;545.0;492.0;117.0;604.0
-644.0;-757.0;747.0;-736.0;-856.0;298.0;-335.0;547.0;497.0;111.0;614.0
-643.0;-758.0;742.0;-734.0;-855.0;?;-335.0;548.0;503.0;104.0;625.0
-643.0;-760.0;733.0;-732.0;-853.0;297.0;-334.0;549.0;507.0;98.0;639.0
-641.0;-762.0;724.0;-730.0;-853.0;297.0;-334.0;549.0;510.0;93.0;654.0
-639.0;-765.0;715.0;-728.0;-852.0;297.0;-332.0;549.0;512.0;89.0;667.0
-635.0;-768.0;707.0;-727.0;-852.0;298.0;-331.0;549.0;513.0;87.0;679.0
-630.0;-772.0;700.0;-726.0;-852.0;298.0;-330.0;549.0;513.0;88.0;689.0
-626.0;-777.0;694.0;-725.0;-852.0;299.0;-329.0;549.0;513.0;89.0;697.0
?;?;?;-724.0;-852.0;301.0;-328.0;549.0;511.0;92.0;702.0
?;-783.0;687.0;-724.0;-853.0;303.0;-329.0;548.0;509.0;94.0;706.0
-614.0;-784.0;685.0;-723.0;-853.0;306.0;-329.0;548.0;508.0;98.0;709.0
-612.0;-785.0;685.0;-724.0;-852.0;309.0;-331.0;549.0;508.0;103.0;709.0
-610.0;-785.0;686.0;-725.0;-851.0;314.0;-333.0;550.0;508.0;110.0;708.0
-609.0;-784.0;687.0;-726.0;-849.0;318.0;-335.0;?;510.0;119.0;706.0
-608.0;-785.0;690.0;-728.0;-847.0;322.0;-337.0;555.0;?;130.0;701.0
-610.0;-784.0;691.0;-730.0;-846.0;326.0;-339.0;559.0;511.0;143.0;696.0
-613.0;-781.0;694.0;-732.0;-845.0;329.0;-342.0;562.0;509.0;155.0;690.0
-615.0;-779.0;698.0;?;-845.0;328.0;-346.0;561.0;504.0;168.0;683.0
-626.0;-768.0;704.0;?;-844.0;332.0;-352.0;563.0;503.0;176.0;676.0
-636.0;-759.0;706.0;-737.0;-846.0;343.0;-351.0;569.0;499.0;181.0;673.0
-646.0;-751.0;712.0;-737.0;-848.0;349.0;-346.0;569.0;?;186.0;666.0
-655.0;-744.0;725.0;-738.0;-850.0;352.0;-342.0;565.0;489.0;187.0;652.0
-660.0;-740.0;739.0;-738.0;-854.0;352.0;-339.0;559.0;482.0;187.0;635.0
-662.0;-740.0;749.0;-738.0;-857.0;348.0;-336.0;554.0;476.0;185.0;618.0
-665.0;-738.0;752.0;-737.0;-859.0;?;-335.0;548.0;472.0;179.0;605.0
-668.0;?;?;-735.0;-860.0;338.0;-334.0;546.0;471.0;172.0;596.0
-672.0;-731.0;754.0;-733.0;-859.0;336.0;-333.0;547.0;473.0;167.0;593.0
-673.0;-730.0;753.0;-732.0;-858.0;335.0;-332.0;548.0;477.0;165.0;594.0
-673.0;-730.0;748.0;-730.0;-856.0;334.0;-331.0;550.0;482.0;166.0;598.0
-671.0;-731.0;741.0;-728.0;-855.0;333.0;?;552.0;485.0;163.0;604.0
-669.0;-733.0;734.0;-724.0;-854.0;332.0;-329.0;554.0;489.0;157.0;612.0
-666.0;-735.0;729.0;-721.0;-853.0;332.0;-328.0;555.0;494.0;149.0;621.0
-663.0;-739.0;723.0;-718.0;-852.0;332.0;-327.0;557.0;498.0;141.0;630.0
?;-743.0;718.0;-716.0;-852.0;330.0;-325.0;557.0;500.0;134.0;639.0
?;-746.0;712.0;-714.0;-852.0;329.0;-323.0;557.0;501.0;128.0;648.0
-651.0;-750.0;706.0;-712.0;-853.0;327.0;-321.0;556.0;502.0;123.0;657.0
?;-753.0;700.0;-711.0;-853.0;326.0;-319.0;554.0;502.0;119.0;666.0
-645.0;-755.0;696.0;-710.0;-854.0;324.0;-317.0;554.0;502.0;116.0;673.0
-642.0;-758.0;692.0;-710.0;-854.0;322.0;?;553.0;502.0;114.0;?
-641.0;-760.0;688.0;-709.0;-854.0;320.0;-314.0;552.0;502.0;110.0;684.0
-638.0;-762.0;688.0;-708.0;-854.0;317.0;-313.0;552.0;503.0;107.0;687.0
-636.0;-765.0;689.0;-707.0;-854.0;315.0;-312.0;552.0;503.0;105.0;688.0
-635.0;-766.0;690.0;-707.0;-854.0;313.0;-310.0;552.0;504.0;104.0;687.0
-634.0;?;693.0;?;-853.0;310.0;-310.0;?;504.0;105.0;684.0
-633.0;-769.0;694.0;?;-852.0;306.0;-311.0;553.0;506.0;105.0;681.0
-633.0;-769.0;697.0;-708.0;-851.0;304.0;-312.0;554.0;507.0;105.0;677.0
-633.0;?;699.0;-709.0;-850.0;302.0;-315.0;556.0;510.0;106.0;673.0
-633.0;-769.0;702.0;-711.0;-849.0;300.0;-319.0;559.0;512.0;109.0;669.0
-634.0;-768.0;704.0;-713.0;-847.0;299.0;-322.0;561.0;515.0;115.0;664.0
-634.0;-767.0;706.0;-716.0;-845.0;299.0;-327.0;564.0;516.0;123.0;660.0
-636.0;-766.0;708.0;-717.0;-844.0;298.0;-330.0;566.0;517.0;129.0;656.0
?;-764.0;708.0;-718.0;-844.0;299.0;-334.0;566.0;517.0;133.0;654.0
-639.0;?;709.0;-719.0;-844.0;300.0;-336.0;566.0;517.0;134.0;652.0
-641.0;-760.0;709.0;-720.0;-844.0;301.0;-338.0;565.0;517.0;134.0;651.0
-642.0;-759.0;710.0;-721.0;-845.0;303.0;-339.0;565.0;515.0;135.0;650.0
-642.0;-759.0;711.0;-723.0;-846.0;304.0;-340.0;565.0;514.0;135.0;648.0
-642.0;-759.0;713.0;-724.0;-846.0;306.0;-341.0;564.0;513.0;135.0;646.0
?;-760.0;714.0;-725.0;-847.0;306.0;-342.0;563.0;513.0;134.0;645.0
-642.0;-760.0;714.0;-726.0;-847.0;309.0;-342.0;563.0;512.0;134.0;646.0
?;-760.0;713.0;-726.0;-848.0;311.0;-342.0;563.0;511.0;135.0;648.0
-641.0;-760.0;711.0;-726.0;-849.0;313.0;-342.0;562.0;509.0;136.0;652.0
-641.0;-761.0;708.0;-725.0;-849.0;316.0;-342.0;562.0;508.0;138.0;656.0
-640.0;-761.0;704.0;-724.0;-849.0;318.0;-342.0;562.0;508.0;139.0;661.0
-639.0;-762.0;701.0;-724.0;-849.0;321.0;-342.0;562.0;507.0;141.0;666.0
-637.0;-763.0;?;-724.0;-848.0;324.0;-342.0;563.0;508.0;144.0;671.0
-636.0;-764.0;694.0;-723.0;-847.0;329.0;-342.0;565.0;508.0;147.0;675.0
-634.0;?;692.0;-723.0;-846.0;334.0;-343.0;567.0;508.0;151.0;?
-633.0;?;692.0;-723.0;-845.0;340.0;-344.0;569.0;509.0;155.0;679.0
-630.0;-767.0;692.0;-723.0;-846.0;344.0;-345.0;569.0;506.0;160.0;679.0
-630.0;-766.0;694.0;-724.0;-845.0;346.0;-348.0;568.0;506.0;164.0;678.0
-632.0;-763.0;694.0;-725.0;-845.0;348.0;-344.0;573.0;507.0;164.0;679.0
-635.0;-761.0;692.0;-723.0;-846.0;354.0;-345.0;574.0;506.0;165.0;682.0
-638.0;-760.0;696.0;-724.0;-846.0;360.0;-347.0;?;505.0;165.0;678.0
-637.0;-761.0;702.0;-727.0;-846.0;364.0;-348.0;571.0;503.0;170.0;668.0
-636.0;-762.0;707.0;-728.0;-846.0;368.0;-350.0;570.0;501.0;173.0;658.0
-637.0;-761.0;711.0;-730.0;?;370.0;-350.0;570.0;501.0;172.0;648.0
-637.0;-761.0;716.0;-730.0;-848.0;?;-353.0;571.0;?;?;639.0
-638.0;-760.0;722.0;-730.0;-847.0;377.0;-356.0;573.0;?;164.0;632.0
-638.0;-760.0;724.0;-731.0;-844.0;382.0;-359.0;576.0;508.0;166.0;627.0
-638.0;-759.0;722.0;-731.0;-842.0;385.0;-360.0;?;510.0;174.0;626.0
-638.0;-759.0;719.0;-730.0;-839.0;?;-361.0;580.0;511.0;184.0;629.0
-637.0;-759.0;714.0;-729.0;-837.0;388.0;-362.0;582.0;512.0;189.0;634.0
-636.0;-759.0;709.0;-726.0;-835.0;389.0;-361.0;?;514.0;191.0;640.0
-634.0;-761.0;703.0;-723.0;-834.0;388.0;-361.0;586.0;515.0;191.0;647.0
-633.0;-762.0;697.0;-721.0;-832.0;389.0;-360.0;588.0;517.0;191.0;655.0
-631.0;-764.0;693.0;-720.0;-831.0;389.0;-360.0;589.0;519.0;191.0;662.0
-629.0;-765.0;689.0;-719.0;-831.0;389.0;-361.0;591.0;521.0;190.0;669.0
-627.0;-767.0;685.0;-718.0;-830.0;389.0;?;?;?;188.0;676.0
-625.0;-769.0;683.0;-717.0;-829.0;?;-362.0;593.0;525.0;185.0;682.0
-623.0;-771.0;680.0;-717.0;-829.0;388.0;-362.0;594.0;527.0;182.0;687.0
-621.0;-773.0;679.0;-717.0;-829.0;386.0;-361.0;593.0;528.0;178.0;691.0
-619.0;?;678.0;-717.0;-830.0;384.0;-360.0;593.0;529.0;175.0;695.0
-617.0;-776.0;678.0;-718.0;-831.0;382.0;-360.0;591.0;528.0;169.0;697.0
-616.0;-778.0;679.0;-719.0;-833.0;378.0;-359.0;588.0;528.0;164.0;699.0
-614.0;-780.0;679.0;-720.0;-835.0;372.0;-358.0;585.0;526.0;159.0;700.0
-614.0;-781.0;680.0;-721.0;-837.0;366.0;-357.0;582.0;524.0;156.0;699.0
-614.0;-782.0;681.0;-722.0;-838.0;359.0;-355.0;579.0;522.0;152.0;698.0
-616.0;-781.0;682.0;-724.0;-840.0;351.0;-354.0;575.0;520.0;149.0;697.0
-618.0;-780.0;?;-725.0;-842.0;344.0;-353.0;572.0;518.0;145.0;695.0
-621.0;-778.0;686.0;-726.0;-844.0;336.0;-353.0;568.0;516.0;142.0;691.0
-624.0;-776.0;690.0;-728.0;-846.0;329.0;-352.0;565.0;513.0;141.0;686.0
?;-774.0;695.0;-729.0;-847.0;322.0;-352.0;562.0;511.0;140.0;680.0
-631.0;?;699.0;-731.0;-848.0;316.0;-351.0;559.0;510.0;139.0;674.0
-633.0;-769.0;704.0;?;-850.0;310.0;-348.0;556.0;508.0;138.0;667.0
-635.0;-768.0;?;-732.0;-851.0;305.0;-346.0;554.0;?;135.0;660.0
-636.0;-767.0;711.0;-733.0;-851.0;300.0;-343.0;?;?;132.0;654.0
-637.0;-766.0;714.0;-732.0;-851.0;296.0;-341.0;551.0;508.0;129.0;648.0
-638.0;-765.0;714.0;-731.0;-851.0;293.0;-338.0;550.0;509.0;125.0;644.0
-638.0;?;714.0;-730.0;-851.0;291.0;-337.0;550.0;510.0;123.0;641.0
-637.0;-764.0;714.0;-729.0;-850.0;290.0;-335.0;550.0;512.0;120.0;640.0
-637.0;-764.0;713.0;-728.0;-850.0;289.0;-333.0;550.0;513.0;118.0;640.0
-635.0;-765.0;711.0;-726.0;-849.0;289.0;-332.0;551.0;514.0;117.0;641.0
-634.0;-766.0;709.0;-725.0;-849.0;290.0;-329.0;551.0;514.0;116.0;643.0
-632.0;-767.0;706.0;-723.0;-849.0;289.0;-327.0;551.0;514.0;115.0;646.0
-630.0;-769.0;702.0;-720.0;-849.0;289.0;-324.0;552.0;514.0;114.0;650.0
-629.0;-770.0;697.0;-717.0;?;289.0;-322.0;551.0;513.0;113.0;655.0
-627.0;-771.0;693.0;-715.0;-849.0;291.0;-321.0;550.0;514.0;113.0;661.0
-625.0;-773.0;689.0;-714.0;-848.0;295.0;-321.0;551.0;515.0;114.0;666.0
-623.0;-775.0;687.0;-713.0;-846.0;302.0;-323.0;554.0;517.0;118.0;670.0
-621.0;-776.0;?;-713.0;-844.0;309.0;-325.0;559.0;518.0;124.0;673.0
-618.0;-778.0;686.0;-713.0;-843.0;315.0;-329.0;562.0;519.0;133.0;674.0
-620.0;-776.0;686.0;-714.0;-840.0;325.0;-327.0;569.0;?;?;676.0
-621.0;-775.0;685.0;-715.0;-840.0;337.0;-324.0;576.0;522.0;142.0;679.0
-622.0;-774.0;688.0;-713.0;-842.0;342.0;-319.0;577.0;519.0;?;678.0
-623.0;-773.0;694.0;-715.0;-844.0;345.0;-315.0;575.0;514.0;148.0;672.0
-622.0;?;698.0;-715.0;-848.0;346.0;-312.0;571.0;507.0;151.0;665.0
-623.0;-774.0;701.0;-715.0;-851.0;346.0;?;566.0;500.0;150.0;655.0
-623.0;-774.0;705.0;-716.0;-853.0;343.0;-305.0;562.0;497.0;146.0;646.0
-624.0;-773.0;710.0;-716.0;-854.0;340.0;-303.0;561.0;495.0;142.0;637.0
-624.0;-772.0;712.0;-716.0;-854.0;338.0;-302.0;560.0;495.0;140.0;631.0
-622.0;-773.0;712.0;-718.0;-852.0;336.0;-303.0;562.0;496.0;144.0;626.0
-622.0;-773.0;712.0;-719.0;-850.0;335.0;-304.0;564.0;498.0;152.0;622.0
-622.0;?;711.0;-720.0;-849.0;335.0;-304.0;566.0;499.0;160.0;621.0
-623.0;-771.0;709.0;-719.0;-847.0;335.0;-304.0;566.0;500.0;163.0;623.0
-623.0;?;706.0;-718.0;-847.0;334.0;-303.0;566.0;502.0;160.0;?
-623.0;-770.0;703.0;?;-846.0;333.0;-303.0;566.0;505.0;155.0;632.0
-622.0;-771.0;699.0;-714.0;-845.0;333.0;-304.0;567.0;508.0;151.0;637.0
-622.0;-771.0;696.0;-713.0;-844.0;333.0;-305.0;568.0;511.0;147.0;642.0
-622.0;-772.0;693.0;-712.0;-843.0;333.0;-306.0;569.0;?;143.0;647.0
-622.0;-772.0;690.0;-711.0;-842.0;334.0;-307.0;570.0;518.0;137.0;654.0
-621.0;-773.0;687.0;-709.0;-842.0;335.0;-309.0;?;521.0;?;660.0
?;-775.0;685.0;-708.0;-841.0;335.0;-310.0;570.0;523.0;126.0;666.0
-619.0;-777.0;683.0;-708.0;-841.0;336.0;-312.0;570.0;525.0;123.0;671.0
-618.0;-778.0;682.0;-708.0;-840.0;336.0;-313.0;570.0;527.0;122.0;676.0
-616.0;-781.0;681.0;-709.0;-840.0;334.0;-315.0;570.0;526.0;121.0;680.0
-615.0;-782.0;?;-710.0;-841.0;333.0;-315.0;569.0;526.0;120.0;684.0
-614.0;-784.0;679.0;-711.0;-841.0;331.0;-315.0;568.0;525.0;121.0;687.0
-614.0;-784.0;678.0;-713.0;-842.0;328.0;-316.0;567.0;524.0;?;690.0
-613.0;-785.0;678.0;-714.0;-843.0;324.0;-315.0;564.0;521.0;123.0;692.0
-614.0;-785.0;678.0;-715.0;-845.0;320.0;-314.0;563.0;519.0;123.0;?
-614.0;-785.0;678.0;-716.0;-846.0;315.0;-313.0;561.0;517.0;124.0;692.0
-616.0;-784.0;680.0;-717.0;-847.0;311.0;-312.0;559.0;514.0;?;690.0
-618.0;-782.0;682.0;-719.0;-849.0;306.0;-311.0;556.0;511.0;125.0;687.0
-620.0;-781.0;684.0;-720.0;-850.0;301.0;-311.0;553.0;509.0;125.0;683.0
-622.0;-779.0;688.0;-722.0;-852.0;297.0;-310.0;551.0;507.0;124.0;678.0
-625.0;-776.0;692.0;-724.0;-852.0;293.0;-309.0;549.0;506.0;124.0;672.0
-627.0;-774.0;695.0;-725.0;-853.0;288.0;-307.0;548.0;505.0;124.0;665.0
-628.0;-772.0;698.0;-727.0;-854.0;283.0;-305.0;546.0;503.0;124.0;659.0
-629.0;-770.0;700.0;-727.0;-854.0;277.0;-302.0;544.0;503.0;123.0;652.0
-631.0;-767.0;702.0;-725.0;-855.0;272.0;-299.0;542.0;503.0;118.0;645.0
-632.0;-765.0;703.0;-725.0;-855.0;268.0;-299.0;540.0;504.0;113.0;639.0
-633.0;-763.0;705.0;-724.0;-855.0;266.0;-299.0;539.0;505.0;109.0;634.0
-634.0;?;708.0;-724.0;-854.0;266.0;-300.0;540.0;507.0;109.0;629.0
-634.0;-761.0;710.0;-725.0;-852.0;266.0;?;541.0;510.0;109.0;625.0
-633.0;-761.0;712.0;-725.0;?;267.0;-300.0;542.0;512.0;108.0;621.0
-632.0;-762.0;712.0;-724.0;-851.0;268.0;?;543.0;?;106.0;620.0
-631.0;-763.0;711.0;-723.0;-850.0;271.0;-300.0;543.0;514.0;106.0;620.0
-631.0;-764.0;710.0;-723.0;-849.0;274.0;-298.0;544.0;516.0;109.0;624.0
-629.0;-765.0;706.0;-722.0;?;278.0;-297.0;547.0;516.0;115.0;629.0
