InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-9;383.0;28;569.0;-33;-30;30;?
12;324.0;89;528.0;-5;11;-11;12
-5;285.0;72;455.0;0;-19;?;-5
-60;242.0;84;327.0;81;-45;45;-60
-41;180.0;97;275.0;113;-6;6;-41
-26;95.0;123;170.0;123;44;-44;-26
-36;52.0;94;24.0;112;53;-53;-36
17;-14.0;24;-110.0;106;25;-25;17
27;-56.0;85;-197.0;128;17;-17;27
4;-124.0;99;-231.0;90;?;-27;4
39;-203.0;18;-282.0;46;2;-2;39
47;?;28;-337.0;51;-6;6;47
?;-295.0;27;-396.0;25;11;-11;24
1;-288.0;38;-424.0;-11;-18;18;1
19;-262.0;-5;-433.0;-11;-10;10;19
?;-230.0;-32;-459.0;-74;19;-19;17
-4;-201.0;87;-408.0;14;6;-6;-4
23;-146.0;111;-396.0;157;15;-15;23
-3;-125.0;9;-292.0;69;10;-10;-3
-22;-65.0;120;-135.0;321;6;?;-22
-19;8.0;-60;41.0;-125;5;-5;-19
-40;?;228;194.0;195;23;-23;-40
-36;16.0;204;292.0;-119;14;-14;-36
-43;33.0;807;368.0;-387;0;0;?
-68;?;1245;?;858;46;?;-68
-100;69.0;-3944;410.0;-4305;-76;76;?
?;11.0;-4222;396.0;-4964;-157;157;-151
-189;-42.0;609;315.0;707;-98;98;-189
-91;-124.0;-105;99.0;-23;?;144;-91
79;-500.0;-249;?;-265;?;6;79
76;?;218;370.0;282;225;-225;76
1;111.0;-257;71.0;-259;123;-123;1
?;3.0;91;-151.0;148;-9;9;-21
-9;?;-82;-574.0;-55;22;-22;-9
35;-291.0;-36;-881.0;-16;6;-6;35
38;-378.0;-6;-879.0;16;-20;20;38
35;-315.0;-41;-910.0;-14;-35;35;35
?;-322.0;-10;-1071.0;10;15;-15;26
-11;?;-24;-1035.0;?;46;-46;-11
-39;-481.0;-15;-892.0;-12;42;-42;?
-18;-388.0;-8;-739.0;-10;76;-76;-18
?;-248.0;-10;-524.0;-10;35;?;3
-48;-130.0;-5;-316.0;?;38;-38;?
?;14.0;-15;-99.0;-34;?;-30;-3
43;128.0;8;197.0;1;-8;8;43
-23;241.0;-7;?;-23;32;-32;-23
0;300.0;?;710.0;-26;28;-28;0
42;?;-8;931.0;74;10;-10;42
7;392.0;-151;1086.0;-142;28;-28;7
16;410.0;-111;1177.0;-13;-17;17;16
-2;453.0;48;1141.0;278;-42;42;-2
?;395.0;13;1062.0;226;-11;11;-73
-88;372.0;15;921.0;153;?;-5;-88
-68;356.0;-17;687.0;-202;22;-22;-68
-22;332.0;-40;572.0;-235;-18;18;-22
-2;283.0;?;433.0;-49;-25;25;-2
15;237.0;45;421.0;-107;-6;6;15
47;193.0;66;304.0;-51;-36;36;47
?;142.0;101;221.0;14;-9;9;36
52;123.0;93;159.0;35;-2;2;52
47;134.0;146;28.0;-31;-37;37;47
39;115.0;120;-35.0;-67;-13;13;39
57;112.0;17;-152.0;-30;50;-50;57
23;13.0;66;-189.0;-45;40;-40;23
12;32.0;95;-238.0;-90;-21;21;12
40;34.0;12;-208.0;-170;-2;?;40
5;-48.0;9;?;-119;35;-35;5
-14;-41.0;?;-157.0;-4;31;-31;-14
23;-90.0;69;-135.0;-5;12;-12;23
24;-88.0;37;-185.0;-28;28;-28;?
14;-63.0;35;-196.0;-65;42;-42;14
13;50.0;43;-195.0;-108;-16;16;13
-16;102.0;50;-163.0;-44;?;9;-16
-24;71.0;109;?;9;-43;43;-24
-15;54.0;40;72.0;45;-77;77;?
-26;62.0;52;162.0;14;-14;14;-26
-19;21.0;68;273.0;-86;-14;14;-19
-23;21.0;-119;323.0;-62;19;-19;-23
-51;14.0;272;334.0;-155;7;-7;-51
-17;28.0;13;342.0;144;20;-20;-17
-16;60.0;?;302.0;-96;77;-77;-16
-67;74.0;1309;260.0;-51;?;-28;-67
-48;78.0;-1668;195.0;1049;-1;1;-48
-106;3.0;?;163.0;23;-104;104;-106
-187;-97.0;?;97.0;-574;-169;169;-187
?;-222.0;-319;7.0;246;-93;93;-57
90;-302.0;31;-149.0;-27;-50;50;90
117;-434.0;-22;89.0;-18;12;-12;117
115;-114.0;-108;66.0;44;69;-69;115
57;-63.0;28;-210.0;-34;22;?;57
39;-298.0;-76;-578.0;38;-14;14;39
51;-545.0;-6;-1066.0;-17;4;?;51
-15;-667.0;-33;-1442.0;-14;?;-31;-15
?;-628.0;-33;-1504.0;-16;46;-46;-28
17;-531.0;-24;-1461.0;2;15;-15;?
37;-460.0;-13;-1486.0;6;-8;8;37
53;-327.0;-12;-1672.0;5;-20;20;?
34;-235.0;-19;-1909.0;5;-4;4;34
6;-245.0;-12;-2168.0;-4;1;-1;6
?;-420.0;-3;-2403.0;-3;-51;51;33
29;-604.0;-10;-2558.0;-12;-17;17;29
-25;-762.0;-9;-2723.0;-10;27;-27;-25
-44;-986.0;0;-2998.0;-4;-26;26;-44
33;-1132.0;-2;-3247.0;?;-36;36;33
50;-1323.0;-2;-3434.0;1;8;-8;50
-14;-1456.0;0;-3554.0;-5;?;-9;-14
?;-1542.0;-2;-3521.0;-6;-4;4;21
-4;-1612.0;0;-3338.0;-2;-2;2;-4
11;-1638.0;0;-3150.0;-6;-9;?;11
50;-1598.0;-6;-2970.0;?;-32;32;50
-39;-1608.0;-5;-2871.0;-6;-54;54;-39
-34;-1505.0;-2;-2768.0;-6;-30;30;-34
2;-1415.0;3;-2635.0;0;-2;2;2
15;?;3;-2469.0;4;-12;?;15
21;-1156.0;2;-2047.0;0;?;-14;21
-12;-985.0;0;-1476.0;-8;17;-17;-12
-5;-765.0;-6;-978.0;-12;-45;45;-5
6;-539.0;-5;-584.0;-3;-33;?;6
2;-351.0;0;-182.0;2;7;?;2
10;?;1;70.0;-2;-6;6;10
-7;-137.0;-1;223.0;-4;-14;14;-7
-24;-70.0;2;232.0;-1;-15;15;-24
15;-24.0;5;138.0;1;-14;14;15
31;?;0;108.0;0;4;-4;31
-8;4.0;-1;178.0;6;-3;3;-8
-16;10.0;?;217.0;5;-26;26;-16
-36;23.0;-3;265.0;-1;-37;37;-36
-26;50.0;-4;277.0;-2;-45;45;-26
25;75.0;-1;229.0;-3;-44;44;25
-12;99.0;-1;180.0;?;-30;30;?
-36;82.0;-1;161.0;-6;?;0;-36
-10;?;3;130.0;-3;1;-1;-10
13;130.0;6;86.0;-2;-17;17;13
24;153.0;5;13.0;-6;1;-1;24
-4;186.0;-1;23.0;-4;17;-17;-4
-10;231.0;-2;93.0;-3;6;-6;-10
?;338.0;4;154.0;-4;24;-24;5
1;454.0;-3;280.0;-4;42;?;1
9;593.0;-7;493.0;-3;32;-32;9
14;853.0;1;1096.0;1;14;-14;14
5;1096.0;0;1865.0;6;15;-15;?
19;1321.0;4;2534.0;8;24;-24;?
29;1597.0;6;3145.0;1;-3;3;29
20;1794.0;1;3921.0;?;34;-34;20
12;1969.0;2;4682.0;?;13;-13;12
-7;2002.0;4;5374.0;-2;-52;52;-7
-26;1900.0;8;5452.0;0;27;-27;-26
-13;1885.0;8;5416.0;3;49;-49;-13
5;1714.0;3;5650.0;1;16;-16;5
-2;1465.0;0;6055.0;0;-3;3;-2
-18;1468.0;1;5973.0;1;8;-8;-18
-4;1721.0;2;5679.0;3;57;-57;-4
6;2069.0;-1;4961.0;1;24;-24;6
-27;1928.0;0;3847.0;0;-11;11;-27
-36;1749.0;-4;2298.0;1;-13;13;-36
?;1350.0;1;950.0;5;10;-10;-18
1;908.0;10;186.0;10;10;-10;1
37;525.0;3;-157.0;9;-14;14;37
47;126.0;2;-437.0;2;-12;12;47
31;-262.0;7;?;-1;?;36;?
22;-541.0;?;-716.0;4;0;0;22
28;-738.0;-5;-839.0;3;16;-16;28
22;?;-3;-921.0;0;-58;58;22
-6;-732.0;-1;?;-2;-32;32;-6
-25;-691.0;-3;-957.0;-2;19;-19;-25
-26;-579.0;2;-898.0;5;-18;18;-26
-26;-456.0;0;-797.0;5;-6;6;-26
-26;-377.0;-2;-604.0;3;1;?;-26
-26;-293.0;1;-410.0;7;-9;9;-26
-27;-164.0;-1;-180.0;9;37;-37;-27
-19;-48.0;6;69.0;11;18;?;-19
-6;29.0;6;307.0;6;-16;16;-6
-11;145.0;3;439.0;6;-7;7;-11
-18;203.0;7;?;9;-21;21;-18
-27;284.0;2;462.0;7;-21;21;-27
-17;346.0;0;453.0;7;-13;13;-17
-7;362.0;6;417.0;1;-10;10;-7
-45;342.0;7;298.0;3;14;-14;-45
7;274.0;1;230.0;4;-18;18;?
23;142.0;3;132.0;3;-5;5;23
-27;133.0;2;61.0;2;49;-49;-27
12;92.0;0;28.0;-4;28;-28;12
-5;64.0;9;61.0;6;29;-29;-5
?;-16.0;11;110.0;10;-9;?;-12
10;-86.0;?;136.0;4;-37;37;10
-10;-135.0;5;134.0;6;-19;19;-10
21;-158.0;5;108.0;4;-11;11;21
37;-138.0;3;60.0;4;-2;2;37
1;-147.0;-2;33.0;9;-41;41;?
-2;?;-1;21.0;5;-12;12;-2
5;-60.0;2;-9.0;-1;24;-24;5
-11;16.0;3;64.0;5;?;-18;-11
-16;74.0;6;97.0;9;37;-37;-16
-33;50.0;7;95.0;7;3;-3;-33
-40;41.0;5;14.0;9;-15;15;-40
12;82.0;0;12.0;9;28;-28;12
12;91.0;2;-1.0;10;?;-30;12
-18;100.0;3;-7.0;7;16;-16;-18
?;67.0;-4;-36.0;3;27;-27;6
7;72.0;-2;-36.0;6;19;-19;7
?;72.0;2;17.0;3;0;?;6
33;73.0;6;75.0;-2;-6;6;33
24;?;1;107.0;4;1;-1;24
-12;21.0;1;90.0;10;6;-6;-12
-4;38.0;8;142.0;7;-4;4;-4
24;47.0;3;139.0;2;3;-3;24
10;32.0;?;122.0;7;28;-28;10
7;-12.0;-2;68.0;3;44;-44;7
15;-42.0;0;?;2;23;-23;15
2;-50.0;5;25.0;7;-8;8;2
-6;-55.0;-2;-31.0;3;-13;13;-6
-22;-14.0;0;?;0;11;-11;-22
-28;-32.0;3;35.0;8;33;-33;-28
5;-62.0;3;86.0;?;0;0;5
-8;-43.0;0;107.0;-1;-27;27;-8
-23;9.0;1;72.0;3;-10;10;-23
-6;23.0;2;55.0;17;-3;3;-6
-31;117.0;-11;87.0;18;-26;26;?
-34;68.0;0;159.0;16;-47;47;-34
-53;36.0;10;176.0;12;5;-5;-53
-62;0.0;3;123.0;8;37;-37;-62
-32;45.0;3;59.0;9;3;-3;-32
2;-30.0;1;22.0;7;16;-16;2
49;-32.0;4;-88.0;2;15;?;49
-4;-18.0;6;-60.0;1;-16;16;-4
-11;2.0;6;-40.0;7;?;-1;-11
29;-1.0;?;4.0;11;3;-3;29
-10;-16.0;4;9.0;6;10;-10;-10
-7;-73.0;7;9.0;8;?;-18;-7
-8;-102.0;11;-39.0;14;-31;31;-8
-23;-74.0;6;-155.0;5;2;-2;-23
-1;-58.0;4;-201.0;5;19;-19;-1
17;-48.0;6;-221.0;9;-34;34;17
2;-1.0;0;-203.0;?;16;-16;2
-16;76.0;-2;-119.0;?;58;-58;-16
7;150.0;3;17.0;8;17;-17;7
9;189.0;-2;?;6;-1;1;9
-42;216.0;2;192.0;8;-7;7;-42
-34;261.0;?;311.0;9;5;-5;-34
4;227.0;-1;370.0;11;26;-26;4
-5;212.0;1;434.0;9;-8;8;-5
17;203.0;4;337.0;9;-15;15;17
19;157.0;2;296.0;8;18;-18;19
-1;96.0;2;212.0;6;0;0;-1
7;66.0;1;111.0;7;-41;41;7
5;-11.0;1;98.0;7;-32;32;5
5;-19.0;2;5.0;6;-14;14;5
14;-35.0;0;-28.0;11;-7;7;14
49;-11.0;?;-104.0;8;27;-27;49
50;-41.0;2;-48.0;5;-34;34;50
50;-72.0;-1;-56.0;12;-64;64;50
33;-110.0;0;?;11;-4;4;33
-32;-99.0;0;-92.0;5;-53;53;-32
5;-90.0;0;-39.0;6;-49;49;5
18;-66.0;-2;3.0;?;2;-2;18
-26;-115.0;2;-61.0;13;-9;9;-26
3;-86.0;5;-9.0;11;2;-2;3
4;-95.0;4;-69.0;5;27;-27;4
?;-42.0;6;-46.0;12;9;-9;-8
13;5.0;-3;12.0;10;-62;62;13
3;33.0;-6;64.0;-1;-54;54;3
-17;36.0;?;124.0;1;-16;16;-17
25;24.0;-1;171.0;10;-26;26;25
17;16.0;-2;161.0;9;-43;43;17
-54;47.0;2;132.0;5;-73;73;-54
-9;30.0;3;57.0;8;?;44;-9
12;-11.0;2;27.0;8;-18;18;12
-23;?;5;?;4;-40;40;-23
-15;-47.0;3;-18.0;5;-31;31;-15
-25;-66.0;0;-47.0;3;-33;33;-25
-5;-59.0;5;-51.0;-2;?;40;-5
15;-12.0;5;8.0;3;-1;1;15
-9;-17.0;4;26.0;4;28;-28;-9
4;-18.0;4;74.0;4;40;-40;4
25;-49.0;0;78.0;4;34;-34;?
25;-80.0;3;50.0;-3;17;-17;25
30;-33.0;8;82.0;2;22;-22;30
-13;2.0;4;112.0;6;-13;13;-13
-68;35.0;1;108.0;5;?;7;-68
-59;33.0;0;127.0;10;34;-34;-59
-34;3.0;-3;125.0;8;14;-14;-34
-18;7.0;-2;72.0;1;6;-6;-18
1;17.0;-3;68.0;4;12;-12;1
5;7.0;-1;26.0;11;28;-28;5
9;16.0;2;24.0;8;11;-11;9
32;8.0;5;-2.0;5;-15;15;32
22;61.0;6;38.0;7;19;-19;22
-13;65.0;1;67.0;5;37;-37;-13
-11;46.0;-3;48.0;7;?;-29;-11
0;41.0;-1;99.0;10;15;-15;0
11;74.0;2;113.0;8;-19;19;11
11;18.0;6;92.0;10;-16;16;11
-17;-11.0;5;71.0;9;18;-18;-17
-18;-4.0;0;-2.0;0;19;?;-18
-15;-5.0;0;12.0;2;0;0;-15
-9;14.0;-1;-24.0;21;-35;35;-9
14;15.0;2;18.0;22;-16;16;?
9;27.0;7;?;12;4;-4;9
-37;?;7;68.0;17;-23;23;-37
-27;46.0;4;102.0;21;-7;7;-27
23;57.0;-7;92.0;22;1;-1;23
-19;68.0;-1;109.0;18;27;-27;-19
13;48.0;2;84.0;11;26;-26;13
18;28.0;-6;82.0;?;-18;?;18
-87;26.0;5;62.0;11;-13;13;-87
-47;43.0;4;?;9;-27;27;-47
-55;-36.0;-3;52.0;10;-25;25;-55
-76;0.0;4;46.0;13;27;-27;-76
-35;3.0;6;79.0;15;11;-11;-35
-22;-22.0;1;36.0;10;-23;23;-22
4;27.0;-3;50.0;7;5;-5;4
-28;54.0;-3;42.0;14;19;-19;-28
-30;52.0;1;36.0;14;14;-14;-30
-8;0.0;0;24.0;9;21;-21;-8
-1;13.0;1;101.0;9;10;-10;-1
1;-8.0;?;43.0;9;-4;4;1
-25;3.0;5;48.0;15;-13;13;-25
-3;-20.0;3;19.0;21;-11;11;-3
0;-34.0;0;7.0;10;21;-21;0
