InertialMeasurementUnit R-SHOE Nav_Ax;Accelerometer RWR accX;Accelerometer RUA_ accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA accY;Accelerometer RWR accZ
-9;-349.0;320.0;14.0;-177;273.0;570.0
-3;-371.0;321.0;-40.0;-177;261.0;580.0
-1;-382.0;?;-64.0;-177;?;561.0
10;-412.0;300.0;-111.0;-177;275.0;570.0
?;-413.0;294.0;-124.0;-177;255.0;559.0
-6;-431.0;266.0;-143.0;-177;218.0;561.0
8;-392.0;254.0;-117.0;-178;196.0;572.0
4;-360.0;223.0;-79.0;-178;170.0;575.0
-4;-345.0;235.0;-58.0;-178;180.0;?
-4;-319.0;?;-41.0;-178;212.0;547.0
-2;-352.0;300.0;-77.0;-177;226.0;562.0
4;-352.0;289.0;-110.0;-178;206.0;555.0
7;-356.0;258.0;-114.0;-176;213.0;?
6;-380.0;243.0;-94.0;-178;244.0;523.0
6;-342.0;242.0;-105.0;-177;232.0;540.0
5;-306.0;234.0;-112.0;-174;?;537.0
8;-351.0;223.0;-88.0;-182;226.0;558.0
?;-326.0;253.0;-63.0;-168;221.0;533.0
-1;-351.0;252.0;-57.0;-187;223.0;547.0
2;-334.0;278.0;-85.0;-170;225.0;550.0
-8;-362.0;300.0;-44.0;-171;234.0;562.0
17;-309.0;269.0;-84.0;-218;230.0;486.0
3;-337.0;281.0;?;38;225.0;495.0
-8;-391.0;249.0;-217.0;225;232.0;857.0
13;-408.0;?;253.0;159;202.0;579.0
-17;-284.0;137.0;31.0;183;192.0;415.0
-17;-222.0;506.0;-181.0;183;332.0;468.0
16;-255.0;286.0;8.0;173;261.0;458.0
-8;-202.0;?;39.0;185;180.0;531.0
-13;-271.0;231.0;130.0;176;268.0;621.0
7;-278.0;237.0;156.0;181;240.0;547.0
-5;-204.0;297.0;-18.0;179;287.0;528.0
-1;-215.0;329.0;-152.0;179;291.0;534.0
1;-294.0;215.0;-163.0;179;?;529.0
-5;-370.0;144.0;-122.0;182;296.0;491.0
-3;-353.0;158.0;-76.0;176;287.0;509.0
?;-328.0;?;-45.0;183;228.0;520.0
7;-329.0;158.0;-54.0;178;169.0;538.0
-5;-282.0;207.0;-5.0;175;180.0;?
0;-420.0;240.0;-39.0;192;?;529.0
-1;-354.0;269.0;-25.0;155;229.0;518.0
-1;?;276.0;-50.0;216;215.0;558.0
-4;-376.0;277.0;-65.0;122;214.0;586.0
-11;-390.0;263.0;-53.0;-182;205.0;598.0
9;-390.0;266.0;-68.0;-197;221.0;622.0
5;-386.0;281.0;-39.0;-161;232.0;602.0
0;-349.0;279.0;?;-194;240.0;581.0
1;-381.0;300.0;-106.0;-171;239.0;579.0
-9;-356.0;252.0;-97.0;-182;229.0;574.0
-1;-364.0;241.0;-53.0;-179;223.0;542.0
0;-316.0;247.0;-60.0;-177;251.0;550.0
3;-334.0;293.0;-71.0;-181;257.0;550.0
3;-318.0;275.0;-88.0;-178;233.0;557.0
5;-387.0;?;-85.0;-179;235.0;532.0
13;-371.0;260.0;-106.0;-179;231.0;557.0
3;-399.0;261.0;-114.0;-179;227.0;510.0
1;-364.0;238.0;-112.0;-179;218.0;526.0
2;-328.0;238.0;-120.0;-179;204.0;507.0
-6;-350.0;236.0;-119.0;-179;190.0;502.0
-1;-390.0;245.0;-88.0;-179;187.0;513.0
-3;-410.0;240.0;-101.0;-179;189.0;530.0
-11;-402.0;251.0;-122.0;-179;193.0;553.0
1;-375.0;244.0;-132.0;-178;189.0;568.0
?;-374.0;224.0;-132.0;-178;195.0;?
-6;?;233.0;-130.0;-178;210.0;562.0
-1;-400.0;253.0;-109.0;-178;209.0;567.0
-5;-393.0;262.0;-120.0;-178;208.0;562.0
?;-352.0;260.0;-130.0;-178;211.0;520.0
-3;-328.0;249.0;-143.0;-178;219.0;592.0
-8;-358.0;240.0;-156.0;-178;203.0;528.0
1;-311.0;229.0;-105.0;-177;194.0;533.0
3;-310.0;242.0;-69.0;-177;213.0;539.0
0;-313.0;258.0;-52.0;-177;227.0;557.0
2;-307.0;287.0;-55.0;-177;230.0;504.0
-32;-308.0;294.0;-76.0;-178;252.0;682.0
0;-400.0;331.0;-74.0;-178;261.0;763.0
17;-392.0;210.0;155.0;-178;213.0;453.0
-11;-279.0;323.0;-195.0;-178;298.0;486.0
-2;-282.0;374.0;-95.0;-178;289.0;480.0
-20;-175.0;82.0;-42.0;-178;176.0;454.0
?;-155.0;87.0;-25.0;-178;221.0;507.0
6;-204.0;124.0;81.0;-178;216.0;541.0
-4;-244.0;126.0;114.0;-178;212.0;500.0
-1;-225.0;267.0;1.0;-178;259.0;509.0
-6;-242.0;291.0;-75.0;-178;300.0;507.0
-7;-308.0;195.0;-118.0;-178;275.0;486.0
-2;-316.0;197.0;-108.0;-178;258.0;462.0
-3;-353.0;173.0;?;-178;248.0;468.0
2;-299.0;183.0;-68.0;-178;?;526.0
-1;-248.0;174.0;-50.0;-178;153.0;538.0
-8;-303.0;201.0;-8.0;-178;148.0;548.0
-2;-306.0;251.0;-4.0;-178;206.0;562.0
1;-349.0;291.0;-27.0;-178;232.0;561.0
2;-351.0;296.0;-44.0;-178;234.0;593.0
-3;-394.0;280.0;-66.0;-178;?;597.0
-5;-343.0;282.0;-29.0;-178;226.0;587.0
6;-350.0;271.0;-70.0;-178;249.0;609.0
-5;-318.0;300.0;-60.0;-178;268.0;619.0
?;-380.0;280.0;-50.0;?;271.0;622.0
10;-399.0;?;-55.0;-178;274.0;592.0
2;-357.0;310.0;-68.0;-178;275.0;609.0
-5;-361.0;308.0;?;-178;271.0;?
2;-281.0;274.0;-80.0;-178;253.0;589.0
-10;-375.0;249.0;-58.0;-177;234.0;547.0
-5;-392.0;255.0;-67.0;-177;234.0;524.0
?;-386.0;?;-88.0;-177;235.0;538.0
-7;-337.0;272.0;-104.0;-176;220.0;529.0
5;-311.0;248.0;-83.0;-176;202.0;550.0
-2;-356.0;232.0;-58.0;?;194.0;536.0
1;-376.0;256.0;-72.0;-177;195.0;518.0
4;-396.0;263.0;-121.0;-177;200.0;497.0
5;-407.0;262.0;-150.0;-177;206.0;501.0
12;-382.0;233.0;-132.0;-177;175.0;535.0
9;-394.0;183.0;-130.0;?;172.0;552.0
7;-325.0;186.0;-109.0;-177;159.0;500.0
0;-374.0;210.0;?;-177;164.0;541.0
-3;-374.0;250.0;-88.0;-177;195.0;552.0
0;-405.0;265.0;-71.0;-177;212.0;581.0
-7;-386.0;293.0;-110.0;-177;221.0;553.0
?;-377.0;292.0;-134.0;-177;?;571.0
0;-312.0;271.0;-139.0;-177;198.0;569.0
-1;-368.0;223.0;-126.0;-177;195.0;544.0
-1;-424.0;?;?;?;238.0;536.0
-4;-386.0;257.0;-104.0;-176;251.0;547.0
-10;-365.0;250.0;-119.0;-176;222.0;512.0
-5;-308.0;240.0;-132.0;-176;185.0;533.0
-7;?;213.0;-96.0;-176;197.0;535.0
?;-346.0;232.0;-95.0;-176;212.0;535.0
26;-316.0;223.0;?;-176;216.0;444.0
-8;-340.0;244.0;-128.0;-177;216.0;?
5;-391.0;245.0;5.0;-180;206.0;655.0
53;-356.0;154.0;209.0;-180;160.0;458.0
-10;-255.0;268.0;-232.0;-179;272.0;501.0
-26;-253.0;327.0;44.0;-180;264.0;472.0
6;-157.0;82.0;20.0;-179;148.0;497.0
-5;-235.0;150.0;?;-179;224.0;576.0
3;-211.0;198.0;118.0;-179;210.0;566.0
8;-230.0;232.0;66.0;-179;245.0;535.0
?;-197.0;293.0;-75.0;-179;298.0;572.0
0;-232.0;?;-96.0;-179;311.0;587.0
1;-339.0;194.0;-15.0;-179;299.0;543.0
-1;-376.0;211.0;20.0;?;338.0;549.0
-2;-307.0;266.0;18.0;-179;303.0;551.0
4;-298.0;282.0;9.0;-179;231.0;590.0
4;-369.0;252.0;-9.0;-180;216.0;561.0
?;-365.0;273.0;-38.0;-178;254.0;590.0
4;-363.0;291.0;-79.0;?;257.0;560.0
2;-398.0;275.0;-38.0;-177;259.0;558.0
1;-312.0;248.0;-72.0;-181;244.0;535.0
6;-351.0;238.0;-25.0;-180;219.0;604.0
-7;-346.0;239.0;11.0;-173;204.0;573.0
-1;-335.0;282.0;14.0;-192;240.0;583.0
5;-366.0;323.0;-14.0;-156;251.0;582.0
-5;?;300.0;-14.0;-207;241.0;610.0
-3;-344.0;302.0;-5.0;-146;255.0;605.0
-3;-360.0;?;-31.0;157;261.0;603.0
2;?;305.0;-34.0;203;274.0;?
6;-372.0;319.0;-2.0;155;271.0;?
1;-390.0;336.0;-17.0;190;267.0;?
4;?;?;-38.0;168;261.0;585.0
4;-397.0;310.0;-47.0;177;248.0;562.0
3;-326.0;299.0;-50.0;177;243.0;550.0
8;-392.0;277.0;-77.0;173;236.0;560.0
1;-371.0;247.0;-94.0;178;233.0;539.0
6;-372.0;217.0;-124.0;175;217.0;539.0
5;-352.0;218.0;-92.0;?;209.0;?
-11;-396.0;220.0;-87.0;176;206.0;443.0
0;-409.0;231.0;-103.0;176;197.0;489.0
3;-389.0;217.0;-116.0;176;165.0;483.0
-5;-312.0;208.0;-107.0;176;133.0;480.0
-5;-385.0;206.0;-97.0;176;147.0;501.0
-7;-423.0;218.0;-87.0;176;162.0;512.0
-11;-394.0;209.0;-97.0;176;156.0;541.0
-10;-368.0;210.0;-138.0;176;155.0;545.0
5;?;206.0;-133.0;175;164.0;531.0
11;-367.0;195.0;-123.0;178;190.0;526.0
0;-332.0;?;-103.0;173;201.0;549.0
1;-335.0;214.0;-83.0;179;192.0;540.0
0;?;201.0;-64.0;176;194.0;550.0
-9;-376.0;225.0;-72.0;172;212.0;508.0
-1;-405.0;258.0;-100.0;190;216.0;520.0
-5;-392.0;228.0;-117.0;153;209.0;506.0
-3;-366.0;233.0;-85.0;213;202.0;513.0
1;-377.0;216.0;-81.0;130;189.0;521.0
4;-333.0;210.0;-61.0;-175;177.0;532.0
23;-354.0;209.0;-111.0;-197;178.0;512.0
5;-378.0;232.0;-77.0;-157;200.0;506.0
27;-432.0;212.0;-212.0;-191;224.0;658.0
77;-405.0;203.0;74.0;-169;193.0;573.0
21;-292.0;74.0;15.0;-179;140.0;475.0
-28;-303.0;311.0;-57.0;-177;245.0;499.0
5;-242.0;203.0;-18.0;-175;215.0;450.0
0;-180.0;97.0;2.0;-179;194.0;482.0
-19;-130.0;145.0;63.0;-176;217.0;547.0
-2;-108.0;159.0;152.0;-177;210.0;?
2;-152.0;221.0;146.0;-177;257.0;557.0
-2;-228.0;330.0;77.0;-177;324.0;542.0
-2;-340.0;359.0;-18.0;-177;368.0;545.0
1;-425.0;355.0;-83.0;-177;346.0;530.0
3;-319.0;275.0;-74.0;-177;309.0;559.0
3;?;207.0;-63.0;-177;262.0;594.0
-2;-361.0;197.0;-35.0;-177;211.0;612.0
-7;-357.0;213.0;0.0;-177;219.0;609.0
0;-376.0;260.0;34.0;-177;235.0;577.0
0;-350.0;311.0;-2.0;-177;253.0;599.0
-6;-412.0;360.0;-18.0;-177;266.0;619.0
-8;-382.0;325.0;-43.0;-177;258.0;554.0
-8;-361.0;319.0;-74.0;-177;243.0;?
-4;-438.0;300.0;-75.0;-177;230.0;561.0
0;-403.0;251.0;-105.0;-177;209.0;560.0
0;-401.0;253.0;-90.0;-177;217.0;539.0
2;-328.0;223.0;-74.0;-177;203.0;541.0
3;-292.0;199.0;-61.0;-177;?;536.0
3;-286.0;226.0;-44.0;?;208.0;552.0
2;-304.0;229.0;-47.0;-177;219.0;569.0
1;-257.0;261.0;-9.0;-177;229.0;502.0
-1;-279.0;265.0;-40.0;-177;239.0;?
-7;-340.0;297.0;?;-177;247.0;518.0
-7;-313.0;250.0;-75.0;-177;221.0;528.0
-2;?;198.0;-48.0;-177;211.0;545.0
-1;-328.0;197.0;-44.0;-177;203.0;566.0
-1;-314.0;236.0;?;-177;214.0;549.0
?;-341.0;242.0;-25.0;-177;?;571.0
-2;?;268.0;-20.0;-177;243.0;600.0
5;-364.0;281.0;0.0;-177;240.0;592.0
2;-382.0;301.0;8.0;-177;249.0;581.0
-2;-383.0;299.0;-23.0;-177;261.0;571.0
-8;-381.0;301.0;?;-177;258.0;623.0
-3;-361.0;?;-21.0;-177;253.0;619.0
2;-333.0;260.0;-14.0;-177;251.0;608.0
2;-307.0;281.0;-46.0;-177;265.0;601.0
7;-360.0;306.0;-44.0;-177;268.0;576.0
2;-368.0;287.0;-54.0;-177;283.0;568.0
8;-344.0;289.0;-49.0;-177;275.0;?
7;-382.0;274.0;-24.0;-177;242.0;551.0
-3;-400.0;263.0;-23.0;-177;224.0;561.0
0;-376.0;281.0;-37.0;-177;232.0;567.0
-2;-340.0;281.0;-50.0;-177;225.0;556.0
1;-378.0;273.0;-69.0;-177;220.0;548.0
4;-358.0;262.0;-38.0;-177;225.0;542.0
0;-353.0;262.0;-75.0;-177;220.0;557.0
?;-295.0;262.0;-57.0;-177;219.0;551.0
3;-327.0;250.0;?;-177;208.0;531.0
3;-345.0;243.0;-8.0;-177;211.0;557.0
-7;-271.0;269.0;-32.0;-177;231.0;531.0
-3;-336.0;281.0;-12.0;-177;243.0;565.0
4;-344.0;283.0;-32.0;-177;246.0;573.0
0;-310.0;272.0;-44.0;-177;247.0;569.0
8;-345.0;263.0;-14.0;-177;233.0;540.0
9;-317.0;277.0;-19.0;-177;241.0;591.0
-4;-354.0;288.0;-31.0;-177;247.0;577.0
7;-343.0;286.0;-16.0;?;262.0;604.0
10;-384.0;278.0;1.0;-177;250.0;590.0
-3;-338.0;296.0;-9.0;-177;240.0;579.0
5;-342.0;301.0;0.0;-177;238.0;577.0
10;-349.0;299.0;-17.0;-177;245.0;615.0
2;-306.0;320.0;-28.0;-177;252.0;639.0
?;-294.0;320.0;3.0;-177;253.0;641.0
?;-305.0;320.0;77.0;-177;265.0;571.0
0;-347.0;350.0;62.0;-177;294.0;637.0
1;-332.0;416.0;57.0;-177;321.0;650.0
-5;-298.0;408.0;37.0;-177;315.0;634.0
-5;-348.0;377.0;-22.0;-177;311.0;608.0
1;-381.0;323.0;-68.0;-177;318.0;605.0
0;-349.0;274.0;-80.0;-177;?;573.0
-2;-332.0;247.0;-79.0;-177;300.0;611.0
0;-363.0;218.0;-50.0;-177;253.0;588.0
5;-360.0;208.0;-46.0;-177;246.0;577.0
7;-336.0;200.0;-13.0;-177;262.0;512.0
2;-321.0;227.0;?;-177;259.0;551.0
0;-253.0;?;-41.0;-177;236.0;533.0
0;-333.0;253.0;-20.0;-177;211.0;557.0
-1;-326.0;233.0;-19.0;-177;198.0;503.0
0;-373.0;263.0;10.0;-177;200.0;549.0
-1;-332.0;272.0;36.0;-177;197.0;569.0
3;-349.0;294.0;9.0;?;193.0;560.0
7;-359.0;299.0;4.0;-177;198.0;574.0
1;-355.0;300.0;-18.0;-177;200.0;591.0
-3;-362.0;283.0;5.0;-177;212.0;614.0
0;-351.0;289.0;-4.0;-177;?;?
?;-359.0;301.0;-16.0;-177;250.0;582.0
-3;-258.0;305.0;-32.0;-177;263.0;593.0
4;-298.0;302.0;-14.0;-177;266.0;633.0
?;-323.0;279.0;21.0;-177;273.0;661.0
-3;-350.0;300.0;24.0;-177;292.0;615.0
-3;-373.0;?;5.0;-177;322.0;596.0
-2;-353.0;?;-24.0;-177;316.0;618.0
1;-329.0;306.0;-22.0;-177;286.0;622.0
3;-332.0;262.0;-18.0;-177;279.0;?
1;-373.0;270.0;?;-177;?;540.0
4;-359.0;251.0;-27.0;-177;289.0;521.0
0;-300.0;253.0;-28.0;-177;276.0;563.0
-5;-297.0;251.0;14.0;-177;262.0;556.0
0;-339.0;256.0;42.0;-177;240.0;569.0
-1;-369.0;299.0;33.0;-177;260.0;570.0
-4;-314.0;319.0;22.0;-177;274.0;555.0
2;-318.0;305.0;-10.0;-177;224.0;588.0
0;-383.0;289.0;-12.0;-177;224.0;566.0
-1;-377.0;280.0;-56.0;-177;248.0;567.0
3;-393.0;275.0;-51.0;-177;253.0;597.0
-2;-375.0;264.0;-24.0;-177;227.0;588.0
-2;-336.0;260.0;5.0;-177;215.0;564.0
2;-364.0;279.0;-26.0;-177;239.0;557.0
-1;-359.0;281.0;-12.0;-177;243.0;570.0
?;-410.0;271.0;-18.0;-177;228.0;551.0
-2;-532.0;252.0;-28.0;-177;235.0;539.0
-5;-722.0;252.0;-18.0;?;223.0;393.0
2;-542.0;251.0;-36.0;-177;208.0;269.0
-7;?;233.0;-92.0;-177;101.0;540.0
-6;539.0;180.0;-174.0;-177;-86.0;1001.0
-5;282.0;134.0;?;-177;-143.0;892.0
-5;-71.0;66.0;185.0;-177;462.0;680.0
0;-183.0;?;174.0;-177;1182.0;693.0
-3;-57.0;?;74.0;-177;?;658.0
3;-30.0;621.0;-47.0;-177;529.0;667.0
6;-43.0;436.0;-2.0;-177;436.0;638.0
4;15.0;344.0;?;-177;488.0;593.0
6;-30.0;375.0;19.0;-177;531.0;619.0
6;-5.0;408.0;19.0;-177;501.0;642.0
3;67.0;414.0;62.0;-177;466.0;657.0
1;-66.0;455.0;92.0;-177;505.0;692.0
2;-20.0;478.0;94.0;-177;528.0;693.0
0;-36.0;511.0;74.0;-177;517.0;742.0
?;-32.0;500.0;45.0;-177;506.0;722.0
5;-93.0;529.0;40.0;-177;531.0;716.0
1;-103.0;486.0;47.0;-177;571.0;680.0
2;-151.0;495.0;50.0;-177;548.0;709.0
?;-120.0;483.0;74.0;-177;504.0;677.0
2;-184.0;496.0;61.0;-177;487.0;672.0
3;-196.0;470.0;0.0;-177;470.0;?
2;-340.0;?;-18.0;-177;480.0;648.0
-1;-367.0;419.0;10.0;-177;468.0;607.0
4;-396.0;428.0;?;-177;418.0;628.0
4;-388.0;381.0;-102.0;-177;357.0;655.0
-5;-411.0;327.0;-62.0;-177;311.0;684.0
-3;-370.0;265.0;-76.0;-177;302.0;625.0
3;-315.0;262.0;-14.0;-177;?;651.0
1;?;243.0;-55.0;-177;299.0;621.0
-1;-323.0;272.0;-17.0;-177;336.0;653.0
2;-325.0;262.0;-13.0;-177;337.0;612.0
-1;-324.0;?;?;-177;323.0;592.0
4;-339.0;275.0;-41.0;-177;319.0;566.0
9;-322.0;272.0;-35.0;-177;309.0;542.0
1;-299.0;263.0;-71.0;-177;295.0;562.0
0;-267.0;225.0;-27.0;?;267.0;536.0
-3;-285.0;233.0;-27.0;-177;253.0;?
-6;-274.0;220.0;-11.0;-177;261.0;528.0
3;-288.0;258.0;-14.0;-177;253.0;534.0
1;-312.0;260.0;-17.0;-177;243.0;554.0
-3;-337.0;?;0.0;-177;239.0;556.0
7;-335.0;270.0;-60.0;-177;?;529.0
7;-360.0;272.0;-20.0;-177;241.0;574.0
4;-363.0;242.0;-63.0;-177;223.0;611.0
5;-362.0;263.0;-4.0;-177;226.0;590.0
-1;-322.0;270.0;19.0;-177;241.0;581.0
1;-314.0;275.0;-4.0;-177;268.0;593.0
2;-348.0;304.0;-50.0;-177;287.0;618.0
-7;-374.0;291.0;-45.0;-177;302.0;643.0
-7;-307.0;267.0;?;-177;286.0;620.0
1;-309.0;275.0;20.0;-177;285.0;614.0
6;-313.0;288.0;-8.0;-177;297.0;618.0
6;-288.0;310.0;-13.0;-177;317.0;608.0
0;-303.0;293.0;-33.0;-177;311.0;609.0
?;-291.0;266.0;5.0;-177;303.0;579.0
1;-243.0;258.0;-6.0;-177;302.0;567.0
-3;-300.0;291.0;11.0;-177;321.0;571.0
