InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-544.0;-535.0;290.0;-657.0;572.0;-264.0;241.0
-526.0;-534.0;301.0;-678.0;574.0;-267.0;236.0
-506.0;-535.0;316.0;-701.0;573.0;-273.0;223.0
-487.0;-541.0;337.0;-721.0;567.0;-278.0;201.0
-466.0;-551.0;?;-744.0;554.0;-288.0;171.0
?;-564.0;395.0;-768.0;535.0;-304.0;134.0
?;-577.0;429.0;-791.0;512.0;-324.0;92.0
-393.0;-588.0;463.0;-810.0;?;-344.0;46.0
-369.0;-598.0;494.0;-821.0;453.0;-364.0;?
-344.0;-608.0;524.0;-826.0;416.0;-384.0;-55.0
-319.0;-616.0;549.0;-824.0;375.0;-406.0;-110.0
-294.0;-621.0;570.0;-816.0;328.0;-428.0;-166.0
-272.0;-624.0;590.0;-800.0;277.0;-452.0;-220.0
-253.0;-625.0;606.0;-777.0;222.0;-477.0;-272.0
?;-623.0;621.0;-750.0;163.0;-501.0;-321.0
-229.0;-620.0;636.0;-720.0;102.0;-527.0;-366.0
-224.0;-615.0;648.0;-687.0;44.0;-552.0;-407.0
-226.0;-609.0;653.0;-654.0;?;-575.0;-440.0
-230.0;-603.0;649.0;-628.0;-39.0;-589.0;-464.0
-231.0;-595.0;642.0;-608.0;-59.0;?;-479.0
-233.0;-590.0;638.0;-597.0;-71.0;-595.0;-483.0
-239.0;-594.0;640.0;-593.0;-76.0;-595.0;-478.0
-246.0;-600.0;646.0;-594.0;-76.0;-599.0;-470.0
-255.0;-605.0;649.0;-598.0;-69.0;-604.0;-461.0
-260.0;-608.0;653.0;-605.0;-59.0;-605.0;-451.0
-265.0;-613.0;660.0;-611.0;-49.0;-609.0;?
-274.0;-621.0;672.0;-615.0;-40.0;-619.0;-422.0
-605.0;-524.0;257.0;-699.0;551.0;-285.0;205.0
-587.0;-517.0;259.0;-712.0;550.0;-279.0;198.0
-564.0;-506.0;259.0;-731.0;547.0;-269.0;184.0
-544.0;-496.0;255.0;-749.0;539.0;-254.0;159.0
-526.0;-489.0;249.0;-761.0;524.0;-234.0;122.0
-509.0;-486.0;238.0;-765.0;499.0;-212.0;79.0
-492.0;-484.0;223.0;-756.0;468.0;-183.0;32.0
-476.0;-474.0;205.0;-730.0;429.0;-148.0;-12.0
-459.0;-460.0;183.0;-686.0;389.0;-115.0;-53.0
-438.0;-447.0;166.0;-630.0;?;-83.0;-89.0
-404.0;-432.0;154.0;-562.0;290.0;-47.0;-119.0
-355.0;-411.0;152.0;-480.0;232.0;-11.0;-145.0
-306.0;-393.0;153.0;-390.0;182.0;17.0;-172.0
-265.0;-375.0;144.0;-305.0;?;?;?
-232.0;-359.0;139.0;-227.0;85.0;46.0;-220.0
-204.0;-351.0;?;?;42.0;49.0;-247.0
-185.0;-344.0;130.0;-110.0;1.0;45.0;-275.0
-171.0;-336.0;130.0;-80.0;-33.0;40.0;-297.0
-157.0;-329.0;132.0;-63.0;-58.0;35.0;-316.0
-146.0;-323.0;134.0;-55.0;-76.0;28.0;-330.0
-135.0;-317.0;136.0;?;-88.0;?;-337.0
-123.0;?;139.0;-45.0;-96.0;4.0;-338.0
-112.0;?;?;-49.0;-95.0;-8.0;-335.0
-106.0;-304.0;137.0;-64.0;-83.0;-13.0;-329.0
-105.0;-302.0;131.0;-87.0;-64.0;?;?
-111.0;-301.0;122.0;-114.0;-42.0;-15.0;-316.0
-121.0;-301.0;115.0;-142.0;-20.0;-19.0;?
-134.0;-304.0;109.0;-169.0;2.0;-26.0;-310.0
-147.0;?;105.0;-191.0;20.0;-36.0;-306.0
-158.0;-311.0;104.0;-210.0;36.0;-50.0;?
-165.0;-315.0;105.0;-226.0;50.0;-63.0;-298.0
-167.0;-316.0;107.0;-240.0;61.0;-74.0;-292.0
-164.0;-314.0;109.0;-251.0;69.0;-81.0;-285.0
-157.0;-310.0;110.0;-262.0;76.0;-84.0;-279.0
-147.0;-307.0;109.0;-270.0;81.0;-83.0;-275.0
-137.0;-305.0;?;-274.0;85.0;-78.0;-274.0
-126.0;-303.0;103.0;-275.0;86.0;-70.0;-273.0
-114.0;-299.0;?;-270.0;85.0;-61.0;-271.0
-101.0;-294.0;94.0;-263.0;80.0;-50.0;-271.0
-89.0;-291.0;88.0;-253.0;75.0;-38.0;-273.0
-78.0;-291.0;82.0;-241.0;69.0;-25.0;-276.0
-70.0;-292.0;77.0;-230.0;62.0;-11.0;-280.0
-65.0;-294.0;75.0;-220.0;53.0;2.0;-283.0
-62.0;-295.0;74.0;-209.0;43.0;12.0;-286.0
-59.0;-295.0;72.0;-197.0;36.0;?;-287.0
-58.0;-295.0;?;-187.0;30.0;22.0;-289.0
-60.0;-297.0;71.0;-182.0;?;23.0;-290.0
-64.0;-300.0;75.0;-177.0;18.0;20.0;-290.0
-68.0;-304.0;81.0;-172.0;12.0;13.0;-289.0
-71.0;-307.0;88.0;-168.0;6.0;2.0;-287.0
-71.0;-308.0;98.0;-167.0;2.0;-11.0;-283.0
-71.0;-309.0;107.0;-167.0;0.0;-23.0;?
-69.0;-309.0;116.0;-170.0;1.0;-28.0;-270.0
-65.0;-305.0;120.0;-178.0;8.0;?;-261.0
-60.0;-301.0;119.0;-190.0;17.0;-31.0;-253.0
-58.0;-298.0;120.0;-200.0;23.0;-33.0;-244.0
-60.0;-296.0;122.0;?;28.0;?;-243.0
-64.0;-301.0;131.0;?;36.0;-43.0;-230.0
-56.0;-295.0;131.0;-217.0;45.0;-41.0;-214.0
-52.0;-298.0;129.0;-218.0;?;-39.0;-212.0
-57.0;-301.0;129.0;-218.0;40.0;-41.0;-212.0
-64.0;-308.0;122.0;-220.0;41.0;-42.0;-216.0
-77.0;?;110.0;-234.0;49.0;-40.0;-221.0
-89.0;-327.0;103.0;-260.0;54.0;-33.0;-225.0
-96.0;-333.0;100.0;-277.0;60.0;-23.0;-226.0
-99.0;-335.0;97.0;-281.0;67.0;-18.0;-227.0
-98.0;-335.0;92.0;-283.0;74.0;-16.0;-228.0
-93.0;-334.0;88.0;?;81.0;-11.0;-229.0
-87.0;-335.0;86.0;-293.0;87.0;-4.0;-231.0
-83.0;-337.0;86.0;-294.0;89.0;0.0;-235.0
-81.0;-338.0;88.0;-289.0;87.0;2.0;-239.0
-79.0;?;91.0;-282.0;84.0;2.0;-243.0
-78.0;?;93.0;-276.0;81.0;2.0;-246.0
-76.0;-342.0;95.0;-270.0;78.0;4.0;-251.0
-76.0;-345.0;97.0;-264.0;75.0;6.0;-255.0
-76.0;-347.0;97.0;-257.0;71.0;10.0;-258.0
?;-348.0;97.0;-250.0;68.0;13.0;-261.0
?;-348.0;95.0;-244.0;65.0;17.0;?
-79.0;-350.0;?;-239.0;62.0;21.0;-265.0
-79.0;-350.0;90.0;-233.0;57.0;23.0;-268.0
-80.0;?;?;-229.0;54.0;25.0;-271.0
?;-348.0;83.0;-227.0;53.0;27.0;-273.0
-82.0;-346.0;78.0;-227.0;54.0;29.0;-275.0
-83.0;-343.0;74.0;-230.0;56.0;31.0;-277.0
-82.0;-339.0;70.0;-234.0;59.0;33.0;-278.0
-78.0;-333.0;65.0;-239.0;62.0;33.0;-278.0
-74.0;-325.0;62.0;-243.0;67.0;33.0;-277.0
-68.0;-316.0;59.0;?;71.0;32.0;-276.0
-61.0;-308.0;58.0;-254.0;75.0;30.0;?
-56.0;-301.0;56.0;?;79.0;30.0;-274.0
-53.0;-298.0;54.0;-264.0;85.0;30.0;-274.0
-52.0;-296.0;54.0;-268.0;88.0;31.0;-275.0
-51.0;-295.0;54.0;-269.0;90.0;31.0;-274.0
?;-293.0;54.0;-270.0;91.0;29.0;-273.0
-45.0;-291.0;54.0;-271.0;92.0;28.0;-271.0
-43.0;-291.0;54.0;-271.0;91.0;27.0;-270.0
-42.0;-291.0;55.0;-271.0;90.0;26.0;-269.0
-42.0;-292.0;57.0;-270.0;88.0;?;-267.0
-42.0;-293.0;59.0;-267.0;86.0;24.0;-265.0
-44.0;-296.0;62.0;-264.0;?;23.0;-264.0
-47.0;-299.0;65.0;?;81.0;22.0;?
-49.0;-302.0;68.0;-259.0;78.0;21.0;-262.0
-51.0;-304.0;72.0;-256.0;75.0;18.0;-259.0
-52.0;-306.0;78.0;-253.0;72.0;13.0;-256.0
-52.0;-306.0;84.0;-250.0;69.0;8.0;-253.0
?;?;91.0;-248.0;?;1.0;-249.0
-51.0;-306.0;98.0;-245.0;61.0;-7.0;-246.0
-51.0;-305.0;106.0;-243.0;?;-18.0;-245.0
-55.0;-308.0;118.0;-243.0;53.0;-26.0;-243.0
-49.0;-306.0;122.0;-239.0;56.0;-24.0;?
-45.0;-306.0;116.0;-236.0;56.0;?;-232.0
-47.0;-304.0;113.0;-237.0;57.0;-22.0;-235.0
-48.0;-300.0;106.0;-245.0;63.0;-17.0;-236.0
-48.0;-299.0;99.0;-259.0;70.0;-14.0;-236.0
-45.0;-299.0;99.0;-274.0;72.0;-11.0;-231.0
-39.0;-298.0;99.0;-281.0;74.0;-12.0;-226.0
?;-295.0;99.0;-283.0;73.0;-18.0;-226.0
-37.0;-290.0;100.0;-287.0;74.0;-23.0;-225.0
-37.0;-285.0;103.0;-293.0;76.0;-24.0;-223.0
?;-282.0;106.0;-295.0;78.0;-23.0;-224.0
-42.0;-281.0;107.0;-295.0;81.0;-20.0;-226.0
-49.0;-282.0;107.0;-295.0;84.0;-15.0;-228.0
-55.0;-284.0;105.0;?;86.0;-9.0;-230.0
-58.0;-285.0;105.0;?;86.0;-4.0;-230.0
-58.0;-285.0;107.0;-285.0;83.0;-2.0;-230.0
-56.0;-284.0;110.0;-278.0;79.0;-1.0;-230.0
-53.0;-283.0;113.0;-271.0;73.0;-2.0;-231.0
-50.0;-282.0;116.0;-263.0;67.0;-2.0;-232.0
-47.0;-280.0;119.0;-256.0;61.0;-3.0;-234.0
-42.0;-279.0;121.0;-248.0;55.0;-4.0;-235.0
-37.0;-278.0;122.0;-239.0;48.0;-3.0;-237.0
-33.0;-278.0;121.0;-232.0;42.0;-2.0;-240.0
-32.0;-278.0;119.0;-225.0;37.0;1.0;-246.0
-32.0;-278.0;115.0;-222.0;34.0;4.0;-250.0
-32.0;-278.0;110.0;?;32.0;9.0;-254.0
-31.0;-279.0;104.0;-219.0;32.0;14.0;-256.0
-31.0;-280.0;96.0;-219.0;35.0;19.0;-260.0
-31.0;-281.0;88.0;-221.0;38.0;?;-262.0
-32.0;-282.0;81.0;-225.0;42.0;28.0;?
-33.0;-282.0;76.0;-228.0;45.0;30.0;-267.0
-34.0;-282.0;71.0;-232.0;48.0;31.0;-270.0
-35.0;-282.0;66.0;-237.0;53.0;32.0;-273.0
-36.0;-281.0;?;-243.0;59.0;34.0;-276.0
-36.0;-281.0;53.0;-249.0;66.0;37.0;-279.0
-35.0;-282.0;48.0;-255.0;72.0;39.0;-281.0
?;-283.0;42.0;-262.0;79.0;43.0;?
-35.0;-284.0;36.0;-270.0;86.0;46.0;-286.0
-35.0;-285.0;32.0;-276.0;92.0;48.0;-288.0
-35.0;?;30.0;-281.0;96.0;49.0;-290.0
-35.0;-288.0;30.0;-283.0;?;49.0;-291.0
?;-290.0;31.0;-285.0;100.0;48.0;-292.0
-37.0;-291.0;34.0;-285.0;100.0;48.0;-292.0
-39.0;-294.0;36.0;-285.0;101.0;49.0;-295.0
-43.0;-297.0;36.0;-285.0;102.0;51.0;-298.0
-48.0;-302.0;?;-285.0;103.0;52.0;-301.0
-53.0;-307.0;39.0;-284.0;103.0;52.0;-303.0
-56.0;-309.0;44.0;-281.0;100.0;48.0;-302.0
-56.0;-309.0;?;-279.0;96.0;41.0;-298.0
-53.0;-307.0;61.0;-276.0;?;31.0;-292.0
-50.0;-305.0;72.0;-274.0;85.0;19.0;-288.0
-44.0;-303.0;84.0;-269.0;82.0;14.0;-273.0
?;-297.0;87.0;-263.0;78.0;11.0;?
-35.0;-300.0;89.0;-258.0;?;9.0;-262.0
-40.0;-300.0;86.0;-257.0;75.0;10.0;-262.0
-49.0;-305.0;78.0;-265.0;81.0;16.0;-264.0
?;-312.0;74.0;-280.0;85.0;20.0;-266.0
-72.0;-318.0;?;-292.0;92.0;26.0;-264.0
-78.0;-322.0;64.0;-299.0;99.0;29.0;-262.0
-81.0;-323.0;59.0;-307.0;104.0;29.0;-261.0
-82.0;-320.0;56.0;-317.0;110.0;30.0;-258.0
-80.0;-315.0;54.0;-324.0;116.0;29.0;-256.0
-76.0;-311.0;55.0;-327.0;120.0;28.0;-255.0
-75.0;?;56.0;-328.0;122.0;29.0;-257.0
-77.0;-312.0;?;-327.0;124.0;30.0;-259.0
-78.0;-314.0;55.0;?;125.0;32.0;-262.0
-76.0;-315.0;56.0;-324.0;125.0;36.0;-263.0
-71.0;-314.0;57.0;-320.0;123.0;39.0;-264.0
-65.0;-314.0;58.0;-314.0;119.0;41.0;-265.0
-60.0;-314.0;60.0;?;115.0;43.0;-267.0
-56.0;-315.0;60.0;-301.0;110.0;?;-269.0
-52.0;-314.0;62.0;-292.0;104.0;45.0;-273.0
-49.0;-314.0;64.0;?;96.0;45.0;?
-46.0;-312.0;?;-275.0;89.0;?;-276.0
-43.0;-310.0;65.0;?;83.0;46.0;-277.0
-41.0;-309.0;64.0;-261.0;77.0;?;-277.0
-40.0;-307.0;62.0;-254.0;72.0;51.0;-278.0
?;-305.0;61.0;-248.0;?;53.0;-279.0
-42.0;-305.0;57.0;-243.0;?;56.0;-281.0
-44.0;-305.0;53.0;-240.0;63.0;60.0;-282.0
-45.0;-305.0;50.0;-240.0;62.0;63.0;-282.0
-46.0;-305.0;46.0;-240.0;63.0;65.0;-283.0
-48.0;-306.0;41.0;-241.0;66.0;67.0;-285.0
-50.0;-306.0;37.0;-245.0;69.0;68.0;-287.0
-50.0;-305.0;33.0;-250.0;74.0;68.0;-288.0
-48.0;-302.0;29.0;-256.0;?;69.0;-289.0
-46.0;-299.0;23.0;-263.0;88.0;70.0;-289.0
-45.0;-297.0;18.0;-272.0;97.0;72.0;-292.0
-45.0;-298.0;12.0;-282.0;107.0;75.0;-294.0
-47.0;-301.0;6.0;-292.0;118.0;77.0;-298.0
-49.0;-304.0;3.0;?;126.0;78.0;-301.0
-49.0;-305.0;1.0;-307.0;131.0;?;-304.0
-46.0;?;1.0;-312.0;135.0;75.0;-304.0
-41.0;-301.0;1.0;-316.0;138.0;72.0;-302.0
-36.0;-301.0;2.0;-320.0;140.0;70.0;-301.0
-34.0;-302.0;4.0;-323.0;141.0;68.0;-301.0
?;-304.0;5.0;-324.0;140.0;67.0;?
-34.0;-304.0;8.0;-321.0;137.0;66.0;-298.0
?;-304.0;12.0;-318.0;135.0;67.0;-295.0
?;-307.0;14.0;-315.0;133.0;68.0;-292.0
-40.0;-311.0;17.0;-312.0;130.0;69.0;-290.0
-46.0;-316.0;22.0;-306.0;124.0;69.0;-288.0
-53.0;-321.0;28.0;-299.0;119.0;67.0;-286.0
-58.0;-324.0;35.0;-294.0;115.0;64.0;-283.0
-63.0;-325.0;43.0;-291.0;111.0;60.0;-279.0
-67.0;-327.0;52.0;-290.0;109.0;52.0;-278.0
-67.0;-328.0;61.0;-286.0;114.0;53.0;-265.0
-63.0;?;58.0;-284.0;?;55.0;-261.0
-66.0;-331.0;56.0;-285.0;119.0;55.0;-264.0
-70.0;-335.0;52.0;-293.0;126.0;59.0;-267.0
-76.0;-341.0;44.0;-309.0;136.0;62.0;-271.0
-81.0;-350.0;42.0;-327.0;144.0;64.0;-272.0
-84.0;-358.0;38.0;-340.0;155.0;?;-272.0
-87.0;-366.0;31.0;-352.0;167.0;63.0;-276.0
-90.0;-368.0;?;-369.0;178.0;60.0;-280.0
-92.0;-366.0;22.0;-384.0;188.0;58.0;-282.0
-90.0;-363.0;21.0;-395.0;197.0;56.0;-281.0
-86.0;-361.0;?;-400.0;202.0;52.0;-280.0
-83.0;-359.0;24.0;-403.0;204.0;49.0;-279.0
-82.0;-358.0;25.0;-404.0;204.0;48.0;-278.0
-80.0;?;26.0;-403.0;202.0;49.0;-277.0
-78.0;-356.0;27.0;-399.0;197.0;52.0;-276.0
-76.0;-354.0;28.0;?;192.0;?;-275.0
-76.0;-353.0;28.0;-383.0;186.0;64.0;-275.0
-79.0;-355.0;27.0;-373.0;180.0;72.0;-276.0
-82.0;-357.0;25.0;-363.0;174.0;?;-278.0
-83.0;-360.0;?;-352.0;167.0;91.0;-278.0
-82.0;-361.0;21.0;-341.0;161.0;99.0;-278.0
-82.0;?;20.0;-330.0;155.0;104.0;-279.0
-81.0;-363.0;19.0;-322.0;149.0;108.0;-281.0
-80.0;-362.0;20.0;-314.0;142.0;109.0;-283.0
-78.0;-360.0;23.0;-306.0;135.0;107.0;-285.0
-75.0;-357.0;26.0;-299.0;128.0;?;-287.0
-70.0;-351.0;29.0;-293.0;124.0;100.0;-288.0
-65.0;-345.0;29.0;-291.0;122.0;99.0;-289.0
-59.0;-339.0;27.0;-291.0;122.0;99.0;-289.0
?;?;23.0;-292.0;123.0;100.0;-291.0
-50.0;-329.0;20.0;-293.0;124.0;100.0;-292.0
?;-324.0;17.0;-294.0;125.0;100.0;-294.0
-47.0;-321.0;12.0;-297.0;127.0;100.0;-296.0
-48.0;-319.0;6.0;-302.0;131.0;101.0;-298.0
-48.0;-316.0;1.0;-307.0;135.0;103.0;-300.0
-46.0;-314.0;-4.0;-311.0;139.0;104.0;-301.0
?;-311.0;-9.0;-314.0;143.0;105.0;-301.0
-42.0;-308.0;?;-319.0;149.0;?;-302.0
-40.0;-303.0;-22.0;-325.0;155.0;112.0;-302.0
-35.0;-299.0;-28.0;-330.0;161.0;116.0;-302.0
-31.0;-297.0;-34.0;-335.0;166.0;119.0;-302.0
-29.0;-296.0;-36.0;-336.0;166.0;120.0;-303.0
-28.0;-296.0;-36.0;-336.0;164.0;118.0;-305.0
-29.0;-298.0;-35.0;-335.0;163.0;117.0;-307.0
-30.0;-299.0;-35.0;-335.0;162.0;118.0;-309.0
-33.0;-301.0;-34.0;-335.0;161.0;119.0;-310.0
-36.0;-303.0;-33.0;-333.0;161.0;120.0;-310.0
?;-305.0;-31.0;-331.0;160.0;121.0;-309.0
-39.0;-306.0;-29.0;-329.0;159.0;122.0;-308.0
-40.0;-306.0;-27.0;-326.0;157.0;123.0;-306.0
-41.0;-306.0;-24.0;-323.0;154.0;122.0;-305.0
-43.0;-306.0;-20.0;-319.0;150.0;119.0;?
-45.0;-307.0;-16.0;-316.0;147.0;116.0;?
?;-308.0;-12.0;-315.0;145.0;114.0;-301.0
-46.0;-306.0;-9.0;-315.0;146.0;111.0;-296.0
-43.0;-304.0;-6.0;-318.0;148.0;108.0;-290.0
-44.0;-306.0;1.0;-321.0;150.0;104.0;-287.0
?;-310.0;7.0;-320.0;154.0;105.0;-277.0
-47.0;-315.0;4.0;-320.0;158.0;104.0;-275.0
-53.0;?;2.0;-324.0;163.0;103.0;-276.0
-63.0;-336.0;-1.0;-337.0;174.0;104.0;-280.0
-77.0;-350.0;-5.0;-361.0;188.0;106.0;-286.0
-91.0;-361.0;-6.0;-388.0;203.0;109.0;-291.0
-99.0;-368.0;?;-409.0;216.0;107.0;-292.0
-100.0;-369.0;-9.0;-424.0;224.0;100.0;-290.0
-93.0;-365.0;-7.0;-437.0;230.0;88.0;-285.0
-83.0;-359.0;-1.0;-453.0;231.0;72.0;-279.0
-75.0;-353.0;11.0;-467.0;226.0;52.0;-277.0
-71.0;-348.0;30.0;-476.0;216.0;21.0;-276.0
-71.0;-345.0;56.0;-484.0;209.0;-14.0;-276.0
-73.0;-343.0;81.0;-497.0;205.0;-49.0;-277.0
-72.0;-341.0;104.0;-514.0;206.0;-83.0;-276.0
-69.0;-335.0;?;-528.0;211.0;-119.0;-273.0
-62.0;-327.0;151.0;-541.0;216.0;-155.0;-268.0
-53.0;-318.0;180.0;-552.0;222.0;-189.0;-263.0
-44.0;-310.0;214.0;-566.0;225.0;-220.0;-257.0
-36.0;-304.0;248.0;-580.0;232.0;-248.0;-252.0
-33.0;-300.0;282.0;-596.0;238.0;-268.0;-248.0
-31.0;-298.0;315.0;-613.0;245.0;-284.0;-244.0
-31.0;-298.0;347.0;-630.0;251.0;-296.0;-242.0
?;-300.0;375.0;?;260.0;-304.0;-240.0
-35.0;?;401.0;-660.0;267.0;-310.0;-239.0
-38.0;-304.0;430.0;-672.0;268.0;-313.0;-237.0
-39.0;-305.0;459.0;-689.0;266.0;-318.0;-235.0
-39.0;-305.0;484.0;-701.0;263.0;-324.0;-231.0
?;-305.0;504.0;-709.0;263.0;-328.0;-228.0
-36.0;-304.0;516.0;-715.0;263.0;-328.0;-226.0
-37.0;-305.0;523.0;-722.0;265.0;?;-226.0
-39.0;-307.0;527.0;-727.0;267.0;?;?
-41.0;-309.0;529.0;-729.0;269.0;-331.0;-227.0
-42.0;-310.0;529.0;-731.0;272.0;-328.0;-227.0
-42.0;-311.0;528.0;-733.0;276.0;-323.0;-228.0
-42.0;-312.0;527.0;-735.0;279.0;-319.0;-229.0
-40.0;-313.0;526.0;-736.0;282.0;-315.0;-230.0
-38.0;-314.0;524.0;-737.0;286.0;-311.0;-230.0
-36.0;-313.0;522.0;-739.0;289.0;-307.0;-230.0
-35.0;-312.0;520.0;-740.0;291.0;-304.0;-230.0
-35.0;-313.0;517.0;-740.0;293.0;-300.0;-230.0
-35.0;-315.0;514.0;?;295.0;-298.0;?
-36.0;-315.0;?;-739.0;295.0;-296.0;-230.0
-36.0;-314.0;509.0;-739.0;296.0;-294.0;?
-36.0;-312.0;507.0;-739.0;296.0;-293.0;-229.0
-37.0;-311.0;506.0;-737.0;294.0;-294.0;-228.0
-38.0;-311.0;505.0;-736.0;291.0;-295.0;-227.0
-37.0;?;502.0;-734.0;289.0;-297.0;-225.0
-37.0;-310.0;500.0;-732.0;286.0;-299.0;-223.0
-36.0;-310.0;495.0;-728.0;283.0;-301.0;-222.0
-35.0;-311.0;489.0;-726.0;279.0;-301.0;-221.0
-35.0;-310.0;481.0;?;272.0;-304.0;-221.0
-35.0;-311.0;469.0;-730.0;262.0;-308.0;-221.0
-37.0;-314.0;?;-733.0;250.0;-314.0;-222.0
-40.0;-318.0;431.0;-733.0;238.0;-317.0;-224.0
-43.0;-321.0;407.0;-731.0;221.0;-321.0;-224.0
?;-324.0;379.0;-720.0;205.0;-318.0;-225.0
-47.0;?;346.0;-693.0;190.0;-301.0;?
-49.0;?;313.0;-653.0;176.0;-273.0;-229.0
-53.0;-333.0;277.0;-608.0;168.0;?;-233.0
?;-336.0;242.0;-571.0;157.0;-196.0;-236.0
-60.0;-339.0;?;-533.0;142.0;-141.0;-240.0
-62.0;-342.0;200.0;-481.0;129.0;?;-245.0
-65.0;-345.0;174.0;-426.0;120.0;-16.0;-250.0
-67.0;-348.0;141.0;-368.0;110.0;39.0;-254.0
-69.0;-352.0;102.0;-313.0;95.0;83.0;-259.0
-71.0;-356.0;71.0;-270.0;78.0;114.0;-265.0
-74.0;-361.0;53.0;-248.0;54.0;134.0;-272.0
-76.0;-364.0;48.0;-237.0;30.0;139.0;-278.0
-76.0;-365.0;52.0;-224.0;10.0;125.0;-282.0
-71.0;-361.0;57.0;-211.0;-1.0;100.0;-281.0
-62.0;-356.0;67.0;-207.0;-6.0;77.0;-278.0
-50.0;-351.0;80.0;-215.0;-6.0;61.0;-272.0
?;-346.0;90.0;-227.0;2.0;49.0;-267.0
-33.0;-340.0;96.0;-244.0;17.0;42.0;-262.0
-30.0;-337.0;99.0;-261.0;32.0;36.0;?
-31.0;-335.0;100.0;-277.0;47.0;29.0;-255.0
-35.0;-334.0;101.0;-290.0;61.0;22.0;-251.0
-42.0;-334.0;104.0;-299.0;70.0;14.0;-248.0
-50.0;-336.0;107.0;-305.0;77.0;6.0;-246.0
-59.0;-337.0;109.0;-307.0;83.0;-1.0;-244.0
-66.0;-339.0;110.0;-310.0;88.0;-3.0;-241.0
-73.0;-340.0;108.0;-313.0;93.0;0.0;-240.0
-79.0;-342.0;103.0;-316.0;98.0;8.0;-239.0
-83.0;-344.0;96.0;-317.0;103.0;20.0;-239.0
-85.0;-346.0;86.0;-318.0;107.0;33.0;-238.0
-84.0;-347.0;75.0;-318.0;110.0;46.0;-238.0
-82.0;-348.0;67.0;-316.0;110.0;56.0;-238.0
-78.0;-350.0;60.0;-313.0;107.0;65.0;-240.0
