Accelerometer RKN_ accY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Nav_Ax
972.0;28.0;-16;15;653;736;16;-11
977.0;-8.0;19;18;656;730;-19;-1
958.0;-36.0;0;24;667;713;0;4
963.0;15.0;13;17;662;725;-13;-4
1007.0;22.0;-1;24;654;725;1;-2
995.0;29.0;-2;19;657;729;2;-5
965.0;32.0;12;15;659;731;-12;-3
997.0;5.0;19;23;661;719;-19;-2
956.0;80.0;33;22;650;732;-33;-3
993.0;-16.0;-32;17;662;728;32;3
1003.0;95.0;25;19;661;725;-25;-1
969.0;68.0;-6;16;663;727;6;0
966.0;8.0;30;19;662;724;-30;-1
969.0;2.0;16;26;656;721;-16;-2
974.0;4.0;-8;19;660;726;8;-2
992.0;-11.0;7;24;654;724;-7;-3
979.0;-212.0;2;19;662;725;-2;5
985.0;-32.0;8;20;662;723;-8;2
978.0;-19.0;25;18;659;728;-25;-2
973.0;-32.0;23;18;659;727;-23;-1
970.0;-26.0;24;18;659;727;-24;-1
974.0;78.0;0;19;662;723;0;-6
546.0;243.0;2;15;673;719;-2;-2
983.0;45.0;11;13;657;736;-11;0
964.0;38.0;9;21;655;727;-9;1
990.0;56.0;-6;18;658;730;6;2
988.0;-14.0;22;14;662;732;-22;0
971.0;19.0;8;25;657;720;-8;1
988.0;18.0;22;18;659;728;-22;3
974.0;26.0;1;21;667;717;-1;2
953.0;51.0;18;24;657;720;-18;-6
960.0;36.0;53;15;673;716;-53;-2
979.0;3.0;26;19;669;716;-26;11
881.0;35.0;4;19;663;720;-4;0
956.0;2.0;-6;19;659;726;6;-1
966.0;-27.0;23;18;660;727;-23;-1
960.0;6.0;-8;21;671;713;8;12
991.0;22.0;13;16;663;726;-13;3
983.0;15.0;23;18;660;728;-23;-1
848.0;-62.0;-4;12;750;643;4;0
949.0;-13.0;2;21;671;713;-2;13
972.0;130.0;-11;21;654;728;11;6
1113.0;74.0;43;14;673;725;-43;-4
990.0;32.0;23;18;660;727;-23;-1
974.0;86.0;23;18;659;727;-23;-1
967.0;19.0;-22;20;662;723;22;-3
962.0;22.0;2;20;657;726;-2;-8
979.0;-4.0;18;17;655;733;-18;-1
981.0;50.0;-11;21;656;726;11;-1
988.0;12.0;23;18;659;727;-23;-1
981.0;8.0;23;19;659;727;-23;0
978.0;23.0;24;18;660;728;-24;-3
959.0;41.0;23;15;660;732;-23;-11
999.0;-4.0;20;25;657;719;-20;1
988.0;25.0;19;25;652;725;-19;1
970.0;28.0;4;23;658;723;-4;1
978.0;26.0;4;19;656;730;-4;-3
970.0;-35.0;7;18;658;729;-7;-2
984.0;-19.0;-2;16;660;729;2;-1
971.0;-23.0;23;11;666;731;-23;-7
966.0;31.0;12;-3;680;736;-12;8
979.0;35.0;1;22;660;721;-1;2
960.0;-27.0;31;15;665;726;-31;0
1180.0;8.0;1;18;656;731;-1;-5
962.0;69.0;-5;14;680;713;5;11
957.0;45.0;23;14;667;726;-23;4
948.0;-37.0;54;13;669;726;-54;0
985.0;7.0;-5;20;681;705;5;9
951.0;15.0;18;21;663;720;-18;4
978.0;-13.0;9;21;661;723;-9;-8
983.0;49.0;11;16;661;729;-11;0
917.0;-148.0;5;16;667;722;-5;2
964.0;-35.0;11;18;657;730;-11;9
996.0;86.0;67;120;670;732;-67;-311
963.0;30.0;-23;20;658;727;23;5
979.0;63.0;13;17;671;720;-13;0
747.0;-52.0;-55;-308;1069;761;55;-414
969.0;104.0;-34;23;699;680;34;-10
999.0;-19.0;15;23;664;717;-15;6
989.0;93.0;-69;13;655;738;69;1
976.0;-10.0;-21;18;680;707;21;-3
970.0;19.0;-7;19;661;725;7;-3
972.0;-1.0;12;22;675;708;-12;2
950.0;21.0;-9;17;665;723;9;-1
964.0;40.0;-20;23;652;728;20;-2
988.0;48.0;-3;18;676;712;3;6
959.0;63.0;-17;12;665;731;17;-7
980.0;43.0;-9;16;667;724;9;-2
988.0;64.0;-13;19;677;709;13;4
989.0;64.0;0;20;660;725;0;-8
985.0;55.0;0;18;666;722;0;1
1003.0;42.0;1;19;661;725;-1;1
935.0;-12.0;41;15;666;727;-41;2
984.0;-60.0;-33;19;654;731;33;3
985.0;17.0;-29;21;671;713;29;-3
962.0;-28.0;0;12;661;734;0;-1
969.0;-22.0;-7;22;655;726;7;3
962.0;17.0;21;19;655;730;-21;-2
970.0;-10.0;12;20;647;736;-12;-2
682.0;-317.0;-5;17;694;697;5;-1
979.0;15.0;-1;21;651;732;1;-3
982.0;-19.0;38;25;656;721;-38;4
1000.0;-8.0;-241;-13;712;723;241;-31
978.0;15.0;-6;26;654;723;6;-4
970.0;6.0;9;22;658;724;-9;7
980.0;16.0;19;15;656;735;-19;-2
977.0;8.0;-9;17;654;735;9;-1
988.0;-45.0;5;16;658;732;-5;-6
897.0;75.0;-23;19;672;712;23;4
961.0;-17.0;-8;11;669;727;8;3
842.0;7.0;-18;12;750;643;18;4
910.0;1.0;-20;18;660;728;20;2
968.0;2.0;27;13;663;731;-27;9
964.0;152.0;122;15;679;726;-122;135
997.0;13.0;33;17;652;735;-33;-3
966.0;32.0;15;21;652;729;-15;4
968.0;3.0;-22;17;659;729;22;6
961.0;49.0;17;18;659;729;-17;-1
962.0;72.0;-11;39;637;717;11;-3
986.0;51.0;21;22;649;732;-21;-5
997.0;57.0;9;16;659;730;-9;-2
990.0;67.0;-21;17;654;733;21;-1
971.0;-4.0;14;18;658;730;-14;-5
374.0;47.0;-7;22;680;700;7;3
982.0;-27.0;22;25;670;709;-22;-3
974.0;13.0;11;14;678;716;-11;-5
997.0;82.0;-12;14;680;711;12;3
989.0;-33.0;-1;23;664;717;1;-1
1003.0;3.0;-7;20;656;728;7;-6
973.0;-17.0;28;25;654;723;-28;2
971.0;-16.0;0;21;655;727;0;4
984.0;-20.0;1;24;652;727;-1;5
996.0;-11.0;22;18;669;719;-22;6
985.0;-35.0;172;83;508;758;-172;-23
976.0;31.0;12;20;649;734;-12;-8
993.0;24.0;-19;20;652;733;19;-6
984.0;38.0;0;21;655;727;0;8
975.0;-30.0;0;9;664;735;0;2
963.0;30.0;13;13;663;731;-13;5
998.0;-22.0;68;19;659;725;-68;13
983.0;57.0;1;23;651;729;-1;5
965.0;48.0;26;24;649;728;-26;-3
978.0;18.0;20;22;650;730;-20;-3
967.0;55.0;-18;22;648;734;18;-3
983.0;-7.0;-12;16;657;732;12;-3
991.0;28.0;-7;16;654;735;7;-3
978.0;43.0;-6;15;658;732;6;0
988.0;58.0;14;20;656;730;-14;2
963.0;52.0;33;25;650;728;-33;1
961.0;35.0;30;23;652;727;-30;1
990.0;16.0;3;16;671;719;-3;3
998.0;44.0;11;13;679;718;-11;29
964.0;40.0;-19;20;654;731;19;-5
978.0;30.0;-1;14;674;719;1;6
965.0;74.0;-3;24;658;720;3;2
984.0;39.0;17;17;664;724;-17;3
973.0;53.0;11;19;663;723;-11;2
980.0;-27.0;3;22;652;730;-3;-1
965.0;-15.0;0;24;649;728;0;2
989.0;23.0;26;14;657;735;-26;-2
979.0;12.0;30;22;653;728;-30;-2
979.0;45.0;-4;18;662;723;4;-9
978.0;40.0;26;21;651;731;-26;0
980.0;22.0;5;19;653;732;-5;1
975.0;33.0;25;21;658;725;-25;6
986.0;26.0;-5;22;654;727;5;3
990.0;-36.0;-19;16;667;722;19;2
972.0;9.0;-9;26;651;725;9;-8
965.0;39.0;-18;14;660;733;18;2
987.0;27.0;-2;19;656;730;2;1
980.0;11.0;-8;15;658;733;8;0
988.0;16.0;22;15;655;735;-22;-1
990.0;43.0;-12;21;659;725;12;7
980.0;33.0;-9;19;654;731;9;9
966.0;37.0;-19;17;656;733;19;-6
986.0;58.0;4;17;656;732;-4;1
989.0;65.0;9;20;654;730;-9;7
980.0;-358.0;-3;17;662;726;3;2
989.0;-12.0;3;21;667;715;-3;-2
984.0;30.0;25;19;654;732;-25;4
961.0;-23.0;-3;16;661;729;3;-4
970.0;5.0;0;20;652;731;0;1
979.0;14.0;2;19;655;731;-2;3
995.0;114.0;-21;16;658;732;21;-4
982.0;4.0;53;57;648;689;-53;22
977.0;-37.0;24;17;667;721;-24;5
961.0;21.0;-15;22;658;722;15;-3
971.0;17.0;13;15;658;734;-13;0
990.0;38.0;39;18;655;731;-39;-1
979.0;5.0;-10;22;656;725;10;-4
980.0;-33.0;25;16;656;733;-25;-8
981.0;-35.0;16;20;653;731;-16;-7
986.0;67.0;13;23;666;715;-13;-3
1435.0;-319.0;7529;-942;1684;579;-7529;89
977.0;3.0;17;15;676;715;-17;1
998.0;30.0;-7;16;668;723;7;-4
991.0;-35.0;3;18;657;730;-3;1
966.0;24.0;3;17;669;719;-3;-3
979.0;-13.0;20;19;655;730;-20;-5
978.0;4.0;2;25;653;724;-2;1
969.0;2.0;8;21;657;726;-8;2
970.0;10.0;-5;13;661;734;5;-10
966.0;-27.0;20;19;656;729;-20;0
991.0;-6.0;4;17;677;711;-4;2
975.0;27.0;2;22;652;730;-2;2
964.0;57.0;28;17;656;732;-28;-4
958.0;20.0;-2;17;659;729;2;6
979.0;59.0;7;16;657;732;-7;-2
945.0;13.0;6;14;675;718;-6;2
967.0;63.0;1;20;656;728;-1;6
1001.0;222.0;21;57;186;926;-21;24
959.0;-9.0;-11;13;674;722;11;0
971.0;27.0;1;17;671;719;-1;0
979.0;-14.0;3;25;662;715;-3;-1
993.0;-3.0;-14;20;668;717;14;-3
977.0;-95.0;2;18;660;728;-2;-2
975.0;-20.0;2;17;667;721;-2;-1
988.0;26.0;9;18;669;717;-9;-1
972.0;72.0;-3;17;666;722;3;-1
963.0;4.0;-16;21;651;731;16;-4
983.0;8.0;-13;20;669;715;13;0
978.0;68.0;0;15;671;721;0;-2
987.0;74.0;4;20;671;713;-4;-2
982.0;14.0;19;21;656;727;-19;-8
962.0;72.0;-2;25;662;715;2;-4
970.0;-23.0;-19;21;656;727;19;-4
974.0;32.0;-1;22;666;716;1;-3
970.0;17.0;-13;16;656;733;13;0
981.0;17.0;32;19;653;733;-32;-7
973.0;85.0;0;18;672;714;0;2
982.0;-17.0;11;20;657;727;-11;-2
978.0;11.0;4;21;653;729;-4;-4
982.0;30.0;13;21;658;726;-13;3
963.0;17.0;3;22;656;725;-3;4
978.0;-2.0;15;16;655;734;-15;-4
977.0;-6.0;25;14;661;731;-25;-3
980.0;-33.0;8;21;658;724;-8;1
988.0;-33.0;-7;20;656;730;7;-4
979.0;-2.0;4;24;663;716;-4;-4
978.0;-31.0;-4;17;658;730;4;1
969.0;-18.0;-13;19;655;730;13;0
974.0;-14.0;-28;24;651;728;28;-4
979.0;-21.0;16;21;656;728;-16;0
994.0;-23.0;-5;22;652;729;5;-4
1006.0;34.0;-1;16;662;727;1;-1
970.0;-41.0;13;21;653;729;-13;-3
988.0;-11.0;21;25;654;723;-21;4
970.0;-59.0;12;18;654;733;-12;5
972.0;2.0;12;21;652;731;-12;-1
977.0;51.0;26;17;657;731;-26;0
989.0;14.0;15;19;656;729;-15;3
979.0;28.0;31;19;659;727;-31;0
989.0;-1.0;8;21;656;728;-8;-3
986.0;-11.0;-16;20;657;727;16;-2
991.0;53.0;-7;12;673;723;7;4
975.0;32.0;12;15;656;735;-12;-4
980.0;21.0;21;24;657;722;-21;5
979.0;27.0;8;16;659;730;-8;3
974.0;36.0;14;17;666;721;-14;-1
979.0;48.0;-7;15;654;736;7;-3
995.0;23.0;-6;20;661;722;6;-4
969.0;11.0;12;16;661;729;-12;5
978.0;26.0;-5;21;655;728;5;6
988.0;-46.0;-8;14;660;734;8;1
979.0;-10.0;2;17;658;731;-2;4
977.0;14.0;-1;17;659;730;1;0
980.0;13.0;6;20;657;727;-6;2
959.0;63.0;-9;19;658;727;9;-1
973.0;44.0;2;17;660;730;-2;6
969.0;47.0;1;16;660;730;-1;8
985.0;23.0;3;21;659;724;-3;3
976.0;17.0;-7;16;658;730;7;-1
979.0;-14.0;15;15;656;735;-15;-4
961.0;40.0;9;17;656;732;-9;-4
961.0;50.0;-17;12;659;736;17;-5
987.0;41.0;-10;18;664;722;10;-4
972.0;11.0;14;14;667;726;-14;-1
984.0;35.0;26;20;656;729;-26;1
970.0;-40.0;-5;13;668;725;5;8
960.0;-2.0;10;13;660;733;-10;-2
976.0;19.0;29;20;655;729;-29;4
973.0;2.0;5;24;655;724;-5;7
987.0;6.0;20;21;653;729;-20;3
988.0;14.0;9;16;653;737;-9;-6
983.0;7.0;33;22;653;728;-33;5
960.0;27.0;19;18;660;728;-19;4
961.0;33.0;-19;21;655;727;19;-1
972.0;62.0;-15;12;661;734;15;1
992.0;10.0;-13;18;657;730;13;-2
983.0;-11.0;-4;14;660;733;4;-2
978.0;-22.0;-14;20;656;726;14;2
978.0;-37.0;-2;24;652;726;2;-2
983.0;-21.0;18;20;652;732;-18;-8
991.0;-51.0;-2;21;663;720;2;5
974.0;-6.0;20;19;658;728;-20;1
977.0;30.0;-15;17;657;731;15;0
988.0;3.0;-10;20;655;728;10;-2
989.0;7.0;-21;19;656;729;21;-2
989.0;23.0;-9;18;658;730;9;2
988.0;18.0;10;19;655;731;-10;-2
979.0;29.0;16;13;660;733;-16;-9
970.0;3.0;-28;19;652;732;28;0
980.0;22.0;2;21;654;729;-2;1
982.0;33.0;-6;20;658;726;6;-1
982.0;20.0;-3;24;650;727;3;6
979.0;-4.0;10;23;661;719;-10;5
978.0;54.0;-3;19;656;730;3;-4
979.0;46.0;19;17;655;732;-19;-5
987.0;19.0;105;18;671;717;-105;-1
980.0;40.0;11;17;657;732;-11;-2
965.0;-16.0;-10;22;652;728;10;-3
982.0;23.0;-8;19;654;731;8;-1
983.0;-12.0;12;21;654;729;-12;-1
992.0;-4.0;15;21;653;729;-15;-1
973.0;4.0;1;19;654;731;-1;-3
981.0;-9.0;-11;15;658;733;11;-7
990.0;-26.0;9;17;659;730;-9;-2
989.0;29.0;-3;20;659;725;3;-2
970.0;40.0;12;17;655;732;-12;-3
971.0;59.0;10;18;653;734;-10;0
999.0;52.0;16;23;652;728;-16;2
982.0;65.0;12;18;656;732;-12;-3
974.0;50.0;-9;13;658;736;9;0
982.0;40.0;-16;20;653;730;16;4
996.0;15.0;-4;14;659;732;4;5
963.0;32.0;22;14;659;733;-22;-3
984.0;-28.0;17;17;654;733;-17;4
962.0;-6.0;9;20;658;727;-9;10
969.0;26.0;2;21;656;727;-2;11
962.0;1.0;4;21;666;717;-4;0
968.0;33.0;16;18;658;729;-16;4
972.0;39.0;-26;19;657;728;26;-1
980.0;3.0;-6;19;658;728;6;0
989.0;22.0;-18;23;660;721;18;1
977.0;-35.0;6;20;659;726;-6;1
997.0;-29.0;-8;23;657;724;8;2
1039.0;-20.0;-35;25;652;732;35;70
980.0;-57.0;32;21;672;713;-32;-2
972.0;-35.0;25;19;667;719;-25;8
980.0;-143.0;-20;23;657;723;20;-5
1025.0;479.0;3;713;674;714;-3;813
976.0;-20.0;21;19;655;731;-21;-1
998.0;-12.0;5;22;652;729;-5;4
989.0;-30.0;-25;24;651;726;25;1
988.0;22.0;13;16;660;730;-13;-2
997.0;11.0;-21;20;656;729;21;1
969.0;-13.0;-4;25;654;724;4;2
979.0;-17.0;8;24;654;723;-8;-1
970.0;-15.0;27;24;655;723;-27;4
975.0;-35.0;12;17;667;722;-12;6
969.0;-38.0;-2;20;664;720;2;-5
969.0;3.0;-14;19;657;729;14;0
975.0;-17.0;2;24;654;725;-2;0
976.0;27.0;-21;21;652;731;21;1
986.0;3.0;-3;19;654;730;3;-2
980.0;65.0;-4;16;656;733;4;-9
973.0;-24.0;-11;18;667;720;11;4
966.0;3.0;-8;21;652;732;8;-6
971.0;62.0;-14;21;658;724;14;-4
961.0;26.0;9;22;657;724;-9;5
970.0;-10.0;11;23;657;723;-11;3
979.0;-21.0;-10;19;664;724;10;-8
980.0;-5.0;15;23;657;723;-15;0
984.0;2.0;-8;22;662;719;8;-5
966.0;-35.0;-23;15;656;735;23;0
980.0;-24.0;0;20;657;728;0;-1
973.0;7.0;16;22;657;725;-16;4
972.0;-3.0;34;23;652;729;-34;-4
986.0;29.0;21;16;658;732;-21;0
989.0;-9.0;0;17;661;727;0;4
977.0;27.0;8;19;659;725;-8;0
979.0;32.0;-9;21;656;728;9;-1
972.0;-23.0;-10;20;664;719;10;0
972.0;38.0;0;18;655;731;0;0
985.0;-9.0;11;18;657;730;-11;-6
993.0;-5.0;2;20;654;729;-2;-4
970.0;-39.0;22;22;651;731;-22;2
981.0;-2.0;24;26;652;724;-24;0
