InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA magneticY
79.0;245.0;165.0;447.0;-261.0;306.0;-296.0
81.0;243.0;167.0;447.0;-262.0;308.0;-295.0
79.0;241.0;180.0;445.0;-261.0;304.0;-282.0
78.0;242.0;185.0;447.0;-257.0;304.0;-280.0
75.0;241.0;186.0;448.0;-257.0;302.0;-282.0
75.0;240.0;181.0;447.0;-253.0;301.0;-287.0
75.0;239.0;174.0;446.0;-252.0;300.0;-289.0
74.0;240.0;170.0;447.0;-243.0;302.0;-284.0
73.0;238.0;174.0;446.0;-245.0;299.0;-279.0
73.0;240.0;176.0;447.0;-245.0;299.0;-276.0
72.0;240.0;181.0;443.0;-249.0;299.0;-276.0
74.0;239.0;180.0;443.0;-252.0;301.0;-280.0
73.0;243.0;177.0;446.0;-259.0;303.0;-288.0
76.0;240.0;166.0;444.0;-255.0;303.0;-290.0
75.0;237.0;160.0;444.0;-254.0;304.0;-293.0
73.0;236.0;159.0;444.0;-255.0;302.0;-293.0
70.0;228.0;164.0;441.0;-268.0;301.0;-290.0
72.0;226.0;169.0;440.0;-263.0;303.0;-283.0
71.0;225.0;173.0;436.0;-257.0;303.0;-278.0
67.0;220.0;173.0;434.0;-258.0;299.0;-278.0
65.0;217.0;172.0;436.0;-254.0;301.0;-279.0
62.0;215.0;173.0;434.0;-247.0;298.0;-272.0
410.0;194.0;-445.0;946.0;-908.0;441.0;-692.0
326.0;118.0;-595.0;882.0;-748.0;324.0;-755.0
407.0;-25.0;-392.0;569.0;-495.0;184.0;-762.0
143.0;57.0;-425.0;610.0;-233.0;387.0;-634.0
447.0;-40.0;-204.0;581.0;-525.0;322.0;-344.0
209.0;170.0;-127.0;540.0;-633.0;291.0;-445.0
28.0;-8.0;-304.0;596.0;-567.0;323.0;-510.0
119.0;84.0;-123.0;503.0;-612.0;191.0;-370.0
122.0;54.0;-98.0;574.0;-532.0;171.0;-455.0
59.0;213.0;175.0;433.0;-241.0;294.0;-270.0
57.0;209.0;180.0;432.0;-232.0;292.0;-267.0
43.0;207.0;197.0;432.0;-228.0;280.0;-250.0
41.0;207.0;198.0;430.0;-235.0;278.0;-249.0
38.0;206.0;199.0;430.0;-239.0;276.0;-253.0
41.0;208.0;188.0;430.0;-247.0;281.0;-265.0
42.0;209.0;184.0;430.0;-255.0;284.0;-272.0
44.0;210.0;184.0;429.0;-268.0;284.0;-273.0
42.0;212.0;183.0;429.0;-270.0;283.0;-274.0
48.0;216.0;168.0;428.0;-290.0;289.0;-283.0
50.0;218.0;160.0;429.0;-299.0;295.0;-291.0
55.0;221.0;148.0;429.0;-312.0;297.0;-302.0
53.0;224.0;138.0;428.0;-322.0;297.0;-308.0
52.0;226.0;127.0;426.0;-334.0;298.0;-318.0
56.0;232.0;111.0;425.0;-354.0;302.0;-330.0
93.0;117.0;-196.0;525.0;-529.0;472.0;-404.0
126.0;43.0;-90.0;529.0;-476.0;232.0;-354.0
-220.0;-144.0;-100.0;482.0;-531.0;86.0;-374.0
130.0;-14.0;-35.0;522.0;-479.0;242.0;-327.0
138.0;-35.0;9.0;516.0;-473.0;252.0;-299.0
150.0;-50.0;68.0;513.0;-463.0;270.0;-262.0
152.0;-62.0;112.0;506.0;-461.0;264.0;-232.0
334.0;-16.0;348.0;789.0;-499.0;440.0;-265.0
209.0;-215.0;122.0;512.0;-928.0;-82.0;-512.0
226.0;-45.0;271.0;670.0;-355.0;242.0;-220.0
293.0;-344.0;516.0;527.0;-504.0;673.0;208.0
206.0;-93.0;274.0;476.0;-440.0;212.0;-111.0
250.0;-398.0;76.0;563.0;-567.0;843.0;69.0
183.0;-96.0;243.0;474.0;-456.0;220.0;-130.0
173.0;-100.0;241.0;473.0;-457.0;214.0;-132.0
-94.0;-13.0;360.0;494.0;-429.0;77.0;-111.0
148.0;-120.0;203.0;471.0;-458.0;175.0;-163.0
168.0;-172.0;303.0;464.0;-385.0;165.0;-130.0
95.0;-83.0;344.0;538.0;-187.0;2.0;-37.0
-14.0;-392.0;3.0;518.0;-541.0;473.0;-74.0
-310.0;-351.0;539.0;415.0;-477.0;-39.0;160.0
192.0;-240.0;356.0;446.0;-197.0;192.0;-57.0
-55.0;-406.0;214.0;119.0;146.0;234.0;-337.0
-33.0;-519.0;892.0;526.0;4.0;-63.0;299.0
65.0;240.0;96.0;425.0;-363.0;304.0;-338.0
68.0;245.0;91.0;426.0;-369.0;315.0;-345.0
75.0;248.0;86.0;428.0;-372.0;319.0;-350.0
-324.0;-493.0;710.0;463.0;-236.0;-357.0;288.0
-607.0;-646.0;887.0;-362.0;50.0;-570.0;557.0
81.0;250.0;83.0;427.0;-376.0;325.0;-353.0
87.0;254.0;82.0;428.0;-372.0;329.0;-354.0
90.0;254.0;89.0;427.0;-355.0;331.0;-348.0
97.0;255.0;94.0;431.0;-336.0;336.0;-344.0
100.0;256.0;92.0;428.0;-335.0;342.0;-345.0
-215.0;-121.0;278.0;405.0;-514.0;2.0;2.0
106.0;256.0;85.0;431.0;-352.0;348.0;-351.0
210.0;187.0;155.0;510.0;-786.0;488.0;-416.0
62.0;95.0;-83.0;518.0;-604.0;261.0;-358.0
244.0;56.0;26.0;578.0;-508.0;395.0;-331.0
336.0;30.0;-53.0;585.0;-627.0;469.0;-351.0
574.0;77.0;-454.0;634.0;-417.0;563.0;-599.0
529.0;1.0;-111.0;597.0;-637.0;353.0;-426.0
490.0;232.0;-40.0;548.0;-654.0;546.0;-412.0
559.0;96.0;-262.0;626.0;-587.0;660.0;-495.0
110.0;259.0;82.0;433.0;-360.0;350.0;-355.0
107.0;256.0;81.0;430.0;-364.0;347.0;-355.0
108.0;257.0;85.0;431.0;-351.0;348.0;-351.0
105.0;255.0;88.0;432.0;-338.0;348.0;-348.0
105.0;255.0;83.0;432.0;-347.0;345.0;-352.0
-31.0;86.0;183.0;446.0;-181.0;-82.0;-177.0
-27.0;84.0;79.0;399.0;-386.0;154.0;-208.0
39.0;132.0;27.0;398.0;-405.0;198.0;-263.0
94.0;254.0;85.0;428.0;-347.0;336.0;-349.0
89.0;252.0;77.0;430.0;-363.0;331.0;-353.0
86.0;254.0;78.0;429.0;-352.0;329.0;-351.0
101.0;148.0;-2.0;393.0;-405.0;246.0;-280.0
189.0;185.0;-49.0;398.0;-451.0;214.0;-329.0
304.0;276.0;-97.0;403.0;-491.0;283.0;-412.0
476.0;398.0;-231.0;470.0;-520.0;288.0;-523.0
539.0;119.0;-346.0;298.0;-113.0;2.0;-376.0
637.0;554.0;-210.0;547.0;-93.0;-41.0;-581.0
86.0;252.0;72.0;427.0;-360.0;329.0;-355.0
85.0;253.0;69.0;429.0;-365.0;330.0;-355.0
440.0;-72.0;44.0;610.0;-200.0;414.0;-505.0
-1.0;-422.0;642.0;20.0;444.0;-48.0;96.0
399.0;35.0;113.0;520.0;-132.0;317.0;-211.0
375.0;-151.0;27.0;519.0;-407.0;129.0;-303.0
86.0;252.0;70.0;429.0;-360.0;328.0;-354.0
86.0;252.0;72.0;428.0;-353.0;329.0;-351.0
87.0;253.0;66.0;428.0;-363.0;329.0;-358.0
86.0;252.0;63.0;428.0;-374.0;328.0;-357.0
86.0;254.0;57.0;427.0;-379.0;329.0;-360.0
88.0;256.0;45.0;428.0;-392.0;330.0;-365.0
89.0;257.0;41.0;428.0;-408.0;331.0;-366.0
140.0;198.0;-147.0;557.0;-315.0;380.0;-467.0
31.0;107.0;-38.0;569.0;-281.0;237.0;-415.0
17.0;96.0;-31.0;569.0;-278.0;220.0;-402.0
1.0;86.0;-20.0;567.0;-269.0;208.0;-390.0
-9.0;74.0;-12.0;566.0;-260.0;201.0;-376.0
89.0;257.0;46.0;427.0;-399.0;329.0;-363.0
89.0;258.0;49.0;428.0;-385.0;330.0;-359.0
90.0;259.0;51.0;428.0;-373.0;331.0;-361.0
91.0;259.0;49.0;426.0;-377.0;332.0;-363.0
93.0;260.0;63.0;426.0;-356.0;333.0;-355.0
91.0;260.0;61.0;425.0;-365.0;333.0;-357.0
68.0;308.0;96.0;429.0;-462.0;294.0;-328.0
91.0;261.0;56.0;426.0;-370.0;334.0;-360.0
90.0;258.0;55.0;425.0;-376.0;330.0;-362.0
92.0;261.0;57.0;424.0;-373.0;331.0;-361.0
87.0;261.0;51.0;423.0;-382.0;327.0;-362.0
89.0;263.0;54.0;424.0;-385.0;327.0;-364.0
88.0;261.0;64.0;422.0;-353.0;327.0;-354.0
106.0;284.0;85.0;451.0;-540.0;330.0;-331.0
-52.0;212.0;87.0;569.0;-807.0;236.0;-430.0
107.0;237.0;61.0;524.0;-882.0;421.0;-537.0
262.0;396.0;84.0;415.0;-516.0;478.0;-365.0
90.0;263.0;55.0;424.0;-362.0;329.0;-359.0
91.0;264.0;52.0;424.0;-367.0;331.0;-362.0
94.0;266.0;49.0;426.0;-369.0;332.0;-364.0
96.0;266.0;45.0;425.0;-377.0;335.0;-368.0
99.0;269.0;36.0;424.0;-386.0;337.0;-374.0
102.0;272.0;37.0;426.0;-385.0;340.0;-374.0
107.0;275.0;34.0;431.0;-373.0;345.0;-375.0
112.0;279.0;21.0;432.0;-380.0;350.0;-382.0
119.0;282.0;8.0;434.0;-392.0;356.0;-391.0
135.0;290.0;-29.0;435.0;-422.0;371.0;-408.0
114.0;290.0;213.0;485.0;-450.0;422.0;-303.0
112.0;289.0;180.0;487.0;-497.0;420.0;-332.0
143.0;301.0;152.0;500.0;-543.0;453.0;-364.0
113.0;290.0;208.0;485.0;-465.0;422.0;-310.0
107.0;292.0;235.0;479.0;-441.0;420.0;-290.0
-21.0;53.0;5.0;552.0;-243.0;242.0;-356.0
34.0;-51.0;103.0;482.0;-714.0;91.0;-150.0
147.0;24.0;-543.0;1066.0;-1066.0;407.0;-1004.0
129.0;-40.0;36.0;554.0;-603.0;98.0;-174.0
-262.0;-190.0;-173.0;513.0;-451.0;50.0;-368.0
570.0;410.0;-297.0;502.0;-168.0;590.0;-552.0
259.0;238.0;-253.0;556.0;-432.0;295.0;-606.0
646.0;493.0;-613.0;601.0;144.0;-85.0;-865.0
315.0;-184.0;-135.0;511.0;-565.0;38.0;-504.0
402.0;-69.0;882.0;1112.0;-749.0;651.0;-301.0
166.0;-305.0;-274.0;556.0;-759.0;636.0;-338.0
316.0;245.0;92.0;533.0;-857.0;194.0;-514.0
-287.0;-138.0;-105.0;535.0;-358.0;-2.0;-62.0
120.0;245.0;-107.0;486.0;-431.0;347.0;-453.0
123.0;245.0;-104.0;488.0;-433.0;348.0;-439.0
644.0;496.0;114.0;559.0;-779.0;698.0;-631.0
154.0;260.0;-75.0;534.0;-575.0;465.0;-498.0
1.0;-43.0;350.0;537.0;-685.0;307.0;-240.0
132.0;245.0;-111.0;491.0;-446.0;361.0;-439.0
19.0;185.0;-45.0;493.0;-514.0;329.0;-412.0
112.0;293.0;202.0;486.0;-476.0;421.0;-315.0
-142.0;101.0;202.0;549.0;-808.0;44.0;-298.0
111.0;292.0;210.0;486.0;-457.0;422.0;-308.0
-104.0;142.0;-44.0;506.0;-510.0;195.0;-373.0
114.0;292.0;221.0;482.0;-441.0;424.0;-300.0
115.0;292.0;227.0;482.0;-424.0;428.0;-292.0
113.0;292.0;232.0;483.0;-414.0;425.0;-285.0
159.0;282.0;-131.0;481.0;-436.0;386.0;-456.0
158.0;276.0;-240.0;480.0;-495.0;388.0;-502.0
-290.0;-596.0;809.0;234.0;117.0;-272.0;520.0
217.0;234.0;50.0;527.0;-838.0;-231.0;-521.0
110.0;293.0;226.0;481.0;-461.0;423.0;-299.0
110.0;293.0;226.0;481.0;-459.0;423.0;-299.0
111.0;293.0;227.0;484.0;-452.0;422.0;-297.0
111.0;291.0;230.0;485.0;-452.0;421.0;-297.0
108.0;293.0;229.0;481.0;-448.0;423.0;-295.0
114.0;293.0;237.0;479.0;-417.0;424.0;-288.0
109.0;292.0;232.0;481.0;-445.0;422.0;-293.0
113.0;292.0;235.0;481.0;-422.0;425.0;-288.0
107.0;291.0;231.0;480.0;-444.0;422.0;-293.0
111.0;292.0;233.0;479.0;-428.0;425.0;-291.0
112.0;293.0;234.0;479.0;-429.0;425.0;-290.0
110.0;294.0;233.0;480.0;-428.0;423.0;-289.0
109.0;293.0;233.0;479.0;-434.0;423.0;-288.0
109.0;293.0;232.0;480.0;-444.0;422.0;-291.0
108.0;293.0;233.0;482.0;-436.0;421.0;-290.0
108.0;293.0;233.0;482.0;-437.0;421.0;-288.0
107.0;293.0;233.0;480.0;-438.0;419.0;-290.0
108.0;294.0;233.0;479.0;-440.0;420.0;-290.0
-203.0;-148.0;-133.0;543.0;-366.0;97.0;-249.0
111.0;295.0;232.0;481.0;-425.0;428.0;-289.0
108.0;295.0;233.0;482.0;-435.0;425.0;-290.0
112.0;294.0;234.0;483.0;-421.0;427.0;-288.0
112.0;294.0;236.0;480.0;-416.0;426.0;-285.0
112.0;295.0;236.0;478.0;-415.0;425.0;-284.0
72.0;311.0;8.0;421.0;-427.0;297.0;-346.0
379.0;489.0;-56.0;401.0;-383.0;599.0;-447.0
215.0;356.0;-288.0;450.0;-265.0;427.0;-569.0
111.0;295.0;223.0;484.0;-469.0;424.0;-305.0
111.0;295.0;223.0;482.0;-471.0;423.0;-302.0
113.0;296.0;223.0;483.0;-474.0;424.0;-302.0
225.0;348.0;13.0;513.0;-861.0;556.0;-593.0
113.0;294.0;221.0;481.0;-483.0;424.0;-304.0
15.0;286.0;19.0;601.0;-545.0;305.0;-461.0
115.0;293.0;240.0;482.0;-401.0;428.0;-279.0
115.0;294.0;239.0;482.0;-403.0;428.0;-279.0
293.0;452.0;269.0;358.0;-311.0;410.0;-230.0
108.0;291.0;217.0;485.0;-499.0;425.0;-308.0
105.0;291.0;217.0;483.0;-504.0;423.0;-310.0
106.0;290.0;214.0;483.0;-509.0;422.0;-311.0
104.0;290.0;216.0;485.0;-514.0;419.0;-309.0
104.0;290.0;214.0;485.0;-517.0;419.0;-311.0
114.0;295.0;238.0;479.0;-414.0;428.0;-284.0
105.0;290.0;208.0;487.0;-522.0;418.0;-312.0
510.0;433.0;-213.0;483.0;-628.0;634.0;-609.0
-281.0;-178.0;158.0;455.0;-756.0;25.0;-154.0
340.0;419.0;-216.0;485.0;-575.0;546.0;-558.0
442.0;39.0;403.0;285.0;12.0;266.0;-73.0
245.0;-212.0;-615.0;549.0;-402.0;13.0;-695.0
-215.0;-117.0;-284.0;599.0;-832.0;104.0;-612.0
114.0;295.0;240.0;479.0;-407.0;429.0;-280.0
624.0;492.0;-570.0;607.0;-252.0;-75.0;-969.0
558.0;393.0;-487.0;500.0;-448.0;433.0;-605.0
-62.0;181.0;-126.0;455.0;-725.0;179.0;-399.0
114.0;295.0;241.0;482.0;-406.0;430.0;-280.0
114.0;296.0;221.0;484.0;-478.0;428.0;-304.0
110.0;291.0;217.0;484.0;-502.0;423.0;-309.0
112.0;294.0;221.0;482.0;-484.0;425.0;-305.0
-181.0;53.0;-82.0;529.0;-452.0;138.0;-303.0
-330.0;-508.0;181.0;176.0;21.0;82.0;172.0
257.0;364.0;-176.0;482.0;-558.0;472.0;-487.0
112.0;294.0;218.0;483.0;-489.0;426.0;-308.0
294.0;442.0;227.0;363.0;-373.0;432.0;-268.0
110.0;292.0;216.0;481.0;-496.0;426.0;-307.0
41.0;191.0;-213.0;498.0;-571.0;380.0;-480.0
108.0;291.0;207.0;487.0;-526.0;421.0;-315.0
126.0;297.0;186.0;492.0;-536.0;437.0;-334.0
557.0;490.0;-591.0;440.0;-562.0;588.0;-635.0
105.0;291.0;212.0;484.0;-520.0;419.0;-311.0
298.0;324.0;-510.0;527.0;-296.0;533.0;-662.0
374.0;224.0;215.0;667.0;-846.0;622.0;-507.0
