InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
2;8.0;1;47.0;23;12;-12;2
28;50.0;2;54.0;13;19;-19;28
2;4.0;-3;48.0;22;-6;6;2
9;5.0;0;36.0;23;-15;15;9
31;-61.0;16;130.0;74;-222;222;31
11;9.0;-1;35.0;19;-34;34;11
3;4.0;3;27.0;27;-16;16;3
-11;-3.0;1;21.0;20;7;-7;-11
-13;-1.0;1;58.0;28;2;-2;-13
15;23.0;-1;42.0;22;-27;27;15
-19;10.0;-2;15.0;11;-21;21;-19
-5;26.0;2;58.0;27;5;-5;-5
2;15.0;-7;13.0;8;5;-5;2
5;0.0;6;42.0;28;5;-5;5
-13;10.0;0;62.0;25;19;-19;-13
15;1.0;2;0.0;23;-7;7;15
-3;43.0;-8;50.0;18;-8;8;-3
20;27.0;2;62.0;9;30;-30;20
26;0.0;-3;56.0;22;-13;13;26
57;7.0;-11;11.0;1;17;-17;57
-25;-35.0;2;-14.0;16;17;-17;-25
27;-12.0;0;30.0;22;-39;39;27
211;-110.0;-5;-358.0;37;-98;98;211
14;-5.0;4;33.0;24;-14;14;14
9;40.0;-4;69.0;18;-40;40;9
1;0.0;0;13.0;23;-9;9;1
89;64.0;723;-267.0;-882;-111;111;89
-3;17.0;5;64.0;26;-17;17;-3
15;14.0;-1;43.0;20;-3;3;15
-27;1928.0;0;3847.0;0;-11;11;-27
0;97.0;-6;-91.0;24;-174;174;0
7;14.0;-178;-2.0;7;-27;27;7
3;2.0;-1;19.0;19;-20;20;3
34;-1205.0;-1847;-1867.0;-974;-586;586;34
15;11.0;-1;27.0;18;-10;10;15
23;9.0;4;36.0;21;-16;16;23
17;9.0;-1;25.0;24;18;-18;17
-7;-627.0;-4;-575.0;25;-29;29;-7
-28;34.0;3;41.0;19;5;-5;-28
-8;69.0;-4;38.0;19;-7;7;-8
-13;11.0;-2;48.0;16;-15;15;-13
-17;14.0;0;39.0;16;0;0;-17
25;48.0;-2;71.0;13;-20;20;25
4;39.0;3;59.0;22;-21;21;4
4;37.0;2;74.0;21;23;-23;4
69;493.0;791;675.0;427;-50;50;69
-9;12.0;1;37.0;26;-23;23;-9
5;19.0;1;60.0;22;-7;7;5
10;24.0;-6;54.0;17;3;-3;10
-154;-204.0;-2103;-149.0;1158;-261;261;-154
1;-29.0;70;80.0;45;-28;28;1
5;-11.0;1;98.0;7;-32;32;5
31;2.0;1;29.0;23;-8;8;31
-2;-16.0;-2;22.0;28;-17;17;-2
-6;23.0;-3;36.0;4;-4;4;-6
3;-2.0;-4;53.0;18;-4;4;3
479;-202.0;5;-242.0;42;98;-98;479
-15;18.0;2;40.0;25;-30;30;-15
20;40.0;0;-4.0;23;-17;17;20
-48;242.0;126;124.0;-463;52;-52;-48
8;12.0;1;19.0;-6;15;-15;8
31;43.0;1;79.0;15;1;-1;31
6;24.0;3;46.0;-3;-10;10;6
-1;21.0;-1;48.0;-6;-14;14;-1
-29;248.0;-5;430.0;9;-19;19;-29
-2;17.0;5;42.0;33;7;-7;-2
35;-82.0;-453;3.0;-346;10;-10;35
-67;99.0;-498;399.0;-334;-33;33;-67
507;140.0;-3;-474.0;24;-355;355;507
-12;13.0;6;13.0;26;2;-2;-12
-4;24.0;-1;33.0;-3;7;-7;-4
-1;85.0;-5;402.0;7;12;-12;-1
47;360.0;548;550.0;-275;-40;40;47
-47;794.0;68;93.0;-26;6;-6;-47
-6;18.0;-6;28.0;19;32;-32;-6
-34;25.0;2;54.0;16;-2;2;-34
20;31.0;2;26.0;9;-2;2;20
-13;13.0;-2;48.0;9;-6;6;-13
-8;24.0;0;49.0;10;-4;4;-8
9;-102.0;-6;40.0;26;-20;20;9
8;-11.0;-4;33.0;30;-23;23;8
-16;-12.0;0;33.0;2;-6;6;-16
-7;8.0;-5;105.0;9;-7;7;-7
-9;27.0;-10;34.0;1;-4;4;-9
-9;10.0;-7;66.0;6;-5;5;-9
19;1.0;0;33.0;19;-7;7;19
-10;18.0;-2;42.0;8;1;-1;-10
-8;45.0;2;15.0;11;-17;17;-8
8;-28.0;1;33.0;7;-2;2;8
14;18.0;-8;36.0;2;-7;7;14
11;74.0;2;113.0;8;-19;19;11
-102;-184.0;-682;286.0;534;-57;57;-102
6;18.0;0;61.0;21;-15;15;6
-7;16.0;5;33.0;13;14;-14;-7
-39;80.0;2;98.0;13;4;-4;-39
1;-1.0;-2;43.0;11;-24;24;1
-46;342.0;462;600.0;320;-42;42;-46
9;3.0;-3;46.0;23;-27;27;9
-23;37.0;-5;-10.0;11;-22;22;-23
19;16.0;2;34.0;13;-6;6;19
15;26.0;-9;32.0;18;29;-29;15
5;32.0;0;32.0;24;-7;7;5
9;29.0;-480;250.0;281;14;-14;9
-4;-7.0;-4;39.0;36;-4;4;-4
-3;25.0;-3;17.0;0;-13;13;-3
25;1.0;3;2.0;7;6;-6;25
6;107.0;-5;53.0;0;25;-25;6
6;41.0;4;36.0;26;-5;5;6
-4;-1.0;3;39.0;14;-9;9;-4
-1;-7.0;5;45.0;12;-12;12;-1
5;66.0;167;183.0;219;2;-2;5
139;-323.0;689;-745.0;405;-136;136;139
-4;49.0;-1;48.0;21;-13;13;-4
-10;12.0;-5;28.0;22;10;-10;-10
-5;1.0;-5;22.0;27;-13;13;-5
17;20.0;-540;-288.0;185;-31;31;17
-23;19.0;-1;27.0;21;-18;18;-23
18;20.0;-8;57.0;15;-19;19;18
0;17.0;-2;52.0;22;-17;17;0
13;26.0;3;24.0;20;7;-7;13
-21;-2.0;1;31.0;23;23;-23;-21
11;-43.0;3;2.0;16;-6;6;11
5;-703.0;-616;-429.0;305;-161;161;5
-25;-5.0;5;52.0;23;-21;21;-25
2;19.0;1;60.0;35;-4;4;2
10;69.0;278;334.0;382;19;-19;10
3267;870.0;48;513.0;-25;4152;-4152;3267
8;33.0;4;59.0;37;12;-12;8
81;1194.0;-124;968.0;274;-20;20;81
-12;-5.0;-3;-4.0;24;-30;30;-12
-2;16.0;6;38.0;28;-8;8;-2
23;16.0;-3;58.0;19;4;-4;23
6;2.0;-3;64.0;12;14;-14;6
13;2.0;1;28.0;24;13;-13;13
-5;26.0;3;-6.0;15;17;-17;-5
7;0.0;-3;48.0;33;-14;14;7
9;5.0;2;-66.0;5;-15;15;9
-3;-7.0;-2;-40.0;19;11;-11;-3
152;-121.0;-949;83.0;644;-177;177;152
-116;73.0;-9;-263.0;-1;-1038;1038;-116
32;-35.0;666;-153.0;581;13;-13;32
23;17.0;-4;51.0;21;-24;24;23
-2;-226.0;66;-52.0;555;-24;24;-2
-13;9.0;0;34.0;23;-19;19;-13
-3;10.0;0;20.0;21;-21;21;-3
71;160.0;1;190.0;-23;48;-48;71
5;146.0;-249;-53.0;125;19;-19;5
-5;137.0;-5;171.0;16;0;0;-5
3;34.0;1;80.0;11;0;0;3
4;10.0;0;25.0;19;4;-4;4
2501;257.0;99;310.0;53;-662;662;2501
3;31.0;-3;26.0;20;-8;8;3
-11;-12.0;-2;54.0;9;8;-8;-11
10;-2.0;-2;42.0;23;21;-21;10
5;4.0;0;59.0;10;-9;9;5
-3;30.0;-5;30.0;26;2;-2;-3
2;211.0;0;91.0;44;-1;1;2
314;309.0;72;-468.0;40;24;-24;314
22;18.0;-4;49.0;22;-8;8;22
-12;17.0;-3;54.0;21;-18;18;-12
5;41.0;-2;52.0;22;-17;17;5
19;10.0;-1;54.0;13;-25;25;19
-16;2.0;1;56.0;22;-31;31;-16
9;28.0;0;20.0;25;-33;33;9
-2;4.0;-3;32.0;21;-27;27;-2
8;18.0;-2;33.0;21;-28;28;8
10;39.0;2;37.0;24;-34;34;10
9;65.0;-4;48.0;15;2;-2;9
-6;-15.0;-3;19.0;17;-36;36;-6
9;21.0;6;46.0;27;14;-14;9
-6;26.0;-2;38.0;11;-9;9;-6
-2;81.0;2;16.0;5;-39;39;-2
22;6.0;4;44.0;31;-2;2;22
-11;-3.0;0;41.0;20;-7;7;-11
21;25.0;4;49.0;-2;-23;23;21
8;-4.0;-2;26.0;24;2;-2;8
-9;21.0;8;23.0;17;-16;16;-9
1;20.0;-4;60.0;18;25;-25;1
52;35.0;8;26.0;5;-27;27;52
64;64.0;3;78.0;11;5;-5;64
-12;12.0;1;64.0;24;1;-1;-12
-16;-3.0;2;71.0;20;8;-8;-16
20;67.0;-103;44.0;135;0;0;20
3;10.0;-2;60.0;27;6;-6;3
-86;384.0;-1587;-148.0;246;-276;276;-86
17;-1.0;-4;60.0;22;1;-1;17
11;6.0;9;46.0;32;10;-10;11
31;19.0;1;66.0;25;-26;26;31
2;8.0;-1;60.0;29;-19;19;2
-6;24.0;-6;66.0;4;24;-24;-6
10;10.0;2;57.0;23;-26;26;10
-1;23.0;5;45.0;13;6;-6;-1
-14;16.0;0;50.0;3;34;-34;-14
26;30.0;3;5.0;21;15;-15;26
0;15.0;-1;69.0;-6;0;0;0
-17;-81.0;1568;79.0;-54;-66;66;-17
3;0.0;7;45.0;21;7;-7;3
2;39.0;-1;38.0;11;11;-11;2
-7;48.0;-1;52.0;11;-2;2;-7
13;23.0;4;25.0;17;-25;25;13
10;4.0;2;35.0;13;3;-3;10
142;-55.0;12;-85.0;55;-313;313;142
-5;23.0;5;51.0;16;-17;17;-5
-2;48.0;2;177.0;21;-18;18;-2
29;-15.0;0;32.0;21;14;-14;29
-12;24.0;3;37.0;9;6;-6;-12
1;41.0;-3;91.0;9;-17;17;1
14;1.0;1;46.0;12;14;-14;14
15;-27.0;-4;66.0;6;2;-2;15
-13;28.0;-1;39.0;21;12;-12;-13
-21;4.0;-1;55.0;20;-2;2;-21
0;81.0;-1;48.0;12;-19;19;0
-12;36.0;2;48.0;10;-7;7;-12
-71;574.0;-704;239.0;-163;-388;388;-71
-14;-16.0;-1;12.0;17;-16;16;-14
-4;8.0;-1;49.0;24;-19;19;-4
7;24.0;-4;60.0;8;-2;2;7
0;29.0;0;54.0;13;13;-13;0
7;16.0;-1;42.0;9;-4;4;7
16;31.0;-1;53.0;21;9;-9;16
-27;37.0;3;68.0;20;-15;15;-27
6;21.0;5;28.0;18;10;-10;6
-26;80.0;1;58.0;13;-24;24;-26
14;-14.0;-2;27.0;6;-33;33;14
-26;68.0;3;22.0;8;-5;5;-26
9;12.0;2;46.0;7;0;0;9
9;10.0;-3;58.0;9;-8;8;9
239;189.0;4;244.0;17;-51;51;239
-3;16.0;-3;-9.0;-1;-17;17;-3
-10;48.0;1;72.0;15;3;-3;-10
1158;-112.0;-20;-350.0;16;-774;774;1158
231;-750.0;1285;-1131.0;-403;-2472;2472;231
-7;-15.0;-1;56.0;15;-26;26;-7
18;21.0;-8;5.0;10;-6;6;18
1;0.0;-3;44.0;14;2;-2;1
-6;-4.0;-7;-8.0;13;7;-7;-6
-21;-7.0;-6;25.0;9;-44;44;-21
-11;23.0;6;20.0;25;-9;9;-11
-11;14.0;-1;46.0;14;8;-8;-11
-12;21.0;1;90.0;10;6;-6;-12
-9;19.0;2;33.0;16;3;-3;-9
19;-22.0;-4;191.0;21;2;-2;19
-13;25.0;-1;54.0;15;-17;17;-13
-22;24.0;-6;64.0;16;-37;37;-22
-6;10.0;4;52.0;15;-31;31;-6
20;45.0;-1;33.0;8;-16;16;20
-8;33.0;-3;49.0;7;-4;4;-8
5;8.0;3;65.0;34;-16;16;5
-3;26.0;2;40.0;32;-15;15;-3
-13;23.0;3;36.0;19;1;-1;-13
28;4.0;3;34.0;-5;-19;19;28
-6;23.0;2;55.0;17;-3;3;-6
-11;18.0;2;44.0;30;3;-3;-11
-10;22.0;-6;25.0;28;0;0;-10
1;17.0;0;50.0;15;-17;17;1
12;59.0;4;95.0;19;23;-23;12
-1;21.0;1;45.0;15;-7;7;-1
2;12.0;0;43.0;15;-5;5;2
10;18.0;0;32.0;30;-26;26;10
6;8.0;-3;126.0;20;6;-6;6
-29;4.0;-3;34.0;19;0;0;-29
59;645.0;-35;546.0;-10;4;-4;59
10;13.0;2;60.0;29;-16;16;10
-8;17.0;1;25.0;23;-2;2;-8
-8;10.0;-1;56.0;18;-6;6;-8
-395;-655.0;464;406.0;581;-553;553;-395
-20;53.0;1;85.0;23;-2;2;-20
-18;4.0;-1;74.0;16;-24;24;-18
9;6.0;1;43.0;19;-19;19;9
-19;120.0;3;-185.0;24;-17;17;-19
6;4.0;-4;20.0;14;-7;7;6
39;14.0;0;-95.0;19;13;-13;39
11;-7.0;0;-1.0;27;-17;17;11
4;-3.0;-3;44.0;15;-7;7;4
5;-2.0;3;52.0;12;-24;24;5
-4;4.0;0;77.0;21;-3;3;-4
14;5.0;-3;20.0;17;5;-5;14
-6;18.0;-3;38.0;16;10;-10;-6
-8;0.0;1;29.0;29;-17;17;-8
-1;42.0;0;51.0;13;15;-15;-1
5;30.0;-1;50.0;12;8;-8;5
-2;7.0;-1;205.0;2;20;-20;-2
-16;17.0;-1;37.0;7;-4;4;-16
-8;-28.0;-6;84.0;25;-10;10;-8
-8;28.0;4;44.0;10;-27;27;-8
37;4.0;10;-34.0;8;-82;82;37
32;-18.0;-7;-7.0;16;-23;23;32
-1;18.0;3;46.0;20;-9;9;-1
30;13.0;1;37.0;9;-6;6;30
-4;14.0;7;58.0;15;-7;7;-4
14;1.0;-1;84.0;10;-13;13;14
-26;26.0;-1;38.0;16;20;-20;-26
5;18.0;3;38.0;29;-26;26;5
130;-595.0;-168;-1101.0;-3;-4629;4629;130
-25;172.0;11;103.0;23;-89;89;-25
12;16.0;3;54.0;23;-27;27;12
7;18.0;5;25.0;25;-8;8;7
18;-13.0;3;34.0;27;-36;36;18
-29;22.0;-1;38.0;23;-6;6;-29
-42;37.0;0;-9.0;19;2;-2;-42
9;16.0;2;24.0;8;11;-11;9
11;29.0;-7;30.0;18;-15;15;11
0;34.0;-3;101.0;22;-12;12;0
-12;-41.0;-4;27.0;17;2;-2;-12
-1;22.0;-6;38.0;18;-10;10;-1
-1;5.0;3;26.0;24;-7;7;-1
-8;40.0;-2;41.0;22;-13;13;-8
8;4.0;6;37.0;24;-7;7;8
-13;26.0;-4;40.0;19;-19;19;-13
-4;29.0;1;37.0;22;3;-3;-4
-11;-77.0;-2;-30.0;8;19;-19;-11
-30;20.0;0;103.0;18;18;-18;-30
11;20.0;1;35.0;24;-16;16;11
26;24.0;1;42.0;28;2;-2;26
5;14.0;2;30.0;26;-17;17;5
-24;43.0;-4;14.0;9;17;-17;-24
4;29.0;2;22.0;26;-17;17;4
8;35.0;-3;53.0;22;-6;6;8
21;-58.0;4;-42.0;11;8;-8;21
4;27.0;-3;50.0;7;5;-5;4
13;0.0;4;64.0;25;18;-18;13
-1;6.0;5;46.0;29;3;-3;-1
11;13.0;-1;30.0;22;3;-3;11
-14;29.0;5;33.0;23;-8;8;-14
10;29.0;5;20.0;28;5;-5;10
2;-204.0;-2;-106.0;1;17;-17;2
-12;30.0;1;31.0;30;-9;9;-12
-4;51.0;-6;58.0;18;32;-32;-4
2;26.0;3;23.0;21;-9;9;2
-1;16.0;9;45.0;29;9;-9;-1
6;23.0;-1;32.0;26;-18;18;6
11;-18.0;4;41.0;10;-16;16;11
6;28.0;3;46.0;28;-20;20;6
-1;11.0;5;42.0;14;-7;7;-1
-17;-9.0;-2;20.0;10;-6;6;-17
9;14.0;6;11.0;29;-12;12;9
-6;10.0;1;40.0;26;5;-5;-6
7;134.0;2;-38.0;5;11;-11;7
-9;0.0;3;57.0;27;-5;5;-9
1;2.0;-2;32.0;18;-4;4;1
-10;-8.0;-3;42.0;-9;-14;14;-10
-1;0.0;-3;26.0;17;-19;19;-1
10;47.0;-4;58.0;9;-29;29;10
-4;17.0;0;50.0;20;10;-10;-4
-2;29.0;5;48.0;10;5;-5;-2
23;8.0;1;40.0;28;-17;17;23
7;31.0;2;52.0;8;-7;7;7
-18;10.0;318;-444.0;69;-11;11;-18
4;16.0;1;48.0;13;17;-17;4
12;5.0;3;37.0;27;-8;8;12
48;351.0;493;191.0;213;-39;39;48
5;7.0;8;60.0;7;-23;23;5
42;-4.0;-2;40.0;9;1;-1;42
14;3.0;-4;53.0;16;12;-12;14
556;517.0;-9;291.0;-4;318;-318;556
35;-157.0;-8;-899.0;25;27;-27;35
477;-136.0;12;-535.0;57;768;-768;477
89;-653.0;206;-1616.0;439;-2037;2037;89
-12;16.0;-2;37.0;2;25;-25;-12
101;18.0;-13;112.0;49;790;-790;101
0;-349.0;-176;-70.0;-161;2;-2;0
798;1267.0;94;1596.0;-71;3554;-3554;798
-10;-29.0;-172;153.0;-283;-11;11;-10
-4;-13.0;-8;298.0;18;-14;14;-4
-850;-337.0;-45;448.0;-1;-7496;7496;-850
-50;-248.0;19;40.0;13;-3;3;-50
1039;-37.0;-7;-316.0;34;202;-202;1039
-26;-99.0;0;-50.0;-3;-80;80;-26
-48;-53.0;2;72.0;9;8;-8;-48
-344;536.0;-2;504.0;18;-108;108;-344
-6;52.0;-6;58.0;-5;8;-8;-6
-37;42.0;-3;30.0;31;32;-32;-37
-23;14.0;-88;-130.0;-164;41;-41;-23
-56;16.0;-3;48.0;12;45;-45;-56
-659;755.0;34;1311.0;0;2618;-2618;-659
203;110.0;125;-142.0;-226;-89;89;203
2;54.0;-1;-319.0;12;-5;5;2
738;-78.0;-23;128.0;9;1956;-1956;738
268;-2.0;19;-143.0;19;4671;-4671;268
6;-794.0;46;-44.0;17;23;-23;6
22;-144.0;-785;-172.0;-985;-53;53;22
-5;8.0;1;48.0;24;-40;40;-5
42;-129.0;12;39.0;-5;46;-46;42
-26;-67.0;2;-30.0;9;-13;13;-26
-13;-171.0;162;136.0;-543;-142;142;-13
2;-213.0;0;-22.0;55;-44;44;2
-18;16.0;-2;44.0;-3;-18;18;-18
218;57.0;-475;-117.0;-458;-56;56;218
-48;-90.0;2;-55.0;47;28;-28;-48
86;-784.0;-95;-1410.0;460;-2746;2746;86
119;328.0;-93;-56.0;642;47;-47;119
-762;-297.0;28;-227.0;17;834;-834;-762
-10;57.0;-7;-85.0;14;-20;20;-10
21;-8.0;0;5.0;19;28;-28;21
-366;-350.0;-13;-238.0;66;2300;-2300;-366
-1396;-38.0;0;91.0;-23;-413;413;-1396
-3;74.0;3;18.0;18;21;-21;-3
-15;-1197.0;2260;-1693.0;-1334;-631;631;-15
17;108.0;-274;166.0;-8;33;-33;17
1343;608.0;-167;777.0;101;-2913;2913;1343
-55;-36.0;-3;52.0;10;-25;25;-55
-252;46.0;0;53.0;27;397;-397;-252
33;231.0;0;834.0;8;-29;29;33
-25;-2.0;-4;33.0;-15;-3;3;-25
223;312.0;-26;545.0;20;-1424;1424;223
-46;10.0;1;14.0;13;-9;9;-46
-33;14.0;3;78.0;9;-1;1;-33
-90;308.0;1;-84.0;41;-155;155;-90
226;-62.0;388;-2.0;368;-272;272;226
1255;1040.0;85;1099.0;59;6169;-6169;1255
-228;-53.0;-25;43.0;19;-61;61;-228
-1022;144.0;36;435.0;227;-3987;3987;-1022
3;-44.0;2;51.0;5;36;-36;3
-13;-178.0;-4;197.0;1;-7;7;-13
5;-141.0;-5;-437.0;-5;3;-3;5
-8;-36.0;2;23.0;17;27;-27;-8
-22;-374.0;3;1283.0;26;2;-2;-22
-4482;483.0;-33;854.0;102;-2985;2985;-4482
-12;-84.0;-8;125.0;12;13;-13;-12
-2;-14.0;6;34.0;11;45;-45;-2
-29;89.0;-8;95.0;5;58;-58;-29
9;-51.0;3;-65.0;-6;74;-74;9
-36;-8.0;4;34.0;23;-4;4;-36
6;-1127.0;699;-2324.0;-107;-413;413;6
-8;21.0;1;85.0;11;24;-24;-8
-628;98.0;4;42.0;10;275;-275;-628
-39;-1135.0;17;-1515.0;-1;-218;218;-39
40;-15.0;4;136.0;1;63;-63;40
-7;267.0;5;198.0;-1;30;-30;-7
17;260.0;8;-121.0;26;-17;17;17
47;31.0;555;181.0;174;-62;62;47
-36;925.0;20;1859.0;-98;71;-71;-36
1988;803.0;-91;625.0;25;863;-863;1988
55;-41.0;-6;59.0;25;-22;22;55
-461;2.0;5;-197.0;6;-384;384;-461
9;-308.0;445;-643.0;-335;-47;47;9
-50;194.0;-2;172.0;11;-452;452;-50
13;-339.0;1;102.0;15;39;-39;13
891;599.0;3;564.0;34;-483;483;891
-1473;472.0;-5;885.0;61;-2055;2055;-1473
-18;-429.0;4;503.0;15;-15;15;-18
3;436.0;0;194.0;16;-15;15;3
-6;161.0;-3;42.0;39;47;-47;-6
-2;-81.0;3;-166.0;23;-1;1;-2
245;145.0;-3;-103.0;56;153;-153;245
563;198.0;0;121.0;7;-316;316;563
-2;66.0;-4;-19.0;10;44;-44;-2
-2449;101.0;-29;-49.0;75;513;-513;-2449
-300;532.0;11;852.0;41;-759;759;-300
15;-19.0;-7;96.0;8;46;-46;15
-1967;-452.0;-67;389.0;30;2285;-2285;-1967
0;-92.0;2;513.0;33;-19;19;0
-25;1209.0;0;-395.0;10;5;-5;-25
-19;-17.0;-4;-105.0;24;-32;32;-19
-195;-193.0;-33;146.0;14;-326;326;-195
-34;-4.0;-8;168.0;5;-45;45;-34
