Accelerometer LUA^ accY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX
979.0;-45.0;172.0;-247.0;189.0;-884.0
890.0;-36.0;7.0;-322.0;72.0;-1055.0
854.0;-6.0;179.0;-72.0;153.0;-994.0
911.0;2.0;166.0;-60.0;130.0;-988.0
914.0;11.0;151.0;-50.0;93.0;-970.0
668.0;18.0;64.0;-223.0;40.0;-793.0
888.0;-14.0;13.0;-321.0;188.0;-830.0
763.0;4.0;-8.0;-291.0;226.0;-935.0
735.0;6.0;-22.0;-285.0;198.0;-998.0
802.0;37.0;-24.0;-251.0;137.0;-1017.0
805.0;48.0;-11.0;-241.0;122.0;-997.0
1041.0;29.0;110.0;-49.0;38.0;-953.0
981.0;28.0;100.0;-52.0;7.0;-893.0
949.0;28.0;102.0;-62.0;-31.0;-908.0
938.0;29.0;110.0;-70.0;-69.0;-967.0
920.0;30.0;102.0;-79.0;-111.0;-777.0
827.0;-158.0;91.0;-6.0;-298.0;-839.0
955.0;44.0;45.0;-65.0;-202.0;-973.0
1007.0;50.0;51.0;-54.0;-201.0;-999.0
1010.0;86.0;63.0;-27.0;-160.0;-790.0
1038.0;98.0;60.0;-14.0;-142.0;-798.0
996.0;113.0;60.0;-1.0;-121.0;-839.0
835.0;145.0;56.0;21.0;-88.0;-1020.0
803.0;57.0;-15.0;-231.0;101.0;-838.0
903.0;61.0;-26.0;-215.0;79.0;-715.0
891.0;61.0;-45.0;-201.0;52.0;-673.0
947.0;67.0;-62.0;-201.0;42.0;-680.0
862.0;221.0;43.0;90.0;-55.0;-984.0
727.0;298.0;-18.0;103.0;-190.0;-745.0
873.0;246.0;41.0;90.0;-83.0;-975.0
910.0;252.0;34.0;87.0;-110.0;-885.0
782.0;261.0;22.0;90.0;-119.0;-905.0
984.0;66.0;-78.0;-197.0;43.0;-708.0
911.0;60.0;-80.0;-202.0;65.0;-695.0
934.0;29.0;-58.0;-197.0;132.0;-753.0
1010.0;9.0;-50.0;-272.0;162.0;-829.0
713.0;0.0;60.0;-247.0;32.0;-949.0
910.0;27.0;-81.0;-336.0;22.0;-859.0
769.0;38.0;-84.0;-326.0;22.0;-759.0
738.0;62.0;-83.0;-299.0;47.0;-683.0
709.0;90.0;-56.0;-261.0;50.0;-728.0
702.0;109.0;-39.0;-244.0;47.0;-772.0
806.0;-218.0;-102.0;-450.0;280.0;-934.0
757.0;117.0;-29.0;-230.0;41.0;-854.0
790.0;127.0;-22.0;-218.0;40.0;-926.0
859.0;134.0;-15.0;-204.0;58.0;-1003.0
1016.0;8.0;-3.0;-300.0;122.0;-886.0
809.0;-4.0;-1.0;-317.0;151.0;-817.0
771.0;-21.0;9.0;-333.0;163.0;-791.0
762.0;-38.0;20.0;-351.0;160.0;-800.0
667.0;-30.0;11.0;-320.0;116.0;-839.0
709.0;-20.0;13.0;-307.0;140.0;-756.0
852.0;20.0;-5.0;-271.0;181.0;-769.0
879.0;114.0;-417.0;-40.0;-49.0;-1001.0
1066.0;-30.0;39.0;-312.0;206.0;-942.0
897.0;136.0;-63.0;-186.0;71.0;-805.0
1012.0;116.0;-148.0;-207.0;-70.0;-1164.0
936.0;19.0;-320.0;-80.0;-28.0;-932.0
936.0;-20.0;-300.0;-86.0;-5.0;-1001.0
932.0;-34.0;-287.0;-90.0;8.0;-1035.0
968.0;-70.0;-262.0;-92.0;29.0;-1033.0
782.0;129.0;-156.0;-201.0;9.0;-937.0
738.0;110.0;-169.0;-209.0;12.0;-777.0
975.0;-91.0;-285.0;-98.0;55.0;-897.0
704.0;91.0;-168.0;-215.0;32.0;-711.0
896.0;-90.0;-300.0;-112.0;12.0;-974.0
697.0;71.0;-163.0;-236.0;43.0;-682.0
738.0;56.0;-159.0;-263.0;45.0;-701.0
812.0;27.0;-140.0;-310.0;45.0;-831.0
803.0;12.0;-133.0;-333.0;51.0;-859.0
881.0;1.0;-130.0;-346.0;61.0;-828.0
830.0;99.0;10.0;-382.0;17.0;-915.0
863.0;115.0;-23.0;-343.0;5.0;-867.0
693.0;-21.0;105.0;-236.0;-26.0;-944.0
887.0;13.0;-366.0;-42.0;-3.0;-987.0
856.0;64.0;-365.0;-19.0;18.0;-808.0
769.0;35.0;95.0;-143.0;71.0;-772.0
714.0;45.0;91.0;-123.0;67.0;-755.0
777.0;104.0;33.0;-33.0;36.0;-924.0
762.0;6.0;-112.0;-265.0;157.0;-882.0
710.0;0.0;-135.0;-271.0;145.0;-787.0
774.0;50.0;-152.0;-344.0;-2.0;-731.0
816.0;102.0;-109.0;-310.0;43.0;-897.0
827.0;109.0;-80.0;-306.0;132.0;-915.0
935.0;111.0;-22.0;-328.0;10.0;-880.0
916.0;103.0;-20.0;-317.0;9.0;-871.0
948.0;97.0;-19.0;-307.0;7.0;-852.0
815.0;-65.0;-435.0;-319.0;-127.0;-926.0
898.0;-159.0;-237.0;-371.0;166.0;-1070.0
968.0;94.0;-20.0;-299.0;4.0;-858.0
1031.0;91.0;-16.0;-307.0;-1.0;-891.0
1012.0;89.0;-11.0;-315.0;-10.0;-928.0
814.0;121.0;-394.0;-181.0;-50.0;-893.0
825.0;-79.0;66.0;-331.0;285.0;-853.0
854.0;78.0;-270.0;-174.0;80.0;-889.0
893.0;59.0;-234.0;-178.0;131.0;-833.0
924.0;87.0;-3.0;-323.0;-12.0;-955.0
939.0;83.0;-1.0;-328.0;-17.0;-954.0
989.0;81.0;1.0;-327.0;-19.0;-979.0
860.0;67.0;-260.0;-167.0;-46.0;-1069.0
850.0;27.0;-19.0;-273.0;162.0;-1023.0
797.0;79.0;195.0;-60.0;105.0;-905.0
630.0;340.0;-316.0;82.0;-233.0;-645.0
751.0;214.0;-331.0;-38.0;-172.0;-794.0
738.0;205.0;-292.0;-37.0;-147.0;-904.0
828.0;11.0;-20.0;-285.0;159.0;-913.0
823.0;185.0;-368.0;32.0;-35.0;-659.0
744.0;206.0;-331.0;-21.0;284.0;-1235.0
1000.0;75.0;1.0;-332.0;-1.0;-1011.0
840.0;145.0;-164.0;-102.0;-2.0;-813.0
895.0;184.0;-209.0;-27.0;-11.0;-935.0
1093.0;514.0;-285.0;208.0;-52.0;-923.0
814.0;316.0;-608.0;34.0;-224.0;-823.0
691.0;204.0;-220.0;-81.0;105.0;-748.0
716.0;206.0;-211.0;-86.0;83.0;-764.0
769.0;292.0;-290.0;19.0;-183.0;-788.0
931.0;219.0;-204.0;-90.0;77.0;-852.0
838.0;-6.0;48.0;-293.0;133.0;-1060.0
747.0;-31.0;17.0;-329.0;147.0;-782.0
935.0;66.0;-1.0;-339.0;10.0;-959.0
987.0;67.0;1.0;-345.0;20.0;-1021.0
816.0;197.0;-181.0;-58.0;102.0;-732.0
960.0;67.0;6.0;-323.0;26.0;-987.0
930.0;225.0;-126.0;-51.0;-97.0;-916.0
906.0;171.0;-129.0;-91.0;6.0;-949.0
1021.0;195.0;-188.0;-63.0;69.0;-1110.0
909.0;177.0;-117.0;-97.0;102.0;-974.0
761.0;180.0;-146.0;-89.0;88.0;-698.0
732.0;215.0;-125.0;-48.0;-99.0;-733.0
775.0;171.0;-128.0;-65.0;36.0;-930.0
916.0;163.0;-124.0;-63.0;24.0;-1039.0
852.0;154.0;-124.0;-64.0;19.0;-967.0
803.0;149.0;-128.0;-61.0;22.0;-773.0
692.0;178.0;-129.0;-69.0;-133.0;-758.0
819.0;134.0;-115.0;-77.0;44.0;-735.0
732.0;165.0;-125.0;-85.0;-147.0;-791.0
942.0;116.0;169.0;45.0;16.0;-913.0
904.0;145.0;149.0;56.0;-15.0;-901.0
941.0;123.0;-116.0;-84.0;7.0;-1089.0
786.0;124.0;-128.0;-82.0;7.0;-839.0
705.0;156.0;-127.0;-95.0;-156.0;-878.0
836.0;150.0;-136.0;-109.0;-155.0;-1039.0
772.0;127.0;-178.0;-76.0;8.0;-755.0
861.0;513.0;-553.0;-158.0;-610.0;-897.0
778.0;125.0;-200.0;-69.0;2.0;-781.0
859.0;115.0;-210.0;-66.0;-7.0;-799.0
852.0;96.0;-237.0;-110.0;35.0;-865.0
714.0;86.0;-251.0;-123.0;34.0;-721.0
686.0;84.0;-254.0;-133.0;44.0;-705.0
964.0;80.0;-256.0;-147.0;55.0;-914.0
875.0;168.0;-203.0;-120.0;-118.0;-773.0
825.0;77.0;-287.0;-154.0;32.0;-861.0
777.0;77.0;-294.0;-156.0;43.0;-735.0
779.0;81.0;-301.0;-159.0;56.0;-715.0
741.0;82.0;-306.0;-157.0;66.0;-727.0
880.0;188.0;-217.0;-123.0;-123.0;-966.0
966.0;77.0;-2.0;-284.0;18.0;-1012.0
1148.0;205.0;-231.0;-116.0;-153.0;-1129.0
902.0;193.0;-149.0;-118.0;-18.0;-874.0
875.0;36.0;-311.0;-205.0;114.0;-881.0
806.0;37.0;-318.0;-210.0;112.0;-793.0
802.0;178.0;-130.0;-119.0;4.0;-720.0
795.0;9.0;-347.0;-241.0;157.0;-956.0
873.0;42.0;-320.0;-255.0;50.0;-837.0
894.0;47.0;-326.0;-256.0;55.0;-827.0
731.0;132.0;-121.0;-170.0;-117.0;-961.0
918.0;179.0;-83.0;-352.0;-360.0;-1159.0
551.0;95.0;230.0;419.0;-558.0;-647.0
1059.0;147.0;-213.0;-249.0;-35.0;-897.0
796.0;216.0;13.0;83.0;122.0;-875.0
814.0;208.0;-351.0;-216.0;-96.0;-826.0
665.0;103.0;63.0;29.0;-125.0;-815.0
781.0;258.0;-301.0;-150.0;-67.0;-807.0
814.0;258.0;-287.0;-147.0;-59.0;-825.0
827.0;261.0;-278.0;-142.0;-64.0;-842.0
870.0;255.0;-268.0;-136.0;-79.0;-902.0
781.0;51.0;-157.0;-421.0;141.0;-694.0
885.0;57.0;-148.0;-327.0;72.0;-811.0
601.0;94.0;67.0;33.0;-12.0;-678.0
925.0;245.0;-260.0;-134.0;-87.0;-963.0
965.0;232.0;-249.0;-136.0;-79.0;-907.0
802.0;216.0;-237.0;-138.0;-58.0;-724.0
862.0;132.0;-376.0;-146.0;-94.0;-953.0
978.0;82.0;-6.0;-278.0;13.0;-1003.0
959.0;87.0;-10.0;-275.0;7.0;-996.0
1025.0;113.0;-125.0;-248.0;116.0;-1014.0
877.0;103.0;-126.0;-252.0;145.0;-955.0
876.0;95.0;-129.0;-255.0;161.0;-951.0
903.0;88.0;-134.0;-255.0;158.0;-921.0
551.0;219.0;-603.0;28.0;-87.0;-969.0
900.0;79.0;-143.0;-257.0;137.0;-918.0
712.0;218.0;-350.0;-68.0;23.0;-835.0
835.0;178.0;-320.0;-97.0;8.0;-925.0
854.0;77.0;-145.0;-249.0;88.0;-890.0
816.0;307.0;-535.0;17.0;296.0;-954.0
801.0;65.0;-159.0;-243.0;-21.0;-853.0
769.0;62.0;-182.0;-243.0;-62.0;-841.0
784.0;62.0;-206.0;-238.0;-89.0;-943.0
1045.0;-16.0;-303.0;-235.0;-92.0;-929.0
800.0;85.0;-335.0;-216.0;-59.0;-883.0
818.0;83.0;-321.0;-225.0;-41.0;-947.0
746.0;83.0;-312.0;-230.0;-36.0;-788.0
893.0;102.0;-259.0;-242.0;-105.0;-853.0
745.0;115.0;-262.0;-237.0;-92.0;-753.0
668.0;72.0;-258.0;-212.0;66.0;-972.0
1033.0;176.0;-376.0;-162.0;199.0;-802.0
701.0;122.0;-251.0;-226.0;-76.0;-783.0
977.0;8.0;-177.0;-207.0;106.0;-957.0
921.0;-8.0;-170.0;-220.0;95.0;-974.0
907.0;-20.0;-162.0;-241.0;86.0;-1003.0
849.0;-40.0;-150.0;-284.0;75.0;-959.0
909.0;-158.0;-264.0;-372.0;145.0;-814.0
895.0;-203.0;-197.0;-557.0;83.0;-1025.0
743.0;129.0;-249.0;-220.0;-64.0;-781.0
756.0;137.0;-236.0;-208.0;-50.0;-805.0
807.0;145.0;-236.0;-201.0;-42.0;-802.0
1005.0;14.0;-19.0;-298.0;91.0;-868.0
746.0;153.0;-228.0;-185.0;-35.0;-764.0
1054.0;7.0;56.0;-270.0;167.0;-688.0
731.0;169.0;-217.0;-167.0;-26.0;-755.0
1015.0;5.0;25.0;-261.0;124.0;-810.0
939.0;6.0;30.0;-259.0;123.0;-826.0
981.0;65.0;110.0;-21.0;-82.0;-940.0
874.0;6.0;28.0;-266.0;120.0;-886.0
705.0;148.0;33.0;23.0;-140.0;-875.0
917.0;156.0;28.0;29.0;-136.0;-877.0
1001.0;158.0;23.0;30.0;-132.0;-916.0
745.0;178.0;-214.0;-168.0;-30.0;-803.0
799.0;184.0;-214.0;-167.0;-29.0;-888.0
890.0;187.0;-212.0;-154.0;-29.0;-959.0
808.0;201.0;27.0;46.0;-75.0;-920.0
963.0;189.0;-210.0;-149.0;-34.0;-793.0
779.0;200.0;23.0;26.0;-71.0;-975.0
771.0;185.0;32.0;3.0;-71.0;-865.0
801.0;22.0;-35.0;-261.0;150.0;-1130.0
903.0;155.0;-425.0;-122.0;-40.0;-865.0
806.0;107.0;-391.0;-138.0;-35.0;-949.0
1021.0;155.0;64.0;-21.0;-26.0;-802.0
1012.0;141.0;78.0;-37.0;-3.0;-800.0
959.0;113.0;101.0;-71.0;45.0;-848.0
1061.0;107.0;103.0;-71.0;51.0;-829.0
832.0;114.0;-394.0;-134.0;-42.0;-956.0
995.0;117.0;-299.0;-19.0;-11.0;-907.0
968.0;159.0;-384.0;51.0;-57.0;-1148.0
995.0;99.0;83.0;-79.0;57.0;-970.0
982.0;118.0;-323.0;2.0;-7.0;-1000.0
855.0;96.0;76.0;-93.0;56.0;-1020.0
814.0;95.0;72.0;-104.0;56.0;-1078.0
816.0;101.0;22.0;-125.0;4.0;-1243.0
808.0;108.0;-5.0;-136.0;-39.0;-956.0
748.0;111.0;-12.0;-148.0;-50.0;-886.0
878.0;115.0;-16.0;-156.0;-47.0;-904.0
866.0;120.0;-19.0;-160.0;-38.0;-917.0
970.0;119.0;-405.0;8.0;129.0;-949.0
979.0;91.0;-18.0;-262.0;-1.0;-1008.0
939.0;124.0;-28.0;-189.0;-11.0;-930.0
920.0;123.0;-35.0;-187.0;-12.0;-893.0
835.0;124.0;-37.0;-185.0;-7.0;-913.0
796.0;150.0;-61.0;-201.0;-40.0;-1098.0
762.0;154.0;-59.0;-197.0;-63.0;-977.0
755.0;149.0;-69.0;-193.0;-84.0;-887.0
985.0;92.0;-127.0;-236.0;-39.0;-935.0
814.0;5.0;6.0;-275.0;58.0;-1093.0
908.0;9.0;-3.0;-273.0;54.0;-1050.0
798.0;143.0;-83.0;-207.0;-100.0;-967.0
805.0;137.0;-93.0;-236.0;-106.0;-942.0
825.0;245.0;14.0;199.0;-89.0;-824.0
832.0;49.0;-95.0;-256.0;9.0;-854.0
483.0;269.0;-82.0;-25.0;-195.0;-552.0
817.0;163.0;112.0;83.0;-9.0;-990.0
726.0;146.0;140.0;52.0;48.0;-922.0
742.0;141.0;122.0;-19.0;-11.0;-741.0
778.0;115.0;150.0;-26.0;18.0;-730.0
836.0;133.0;-97.0;-269.0;-94.0;-875.0
751.0;75.0;185.0;-42.0;51.0;-799.0
811.0;87.0;187.0;-19.0;134.0;-884.0
774.0;54.0;197.0;-49.0;65.0;-788.0
892.0;124.0;-104.0;-246.0;-62.0;-823.0
863.0;77.0;138.0;-58.0;123.0;-804.0
913.0;72.0;133.0;-66.0;124.0;-836.0
906.0;66.0;134.0;-73.0;130.0;-820.0
831.0;63.0;134.0;-83.0;137.0;-762.0
926.0;44.0;132.0;-108.0;140.0;-773.0
836.0;41.0;202.0;-55.0;73.0;-757.0
876.0;27.0;208.0;-73.0;77.0;-758.0
928.0;18.0;141.0;-160.0;185.0;-833.0
899.0;128.0;-119.0;-241.0;-38.0;-766.0
873.0;13.0;211.0;-92.0;79.0;-771.0
887.0;-7.0;216.0;-114.0;78.0;-838.0
864.0;23.0;-76.0;-281.0;12.0;-924.0
875.0;136.0;-135.0;-249.0;-21.0;-688.0
811.0;154.0;-164.0;-269.0;-45.0;-737.0
860.0;7.0;-67.0;-292.0;17.0;-935.0
819.0;-12.0;-62.0;-298.0;44.0;-889.0
846.0;160.0;-173.0;-292.0;-64.0;-800.0
841.0;-194.0;89.0;-260.0;-214.0;-838.0
823.0;-181.0;88.0;-127.0;-321.0;-845.0
858.0;104.0;171.0;-206.0;-51.0;-733.0
789.0;53.0;156.0;-175.0;-190.0;-745.0
785.0;103.0;82.0;-113.0;-267.0;-822.0
874.0;161.0;-172.0;-299.0;-66.0;-847.0
852.0;164.0;-165.0;-291.0;-29.0;-929.0
884.0;163.0;-160.0;-288.0;-4.0;-920.0
863.0;-24.0;-85.0;-350.0;123.0;-831.0
979.0;155.0;-145.0;-294.0;59.0;-833.0
847.0;160.0;-29.0;-54.0;-514.0;-917.0
735.0;96.0;226.0;-105.0;-622.0;-788.0
944.0;141.0;-125.0;-314.0;103.0;-832.0
847.0;138.0;-112.0;-326.0;118.0;-895.0
1060.0;67.0;-19.0;-236.0;2.0;-750.0
876.0;123.0;-98.0;-340.0;127.0;-912.0
1036.0;105.0;-14.0;-179.0;-5.0;-718.0
710.0;166.0;93.0;-93.0;-166.0;-878.0
654.0;172.0;14.0;-61.0;-381.0;-683.0
751.0;-14.0;-90.0;-346.0;112.0;-815.0
813.0;11.0;-86.0;-321.0;110.0;-833.0
795.0;18.0;-82.0;-306.0;109.0;-791.0
781.0;30.0;-84.0;-291.0;100.0;-763.0
954.0;116.0;-21.0;-157.0;-15.0;-686.0
731.0;48.0;-75.0;-265.0;81.0;-721.0
829.0;130.0;-33.0;-135.0;-28.0;-710.0
936.0;-462.0;137.0;-645.0;458.0;-1017.0
942.0;-14.0;34.0;-445.0;215.0;-967.0
853.0;-56.0;50.0;-308.0;125.0;-822.0
830.0;51.0;103.0;-284.0;164.0;-720.0
751.0;60.0;-70.0;-250.0;68.0;-749.0
792.0;67.0;-56.0;-235.0;61.0;-875.0
886.0;-1.0;64.0;-294.0;90.0;-870.0
806.0;10.0;69.0;-290.0;85.0;-910.0
795.0;22.0;66.0;-281.0;90.0;-1007.0
857.0;33.0;53.0;-271.0;111.0;-1019.0
845.0;41.0;44.0;-266.0;125.0;-1002.0
933.0;68.0;-14.0;-208.0;87.0;-755.0
851.0;53.0;38.0;-263.0;136.0;-1007.0
745.0;65.0;8.0;-207.0;101.0;-740.0
700.0;165.0;-61.0;-88.0;-59.0;-841.0
710.0;180.0;-73.0;-66.0;-66.0;-937.0
693.0;199.0;-64.0;-21.0;-37.0;-1074.0
869.0;64.0;34.0;-256.0;141.0;-1020.0
917.0;70.0;244.0;-77.0;-28.0;-912.0
718.0;198.0;-54.0;-4.0;-29.0;-811.0
857.0;155.0;107.0;-12.0;-204.0;-833.0
931.0;149.0;101.0;-16.0;-196.0;-887.0
986.0;95.0;-25.0;-245.0;-8.0;-1012.0
972.0;113.0;-41.0;-201.0;-20.0;-970.0
953.0;-10.0;82.0;-269.0;187.0;-957.0
908.0;274.0;-152.0;-6.0;-467.0;-915.0
814.0;162.0;17.0;33.0;-220.0;-990.0
832.0;-83.0;171.0;-278.0;305.0;-776.0
769.0;-22.0;92.0;-282.0;196.0;-867.0
902.0;-40.0;96.0;-303.0;176.0;-941.0
852.0;-58.0;85.0;-315.0;126.0;-903.0
832.0;-74.0;61.0;-325.0;105.0;-874.0
754.0;24.0;-30.0;-304.0;125.0;-987.0
745.0;37.0;-47.0;-205.0;110.0;-1002.0
721.0;48.0;-66.0;-136.0;98.0;-924.0
769.0;62.0;-85.0;-93.0;92.0;-885.0
794.0;74.0;-102.0;-66.0;81.0;-871.0
926.0;-84.0;40.0;-350.0;130.0;-972.0
761.0;86.0;-115.0;-36.0;77.0;-842.0
853.0;137.0;-100.0;240.0;172.0;-800.0
854.0;66.0;-41.0;10.0;237.0;-898.0
833.0;-17.0;169.0;-136.0;120.0;-740.0
693.0;9.0;111.0;-123.0;95.0;-896.0
847.0;-252.0;224.0;-436.0;457.0;-1016.0
805.0;21.0;90.0;-120.0;77.0;-972.0
864.0;104.0;204.0;-46.0;-72.0;-945.0
883.0;147.0;165.0;-9.0;-112.0;-911.0
869.0;185.0;134.0;22.0;-139.0;-852.0
835.0;216.0;106.0;39.0;-147.0;-799.0
993.0;31.0;84.0;-110.0;91.0;-806.0
818.0;278.0;83.0;28.0;-131.0;-875.0
885.0;29.0;91.0;-107.0;110.0;-761.0
790.0;26.0;93.0;-113.0;119.0;-751.0
804.0;152.0;-521.0;-121.0;-160.0;-953.0
749.0;25.0;91.0;-122.0;124.0;-799.0
880.0;154.0;-416.0;-103.0;-102.0;-915.0
778.0;24.0;93.0;-137.0;126.0;-897.0
798.0;24.0;93.0;-149.0;129.0;-959.0
872.0;20.0;88.0;-161.0;125.0;-924.0
891.0;23.0;83.0;-159.0;122.0;-893.0
871.0;22.0;76.0;-153.0;118.0;-850.0
867.0;25.0;73.0;-146.0;102.0;-831.0
826.0;18.0;68.0;-144.0;69.0;-886.0
795.0;-255.0;273.0;-391.0;446.0;-840.0
916.0;14.0;76.0;-153.0;68.0;-897.0
885.0;10.0;86.0;-162.0;77.0;-1016.0
893.0;9.0;102.0;-162.0;91.0;-1094.0
804.0;34.0;100.0;-111.0;0.0;-972.0
872.0;65.0;53.0;-28.0;-194.0;-935.0
855.0;60.0;58.0;-24.0;-188.0;-918.0
808.0;54.0;65.0;-23.0;-181.0;-861.0
826.0;-172.0;108.0;20.0;-284.0;-850.0
796.0;37.0;85.0;-24.0;-175.0;-982.0
866.0;32.0;99.0;-29.0;-163.0;-1041.0
848.0;3.0;219.0;-206.0;-132.0;-841.0
872.0;-70.0;190.0;-183.0;-60.0;-936.0
921.0;-128.0;299.0;-271.0;-156.0;-936.0
847.0;141.0;28.0;-2.0;-29.0;-962.0
915.0;115.0;78.0;-3.0;-19.0;-842.0
715.0;10.0;-10.0;-357.0;5.0;-769.0
720.0;16.0;-11.0;-340.0;-10.0;-804.0
926.0;-10.0;2.0;-329.0;153.0;-895.0
1003.0;89.0;106.0;-19.0;-20.0;-818.0
856.0;73.0;124.0;-36.0;-12.0;-785.0
754.0;22.0;-2.0;-324.0;0.0;-957.0
723.0;12.0;11.0;-317.0;140.0;-808.0
857.0;49.0;163.0;-83.0;31.0;-1027.0
772.0;33.0;6.0;-292.0;130.0;-822.0
825.0;60.0;2.0;-257.0;110.0;-830.0
776.0;74.0;5.0;-235.0;88.0;-797.0
769.0;88.0;-7.0;-225.0;58.0;-771.0
751.0;105.0;-8.0;-205.0;29.0;-779.0
784.0;121.0;-15.0;-181.0;10.0;-849.0
864.0;130.0;-8.0;-158.0;10.0;-928.0
932.0;7.0;74.0;-293.0;62.0;-859.0
918.0;139.0;15.0;-137.0;25.0;-790.0
828.0;139.0;37.0;-125.0;32.0;-754.0
958.0;120.0;-49.0;-187.0;-25.0;-958.0
959.0;100.0;17.0;-234.0;114.0;-982.0
997.0;126.0;-9.0;-219.0;52.0;-1047.0
1030.0;82.0;62.0;-161.0;65.0;-1075.0
880.0;73.0;56.0;-171.0;58.0;-921.0
763.0;65.0;44.0;-197.0;47.0;-814.0
907.0;41.0;26.0;-232.0;9.0;-961.0
913.0;34.0;12.0;-254.0;-12.0;-942.0
845.0;22.0;3.0;-268.0;-28.0;-909.0
869.0;19.0;-236.0;-315.0;48.0;-938.0
881.0;1.0;-28.0;-295.0;-7.0;-908.0
980.0;-9.0;-31.0;-294.0;16.0;-1001.0
886.0;132.0;226.0;-107.0;-61.0;-842.0
965.0;153.0;-75.0;-175.0;-44.0;-958.0
798.0;129.0;-404.0;-55.0;250.0;-933.0
720.0;90.0;466.0;-81.0;-39.0;-782.0
1074.0;161.0;-81.0;-157.0;-53.0;-1004.0
1068.0;159.0;-80.0;-154.0;-55.0;-1010.0
860.0;141.0;210.0;-107.0;-73.0;-909.0
880.0;139.0;209.0;-114.0;-76.0;-893.0
876.0;140.0;209.0;-117.0;-69.0;-909.0
880.0;141.0;221.0;-108.0;-58.0;-871.0
846.0;147.0;217.0;-94.0;-58.0;-857.0
1043.0;160.0;-77.0;-157.0;-52.0;-1003.0
960.0;158.0;-69.0;-164.0;-43.0;-1006.0
967.0;154.0;-68.0;-154.0;-49.0;-956.0
978.0;159.0;-71.0;-145.0;-54.0;-965.0
826.0;155.0;213.0;-82.0;-62.0;-870.0
846.0;161.0;208.0;-73.0;-77.0;-874.0
851.0;171.0;199.0;-57.0;-91.0;-910.0
801.0;85.0;-146.0;-319.0;113.0;-970.0
1003.0;-13.0;-23.0;-275.0;81.0;-921.0
951.0;-9.0;-8.0;-260.0;110.0;-864.0
990.0;162.0;-70.0;-133.0;-53.0;-952.0
1015.0;164.0;-68.0;-134.0;-53.0;-961.0
989.0;162.0;-66.0;-134.0;-53.0;-982.0
961.0;167.0;-65.0;-134.0;-46.0;-977.0
947.0;162.0;-66.0;-133.0;-43.0;-980.0
960.0;55.0;-15.0;-230.0;129.0;-1008.0
942.0;162.0;-66.0;-132.0;-35.0;-963.0
963.0;160.0;-65.0;-129.0;-32.0;-955.0
859.0;77.0;-17.0;-232.0;129.0;-868.0
959.0;160.0;-65.0;-129.0;-29.0;-965.0
949.0;159.0;-65.0;-126.0;-33.0;-966.0
943.0;159.0;-68.0;-129.0;-33.0;-975.0
950.0;156.0;-68.0;-132.0;-32.0;-980.0
948.0;156.0;-68.0;-134.0;-28.0;-970.0
