InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
5;79.0;-2;-81.0;3;-13;13;5
-67;24.0;2;38.0;13;41;-41;-67
5;14.0;2;30.0;26;-17;17;5
-25;-5.0;5;52.0;23;-21;21;-25
-36;16.0;-2;50.0;12;6;-6;-36
229;363.0;-25;243.0;20;-30;30;229
4;134.0;4;180.0;19;-38;38;4
268;52.0;353;-24.0;361;127;-127;268
492;986.0;-147;1294.0;-3;-218;218;492
-8;12.0;-2;40.0;21;-26;26;-8
5;19.0;1;60.0;22;-7;7;5
25;40.0;-5;58.0;17;2;-2;25
11;20.0;1;35.0;24;-16;16;11
78;384.0;542;501.0;311;-29;29;78
-4;29.0;1;37.0;22;3;-3;-4
479;-202.0;5;-242.0;42;98;-98;479
-895;148.0;26;158.0;19;-523;523;-895
-6;23.0;-3;36.0;4;-4;4;-6
3;-2.0;-4;53.0;18;-4;4;3
8;4.0;6;37.0;24;-7;7;8
-16;2.0;1;56.0;22;-31;31;-16
22;230.0;-4;-412.0;19;3;-3;22
-11;71.0;-5;42.0;17;-28;28;-11
-1;5.0;3;26.0;24;-7;7;-1
27;75.0;-80;151.0;-167;-28;28;27
40;-1004.0;1503;-1729.0;-2122;-898;898;40
3;89.0;-144;225.0;-574;-23;23;3
-1;22.0;-6;38.0;18;-10;10;-1
-2;17.0;5;42.0;33;7;-7;-2
19;-412.0;3;2.0;26;6;-6;19
20;45.0;-1;33.0;8;-16;16;20
8;12.0;1;19.0;-6;15;-15;8
257;-929.0;168;-1795.0;59;-3344;3344;257
-19;8.0;-60;41.0;-125;5;-5;-19
7;18.0;5;25.0;25;-8;8;7
-38;21.0;3;67.0;7;-104;104;-38
-2;26.0;4;37.0;18;-40;40;-2
32;21.0;-2;99.0;9;-13;13;32
-4;14.0;7;58.0;15;-7;7;-4
22;53.0;1;8.0;23;-1;1;22
-19;14.0;-7;59.0;6;-5;5;-19
-16;17.0;-1;37.0;7;-4;4;-16
38;16.0;5;45.0;13;-15;15;38
-1;-242.0;1;65.0;24;2;-2;-1
-39;-50.0;2;69.0;10;-2;2;-39
-1;18.0;3;46.0;20;-9;9;-1
6;-77.0;-198;126.0;-276;9;-9;6
10;300.0;-618;512.0;-295;-72;72;10
28;0.0;-1;29.0;21;-4;4;28
-14;13.0;6;42.0;-3;1;-1;-14
-6;-330.0;12;-391.0;5;3;-3;-6
-47;-216.0;-108;-75.0;-182;14;-14;-47
13;-274.0;-1017;-41.0;-847;-34;34;13
88;252.0;577;-342.0;-372;-101;101;88
-1;-180.0;-1;255.0;25;-15;15;-1
3;36.0;0;78.0;21;-27;27;3
-33;12.0;3;26.0;7;-5;5;-33
-1;42.0;0;51.0;13;15;-15;-1
-4;-9.0;-1;49.0;11;-35;35;-4
-8;0.0;1;29.0;29;-17;17;-8
12;5.0;-2;47.0;19;-35;35;12
-7;16.0;5;33.0;13;14;-14;-7
19;16.0;2;34.0;13;-6;6;19
11;-60.0;4;-63.0;16;13;-13;11
5;32.0;0;32.0;24;-7;7;5
41;289.0;-523;183.0;233;17;-17;41
-4;-7.0;-4;39.0;36;-4;4;-4
-37;76.0;-299;-175.0;-395;-63;63;-37
39;14.0;0;-95.0;19;13;-13;39
4;-39.0;-5;96.0;10;-25;25;4
7;77.0;5;32.0;28;-15;15;7
-9;-7.0;-2;44.0;11;-6;6;-9
-41;-250.0;230;38.0;-65;-21;21;-41
4;-3.0;-3;44.0;15;-7;7;4
-65;-1133.0;13;-1563.0;-52;-227;227;-65
6;347.0;8;242.0;1;-1;1;6
-76;-32.0;-4;-4.0;8;44;-44;-76
-14;0.0;0;-5.0;25;-25;25;-14
250;338.0;4;-75.0;-20;272;-272;250
6;4.0;-4;20.0;14;-7;7;6
72;801.0;-861;822.0;668;59;-59;72
0;17.0;-2;52.0;22;-17;17;0
13;26.0;3;24.0;20;7;-7;13
5;-2.0;3;52.0;12;-24;24;5
-5;-154.0;3;-91.0;12;4;-4;-5
-12;12.0;1;64.0;24;1;-1;-12
-16;20.0;3;12.0;22;1;-1;-16
0;24.0;5;68.0;38;-11;11;0
4;772.0;-3;2100.0;22;-16;16;4
20;16.0;3;70.0;27;-17;17;20
23;31.0;47;40.0;71;37;-37;23
-628;98.0;4;42.0;10;275;-275;-628
10;18.0;0;32.0;30;-26;26;10
-2;16.0;6;38.0;28;-8;8;-2
843;794.0;3;1012.0;13;243;-243;843
12;-11.0;-6;89.0;17;30;-30;12
256;-96.0;22;104.0;30;902;-902;256
2;12.0;0;43.0;15;-5;5;2
9;-11.0;3;46.0;25;-20;20;9
-1;21.0;1;45.0;15;-7;7;-1
1;17.0;0;50.0;15;-17;17;1
30;-104.0;-512;-65.0;556;-159;159;30
19;104.0;-141;-19.0;240;21;-21;19
34;-126.0;1175;-546.0;1045;-51;51;34
2331;552.0;181;748.0;175;-1612;1612;2331
-62;-496.0;262;-446.0;331;69;-69;-62
-45;15.0;5;36.0;11;-27;27;-45
-3;12.0;-6;-98.0;18;-33;33;-3
-20;27.0;-3;54.0;19;6;-6;-20
39;-32.0;-508;-137.0;123;-29;29;39
-6;23.0;2;55.0;17;-3;3;-6
21;60.0;1;121.0;13;-5;5;21
4;10.0;0;25.0;19;4;-4;4
-13;23.0;3;36.0;19;1;-1;-13
5;60.0;-1;-11.0;13;-6;6;5
-9;-4.0;-5;52.0;13;19;-19;-9
-3;26.0;2;40.0;32;-15;15;-3
13;1.0;3;81.0;25;-12;12;13
-3;30.0;-5;30.0;26;2;-2;-3
-9;41.0;-2;48.0;7;-4;4;-9
-3808;540.0;69;710.0;12;-2672;2672;-3808
21;29.0;4;64.0;28;-12;12;21
-199;90.0;-9;58.0;26;-297;297;-199
11;69.0;-3;53.0;22;-26;26;11
35;-16.0;1;103.0;21;-74;74;35
-10;22.0;0;40.0;16;7;-7;-10
-241;250.0;2;38.0;10;529;-529;-241
-12;-6.0;-7;15.0;21;-47;47;-12
15;-2.0;-1;34.0;19;-46;46;15
-20;43.0;3;21.0;23;-10;10;-20
-7;91.0;2;20.0;13;14;-14;-7
-259;29.0;3;37.0;15;-936;936;-259
20;14.0;1;45.0;28;41;-41;20
-6;26.0;-2;38.0;11;-9;9;-6
-78;95.0;-6;-49.0;15;-54;54;-78
40;-3.0;234;48.0;316;-27;27;40
-41;-11.0;0;52.0;21;-13;13;-41
21;25.0;4;49.0;-2;-23;23;21
10;-9.0;6;-6.0;23;21;-21;10
-9;23.0;3;21.0;10;-22;22;-9
0;4.0;1;-30.0;15;10;-10;0
296;63.0;14;158.0;74;-39;39;296
817;123.0;6;96.0;-16;152;-152;817
1;0.0;-3;44.0;14;2;-2;1
-18;-1.0;5;76.0;5;-34;34;-18
6;125.0;0;-27.0;8;8;-8;6
-5;-3.0;2;78.0;28;11;-11;-5
115;180.0;-1528;152.0;428;-196;196;115
36;-112.0;-10;150.0;61;35;-35;36
15;2.0;7;49.0;27;15;-15;15
-21;58.0;-6;131.0;24;14;-14;-21
-3;17.0;5;64.0;26;-17;17;-3
16;-1534.0;-1401;-2017.0;-466;-239;239;16
19;-9.0;-2;86.0;17;-48;48;19
-2;29.0;5;48.0;10;5;-5;-2
9;10.0;-3;58.0;9;-8;8;9
28;19.0;5;-5.0;8;23;-23;28
-1;2.0;-4;325.0;25;-16;16;-1
2;-117.0;590;27.0;572;26;-26;2
4;-30.0;0;31.0;15;27;-27;4
-11;27.0;-3;34.0;8;40;-40;-11
-21;94.0;4;61.0;17;-10;10;-21
13;24.0;-1;8.0;22;-21;21;13
13;-26.0;-4;33.0;11;1;-1;13
9;12.0;2;46.0;7;0;0;9
-23;30.0;1;57.0;21;-28;28;-23
125;-637.0;-87;-1020.0;45;-1343;1343;125
35;-25.0;4;44.0;25;27;-27;35
-30;52.0;1;36.0;14;14;-14;-30
1;29.0;4;94.0;19;-23;23;1
17;9.0;-1;25.0;24;18;-18;17
-7;-424.0;2;411.0;17;-23;23;-7
-13;28.0;-1;39.0;21;12;-12;-13
18;24.0;-2;53.0;19;14;-14;18
2;172.0;4;185.0;11;22;-22;2
-20;60.0;0;67.0;15;-12;12;-20
243;366.0;-1161;400.0;-648;-1171;1171;243
-14;-16.0;-1;12.0;17;-16;16;-14
-4;8.0;-1;49.0;24;-19;19;-4
7;24.0;-4;60.0;8;-2;2;7
-13;65.0;1;67.0;5;37;-37;-13
16;-27.0;2;98.0;13;50;-50;16
1255;1040.0;85;1099.0;59;6169;-6169;1255
-33;14.0;3;78.0;9;-1;1;-33
-27;9.0;5;123.0;10;5;-5;-27
10;87.0;-5;506.0;47;-1;1;10
223;187.0;3;283.0;15;4375;-4375;223
-1064;17.0;-23;-7.0;47;1426;-1426;-1064
-9;-103.0;3;-231.0;14;12;-12;-9
1740;570.0;-22;923.0;30;1824;-1824;1740
149;10.0;2;106.0;23;210;-210;149
14;440.0;4;767.0;-8;-33;33;14
-23;-495.0;-1;946.0;12;-35;35;-23
24;-1025.0;4;-570.0;-3;-5;5;24
258;12.0;-7;-17.0;34;-436;436;258
965;-119.0;-25;-535.0;15;1772;-1772;965
409;356.0;118;629.0;190;-1113;1113;409
-2278;3.0;0;130.0;23;343;-343;-2278
-2;48.0;-8;-213.0;20;-3;3;-2
-456;-363.0;-20;-589.0;90;902;-902;-456
-27;-26.0;246;609.0;111;-4979;4979;-27
-42;142.0;-11;-176.0;15;-240;240;-42
1329;124.0;-5;-233.0;27;715;-715;1329
997;131.0;4;59.0;34;-343;343;997
-1360;20.0;-49;-378.0;130;-8157;8157;-1360
403;1152.0;0;1854.0;57;2677;-2677;403
30;-24.0;-10;-417.0;-10;-6;6;30
-28;368.0;12;243.0;-53;-199;199;-28
1;908.0;10;186.0;10;10;-10;1
-18;-62.0;-914;460.0;619;-36;36;-18
-1473;472.0;-5;885.0;61;-2055;2055;-1473
-3;91.0;-1;211.0;7;9;-9;-3
2641;822.0;-9;520.0;34;4360;-4360;2641
702;-67.0;16;-510.0;45;-649;649;702
-66;-112.0;-13;-78.0;37;-71;71;-66
-21;-282.0;7;-892.0;45;-16;16;-21
263;-54.0;5;6.0;-16;-2722;2722;263
-7;1134.0;-2;-435.0;14;0;0;-7
-198;-13.0;17;-339.0;20;-424;424;-198
