InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit BACK gyroZ
3244.0;11;1;15;-2461.0;-405.0;47.0;303;15;11;1017.0;22.0
3175.0;10;5;12;-2551.0;-458.0;-27.0;310;12;10;980.0;78.0
2773.0;22;-3;?;-2628.0;-435.0;-284.0;313;-40;22;1023.0;78.0
2435.0;-5;-3;-4;-2609.0;-330.0;-294.0;309;-4;-5;998.0;98.0
1975.0;-16;0;19;-2535.0;-62.0;-455.0;309;19;-16;813.0;41.0
1402.0;19;-2;-22;-2355.0;12.0;-728.0;311;-22;19;745.0;8.0
1362.0;-6;2;-18;-2176.0;252.0;-820.0;312;?;-6;529.0;15.0
?;-31;5;-10;-1903.0;299.0;-615.0;305;?;-31;169.0;38.0
-154.0;2;4;-17;-1520.0;183.0;294.0;299;-17;2;-222.0;146.0
-292.0;10;3;-26;?;-34.0;769.0;307;-26;10;-612.0;67.0
515.0;-4;2;-4;-599.0;-248.0;591.0;310;-4;-4;-559.0;29.0
343.0;21;4;24;-219.0;-198.0;166.0;306;24;?;-161.0;20.0
14.0;29;2;8;102.0;-164.0;?;311;8;29;134.0;16.0
?;2;-3;8;275.0;-140.0;-166.0;309;8;2;70.0;37.0
-407.0;?;0;16;529.0;-94.0;-131.0;305;16;-7;-2.0;59.0
-363.0;-14;5;-4;621.0;-10.0;-285.0;310;-4;-14;-10.0;-10.0
-834.0;-1;5;15;648.0;50.0;-495.0;308;15;-1;2.0;-66.0
300.0;-7;-3;-3;-286.0;-19.0;-21.0;308;-3;-7;-249.0;31.0
443.0;25;-6;-3;-530.0;87.0;202.0;322;?;25;-455.0;38.0
688.0;25;-2;-10;-884.0;?;443.0;310;-10;25;-482.0;?
546.0;-9;3;-1;-1433.0;115.0;568.0;306;-1;-9;-163.0;44.0
215.0;-10;0;-13;-2068.0;59.0;501.0;309;-13;-10;379.0;42.0
-224.0;?;-1;-26;-2772.0;8.0;403.0;?;-26;-22;728.0;-87.0
-648.0;-25;-3;?;-3779.0;-102.0;?;308;14;-25;?;-25.0
-1365.0;11;4;-10;-4684.0;?;330.0;309;-10;11;473.0;13.0
-1888.0;-7;2;-37;-5414.0;-138.0;507.0;308;-37;-7;274.0;49.0
-1863.0;-31;0;-1;?;-148.0;2.0;308;-1;-31;279.0;92.0
-1870.0;6;7;?;-5894.0;15.0;-689.0;?;-28;6;9.0;146.0
-2399.0;-4;-7;-8;-5501.0;-24.0;-1479.0;319;-8;-4;-352.0;218.0
-2812.0;5;45;-20;-5130.0;-159.0;-1389.0;?;-20;5;-63.0;156.0
-2567.0;37;55;-34;-4745.0;-150.0;-1169.0;322;-34;37;-98.0;?
-2241.0;41;-1;-25;-4472.0;-104.0;-1317.0;326;-25;41;91.0;128.0
-2055.0;6;28;-35;-4020.0;-88.0;-1060.0;343;-35;6;620.0;139.0
?;-10;13;9;-3568.0;-129.0;?;349;9;-10;737.0;144.0
-779.0;?;-21;-72;-2965.0;-160.0;-962.0;349;-72;85;446.0;113.0
-355.0;?;7;-65;-2324.0;-185.0;?;328;-65;23;?;98.0
-175.0;404;10;-515;-1841.0;-257.0;-368.0;?;-515;404;261.0;96.0
-264.0;1072;-3;-515;-1351.0;-230.0;-152.0;331;-515;1072;49.0;98.0
-333.0;809;-4;649;-843.0;-82.0;-39.0;?;649;809;-230.0;92.0
49.0;216;-12;812;-359.0;41.0;375.0;328;812;216;-360.0;132.0
697.0;-99;-11;344;71.0;147.0;777.0;336;344;-99;-478.0;112.0
1065.0;-307;1;186;474.0;201.0;1103.0;322;186;?;-446.0;119.0
1130.0;-375;5;155;843.0;239.0;1212.0;318;155;-375;-320.0;120.0
976.0;-358;1;531;1102.0;342.0;1088.0;327;531;-358;-162.0;?
634.0;-143;-5;745;1232.0;334.0;1007.0;323;745;-143;19.0;132.0
265.0;171;-10;689;1213.0;368.0;?;326;689;171;30.0;108.0
-74.0;192;-14;452;1076.0;290.0;439.0;333;452;192;40.0;?
-173.0;6;-1;?;892.0;282.0;230.0;322;269;6;6.0;112.0
-217.0;-84;-4;356;674.0;?;99.0;338;356;-84;-190.0;104.0
-136.0;-82;-14;271;430.0;46.0;46.0;362;271;-82;-370.0;103.0
-6.0;13;3;68;274.0;-13.0;55.0;345;68;13;-459.0;52.0
41.0;129;4;140;69.0;-78.0;108.0;342;140;129;-315.0;16.0
62.0;148;10;221;-105.0;-119.0;100.0;342;221;148;-178.0;-19.0
20.0;?;?;274;-348.0;?;60.0;333;274;112;-162.0;-32.0
-99.0;24;-6;336;-576.0;-79.0;-16.0;346;?;24;-284.0;-62.0
-136.0;-101;-3;186;-677.0;-3.0;23.0;346;186;-101;-265.0;-85.0
-160.0;-135;5;-66;-628.0;41.0;59.0;324;-66;-135;-94.0;-97.0
-82.0;-118;?;-262;-653.0;10.0;11.0;322;-262;-118;54.0;-81.0
?;-102;6;-169;-578.0;0.0;-86.0;336;-169;-102;151.0;-87.0
98.0;-2;5;69;-487.0;-23.0;-269.0;329;69;-2;202.0;-100.0
-25.0;115;3;229;-399.0;-8.0;-322.0;323;229;115;137.0;-102.0
-167.0;153;7;389;-258.0;9.0;-175.0;332;389;153;47.0;-108.0
-120.0;128;7;392;-69.0;-50.0;-145.0;323;392;128;35.0;-74.0
-53.0;72;4;299;?;-61.0;-208.0;309;299;72;138.0;-100.0
-210.0;64;2;276;183.0;-116.0;-396.0;314;276;64;143.0;-57.0
-420.0;-76;6;280;192.0;-163.0;-506.0;303;280;-76;127.0;-50.0
-504.0;27;3;278;248.0;-197.0;-532.0;313;278;27;51.0;-34.0
-527.0;143;3;259;234.0;-268.0;-539.0;323;259;143;-77.0;-26.0
-436.0;-21;7;210;309.0;-345.0;-469.0;306;210;-21;-190.0;-16.0
-105.0;424;-1;-15;295.0;-336.0;-324.0;352;-15;?;-303.0;-20.0
295.0;417;29;-507;435.0;-329.0;166.0;305;-507;417;-505.0;-27.0
422.0;81;14;-674;509.0;-306.0;300.0;193;-674;81;-575.0;-8.0
245.0;196;-37;-249;600.0;-300.0;128.0;289;-249;196;-545.0;75.0
66.0;-58;-13;52;?;-298.0;56.0;375;52;-58;-210.0;141.0
?;-59;0;17;662.0;-374.0;-119.0;294;17;-59;-186.0;126.0
-27.0;47;7;-10;71.0;-346.0;119.0;291;-10;47;?;?
-141.0;-26;21;7;244.0;-18.0;-161.0;310;7;-26;-40.0;-64.0
-437.0;44;0;10;373.0;58.0;-284.0;292;?;44;163.0;-40.0
-298.0;36;-6;18;312.0;165.0;311.0;323;18;36;451.0;-27.0
495.0;12;2;-8;369.0;270.0;768.0;312;-8;12;617.0;-18.0
1213.0;-10;7;-21;177.0;252.0;434.0;296;-21;-10;660.0;15.0
911.0;13;5;14;-34.0;213.0;343.0;309;14;13;393.0;9.0
119.0;27;1;7;-109.0;137.0;362.0;308;7;27;157.0;9.0
?;-9;1;-13;-76.0;72.0;390.0;309;-13;-9;-18.0;25.0
315.0;2;5;-1;?;54.0;420.0;308;-1;2;-10.0;14.0
466.0;12;2;-1;?;86.0;231.0;?;-1;12;159.0;-6.0
139.0;-10;3;?;-311.0;85.0;-9.0;311;11;-10;251.0;-46.0
-218.0;7;6;22;-437.0;38.0;-216.0;309;22;7;224.0;-27.0
-367.0;16;-5;-5;-452.0;83.0;-260.0;312;-5;16;200.0;-43.0
-257.0;-65;-3;35;?;119.0;-208.0;307;35;-65;?;-42.0
-188.0;-257;7;202;?;175.0;-245.0;303;202;-257;288.0;-78.0
-137.0;-365;-6;239;-282.0;142.0;-183.0;322;239;-365;283.0;-72.0
-133.0;-201;-4;63;-230.0;142.0;-126.0;?;63;-201;272.0;-76.0
-134.0;-42;4;66;-169.0;149.0;-93.0;309;66;-42;181.0;-79.0
-68.0;22;-2;188;-142.0;177.0;-8.0;323;188;22;158.0;-89.0
-39.0;59;-3;154;-179.0;191.0;?;331;154;59;183.0;-79.0
-135.0;9;3;0;-188.0;190.0;-49.0;324;0;9;?;-46.0
?;-50;7;-114;-130.0;164.0;41.0;318;-114;-50;126.0;-89.0
42.0;-83;2;-109;-44.0;165.0;211.0;319;-109;-83;?;-79.0
151.0;?;2;-173;4.0;143.0;311.0;307;-173;-63;10.0;-38.0
213.0;-117;4;-16;-18.0;111.0;279.0;308;-16;-117;-50.0;-22.0
205.0;-109;2;240;-52.0;29.0;301.0;314;?;-109;-123.0;9.0
176.0;59;-2;137;-68.0;-35.0;333.0;315;137;59;-304.0;39.0
146.0;101;-6;53;?;-136.0;311.0;330;53;101;-416.0;124.0
104.0;123;5;56;104.0;-124.0;241.0;315;56;123;?;153.0
72.0;138;9;-2;177.0;-186.0;190.0;306;-2;?;-496.0;176.0
102.0;72;0;-56;234.0;-187.0;212.0;324;-56;72;-406.0;?
125.0;-10;4;-133;191.0;-172.0;202.0;318;-133;-10;-174.0;107.0
?;-141;8;-236;75.0;-184.0;76.0;309;-236;-141;-54.0;86.0
-68.0;-186;6;-249;35.0;-127.0;-37.0;307;-249;-186;-73.0;45.0
-146.0;-132;1;-125;-9.0;-159.0;-41.0;?;-125;-132;-117.0;14.0
-156.0;-139;-9;-124;-90.0;-122.0;-23.0;322;-124;-139;-150.0;1.0
-161.0;-145;-12;39;-83.0;?;-89.0;325;39;-145;-84.0;-26.0
-165.0;-58;-6;130;-66.0;-95.0;-116.0;321;?;-58;-50.0;-9.0
?;-39;-6;155;-21.0;-123.0;-182.0;321;155;-39;?;?
-272.0;-45;-3;250;52.0;?;-205.0;316;250;-45;-21.0;-35.0
-228.0;43;0;-155;92.0;-115.0;-268.0;320;-155;?;85.0;-43.0
-158.0;-46;1;430;175.0;-159.0;-227.0;308;430;-46;109.0;-24.0
-191.0;-7;-7;-386;160.0;?;-306.0;?;-386;-7;?;-67.0
-283.0;-8;-9;135;?;-191.0;-350.0;317;135;-8;24.0;-44.0
-289.0;96;11;19;188.0;-198.0;-385.0;300;19;96;-62.0;-98.0
-333.0;710;14;-5439;206.0;-249.0;-451.0;333;-5439;710;-116.0;-79.0
-413.0;399;-3;-3074;210.0;-319.0;-480.0;319;-3074;399;-131.0;-64.0
-487.0;-159;-12;1037;197.0;-331.0;-509.0;301;1037;?;-174.0;-78.0
?;-16;-13;-553;327.0;-341.0;-544.0;323;-553;-16;?;-54.0
-403.0;-16;-19;?;381.0;-321.0;-559.0;292;102;-16;40.0;5.0
-281.0;-7;-11;80;-117.0;177.0;-51.0;293;80;-7;-607.0;?
-74.0;-10;16;-164;-8.0;-346.0;90.0;325;-164;-10;60.0;-145.0
46.0;-34;17;159;150.0;-356.0;160.0;300;159;-34;?;-112.0
339.0;30;-2;-109;?;-337.0;549.0;296;-109;30;-172.0;-76.0
618.0;38;-3;29;144.0;-276.0;?;314;29;38;-6.0;-91.0
510.0;30;0;2;-141.0;-150.0;-52.0;304;2;30;-122.0;-81.0
-57.0;30;-3;?;-380.0;-342.0;10.0;?;-33;30;-226.0;-68.0
-371.0;34;-4;-44;-265.0;-435.0;-62.0;307;-44;34;-224.0;-5.0
-160.0;16;-1;-41;71.0;-408.0;-47.0;301;-41;16;?;37.0
89.0;16;2;-4;425.0;-233.0;?;?;-4;16;-408.0;59.0
36.0;33;0;-10;624.0;-144.0;-45.0;308;-10;33;-143.0;65.0
25.0;20;1;?;579.0;-76.0;9.0;?;-29;?;36.0;70.0
99.0;26;2;47;426.0;-43.0;94.0;303;47;26;83.0;35.0
131.0;25;1;58;290.0;-9.0;72.0;307;?;25;162.0;44.0
16.0;-50;1;-9;191.0;-13.0;?;307;-9;-50;77.0;21.0
-170.0;-96;-3;99;114.0;-18.0;-274.0;308;99;-96;-21.0;59.0
-297.0;-313;-10;338;7.0;-41.0;-338.0;306;338;-313;-55.0;33.0
-340.0;?;-7;322;-58.0;-20.0;-376.0;303;322;-455;-2.0;11.0
-367.0;-92;0;80;-146.0;-11.0;-362.0;320;80;-92;-7.0;29.0
-336.0;115;0;44;-204.0;20.0;-344.0;317;44;115;-4.0;10.0
-343.0;34;-5;44;-268.0;133.0;?;316;44;?;9.0;26.0
-318.0;20;-4;-144;-284.0;192.0;-237.0;315;?;20;39.0;35.0
-249.0;-10;-1;-181;-355.0;189.0;-128.0;307;-181;-10;128.0;16.0
-111.0;-58;-1;-77;-281.0;213.0;-12.0;318;-77;-58;211.0;50.0
53.0;-101;-2;-146;-268.0;337.0;156.0;322;?;-101;211.0;97.0
162.0;-104;-5;-262;-233.0;394.0;263.0;328;-262;-104;188.0;69.0
203.0;-95;1;-237;-219.0;441.0;344.0;328;-237;-95;132.0;91.0
269.0;-110;0;-168;-193.0;419.0;448.0;330;-168;-110;190.0;120.0
359.0;-87;-4;-170;-184.0;399.0;482.0;340;-170;?;183.0;99.0
282.0;-54;5;-139;-155.0;364.0;?;329;-139;-54;159.0;144.0
171.0;-62;6;?;-46.0;372.0;305.0;327;?;-62;114.0;140.0
130.0;-41;7;75;-31.0;365.0;322.0;328;75;-41;107.0;91.0
181.0;-9;5;46;-22.0;301.0;399.0;320;46;-9;143.0;44.0
232.0;-37;-4;18;-11.0;373.0;466.0;?;18;-37;115.0;-14.0
262.0;-87;-5;-21;-84.0;330.0;486.0;317;-21;-87;158.0;-23.0
257.0;-93;-7;-72;-167.0;342.0;467.0;307;-72;-93;101.0;-61.0
322.0;-66;-4;-51;-177.0;268.0;476.0;315;-51;-66;165.0;-84.0
365.0;-50;1;87;-181.0;192.0;421.0;319;87;-50;172.0;?
263.0;-4;-2;199;-162.0;130.0;339.0;310;199;-4;149.0;-72.0
86.0;-10;-1;159;-137.0;98.0;169.0;?;?;-10;141.0;-78.0
5.0;13;-2;193;-129.0;68.0;12.0;309;?;13;126.0;-82.0
-71.0;118;-2;304;?;32.0;-57.0;303;304;118;?;-107.0
-74.0;99;6;383;-43.0;?;-145.0;304;383;99;104.0;-130.0
-40.0;52;1;471;2.0;90.0;-59.0;?;471;?;227.0;-131.0
23.0;-114;-8;131;?;100.0;13.0;313;131;-114;298.0;-163.0
26.0;-307;1;-277;96.0;4.0;-86.0;312;-277;-307;371.0;-157.0
-126.0;-258;2;-206;121.0;-106.0;-231.0;308;-206;-258;345.0;-168.0
-312.0;-16;1;-345;99.0;-315.0;-407.0;309;-345;-16;91.0;-149.0
-439.0;219;9;-486;145.0;-411.0;-569.0;278;-486;219;-118.0;-125.0
-571.0;27;-10;-95;165.0;-479.0;-715.0;314;-95;27;-348.0;-85.0
-575.0;-102;-18;30;303.0;-608.0;-717.0;333;30;-102;-294.0;-75.0
-564.0;26;-33;-87;87.0;-289.0;-690.0;308;?;?;-598.0;-119.0
-442.0;-2;-34;36;-21.0;?;-370.0;319;36;-2;-705.0;-135.0
-408.0;13;?;31;234.0;-57.0;-224.0;298;31;13;44.0;-255.0
-74.0;18;7;7;307.0;-13.0;302.0;304;7;18;-20.0;-172.0
558.0;-14;-15;14;406.0;91.0;551.0;322;14;-14;324.0;?
740.0;15;-4;-43;384.0;54.0;242.0;313;-43;15;492.0;-117.0
?;?;-7;-37;155.0;312.0;379.0;315;-37;21;280.0;-144.0
210.0;21;-2;-42;?;194.0;478.0;?;-42;21;145.0;-48.0
?;22;0;-36;60.0;62.0;355.0;306;-36;22;-6.0;-29.0
287.0;25;-2;-16;276.0;26.0;324.0;310;-16;25;-333.0;45.0
141.0;?;-1;-39;443.0;-19.0;189.0;310;-39;37;-413.0;78.0
-54.0;0;2;-28;457.0;-23.0;28.0;311;-28;0;-198.0;66.0
-110.0;-14;4;15;326.0;3.0;-67.0;?;15;-14;12.0;69.0
-119.0;11;-3;?;73.0;49.0;14.0;301;29;11;186.0;25.0
-13.0;31;-8;1;?;11.0;-23.0;306;1;31;241.0;61.0
-32.0;51;-1;-36;-230.0;?;-128.0;309;-36;51;98.0;60.0
-158.0;-57;-2;42;-298.0;-46.0;-221.0;313;42;-57;15.0;68.0
-264.0;14;-3;-8;-346.0;-46.0;-262.0;306;-8;14;68.0;74.0
-236.0;-210;-2;76;-401.0;-95.0;-241.0;305;76;-210;106.0;73.0
-278.0;-620;-1;244;-431.0;-101.0;-272.0;318;244;-620;135.0;57.0
-384.0;-350;6;12;-371.0;-85.0;-320.0;309;12;-350;139.0;40.0
-405.0;-263;-3;-40;-311.0;-76.0;-366.0;308;-40;-263;86.0;32.0
-364.0;-186;-6;-86;-240.0;0.0;-266.0;324;-86;-186;22.0;46.0
-260.0;-20;0;-22;-219.0;15.0;-177.0;315;-22;-20;-4.0;54.0
-149.0;-180;-4;160;-160.0;88.0;-103.0;312;?;-180;-40.0;42.0
-131.0;-163;-4;-82;-68.0;133.0;-48.0;320;-82;-163;?;46.0
-96.0;-231;2;-140;35.0;122.0;-7.0;305;-140;-231;46.0;59.0
-5.0;-319;9;-136;59.0;236.0;129.0;296;-136;-319;86.0;59.0
143.0;-285;8;-289;25.0;275.0;214.0;296;-289;-285;94.0;61.0
178.0;-301;6;-338;75.0;289.0;201.0;300;-338;-301;52.0;100.0
161.0;-184;6;-349;92.0;?;252.0;311;-349;-184;?;77.0
203.0;-14;0;-313;86.0;276.0;326.0;307;-313;-14;148.0;63.0
211.0;35;-3;-293;66.0;266.0;333.0;308;-293;35;134.0;63.0
228.0;50;-4;-186;-49.0;255.0;366.0;314;-186;50;17.0;39.0
273.0;57;0;36;-27.0;225.0;402.0;319;36;57;-97.0;-14.0
332.0;52;2;?;-30.0;263.0;551.0;319;236;52;-106.0;?
381.0;?;-2;250;22.0;325.0;551.0;314;250;87;-17.0;30.0
420.0;129;1;172;-23.0;371.0;613.0;314;172;129;174.0;-7.0
421.0;150;0;?;-132.0;315.0;548.0;310;130;150;314.0;-3.0
280.0;97;1;?;-183.0;185.0;336.0;306;35;97;282.0;30.0
101.0;20;2;113;-194.0;54.0;153.0;306;113;20;192.0;11.0
-82.0;-39;1;-57;-166.0;-87.0;50.0;300;-57;-39;-53.0;-23.0
?;-105;2;?;-188.0;-75.0;-8.0;?;-284;-105;-167.0;-18.0
-97.0;-153;0;80;-191.0;-79.0;-52.0;306;?;-153;-86.0;-77.0
-93.0;-196;1;221;-198.0;-71.0;-136.0;305;?;-196;57.0;-95.0
-190.0;?;3;293;-74.0;-148.0;-182.0;304;293;?;70.0;-103.0
-275.0;-148;2;330;78.0;?;-295.0;302;330;-148;?;-170.0
-225.0;5;5;505;221.0;-169.0;-278.0;298;505;5;-103.0;-210.0
-119.0;-66;?;-53;189.0;-128.0;-215.0;303;-53;-66;-1.0;-210.0
-123.0;99;5;-565;211.0;-110.0;-315.0;301;-565;?;126.0;-208.0
?;461;1;84;237.0;-122.0;-449.0;?;84;461;173.0;-226.0
-360.0;-1574;15;-1767;378.0;-114.0;-472.0;329;-1767;-1574;164.0;-191.0
-270.0;-1748;19;-2011;458.0;-158.0;-444.0;297;-2011;-1748;?;-204.0
-172.0;274;-3;305;476.0;-173.0;-441.0;320;305;274;-130.0;-156.0
-191.0;-14;-29;-19;647.0;-223.0;-409.0;370;-19;-14;-14.0;-116.0
-158.0;-102;-26;-114;251.0;-40.0;-208.0;306;-114;?;-369.0;-146.0
60.0;68;6;215;50.0;-50.0;160.0;291;?;68;-269.0;-206.0
?;-114;15;-31;149.0;125.0;109.0;320;-31;-114;302.0;-238.0
427.0;61;?;64;?;222.0;539.0;306;64;61;319.0;-156.0
733.0;-23;9;-1;-21.0;232.0;552.0;316;-1;-23;545.0;-122.0
646.0;-9;-11;-1;-221.0;243.0;317.0;321;-1;-9;539.0;-150.0
284.0;19;-2;14;-428.0;397.0;519.0;311;14;19;475.0;-59.0
200.0;-3;3;7;-452.0;203.0;592.0;310;7;-3;?;21.0
383.0;14;0;3;-256.0;68.0;571.0;309;3;14;254.0;94.0
372.0;41;4;-11;85.0;51.0;412.0;306;-11;41;-61.0;130.0
106.0;12;2;18;255.0;-37.0;195.0;307;18;12;-138.0;164.0
-161.0;-19;-4;59;224.0;-198.0;-34.0;314;59;-19;-190.0;168.0
-234.0;15;-7;55;71.0;-227.0;-173.0;317;55;15;-104.0;207.0
-200.0;5;5;50;-28.0;-221.0;-226.0;313;50;?;-63.0;164.0
-211.0;-29;7;59;-56.0;-217.0;-221.0;319;?;-29;-7.0;119.0
-293.0;?;4;-4;4.0;-252.0;-283.0;317;-4;14;-178.0;132.0
-278.0;-68;2;31;139.0;-12.0;-287.0;314;31;-68;-149.0;74.0
-232.0;-49;-1;-4;?;-77.0;-257.0;321;-4;-49;-22.0;46.0
-177.0;-2;8;0;69.0;35.0;-158.0;305;0;-2;?;48.0
-57.0;-384;0;349;?;79.0;-157.0;308;349;-384;211.0;?
-67.0;-199;2;-106;-44.0;107.0;-188.0;314;-106;-199;169.0;17.0
-130.0;153;9;-706;?;?;-116.0;303;-706;153;95.0;10.0
-126.0;131;0;-602;-143.0;113.0;-112.0;307;-602;131;122.0;8.0
-95.0;467;6;-622;-258.0;99.0;-172.0;312;-622;467;156.0;59.0
-172.0;392;3;-485;-261.0;?;-271.0;319;-485;392;112.0;67.0
-330.0;31;-2;-548;-195.0;-33.0;-300.0;326;-548;31;34.0;73.0
-363.0;?;1;-493;-148.0;-26.0;-291.0;325;-493;-91;-81.0;73.0
-288.0;-223;3;-240;-143.0;-12.0;-168.0;327;-240;-223;-206.0;83.0
-75.0;-177;3;-312;-143.0;35.0;24.0;324;-312;-177;-250.0;75.0
62.0;-107;-2;-248;-195.0;51.0;198.0;320;-248;-107;-267.0;56.0
108.0;-119;1;?;-141.0;87.0;213.0;323;-233;-119;-205.0;58.0
47.0;0;-4;-93;-78.0;109.0;?;320;-93;0;-197.0;57.0
-28.0;67;-4;21;-56.0;188.0;199.0;322;21;67;-137.0;28.0
61.0;13;7;?;-39.0;197.0;296.0;310;12;13;-53.0;65.0
156.0;79;7;166;16.0;251.0;371.0;288;166;79;-55.0;79.0
184.0;86;6;186;56.0;196.0;364.0;295;186;86;-70.0;48.0
70.0;-52;8;105;70.0;162.0;329.0;297;105;-52;-52.0;90.0
60.0;-103;4;-131;42.0;135.0;357.0;292;-131;-103;-131.0;73.0
216.0;-61;-8;-293;-48.0;107.0;402.0;297;-293;-61;-147.0;20.0
281.0;-52;-2;-98;-30.0;11.0;470.0;294;-98;-52;-204.0;-5.0
