Accelerometer LH accX;Accelerometer LUA_ accZ;Accelerometer LWR accY;InertialMeasurementUnit LLA accY;Accelerometer LH accZ;InertialMeasurementUnit LLA accZ;Accelerometer LUA_ accX;Accelerometer LUA_ accY
676.0;935.0;-435.0;-907.0;-853.0;678.0;448.0;-384.0
547.0;947.0;-484.0;-890.0;-768.0;724.0;364.0;-387.0
500.0;994.0;-494.0;-943.0;-704.0;784.0;278.0;-413.0
697.0;909.0;-493.0;-984.0;-633.0;?;139.0;-398.0
742.0;890.0;?;-1008.0;-451.0;791.0;46.0;-379.0
926.0;858.0;-564.0;-1027.0;-410.0;638.0;-34.0;-409.0
744.0;796.0;-529.0;-1018.0;-226.0;537.0;-146.0;-429.0
685.0;735.0;-559.0;-1069.0;-74.0;416.0;-221.0;-409.0
696.0;703.0;-553.0;-1145.0;46.0;311.0;-209.0;?
507.0;?;-526.0;-1137.0;225.0;155.0;?;-568.0
460.0;656.0;-562.0;-1045.0;328.0;2.0;-182.0;-767.0
287.0;709.0;-686.0;-961.0;385.0;-117.0;-171.0;-1093.0
86.0;774.0;-755.0;-867.0;308.0;-237.0;-149.0;-1112.0
-419.0;790.0;-1140.0;-719.0;1369.0;-347.0;-110.0;-1121.0
-45.0;?;-1311.0;-715.0;1458.0;-287.0;-43.0;-957.0
408.0;830.0;-1369.0;-636.0;303.0;-298.0;?;-856.0
223.0;816.0;-1343.0;?;289.0;-458.0;100.0;-737.0
104.0;762.0;-1206.0;-501.0;2.0;-408.0;138.0;-672.0
37.0;690.0;-1030.0;-890.0;144.0;?;51.0;-682.0
82.0;639.0;-914.0;-930.0;108.0;-63.0;-87.0;-756.0
-22.0;642.0;-836.0;-944.0;79.0;21.0;-168.0;-870.0
-50.0;760.0;-889.0;-855.0;140.0;68.0;-237.0;-978.0
-136.0;855.0;-1006.0;-754.0;344.0;124.0;-359.0;-971.0
68.0;923.0;-1161.0;-730.0;520.0;212.0;-459.0;-934.0
173.0;922.0;-1256.0;-590.0;852.0;81.0;-512.0;-828.0
333.0;947.0;-1277.0;-544.0;1100.0;-54.0;-494.0;-777.0
71.0;644.0;45.0;-712.0;-610.0;476.0;8.0;-2.0
17.0;697.0;93.0;-647.0;-394.0;432.0;-59.0;-87.0
-32.0;762.0;183.0;?;-483.0;389.0;-152.0;-224.0
11.0;677.0;269.0;-414.0;-411.0;354.0;44.0;246.0
159.0;886.0;391.0;-448.0;112.0;311.0;-175.0;567.0
1122.0;1005.0;652.0;-406.0;102.0;218.0;-203.0;962.0
?;970.0;968.0;-341.0;398.0;48.0;-282.0;1097.0
2102.0;771.0;1386.0;?;631.0;-14.0;-326.0;1489.0
1668.0;838.0;1562.0;-649.0;756.0;-128.0;8.0;1447.0
1696.0;596.0;1710.0;-976.0;636.0;-342.0;110.0;1384.0
1738.0;546.0;1770.0;?;780.0;-605.0;316.0;1253.0
1668.0;507.0;1585.0;-1188.0;852.0;-770.0;212.0;1156.0
1580.0;579.0;1316.0;-1314.0;669.0;?;113.0;1115.0
1395.0;554.0;?;-1287.0;510.0;-500.0;-9.0;1043.0
1061.0;?;932.0;-989.0;203.0;-507.0;-41.0;986.0
770.0;548.0;853.0;-1028.0;-141.0;-394.0;-45.0;929.0
718.0;502.0;812.0;-1076.0;-211.0;-233.0;-76.0;919.0
710.0;469.0;?;-888.0;-150.0;-26.0;?;973.0
669.0;440.0;748.0;-779.0;-75.0;11.0;2.0;1081.0
602.0;371.0;791.0;-701.0;51.0;-30.0;84.0;1120.0
523.0;322.0;893.0;-612.0;154.0;-43.0;117.0;1070.0
459.0;303.0;1006.0;-595.0;212.0;-14.0;107.0;1067.0
398.0;281.0;1025.0;-659.0;223.0;20.0;97.0;1019.0
346.0;321.0;1025.0;-610.0;198.0;20.0;44.0;982.0
282.0;308.0;1001.0;-534.0;164.0;16.0;-28.0;997.0
225.0;303.0;965.0;-441.0;148.0;11.0;-80.0;967.0
200.0;314.0;962.0;-340.0;71.0;4.0;-73.0;956.0
195.0;339.0;948.0;-281.0;88.0;4.0;-68.0;889.0
185.0;367.0;935.0;-249.0;101.0;-16.0;-68.0;875.0
128.0;383.0;908.0;-250.0;155.0;-23.0;-66.0;892.0
100.0;370.0;848.0;-254.0;167.0;-48.0;-46.0;861.0
96.0;385.0;814.0;-240.0;95.0;-64.0;-42.0;868.0
145.0;405.0;820.0;-222.0;63.0;-63.0;-50.0;900.0
187.0;426.0;829.0;-211.0;45.0;-56.0;-46.0;872.0
231.0;454.0;813.0;-230.0;56.0;-40.0;-50.0;914.0
268.0;450.0;816.0;-248.0;38.0;-36.0;-26.0;923.0
306.0;413.0;?;-241.0;1.0;-37.0;23.0;957.0
?;397.0;855.0;-243.0;-10.0;-29.0;67.0;962.0
?;417.0;896.0;-272.0;1.0;-19.0;58.0;990.0
469.0;395.0;899.0;-323.0;44.0;0.0;59.0;1001.0
503.0;381.0;908.0;-380.0;62.0;16.0;70.0;1019.0
553.0;383.0;921.0;-421.0;58.0;?;76.0;1007.0
560.0;372.0;914.0;-411.0;36.0;5.0;50.0;1011.0
520.0;388.0;891.0;?;30.0;6.0;22.0;1005.0
508.0;?;871.0;-399.0;34.0;16.0;5.0;980.0
489.0;388.0;879.0;-457.0;68.0;21.0;?;963.0
454.0;344.0;854.0;-451.0;?;7.0;-40.0;914.0
453.0;315.0;847.0;-397.0;108.0;-14.0;-56.0;885.0
514.0;326.0;842.0;?;-1.0;-26.0;-9.0;863.0
444.0;415.0;793.0;-413.0;133.0;-21.0;14.0;841.0
385.0;228.0;787.0;-404.0;159.0;-29.0;64.0;627.0
264.0;524.0;747.0;-382.0;113.0;-34.0;-90.0;?
356.0;414.0;626.0;-315.0;108.0;-52.0;-213.0;1429.0
236.0;422.0;585.0;-361.0;172.0;-80.0;94.0;1252.0
395.0;272.0;1184.0;-393.0;51.0;-17.0;310.0;905.0
?;359.0;1289.0;-337.0;234.0;?;224.0;835.0
532.0;404.0;947.0;-304.0;382.0;-44.0;75.0;815.0
669.0;473.0;?;-251.0;?;-81.0;-42.0;903.0
496.0;539.0;827.0;-410.0;-97.0;-129.0;?;956.0
269.0;459.0;810.0;-312.0;-293.0;-170.0;-32.0;940.0
92.0;424.0;900.0;-255.0;-275.0;-30.0;6.0;906.0
183.0;430.0;868.0;-338.0;-216.0;171.0;3.0;?
355.0;440.0;820.0;-620.0;-54.0;184.0;28.0;945.0
349.0;422.0;821.0;-524.0;-9.0;88.0;29.0;958.0
260.0;387.0;839.0;-269.0;18.0;40.0;14.0;952.0
263.0;375.0;868.0;-297.0;16.0;67.0;-13.0;929.0
317.0;393.0;877.0;-387.0;?;94.0;-6.0;893.0
336.0;?;863.0;-415.0;97.0;93.0;-35.0;917.0
?;408.0;834.0;-371.0;139.0;71.0;-46.0;942.0
331.0;398.0;833.0;-303.0;152.0;29.0;-58.0;943.0
333.0;408.0;?;-299.0;152.0;-7.0;-39.0;952.0
375.0;417.0;855.0;-330.0;153.0;?;-46.0;964.0
426.0;?;?;-353.0;176.0;-28.0;-19.0;1006.0
445.0;413.0;858.0;-362.0;178.0;-36.0;-27.0;1023.0
455.0;396.0;875.0;-358.0;159.0;-64.0;8.0;950.0
463.0;?;911.0;-363.0;166.0;-72.0;?;930.0
487.0;413.0;875.0;-374.0;150.0;-78.0;-10.0;933.0
487.0;411.0;839.0;?;115.0;-76.0;8.0;918.0
443.0;383.0;840.0;-376.0;60.0;-87.0;3.0;956.0
422.0;359.0;831.0;-392.0;27.0;-83.0;?;936.0
433.0;366.0;830.0;-411.0;13.0;-56.0;41.0;935.0
412.0;367.0;839.0;-413.0;41.0;-38.0;25.0;917.0
388.0;378.0;823.0;-424.0;13.0;-21.0;5.0;926.0
358.0;370.0;848.0;-405.0;52.0;-7.0;-16.0;948.0
303.0;378.0;828.0;-376.0;72.0;-5.0;-20.0;?
292.0;361.0;845.0;-367.0;51.0;-1.0;-1.0;990.0
292.0;349.0;869.0;-347.0;31.0;?;29.0;1000.0
294.0;339.0;906.0;-336.0;81.0;7.0;39.0;1000.0
326.0;345.0;920.0;-330.0;149.0;1.0;41.0;986.0
325.0;380.0;915.0;-323.0;161.0;-7.0;31.0;958.0
309.0;365.0;892.0;-326.0;127.0;?;-19.0;?
293.0;376.0;876.0;-300.0;73.0;-28.0;-27.0;926.0
297.0;409.0;880.0;-286.0;21.0;-21.0;-14.0;927.0
274.0;412.0;853.0;-297.0;20.0;-11.0;-12.0;932.0
305.0;410.0;849.0;?;25.0;-1.0;4.0;936.0
333.0;391.0;831.0;-310.0;29.0;7.0;23.0;948.0
360.0;376.0;858.0;-312.0;51.0;18.0;13.0;960.0
392.0;379.0;868.0;-313.0;50.0;24.0;1.0;979.0
387.0;386.0;868.0;-331.0;58.0;?;7.0;956.0
398.0;381.0;879.0;?;79.0;8.0;24.0;949.0
407.0;395.0;870.0;-360.0;91.0;?;23.0;883.0
418.0;337.0;871.0;?;81.0;3.0;35.0;779.0
417.0;349.0;812.0;-364.0;?;3.0;0.0;658.0
416.0;561.0;792.0;-369.0;78.0;-6.0;-226.0;1385.0
304.0;404.0;499.0;?;83.0;-16.0;23.0;1150.0
248.0;334.0;1048.0;-357.0;174.0;-9.0;184.0;877.0
391.0;364.0;1271.0;-346.0;280.0;-21.0;281.0;790.0
505.0;368.0;759.0;-365.0;324.0;10.0;192.0;898.0
611.0;433.0;737.0;-280.0;203.0;-62.0;104.0;1042.0
470.0;441.0;760.0;-372.0;-7.0;-89.0;73.0;1067.0
255.0;400.0;932.0;-457.0;-203.0;-54.0;104.0;896.0
?;447.0;1034.0;-376.0;-201.0;-13.0;83.0;810.0
365.0;475.0;904.0;-376.0;-94.0;126.0;34.0;836.0
281.0;471.0;772.0;-471.0;-21.0;205.0;24.0;879.0
148.0;425.0;775.0;-370.0;-52.0;91.0;10.0;911.0
156.0;391.0;776.0;-283.0;-74.0;35.0;18.0;922.0
259.0;404.0;813.0;-341.0;5.0;109.0;34.0;?
282.0;409.0;848.0;-403.0;81.0;175.0;85.0;924.0
321.0;398.0;858.0;-388.0;100.0;158.0;68.0;905.0
301.0;398.0;856.0;-359.0;77.0;87.0;47.0;907.0
353.0;421.0;842.0;-331.0;60.0;60.0;28.0;935.0
378.0;419.0;867.0;-334.0;64.0;55.0;31.0;929.0
383.0;407.0;839.0;-342.0;91.0;52.0;25.0;926.0
387.0;?;848.0;-335.0;98.0;42.0;4.0;934.0
396.0;428.0;853.0;-319.0;93.0;17.0;-17.0;968.0
388.0;425.0;848.0;-345.0;?;11.0;-9.0;962.0
382.0;413.0;?;?;144.0;3.0;20.0;894.0
395.0;423.0;868.0;-371.0;171.0;-9.0;?;867.0
418.0;428.0;821.0;?;?;-19.0;-31.0;908.0
438.0;420.0;811.0;-378.0;87.0;-19.0;?;920.0
430.0;411.0;791.0;-379.0;63.0;-39.0;-12.0;923.0
427.0;?;808.0;-405.0;78.0;-29.0;-4.0;958.0
438.0;336.0;820.0;-413.0;91.0;-16.0;27.0;978.0
439.0;337.0;825.0;-401.0;61.0;?;?;999.0
477.0;379.0;847.0;-407.0;97.0;-22.0;10.0;1010.0
426.0;349.0;867.0;-399.0;142.0;-23.0;1.0;1018.0
362.0;358.0;908.0;-405.0;148.0;-19.0;20.0;999.0
351.0;353.0;922.0;-390.0;154.0;-29.0;?;1012.0
341.0;379.0;906.0;-359.0;119.0;-38.0;6.0;?
316.0;?;932.0;-337.0;128.0;-36.0;4.0;961.0
324.0;361.0;911.0;-348.0;58.0;-32.0;22.0;971.0
313.0;354.0;903.0;-353.0;40.0;-20.0;21.0;975.0
308.0;?;905.0;-325.0;2.0;-15.0;32.0;978.0
285.0;319.0;905.0;-315.0;4.0;-2.0;22.0;992.0
284.0;?;896.0;-323.0;39.0;6.0;19.0;976.0
258.0;349.0;904.0;-328.0;?;16.0;15.0;934.0
260.0;?;885.0;-310.0;79.0;23.0;-10.0;954.0
255.0;372.0;884.0;-290.0;89.0;22.0;?;962.0
252.0;351.0;876.0;-277.0;92.0;26.0;-15.0;978.0
302.0;349.0;875.0;-283.0;61.0;23.0;26.0;972.0
343.0;330.0;886.0;-285.0;60.0;14.0;58.0;962.0
361.0;332.0;910.0;-281.0;52.0;0.0;48.0;930.0
401.0;311.0;892.0;-295.0;73.0;?;47.0;885.0
375.0;326.0;?;-315.0;56.0;-4.0;58.0;741.0
374.0;442.0;813.0;-309.0;87.0;-6.0;-88.0;1006.0
348.0;400.0;689.0;-307.0;77.0;-8.0;-115.0;1244.0
217.0;405.0;759.0;-306.0;134.0;-7.0;182.0;854.0
310.0;410.0;1184.0;-307.0;269.0;-11.0;173.0;864.0
408.0;407.0;?;-316.0;319.0;-1.0;170.0;860.0
531.0;396.0;754.0;-327.0;302.0;2.0;168.0;880.0
543.0;?;773.0;-268.0;68.0;-86.0;83.0;981.0
?;374.0;797.0;-385.0;-105.0;-53.0;86.0;1037.0
296.0;408.0;?;-336.0;-240.0;-45.0;155.0;932.0
373.0;394.0;989.0;-394.0;-194.0;86.0;132.0;881.0
342.0;411.0;888.0;-550.0;-33.0;193.0;100.0;866.0
230.0;410.0;799.0;?;29.0;134.0;61.0;902.0
169.0;388.0;810.0;-296.0;-16.0;?;10.0;?
154.0;378.0;852.0;-331.0;-20.0;95.0;41.0;932.0
225.0;368.0;888.0;?;53.0;145.0;71.0;913.0
250.0;371.0;874.0;-341.0;74.0;170.0;86.0;?
275.0;376.0;856.0;-306.0;100.0;?;44.0;919.0
256.0;355.0;838.0;-283.0;90.0;70.0;18.0;931.0
277.0;383.0;849.0;-284.0;59.0;52.0;15.0;942.0
307.0;400.0;832.0;-293.0;53.0;40.0;16.0;961.0
336.0;417.0;846.0;-302.0;80.0;45.0;35.0;?
334.0;398.0;868.0;-291.0;99.0;36.0;38.0;931.0
?;401.0;877.0;?;121.0;21.0;7.0;927.0
363.0;?;865.0;-311.0;139.0;12.0;2.0;938.0
397.0;446.0;849.0;?;85.0;8.0;-12.0;958.0
381.0;425.0;860.0;-333.0;108.0;3.0;23.0;?
379.0;390.0;873.0;-338.0;111.0;-1.0;13.0;936.0
399.0;397.0;882.0;-350.0;91.0;0.0;18.0;923.0
412.0;417.0;836.0;-369.0;91.0;3.0;0.0;?
452.0;?;826.0;-386.0;90.0;-8.0;1.0;951.0
450.0;414.0;845.0;?;92.0;-13.0;-2.0;943.0
423.0;384.0;828.0;-391.0;85.0;-13.0;5.0;944.0
437.0;362.0;844.0;-396.0;?;-10.0;32.0;952.0
465.0;?;842.0;-411.0;91.0;-10.0;25.0;956.0
458.0;369.0;851.0;-403.0;103.0;-16.0;19.0;993.0
432.0;330.0;883.0;-388.0;103.0;-15.0;18.0;993.0
398.0;324.0;895.0;-402.0;119.0;-13.0;20.0;995.0
376.0;?;905.0;-403.0;74.0;-14.0;?;998.0
353.0;336.0;913.0;-369.0;76.0;-20.0;9.0;1007.0
350.0;329.0;906.0;-371.0;107.0;-12.0;14.0;1001.0
318.0;?;927.0;-360.0;71.0;-7.0;35.0;1013.0
273.0;314.0;917.0;-346.0;100.0;-2.0;40.0;?
272.0;300.0;922.0;-329.0;81.0;?;31.0;989.0
273.0;329.0;943.0;-317.0;112.0;1.0;19.0;991.0
268.0;320.0;944.0;-299.0;109.0;2.0;10.0;971.0
240.0;330.0;924.0;-269.0;110.0;-2.0;-28.0;959.0
213.0;347.0;895.0;-242.0;64.0;?;-1.0;934.0
184.0;386.0;896.0;-245.0;33.0;-7.0;-34.0;939.0
198.0;371.0;892.0;?;77.0;3.0;-23.0;929.0
242.0;386.0;855.0;-254.0;91.0;6.0;-3.0;979.0
294.0;369.0;855.0;-239.0;57.0;8.0;42.0;912.0
296.0;393.0;865.0;-244.0;19.0;2.0;?;909.0
333.0;392.0;878.0;-263.0;52.0;-1.0;54.0;823.0
371.0;401.0;849.0;-287.0;?;12.0;13.0;874.0
435.0;339.0;796.0;-308.0;-4.0;14.0;106.0;612.0
416.0;491.0;790.0;-309.0;-6.0;?;-225.0;1271.0
458.0;448.0;590.0;-310.0;44.0;22.0;41.0;1279.0
295.0;?;824.0;-351.0;216.0;26.0;273.0;874.0
507.0;388.0;1397.0;-385.0;253.0;26.0;226.0;883.0
570.0;342.0;767.0;-410.0;325.0;40.0;208.0;891.0
683.0;408.0;766.0;-400.0;254.0;34.0;145.0;?
512.0;435.0;764.0;-367.0;?;-47.0;66.0;1050.0
310.0;395.0;862.0;-465.0;-153.0;-60.0;?;?
318.0;388.0;?;-397.0;-168.0;-42.0;139.0;?
377.0;386.0;1008.0;-413.0;-27.0;108.0;102.0;882.0
270.0;394.0;863.0;-491.0;59.0;178.0;91.0;921.0
187.0;405.0;853.0;-382.0;33.0;81.0;40.0;939.0
102.0;375.0;868.0;-310.0;13.0;44.0;36.0;925.0
115.0;375.0;884.0;-388.0;10.0;121.0;48.0;879.0
191.0;401.0;904.0;-358.0;63.0;142.0;26.0;865.0
160.0;408.0;?;-302.0;73.0;138.0;14.0;827.0
124.0;422.0;816.0;-277.0;69.0;102.0;?;848.0
?;458.0;781.0;-264.0;82.0;67.0;-12.0;863.0
223.0;444.0;785.0;-261.0;61.0;65.0;-32.0;888.0
225.0;490.0;802.0;-256.0;70.0;52.0;6.0;920.0
307.0;478.0;821.0;-263.0;29.0;44.0;10.0;943.0
350.0;466.0;830.0;?;42.0;31.0;48.0;933.0
384.0;457.0;?;-300.0;43.0;?;57.0;973.0
451.0;463.0;865.0;-334.0;49.0;15.0;61.0;989.0
507.0;437.0;891.0;-384.0;43.0;26.0;89.0;976.0
529.0;446.0;897.0;-407.0;52.0;29.0;64.0;963.0
497.0;436.0;888.0;-421.0;76.0;33.0;6.0;969.0
492.0;430.0;885.0;-448.0;62.0;45.0;-14.0;960.0
482.0;415.0;878.0;-465.0;76.0;42.0;-20.0;958.0
457.0;409.0;859.0;-459.0;?;36.0;-13.0;949.0
?;?;839.0;-444.0;123.0;40.0;19.0;957.0
423.0;358.0;831.0;-435.0;142.0;26.0;35.0;964.0
409.0;349.0;826.0;?;157.0;-2.0;49.0;947.0
391.0;341.0;828.0;-442.0;173.0;?;33.0;941.0
379.0;341.0;859.0;-431.0;143.0;-19.0;29.0;943.0
378.0;329.0;847.0;-400.0;?;-33.0;19.0;943.0
346.0;358.0;?;-371.0;80.0;-25.0;20.0;933.0
280.0;330.0;858.0;-343.0;111.0;-18.0;0.0;952.0
236.0;329.0;?;-337.0;137.0;-16.0;-13.0;991.0
297.0;310.0;846.0;-346.0;90.0;-5.0;-29.0;998.0
291.0;323.0;900.0;-322.0;82.0;-7.0;65.0;995.0
307.0;331.0;907.0;-299.0;82.0;-6.0;59.0;1050.0
306.0;326.0;931.0;-296.0;99.0;6.0;96.0;1041.0
273.0;347.0;966.0;-293.0;98.0;-1.0;72.0;965.0
254.0;383.0;989.0;-293.0;112.0;-5.0;11.0;937.0
217.0;358.0;917.0;-286.0;?;5.0;-21.0;929.0
243.0;362.0;868.0;-265.0;18.0;14.0;-2.0;937.0
219.0;354.0;869.0;-246.0;-31.0;20.0;5.0;915.0
243.0;370.0;?;-237.0;5.0;25.0;16.0;943.0
299.0;352.0;853.0;-268.0;1.0;50.0;28.0;985.0
311.0;358.0;880.0;-301.0;40.0;56.0;28.0;992.0
321.0;342.0;?;-309.0;72.0;48.0;45.0;972.0
336.0;348.0;917.0;-306.0;100.0;42.0;48.0;963.0
?;340.0;918.0;-301.0;82.0;41.0;39.0;933.0
353.0;319.0;927.0;-310.0;118.0;23.0;18.0;911.0
370.0;336.0;843.0;-312.0;83.0;22.0;-13.0;888.0
377.0;314.0;827.0;-308.0;65.0;8.0;27.0;830.0
385.0;355.0;778.0;-304.0;45.0;-1.0;36.0;849.0
411.0;484.0;785.0;-316.0;36.0;3.0;-42.0;1223.0
363.0;397.0;688.0;-321.0;42.0;2.0;61.0;1239.0
291.0;369.0;1074.0;-342.0;177.0;1.0;328.0;1039.0
468.0;384.0;1168.0;-358.0;318.0;3.0;371.0;898.0
608.0;333.0;982.0;-342.0;316.0;-4.0;194.0;932.0
657.0;362.0;831.0;-297.0;195.0;-33.0;156.0;1011.0
534.0;298.0;859.0;-311.0;-33.0;-77.0;70.0;1004.0
334.0;307.0;?;-440.0;-203.0;-37.0;113.0;947.0
234.0;369.0;1003.0;-445.0;-214.0;47.0;105.0;934.0
255.0;417.0;1019.0;-498.0;-55.0;208.0;134.0;947.0
307.0;506.0;948.0;-509.0;84.0;215.0;135.0;980.0
474.0;688.0;917.0;-361.0;131.0;?;78.0;971.0
746.0;786.0;907.0;-229.0;?;56.0;-149.0;878.0
930.0;974.0;873.0;-277.0;-14.0;113.0;-157.0;742.0
?;1008.0;?;-356.0;-132.0;148.0;-181.0;678.0
1162.0;1019.0;632.0;-462.0;-83.0;155.0;-180.0;658.0
1241.0;1013.0;515.0;-513.0;14.0;78.0;-282.0;639.0
1432.0;1059.0;461.0;-762.0;140.0;57.0;-298.0;514.0
1469.0;1008.0;450.0;-954.0;262.0;-48.0;-298.0;334.0
1340.0;965.0;383.0;-1099.0;405.0;-82.0;-271.0;2.0
?;926.0;300.0;-1107.0;370.0;-133.0;-259.0;-39.0
956.0;976.0;150.0;-1147.0;311.0;-245.0;-147.0;-154.0
988.0;880.0;60.0;-1173.0;344.0;-363.0;-128.0;-270.0
755.0;876.0;-66.0;-1180.0;362.0;-418.0;-149.0;-281.0
700.0;740.0;-183.0;-1135.0;385.0;-383.0;-35.0;-515.0
641.0;728.0;-329.0;-1006.0;305.0;-388.0;143.0;-577.0
460.0;550.0;-409.0;-927.0;275.0;-441.0;52.0;-634.0
383.0;466.0;-451.0;-823.0;6.0;-434.0;202.0;-667.0
95.0;382.0;-499.0;-843.0;-405.0;-421.0;?;-672.0
253.0;328.0;-539.0;-776.0;-707.0;-413.0;229.0;-661.0
253.0;277.0;-581.0;-674.0;-680.0;-294.0;262.0;-764.0
42.0;249.0;-656.0;-663.0;-842.0;?;276.0;-749.0
118.0;286.0;-706.0;-576.0;-700.0;140.0;296.0;-811.0
103.0;276.0;-736.0;-365.0;-607.0;132.0;316.0;-835.0
250.0;289.0;-796.0;?;-551.0;197.0;322.0;-860.0
?;308.0;-858.0;-367.0;-620.0;208.0;366.0;-838.0
520.0;309.0;-879.0;-288.0;-555.0;253.0;384.0;-839.0
483.0;322.0;-906.0;-288.0;-632.0;?;386.0;-830.0
584.0;337.0;-890.0;-403.0;-724.0;233.0;401.0;-806.0
452.0;348.0;?;-434.0;-653.0;227.0;394.0;-814.0
545.0;341.0;-829.0;?;-659.0;240.0;399.0;-803.0
490.0;378.0;-845.0;?;-760.0;305.0;394.0;-809.0
?;427.0;-868.0;-572.0;?;274.0;425.0;-791.0
597.0;388.0;-875.0;-566.0;-590.0;323.0;407.0;-810.0
634.0;399.0;-863.0;-569.0;-640.0;326.0;396.0;-789.0
553.0;409.0;-871.0;-558.0;-658.0;285.0;367.0;-791.0
615.0;416.0;-858.0;-617.0;-611.0;296.0;380.0;-790.0
646.0;420.0;-860.0;-621.0;-535.0;243.0;358.0;-803.0
615.0;421.0;-864.0;-654.0;-586.0;251.0;337.0;-792.0
530.0;408.0;-840.0;-649.0;-608.0;261.0;319.0;-757.0
?;401.0;-849.0;-631.0;-544.0;272.0;319.0;-712.0
418.0;398.0;-829.0;-632.0;-583.0;222.0;349.0;-641.0
391.0;331.0;?;-654.0;-643.0;221.0;332.0;-585.0
140.0;341.0;-710.0;-604.0;-831.0;210.0;285.0;-575.0
-83.0;413.0;-633.0;-569.0;-963.0;198.0;286.0;-586.0
-224.0;543.0;-507.0;-535.0;-822.0;184.0;224.0;-481.0
70.0;?;-387.0;-534.0;-596.0;220.0;139.0;?
126.0;640.0;-294.0;-490.0;-413.0;306.0;46.0;-338.0
174.0;734.0;-166.0;-308.0;-143.0;407.0;-63.0;-266.0
?;853.0;56.0;-251.0;278.0;391.0;-162.0;-32.0
663.0;964.0;217.0;-430.0;595.0;320.0;-324.0;419.0
1142.0;992.0;442.0;-457.0;862.0;187.0;-224.0;356.0
1004.0;1010.0;628.0;-342.0;798.0;-5.0;-666.0;479.0
?;673.0;772.0;-447.0;548.0;-193.0;-229.0;?
?;420.0;1041.0;-646.0;611.0;-268.0;-406.0;1035.0
