InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE Body_Ax
-26;799;-177;-162;-26;-74.0;127.0;34.0;20;8;287
11;807;-179;-157;11;-35.0;-289.0;-155.0;9;3;263
-10;806;-180;-174;-10;-194.0;-157.0;-87.0;-23;-3;267
-8;796;-178;-156;-8;-6.0;170.0;-193.0;-2;5;287
-23;794;-177;-162;-23;4.0;72.0;10.0;-25;1;281
8;796;-178;-162;8;-94.0;-97.0;57.0;-20;-1;280
-26;809;174;-156;-26;-168.0;61.0;72.0;-6;1;248
24;799;-176;-159;24;-32.0;-97.0;134.0;22;0;309
15;797;-177;-162;15;-47.0;55.0;4.0;-16;-8;286
-57;814;-178;-163;-57;-81.0;31.0;-135.0;-6;-23;250
-30;805;-180;-157;-30;-72.0;26.0;41.0;-10;-3;273
46;812;171;-166;46;-184.0;-107.0;338.0;10;5;254
55;786;179;-158;55;-35.0;-40.0;17.0;-30;1;307
27;796;-174;-158;27;-91.0;-86.0;86.0;22;4;293
126;520;-176;-154;126;-519.0;-651.0;332.0;1539;-2;255
-6;809;178;-154;-6;-174.0;-6.0;61.0;-16;0;258
17;810;177;-167;17;-108.0;-138.0;67.0;22;-11;256
2;815;174;-156;2;-92.0;-19.0;73.0;-1;-6;248
-26;797;-174;-158;-26;-61.0;-33.0;18.0;35;0;291
-54;612;166;-156;-54;-71.0;-120.0;55.0;27;25;320
9;795;-174;-158;9;-59.0;-2.0;37.0;-6;-2;297
8;797;-174;-158;8;-65.0;-21.0;33.0;-32;-7;293
-11;797;-174;-158;-11;-59.0;-17.0;32.0;4;0;292
-46;801;-174;-158;-46;-35.0;-8.0;2.0;34;-3;285
520;714;-179;-152;520;-95.0;124.0;-188.0;1222;0;484
45;811;176;-175;45;-41.0;-13.0;-36.0;-1;-5;270
8;805;-174;-158;8;-46.0;-28.0;4.0;11;1;285
-21;808;-174;-158;-21;-10.0;-2.0;-24.0;-10;5;292
-30;799;150;-177;-30;-106.0;196.0;87.0;-52;287;209
11;810;178;-153;11;-70.0;36.0;9.0;-1;10;253
-30;793;-174;-158;-30;-55.0;9.0;-16.0;10;5;295
-19;792;179;-158;-19;10.0;-120.0;-159.0;-14;1;301
-31;805;173;-170;-31;-72.0;48.0;42.0;-47;-1;260
4;793;177;-167;4;-99.0;44.0;39.0;9;4;259
-10;801;-174;-158;-10;-67.0;5.0;-9.0;0;6;283
1;799;-174;-158;1;-51.0;13.0;-1.0;17;1;285
-1;796;-174;-158;-1;-48.0;-2.0;-11.0;5;-1;287
-13;807;178;-153;-13;-12.0;37.0;12.0;-34;0;254
-22;807;174;-156;-22;-43.0;-3.0;33.0;17;-5;250
-8;804;177;-167;-8;-61.0;-11.0;-41.0;-24;5;256
-30;796;-174;-158;-30;-12.0;-1.0;-9.0;22;2;287
-24;798;-174;-158;-24;-29.0;-36.0;-1.0;-4;-4;288
-9;805;178;176;-9;-78.0;-127.0;46.0;0;3;262
-45;793;178;176;-45;187.0;146.0;-62.0;-2;-5;275
8;798;-174;-158;8;-9.0;-32.0;-11.0;0;2;286
-5;813;178;-175;-5;-19.0;-28.0;35.0;-4;-6;279
-11;792;-174;-158;-11;-17.0;0.0;-15.0;19;1;291
7;791;179;-158;7;-1.0;-6.0;-16.0;-16;-1;306
-4;808;-179;-157;-4;-36.0;20.0;22.0;-4;0;273
-6;806;-179;-157;-6;-21.0;50.0;5.0;16;-1;272
11;806;-179;-157;11;-42.0;-84.0;8.0;23;2;272
28;805;-179;-157;28;-48.0;31.0;-6.0;24;0;267
-13;811;-180;-157;-13;-9.0;41.0;0.0;-4;2;267
-1;809;-180;-157;-1;-25.0;6.0;-27.0;-11;-1;269
-22;807;-179;-157;-22;-42.0;23.0;0.0;-20;2;263
-36;778;-176;-160;-36;-8.0;73.0;7.0;12;1;299
-7;777;-176;-160;-7;-31.0;94.0;66.0;31;-10;301
-70;695;-179;-152;-70;100.0;99.0;-32.0;226;5;323
-482;695;-170;-162;-482;-174.0;-235.0;-190.0;279;2;387
-59;800;-178;-163;-59;-72.0;-83.0;25.0;36;-7;274
-622;744;174;-170;-622;-282.0;-584.0;75.0;-2789;-7;158
-8;773;-176;-160;-8;9.0;-2.0;32.0;13;-4;295
21;770;-176;-159;21;-82.0;-10.0;92.0;41;-2;300
109;711;-177;-159;109;-177.0;187.0;-91.0;338;-32;496
-25;807;-179;-157;-25;-10.0;11.0;-2.0;-3;6;268
-1;804;-179;-157;-1;-23.0;0.0;-4.0;4;3;270
-10;807;-180;-157;-10;-44.0;9.0;-8.0;-10;1;272
24;804;-179;-157;24;0.0;-4.0;18.0;-25;0;271
-16;809;-180;-157;-16;21.0;-2.0;-12.0;-7;1;265
-26;808;-179;-157;-26;23.0;26.0;7.0;-27;2;268
2917;656;176;-180;2917;-1287.0;-696.0;573.0;576;23;974
36;805;-177;-159;36;-143.0;-86.0;-66.0;4;18;305
4;809;-179;-157;4;13.0;35.0;23.0;-2;-2;268
6;806;-179;-157;6;-22.0;-2.0;0.0;-7;1;270
1;677;-178;-169;1;-54.0;-20.0;6.0;-47;0;158
19;804;-180;-157;19;-11.0;-2.0;25.0;-56;1;272
-19;805;-179;-157;-19;-30.0;-4.0;-21.0;12;3;270
-10;806;-179;-157;-10;-1.0;-23.0;22.0;-16;1;268
16;808;164;-174;16;-18.0;38.0;1.0;-28;-4;262
5;815;-176;-163;5;49.0;-19.0;-11.0;-22;-4;263
18;802;164;-174;18;-11.0;40.0;33.0;3;-2;262
23;802;-176;-163;23;-12.0;5.0;-3.0;-13;-2;272
-17;812;178;-175;-17;-6.0;64.0;40.0;8;-5;276
4;811;-176;-163;4;-28.0;23.0;1.0;11;-4;267
-9;810;164;-174;-9;-45.0;63.0;19.0;-22;1;251
-7;806;174;-156;-7;-26.0;162.0;17.0;-24;-3;253
12;807;-176;-163;12;-45.0;-46.0;67.0;-12;-5;263
-15;807;-176;-163;-15;-56.0;-16.0;26.0;-10;-6;263
32;817;174;-156;32;-68.0;59.0;67.0;-16;2;251
-1;804;177;-167;-1;-101.0;8.0;23.0;29;-1;267
283;783;-170;-169;283;512.0;-264.0;4.0;-144;-29;378
-35;805;-177;-155;-35;2.0;-33.0;-31.0;-13;-6;259
13;807;164;-174;13;-5.0;74.0;-10.0;-4;-2;263
-575;807;-179;-156;-575;-45.0;-23.0;50.0;1110;-2;232
-14;807;-177;-155;-14;-1.0;-45.0;16.0;3;-10;268
-3;810;-177;-155;-3;-10.0;-94.0;23.0;-10;-14;270
-14;813;-177;-155;-14;-3.0;-76.0;13.0;-10;1;265
-17;803;178;-154;-17;146.0;37.0;33.0;-12;-8;256
-15;804;-177;-155;-15;25.0;15.0;-5.0;-9;6;264
-23;793;97;-175;-23;543.0;224.0;-84.0;17;888;250
-226;745;-171;24;-226;-125.0;-543.0;-186.0;2164;77;1
-31;807;-177;-163;-31;71.0;41.0;-2.0;33;-4;270
463;804;-183;-167;463;-1024.0;-622.0;555.0;195;-6;356
-48;793;-197;-159;-48;-309.0;-11.0;78.0;131;1388;327
-9;803;-177;-159;-9;-157.0;-115.0;110.0;-14;-1;306
-17;801;-174;-162;-17;-69.0;-123.0;27.0;-29;1;257
-4;801;-178;-156;-4;-63.0;-21.0;-9.0;-16;3;282
-30;806;178;-153;-30;-234.0;60.0;20.0;-36;3;255
3;799;-177;-157;3;-100.0;7.0;-68.0;24;2;290
-10;802;-177;-159;-10;-88.0;-60.0;-135.0;0;0;309
13;795;-177;-157;13;4.0;-40.0;-73.0;-1;6;295
-6;801;-180;-156;-6;26.0;21.0;-330.0;8;-5;276
12;795;-177;-156;12;-54.0;8.0;-50.0;2;7;295
15;793;-177;-156;15;-60.0;25.0;-38.0;-6;9;294
8;796;-177;-157;8;-16.0;24.0;-50.0;7;8;295
-8;801;-177;-157;-8;5.0;12.0;-36.0;29;8;295
0;794;-177;-157;0;-50.0;0.0;-10.0;3;7;294
5;791;-176;-156;5;-39.0;38.0;-1.0;-6;2;293
6;792;-176;-156;6;-50.0;42.0;13.0;-7;1;293
-5;793;-176;-157;-5;-48.0;40.0;-1.0;6;0;295
0;793;-176;-156;0;-44.0;30.0;-27.0;18;-3;300
4;793;-176;-156;4;-53.0;12.0;-19.0;0;0;298
-26;798;-176;-156;-26;-37.0;-7.0;-17.0;0;4;293
-13;795;-176;-157;-13;-80.0;-8.0;-10.0;-4;0;295
-10;785;-176;-157;-10;-37.0;-43.0;-1.0;-24;4;297
14;794;-176;-156;14;-33.0;-16.0;27.0;-12;3;298
27;797;-176;-156;27;-35.0;-42.0;-3.0;-14;-2;299
23;796;-176;-156;23;-12.0;-26.0;14.0;-5;-1;298
33;797;-176;-157;33;-61.0;-16.0;3.0;9;6;299
-1;797;-176;-157;-1;-27.0;-32.0;-7.0;9;2;293
-12;796;-176;-156;-12;-3.0;-56.0;-11.0;8;3;292
-4;797;-176;-156;-4;-46.0;-47.0;-1.0;13;1;292
-12;795;-176;-156;-12;-49.0;-21.0;11.0;1;4;294
-19;794;-176;-157;-19;-29.0;-49.0;-3.0;-24;2;294
-37;801;-176;-157;-37;-14.0;-17.0;23.0;-22;-3;287
-1;807;174;-156;-1;-9.0;-13.0;52.0;-34;-8;251
-13;798;-176;-156;-13;-7.0;1.0;43.0;-14;0;293
-793;754;-179;-162;-793;-46.0;-25.0;68.0;-1449;-2;525
-11;799;-176;-157;-11;-16.0;30.0;100.0;9;1;291
251;763;37;-136;251;75.0;172.0;429.0;-326;-345;433
-20;794;-174;-160;-20;-334.0;-78.0;39.0;-30;44;257
23;803;-174;-159;23;-15.0;-35.0;131.0;-3;-8;267
-24;797;-179;-162;-24;36.0;18.0;-18.0;7;2;279
44;798;-179;-162;44;-53.0;42.0;42.0;-16;-1;277
-24;797;-179;-162;-24;-17.0;48.0;36.0;10;0;283
15;794;-179;-162;15;-3.0;20.0;1.0;-2;-1;280
21;799;-179;-162;21;-21.0;25.0;5.0;-11;3;277
10;795;-179;-162;10;-21.0;41.0;16.0;1;3;279
-2;795;-179;-162;-2;-45.0;59.0;46.0;2;0;277
9;797;-179;-162;9;-62.0;29.0;40.0;-20;0;274
3;797;-179;-162;3;-19.0;33.0;63.0;-33;1;285
-1;797;-179;-162;-1;-51.0;-30.0;-3.0;-37;1;285
5;797;-179;-162;5;-25.0;-14.0;32.0;-5;-3;278
-13;801;-179;-162;-13;-53.0;21.0;58.0;16;3;277
14;801;-179;-162;14;-34.0;3.0;44.0;-12;-1;275
-3;796;-177;-162;-3;-60.0;66.0;61.0;-66;-1;280
18;801;-179;-162;18;-20.0;33.0;24.0;8;-1;274
25;802;-179;-162;25;-40.0;42.0;11.0;17;-2;277
14;801;-179;-162;14;-21.0;4.0;-5.0;-21;3;277
12;795;-179;-162;12;-23.0;34.0;23.0;-2;-6;283
15;798;-179;-162;15;-24.0;41.0;14.0;-5;-5;273
3;799;-179;-162;3;-21.0;-31.0;2.0;10;-1;273
28;794;-179;-162;28;-52.0;9.0;-22.0;9;2;279
17;787;-179;-162;17;-61.0;-13.0;-9.0;30;3;287
15;800;-179;-162;15;-25.0;-9.0;11.0;-12;3;273
312;1412;-174;-170;312;-342.0;495.0;102.0;62;40;1
24;809;173;-165;24;-70.0;-16.0;156.0;28;-7;258
6;809;176;-174;6;-18.0;115.0;339.0;-31;-7;245
9;674;-176;-149;9;-259.0;18.0;53.0;21;3;435
-93;799;179;-158;-93;-10.0;-46.0;0.0;107;12;308
14;804;-174;-162;14;32.0;3.0;-18.0;3;-1;259
-18;809;178;-153;-18;-6.0;-6.0;14.0;-25;3;254
-8;808;174;-156;-8;-48.0;5.0;13.0;-26;1;245
23;809;-174;-162;23;-16.0;-75.0;-20.0;11;6;247
-1;805;-174;-162;-1;-2.0;-19.0;-6.0;12;8;253
4;801;-174;-162;4;4.0;-39.0;-7.0;25;3;258
0;803;-174;-162;0;42.0;-52.0;2.0;15;-1;256
2;811;177;-167;2;51.0;-196.0;-38.0;-7;4;261
-12;800;-174;-162;-12;42.0;-51.0;-1.0;-4;2;256
-1943;1128;-179;-153;-1943;243.0;223.0;-753.0;-995;1435;107
-63;796;157;-151;-63;-242.0;-309.0;-17.0;53;105;287
-17;808;164;-174;-17;-45.0;62.0;-9.0;3;-2;256
21;803;164;-174;21;-108.0;52.0;1.0;-9;-5;261
41;804;-173;-162;41;-46.0;-16.0;-73.0;19;15;251
7;804;-178;-156;7;-104.0;-111.0;70.0;-20;-5;276
6;799;-178;-156;6;-81.0;-75.0;50.0;-32;2;273
23;806;-178;-156;23;-80.0;-64.0;37.0;-23;0;280
28;807;-178;-156;28;-42.0;-25.0;25.0;-25;3;281
-18;805;-178;-156;-18;6.0;40.0;2.0;1;-2;281
-27;807;-178;-156;-27;15.0;26.0;-19.0;9;-3;281
-10;801;-178;-156;-10;24.0;57.0;-4.0;0;-10;283
924;481;177;-154;924;55.0;703.0;60.0;-2359;-6;305
44;808;-178;-156;44;28.0;70.0;4.0;-40;2;279
-8;803;-178;-156;-8;15.0;25.0;6.0;-25;1;281
-18;803;-178;-156;-18;23.0;6.0;-17.0;9;2;280
-24;802;-178;-156;-24;43.0;3.0;8.0;14;3;279
-9;797;-178;-156;-9;-42.0;6.0;13.0;-10;3;278
351;843;-179;-78;351;314.0;279.0;947.0;1535;-179;-195
-4;798;-178;-156;-4;-26.0;13.0;50.0;-17;7;279
-8;800;-178;-156;-8;-64.0;14.0;54.0;-6;2;279
-19;805;-178;-156;-19;-81.0;21.0;78.0;-5;-1;281
-20;806;-178;-156;-20;-179.0;73.0;142.0;33;12;272
26;793;-176;-156;26;-71.0;126.0;255.0;37;4;277
17;807;-178;-156;17;-70.0;-2.0;140.0;-4;3;276
-2;807;-178;-156;-2;-34.0;-39.0;67.0;5;0;278
11;802;-178;-156;11;-22.0;-73.0;24.0;39;-5;287
-28;798;-176;-159;-28;34.0;-66.0;-72.0;-3;0;306
1;796;-177;-159;1;56.0;-33.0;454.0;26;0;296
-10;801;-178;-156;-10;-62.0;-9.0;65.0;20;2;281
0;805;-178;-156;0;-116.0;-5.0;81.0;6;-3;281
-14;808;-178;-156;-14;-121.0;23.0;65.0;5;-5;279
905;861;69;-155;905;151.0;263.0;143.0;73;95;-280
103;810;-202;-164;103;-45.0;-247.0;125.0;-35;-3;274
-12;811;165;-174;-12;-52.0;-437.0;23.0;11;-3;252
-11;809;-174;-161;-11;-12.0;-80.0;2.0;10;-1;279
-50;813;-171;-177;-50;-299.0;-18.0;195.0;40;-1045;241
24;803;-176;-159;24;-78.0;5.0;54.0;-8;-6;301
1668;1528;-91;-220;1668;-34.0;261.0;341.0;229;225;198
-26;803;-177;-159;-26;15.0;49.0;-115.0;-20;6;292
-8;803;-176;-159;-8;-11.0;-7.0;-52.0;3;-1;308
-12;804;-176;-159;-12;-50.0;-64.0;-16.0;20;4;308
-41;800;-177;-162;-41;-98.0;-87.0;71.0;-8;-2;283
-32;799;-176;-159;-32;112.0;-97.0;70.0;19;-10;307
33;805;-178;-159;33;321.0;-106.0;8.0;-25;9;263
-6;798;-176;-159;-6;-30.0;6.0;-49.0;17;6;310
-7;798;-176;-159;-7;-93.0;-12.0;-45.0;23;4;308
-6;795;-176;-159;-6;26.0;12.0;-44.0;21;-4;311
33;798;-177;-159;33;-75.0;-69.0;73.0;13;-9;306
24;801;-177;-159;24;46.0;17.0;38.0;12;-2;303
-29;798;-176;-159;-29;-58.0;17.0;-1.0;-39;0;309
2;797;-178;-159;2;-330.0;178.0;54.0;4;1;311
16;804;-176;-159;16;-101.0;-12.0;84.0;-7;-3;306
-9;797;-176;-159;-9;-78.0;-67.0;66.0;12;-6;304
-7;801;-176;-159;-7;-27.0;-102.0;68.0;2;5;304
6;796;-178;-162;6;-12.0;-253.0;56.0;11;-1;277
4;799;-176;-159;4;-21.0;-54.0;69.0;56;0;299
13;797;-176;-159;13;-52.0;10.0;74.0;37;-1;310
3;797;-176;-159;3;-33.0;-85.0;69.0;-3;0;306
-27;797;-176;-159;-27;-3.0;42.0;-10.0;9;0;305
29;797;-176;-159;29;-6.0;-57.0;85.0;-31;5;308
-20;801;-177;-162;-20;-86.0;-222.0;90.0;-2;-4;286
-9;797;-176;-159;-9;-5.0;-64.0;21.0;24;1;304
4;799;-176;-159;4;16.0;-51.0;15.0;10;0;305
22;799;-176;-159;22;3.0;-20.0;0.0;-2;1;303
37;797;-176;-159;37;-84.0;50.0;21.0;-4;0;301
315;799;93;-166;315;-391.0;155.0;75.0;98;-389;256
-5;797;-176;-159;-5;-110.0;-78.0;65.0;0;0;308
6;800;-176;-159;6;-39.0;-109.0;38.0;0;0;310
-7;803;-177;-159;-7;-76.0;-240.0;-73.0;-14;0;304
-1;801;-176;-159;-1;-80.0;-56.0;191.0;-5;-2;311
-5;803;-176;-159;-5;-22.0;31.0;3.0;-2;3;306
-10;804;-176;-159;-10;-16.0;20.0;22.0;32;-2;309
328;780;-178;-155;328;290.0;-320.0;-230.0;131;15;310
779;715;-175;-181;779;-229.0;-174.0;112.0;342;7;117
25;801;-176;-159;25;-35.0;14.0;48.0;-20;1;310
1;801;-176;-159;1;3.0;14.0;41.0;-7;-1;311
-4;801;-176;-159;-4;-43.0;72.0;65.0;12;0;309
7;803;-176;-159;7;-41.0;50.0;44.0;0;1;313
-12;802;-176;-159;-12;-4.0;25.0;36.0;-8;-3;316
3;803;-176;-159;3;45.0;27.0;34.0;11;-2;311
7;803;-176;-159;7;-10.0;19.0;24.0;29;-4;305
8;803;-176;-159;8;44.0;19.0;-3.0;33;-1;315
-15;798;-177;-159;-15;88.0;90.0;24.0;-15;-3;299
7;801;-176;-159;7;-35.0;9.0;16.0;21;-3;310
35;801;-176;-159;35;-3.0;62.0;21.0;22;-4;310
11;800;-176;-159;11;-42.0;41.0;52.0;20;4;310
-4;802;-176;-159;-4;-40.0;-7.0;50.0;35;-1;310
30;799;-177;-159;30;29.0;-31.0;-33.0;8;-3;299
-13;797;-177;-159;-13;-30.0;-21.0;2.0;18;2;300
4;803;-176;-159;4;-78.0;7.0;23.0;11;-2;310
35;805;-176;-159;35;-45.0;-27.0;12.0;-9;1;308
1;798;-177;-159;1;-53.0;80.0;17.0;-19;-1;300
5;800;-177;-159;5;-125.0;23.0;7.0;14;7;301
32;802;-177;-159;32;-45.0;27.0;8.0;-26;-2;300
22;805;-177;-160;22;-43.0;56.0;61.0;-20;-1;298
7;800;-176;-159;7;-14.0;-11.0;25.0;19;1;308
10;802;-176;-159;10;-24.0;-10.0;-30.0;-9;-2;317
14;808;-176;-159;14;-52.0;40.0;-21.0;-17;-2;306
14;804;-177;-159;14;-5.0;34.0;15.0;-16;11;299
-27;803;-177;-160;-27;48.0;-4.0;46.0;8;6;302
23;800;-177;-159;23;-1.0;13.0;57.0;-34;10;306
-19;803;-177;-159;-19;-22.0;50.0;68.0;-2;4;304
13;804;-177;-159;13;-31.0;32.0;48.0;-1;-3;310
18;801;-177;-160;18;-43.0;14.0;28.0;0;-1;310
26;802;-176;-159;26;-62.0;48.0;-13.0;-25;-2;310
-280;774;-176;-157;-280;42.0;52.0;-104.0;-484;4;275
-3;802;-176;-159;-3;56.0;121.0;-6.0;4;-6;308
16;789;145;-158;16;26.0;33.0;95.0;-32;-281;309
-36;801;-177;-159;-36;-139.0;26.0;22.0;27;4;302
-1;804;-176;-159;-1;35.0;50.0;0.0;23;2;306
21;798;-176;-159;21;35.0;-29.0;-21.0;11;-2;310
11;800;-176;-159;11;10.0;-37.0;-54.0;36;-2;304
-37;596;-173;-157;-37;58.0;-26.0;-261.0;34;24;377
-27;800;-176;-159;-27;-24.0;-3.0;9.0;-10;5;308
64;799;-176;-159;64;-13.0;6.0;32.0;-19;-6;310
935;646;-159;-118;935;-240.0;59.0;769.0;-758;-374;370
-2;802;-176;-159;-2;-92.0;-3.0;51.0;9;-6;302
6;807;-175;-160;6;-85.0;-128.0;129.0;16;-5;282
16;801;-176;-159;16;-116.0;-22.0;106.0;20;3;306
16;801;-176;-159;16;37.0;5.0;36.0;-3;-5;314
-37;799;-177;-159;-37;-7.0;37.0;-2.0;-7;-5;310
3;801;-177;-160;3;17.0;132.0;-86.0;-20;2;300
25;807;-177;-159;25;-49.0;58.0;52.0;30;-1;314
-8;796;-177;-159;-8;-73.0;17.0;19.0;13;2;312
439;688;-178;-162;439;596.0;766.0;-71.0;183;-8;358
30;801;-177;-159;30;-18.0;45.0;13.0;42;-2;309
5;803;-177;-159;5;-43.0;-38.0;7.0;-5;-6;310
10;805;-177;-159;10;2.0;33.0;-13.0;-20;-3;306
0;802;-177;-159;0;23.0;0.0;17.0;-12;2;304
-5;803;-177;-159;-5;-90.0;19.0;41.0;-23;-8;302
3;802;-176;-159;3;11.0;64.0;-24.0;-9;-1;310
7;803;-177;-159;7;-37.0;-46.0;73.0;3;2;302
0;802;-177;-159;0;-83.0;-49.0;37.0;9;1;305
15;802;-177;-159;15;-139.0;-43.0;45.0;23;0;303
-5;799;-176;-159;-5;20.0;34.0;45.0;46;4;312
123;1664;165;-56;123;-232.0;36.0;641.0;1216;-22;193
2;801;-177;-159;2;-35.0;-50.0;105.0;-30;-4;301
37;796;-177;-159;37;25.0;22.0;46.0;-3;-6;304
235;855;-174;-143;235;-200.0;63.0;408.0;657;7;588
-16;802;-174;-158;-16;46.0;67.0;-8.0;-19;-1;287
-1799;1058;-38;-157;-1799;-412.0;-36.0;464.0;-2082;18;4075
-7;797;-177;-159;-7;-15.0;45.0;-8.0;-30;7;305
-62;789;-176;-171;-62;-93.0;-107.0;-1.0;-75;-40;395
1556;1354;-172;-163;1556;-1490.0;-1165.0;792.0;-247;82;422
-20;792;-177;-159;-20;24.0;4.0;-34.0;9;3;305
35;801;-177;-159;35;-10.0;17.0;-33.0;-31;1;301
0;807;-176;-159;0;-101.0;-20.0;33.0;20;-1;303
2;803;-176;-159;2;-74.0;4.0;9.0;11;4;307
-18;799;-176;-159;-18;-56.0;-3.0;35.0;-36;-2;309
6;798;-176;-159;6;-73.0;5.0;8.0;21;0;308
-2;805;-176;-159;-2;-9.0;15.0;-14.0;-13;-1;307
17;800;-176;-159;17;-5.0;40.0;-3.0;-20;0;308
25;797;-177;-160;25;115.0;13.0;-80.0;-18;-7;297
17;800;-176;-159;17;-59.0;46.0;-70.0;28;-4;308
-20;806;-176;-159;-20;-58.0;29.0;-69.0;20;0;308
-18;806;-176;-159;-18;-125.0;-4.0;85.0;-1;-4;309
208;732;178;-157;208;-178.0;-167.0;-2.0;562;1;417
17;801;-177;-159;17;-128.0;-113.0;48.0;-11;1;307
13;803;-177;-159;13;-76.0;-150.0;36.0;21;-3;306
949;789;-178;-163;949;-1380.0;-1448.0;495.0;1146;2;369
24;801;-176;-159;24;-77.0;-44.0;-10.0;-25;0;306
123;791;-172;-157;123;-149.0;-142.0;78.0;-88;-10;356
21;808;-173;-159;21;161.0;-64.0;46.0;-21;-2;260
-9;806;175;-175;-9;-240.0;-128.0;142.0;-1;11;279
5;791;-175;-157;5;-278.0;-185.0;53.0;10;4;334
-67;763;-207;-149;-67;404.0;635.0;-1146.0;-69;-1866;248
15;803;-177;-159;15;-24.0;-67.0;-49.0;2;-3;307
18;802;-177;-159;18;-59.0;-28.0;5.0;49;-2;305
30;802;-177;-159;30;-69.0;-3.0;68.0;-14;-4;314
10;808;-174;-161;10;-142.0;-398.0;108.0;14;-4;279
17;803;-177;-159;17;-106.0;-9.0;89.0;-41;3;317
5;807;-177;-159;5;-89.0;-55.0;-15.0;-8;0;306
16;801;-177;-159;16;-65.0;-38.0;47.0;-20;2;307
-16;805;-177;-159;-16;-36.0;32.0;30.0;25;0;306
12;801;-177;-159;12;-146.0;-24.0;2.0;9;3;311
-17;789;-176;-156;-17;-144.0;271.0;108.0;-2;2;281
-25;796;119;-166;-25;1121.0;1072.0;-1116.0;-73;-16;209
3;806;-176;-163;3;139.0;508.0;-22.0;26;-26;265
11;36;-179;-131;11;-1171.0;-765.0;1081.0;0;10;217
476;825;-179;-157;476;-607.0;92.0;398.0;-837;-52;297
-642;825;182;-166;-642;-510.0;123.0;335.0;141;-139;261
-6;39;-177;-131;-6;-26.0;-478.0;8.0;-5;0;230
-6;810;-176;-161;-6;-423.0;-468.0;100.0;-32;-2;241
35;809;79;-163;35;192.0;-165.0;186.0;-63;347;195
-45;811;173;-165;-45;-239.0;168.0;144.0;-25;-1;271
-18;806;178;-175;-18;227.0;-259.0;395.0;21;1;271
-65;806;-178;-156;-65;-2.0;120.0;27.0;9;-4;278
-1113;761;-153;-98;-1113;642.0;491.0;245.0;-444;-199;-56
-9;766;-178;-159;-9;-690.0;-598.0;-303.0;-16;22;308
-19;794;-178;-162;-19;-79.0;83.0;102.0;-22;-5;285
7;803;-178;-156;7;40.0;-355.0;-661.0;26;-5;280
139;844;77;-173;139;-679.0;-198.0;117.0;98;94;244
16;801;-178;-156;16;22.0;278.0;277.0;-15;2;282
19;800;-177;-162;19;76.0;538.0;-346.0;10;14;243
0;807;178;-175;0;76.0;142.0;-57.0;-24;5;279
15;805;-176;-159;15;-161.0;6.0;52.0;-28;-2;306
