Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay
-107.0;-21;-3;2.0;-124.0;23;-15;639
-104.0;-24;-1;-3.0;-70.0;18;-44;640
-112.0;-32;4;-21.0;-26.0;21;-50;645
-95.0;-1;10;-10.0;39.0;19;-35;?
-122.0;40;0;21.0;58.0;14;-64;650
?;18;10;38.0;-91.0;15;-48;650
-148.0;-1;4;-5.0;-125.0;18;3;640
-122.0;-2;6;-20.0;-116.0;19;-7;639
-119.0;-12;28;-3.0;-183.0;19;-10;643
-116.0;15;18;10.0;-270.0;21;-7;640
?;12;0;17.0;-289.0;25;-34;638
-126.0;-40;?;30.0;-284.0;24;9;641
-135.0;-4;18;12.0;-308.0;22;35;638
-128.0;19;-11;10.0;-499.0;19;-36;644
-118.0;-22;-53;10.0;-334.0;20;-29;643
-109.0;-18;-26;5.0;-439.0;18;-8;639
-119.0;-10;10;-10.0;-425.0;16;-25;646
-129.0;-17;7;-2.0;-411.0;24;36;642
-147.0;?;31;8.0;-408.0;20;22;647
-141.0;?;12;20.0;-408.0;18;-5;648
-121.0;24;-28;10.0;-362.0;21;17;641
-105.0;8;-21;9.0;-383.0;20;-28;644
?;8;-13;3.0;-414.0;24;-19;641
-129.0;16;?;32.0;-402.0;17;10;644
-123.0;-4;-7;14.0;-403.0;17;-9;647
-110.0;15;7;12.0;-373.0;21;-14;641
-152.0;-3;2;-13.0;-290.0;22;8;645
-105.0;-3;-1;-17.0;-190.0;20;-29;643
-90.0;-10;0;-43.0;-102.0;16;16;645
-96.0;-1;0;-12.0;-244.0;17;36;648
-125.0;-13;0;0.0;-216.0;21;26;?
-125.0;-26;-6;0.0;-251.0;20;28;641
-129.0;14;-10;20.0;?;?;19;645
-121.0;?;24;7.0;-207.0;19;1;648
-118.0;-37;14;2.0;-209.0;19;-3;645
-116.0;-1;-32;?;-199.0;21;6;642
-125.0;-28;-3;?;-322.0;18;43;644
-121.0;-8;-21;-29.0;-339.0;24;59;642
-118.0;-20;-20;-42.0;-353.0;19;-53;643
-118.0;-34;1;-1.0;-405.0;21;-77;638
-118.0;-25;1;22.0;-476.0;14;22;648
-127.0;-35;-27;29.0;-497.0;16;1;640
-173.0;9;?;7.0;-580.0;25;17;631
-149.0;-72;142;40.0;-559.0;-23;83;670
-116.0;-65;-31;45.0;?;40;-22;591
?;-515;273;29.0;-562.0;-33;-48;652
-110.0;-515;346;40.0;-595.0;-188;26;694
-90.0;649;-933;20.0;-566.0;11;-35;348
-111.0;812;-1565;31.0;?;99;-35;255
-138.0;344;-1731;51.0;-517.0;-19;3;453
-142.0;186;-2134;58.0;-514.0;14;-33;525
-133.0;155;-2010;63.0;?;105;-28;667
-138.0;531;-1877;64.0;-534.0;48;-26;732
-135.0;745;-1530;45.0;-512.0;71;-35;762
-130.0;689;-785;59.0;?;270;-15;833
-146.0;452;-671;105.0;-483.0;133;-24;385
-128.0;?;-742;143.0;-497.0;-3;-32;94
-127.0;356;-502;179.0;-481.0;85;-20;262
-127.0;271;-519;283.0;-502.0;-1;-1;249
-127.0;68;-513;355.0;-549.0;-8;26;241
-129.0;140;?;?;-513.0;56;-3;183
-148.0;221;-330;446.0;-507.0;16;-11;161
-138.0;274;-248;581.0;-548.0;105;9;?
-130.0;336;-106;53.0;-562.0;144;-10;68
-134.0;186;-2;-32.0;-554.0;18;-25;186
-124.0;-66;-79;-151.0;-554.0;26;-35;186
-110.0;-262;-34;3.0;-559.0;68;-13;97
-121.0;-169;63;59.0;-566.0;54;28;117
-126.0;69;108;172.0;-559.0;73;30;119
-136.0;229;111;217.0;-545.0;47;27;140
-121.0;389;181;312.0;-568.0;85;54;139
-126.0;392;259;335.0;-554.0;118;46;123
-110.0;299;83;286.0;-540.0;-53;2;299
-126.0;276;496;142.0;-559.0;261;30;?
-89.0;?;61;310.0;-537.0;-115;43;341
-46.0;278;540;374.0;-526.0;270;49;-49
-89.0;259;960;232.0;-505.0;428;29;-113
-110.0;210;828;285.0;?;324;-34;82
-171.0;-15;4975;277.0;-375.0;3042;54;-2890
-227.0;-507;3266;278.0;-571.0;-709;-2;1070
-256.0;-674;-1480;228.0;-849.0;-3745;-117;4699
-484.0;-249;233;285.0;-426.0;481;-23;436
-372.0;52;327;352.0;?;162;-30;530
-203.0;17;-58;363.0;-400.0;-316;-30;?
-217.0;-10;385;341.0;-381.0;345;53;440
-179.0;7;-106;312.0;-436.0;-206;28;914
-140.0;10;-48;259.0;-607.0;131;-8;522
-220.0;18;-29;229.0;-546.0;-3;?;675
-270.0;?;-27;262.0;-462.0;4;-61;667
-291.0;-21;0;253.0;-430.0;58;-36;619
-152.0;14;6;309.0;-431.0;?;19;672
-107.0;7;10;?;-454.0;?;0;646
-170.0;-13;10;391.0;-480.0;30;-12;641
-121.0;-1;24;327.0;-448.0;14;19;655
-138.0;-1;0;425.0;-433.0;11;29;666
?;11;-62;179.0;-455.0;41;2;642
-172.0;22;53;349.0;-442.0;-19;-2;688
-67.0;-5;-62;-994.0;-440.0;55;13;623
-129.0;35;-200;100.0;-411.0;-145;14;826
-93.0;202;-740;0.0;-432.0;-435;-16;1072
-27.0;239;?;-18.0;-430.0;-103;-44;734
?;63;-2128;-18.0;-461.0;24;-28;599
-96.0;66;-1950;135.0;-449.0;-52;-33;588
-92.0;188;-1933;?;-403.0;161;-40;309
-120.0;154;-1665;298.0;-399.0;170;9;264
-137.0;0;-1361;200.0;-471.0;108;36;213
-127.0;-114;-1073;220.0;-489.0;172;10;127
-86.0;-109;-1019;207.0;-478.0;118;13;219
-101.0;-173;-369;225.0;-472.0;163;43;-25
-10.0;-16;288;220.0;-494.0;157;22;-36
-293.0;240;83;219.0;-489.0;17;10;294
-171.0;137;-56;208.0;-548.0;46;46;218
794.0;53;-41;208.0;-557.0;13;27;211
-412.0;56;-66;200.0;-547.0;?;-9;276
-849.0;-2;-102;213.0;-558.0;?;20;222
-223.0;-56;-121;200.0;-547.0;9;32;243
-113.0;-133;-129;300.0;-545.0;13;-13;237
-111.0;-236;-166;208.0;-537.0;61;-44;190
-117.0;-249;-94;41.0;-549.0;65;-31;158
-213.0;-125;-48;55.0;-541.0;63;1;146
-173.0;-124;-81;?;-540.0;?;30;197
-144.0;39;-3;225.0;-539.0;113;35;127
-145.0;130;150;206.0;-519.0;12;38;206
-137.0;155;177;260.0;-521.0;51;37;172
-143.0;250;?;323.0;-517.0;254;24;38
-141.0;-155;409;375.0;-510.0;?;38;416
?;430;341;362.0;-509.0;640;23;-284
-174.0;-386;848;407.0;-523.0;-431;18;595
-218.0;135;?;241.0;-475.0;1341;-25;-918
-196.0;19;2899;250.0;-478.0;2292;-66;-2059
-141.0;-5439;5425;265.0;-354.0;-6144;-25;4561
-126.0;-3074;2191;?;-656.0;-3905;-159;?
-304.0;1037;-669;238.0;-440.0;1644;-203;?
-256.0;-553;402;264.0;-465.0;-735;-131;?
-77.0;102;-43;246.0;-472.0;157;-44;572
-136.0;80;-139;242.0;-401.0;147;189;563
-167.0;-164;89;240.0;-617.0;-228;?;827
-153.0;159;-54;224.0;-705.0;226;51;509
-190.0;-109;51;238.0;-560.0;-106;28;740
-162.0;29;-22;263.0;-541.0;82;3;604
-116.0;?;14;261.0;-524.0;14;27;658
-104.0;-33;15;248.0;-504.0;8;13;663
-23.0;-44;6;263.0;-530.0;29;-26;649
-6.0;-41;14;277.0;-551.0;?;-6;654
-69.0;-4;23;286.0;-502.0;18;8;656
?;-10;-12;263.0;-509.0;18;7;653
-145.0;-29;-10;140.0;-532.0;14;6;661
-172.0;47;-2;560.0;-496.0;15;-3;667
-204.0;?;-49;?;-467.0;-8;-7;670
-180.0;?;-102;-324.0;-472.0;-22;-19;714
-163.0;99;-666;178.0;-452.0;-107;44;777
-115.0;338;-1134;-161.0;-458.0;-362;65;1009
-151.0;322;-1288;90.0;-470.0;-384;-24;1074
-122.0;80;-1836;74.0;-429.0;-37;-13;644
-100.0;44;-1851;115.0;-431.0;68;6;440
-82.0;44;-1539;183.0;-444.0;-33;-10;487
-104.0;-144;-1488;236.0;-461.0;44;17;358
-67.0;-181;-1260;200.0;-481.0;165;-2;207
-103.0;-77;-1002;136.0;-518.0;165;-33;150
-39.0;-146;-754;121.0;-522.0;93;-16;171
-180.0;-262;-575;117.0;-533.0;93;-23;154
-36.0;-237;?;198.0;-526.0;115;-43;132
-647.0;-168;-291;165.0;-540.0;76;-44;152
936.0;-170;-192;146.0;-525.0;65;?;155
302.0;-139;?;114.0;-525.0;75;-25;161
-987.0;4;-94;140.0;-547.0;47;-23;174
139.0;?;-9;128.0;?;42;-11;177
-64.0;46;-9;210.0;-581.0;55;62;163
-225.0;?;14;234.0;-571.0;?;110;148
-116.0;-21;54;98.0;-588.0;52;68;164
-147.0;-72;52;99.0;-573.0;42;55;?
-70.0;-51;81;154.0;-585.0;43;74;187
?;87;178;256.0;-560.0;75;22;153
-122.0;199;171;?;-562.0;44;20;200
-142.0;159;294;181.0;-545.0;110;?;120
-176.0;193;214;232.0;-576.0;59;53;185
-156.0;304;363;257.0;-563.0;66;11;223
-140.0;383;642;228.0;-557.0;195;-47;91
-145.0;471;77;209.0;-545.0;-73;-37;390
-198.0;131;1406;252.0;-504.0;625;-5;-345
-208.0;-277;1165;264.0;-558.0;824;-16;-531
-205.0;-206;1924;?;-410.0;1044;21;-783
?;?;?;272.0;-734.0;2151;24;?
?;-486;1656;222.0;-607.0;571;-95;-113
-238.0;-95;?;228.0;-585.0;-379;-159;1059
-83.0;30;656;240.0;-585.0;261;-78;435
-105.0;-87;-216;260.0;-474.0;-22;-28;792
-182.0;36;?;256.0;-512.0;88;33;643
-161.0;31;32;253.0;-673.0;81;108;632
-160.0;7;-80;294.0;-644.0;5;12;707
-189.0;14;68;309.0;-557.0;71;-27;625
-157.0;-43;-56;333.0;-617.0;17;43;682
-156.0;-37;34;286.0;-569.0;44;41;647
-153.0;-42;11;250.0;-570.0;36;36;657
-148.0;-36;-9;135.0;-595.0;25;13;661
-110.0;-16;-11;208.0;-589.0;15;-5;662
-117.0;-39;-2;400.0;-553.0;20;26;?
-82.0;-28;-36;216.0;-558.0;12;-6;675
-119.0;15;-31;308.0;-551.0;26;-15;663
-99.0;29;-29;-88.0;-530.0;22;57;664
-124.0;1;-75;-1057.0;-531.0;-1;23;676
-147.0;-36;-41;356.0;-539.0;34;-17;635
-137.0;42;-72;-221.0;-513.0;-34;47;703
-100.0;-8;-6;-189.0;-489.0;58;5;623
-90.0;76;-497;-73.0;-504.0;-99;?;?
?;244;-1627;16.0;-495.0;-416;?;1043
-81.0;12;-2008;126.0;-534.0;-58;-35;677
-59.0;-40;-1986;191.0;-524.0;88;-44;526
-97.0;-86;-1943;194.0;-482.0;34;7;578
-164.0;-22;-1596;200.0;-527.0;147;-14;343
-126.0;160;-1344;129.0;-515.0;54;-27;328
-137.0;-82;-1249;168.0;-514.0;39;-54;368
-200.0;-140;-1145;149.0;-530.0;73;-30;262
-318.0;-136;-996;195.0;-520.0;95;11;179
-213.0;-289;?;162.0;-529.0;112;?;160
444.0;-338;-649;135.0;-530.0;92;-45;154
-991.0;-349;-505;85.0;?;88;-6;139
-605.0;-313;-237;95.0;-550.0;76;44;104
66.0;-293;?;181.0;-552.0;71;53;124
-242.0;-186;-167;179.0;-576.0;55;25;196
-195.0;36;-95;193.0;-592.0;71;17;133
-124.0;236;67;241.0;?;88;27;104
-159.0;250;100;303.0;-595.0;51;2;183
-32.0;172;99;289.0;-600.0;29;-6;182
-97.0;130;?;155.0;-597.0;39;11;178
-119.0;35;122;204.0;-578.0;53;-18;159
-110.0;113;153;208.0;-597.0;18;-10;213
-108.0;-57;-36;172.0;-578.0;31;19;222
-167.0;-284;53;100.0;-574.0;84;6;116
-179.0;80;296;157.0;-591.0;87;15;133
-164.0;221;50;189.0;-552.0;57;10;213
-170.0;293;581;254.0;-530.0;-18;6;204
-179.0;330;-185;291.0;-539.0;125;5;211
-211.0;505;1175;299.0;-542.0;169;23;55
?;-53;855;299.0;-523.0;410;14;-74
-167.0;-565;?;303.0;-549.0;1285;0;-990
-100.0;84;9111;218.0;-406.0;1290;46;-1008
-109.0;-1767;3551;225.0;-692.0;?;-76;2722
-134.0;-2011;-3605;255.0;-773.0;0;-157;3047
-76.0;305;1075;250.0;-500.0;52;-98;254
-38.0;-19;75;230.0;-586.0;-2;-144;722
-185.0;-114;-369;219.0;-444.0;8;-6;784
-252.0;215;352;198.0;-590.0;26;225;505
-244.0;?;-353;210.0;-674.0;6;123;793
-199.0;64;183;238.0;-601.0;18;-9;587
-217.0;-1;-81;238.0;-570.0;11;22;691
-163.0;-1;-29;205.0;-560.0;17;6;658
-72.0;14;35;?;-549.0;19;-20;644
-38.0;7;-7;223.0;-530.0;10;-35;674
-40.0;3;2;295.0;-528.0;18;15;652
?;-11;10;293.0;-518.0;21;46;661
-71.0;18;1;445.0;-485.0;19;42;661
-108.0;59;-6;284.0;-465.0;20;76;658
-85.0;55;-2;270.0;-493.0;13;35;665
-125.0;50;-34;362.0;-469.0;19;38;660
-90.0;59;-47;-253.0;-477.0;19;30;662
-129.0;-4;-30;28.0;-480.0;13;-8;652
-152.0;31;-122;-207.0;-465.0;17;32;656
-160.0;-4;-151;-197.0;-415.0;-9;28;683
-161.0;0;-190;-30.0;-432.0;-70;10;725
-171.0;349;-750;41.0;-443.0;-104;28;806
-156.0;-106;-1300;125.0;-420.0;-40;-17;722
-74.0;-706;-1264;194.0;-420.0;36;-42;581
-62.0;-602;-1349;208.0;-411.0;17;-11;613
-44.0;-622;-1618;174.0;-433.0;15;5;553
-101.0;-485;-1515;166.0;-468.0;65;22;395
-45.0;-548;-1422;89.0;-487.0;56;-18;368
-52.0;-493;-1388;119.0;-484.0;?;-25;312
-284.0;-240;-1234;131.0;-480.0;126;-6;232
63.0;-312;?;111.0;-481.0;126;-36;193
1425.0;-248;-776;85.0;-507.0;103;-9;173
-1326.0;-233;-823;41.0;-544.0;89;-2;192
-235.0;-93;-375;84.0;-520.0;153;-37;73
-76.0;21;67;189.0;-540.0;79;-13;94
-225.0;12;-13;218.0;-565.0;10;50;238
-290.0;166;-64;218.0;-573.0;94;40;156
-46.0;186;?;283.0;-591.0;21;-21;128
?;105;-109;300.0;-598.0;-28;-2;193
-53.0;-131;-63;267.0;-630.0;36;35;191
-137.0;-293;-69;167.0;-598.0;30;31;165
-109.0;?;16;?;-602.0;25;12;169
-97.0;101;21;145.0;-597.0;57;28;186
-137.0;86;-3;186.0;-606.0;64;?;172
-198.0;-40;164;207.0;-601.0;51;-16;152
-182.0;-47;249;233.0;-591.0;9;-9;185
-181.0;39;189;228.0;-580.0;85;-43;128
-152.0;223;288;255.0;-598.0;?;-77;230
?;?;241;256.0;-595.0;43;-14;208
?;547;166;256.0;-575.0;107;-14;147
?;595;320;314.0;-575.0;-85;19;400
?;420;-27;?;-587.0;342;7;-144
-122.0;893;822;287.0;-607.0;19;20;323
-162.0;959;1522;266.0;-621.0;993;77;-988
-116.0;99;?;272.0;-605.0;1853;28;-1578
-11.0;-108;9651;295.0;-573.0;-1069;-1;2785
134.0;-581;3614;290.0;-847.0;-1027;-104;1972
-148.0;-725;-1294;292.0;-454.0;355;-169;-146
-279.0;-7;511;274.0;-648.0;-238;-93;1074
-179.0;37;-94;256.0;-575.0;90;-50;562
-307.0;-121;-15;285.0;-521.0;40;12;636
-328.0;-9;132;?;-553.0;-41;69;762
-158.0;2;-131;340.0;-559.0;65;22;581
?;-30;78;306.0;-580.0;-18;-14;724
-104.0;-15;-80;201.0;-500.0;34;4;631
-46.0;-20;-3;220.0;-547.0;15;31;665
-93.0;7;-2;202.0;-459.0;27;46;658
-106.0;33;-28;266.0;-428.0;23;15;657
-133.0;16;-2;342.0;-470.0;22;-8;?
-130.0;?;-5;419.0;-478.0;26;-20;652
-180.0;?;-14;517.0;-480.0;19;?;662
-159.0;21;17;346.0;-431.0;17;1;659
-180.0;12;16;439.0;-460.0;17;-51;656
-166.0;-7;28;344.0;-451.0;13;-17;664
-110.0;-11;34;-907.0;-470.0;17;27;662
-111.0;-11;-31;415.0;-422.0;21;-26;655
-115.0;-8;-24;-165.0;-396.0;19;-36;657
-172.0;?;13;-60.0;-384.0;20;8;658
-125.0;-9;-25;48.0;-390.0;18;9;656
-113.0;-6;0;124.0;-420.0;15;-4;659
-110.0;13;19;113.0;-396.0;18;-2;656
-112.0;21;-7;141.0;-452.0;22;-9;653
-115.0;3;-19;181.0;-386.0;20;-32;659
-174.0;-10;8;225.0;-406.0;?;-54;662
?;0;41;228.0;-399.0;20;-30;658
-207.0;-3;-20;217.0;-386.0;18;-2;657
-17.0;11;1;200.0;?;19;-12;657
-407.0;-3;18;229.0;-400.0;?;14;?
858.0;-17;-20;232.0;-406.0;19;17;658
834.0;10;5;245.0;?;22;-45;660
-1022.0;-6;-5;221.0;-409.0;21;-33;660
-693.0;-3;5;178.0;-404.0;25;7;655
61.0;28;-25;190.0;-398.0;24;-6;654
-168.0;21;-44;220.0;-378.0;23;-14;655
-278.0;-18;14;236.0;-350.0;24;-15;653
-140.0;-20;26;213.0;-396.0;21;-14;654
-134.0;18;44;?;-425.0;21;4;657
?;5;36;175.0;-423.0;21;-3;659
-209.0;4;-13;154.0;-428.0;19;-26;659
-176.0;-15;-6;138.0;-399.0;16;-37;663
-132.0;-37;30;148.0;-427.0;?;-45;662
-130.0;19;16;139.0;-430.0;26;-44;656
-136.0;28;-8;150.0;-470.0;19;-30;660
-116.0;5;11;167.0;-456.0;18;0;661
-137.0;19;7;157.0;-444.0;24;1;654
-145.0;-2;-9;157.0;-457.0;20;-17;655
-153.0;-7;-7;143.0;-438.0;15;1;658
-140.0;1;-7;140.0;-436.0;20;?;660
-135.0;-38;19;137.0;-419.0;21;6;660
-136.0;-17;23;142.0;?;16;24;658
-136.0;0;-17;126.0;?;15;?;664
-137.0;-8;-9;128.0;-422.0;17;32;666
-157.0;23;-12;144.0;-436.0;19;14;659
-162.0;21;-40;134.0;-444.0;20;15;660
-154.0;26;3;157.0;-421.0;16;24;659
-154.0;25;15;149.0;?;14;-3;656
-176.0;-5;?;141.0;-424.0;17;?;659
-190.0;-5;5;109.0;-410.0;21;13;?
-174.0;22;6;117.0;-420.0;?;-52;654
-149.0;13;25;64.0;-430.0;11;27;658
-157.0;-20;11;66.0;-418.0;13;49;657
-160.0;-2;9;106.0;-425.0;21;16;?
-146.0;6;37;119.0;-457.0;23;-3;656
-144.0;-13;14;121.0;-432.0;22;?;655
-161.0;1;-6;113.0;-416.0;18;57;658
-173.0;1;22;115.0;-459.0;?;24;662
-164.0;-10;23;112.0;-502.0;21;-11;656
-145.0;-6;8;120.0;-493.0;25;-13;657
-143.0;0;22;126.0;-471.0;18;10;659
-124.0;-13;7;115.0;-455.0;16;10;655
-118.0;12;-6;136.0;-448.0;21;-14;656
-136.0;18;5;?;-450.0;21;-12;654
-158.0;-45;-28;110.0;-450.0;19;-36;651
-175.0;18;-36;128.0;-450.0;21;0;654
-194.0;?;-8;149.0;-460.0;22;?;659
-189.0;-18;-6;181.0;?;19;-58;659
-192.0;21;27;184.0;-447.0;18;-32;658
-187.0;29;51;153.0;-427.0;17;19;?
-161.0;-11;16;149.0;?;18;-18;657
-144.0;10;-3;144.0;-424.0;22;-6;655
-146.0;34;-14;143.0;-423.0;24;1;655
-144.0;-1;-28;167.0;-432.0;20;?;656
-154.0;-31;4;161.0;-427.0;21;37;658
-155.0;-4;19;164.0;-442.0;25;18;650
-160.0;-1;-4;167.0;-452.0;19;-16;?
-139.0;9;-4;176.0;-442.0;17;-7;657
-166.0;-1;-15;171.0;?;22;-21;652
-150.0;-19;-28;167.0;-432.0;20;-21;657
-154.0;0;-8;160.0;-411.0;16;-13;662
-141.0;-11;11;167.0;-390.0;13;-10;657
-145.0;16;27;208.0;-372.0;16;14;654
-125.0;25;11;186.0;-426.0;18;-18;657
-141.0;-9;-10;181.0;-453.0;?;-5;656
-133.0;-9;-7;185.0;-459.0;19;49;656
-137.0;-1;-7;181.0;?;16;28;660
-155.0;19;11;184.0;-489.0;16;29;654
-138.0;8;15;165.0;-458.0;22;-9;649
-127.0;6;17;169.0;-467.0;21;-37;652
-127.0;39;11;171.0;-421.0;15;-19;657
-117.0;26;18;185.0;-375.0;17;-11;655
-110.0;1;18;189.0;?;20;-2;655
-117.0;?;-38;187.0;-432.0;16;-41;663
-122.0;-18;-6;184.0;-445.0;16;-12;661
-137.0;11;9;152.0;-451.0;14;24;660
-139.0;26;-3;156.0;-431.0;18;18;657
-145.0;-12;25;149.0;-431.0;27;37;650
-150.0;-4;?;148.0;-449.0;23;3;651
-149.0;26;-8;157.0;-441.0;20;-15;654
-150.0;26;11;138.0;-461.0;18;28;659
-145.0;-14;2;141.0;-428.0;22;30;656
-132.0;-41;19;150.0;-426.0;25;16;652
-139.0;-8;14;179.0;-428.0;20;27;660
?;11;4;179.0;-458.0;23;19;658
-126.0;-11;4;177.0;-432.0;19;0;?
-118.0;-28;2;207.0;-453.0;15;?;655
-118.0;-10;7;207.0;-476.0;18;1;658
-118.0;-2;17;203.0;-453.0;18;6;658
-117.0;-10;26;191.0;-470.0;16;?;654
-122.0;?;?;162.0;-477.0;15;3;657
?;1;11;119.0;-490.0;18;?;657
-140.0;-21;0;144.0;-480.0;15;44;661
-139.0;4;7;166.0;-479.0;13;23;?
-128.0;4;1;188.0;-446.0;17;-8;656
-135.0;-20;-7;190.0;-432.0;18;-13;660
?;-2;2;227.0;-438.0;17;11;658
-136.0;-8;10;194.0;-431.0;17;33;658
-128.0;0;?;169.0;-445.0;20;?;655
?;6;-11;137.0;-470.0;14;-27;660
-112.0;-11;-11;151.0;-452.0;22;-10;655
-101.0;0;47;150.0;-449.0;33;-3;650
-91.0;14;45;159.0;-465.0;5;-26;679
-118.0;48;17;166.0;-476.0;3;-47;672
-128.0;29;10;?;-441.0;20;5;652
-136.0;-6;-18;183.0;-473.0;13;37;661
-138.0;-2;-13;163.0;-463.0;17;3;658
-156.0;-29;24;156.0;-469.0;24;16;656
-136.0;-28;12;167.0;-450.0;17;15;658
-128.0;-3;-6;168.0;-480.0;17;-16;655
-119.0;2;21;168.0;-457.0;?;1;652
-107.0;15;18;168.0;-464.0;21;3;655
-112.0;19;5;170.0;?;18;10;658
-132.0;10;?;201.0;-462.0;21;18;654
-129.0;3;-11;193.0;-490.0;22;-31;650
-134.0;-10;-13;176.0;?;21;2;651
-129.0;-5;17;162.0;-463.0;18;19;655
-127.0;-2;6;167.0;-464.0;19;-34;653
-119.0;-10;-20;197.0;-478.0;21;16;654
-109.0;-1;-20;192.0;-519.0;21;?;656
-111.0;-7;0;194.0;-474.0;24;17;650
-136.0;-4;0;238.0;-494.0;23;-1;?
-139.0;24;-9;232.0;-492.0;19;-7;654
-139.0;28;11;185.0;-489.0;17;5;652
-119.0;8;13;168.0;-500.0;17;26;658
-136.0;-9;3;186.0;-499.0;22;-8;653
-110.0;-7;16;170.0;-478.0;22;-15;?
-128.0;15;3;139.0;-482.0;18;18;653
-118.0;18;19;169.0;?;18;0;653
-128.0;9;31;168.0;-464.0;24;-41;651
-111.0;10;-20;179.0;?;23;-32;652
-135.0;10;-13;177.0;-438.0;14;-14;657
?;11;9;178.0;-469.0;18;-7;656
-125.0;?;-10;179.0;-513.0;22;27;651
-144.0;?;3;171.0;-440.0;17;-34;654
-127.0;6;12;150.0;-410.0;17;-64;658
-99.0;-10;-8;148.0;?;17;-4;658
-102.0;6;8;153.0;-439.0;?;-53;658
-107.0;14;30;162.0;-426.0;18;-49;?
-116.0;?;7;147.0;-469.0;21;2;656
-135.0;-1;-11;165.0;-470.0;21;-9;654
-128.0;1;-6;160.0;-447.0;20;?;652
-135.0;20;4;148.0;-450.0;16;27;654
-122.0;10;22;?;-513.0;17;9;653
-110.0;-39;18;139.0;-446.0;19;-62;659
-120.0;-16;-18;140.0;-444.0;17;-54;661
-119.0;13;-2;149.0;-452.0;18;?;656
-93.0;-2;54;147.0;-468.0;23;-26;656
-96.0;-10;48;148.0;-463.0;17;-43;662
-116.0;-45;0;150.0;-461.0;12;-73;661
-110.0;?;-7;164.0;-456.0;22;-44;655
-118.0;-1;19;168.0;?;24;-18;654
-117.0;12;21;169.0;-462.0;19;-40;655
-100.0;-6;1;161.0;-485.0;26;-31;652
-99.0;-30;3;158.0;-491.0;?;-33;656
-90.0;7;15;152.0;-480.0;14;-40;657
-92.0;31;2;140.0;-440.0;21;-1;653
-106.0;3;-13;131.0;-451.0;19;28;656
-104.0;-15;-3;119.0;-451.0;16;40;657
-105.0;-32;2;138.0;-458.0;23;34;656
?;-14;-17;157.0;-452.0;17;17;656
-106.0;38;-1;139.0;-453.0;21;22;651
-102.0;14;34;148.0;-427.0;23;-13;653
