InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
338.0;600.0;-153.0;106;365.0;0;302.0;-123.0;-344.0;73.0;-393.0
331.0;604.0;-162.0;105;335.0;0;297.0;-124.0;-342.0;70.0;-377.0
318.0;601.0;-140.0;105;395.0;0;311.0;-144.0;-336.0;78.0;-357.0
308.0;604.0;-158.0;104;361.0;0;300.0;-162.0;-339.0;88.0;-351.0
295.0;606.0;-162.0;105;384.0;0;315.0;-203.0;-331.0;132.0;-345.0
302.0;606.0;-152.0;105;407.0;0;332.0;-206.0;-321.0;139.0;-348.0
303.0;611.0;-174.0;105;354.0;0;323.0;-206.0;-326.0;137.0;-349.0
453.0;458.0;-295.0;106;380.0;-8;271.0;34.0;-163.0;69.0;-270.0
453.0;456.0;-293.0;106;394.0;-8;259.0;35.0;-165.0;60.0;-267.0
451.0;456.0;-287.0;106;418.0;-8;248.0;36.0;-166.0;50.0;-263.0
451.0;455.0;-284.0;105;444.0;-8;241.0;35.0;-164.0;44.0;-260.0
449.0;458.0;-274.0;106;496.0;-13;210.0;23.0;-173.0;33.0;-270.0
450.0;458.0;-269.0;108;495.0;-13;204.0;22.0;-178.0;29.0;-274.0
456.0;450.0;-259.0;113;481.0;-13;193.0;21.0;-185.0;34.0;-281.0
461.0;450.0;-259.0;139;469.0;-13;195.0;22.0;-183.0;41.0;-284.0
472.0;535.0;-329.0;89;276.0;-1;-65.0;42.0;-335.0;-70.0;-494.0
-99.0;999.0;-42.0;-11;106.0;-25;131.0;225.0;-79.0;-138.0;-196.0
-66.0;1003.0;-23.0;44;192.0;-24;82.0;162.0;-104.0;-108.0;-241.0
-43.0;1006.0;-4.0;119;333.0;-23;26.0;126.0;-141.0;-86.0;-287.0
454.0;453.0;-247.0;-74;365.0;-13;202.0;25.0;-184.0;70.0;-293.0
451.0;452.0;-245.0;-167;332.0;-13;204.0;34.0;-183.0;73.0;-294.0
447.0;455.0;-245.0;-127;312.0;-13;204.0;39.0;-185.0;78.0;-296.0
426.0;460.0;-236.0;-151;301.0;-13;201.0;37.0;-191.0;101.0;-297.0
406.0;478.0;-216.0;-167;314.0;-13;207.0;33.0;-192.0;117.0;-288.0
398.0;482.0;-205.0;-162;327.0;-13;210.0;29.0;-193.0;122.0;-287.0
379.0;504.0;-172.0;-165;390.0;-15;205.0;6.0;-190.0;146.0;-299.0
360.0;520.0;-123.0;-167;473.0;-17;178.0;-38.0;-181.0;183.0;-330.0
350.0;523.0;-105.0;-167;493.0;-16;164.0;-55.0;-181.0;200.0;-344.0
337.0;524.0;-85.0;-167;518.0;-18;146.0;-75.0;-181.0;218.0;-360.0
225.0;587.0;-253.0;18;-52.0;5;162.0;-13.0;78.0;-54.0;-121.0
545.0;245.0;-244.0;146;-252.0;-4;81.0;-105.0;154.0;8.0;-384.0
378.0;400.0;-466.0;-6;25.0;23;-280.0;-213.0;-83.0;147.0;46.0
340.0;536.0;-565.0;63;-45.0;-8;-442.0;-302.0;397.0;248.0;-54.0
470.0;417.0;-298.0;57;475.0;-4;-848.0;24.0;398.0;-157.0;-10.0
154.0;616.0;-213.0;18;63.0;6;78.0;-23.0;45.0;-64.0;-199.0
271.0;539.0;-347.0;39;166.0;-14;394.0;114.0;30.0;-19.0;-120.0
270.0;544.0;-342.0;39;187.0;-14;358.0;100.0;4.0;-6.0;-137.0
-70.0;646.0;-78.0;16;47.0;-4;49.0;-34.0;15.0;-60.0;-228.0
270.0;549.0;-334.0;39;209.0;-14;320.0;86.0;-22.0;8.0;-157.0
272.0;555.0;-326.0;39;225.0;-14;283.0;73.0;-47.0;21.0;-174.0
-146.0;650.0;-35.0;15;7.0;-6;52.0;-45.0;7.0;-49.0;-228.0
304.0;607.0;-141.0;106;426.0;0;328.0;-205.0;-324.0;138.0;-350.0
303.0;607.0;-152.0;105;399.0;0;316.0;-206.0;-329.0;137.0;-351.0
305.0;612.0;-176.0;105;333.0;0;313.0;-205.0;-332.0;137.0;-351.0
306.0;610.0;-150.0;104;386.0;0;312.0;-205.0;-334.0;139.0;-351.0
271.0;559.0;-315.0;39;242.0;-15;245.0;62.0;-74.0;32.0;-186.0
268.0;565.0;-305.0;39;256.0;-15;206.0;54.0;-104.0;41.0;-197.0
264.0;571.0;-292.0;39;265.0;-14;170.0;48.0;-137.0;48.0;-207.0
260.0;579.0;-284.0;39;274.0;-12;147.0;42.0;-166.0;56.0;-213.0
-490.0;731.0;132.0;28;-78.0;-8;232.0;-87.0;-50.0;84.0;-160.0
255.0;581.0;-276.0;39;282.0;-10;137.0;35.0;-189.0;66.0;-216.0
253.0;584.0;-266.0;39;283.0;-8;138.0;27.0;-205.0;76.0;-217.0
242.0;590.0;-249.0;39;291.0;-7;154.0;15.0;-230.0;93.0;-218.0
233.0;595.0;-241.0;39;291.0;-6;172.0;9.0;-244.0;100.0;-221.0
216.0;598.0;-228.0;39;282.0;-4;175.0;3.0;-268.0;111.0;-240.0
215.0;599.0;-227.0;39;284.0;-4;174.0;2.0;-267.0;114.0;-241.0
216.0;600.0;-230.0;39;282.0;-4;181.0;0.0;-282.0;121.0;-239.0
219.0;597.0;-228.0;39;288.0;-4;192.0;0.0;-300.0;121.0;-248.0
231.0;599.0;-234.0;39;306.0;-3;201.0;-1.0;-300.0;120.0;-252.0
240.0;596.0;-240.0;39;323.0;-3;200.0;-1.0;-305.0;120.0;-253.0
253.0;598.0;-243.0;39;333.0;-3;202.0;-3.0;-304.0;124.0;-254.0
-583.0;390.0;282.0;20;-336.0;-98;-799.0;-518.0;-311.0;603.0;-603.0
304.0;615.0;-169.0;105;348.0;0;315.0;-206.0;-334.0;139.0;-351.0
261.0;596.0;-248.0;39;337.0;-3;207.0;-3.0;-299.0;126.0;-254.0
-630.0;263.0;432.0;-46;-378.0;-73;833.0;513.0;365.0;-617.0;660.0
-751.0;297.0;518.0;126;203.0;-99;762.0;461.0;491.0;-858.0;624.0
269.0;596.0;-252.0;39;342.0;-3;212.0;-1.0;-295.0;126.0;-256.0
273.0;594.0;-255.0;39;342.0;-3;215.0;2.0;-289.0;125.0;-258.0
279.0;591.0;-261.0;39;344.0;-3;221.0;6.0;-280.0;124.0;-262.0
303.0;609.0;-134.0;105;426.0;0;321.0;-206.0;-335.0;142.0;-352.0
304.0;612.0;-147.0;105;386.0;0;309.0;-206.0;-342.0;140.0;-353.0
304.0;616.0;-166.0;106;336.0;0;311.0;-207.0;-344.0;141.0;-355.0
300.0;612.0;-136.0;104;413.0;0;313.0;-207.0;-347.0;144.0;-357.0
-373.0;426.0;618.0;168;460.0;-16;547.0;496.0;417.0;-642.0;716.0
-490.0;937.0;347.0;64;569.0;6;827.0;597.0;522.0;-697.0;643.0
304.0;576.0;-288.0;39;346.0;-4;253.0;30.0;-270.0;109.0;-286.0
319.0;565.0;-302.0;39;341.0;-5;319.0;41.0;-259.0;106.0;-280.0
331.0;557.0;-313.0;39;341.0;-5;373.0;47.0;-261.0;109.0;-275.0
-81.0;829.0;23.0;64;455.0;-11;366.0;47.0;-5.0;68.0;-22.0
305.0;609.0;-150.0;104;389.0;0;297.0;-215.0;-331.0;142.0;-356.0
249.0;621.0;-35.0;109;514.0;9;110.0;-140.0;-444.0;185.0;-317.0
215.0;634.0;-40.0;109;520.0;9;122.0;-173.0;-419.0;183.0;-324.0
298.0;610.0;-138.0;105;419.0;0;315.0;-216.0;-325.0;147.0;-360.0
296.0;612.0;-146.0;105;393.0;0;306.0;-216.0;-327.0;147.0;-362.0
294.0;613.0;-143.0;105;409.0;-1;312.0;-216.0;-327.0;151.0;-365.0
291.0;616.0;-180.0;104;316.0;0;308.0;-216.0;-332.0;148.0;-368.0
291.0;609.0;-136.0;105;414.0;0;305.0;-216.0;-335.0;150.0;-372.0
292.0;611.0;-138.0;104;409.0;0;296.0;-218.0;-338.0;148.0;-375.0
291.0;618.0;-175.0;104;320.0;-1;294.0;-218.0;-336.0;146.0;-378.0
340.0;552.0;-317.0;39;351.0;-5;433.0;45.0;-267.0;116.0;-262.0
292.0;612.0;-137.0;104;400.0;0;298.0;-218.0;-337.0;148.0;-380.0
292.0;613.0;-145.0;105;388.0;0;294.0;-218.0;-343.0;147.0;-382.0
288.0;616.0;-167.0;105;335.0;0;295.0;-218.0;-343.0;146.0;-382.0
288.0;618.0;-168.0;105;326.0;0;299.0;-220.0;-351.0;146.0;-388.0
-30.0;518.0;334.0;168;699.0;-10;301.0;352.0;326.0;-505.0;588.0
321.0;595.0;-214.0;103;351.0;0;340.0;-123.0;-329.0;169.0;-372.0
80.0;770.0;456.0;164;1073.0;10;472.0;376.0;369.0;-506.0;669.0
-11.0;890.0;16.0;62;637.0;5;258.0;-5.0;62.0;118.0;-134.0
-269.0;753.0;-321.0;24;730.0;-2;-252.0;-214.0;35.0;-87.0;125.0
335.0;590.0;-223.0;102;353.0;0;331.0;-111.0;-329.0;156.0;-368.0
348.0;583.0;-235.0;103;360.0;0;323.0;-98.0;-325.0;144.0;-364.0
375.0;582.0;-247.0;102;366.0;0;312.0;-82.0;-310.0;126.0;-348.0
-203.0;905.0;-190.0;-14;-217.0;-6;434.0;207.0;65.0;-131.0;13.0
-26.0;807.0;-135.0;-11;-5.0;-24;288.0;64.0;109.0;17.0;-161.0
-6.0;796.0;-134.0;-11;16.0;-23;236.0;48.0;102.0;32.0;-195.0
6.0;780.0;-135.0;-11;45.0;-19;184.0;41.0;89.0;38.0;-233.0
8.0;765.0;-133.0;-11;96.0;-15;138.0;45.0;75.0;36.0;-272.0
234.0;616.0;-177.0;80;388.0;-4;447.0;-26.0;-406.0;174.0;-255.0
201.0;624.0;-156.0;80;371.0;-4;379.0;-33.0;-394.0;180.0;-272.0
150.0;638.0;-104.0;81;352.0;-2;243.0;-53.0;-376.0;196.0;-264.0
132.0;641.0;-88.0;80;349.0;1;216.0;-64.0;-379.0;209.0;-250.0
22.0;709.0;-160.0;-11;194.0;-11;82.0;76.0;58.0;8.0;-328.0
29.0;691.0;-167.0;-10;204.0;-13;77.0;87.0;51.0;-6.0;-334.0
42.0;670.0;-176.0;-11;197.0;-23;70.0;93.0;36.0;-16.0;-344.0
46.0;652.0;-183.0;-10;173.0;-34;66.0;94.0;22.0;-25.0;-351.0
412.0;570.0;-272.0;102;373.0;0;307.0;-55.0;-292.0;97.0;-319.0
47.0;620.0;-189.0;-15;73.0;-45;65.0;78.0;-2.0;-31.0;-355.0
53.0;605.0;-188.0;-16;4.0;-47;70.0;65.0;-12.0;-25.0;-355.0
-235.0;443.0;-148.0;19;-347.0;-48;-659.0;-492.0;-368.0;464.0;-376.0
130.0;642.0;-82.0;80;347.0;1;217.0;-64.0;-380.0;210.0;-248.0
128.0;643.0;-82.0;80;343.0;1;218.0;-63.0;-380.0;209.0;-248.0
426.0;568.0;-277.0;103;367.0;0;307.0;-46.0;-286.0;84.0;-304.0
18.0;439.0;-181.0;-105;-327.0;-49;161.0;65.0;-55.0;32.0;-244.0
126.0;644.0;-81.0;79;341.0;1;220.0;-61.0;-377.0;208.0;-248.0
125.0;644.0;-76.0;79;339.0;1;216.0;-58.0;-379.0;206.0;-248.0
87.0;436.0;-163.0;-106;-200.0;-51;131.0;31.0;-108.0;67.0;-258.0
123.0;441.0;-153.0;-115;-142.0;-61;102.0;4.0;-128.0;98.0;-290.0
193.0;451.0;-129.0;-121;-21.0;-17;-19.0;-87.0;-158.0;206.0;-374.0
72.0;430.0;-320.0;0;-227.0;-8;-592.0;-352.0;-286.0;287.0;-179.0
-553.0;-319.0;376.0;100;-630.0;-76;-778.0;-263.0;-443.0;594.0;-607.0
431.0;566.0;-284.0;103;370.0;0;312.0;-35.0;-285.0;73.0;-288.0
-89.0;958.0;-298.0;32;62.0;-30;388.0;298.0;-80.0;-608.0;-52.0
117.0;981.0;-189.0;32;239.0;-13;250.0;67.0;26.0;3.0;-120.0
24.0;1086.0;-89.0;-3;403.0;9;279.0;112.0;165.0;-47.0;-94.0
158.0;982.0;-166.0;32;327.0;1;182.0;20.0;22.0;42.0;-162.0
135.0;1302.0;-73.0;64;641.0;-19;204.0;-6.0;-63.0;112.0;-199.0
59.0;1027.0;-191.0;12;405.0;-2;265.0;187.0;102.0;-190.0;-156.0
-70.0;1023.0;-127.0;58;193.0;-12;254.0;101.0;-34.0;-64.0;-121.0
-46.0;1031.0;-71.0;55;252.0;-15;246.0;42.0;-29.0;-4.0;-157.0
17.0;1031.0;-31.0;51;317.0;0;175.0;-25.0;-19.0;74.0;-194.0
56.0;1027.0;5.0;50;436.0;-20;80.0;-45.0;-50.0;78.0;-246.0
427.0;568.0;-284.0;102;381.0;0;317.0;-25.0;-286.0;63.0;-276.0
69.0;1013.0;-54.0;52;718.0;-16;34.0;33.0;-61.0;-69.0;-271.0
60.0;994.0;-134.0;-3;238.0;-25;106.0;74.0;-62.0;-78.0;-242.0
38.0;992.0;-138.0;4;176.0;-25;135.0;84.0;-50.0;-80.0;-220.0
125.0;647.0;-79.0;79;335.0;2;208.0;-55.0;-385.0;204.0;-245.0
19.0;989.0;-144.0;12;121.0;-25;153.0;107.0;-48.0;-95.0;-198.0
-48.0;990.0;-141.0;29;45.0;-25;193.0;144.0;-51.0;-111.0;-138.0
49.0;977.0;-230.0;32;106.0;-27;339.0;163.0;-5.0;-145.0;-91.0
-83.0;992.0;-119.0;37;68.0;-26;230.0;140.0;-54.0;-98.0;-102.0
-193.0;1291.0;-70.0;-26;61.0;-29;354.0;145.0;26.0;-104.0;-4.0
440.0;575.0;-268.0;103;380.0;-1;339.0;18.0;-301.0;15.0;-225.0
-135.0;925.0;0.0;-51;108.0;-61;180.0;18.0;-3.0;27.0;-197.0
-179.0;941.0;-16.0;-50;64.0;-12;245.0;76.0;-12.0;-30.0;-155.0
414.0;581.0;-256.0;103;430.0;-1;332.0;-4.0;-323.0;36.0;-215.0
400.0;584.0;-249.0;103;452.0;-1;342.0;-27.0;-322.0;64.0;-210.0
325.0;458.0;-72.0;-132;506.0;1;392.0;-107.0;-205.0;134.0;-121.0
373.0;391.0;-93.0;142;529.0;-6;495.0;-129.0;-271.0;142.0;-313.0
437.0;471.0;-347.0;34;175.0;-4;769.0;191.0;-230.0;-238.0;125.0
371.0;500.0;-222.0;40;471.0;6;380.0;-39.0;-218.0;125.0;-139.0
349.0;490.0;-151.0;41;525.0;5;252.0;-91.0;-239.0;204.0;-229.0
336.0;489.0;-124.0;40;536.0;5;190.0;-112.0;-265.0;227.0;-261.0
232.0;501.0;48.0;131;610.0;8;-35.0;-181.0;-329.0;349.0;-352.0
356.0;410.0;-186.0;139;494.0;-5;543.0;-164.0;36.0;232.0;-190.0
324.0;451.0;-80.0;146;495.0;1;357.0;-127.0;-191.0;163.0;-116.0
198.0;567.0;-58.0;135;1.0;19;408.0;-170.0;-78.0;283.0;-345.0
200.0;566.0;-62.0;135;9.0;19;408.0;-170.0;-74.0;284.0;-345.0
200.0;567.0;-62.0;135;7.0;19;408.0;-171.0;-70.0;283.0;-344.0
198.0;565.0;-64.0;135;8.0;19;409.0;-172.0;-65.0;282.0;-343.0
197.0;567.0;-68.0;135;-1.0;19;409.0;-172.0;-59.0;279.0;-342.0
310.0;459.0;-99.0;164;483.0;1;311.0;-153.0;-203.0;196.0;-134.0
306.0;460.0;-103.0;156;479.0;1;301.0;-160.0;-200.0;205.0;-135.0
415.0;404.0;-39.0;149;644.0;-7;483.0;-209.0;-175.0;342.0;-244.0
305.0;461.0;-139.0;154;456.0;1;259.0;-179.0;-168.0;224.0;-141.0
321.0;457.0;-147.0;156;436.0;0;263.0;-178.0;-175.0;216.0;-157.0
326.0;454.0;-149.0;157;429.0;0;266.0;-177.0;-170.0;213.0;-159.0
131.0;645.0;-78.0;78;334.0;2;208.0;-55.0;-380.0;212.0;-237.0
329.0;454.0;-148.0;158;413.0;0;274.0;-179.0;-163.0;212.0;-171.0
304.0;457.0;-117.0;159;381.0;-1;292.0;-201.0;-172.0;233.0;-204.0
239.0;461.0;-48.0;150;344.0;-1;251.0;-241.0;-304.0;279.0;-395.0
315.0;391.0;-57.0;156;586.0;-6;411.0;-201.0;-304.0;226.0;-364.0
139.0;483.0;22.0;151;297.0;0;208.0;-287.0;-397.0;337.0;-529.0
-20.0;555.0;158.0;152;313.0;4;146.0;-292.0;-436.0;417.0;-477.0
-77.0;1008.0;-78.0;58;152.0;-26;259.0;112.0;-58.0;-72.0;-90.0
-102.0;1290.0;-130.0;47;132.0;-9;465.0;221.0;156.0;-86.0;46.0
-61.0;1014.0;-56.0;57;219.0;-22;247.0;85.0;-51.0;-45.0;-113.0
-49.0;1017.0;-42.0;56;255.0;-19;232.0;63.0;-43.0;-23.0;-129.0
155.0;645.0;-85.0;77;344.0;3;206.0;-62.0;-355.0;232.0;-219.0
163.0;643.0;-92.0;77;351.0;3;206.0;-65.0;-342.0;240.0;-211.0
173.0;639.0;-97.0;77;365.0;3;203.0;-68.0;-333.0;245.0;-206.0
202.0;630.0;-107.0;76;394.0;3;202.0;-70.0;-317.0;248.0;-192.0
220.0;622.0;-121.0;76;427.0;3;202.0;-71.0;-314.0;250.0;-189.0
296.0;551.0;-124.0;76;648.0;5;213.0;-142.0;-242.0;293.0;-250.0
249.0;496.0;-25.0;136;640.0;-2;133.0;-220.0;-425.0;329.0;-342.0
-28.0;1021.0;-24.0;55;326.0;-14;188.0;13.0;-25.0;27.0;-160.0
-24.0;1025.0;-7.0;54;366.0;-10;162.0;-8.0;-15.0;50.0;-177.0
-19.0;1026.0;27.0;53;456.0;2;100.0;-35.0;-13.0;52.0;-208.0
-144.0;1361.0;158.0;-11;570.0;-15;176.0;-56.0;68.0;96.0;-168.0
7.0;1032.0;-93.0;136;304.0;0;116.0;107.0;-50.0;-102.0;-246.0
388.0;457.0;-193.0;115;515.0;-6;292.0;-67.0;-139.0;165.0;-364.0
291.0;615.0;-144.0;105;392.0;-1;302.0;-214.0;-406.0;121.0;-409.0
452.0;482.0;-356.0;107;394.0;-3;307.0;16.0;-286.0;59.0;-132.0
417.0;460.0;-242.0;115;478.0;-7;342.0;-28.0;-147.0;99.0;-369.0
432.0;459.0;-260.0;115;457.0;-8;368.0;-19.0;-152.0;83.0;-371.0
449.0;451.0;-288.0;115;437.0;-8;433.0;-14.0;-186.0;74.0;-378.0
335.0;599.0;-170.0;106;339.0;0;287.0;-123.0;-369.0;82.0;-426.0
187.0;571.0;-71.0;135;-46.0;19;424.0;-172.0;-27.0;257.0;-326.0
186.0;568.0;-70.0;135;-47.0;19;428.0;-172.0;-20.0;255.0;-323.0
187.0;569.0;-68.0;135;-45.0;19;429.0;-171.0;-19.0;254.0;-321.0
194.0;591.0;-111.0;135;-143.0;19;501.0;-154.0;44.0;222.0;-243.0
184.0;564.0;-57.0;135;-64.0;19;409.0;-163.0;-20.0;240.0;-327.0
184.0;560.0;-49.0;135;-66.0;19;399.0;-163.0;-25.0;236.0;-333.0
194.0;548.0;9.0;135;-103.0;19;364.0;-155.0;-106.0;209.0;-392.0
453.0;536.0;38.0;135;-242.0;16;61.0;52.0;-217.0;158.0;-641.0
333.0;485.0;107.0;135;99.0;18;293.0;-184.0;-250.0;293.0;-531.0
214.0;505.0;105.0;135;10.0;18;391.0;-248.0;-304.0;225.0;-467.0
231.0;612.0;95.0;135;-124.0;18;133.0;-152.0;-412.0;264.0;-576.0
338.0;597.0;-159.0;106;386.0;0;306.0;-129.0;-364.0;90.0;-435.0
-149.0;409.0;-221.0;49;-300.0;-12;730.0;424.0;276.0;-396.0;352.0
454.0;450.0;-305.0;114;404.0;-8;481.0;-1.0;-239.0;67.0;-257.0
-111.0;1021.0;-109.0;82;44.0;-2;193.0;169.0;-18.0;-136.0;-171.0
252.0;379.0;144.0;167;744.0;-11;47.0;-263.0;-322.0;392.0;-384.0
90.0;424.0;-191.0;128;655.0;-6;223.0;-205.0;-353.0;468.0;-404.0
-128.0;997.0;-43.0;-44;71.0;-25;153.0;263.0;-74.0;-143.0;-167.0
-12.0;1031.0;109.0;158;706.0;26;-97.0;203.0;-120.0;-61.0;-319.0
1.0;1141.0;79.0;80;966.0;-13;-13.0;26.0;-73.0;-48.0;-315.0
88.0;375.0;-181.0;139;628.0;-6;586.0;-186.0;-440.0;436.0;-296.0
317.0;599.0;-192.0;106;275.0;0;312.0;-134.0;-361.0;101.0;-439.0
528.0;1056.0;-342.0;-126;706.0;-18;318.0;77.0;25.0;41.0;-83.0
306.0;595.0;-210.0;105;223.0;0;363.0;-145.0;-330.0;127.0;-434.0
500.0;445.0;-386.0;88;315.0;-3;442.0;53.0;-168.0;20.0;-146.0
423.0;485.0;-331.0;113;345.0;-8;400.0;42.0;-238.0;23.0;-201.0
426.0;484.0;-334.0;113;348.0;-8;401.0;41.0;-253.0;22.0;-218.0
318.0;594.0;-189.0;106;294.0;0;370.0;-150.0;-326.0;135.0;-430.0
429.0;481.0;-327.0;113;379.0;-7;341.0;34.0;-321.0;30.0;-241.0
460.0;457.0;-344.0;113;349.0;-7;434.0;32.0;-331.0;28.0;-295.0
323.0;591.0;-173.0;106;378.0;0;383.0;-156.0;-321.0;145.0;-426.0
306.0;591.0;-187.0;106;295.0;0;387.0;-166.0;-323.0;170.0;-422.0
453.0;461.0;-341.0;113;358.0;-7;368.0;31.0;-375.0;27.0;-310.0
450.0;464.0;-340.0;113;364.0;-7;351.0;30.0;-384.0;28.0;-311.0
423.0;485.0;-316.0;113;392.0;-7;257.0;23.0;-390.0;41.0;-247.0
425.0;484.0;-313.0;113;392.0;-7;226.0;19.0;-413.0;43.0;-265.0
291.0;593.0;-202.0;106;258.0;0;395.0;-165.0;-326.0;174.0;-417.0
433.0;503.0;-280.0;71;517.0;-6;281.0;-5.0;-288.0;106.0;-248.0
468.0;551.0;-254.0;82;568.0;0;-180.0;57.0;302.0;-136.0;347.0
434.0;502.0;-282.0;71;516.0;-6;282.0;-6.0;-287.0;104.0;-245.0
477.0;499.0;-438.0;27;631.0;-7;441.0;154.0;-404.0;-47.0;-119.0
354.0;466.0;-130.0;116;630.0;-3;-45.0;-172.0;-414.0;276.0;-421.0
393.0;493.0;-233.0;115;506.0;-6;93.0;-56.0;-376.0;163.0;-331.0
370.0;445.0;-173.0;127;598.0;-6;115.0;-94.0;-361.0;232.0;-307.0
438.0;497.0;-278.0;71;515.0;-6;297.0;-8.0;-269.0;104.0;-228.0
434.0;499.0;-273.0;71;505.0;-6;309.0;-12.0;-257.0;111.0;-225.0
408.0;522.0;-497.0;18;172.0;-12;346.0;185.0;83.0;-63.0;-46.0
420.0;569.0;-454.0;44;236.0;-7;298.0;146.0;18.0;-25.0;-63.0
521.0;491.0;-517.0;27;303.0;-12;305.0;141.0;26.0;-21.0;-94.0
513.0;574.0;-425.0;17;518.0;-4;298.0;81.0;112.0;-1.0;-91.0
429.0;498.0;-271.0;71;499.0;-6;311.0;-14.0;-266.0;116.0;-231.0
302.0;499.0;-31.0;-2;629.0;-8;-215.0;-185.0;-492.0;301.0;-507.0
567.0;547.0;-413.0;105;652.0;-5;611.0;-26.0;-441.0;151.0;-192.0
