InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Ay;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ax
?;-67.0;948.0;4;377.0;21;24;641;24;7
-153.0;153.0;958.0;2;375.0;20;8;644;8;5
-195.0;295.0;947.0;?;370.0;24;8;641;8;11
-158.0;375.0;939.0;0;352.0;?;16;644;16;9
-109.0;440.0;975.0;5;386.0;17;-4;647;-4;6
-83.0;?;994.0;5;489.0;21;15;641;15;11
?;?;937.0;-3;237.0;22;-3;?;-3;12
872.0;-240.0;928.0;?;364.0;20;-3;?;-3;8
829.0;-606.0;959.0;-2;507.0;16;-10;645;-10;8
706.0;-1081.0;965.0;3;471.0;17;-1;648;-1;15
702.0;-1448.0;962.0;0;527.0;21;-13;645;?;11
904.0;-1725.0;923.0;-1;567.0;20;-26;641;-26;8
1236.0;-1953.0;927.0;-3;553.0;20;14;645;14;9
1385.0;-2209.0;931.0;4;?;19;-10;648;-10;6
1456.0;-2437.0;935.0;2;532.0;19;-37;645;-37;12
1806.0;-2185.0;952.0;0;470.0;21;-1;642;-1;13
2075.0;-2014.0;959.0;7;395.0;18;-28;644;-28;9
1747.0;-2246.0;944.0;-7;?;24;-8;642;-8;10
?;-2260.0;977.0;45;194.0;19;-20;643;?;10
1574.0;-2045.0;964.0;55;357.0;21;-34;638;-34;-4
1330.0;-1969.0;961.0;?;361.0;?;-25;648;?;9
940.0;-1951.0;994.0;28;488.0;16;?;640;-35;-2
836.0;-1871.0;966.0;13;249.0;25;9;631;9;-8
709.0;-1608.0;967.0;?;331.0;-23;-72;670;-72;61
517.0;-1404.0;960.0;7;705.0;40;-65;591;-65;-32
472.0;?;913.0;?;786.0;-33;-515;652;-515;155
516.0;-736.0;?;-3;640.0;-188;-515;694;-515;423
?;-431.0;917.0;-4;448.0;11;649;348;?;?
196.0;-102.0;990.0;-12;375.0;99;812;255;?;-127
34.0;129.0;952.0;-11;275.0;-19;344;453;344;?
-90.0;289.0;932.0;1;245.0;14;186;525;186;-81
-240.0;315.0;882.0;5;228.0;105;155;?;155;8
-382.0;320.0;858.0;1;242.0;48;531;732;531;-75
?;321.0;893.0;-5;282.0;71;745;762;745;-132
?;?;928.0;-10;365.0;270;689;833;689;-133
-448.0;322.0;888.0;-14;412.0;133;452;385;452;-183
-305.0;288.0;861.0;-1;429.0;-3;269;?;269;?
-167.0;253.0;858.0;-4;399.0;85;356;262;356;-38
9.0;199.0;917.0;-14;354.0;-1;271;249;271;-35
123.0;157.0;918.0;3;309.0;-8;68;241;68;?
209.0;68.0;?;4;305.0;56;140;183;140;57
240.0;-19.0;?;10;301.0;16;221;161;221;?
328.0;-91.0;942.0;14;321.0;105;274;136;?;-57
419.0;?;920.0;-6;306.0;?;336;68;336;-45
392.0;-142.0;944.0;?;313.0;?;186;186;186;-120
391.0;-185.0;976.0;5;323.0;26;-66;186;-66;-139
411.0;-167.0;932.0;3;333.0;68;-262;97;-262;51
?;-149.0;928.0;6;334.0;54;-169;117;-169;156
267.0;-124.0;955.0;5;343.0;?;?;119;69;115
198.0;-145.0;916.0;3;340.0;47;?;140;229;86
153.0;-81.0;925.0;7;?;85;389;139;389;24
98.0;-47.0;926.0;7;340.0;118;392;123;?;-17
61.0;-17.0;934.0;4;331.0;-53;299;299;299;-22
-24.0;33.0;938.0;2;332.0;261;276;?;276;-12
-19.0;84.0;936.0;6;338.0;-115;?;341;280;44
23.0;?;946.0;3;345.0;270;278;?;278;?
100.0;121.0;873.0;3;381.0;428;259;-113;259;-60
127.0;168.0;879.0;7;?;324;210;82;210;-67
225.0;211.0;848.0;-1;323.0;3042;?;-2890;-15;-30
262.0;230.0;855.0;29;333.0;-709;-507;1070;?;300
166.0;223.0;546.0;14;305.0;-3745;-674;4699;-674;345
69.0;299.0;1524.0;-37;314.0;481;-249;436;-249;37
-142.0;228.0;1907.0;-13;269.0;162;52;?;52;64
-35.0;532.0;833.0;0;249.0;-316;17;1049;17;?
-194.0;608.0;671.0;?;326.0;345;-10;440;-10;?
-314.0;389.0;687.0;21;295.0;-206;7;914;?;24
-446.0;376.0;907.0;0;277.0;131;10;522;10;-24
-553.0;365.0;1005.0;-6;292.0;-3;18;675;18;-10
-636.0;237.0;1238.0;2;512.0;4;-8;667;?;-20
-561.0;248.0;975.0;7;670.0;58;-21;619;-21;-25
-333.0;127.0;795.0;5;529.0;8;14;672;14;-15
-71.0;-58.0;?;?;279.0;25;7;646;7;-16
192.0;-95.0;1000.0;1;258.0;?;-13;?;-13;-11
337.0;?;1006.0;5;252.0;14;?;655;-1;-16
272.0;?;952.0;2;261.0;11;-1;666;-1;-16
264.0;-171.0;928.0;3;267.0;41;11;642;11;-19
295.0;-217.0;?;6;284.0;-19;22;688;22;-24
237.0;-208.0;965.0;-5;295.0;55;-5;623;-5;-4
209.0;-155.0;982.0;?;304.0;-145;35;826;35;-20
?;-140.0;944.0;7;304.0;-435;202;1072;202;-30
65.0;-132.0;954.0;-6;303.0;-103;239;734;?;35
43.0;-117.0;1001.0;-4;291.0;24;63;599;63;72
12.0;-117.0;1076.0;4;267.0;-52;?;588;66;89
11.0;?;1042.0;-2;259.0;161;188;309;188;73
25.0;-126.0;908.0;-3;270.0;170;154;264;154;-15
28.0;-158.0;914.0;3;280.0;108;0;213;0;-37
57.0;-202.0;918.0;7;261.0;172;?;127;-114;-13
86.0;?;936.0;2;272.0;118;-109;219;-109;-31
?;-206.0;966.0;2;300.0;163;-173;-25;-173;25
107.0;-277.0;949.0;4;313.0;157;?;-36;-16;126
149.0;-255.0;895.0;2;306.0;17;240;294;240;124
246.0;?;897.0;-2;296.0;46;137;218;?;?
248.0;-276.0;890.0;-6;277.0;13;?;211;53;36
302.0;-281.0;938.0;5;285.0;-25;56;276;56;42
272.0;-220.0;992.0;9;275.0;25;-2;222;-2;7
217.0;?;997.0;0;290.0;9;-56;243;?;?
157.0;?;947.0;4;315.0;13;?;237;-133;-60
113.0;-98.0;919.0;8;314.0;61;-236;190;-236;-17
66.0;?;947.0;6;?;65;-249;158;-249;51
1.0;-34.0;?;1;261.0;63;-125;?;?;?
-6.0;40.0;969.0;-9;?;?;-124;197;-124;96
-4.0;52.0;933.0;-12;323.0;113;39;127;39;69
14.0;73.0;?;?;340.0;12;130;?;130;78
-21.0;109.0;947.0;-6;335.0;51;155;172;155;71
-71.0;139.0;918.0;-3;341.0;254;250;38;250;29
-84.0;134.0;?;?;308.0;?;-155;416;-155;88
-30.0;113.0;939.0;1;289.0;640;430;-284;430;-14
-8.0;114.0;918.0;-7;275.0;-431;-386;595;-386;77
25.0;?;932.0;-9;303.0;1341;135;-918;135;-132
87.0;95.0;915.0;?;285.0;2292;?;-2059;19;-54
69.0;76.0;884.0;14;315.0;-6144;-5439;4561;-5439;1088
113.0;124.0;615.0;-3;300.0;-3905;-3074;?;-3074;556
99.0;128.0;1087.0;-12;299.0;1644;1037;-371;1037;-353
?;?;1819.0;?;329.0;-735;-553;1212;-553;?
?;133.0;1188.0;-19;310.0;157;102;572;102;-21
72.0;485.0;708.0;?;318.0;?;80;563;80;-14
-118.0;?;636.0;16;317.0;-228;-164;827;-164;27
-136.0;-168.0;997.0;17;259.0;226;159;509;159;-27
-108.0;-2.0;1151.0;-2;?;?;-109;740;-109;16
-190.0;83.0;1148.0;-3;334.0;82;?;604;29;-5
-165.0;206.0;1034.0;0;559.0;14;2;658;2;?
-43.0;?;856.0;-3;568.0;8;-33;663;-33;-3
26.0;18.0;875.0;-4;?;29;-44;649;-44;-2
136.0;?;1053.0;-1;?;17;-41;654;-41;-10
117.0;?;1090.0;2;372.0;18;-4;656;-4;-2
33.0;-32.0;945.0;0;428.0;18;-10;653;-10;-2
61.0;-74.0;913.0;1;365.0;14;-29;661;-29;-7
32.0;-99.0;956.0;2;?;15;47;667;47;-9
75.0;-67.0;997.0;1;323.0;-8;?;670;58;-27
105.0;-59.0;980.0;1;351.0;-22;-9;714;-9;0
126.0;-72.0;979.0;-3;358.0;-107;99;777;?;-115
175.0;-102.0;961.0;-10;371.0;-362;338;?;338;-378
208.0;-112.0;?;-7;?;-384;322;1074;322;-273
234.0;-159.0;1033.0;0;379.0;-37;?;644;80;69
190.0;-146.0;1043.0;0;361.0;68;44;440;44;40
?;-146.0;965.0;-5;336.0;-33;44;487;44;-74
136.0;-114.0;908.0;-4;334.0;44;-144;358;-144;2
45.0;-125.0;936.0;-1;324.0;165;?;207;-181;24
5.0;-179.0;918.0;-1;323.0;165;-77;150;-77;-10
-60.0;-148.0;926.0;-2;306.0;93;-146;171;-146;-29
-94.0;?;917.0;-5;304.0;93;-262;154;-262;-14
-95.0;-73.0;915.0;1;294.0;115;-237;132;-237;?
-109.0;?;930.0;0;286.0;76;?;152;-168;?
-114.0;-18.0;953.0;-4;?;65;-170;155;-170;59
-147.0;-41.0;931.0;?;283.0;75;-139;161;-139;?
-151.0;-64.0;935.0;6;287.0;47;4;174;4;74
?;-84.0;917.0;7;300.0;42;75;177;75;61
-95.0;-98.0;924.0;5;321.0;55;46;163;46;8
-93.0;-153.0;922.0;?;315.0;55;18;148;18;3
-87.0;-135.0;914.0;?;298.0;52;-21;164;-21;13
16.0;-96.0;935.0;-7;?;42;-72;192;-72;33
63.0;?;920.0;-4;?;43;-51;187;-51;72
?;-109.0;917.0;1;311.0;75;87;153;?;97
101.0;-99.0;937.0;-2;314.0;44;199;200;199;80
128.0;-118.0;934.0;-1;315.0;110;159;120;159;67
115.0;-75.0;896.0;-2;?;59;193;?;193;68
?;-71.0;913.0;-2;313.0;66;304;223;304;68
111.0;-41.0;925.0;6;334.0;195;?;91;383;43
57.0;-109.0;916.0;1;340.0;-73;471;390;471;-35
-6.0;-82.0;913.0;-8;324.0;625;131;-345;131;-77
-4.0;-51.0;859.0;1;331.0;824;-277;-531;-277;-206
65.0;-55.0;?;2;309.0;1044;-206;-783;-206;-132
143.0;-29.0;777.0;1;?;2151;-345;-1987;-345;186
194.0;-43.0;846.0;9;310.0;571;-486;-113;?;73
247.0;?;1612.0;-10;?;-379;?;1059;-95;-87
207.0;47.0;1334.0;-18;355.0;261;30;435;30;-13
?;371.0;?;-33;351.0;-22;-87;?;-87;-21
65.0;375.0;767.0;-34;335.0;88;36;643;36;-8
-248.0;240.0;874.0;15;?;81;31;632;31;2
-405.0;325.0;1014.0;7;291.0;5;7;707;7;-4
-610.0;334.0;1079.0;-15;407.0;71;14;625;14;7
-673.0;279.0;1117.0;-4;?;17;-43;682;-43;-3
-529.0;357.0;944.0;?;582.0;44;-37;647;-37;-21
-371.0;?;842.0;-2;447.0;36;-42;657;-42;-17
-182.0;152.0;919.0;0;463.0;25;-36;661;-36;-7
-38.0;99.0;1057.0;-2;380.0;15;-16;?;-16;-13
97.0;92.0;1058.0;-1;419.0;20;-39;660;-39;?
54.0;56.0;975.0;2;465.0;12;-28;675;-28;-27
57.0;-12.0;904.0;?;417.0;?;?;663;15;-12
53.0;-27.0;930.0;-3;389.0;22;29;664;?;-4
?;-99.0;965.0;-8;400.0;-1;1;676;1;-40
196.0;-95.0;956.0;-1;374.0;34;-36;635;-36;-7
229.0;-110.0;972.0;-2;386.0;-34;42;703;42;-74
268.0;-91.0;968.0;-3;404.0;58;-8;623;-8;?
248.0;-141.0;949.0;-2;389.0;-99;76;762;76;-11
?;-153.0;927.0;-1;393.0;-416;244;1043;244;-290
231.0;-197.0;958.0;6;365.0;-58;12;677;12;223
200.0;-194.0;1020.0;-3;353.0;88;-40;?;-40;?
184.0;-167.0;1033.0;-6;352.0;34;?;578;-86;131
94.0;-125.0;948.0;0;371.0;147;?;343;-22;11
49.0;?;883.0;-4;351.0;54;160;328;?;-13
41.0;-109.0;898.0;?;338.0;39;-82;368;-82;-97
-24.0;-84.0;931.0;2;311.0;73;-140;262;-140;-33
-99.0;-67.0;891.0;9;317.0;95;-136;179;-136;-5
?;?;944.0;8;327.0;112;-289;?;-289;0
-109.0;-38.0;898.0;6;327.0;92;-338;?;-338;81
?;-16.0;914.0;6;309.0;88;-349;139;-349;113
-143.0;-23.0;920.0;0;317.0;76;-313;104;-313;123
-132.0;-60.0;939.0;-3;?;71;-293;124;-293;112
-98.0;-80.0;926.0;-4;311.0;55;-186;196;-186;106
-61.0;-85.0;?;0;?;71;36;133;36;128
-34.0;?;917.0;2;309.0;88;236;104;236;90
-72.0;-49.0;956.0;-2;323.0;?;250;183;?;46
-40.0;-45.0;943.0;1;322.0;29;172;182;172;51
-30.0;-74.0;921.0;0;315.0;39;130;178;130;?
?;-115.0;931.0;1;286.0;53;35;159;35;-11
125.0;-166.0;911.0;2;313.0;18;113;213;113;-11
212.0;-164.0;939.0;1;321.0;31;-57;222;-57;-74
267.0;?;925.0;2;348.0;84;-284;?;-284;14
?;-4.0;938.0;0;327.0;87;80;133;80;157
133.0;2.0;908.0;1;368.0;57;221;213;221;69
169.0;25.0;900.0;3;342.0;-18;293;204;293;321
184.0;32.0;920.0;2;342.0;?;330;211;330;?
113.0;?;905.0;5;320.0;169;505;55;505;195
81.0;139.0;835.0;9;305.0;410;-53;-74;-53;-119
-33.0;136.0;844.0;5;287.0;1285;-565;-990;-565;-387
-27.0;?;811.0;1;315.0;1290;84;-1008;84;?
-10.0;186.0;742.0;15;287.0;359;-1767;2722;-1767;-4305
19.0;147.0;831.0;19;324.0;0;-2011;3047;-2011;-4964
1.0;169.0;1853.0;-3;343.0;52;305;?;305;707
-90.0;121.0;1227.0;-29;324.0;-2;-19;722;-19;-23
102.0;436.0;886.0;-26;305.0;8;-114;784;-114;-265
-76.0;293.0;734.0;?;321.0;26;215;505;215;282
-305.0;194.0;946.0;?;304.0;6;-31;793;-31;-259
-398.0;?;?;14;303.0;18;64;587;64;148
-506.0;238.0;1144.0;?;415.0;11;?;691;-1;?
-519.0;365.0;1023.0;-11;685.0;17;-1;658;-1;-16
?;347.0;832.0;-2;625.0;19;?;?;14;16
-236.0;225.0;828.0;3;505.0;10;7;674;7;-14
?;-12.0;1003.0;0;439.0;18;3;?;3;10
56.0;-71.0;1056.0;4;402.0;21;-11;661;-11;-17
?;-48.0;1002.0;2;?;?;18;661;18;-12
186.0;-47.0;894.0;-4;420.0;20;59;658;59;-10
151.0;-47.0;872.0;-7;398.0;13;?;665;55;?
105.0;-89.0;994.0;5;407.0;19;50;660;50;2
104.0;-24.0;947.0;7;417.0;19;59;?;59;-34
130.0;28.0;?;4;?;13;-4;652;-4;1
32.0;42.0;948.0;2;398.0;17;31;656;31;-23
?;22.0;963.0;-1;370.0;-9;?;683;-4;-26
-68.0;5.0;931.0;8;371.0;-70;0;725;0;74
-111.0;?;937.0;0;?;-104;349;806;349;-142
-50.0;25.0;942.0;2;327.0;-40;-106;722;-106;-13
-9.0;-3.0;936.0;9;326.0;36;-706;581;-706;278
31.0;-45.0;929.0;0;333.0;17;-602;613;-602;226
61.0;-92.0;903.0;6;340.0;15;-622;553;-622;153
119.0;-170.0;955.0;3;353.0;65;-485;395;-485;-202
197.0;?;1043.0;-2;330.0;56;-548;368;-548;-235
?;-307.0;922.0;1;386.0;79;?;312;-493;-49
266.0;-318.0;891.0;3;377.0;126;-240;232;-240;-107
225.0;-285.0;934.0;3;329.0;126;-312;193;-312;?
203.0;-262.0;947.0;-2;299.0;103;-248;?;-248;?
153.0;-230.0;937.0;1;286.0;89;-233;192;-233;35
98.0;-204.0;?;-4;266.0;153;-93;73;-93;-31
30.0;-148.0;911.0;?;287.0;79;21;94;21;-67
?;-156.0;865.0;7;337.0;10;12;238;12;-30
-28.0;-162.0;890.0;7;350.0;94;166;?;166;-45
-53.0;-126.0;923.0;6;341.0;21;186;128;186;-90
2.0;-132.0;925.0;8;?;-28;105;193;105;?
32.0;-137.0;933.0;4;294.0;36;-131;191;-131;-119
134.0;-177.0;958.0;-8;323.0;30;-293;165;-293;-4
173.0;-173.0;962.0;-2;298.0;?;-98;169;-98;-5
222.0;?;942.0;?;309.0;57;101;186;101;-28
?;-138.0;?;?;296.0;64;86;172;86;-65
183.0;-91.0;925.0;10;296.0;51;-40;152;-40;-108
152.0;-73.0;?;5;345.0;9;-47;185;-47;-44
87.0;-67.0;928.0;?;372.0;85;39;128;39;9
24.0;?;918.0;3;407.0;?;?;230;223;45
41.0;-53.0;918.0;1;384.0;?;425;208;425;?
33.0;-17.0;938.0;-1;334.0;107;547;147;547;-86
62.0;0.0;934.0;-4;313.0;-85;595;400;595;-62
104.0;-21.0;913.0;-13;303.0;342;420;-144;420;?
109.0;1.0;?;-6;305.0;?;893;323;893;144
119.0;-35.0;?;10;316.0;993;959;-988;959;-96
54.0;-44.0;812.0;9;326.0;1853;99;-1578;99;-51
65.0;5.0;?;1;337.0;-1069;?;2785;-108;1049
101.0;30.0;747.0;2;363.0;-1027;-581;1972;-581;23
149.0;140.0;1155.0;?;366.0;355;-725;-146;-725;-574
89.0;257.0;1699.0;-40;355.0;?;-7;1074;-7;?
?;313.0;1204.0;-20;313.0;90;37;562;37;-27
-157.0;?;887.0;2;311.0;40;-121;636;?;?
-393.0;491.0;855.0;7;?;-41;-9;762;?;?
?;466.0;887.0;14;326.0;65;?;581;?;-34
-694.0;478.0;960.0;?;369.0;?;-30;?;-30;38
-753.0;399.0;1079.0;3;536.0;34;-15;631;-15;-17
-621.0;243.0;1068.0;-2;683.0;15;-20;665;-20;-14
-336.0;115.0;956.0;-4;639.0;27;7;658;7;-16
-16.0;35.0;860.0;?;?;23;33;?;33;2
?;-3.0;917.0;-5;?;22;16;653;16;6
411.0;4.0;970.0;-7;430.0;26;9;652;?;5
359.0;-67.0;1016.0;-4;415.0;19;13;?;13;5
271.0;-112.0;941.0;5;374.0;?;21;659;21;-4
261.0;-182.0;905.0;?;416.0;17;12;656;12;-3
244.0;-211.0;1000.0;2;529.0;13;-7;664;-7;-12
278.0;?;929.0;-1;525.0;17;-11;662;-11;-10
322.0;-209.0;925.0;1;496.0;21;?;?;?;-4
365.0;-222.0;899.0;0;396.0;?;-8;657;-8;-5
336.0;-180.0;923.0;-2;386.0;20;0;658;0;1
294.0;-63.0;?;-1;424.0;18;-9;656;-9;-5
123.0;10.0;922.0;1;516.0;15;-6;659;-6;-6
-8.0;128.0;944.0;-1;471.0;18;13;656;13;-2
-145.0;?;975.0;?;494.0;22;21;653;21;-6
-259.0;216.0;916.0;1;396.0;20;?;659;?;-7
-288.0;236.0;918.0;-1;466.0;17;-10;662;-10;-6
-301.0;209.0;?;1;498.0;20;0;658;0;-6
-275.0;179.0;?;1;388.0;18;-3;657;-3;0
-155.0;154.0;967.0;?;?;19;11;657;11;4
-55.0;188.0;976.0;6;393.0;19;-3;657;?;0
-37.0;179.0;933.0;4;454.0;19;-17;658;-17;-8
-23.0;128.0;943.0;1;384.0;22;10;?;10;-12
-49.0;92.0;923.0;?;478.0;?;-6;660;?;-3
-40.0;75.0;948.0;?;372.0;25;-3;655;-3;?
12.0;21.0;?;4;320.0;24;28;?;28;-2
85.0;-22.0;968.0;0;300.0;23;21;655;?;?
132.0;-38.0;?;0;251.0;24;-18;653;-18;-1
170.0;-73.0;910.0;2;239.0;21;-20;654;-20;1
180.0;-59.0;870.0;2;237.0;21;18;657;18;0
?;?;956.0;2;266.0;21;5;659;?;6
143.0;-47.0;?;-1;276.0;19;?;659;4;?
68.0;?;951.0;-5;299.0;16;-15;663;-15;-1
8.0;7.0;?;-3;322.0;19;-37;662;-37;-2
2.0;46.0;935.0;-2;314.0;26;19;656;19;-3
4.0;32.0;927.0;-4;326.0;19;28;660;28;-3
-19.0;?;936.0;1;337.0;18;5;661;5;-6
-11.0;-2.0;925.0;9;343.0;24;?;654;19;-3
?;41.0;952.0;4;365.0;20;-2;655;-2;-2
-111.0;?;966.0;-1;363.0;15;-7;?;-7;-6
-76.0;126.0;934.0;3;?;20;1;660;?;-4
-100.0;89.0;927.0;?;350.0;21;-38;660;-38;-3
-61.0;106.0;924.0;-1;352.0;16;-17;?;-17;?
-130.0;107.0;937.0;2;364.0;15;0;664;0;-4
-151.0;71.0;919.0;1;359.0;17;-8;?;-8;-3
-141.0;120.0;?;?;362.0;?;23;659;23;1
-176.0;109.0;890.0;11;352.0;20;?;?;21;6
-166.0;102.0;929.0;?;382.0;16;26;659;?;8
?;90.0;956.0;0;400.0;14;25;656;25;1
-116.0;72.0;941.0;4;439.0;17;-5;659;-5;0
-51.0;70.0;903.0;2;459.0;21;-5;656;-5;3
-47.0;-5.0;913.0;3;?;?;22;654;22;-2
30.0;-49.0;935.0;5;451.0;11;13;658;?;0
45.0;-55.0;958.0;3;363.0;13;?;657;?;3
38.0;-89.0;?;1;388.0;21;-2;655;-2;1
98.0;-139.0;955.0;2;239.0;23;6;656;6;?
82.0;-145.0;952.0;0;395.0;22;-13;?;-13;1
56.0;-101.0;920.0;-1;519.0;18;1;658;1;3
-14.0;-101.0;926.0;0;501.0;14;1;662;1;1
7.0;-117.0;963.0;-3;406.0;21;-10;656;-10;0
19.0;-139.0;941.0;-2;186.0;25;-6;657;-6;1
18.0;-202.0;945.0;0;311.0;?;0;659;0;5
104.0;-297.0;947.0;1;804.0;16;-13;655;-13;10
200.0;-277.0;926.0;5;979.0;21;12;656;12;9
309.0;-187.0;910.0;2;699.0;21;18;654;18;2
329.0;-75.0;939.0;1;463.0;19;-45;?;-45;-1
286.0;8.0;949.0;8;307.0;21;18;654;?;4
171.0;57.0;953.0;0;274.0;22;?;?;?;3
2.0;83.0;966.0;-3;199.0;19;?;659;-18;0
-96.0;142.0;957.0;7;185.0;18;21;658;21;-2
-179.0;195.0;911.0;-3;289.0;17;29;660;?;-2
?;188.0;937.0;-4;331.0;18;-11;657;-11;5
?;192.0;933.0;7;?;22;10;655;10;5
-287.0;177.0;943.0;3;377.0;24;34;655;34;?
-304.0;207.0;948.0;3;388.0;20;-1;656;-1;7
-233.0;157.0;?;5;348.0;21;-31;658;-31;9
-161.0;92.0;?;0;317.0;25;-4;?;-4;11
-98.0;65.0;930.0;0;296.0;19;-1;654;-1;6
-38.0;67.0;935.0;1;304.0;17;9;657;9;?
28.0;52.0;956.0;-6;323.0;22;-1;652;-1;9
70.0;23.0;935.0;-3;324.0;20;?;?;-19;7
88.0;-31.0;?;3;333.0;16;?;662;?;7
?;?;948.0;2;351.0;13;-11;657;-11;1
?;-54.0;928.0;5;383.0;16;16;654;16;3
129.0;10.0;?;3;365.0;18;25;657;?;4
93.0;-21.0;902.0;0;379.0;18;-9;656;-9;3
?;-112.0;944.0;4;370.0;?;-9;656;?;2
123.0;-230.0;954.0;4;352.0;16;-1;?;?;-4
175.0;-264.0;963.0;2;325.0;16;19;654;19;6
185.0;-152.0;?;2;328.0;22;8;?;8;?
?;-76.0;951.0;0;292.0;21;6;652;6;4
66.0;-12.0;944.0;?;292.0;15;39;657;39;6
-4.0;94.0;?;7;295.0;17;26;655;26;4
-116.0;125.0;931.0;2;?;?;1;655;1;4
-145.0;112.0;916.0;0;304.0;16;-6;663;-6;9
-110.0;89.0;956.0;0;335.0;16;-18;661;-18;5
-102.0;-53.0;907.0;2;?;14;11;660;11;-1
