Accelerometer LUA_ accX;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK magneticY;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE EuY
-191.0;-3;24;-1;15.0;-419.0;-100.0;-2;1;518.0;24;-42
-188.0;-2;-15;-5;?;-426.0;-130.0;-2;5;522.0;-15;-42
-166.0;-7;-2;8;67.0;-430.0;?;0;-8;?;-2;-42
-139.0;-3;30;-32;108.0;-433.0;-149.0;-2;32;?;30;-42
-48.0;-2;22;-22;47.0;-433.0;-137.0;-3;?;523.0;22;-42
-35.0;-2;?;14;71.0;-432.0;-114.0;1;-14;521.0;?;-42
?;-1;?;-4;131.0;-431.0;-106.0;4;4;523.0;-14;-42
124.0;2;-25;-7;105.0;-432.0;-87.0;2;7;518.0;?;-42
?;3;14;?;145.0;-432.0;-120.0;3;1;514.0;14;-42
115.0;1;11;0;72.0;-429.0;-120.0;2;0;512.0;11;-42
17.0;2;7;20;108.0;-430.0;-127.0;-2;-20;512.0;7;-42
-112.0;-2;?;9;76.0;-435.0;-94.0;-1;-9;509.0;12;?
?;-1;-21;7;?;-436.0;-118.0;-2;-7;506.0;-21;-42
-339.0;?;-26;42;11.0;-438.0;-145.0;-2;-42;507.0;-26;-42
-422.0;4;-21;14;59.0;-440.0;-147.0;2;-14;506.0;-21;-42
?;-3;-12;-21;73.0;-432.0;-139.0;-1;21;507.0;-12;-42
-295.0;-1;15;12;58.0;-429.0;-119.0;-2;?;511.0;15;-42
-268.0;-2;-23;25;94.0;-424.0;-124.0;3;?;513.0;-23;-42
608.0;1;-5;11;3.0;-401.0;-137.0;3;-11;504.0;?;?
?;0;-1;6;?;-402.0;-120.0;1;-6;506.0;?;-42
?;-4;-27;0;9.0;-406.0;-133.0;3;0;505.0;-27;-42
?;-4;31;0;4.0;-407.0;?;-1;0;505.0;31;-42
480.0;2;37;-11;-1.0;-410.0;?;-3;11;505.0;37;-42
448.0;4;17;-3;-12.0;-407.0;-107.0;4;3;504.0;?;-42
?;-2;24;-1;-20.0;-406.0;-104.0;2;1;503.0;24;-42
278.0;1;-2;4;-14.0;-403.0;-112.0;-3;-4;504.0;-2;?
139.0;0;?;10;-37.0;-404.0;?;?;-10;?;-7;-42
?;-6;10;0;-59.0;-402.0;-122.0;-5;0;501.0;10;-42
-34.0;0;?;10;-72.0;-397.0;-125.0;-3;?;502.0;10;-42
-146.0;3;14;4;?;-394.0;?;2;?;500.0;14;-42
-221.0;4;-2;6;-137.0;-395.0;-122.0;2;-6;504.0;-2;-42
-209.0;-2;-5;28;-84.0;-390.0;?;1;-28;509.0;-5;-42
-247.0;-8;11;?;-62.0;-398.0;-116.0;2;-18;514.0;11;-42
-182.0;1;10;0;-17.0;-403.0;-125.0;0;0;517.0;10;?
-171.0;4;22;6;23.0;?;-126.0;-3;-6;521.0;22;-42
-149.0;?;-5;18;89.0;?;-135.0;3;-18;528.0;-5;-42
-110.0;0;-16;-11;115.0;?;-128.0;-3;11;531.0;-16;-42
-43.0;2;19;-53;117.0;-415.0;-118.0;-3;53;534.0;19;-42
2.0;5;-6;-26;127.0;-414.0;-109.0;4;26;534.0;-6;-42
100.0;-3;-31;10;206.0;-411.0;-119.0;-3;-10;533.0;-31;-42
138.0;-7;2;?;153.0;-410.0;-129.0;-2;-7;529.0;2;-42
51.0;0;?;31;125.0;?;-147.0;-5;-31;?;10;-42
-87.0;0;-4;12;74.0;-415.0;-141.0;-5;-12;523.0;-4;-42
-168.0;-3;21;-28;105.0;-418.0;-121.0;-1;28;?;21;-42
-237.0;3;29;-21;89.0;-419.0;-105.0;-4;21;520.0;29;?
-359.0;2;2;-13;77.0;-422.0;-118.0;0;13;518.0;2;-42
-459.0;-2;-7;?;62.0;-423.0;-129.0;1;-12;517.0;-7;-42
-512.0;3;-14;-7;87.0;-424.0;-123.0;?;7;516.0;-14;-42
-494.0;1;-1;7;120.0;-425.0;-110.0;1;-7;515.0;-1;-42
8.0;-6;-7;2;50.0;-432.0;-152.0;-3;-2;506.0;-7;-42
-59.0;14;25;-1;48.0;-431.0;-105.0;0;1;505.0;?;-42
-152.0;-2;25;?;47.0;-431.0;-90.0;1;?;502.0;25;-42
44.0;-7;-9;0;10.0;-433.0;-96.0;-1;0;500.0;-9;-42
-175.0;-3;-10;0;16.0;-433.0;-125.0;-3;0;498.0;-10;-42
-203.0;-2;-22;-6;?;?;-125.0;1;6;499.0;-22;-42
-282.0;?;-25;-10;15.0;?;-129.0;-2;10;499.0;-25;-42
-326.0;0;11;24;25.0;-433.0;-121.0;-7;-24;502.0;11;-42
8.0;-2;-7;?;41.0;-434.0;-118.0;0;-14;501.0;-7;-42
110.0;-7;-31;-32;27.0;-436.0;-116.0;2;?;501.0;-31;-42
316.0;8;6;-3;32.0;-438.0;-125.0;0;3;499.0;6;-42
?;-2;-4;-21;29.0;-439.0;-121.0;-2;21;501.0;-4;-42
113.0;25;5;-20;?;-443.0;-118.0;?;?;502.0;5;-42
-9.0;36;37;1;59.0;-450.0;-118.0;-1;-1;503.0;37;-42
-41.0;-2;41;1;105.0;-451.0;-118.0;1;-1;506.0;41;-42
-45.0;19;6;-27;97.0;-457.0;-127.0;5;27;505.0;6;-42
-76.0;28;-10;-13;121.0;-457.0;-173.0;4;13;508.0;-10;-42
-53.0;17;85;142;167.0;-458.0;-149.0;30;-142;509.0;85;-42
2.0;5;?;-31;186.0;?;-116.0;28;31;511.0;?;-42
84.0;-11;404;273;194.0;-465.0;-107.0;112;-273;511.0;?;-42
?;3;?;346;216.0;-471.0;-110.0;342;-346;516.0;1072;-42
?;1;809;-933;222.0;-470.0;-90.0;440;933;517.0;809;-42
97.0;-2;216;-1565;228.0;-471.0;-111.0;335;1565;517.0;216;-39
44.0;8;?;-1731;216.0;-472.0;?;143;1731;516.0;-99;-36
-28.0;-3;-307;-2134;209.0;-473.0;-142.0;-24;2134;515.0;-307;-32
-80.0;-8;-375;-2010;193.0;-471.0;-133.0;-246;2010;513.0;-375;?
-73.0;4;-358;-1877;177.0;-472.0;-138.0;-361;1877;510.0;-358;?
-68.0;0;-143;-1530;171.0;-471.0;-135.0;?;1530;507.0;-143;-22
?;-3;171;-785;176.0;-466.0;-130.0;-637;785;507.0;171;-19
-66.0;6;192;-671;174.0;-468.0;?;-177;671;503.0;192;-18
-46.0;-5;6;-742;175.0;-468.0;-128.0;156;742;503.0;6;-17
-42.0;7;-84;-502;165.0;?;-127.0;-38;502;500.0;-84;-15
-50.0;29;-82;-519;157.0;-467.0;-127.0;?;519;?;-82;-15
-46.0;8;13;-513;166.0;-470.0;-127.0;5;513;495.0;13;-14
-50.0;?;129;-402;?;-470.0;-129.0;34;402;497.0;129;-13
-26.0;7;148;?;154.0;-470.0;-148.0;29;330;498.0;148;-12
?;-1;112;-248;162.0;-469.0;-138.0;19;248;?;112;-11
67.0;8;?;-106;174.0;-472.0;-130.0;75;106;502.0;24;-11
58.0;8;-101;-2;180.0;-470.0;-134.0;-38;2;504.0;-101;-11
59.0;?;-135;-79;198.0;?;-124.0;-46;79;505.0;?;-11
70.0;-17;-118;-34;207.0;-467.0;-110.0;81;34;508.0;?;-11
76.0;3;-102;63;217.0;-463.0;-121.0;92;-63;510.0;-102;-10
50.0;3;-2;108;225.0;-463.0;-126.0;73;-108;511.0;-2;-11
22.0;-2;115;111;234.0;-460.0;?;57;-111;517.0;115;-11
5.0;7;153;181;237.0;-457.0;-121.0;35;-181;518.0;153;-11
-5.0;2;128;259;230.0;-456.0;-126.0;27;-259;?;128;-11
-40.0;-9;72;83;227.0;-455.0;-110.0;-69;-83;519.0;72;-12
-56.0;-1;64;496;225.0;-457.0;-126.0;?;-496;?;64;?
-9.0;-11;-76;61;217.0;?;?;-41;-61;?;-76;-13
14.0;-1;27;540;206.0;-459.0;-46.0;166;-540;517.0;27;-13
?;11;143;960;202.0;-456.0;-89.0;227;?;517.0;143;-14
-90.0;-3;-21;828;197.0;-460.0;-110.0;198;-828;515.0;?;-16
-213.0;46;424;4975;194.0;-466.0;-171.0;2048;-4975;516.0;424;?
94.0;-1;417;?;203.0;-464.0;-227.0;195;-3266;?;417;-31
310.0;-121;81;-1480;216.0;-470.0;-256.0;-2067;1480;513.0;?;-43
?;-29;196;?;190.0;-473.0;-484.0;?;-233;?;196;-40
75.0;60;-58;327;238.0;-479.0;-372.0;39;?;512.0;-58;-41
-42.0;-19;-59;-58;70.0;-483.0;-203.0;-240;58;510.0;-59;-42
-29.0;-12;47;385;169.0;-491.0;-217.0;-2;-385;502.0;47;-41
?;11;-26;-106;221.0;?;-179.0;-162;?;499.0;-26;-42
6.0;-11;44;-48;133.0;-492.0;-140.0;58;48;496.0;?;-41
3.0;17;36;-29;138.0;-488.0;-220.0;?;29;497.0;36;-41
28.0;7;12;?;148.0;-486.0;-270.0;-26;27;498.0;12;-41
29.0;-3;-10;0;218.0;-484.0;-291.0;-9;0;497.0;-10;-41
14.0;7;13;6;157.0;?;-152.0;-33;-6;500.0;13;-41
-13.0;2;?;10;133.0;-485.0;?;-11;-10;499.0;27;-41
-6.0;5;-9;10;128.0;-481.0;-170.0;-6;-10;499.0;-9;-41
-35.0;3;2;24;151.0;-482.0;-121.0;-9;-24;495.0;2;-41
-46.0;2;?;0;146.0;-479.0;-138.0;-16;0;500.0;12;?
-58.0;4;-10;-62;?;-479.0;-203.0;-12;62;498.0;?;-41
-39.0;-2;7;53;141.0;-476.0;-172.0;-19;-53;500.0;7;-41
?;-4;16;-62;135.0;-474.0;-67.0;6;62;500.0;16;-41
-19.0;-9;-65;-200;144.0;-473.0;-129.0;-91;200;?;-65;-41
-27.0;-14;-257;-740;152.0;-470.0;-93.0;-189;740;503.0;-257;-40
8.0;2;-365;-1915;146.0;?;-27.0;-74;1915;505.0;-365;-37
2.0;1;-201;-2128;137.0;-464.0;-48.0;-58;2128;508.0;-201;-33
-10.0;-7;-42;-1950;140.0;-463.0;-96.0;-60;1950;510.0;-42;-29
8.0;?;22;-1933;128.0;-458.0;?;69;1933;513.0;22;-26
3.0;?;59;?;140.0;-459.0;-120.0;56;1665;516.0;59;-23
?;?;?;-1361;136.0;-451.0;?;76;1361;520.0;9;-20
41.0;3;-50;-1073;140.0;-449.0;-127.0;108;?;521.0;-50;-17
25.0;1;-83;-1019;152.0;-450.0;-86.0;7;1019;524.0;-83;-16
?;?;-63;-369;178.0;-444.0;-101.0;233;369;526.0;-63;-14
-16.0;-9;-117;288;195.0;?;-10.0;258;-288;529.0;-117;-14
-20.0;-3;-109;83;199.0;-441.0;-293.0;-34;?;531.0;?;-14
-1.0;-1;59;-56;208.0;-441.0;-171.0;21;56;533.0;59;?
29.0;10;101;-41;211.0;-442.0;794.0;27;41;535.0;101;-14
39.0;0;123;?;211.0;-444.0;?;?;66;533.0;123;-14
41.0;-6;138;-102;242.0;?;-849.0;3;102;531.0;138;-14
31.0;8;72;-121;?;-453.0;-223.0;-29;121;531.0;72;-14
-19.0;4;-10;-129;238.0;-456.0;-113.0;-28;129;528.0;-10;-14
-27.0;-4;-141;-166;237.0;?;-111.0;12;166;527.0;-141;-13
-14.0;-4;-186;-94;?;-463.0;-117.0;53;94;527.0;?;-13
-12.0;-2;-132;-48;?;-462.0;-213.0;64;48;527.0;-132;-13
4.0;4;-139;-81;223.0;-465.0;-173.0;47;81;526.0;-139;-13
23.0;7;-145;-3;?;-464.0;-144.0;47;3;529.0;-145;-13
?;6;-58;150;227.0;-465.0;-145.0;32;-150;528.0;-58;-13
1.0;6;-39;177;222.0;-465.0;-137.0;?;-177;528.0;-39;-13
7.0;5;-45;199;218.0;-465.0;-143.0;60;-199;527.0;-45;-14
24.0;8;43;409;210.0;-467.0;-141.0;12;-409;528.0;43;-15
23.0;-4;-46;341;203.0;-467.0;-164.0;151;-341;527.0;-46;-14
35.0;-1;-7;848;205.0;-466.0;-174.0;7;-848;526.0;-7;-17
?;2;-8;1235;208.0;-469.0;-218.0;657;-1235;525.0;-8;-16
-226.0;-8;96;2899;192.0;-470.0;-196.0;1568;-2899;524.0;96;-18
?;17;710;5425;182.0;-471.0;-141.0;335;-5425;523.0;710;-37
184.0;3;399;2191;178.0;-470.0;-126.0;?;-2191;523.0;399;-43
281.0;-8;-159;-669;171.0;-473.0;-304.0;-130;669;523.0;-159;-39
192.0;13;-16;402;190.0;-473.0;-256.0;-118;-402;523.0;-16;-42
104.0;-17;-16;-43;308.0;-477.0;-77.0;-29;43;524.0;-16;-41
73.0;-17;-7;?;224.0;-480.0;-136.0;-10;139;524.0;-7;-41
104.0;16;-10;89;?;?;-167.0;-32;-89;?;-10;-41
?;-8;-34;-54;181.0;-477.0;-153.0;-9;54;528.0;-34;-41
34.0;-13;30;51;204.0;-481.0;-190.0;-21;-51;530.0;30;-41
24.0;7;38;-22;249.0;-477.0;-162.0;-5;22;529.0;?;?
10.0;-5;30;14;300.0;-478.0;-116.0;-17;-14;533.0;30;-41
?;-1;30;15;259.0;-480.0;-104.0;-15;-15;535.0;30;-41
?;1;34;6;?;-480.0;-23.0;-11;-6;536.0;34;?
85.0;-5;16;?;227.0;-484.0;-6.0;-10;?;536.0;16;-41
?;-3;16;23;234.0;-487.0;-69.0;-8;-23;?;16;-41
47.0;4;33;-12;236.0;-488.0;-116.0;-3;12;532.0;33;-41
28.0;7;?;-10;217.0;?;-145.0;-10;10;533.0;20;-41
?;-5;26;-2;207.0;-491.0;-172.0;-16;2;531.0;26;-41
25.0;0;25;-49;198.0;-491.0;-204.0;?;49;531.0;25;-41
4.0;-1;-50;-102;184.0;-491.0;-180.0;-40;102;528.0;-50;-41
-17.0;-1;-96;-666;?;-490.0;?;-99;666;528.0;?;-40
-9.0;-4;-313;-1134;168.0;-493.0;-115.0;-269;1134;530.0;-313;-39
20.0;-11;-455;-1288;152.0;-491.0;-151.0;-315;1288;?;-455;-39
5.0;9;-92;-1836;146.0;-493.0;-122.0;-46;1836;?;-92;-34
-31.0;5;115;-1851;150.0;-494.0;-100.0;31;1851;529.0;115;-29
-37.0;0;34;-1539;134.0;-494.0;-82.0;-49;1539;529.0;?;-26
-12.0;1;20;-1488;142.0;-497.0;-104.0;11;?;526.0;20;-23
-4.0;?;?;-1260;124.0;-493.0;-67.0;88;1260;527.0;?;-20
27.0;?;-58;-1002;139.0;-492.0;-103.0;112;1002;527.0;-58;-18
11.0;0;-101;-754;162.0;-491.0;?;80;754;528.0;-101;?
10.0;3;-104;-575;170.0;-488.0;-180.0;80;575;527.0;-104;-15
1.0;3;?;?;183.0;-486.0;-36.0;89;456;526.0;-95;-14
?;5;-110;-291;199.0;-486.0;-647.0;77;291;?;-110;-14
17.0;13;-87;-192;213.0;-483.0;?;72;?;525.0;-87;-13
6.0;3;-54;?;208.0;-486.0;302.0;56;168;525.0;-54;-13
4.0;1;-62;-94;209.0;?;-987.0;51;?;525.0;-62;-13
22.0;2;-41;-9;?;-482.0;?;?;9;524.0;-41;-13
21.0;-6;-9;-9;214.0;-481.0;-64.0;36;9;525.0;-9;-13
32.0;-1;-37;14;204.0;-481.0;-225.0;?;-14;?;-37;-13
22.0;-3;-87;54;?;?;-116.0;35;-54;528.0;-87;?
19.0;-11;-93;52;247.0;-474.0;-147.0;16;-52;529.0;-93;-13
15.0;?;?;81;239.0;-468.0;-70.0;?;-81;533.0;-66;-13
-10.0;4;-50;178;245.0;-465.0;-36.0;66;-178;535.0;-50;-13
-39.0;-6;-4;171;245.0;-462.0;-122.0;31;-171;?;-4;-13
?;-1;-10;?;248.0;-459.0;-142.0;86;-294;537.0;-10;-13
26.0;-5;13;214;247.0;-457.0;-176.0;40;-214;538.0;13;-14
58.0;-11;118;363;243.0;-455.0;-156.0;19;-363;538.0;118;-15
48.0;-3;99;642;240.0;-455.0;-140.0;115;-642;539.0;99;-15
47.0;-8;52;77;261.0;-450.0;-145.0;-112;-77;543.0;52;-15
58.0;1;-114;1406;254.0;-451.0;-198.0;430;?;541.0;-114;-18
-88.0;3;-307;1165;247.0;-449.0;-208.0;572;-1165;545.0;-307;-19
-115.0;0;-258;1924;222.0;-442.0;-205.0;756;-1924;547.0;?;-19
182.0;2;-16;5316;215.0;-446.0;-170.0;1668;?;550.0;-16;-23
173.0;-32;219;1656;221.0;-446.0;-268.0;339;-1656;551.0;219;-25
170.0;0;27;-781;217.0;?;?;-543;781;549.0;27;-25
168.0;17;-102;656;?;-455.0;-83.0;-129;-656;?;-102;-26
83.0;-11;26;-216;298.0;?;-105.0;-389;216;547.0;26;-26
86.0;?;-2;-43;259.0;-457.0;-182.0;-274;43;545.0;-2;-26
155.0;-20;13;32;282.0;-456.0;-161.0;-249;-32;546.0;?;-26
132.0;?;18;-80;242.0;-450.0;-160.0;-268;80;550.0;?;-26
100.0;6;-14;68;246.0;-446.0;-189.0;-178;-68;551.0;-14;-26
61.0;-4;15;-56;294.0;?;-157.0;-183;56;553.0;15;-26
10.0;-1;21;34;321.0;-437.0;-156.0;-138;-34;556.0;21;-26
41.0;-6;?;11;294.0;-434.0;-153.0;-145;-11;558.0;21;-26
71.0;-7;22;-9;289.0;?;-148.0;-115;9;560.0;22;?
86.0;-2;25;-11;263.0;-436.0;-110.0;-86;11;559.0;25;-26
44.0;-3;37;-2;258.0;?;-117.0;-72;2;560.0;37;-26
18.0;2;0;-36;274.0;-437.0;-82.0;-75;36;557.0;0;-26
15.0;-1;-14;-31;272.0;-437.0;-119.0;?;31;559.0;-14;?
16.0;-8;11;-29;261.0;-440.0;-99.0;-52;29;555.0;11;-26
35.0;-2;31;-75;237.0;-439.0;-124.0;-56;75;553.0;31;-26
38.0;1;51;-41;228.0;-438.0;-147.0;-22;41;553.0;51;-26
7.0;2;-57;-72;224.0;-439.0;-137.0;?;72;552.0;?;?
2.0;-3;14;-6;211.0;-442.0;?;-7;6;549.0;14;-26
-12.0;-5;-210;-497;198.0;-443.0;-90.0;-86;?;550.0;-210;-28
23.0;6;-620;-1627;183.0;-442.0;?;-292;1627;?;-620;-28
13.0;-5;-350;-2008;178.0;-447.0;-81.0;-34;2008;?;-350;-26
18.0;-9;-263;-1986;171.0;-447.0;?;108;1986;548.0;-263;?
0.0;10;-186;-1943;170.0;-447.0;-97.0;?;1943;549.0;-186;-25
1.0;2;-20;-1596;?;-449.0;-164.0;?;?;548.0;-20;-21
-2.0;-5;?;-1344;186.0;-446.0;-126.0;51;1344;548.0;-180;-19
5.0;2;-163;-1249;?;-447.0;-137.0;-40;1249;?;-163;-18
32.0;-10;-231;-1145;183.0;-447.0;-200.0;?;?;548.0;-231;-16
?;-5;-319;-996;192.0;-448.0;?;89;996;547.0;-319;?
19.0;-4;-285;-795;187.0;-447.0;-213.0;?;795;548.0;-285;-14
18.0;-7;-301;-649;181.0;-442.0;444.0;84;649;547.0;-301;-13
20.0;5;-184;-505;193.0;-446.0;-991.0;97;505;548.0;-184;?
14.0;?;-14;-237;207.0;-439.0;-605.0;123;237;550.0;-14;-12
9.0;1;35;-106;207.0;-442.0;66.0;94;106;547.0;35;-11
14.0;4;50;-167;241.0;-439.0;-242.0;24;167;547.0;50;-11
35.0;5;57;-95;239.0;-438.0;-195.0;85;95;548.0;57;-11
40.0;12;52;67;240.0;?;-124.0;99;-67;551.0;52;-11
?;9;87;100;263.0;-433.0;?;18;-100;552.0;87;-11
19.0;7;129;99;260.0;-430.0;-32.0;28;-99;553.0;129;-11
10.0;0;150;129;257.0;-429.0;-97.0;27;-129;549.0;150;-12
-28.0;-3;97;122;265.0;-430.0;?;38;-122;551.0;97;-12
-1.0;0;20;153;274.0;?;-110.0;-5;-153;552.0;20;-12
-34.0;-7;?;-36;249.0;-426.0;-108.0;-32;?;552.0;-39;-12
-23.0;-7;-105;53;259.0;-424.0;-167.0;87;-53;552.0;-105;-12
?;0;-153;296;275.0;-428.0;-179.0;111;?;554.0;-153;-13
42.0;-1;-196;50;259.0;-423.0;-164.0;9;-50;554.0;-196;-13
14.0;-1;-110;581;249.0;-425.0;-170.0;120;-581;?;-110;-13
54.0;-4;?;-185;253.0;-421.0;-179.0;-60;185;558.0;?;-13
?;-10;5;1175;240.0;-421.0;-211.0;228;-1175;557.0;?;-16
106.0;-5;-66;855;229.0;-419.0;-245.0;204;-855;557.0;-66;-16
-225.0;-7;99;1064;223.0;-419.0;?;807;-1064;?;99;-17
41.0;2;461;9111;215.0;-414.0;-100.0;1245;-9111;557.0;461;-30
?;26;-1574;3551;211.0;-414.0;-109.0;-3944;-3551;560.0;-1574;-38
226.0;-8;?;-3605;242.0;?;-134.0;-4222;3605;559.0;-1748;-38
208.0;5;274;1075;229.0;-412.0;?;609;-1075;?;?;-40
145.0;53;-14;75;373.0;-411.0;-38.0;-105;-75;561.0;-14;-40
66.0;-10;-102;-369;331.0;-413.0;-185.0;-249;369;562.0;-102;-40
107.0;-26;68;352;293.0;-407.0;-252.0;?;-352;559.0;68;-40
139.0;6;-114;-353;233.0;-404.0;-244.0;-257;353;559.0;-114;?
102.0;-5;61;183;224.0;-399.0;?;91;-183;559.0;61;-40
?;3;-23;-81;233.0;-392.0;-217.0;-82;81;558.0;-23;-40
?;8;-9;-29;286.0;?;-163.0;-36;29;556.0;-9;-40
36.0;1;19;35;257.0;?;-72.0;-6;-35;558.0;19;-40
48.0;0;-3;-7;246.0;-378.0;-38.0;-41;7;556.0;-3;-40
?;?;?;2;?;-377.0;-40.0;-10;-2;556.0;14;-40
14.0;-1;41;10;220.0;-376.0;-35.0;?;-10;556.0;41;-40
2.0;?;12;1;187.0;-379.0;-71.0;-15;-1;551.0;12;-40
-12.0;4;-19;?;194.0;-382.0;-108.0;-8;?;547.0;-19;?
-32.0;4;?;-2;?;-386.0;-85.0;-10;2;544.0;15;-40
6.0;-1;5;?;189.0;-396.0;-125.0;-5;34;539.0;5;-40
10.0;4;-29;-47;144.0;-401.0;-90.0;-15;47;540.0;-29;-40
48.0;2;14;-30;144.0;-402.0;?;8;30;538.0;14;-40
57.0;1;-68;?;158.0;?;-152.0;-7;122;537.0;-68;?
61.0;6;-49;-151;120.0;-406.0;?;-24;151;538.0;?;-40
89.0;-7;-2;-190;141.0;-408.0;-161.0;-8;190;536.0;-2;-39
64.0;-1;-384;-750;126.0;-408.0;-171.0;-151;?;534.0;-384;-39
?;5;-199;-1300;109.0;-408.0;-156.0;-111;1300;536.0;-199;-36
?;-5;153;-1264;95.0;?;-74.0;?;1264;537.0;153;-35
-20.0;?;131;?;93.0;-405.0;-62.0;13;1349;?;131;-35
-13.0;-3;467;-1618;88.0;-404.0;?;15;1618;536.0;467;-31
19.0;2;392;-1515;79.0;-401.0;-101.0;-17;1515;?;392;-27
35.0;6;?;-1422;89.0;-403.0;-45.0;-40;1422;538.0;31;?
49.0;1;-91;-1388;103.0;-402.0;-52.0;31;1388;539.0;-91;-21
33.0;4;-223;-1234;113.0;-404.0;-284.0;45;1234;540.0;?;-19
29.0;4;-177;-964;164.0;-407.0;?;66;964;543.0;-177;-17
19.0;3;-107;-776;160.0;-407.0;1425.0;101;776;545.0;-107;?
20.0;8;-119;-823;177.0;-404.0;-1326.0;93;823;545.0;-119;-16
0.0;1;0;-375;170.0;?;-235.0;?;375;547.0;0;-14
-13.0;6;?;67;?;-404.0;-76.0;120;-67;552.0;67;-14
-29.0;5;13;-13;204.0;-400.0;-225.0;17;13;555.0;13;-14
65.0;-11;79;-64;224.0;-400.0;-290.0;66;?;?;79;-14
59.0;0;86;-120;235.0;?;-46.0;95;120;560.0;?;-14
96.0;3;-52;-109;239.0;-396.0;-57.0;12;109;562.0;-52;-13
72.0;-5;-103;-63;281.0;-397.0;-53.0;?;63;564.0;-103;-13
11.0;-5;-61;-69;248.0;-396.0;-137.0;75;69;567.0;-61;-13
-21.0;-7;-52;16;261.0;-394.0;-109.0;69;-16;569.0;-52;-13
-2.0;-11;-48;21;?;-395.0;-97.0;37;-21;570.0;-48;?
5.0;-10;-29;-3;287.0;-397.0;-137.0;35;3;574.0;-29;-13
?;5;-49;164;278.0;-393.0;-198.0;43;-164;574.0;-49;?
28.0;11;?;249;284.0;-394.0;?;50;-249;574.0;?;-14
28.0;0;-99;189;283.0;-389.0;-181.0;109;-189;574.0;?;-14
45.0;?;-45;288;289.0;?;-152.0;40;-288;576.0;-45;-14
48.0;0;4;241;281.0;-387.0;-155.0;52;-241;575.0;4;-15
39.0;?;2;166;272.0;-389.0;-157.0;68;-166;576.0;2;-15
18.0;-1;-28;320;268.0;-386.0;-174.0;-119;-320;577.0;-28;-15
?;-5;-106;-27;257.0;?;?;?;27;?;?;-16
27.0;-3;?;822;245.0;-384.0;-122.0;13;-822;?;-473;-17
36.0;1;-580;1522;242.0;?;-162.0;971;-1522;579.0;-580;-18
?;4;-301;?;262.0;-383.0;-116.0;1309;-5084;579.0;-301;-25
61.0;23;-50;9651;295.0;-380.0;-11.0;-1668;-9651;580.0;-50;-36
328.0;5;496;?;326.0;-384.0;134.0;-874;?;580.0;496;-41
371.0;27;523;-1294;308.0;-384.0;-148.0;632;1294;582.0;523;-41
194.0;77;15;511;300.0;-382.0;-279.0;-319;?;583.0;15;-41
