InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
-133;-17.0;-30;25;1486.0;-30.0;93.0;125;-33;33;-30;25
-134;-1.0;0;-5;-47.0;1.0;-49.0;138;50;-50;0;-5
-134;30.0;-7;-21;-21.0;-12.0;-17.0;135;34;-34;-7;-21
-157;-22.0;36;10;-33.0;-20.0;-52.0;65;-1;1;36;10
-152;49.0;38;-66;-290.0;521.0;-82.0;99;-125;125;38;-66
-133;9.0;4;0;-65.0;2.0;-48.0;135;18;-18;4;0
-154;32.0;3452;632;-253.0;-487.0;-333.0;169;-721;721;3452;632
-133;18.0;-10;7;-67.0;16.0;-58.0;132;-11;11;-10;7
-133;-9.0;29;-11;-97.0;-9.0;-39.0;131;3;-3;29;-11
-165;60.0;-234;40;-122.0;-202.0;-425.0;79;-419;419;-234;40
-135;-55.0;-16;-20;-106.0;-15.0;-7.0;129;0;0;-16;-20
-151;-113.0;-21;-1377;202.0;306.0;457.0;289;-4278;4278;-21;-1377
-133;-9.0;-1;-21;-68.0;-45.0;-20.0;132;10;-10;-1;-21
-133;-3.0;-3;-21;-80.0;10.0;-49.0;135;2;-2;-3;-21
-134;-6.0;-33;4;-49.0;-22.0;-41.0;127;-26;26;-33;4
-133;-13.0;-8;-27;-26.0;-23.0;-21.0;130;-9;9;-8;-27
-168;833.0;-55;1;-397.0;8.0;-507.0;66;2;-2;-55;1
-133;-17.0;4;-23;-77.0;-43.0;-73.0;132;10;-10;4;-23
-134;1.0;-16;-14;-308.0;-7.0;-30.0;130;5;-5;-16;-14
-134;-7.0;8;2;-86.0;-60.0;-39.0;134;24;-24;8;2
-156;-11.0;32;-27;18.0;33.0;29.0;66;-1;1;32;-27
-133;-31.0;21;5;237.0;-30.0;-131.0;131;-5;5;21;5
-133;11.0;-26;26;-73.0;-13.0;-57.0;125;-7;7;-26;26
-159;27.0;9;-10;-148.0;122.0;48.0;67;-7;7;9;-10
-135;62.0;27;-27;-10.0;-84.0;136.0;130;-41;41;27;-27
-162;-34.0;-321;-102;-426.0;-201.0;-451.0;67;-1211;1211;-321;-102
-134;-7.0;-8;18;-45.0;31.0;-56.0;128;-13;13;-8;18
-159;-35.0;13;-1;-25.0;-15.0;-31.0;63;26;-26;13;-1
-162;242.0;418;34;-54.0;-483.0;-245.0;-10;-1;1;418;34
-134;-28.0;3;1;-91.0;10.0;-39.0;131;6;-6;3;1
-161;-85.0;-3100;-4663;-1399.0;747.0;-541.0;173;-875;875;-3100;-4663
-175;-36.0;-5;-4;-42.0;21.0;-19.0;67;0;0;-5;-4
-134;20.0;1;-36;-49.0;-17.0;-49.0;135;-8;8;1;-36
-134;22.0;24;7;-49.0;-40.0;-20.0;134;10;-10;24;7
-134;-9.0;-14;-16;91.0;-100.0;-47.0;128;23;-23;-14;-16
-133;80.0;3;18;-37.0;-19.0;-51.0;131;-6;6;3;18
-134;-22.0;-29;-6;-59.0;-9.0;-17.0;132;-21;21;-29;-6
-161;0.0;-71;-166;-63.0;-8.0;-51.0;80;-64;64;-71;-166
-134;16.0;-23;-7;77.0;5.0;-35.0;135;-28;28;-23;-7
-135;68.0;-2;37;-85.0;88.0;-10.0;128;52;-52;-2;37
-159;-33.0;19;-13;-122.0;-104.0;-77.0;66;-9;9;19;-13
-134;22.0;-10;31;-39.0;-14.0;-41.0;133;4;-4;-10;31
-134;-24.0;-13;36;-41.0;-33.0;-32.0;133;2;-2;-13;36
-171;44.0;-61;119;-21.0;25.0;-39.0;101;-33;33;-61;119
-134;71.0;15;-12;-139.0;-5.0;-59.0;128;-13;13;15;-12
-159;-27.0;7;-2;-117.0;-43.0;-39.0;67;-7;7;7;-2
229;85.0;-4061;981;-538.0;-372.0;-777.0;1152;-3355;3355;-4061;981
-162;3.0;-25;-23;-61.0;-28.0;-7.0;71;-7;7;-25;-23
-134;-15.0;8;-13;-54.0;-12.0;-40.0;135;-42;42;8;-13
-157;5.0;-50;41;-41.0;4.0;-37.0;66;-14;14;-50;41
-162;-82.0;-11;-28;-180.0;117.0;-15.0;70;1;-1;-11;-28
-177;-33.0;964;-181;170.0;-370.0;268.0;961;112;-112;964;-181
-159;-11.0;-7;-30;-73.0;-38.0;-15.0;69;-5;5;-7;-30
-134;-23.0;-32;-37;-75.0;4.0;-72.0;132;-43;43;-32;-37
-133;14.0;18;10;-82.0;-26.0;-61.0;141;-6;6;18;10
-134;7.0;31;-17;-71.0;-34.0;-52.0;137;-8;8;31;-17
-170;-77.0;4201;1419;-1309.0;-215.0;-1136.0;3241;1971;-1971;4201;1419
-156;-33.0;22;3;-156.0;-41.0;-83.0;70;20;-20;22;3
-142;-3.0;100;-485;-404.0;-724.0;-376.0;-824;-6858;6858;100;-485
-134;43.0;-18;-18;-73.0;-34.0;-62.0;134;14;-14;-18;-18
-158;1.0;10;-11;-67.0;-43.0;-73.0;62;-2;2;10;-11
-135;11.0;-9;-1;629.0;12.0;51.0;136;19;-19;-9;-1
-135;-9.0;-21;11;-38.0;-5.0;-54.0;130;-30;30;-21;11
-134;-3.0;-32;-2;-97.0;57.0;-41.0;134;26;-26;-32;-2
-134;59.0;-20;-16;-2.0;-52.0;-68.0;132;-20;20;-20;-16
-159;7.0;-28;32;-131.0;-21.0;-84.0;66;15;-15;-28;32
-134;24.0;23;-20;-71.0;4.0;-13.0;131;-27;27;23;-20
-134;16.0;-15;-8;-60.0;-8.0;-21.0;135;-30;30;-15;-8
-134;-17.0;10;28;-65.0;12.0;-52.0;135;5;-5;10;28
-160;-30.0;-10;10;-196.0;-85.0;-50.0;75;54;-54;-10;10
-188;-400.0;-252;8;-112.0;-123.0;79.0;71;-248;248;-252;8
-134;10.0;-21;-17;-42.0;7.0;-39.0;130;-28;28;-21;-17
-157;155.0;-19;2;323.0;197.0;-455.0;63;9;-9;-19;2
-163;137.0;11;-3;-98.0;123.0;-80.0;69;-11;11;11;-3
-162;-15.0;-17;8;-42.0;-11.0;26.0;73;-13;13;-17;8
-134;-44.0;-26;-45;-44.0;-6.0;-19.0;134;3;-3;-26;-45
-134;-52.0;-3;3;-83.0;-25.0;-56.0;136;-17;17;-3;3
-168;-211.0;396;543;-559.0;-309.0;-234.0;92;-149;149;396;543
-151;-688.0;199;616;26.0;70.0;521.0;127;-297;297;199;616
-126;388.0;299;-335;68.0;-240.0;-404.0;167;-185;185;299;-335
-175;-228.0;-31;13;-166.0;-25.0;-1.0;64;6;-6;-31;13
-159;-105.0;-1;-12;66.0;-298.0;56.0;55;-30;30;-1;-12
-168;-327.0;836;1098;-971.0;-628.0;-697.0;85;-111;111;836;1098
-157;-18.0;-23;-39;-798.0;-914.0;-912.0;75;6;-6;-23;-39
-131;-55.0;-6;17;93.0;-35.0;-18.0;131;24;-24;-6;17
-162;-30.0;33;-2;-111.0;-6.0;-17.0;70;-24;24;33;-2
-164;117.0;-17;-22;-12.0;62.0;80.0;78;-44;44;-17;-22
-161;-67.0;-35;525;-758.0;36.0;-712.0;-483;-1942;1942;-35;525
-165;-190.0;8;-43;34.0;154.0;-262.0;71;-17;17;8;-43
-135;-2.0;-21;-27;-61.0;-8.0;6.0;132;-2;2;-21;-27
-158;97.0;-24;2;-272.0;-54.0;-114.0;72;-51;51;-24;2
-135;-2.0;12;-32;-98.0;-10.0;-149.0;132;15;-15;12;-32
-135;-4.0;-21;3;-304.0;81.0;-107.0;135;-17;17;-21;3
-135;6.0;-14;-29;-45.0;-47.0;-48.0;128;3;-3;-14;-29
-135;-21.0;-13;9;54.0;-27.0;-109.0;135;-32;32;-13;9
-134;-6.0;-12;26;-10.0;-22.0;-41.0;129;12;-12;-12;26
197;-174.0;-189;-253;231.0;-17.0;81.0;206;-19;19;-189;-253
-159;-37.0;32;-7;-39.0;20.0;-24.0;65;-13;13;32;-7
-135;-11.0;-14;-22;-50.0;-23.0;-28.0;134;-6;6;-14;-22
-156;-86.0;-6;1;-71.0;-41.0;55.0;70;25;-25;-6;1
-135;9.0;-3;-20;-67.0;-17.0;-24.0;132;-42;42;-3;-20
-134;141.0;18;-12;-208.0;264.0;1.0;137;1;-1;18;-12
-133;55.0;-11;-26;-64.0;11.0;-47.0;129;-9;9;-11;-26
-156;-90.0;12;-29;-174.0;-153.0;-145.0;68;9;-9;12;-29
-133;-6.0;34;-10;-16.0;4.0;-53.0;130;3;-3;34;-10
-135;5.0;-3;36;-58.0;-30.0;-18.0;134;7;-7;-3;36
-134;-2.0;-1;-15;-58.0;35.0;-34.0;130;-29;29;-1;-15
-156;385.0;459;360;-328.0;353.0;-11.0;13;828;-828;459;360
-179;164.0;232;-287;-478.0;86.0;-389.0;71;8;-8;232;-287
-162;50.0;-11;-1;-42.0;-42.0;-56.0;67;40;-40;-11;-1
-163;15.0;35;-5;-63.0;-60.0;-52.0;69;16;-16;35;-5
-159;21.0;-4;35;-83.0;-12.0;-40.0;64;-32;32;-4;35
-135;-28.0;-12;15;-55.0;33.0;-26.0;139;-18;18;-12;15
-132;-59.0;-34;4;-24.0;-38.0;-58.0;124;-14;14;-34;4
-167;103.0;-268;290;-391.0;544.0;-338.0;-1079;-1296;1296;-268;290
-159;1.0;25;-20;-78.0;10.0;-35.0;67;-20;20;25;-20
-162;116.0;-36;-6;-134.0;-16.0;-86.0;69;-23;23;-36;-6
-159;-29.0;-7;2;-74.0;-59.0;-27.0;68;25;-25;-7;2
-152;-75.0;34;-13;13.0;19.0;245.0;98;13;-13;34;-13
-133;11.0;1;-8;-102.0;-32.0;-66.0;127;2;-2;1;-8
-134;-9.0;-12;-16;-69.0;-40.0;-48.0;130;-27;27;-12;-16
-135;-3.0;-30;-1;-39.0;20.0;-22.0;128;-12;12;-30;-1
-135;-8.0;10;27;-79.0;-28.0;-30.0;129;21;-21;10;27
-107;-128.0;426;1532;-152.0;-357.0;-16.0;1019;1810;-1810;426;1532
-135;-19.0;-26;-4;-45.0;-5.0;-38.0;129;-20;20;-26;-4
-51;-1.0;-890;1815;-51.0;201.0;36.0;976;2288;-2288;-890;1815
-134;87.0;-13;14;-56.0;-64.0;-118.0;130;22;-22;-13;14
-140;-222.0;-465;530;-689.0;-383.0;-876.0;237;-376;376;-465;530
-135;-19.0;-18;31;-99.0;-32.0;-81.0;131;-32;32;-18;31
-148;11.0;894;-64;-66.0;-326.0;11.0;64;217;-217;894;-64
-151;57.0;-1;10;391.0;7.0;56.0;70;-5;5;-1;10
-165;-557.0;1397;2653;-824.0;-1347.0;-1236.0;228;-821;821;1397;2653
-52;90.0;1531;330;-66.0;49.0;330.0;6;-2494;2494;1531;330
-169;-10.0;-39;-12;-58.0;-182.0;-131.0;105;-104;104;-39;-12
-135;-12.0;-15;-9;-76.0;-40.0;-59.0;135;-22;22;-15;-9
-156;33.0;7;-23;94.0;-261.0;-145.0;67;-14;14;7;-23
-152;7.0;-777;357;-365.0;-172.0;75.0;-27;393;-393;-777;357
-158;1.0;28;-21;644.0;66.0;635.0;71;-77;77;28;-21
-161;-185.0;-15;-10;-396.0;-127.0;-214.0;66;-21;21;-15;-10
-71;-288.0;359;920;-401.0;71.0;-34.0;1317;2668;-2668;359;920
-174;-43.0;22;-38;-90.0;22.0;10.0;72;45;-45;22;-38
-133;3.0;0;-7;-53.0;-46.0;-66.0;134;29;-29;0;-7
-162;44.0;-23;10;-76.0;-56.0;-18.0;71;25;-25;-23;10
-152;-142.0;32;11;-227.0;146.0;-81.0;109;14;-14;32;11
-160;19.0;-7;-41;-216.0;101.0;-183.0;64;9;-9;-7;-41
-134;13.0;-13;-6;-190.0;119.0;103.0;128;2;-2;-13;-6
-135;91.0;-27;-10;-47.0;149.0;-14.0;136;15;-15;-27;-10
-170;-164.0;92;-744;245.0;73.0;246.0;179;-2564;2564;92;-744
-149;-149.0;-490;-739;-726.0;-378.0;-779.0;53;77;-77;-490;-739
-162;142.0;-1;-23;-45.0;313.0;123.0;91;-47;47;-1;-23
-132;63.0;-33;-18;-2091.0;426.0;-287.0;148;50;-50;-33;-18
-162;-137.0;75;-476;420.0;607.0;465.0;-47;-1413;1413;75;-476
-155;-299.0;-19;-25;-118.0;-450.0;-45.0;86;34;-34;-19;-25
-178;-141.0;-2206;1755;-718.0;-144.0;-659.0;-433;-1224;1224;-2206;1755
-167;74.0;0;1;551.0;749.0;918.0;97;-215;215;0;1
-134;-24.0;-31;4;-30.0;-21.0;-43.0;130;33;-33;-31;4
-157;158.0;55;-51;1906.0;703.0;1724.0;55;-50;50;55;-51
-163;-243.0;122;-133;-912.0;-676.0;-862.0;43;-1008;1008;122;-133
-186;-94.0;-1691;-2586;-240.0;-42.0;-40.0;95;904;-904;-1691;-2586
-153;19.0;-2329;-843;253.0;155.0;177.0;-263;-1976;1976;-2329;-843
-161;-454.0;217;1044;-207.0;52.0;-82.0;99;587;-587;217;1044
-157;8.0;-2015;-53;-58.0;-5.0;-41.0;414;383;-383;-2015;-53
-174;-201.0;5;-1;-125.0;210.0;-10.0;74;12;-12;5;-1
-136;-133.0;-687;-277;82.0;-269.0;-220.0;156;495;-495;-687;-277
-159;-16.0;-5;-23;-161.0;-39.0;-90.0;65;12;-12;-5;-23
-158;34.0;-179;-1076;-19.0;380.0;-77.0;186;1959;-1959;-179;-1076
-165;-363.0;58;-29;195.0;-84.0;322.0;78;0;0;58;-29
-166;157.0;-24;2;233.0;268.0;287.0;73;8;-8;-24;2
-150;-20.0;60;9;-114.0;-259.0;-326.0;108;5;-5;60;9
-155;-56.0;-17;-15;-948.0;-76.0;-506.0;79;-59;59;-17;-15
-160;-224.0;12;-36;-1774.0;-1317.0;-1392.0;35;-92;92;12;-36
-134;7.0;-34;-22;191.0;24.0;92.0;136;8;-8;-34;-22
-156;-100.0;-2;-6;-206.0;-240.0;-3.0;75;-23;23;-2;-6
-134;-51.0;-11;-14;-58.0;56.0;-22.0;136;-15;15;-11;-14
-162;104.0;1906;-1007;-768.0;-245.0;-678.0;94;361;-361;1906;-1007
-120;19.0;601;141;-507.0;-289.0;-392.0;357;5213;-5213;601;141
