InertialMeasurementUnit LUA Quaternion1;Accelerometer LWR accX;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RUA Quaternion2;Accelerometer LH accX
-770.0;-283.0;38.0;224.0;-727.0;544.0;273.0
-767.0;?;?;227.0;-725.0;542.0;268.0
?;-284.0;29.0;?;-725.0;540.0;240.0
-763.0;-256.0;21.0;236.0;-724.0;539.0;213.0
-762.0;-273.0;?;?;?;540.0;?
-761.0;-263.0;?;231.0;-725.0;541.0;198.0
-761.0;-276.0;35.0;230.0;-725.0;542.0;242.0
-762.0;-291.0;40.0;244.0;-724.0;543.0;294.0
-763.0;-292.0;39.0;269.0;-723.0;543.0;296.0
-764.0;-283.0;38.0;238.0;-723.0;?;333.0
?;-292.0;46.0;204.0;-722.0;547.0;371.0
-767.0;-321.0;45.0;197.0;-720.0;549.0;435.0
-769.0;-344.0;38.0;210.0;-718.0;551.0;416.0
-772.0;-316.0;32.0;?;?;553.0;458.0
-774.0;-354.0;24.0;228.0;-713.0;554.0;295.0
-777.0;-557.0;17.0;200.0;-711.0;556.0;507.0
-780.0;-529.0;12.0;176.0;-710.0;558.0;570.0
-782.0;-440.0;14.0;198.0;-710.0;559.0;683.0
-779.0;-319.0;19.0;-35.0;-709.0;565.0;512.0
-777.0;-283.0;28.0;86.0;-709.0;568.0;310.0
-775.0;-288.0;31.0;?;-707.0;566.0;318.0
-775.0;-288.0;24.0;25.0;-707.0;563.0;377.0
-773.0;-248.0;18.0;-14.0;-706.0;559.0;270.0
-770.0;?;7.0;-13.0;-705.0;554.0;187.0
-767.0;-173.0;-4.0;26.0;-704.0;550.0;102.0
-762.0;-194.0;-12.0;147.0;-701.0;546.0;115.0
-759.0;?;-25.0;238.0;-700.0;544.0;191.0
-756.0;-204.0;-32.0;203.0;-700.0;544.0;160.0
-752.0;-205.0;-28.0;116.0;-701.0;546.0;124.0
-748.0;-218.0;-22.0;84.0;-701.0;?;177.0
-745.0;?;-20.0;92.0;?;550.0;223.0
-743.0;-278.0;-16.0;109.0;-700.0;552.0;225.0
-743.0;-303.0;-13.0;130.0;-699.0;554.0;307.0
-744.0;-328.0;-11.0;189.0;-700.0;555.0;350.0
-745.0;-333.0;-4.0;134.0;-700.0;556.0;384.0
-746.0;?;-1.0;145.0;-701.0;555.0;451.0
-748.0;-370.0;0.0;128.0;-700.0;554.0;507.0
-749.0;-396.0;-7.0;111.0;-700.0;553.0;529.0
-751.0;-392.0;-9.0;113.0;-699.0;552.0;497.0
-755.0;-380.0;-13.0;122.0;-699.0;551.0;492.0
-758.0;-386.0;-14.0;130.0;-699.0;550.0;?
-762.0;-417.0;-16.0;133.0;-698.0;550.0;457.0
-766.0;-409.0;?;155.0;-698.0;549.0;439.0
-771.0;-428.0;?;170.0;-698.0;?;423.0
-775.0;-404.0;-19.0;165.0;-699.0;550.0;409.0
-778.0;?;-15.0;150.0;-700.0;551.0;?
-781.0;-372.0;-11.0;131.0;-702.0;553.0;379.0
-782.0;-378.0;-5.0;142.0;-703.0;554.0;?
?;-363.0;1.0;150.0;-705.0;554.0;346.0
?;?;7.0;?;-707.0;555.0;?
-782.0;-305.0;11.0;176.0;-708.0;554.0;236.0
-782.0;?;12.0;197.0;-709.0;553.0;297.0
-780.0;-319.0;13.0;218.0;-710.0;?;291.0
-778.0;-321.0;?;203.0;?;552.0;307.0
-776.0;-314.0;13.0;?;-712.0;552.0;306.0
-773.0;-303.0;19.0;234.0;-713.0;551.0;273.0
-771.0;-275.0;17.0;231.0;-714.0;552.0;254.0
-768.0;-244.0;20.0;221.0;-715.0;552.0;?
-765.0;?;27.0;197.0;-716.0;554.0;243.0
-764.0;-253.0;31.0;191.0;-716.0;556.0;219.0
-764.0;-252.0;34.0;209.0;-715.0;557.0;243.0
-765.0;-255.0;32.0;227.0;-714.0;557.0;299.0
-765.0;-280.0;31.0;218.0;-712.0;557.0;311.0
-766.0;-310.0;27.0;219.0;-711.0;556.0;321.0
-766.0;-325.0;22.0;206.0;-710.0;556.0;336.0
-767.0;-335.0;19.0;196.0;-709.0;556.0;367.0
?;?;14.0;199.0;-708.0;557.0;353.0
-770.0;-333.0;14.0;211.0;-707.0;558.0;370.0
-772.0;-340.0;13.0;220.0;-707.0;559.0;377.0
?;-361.0;11.0;208.0;-706.0;561.0;385.0
-777.0;-344.0;11.0;180.0;?;562.0;?
-780.0;-339.0;?;187.0;-704.0;564.0;?
-783.0;?;6.0;211.0;-704.0;565.0;291.0
-784.0;-474.0;8.0;?;-705.0;?;468.0
-783.0;-530.0;17.0;186.0;-705.0;571.0;608.0
-781.0;?;26.0;169.0;-706.0;?;657.0
-775.0;-326.0;31.0;-10.0;?;574.0;534.0
-769.0;-267.0;33.0;51.0;?;573.0;334.0
-763.0;-221.0;26.0;48.0;-703.0;569.0;234.0
-759.0;-170.0;14.0;41.0;-702.0;562.0;255.0
-756.0;-194.0;-6.0;33.0;?;554.0;307.0
-752.0;-221.0;-34.0;30.0;-698.0;546.0;474.0
-748.0;?;-53.0;?;-697.0;542.0;746.0
-744.0;-424.0;-63.0;?;-697.0;542.0;930.0
-742.0;?;-59.0;?;-698.0;546.0;1085.0
-744.0;-773.0;-42.0;171.0;-700.0;551.0;1162.0
-749.0;-799.0;-21.0;151.0;-700.0;556.0;1241.0
-755.0;-854.0;-8.0;?;-700.0;560.0;1432.0
-759.0;-1050.0;-5.0;131.0;-699.0;563.0;1469.0
-761.0;-1070.0;?;131.0;-697.0;565.0;1340.0
-762.0;?;-12.0;117.0;-696.0;568.0;1075.0
-761.0;-952.0;-14.0;168.0;-698.0;570.0;?
-759.0;-936.0;-3.0;156.0;-700.0;575.0;?
-754.0;-851.0;10.0;158.0;-702.0;580.0;755.0
-745.0;-760.0;27.0;159.0;-706.0;583.0;700.0
?;-793.0;43.0;155.0;-709.0;585.0;641.0
-722.0;-589.0;58.0;167.0;-712.0;585.0;460.0
-708.0;-380.0;67.0;154.0;-715.0;584.0;383.0
?;-171.0;70.0;155.0;-717.0;582.0;95.0
?;76.0;72.0;158.0;-720.0;578.0;253.0
-654.0;183.0;71.0;156.0;-722.0;575.0;?
?;155.0;69.0;164.0;-723.0;573.0;42.0
-604.0;?;67.0;160.0;-725.0;?;118.0
-580.0;239.0;73.0;?;-727.0;570.0;103.0
-561.0;148.0;78.0;163.0;?;?;250.0
-548.0;117.0;81.0;168.0;-729.0;571.0;380.0
?;?;87.0;149.0;-728.0;571.0;520.0
-538.0;20.0;86.0;145.0;?;570.0;483.0
-537.0;62.0;79.0;149.0;-726.0;571.0;584.0
?;74.0;78.0;143.0;?;572.0;452.0
-537.0;32.0;76.0;?;?;573.0;545.0
-536.0;74.0;?;132.0;-721.0;574.0;490.0
-536.0;25.0;70.0;128.0;-720.0;575.0;609.0
-536.0;-25.0;73.0;125.0;-719.0;577.0;597.0
-537.0;-63.0;?;149.0;-718.0;577.0;?
-540.0;-68.0;76.0;132.0;-718.0;578.0;553.0
-543.0;-22.0;77.0;108.0;-718.0;578.0;615.0
-545.0;-32.0;75.0;129.0;-717.0;578.0;646.0
-548.0;-87.0;72.0;172.0;-718.0;577.0;615.0
-549.0;-62.0;72.0;162.0;?;577.0;530.0
-551.0;-40.0;73.0;?;-720.0;576.0;471.0
-553.0;-19.0;74.0;140.0;-721.0;576.0;418.0
-554.0;-10.0;74.0;134.0;-722.0;575.0;391.0
-556.0;48.0;77.0;152.0;-723.0;574.0;140.0
-558.0;262.0;82.0;146.0;-725.0;574.0;-83.0
-561.0;441.0;83.0;165.0;-726.0;572.0;?
-567.0;345.0;87.0;165.0;-727.0;571.0;70.0
-576.0;111.0;91.0;167.0;-729.0;569.0;126.0
-591.0;127.0;93.0;157.0;-729.0;568.0;174.0
?;-75.0;89.0;152.0;-729.0;566.0;408.0
-641.0;-272.0;87.0;140.0;-729.0;?;663.0
-669.0;-757.0;81.0;148.0;-728.0;563.0;1142.0
-697.0;-1028.0;74.0;142.0;-727.0;562.0;1004.0
-725.0;-931.0;72.0;138.0;-726.0;561.0;984.0
-745.0;-881.0;68.0;141.0;-724.0;561.0;1011.0
-763.0;-888.0;60.0;136.0;-722.0;560.0;900.0
-774.0;-612.0;51.0;141.0;-720.0;560.0;844.0
-778.0;-764.0;41.0;143.0;-717.0;?;1159.0
-777.0;-910.0;34.0;131.0;-714.0;559.0;1462.0
-773.0;-857.0;28.0;116.0;-712.0;?;1451.0
-764.0;-440.0;23.0;118.0;-709.0;558.0;800.0
-759.0;-223.0;15.0;118.0;-707.0;556.0;524.0
-759.0;-245.0;7.0;133.0;-704.0;554.0;613.0
-761.0;-371.0;-1.0;154.0;-702.0;550.0;561.0
-768.0;-440.0;-10.0;161.0;-700.0;?;367.0
-774.0;-397.0;-16.0;128.0;-700.0;546.0;320.0
-778.0;-345.0;-12.0;106.0;?;547.0;366.0
-779.0;-301.0;-2.0;91.0;-704.0;549.0;345.0
?;-260.0;13.0;93.0;-706.0;552.0;273.0
-777.0;-288.0;31.0;124.0;-708.0;555.0;254.0
-776.0;-276.0;42.0;151.0;-709.0;559.0;226.0
-776.0;-280.0;54.0;155.0;-711.0;561.0;176.0
-775.0;?;56.0;151.0;-712.0;562.0;176.0
-775.0;-322.0;55.0;144.0;-713.0;563.0;180.0
-773.0;-331.0;?;138.0;-714.0;562.0;180.0
-772.0;-330.0;47.0;137.0;-715.0;?;?
-770.0;-317.0;38.0;141.0;-715.0;?;256.0
-767.0;-313.0;35.0;137.0;-716.0;561.0;300.0
-765.0;-323.0;31.0;145.0;-716.0;561.0;340.0
-763.0;-321.0;?;146.0;-716.0;560.0;341.0
-761.0;-340.0;21.0;132.0;-715.0;560.0;379.0
-758.0;-324.0;?;?;-714.0;560.0;?
-756.0;-311.0;16.0;114.0;-713.0;561.0;415.0
-753.0;-337.0;17.0;118.0;-712.0;561.0;427.0
-751.0;-329.0;16.0;130.0;-711.0;561.0;445.0
-749.0;-296.0;15.0;134.0;-710.0;560.0;386.0
-747.0;-284.0;17.0;?;-710.0;?;349.0
?;-272.0;20.0;123.0;-709.0;?;321.0
-747.0;-310.0;20.0;128.0;-709.0;558.0;314.0
-747.0;-331.0;20.0;?;-708.0;556.0;334.0
-750.0;-333.0;17.0;?;-709.0;554.0;?
-752.0;-366.0;20.0;127.0;-709.0;555.0;383.0
-754.0;-389.0;27.0;114.0;-710.0;556.0;352.0
-756.0;-376.0;35.0;120.0;-711.0;558.0;350.0
-757.0;-381.0;40.0;106.0;?;559.0;?
-759.0;-354.0;41.0;110.0;?;559.0;347.0
-760.0;-340.0;42.0;?;-710.0;558.0;304.0
-761.0;-335.0;36.0;130.0;-710.0;559.0;287.0
-762.0;-366.0;30.0;?;-710.0;?;387.0
?;-370.0;20.0;115.0;-708.0;559.0;422.0
?;-339.0;?;99.0;-708.0;?;334.0
-763.0;-311.0;9.0;105.0;-708.0;562.0;341.0
-762.0;-353.0;13.0;85.0;-708.0;566.0;357.0
-761.0;?;13.0;109.0;-707.0;567.0;351.0
-760.0;-331.0;12.0;128.0;-707.0;569.0;314.0
?;-280.0;15.0;149.0;-707.0;571.0;286.0
-758.0;-288.0;19.0;144.0;-708.0;572.0;346.0
-758.0;-333.0;?;124.0;-708.0;572.0;357.0
-757.0;?;20.0;122.0;-709.0;?;320.0
-756.0;?;23.0;132.0;?;571.0;359.0
-755.0;-340.0;?;130.0;-711.0;571.0;349.0
-755.0;-328.0;25.0;120.0;-711.0;570.0;339.0
-755.0;-334.0;26.0;114.0;-712.0;568.0;347.0
-756.0;-348.0;25.0;110.0;-712.0;?;380.0
