Accelerometer RKN_ accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit RUA gyroX;Accelerometer HIP accX;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE Nav_Ax;Accelerometer BACK accX;InertialMeasurementUnit BACK accY;InertialMeasurementUnit L-SHOE Body_Az;Accelerometer LH accZ;Accelerometer RWR accZ;Accelerometer BACK accY
22.0;-935.0;453.0;-48.0;-73.0;-2;40.0;-274.0;739;395.0;356.0;887.0
29.0;-970.0;-239.0;11.0;-122.0;9;38.0;-123.0;732;47.0;384.0;850.0
?;-878.0;-827.0;-37.0;137.0;12;16.0;-156.0;739;145.0;465.0;950.0
-15.0;-923.0;-632.0;-29.0;271.0;2;48.0;-249.0;740;-224.0;463.0;959.0
25.0;-907.0;-107.0;-10.0;350.0;-2;77.0;-216.0;736;18.0;479.0;?
?;-965.0;159.0;8.0;405.0;-4;?;-166.0;742;320.0;?;?
20.0;-1006.0;161.0;10.0;?;-1;-44.0;-178.0;740;391.0;489.0;960.0
-10.0;-996.0;-167.0;31.0;435.0;?;-68.0;-225.0;738;219.0;383.0;931.0
?;-1000.0;-257.0;34.0;567.0;-3;6.0;-226.0;?;398.0;322.0;886.0
-16.0;-992.0;-138.0;-5.0;579.0;1;28.0;-144.0;742;730.0;343.0;894.0
-2.0;-961.0;-47.0;-40.0;?;-1;28.0;-83.0;741;649.0;436.0;924.0
-5.0;-948.0;21.0;-51.0;381.0;?;?;-117.0;740;770.0;562.0;919.0
-10.0;-976.0;-160.0;?;468.0;-5;230.0;-198.0;747;-370.0;267.0;953.0
16.0;-977.0;-163.0;25.0;510.0;-6;?;-200.0;743;-775.0;353.0;954.0
-6.0;-977.0;-142.0;10.0;483.0;-6;227.0;-195.0;742;-1091.0;426.0;976.0
-11.0;-970.0;-203.0;37.0;524.0;-8;?;-187.0;744;-1087.0;501.0;980.0
-1.0;-963.0;-276.0;59.0;?;3;222.0;-204.0;734;-989.0;?;972.0
-20.0;?;-278.0;38.0;800.0;1;?;?;739;-853.0;486.0;?
-5.0;-977.0;-133.0;39.0;978.0;-6;144.0;-176.0;744;-768.0;463.0;?
23.0;-967.0;245.0;56.0;1024.0;1;215.0;-178.0;737;-704.0;470.0;1074.0
30.0;-966.0;?;79.0;979.0;0;261.0;-181.0;740;-633.0;491.0;1074.0
13.0;?;691.0;48.0;926.0;0;77.0;-187.0;742;-451.0;561.0;1053.0
19.0;-1021.0;721.0;39.0;?;4;172.0;-208.0;741;-410.0;627.0;1017.0
27.0;-1010.0;713.0;38.0;844.0;-6;114.0;-212.0;745;-226.0;650.0;1037.0
23.0;-1010.0;825.0;40.0;809.0;-7;?;-230.0;744;?;703.0;1004.0
28.0;-1008.0;900.0;33.0;763.0;1;102.0;-229.0;741;46.0;710.0;994.0
19.0;-1025.0;?;27.0;706.0;-3;101.0;-231.0;741;225.0;649.0;992.0
51.0;-989.0;980.0;31.0;651.0;-5;63.0;-221.0;738;328.0;635.0;1018.0
25.0;-973.0;1023.0;3.0;542.0;-2;9.0;-197.0;736;?;577.0;977.0
28.0;-985.0;998.0;-53.0;416.0;?;47.0;-204.0;741;308.0;540.0;961.0
22.0;-1032.0;813.0;-52.0;331.0;?;-67.0;-171.0;739;1369.0;493.0;838.0
20.0;-972.0;745.0;-39.0;222.0;1;11.0;-165.0;739;1458.0;474.0;836.0
10.0;-1041.0;529.0;-49.0;136.0;-3;37.0;-135.0;746;303.0;471.0;?
12.0;-948.0;169.0;3.0;96.0;1;113.0;-144.0;742;289.0;557.0;813.0
4.0;-898.0;-222.0;1.0;?;5;28.0;-136.0;735;?;627.0;859.0
-17.0;-922.0;-612.0;-60.0;202.0;4;51.0;-240.0;736;144.0;626.0;906.0
19.0;-906.0;-559.0;-16.0;417.0;2;45.0;-255.0;738;108.0;591.0;934.0
49.0;?;-161.0;-5.0;501.0;-4;?;-199.0;740;79.0;541.0;915.0
31.0;-970.0;134.0;-44.0;537.0;-5;38.0;-191.0;739;140.0;433.0;906.0
0.0;-980.0;70.0;-55.0;501.0;0;48.0;?;737;344.0;348.0;893.0
32.0;-955.0;-2.0;-32.0;489.0;-3;53.0;-193.0;?;520.0;367.0;882.0
26.0;-942.0;-10.0;-50.0;?;-3;59.0;-187.0;739;852.0;457.0;931.0
41.0;-955.0;2.0;-38.0;274.0;0;92.0;-166.0;?;1100.0;644.0;901.0
41.0;-976.0;-249.0;0.0;?;2;144.0;-175.0;734;-610.0;392.0;?
49.0;-980.0;-455.0;11.0;504.0;-3;208.0;-180.0;740;-394.0;360.0;894.0
39.0;-973.0;-482.0;21.0;659.0;-3;238.0;-182.0;744;-483.0;344.0;983.0
?;-986.0;-163.0;15.0;612.0;6;138.0;-129.0;740;-411.0;270.0;1085.0
-5.0;-921.0;379.0;-12.0;532.0;?;144.0;-170.0;?;112.0;?;994.0
4.0;-950.0;?;7.0;451.0;-4;139.0;-193.0;?;?;545.0;1018.0
-12.0;-1043.0;939.0;?;364.0;-1;167.0;-142.0;738;398.0;?;?
-35.0;-1026.0;473.0;41.0;437.0;-1;136.0;-204.0;736;631.0;974.0;1033.0
-15.0;-1008.0;274.0;22.0;?;3;73.0;-179.0;740;756.0;1349.0;1020.0
24.0;-1015.0;279.0;14.0;201.0;3;89.0;-194.0;740;636.0;1282.0;1001.0
60.0;-1035.0;9.0;34.0;387.0;0;142.0;-190.0;741;780.0;1306.0;980.0
31.0;-1027.0;-352.0;80.0;642.0;1;78.0;-158.0;734;?;1299.0;915.0
?;-1021.0;-63.0;29.0;586.0;-1;77.0;-143.0;741;669.0;1203.0;921.0
33.0;-989.0;-98.0;-10.0;?;-13;106.0;-200.0;741;510.0;1097.0;?
10.0;-1004.0;91.0;-26.0;789.0;3;81.0;-153.0;743;203.0;1161.0;907.0
10.0;-970.0;620.0;-39.0;715.0;?;93.0;-125.0;748;-141.0;?;860.0
-9.0;-975.0;737.0;-49.0;644.0;-16;163.0;-172.0;?;-211.0;994.0;810.0
9.0;-974.0;446.0;-92.0;708.0;?;?;-142.0;774;-150.0;1010.0;819.0
?;-966.0;461.0;-166.0;724.0;-54;?;-124.0;757;-75.0;972.0;796.0
29.0;-951.0;261.0;-234.0;664.0;123;81.0;-142.0;805;?;893.0;814.0
28.0;-948.0;?;-223.0;698.0;343;?;-156.0;992;154.0;820.0;874.0
62.0;-947.0;-230.0;-165.0;?;-38;61.0;-101.0;1020;212.0;791.0;875.0
11.0;-946.0;?;-134.0;?;-216;82.0;-75.0;946;223.0;684.0;868.0
20.0;-998.0;-478.0;-99.0;?;-120;64.0;-69.0;924;198.0;721.0;837.0
10.0;-1013.0;-446.0;-96.0;670.0;-31;33.0;-64.0;831;164.0;?;844.0
21.0;-1003.0;-320.0;-78.0;658.0;138;0.0;-67.0;663;148.0;579.0;851.0
-7.0;-979.0;-162.0;-99.0;611.0;?;-17.0;-57.0;708;71.0;563.0;865.0
-23.0;-958.0;19.0;-148.0;548.0;43;-26.0;-30.0;693;88.0;518.0;870.0
-14.0;-960.0;30.0;-160.0;514.0;80;-30.0;-11.0;484;101.0;529.0;?
32.0;-975.0;40.0;-135.0;492.0;-141;-28.0;10.0;787;155.0;536.0;874.0
33.0;-992.0;6.0;-93.0;473.0;-192;-38.0;?;1023;167.0;543.0;?
10.0;-987.0;-190.0;-61.0;455.0;-33;-20.0;18.0;875;95.0;497.0;?
19.0;-989.0;-370.0;-68.0;460.0;-45;?;21.0;971;63.0;523.0;906.0
24.0;-992.0;-459.0;-140.0;490.0;9;?;19.0;980;45.0;552.0;937.0
58.0;-989.0;-315.0;-188.0;492.0;40;88.0;15.0;924;56.0;582.0;882.0
11.0;?;-178.0;-196.0;491.0;-39;95.0;-13.0;973;38.0;607.0;882.0
16.0;-1031.0;-162.0;-164.0;490.0;-68;48.0;-37.0;884;1.0;?;832.0
19.0;-1017.0;-284.0;-107.0;?;-72;11.0;-79.0;859;-10.0;579.0;810.0
45.0;-993.0;?;?;520.0;-121;55.0;-92.0;?;1.0;620.0;843.0
58.0;-967.0;-94.0;-205.0;522.0;-140;68.0;-61.0;957;44.0;601.0;832.0
51.0;-947.0;?;-252.0;537.0;18;63.0;?;929;?;597.0;824.0
66.0;-951.0;151.0;-212.0;564.0;119;47.0;-32.0;?;58.0;576.0;817.0
?;-960.0;202.0;-218.0;557.0;81;27.0;-65.0;922;36.0;637.0;814.0
47.0;?;137.0;-171.0;535.0;52;44.0;-58.0;938;30.0;609.0;817.0
56.0;-963.0;47.0;-148.0;553.0;?;42.0;-50.0;905;34.0;582.0;842.0
87.0;-953.0;35.0;-140.0;560.0;-38;29.0;-32.0;888;68.0;?;840.0
108.0;-956.0;138.0;-136.0;543.0;?;?;-26.0;984;93.0;?;847.0
178.0;-962.0;143.0;-138.0;537.0;-53;19.0;-28.0;815;108.0;580.0;866.0
243.0;-972.0;127.0;-137.0;531.0;32;49.0;-26.0;1007;-1.0;575.0;853.0
262.0;-971.0;51.0;-147.0;520.0;-37;69.0;-27.0;803;133.0;571.0;837.0
273.0;-977.0;-77.0;-139.0;519.0;-123;89.0;-31.0;634;159.0;546.0;766.0
200.0;-976.0;-190.0;?;498.0;-137;126.0;-38.0;560;113.0;582.0;813.0
38.0;-950.0;?;-134.0;471.0;-447;?;-59.0;-923;108.0;571.0;503.0
?;-918.0;-505.0;-107.0;515.0;127;56.0;-72.0;854;172.0;483.0;944.0
-265.0;-890.0;-575.0;-98.0;520.0;599;224.0;-97.0;2303;51.0;606.0;1394.0
-193.0;?;-545.0;-174.0;520.0;58;454.0;-112.0;288;234.0;793.0;788.0
-107.0;-657.0;-210.0;-182.0;465.0;?;338.0;-21.0;639;?;612.0;1082.0
-59.0;-1609.0;-186.0;-14.0;495.0;71;143.0;-111.0;853;191.0;428.0;?
-30.0;-1096.0;-900.0;50.0;686.0;-2;122.0;-508.0;462;-97.0;?;?
15.0;-1049.0;-40.0;-194.0;493.0;29;80.0;-334.0;817;-293.0;?;?
?;-1023.0;163.0;-204.0;408.0;?;69.0;-183.0;691;-275.0;477.0;938.0
69.0;-849.0;?;-138.0;431.0;-27;59.0;-120.0;745;-216.0;534.0;914.0
-5.0;-906.0;617.0;?;374.0;-35;48.0;-76.0;742;-54.0;558.0;896.0
250.0;-1038.0;660.0;-24.0;347.0;-38;67.0;-69.0;709;-9.0;555.0;?
251.0;-1045.0;?;19.0;376.0;-23;58.0;-58.0;732;18.0;581.0;?
222.0;?;157.0;-39.0;378.0;-23;70.0;?;731;16.0;571.0;916.0
231.0;-971.0;-18.0;-80.0;407.0;-16;88.0;-72.0;728;60.0;582.0;924.0
292.0;-959.0;?;-87.0;469.0;-18;?;-64.0;737;?;617.0;929.0
260.0;-992.0;159.0;-64.0;504.0;-10;93.0;-69.0;732;139.0;613.0;910.0
264.0;-1006.0;251.0;-64.0;499.0;-13;86.0;-83.0;712;152.0;628.0;930.0
240.0;-1006.0;224.0;-80.0;528.0;-16;104.0;-95.0;752;152.0;662.0;909.0
331.0;-988.0;200.0;-79.0;562.0;0;96.0;-97.0;709;153.0;652.0;938.0
376.0;-983.0;209.0;-72.0;577.0;9;84.0;?;800;176.0;638.0;933.0
351.0;-992.0;288.0;-54.0;573.0;16;?;-100.0;973;?;637.0;947.0
344.0;-1004.0;283.0;-64.0;566.0;37;97.0;-97.0;826;?;659.0;988.0
284.0;-1009.0;272.0;-44.0;549.0;60;124.0;-92.0;774;166.0;656.0;990.0
280.0;-1010.0;181.0;-40.0;529.0;74;110.0;-85.0;870;150.0;629.0;952.0
?;-1026.0;158.0;-30.0;?;26;88.0;-90.0;781;115.0;591.0;915.0
290.0;-1073.0;183.0;-44.0;535.0;?;68.0;-105.0;791;60.0;588.0;914.0
253.0;-1053.0;129.0;-73.0;526.0;-90;67.0;-115.0;875;27.0;579.0;914.0
262.0;-998.0;126.0;-125.0;501.0;-71;66.0;-89.0;829;13.0;608.0;903.0
326.0;-970.0;47.0;-118.0;491.0;-66;70.0;-74.0;857;?;595.0;892.0
331.0;-968.0;?;-130.0;482.0;-68;74.0;-60.0;870;13.0;?;873.0
394.0;?;-50.0;-169.0;478.0;26;70.0;-62.0;872;52.0;570.0;843.0
97.0;?;-123.0;-178.0;473.0;91;74.0;-63.0;935;?;580.0;807.0
987.0;-964.0;?;-171.0;487.0;12;68.0;-67.0;928;51.0;561.0;839.0
?;-954.0;-416.0;-120.0;503.0;-19;56.0;-63.0;965;31.0;570.0;830.0
-705.0;?;-528.0;-81.0;511.0;4;64.0;-69.0;986;81.0;559.0;861.0
153.0;-941.0;-496.0;-104.0;?;-34;97.0;-58.0;950;149.0;561.0;863.0
?;-954.0;-406.0;-163.0;536.0;-82;99.0;-40.0;963;161.0;572.0;840.0
-46.0;-962.0;-174.0;-192.0;545.0;-85;110.0;-38.0;961;127.0;575.0;859.0
-91.0;-980.0;-54.0;-171.0;541.0;-49;83.0;-72.0;922;73.0;541.0;847.0
247.0;-968.0;?;-173.0;531.0;9;74.0;-77.0;922;21.0;547.0;850.0
179.0;-964.0;-117.0;?;510.0;42;95.0;-71.0;927;20.0;562.0;820.0
89.0;-959.0;?;-209.0;490.0;47;78.0;-69.0;963;?;?;847.0
98.0;?;-84.0;-172.0;497.0;19;67.0;-56.0;886;29.0;539.0;848.0
131.0;?;?;?;?;22;?;-53.0;957;?;523.0;857.0
131.0;-964.0;-45.0;-129.0;491.0;11;84.0;-55.0;929;50.0;540.0;846.0
131.0;-968.0;-21.0;-137.0;483.0;?;62.0;-50.0;779;58.0;537.0;850.0
118.0;?;85.0;-138.0;484.0;?;61.0;-42.0;?;79.0;558.0;?
?;-969.0;109.0;-158.0;484.0;-87;55.0;-45.0;510;91.0;?;840.0
95.0;-969.0;95.0;-129.0;479.0;8;100.0;-36.0;1248;81.0;547.0;870.0
101.0;-969.0;24.0;-136.0;486.0;-284;?;?;-32;72.0;550.0;821.0
145.0;-959.0;-62.0;-108.0;?;-366;195.0;-44.0;-646;78.0;562.0;822.0
164.0;-955.0;-116.0;-92.0;496.0;837;15.0;-63.0;5292;83.0;486.0;595.0
244.0;-955.0;-131.0;-80.0;494.0;?;319.0;-75.0;?;174.0;495.0;?
158.0;-914.0;-174.0;-305.0;503.0;-264;?;-115.0;-579;280.0;?;968.0
11.0;-764.0;-116.0;-168.0;478.0;11;219.0;-91.0;1272;324.0;579.0;768.0
?;-1190.0;40.0;64.0;391.0;-3;250.0;-9.0;616;203.0;415.0;768.0
102.0;-1226.0;-607.0;?;623.0;?;161.0;-502.0;636;-7.0;468.0;?
204.0;-984.0;60.0;-98.0;483.0;34;?;-276.0;917;-203.0;458.0;883.0
232.0;-940.0;-20.0;-308.0;334.0;-13;283.0;-201.0;575;?;531.0;?
?;?;-172.0;-388.0;364.0;23;203.0;-152.0;827;-94.0;621.0;823.0
294.0;-918.0;-6.0;-164.0;356.0;?;234.0;-177.0;689;-21.0;547.0;783.0
317.0;-1091.0;-122.0;-39.0;?;6;247.0;-295.0;735;-52.0;528.0;772.0
438.0;-986.0;-226.0;-71.0;?;6;265.0;-184.0;739;-74.0;?;846.0
470.0;-926.0;?;?;360.0;7;?;?;723;5.0;529.0;834.0
304.0;-904.0;-377.0;-144.0;362.0;-2;254.0;?;734;81.0;491.0;821.0
279.0;-929.0;-408.0;-109.0;405.0;8;?;-203.0;730;100.0;509.0;829.0
273.0;-963.0;-143.0;-103.0;409.0;6;225.0;-207.0;734;77.0;520.0;831.0
259.0;-963.0;36.0;-140.0;399.0;2;200.0;-205.0;733;60.0;538.0;848.0
?;-955.0;83.0;-139.0;?;3;197.0;-189.0;726;64.0;518.0;?
257.0;-953.0;162.0;-125.0;434.0;-18;203.0;?;753;91.0;529.0;888.0
247.0;-963.0;77.0;-130.0;428.0;21;208.0;-152.0;733;98.0;518.0;881.0
256.0;-977.0;-21.0;-118.0;454.0;-85;212.0;-157.0;791;93.0;558.0;911.0
249.0;-991.0;-55.0;-95.0;477.0;-318;220.0;-139.0;932;?;586.0;914.0
232.0;-993.0;-2.0;?;483.0;?;240.0;-133.0;910;144.0;598.0;942.0
232.0;-996.0;-7.0;?;507.0;?;240.0;-141.0;811;171.0;622.0;939.0
261.0;-1018.0;-4.0;-139.0;519.0;17;237.0;-144.0;827;125.0;602.0;891.0
291.0;-1020.0;9.0;-110.0;?;-80;208.0;-160.0;907;87.0;581.0;872.0
286.0;-1034.0;39.0;-146.0;542.0;-18;214.0;-171.0;890;63.0;579.0;854.0
257.0;-991.0;128.0;-176.0;534.0;-11;204.0;-151.0;812;78.0;574.0;858.0
323.0;-982.0;?;?;510.0;-52;166.0;-125.0;831;91.0;542.0;853.0
256.0;-969.0;211.0;-142.0;505.0;-67;118.0;?;898;61.0;550.0;842.0
367.0;-960.0;188.0;-118.0;495.0;-52;124.0;-132.0;898;97.0;550.0;843.0
11.0;?;?;-147.0;489.0;-20;?;-113.0;880;142.0;557.0;868.0
911.0;-958.0;190.0;?;495.0;20;?;-80.0;912;148.0;532.0;856.0
-1180.0;-965.0;?;-202.0;496.0;?;58.0;-59.0;924;154.0;557.0;?
-978.0;-976.0;159.0;-178.0;490.0;5;?;-66.0;912;119.0;?;?
711.0;-982.0;114.0;-154.0;494.0;39;72.0;-66.0;?;128.0;526.0;859.0
?;-990.0;107.0;-191.0;489.0;26;65.0;-63.0;941;58.0;507.0;831.0
?;-987.0;143.0;?;479.0;-29;59.0;-41.0;932;40.0;502.0;837.0
65.0;?;115.0;-150.0;473.0;-39;29.0;-41.0;936;2.0;?;829.0
23.0;-970.0;158.0;-182.0;459.0;-25;39.0;-37.0;935;4.0;530.0;839.0
62.0;-964.0;101.0;-187.0;471.0;-2;36.0;-33.0;939;39.0;553.0;847.0
151.0;-960.0;165.0;-186.0;478.0;?;43.0;-15.0;?;54.0;568.0;835.0
?;-965.0;172.0;-177.0;485.0;47;56.0;-11.0;913;?;570.0;843.0
71.0;-961.0;149.0;-186.0;497.0;35;51.0;-18.0;929;89.0;562.0;838.0
40.0;-963.0;141.0;-193.0;505.0;11;?;?;888;92.0;567.0;819.0
57.0;-968.0;126.0;-153.0;516.0;20;43.0;-25.0;919;61.0;562.0;?
107.0;-969.0;143.0;-150.0;525.0;27;?;-28.0;903;?;520.0;?
111.0;-953.0;104.0;-154.0;526.0;-15;34.0;-49.0;819;52.0;592.0;797.0
58.0;-962.0;227.0;?;526.0;-58;?;-38.0;987;73.0;528.0;?
32.0;-964.0;298.0;-93.0;508.0;-193;21.0;-22.0;528;?;?;753.0
36.0;-956.0;371.0;-164.0;?;-348;89.0;-7.0;?;87.0;539.0;832.0
97.0;-951.0;345.0;?;484.0;-306;72.0;13.0;236;77.0;557.0;576.0
167.0;-928.0;91.0;-112.0;474.0;?;139.0;11.0;-407;134.0;504.0;1226.0
113.0;-901.0;-118.0;?;468.0;-26;435.0;-36.0;512;269.0;682.0;778.0
78.0;-806.0;-348.0;-370.0;483.0;-25;512.0;-94.0;1036;319.0;763.0;910.0
15.0;?;-294.0;-79.0;447.0;-17;318.0;-15.0;607;?;453.0;768.0
102.0;-1294.0;-598.0;31.0;557.0;22;?;-334.0;756;68.0;486.0;?
232.0;-942.0;-705.0;-40.0;608.0;18;266.0;-526.0;703;-105.0;?;743.0
176.0;-969.0;?;-186.0;418.0;25;353.0;-356.0;712;-240.0;454.0;850.0
144.0;-883.0;-20.0;-324.0;395.0;27;241.0;-223.0;753;-194.0;507.0;856.0
208.0;-849.0;324.0;-326.0;397.0;26;210.0;-226.0;708;-33.0;541.0;?
264.0;-958.0;492.0;-164.0;309.0;21;235.0;-293.0;733;29.0;500.0;769.0
245.0;-1044.0;280.0;-127.0;302.0;-1;195.0;-227.0;717;-16.0;509.0;754.0
228.0;-967.0;?;?;338.0;4;191.0;-209.0;721;-20.0;507.0;806.0
262.0;-916.0;-6.0;-114.0;321.0;13;210.0;-207.0;726;53.0;486.0;813.0
257.0;-898.0;-333.0;-114.0;332.0;6;206.0;-169.0;733;74.0;462.0;821.0
282.0;-921.0;-413.0;-107.0;382.0;16;178.0;-159.0;727;100.0;468.0;810.0
283.0;-953.0;-198.0;-115.0;399.0;-3;?;-185.0;725;90.0;526.0;810.0
250.0;-953.0;12.0;-138.0;400.0;11;174.0;?;716;59.0;538.0;818.0
245.0;-951.0;186.0;-124.0;423.0;18;163.0;-168.0;722;53.0;548.0;838.0
?;-940.0;241.0;-114.0;428.0;-18;154.0;-150.0;?;?;562.0;859.0
311.0;-950.0;98.0;-84.0;437.0;11;166.0;-150.0;727;99.0;561.0;898.0
285.0;-953.0;?;-99.0;461.0;-48;168.0;-144.0;760;121.0;593.0;899.0
262.0;-972.0;68.0;-127.0;479.0;77;143.0;-132.0;706;139.0;597.0;885.0
293.0;-986.0;106.0;-136.0;497.0;20;?;-137.0;799;85.0;587.0;897.0
290.0;-992.0;135.0;-137.0;519.0;-233;163.0;-145.0;988;108.0;609.0;910.0
297.0;-991.0;139.0;-129.0;525.0;225;160.0;-145.0;812;111.0;619.0;921.0
321.0;-995.0;?;?;522.0;488;177.0;-137.0;737;91.0;622.0;884.0
235.0;-1008.0;22.0;-132.0;533.0;129;165.0;-144.0;775;91.0;592.0;?
?;?;-4.0;?;547.0;-17;164.0;-146.0;784;90.0;609.0;850.0
175.0;-1015.0;-40.0;-65.0;551.0;-49;157.0;?;890;92.0;579.0;851.0
266.0;-980.0;-50.0;-108.0;535.0;-118;147.0;-146.0;891;85.0;589.0;828.0
270.0;-979.0;?;-123.0;?;-74;?;-118.0;893;70.0;547.0;861.0
279.0;-978.0;86.0;-103.0;?;-65;115.0;-119.0;893;91.0;524.0;843.0
432.0;-959.0;94.0;-124.0;506.0;-64;115.0;-120.0;879;?;538.0;846.0
124.0;-978.0;52.0;-180.0;503.0;9;96.0;-105.0;895;103.0;529.0;867.0
93.0;-965.0;69.0;-208.0;510.0;?;86.0;?;900;119.0;550.0;846.0
56.0;-957.0;148.0;-240.0;500.0;36;84.0;-95.0;919;74.0;536.0;827.0
-298.0;-973.0;134.0;-213.0;484.0;34;77.0;-73.0;920;76.0;518.0;829.0
-155.0;-967.0;17.0;-130.0;480.0;52;74.0;-86.0;?;107.0;497.0;810.0
?;-964.0;-97.0;-72.0;479.0;57;65.0;-77.0;916;71.0;501.0;808.0
-12.0;?;-106.0;-96.0;474.0;15;47.0;-68.0;907;100.0;535.0;833.0
57.0;-955.0;-17.0;-168.0;?;-7;23.0;-55.0;931;81.0;552.0;844.0
99.0;-957.0;174.0;?;472.0;-4;13.0;-35.0;953;112.0;500.0;834.0
102.0;-971.0;314.0;-225.0;473.0;-27;18.0;-27.0;944;109.0;?;814.0
40.0;?;282.0;-215.0;484.0;-62;44.0;-20.0;937;?;552.0;825.0
63.0;-977.0;192.0;?;480.0;-51;33.0;?;962;64.0;?;836.0
93.0;-958.0;-53.0;-176.0;501.0;-106;?;?;944;33.0;553.0;831.0
98.0;-955.0;-167.0;-170.0;516.0;-48;69.0;-28.0;917;77.0;571.0;828.0
85.0;-959.0;-86.0;-163.0;526.0;88;69.0;-42.0;905;?;569.0;813.0
52.0;-972.0;57.0;-199.0;524.0;25;77.0;-9.0;897;57.0;544.0;800.0
7.0;-959.0;70.0;-183.0;505.0;243;78.0;-43.0;1020;19.0;536.0;?
13.0;-947.0;-94.0;-173.0;517.0;-159;93.0;-53.0;805;52.0;547.0;831.0
52.0;-945.0;-103.0;-146.0;502.0;78;59.0;-46.0;891;16.0;512.0;809.0
126.0;-958.0;-1.0;-132.0;504.0;-214;83.0;-51.0;632;-4.0;533.0;827.0
131.0;-955.0;126.0;-147.0;508.0;?;?;-68.0;-12;-6.0;535.0;718.0
183.0;-940.0;173.0;-162.0;486.0;554;105.0;?;216;?;535.0;660.0
?;-925.0;164.0;-125.0;469.0;-3346;153.0;-64.0;-942;216.0;444.0;933.0
243.0;?;29.0;-137.0;471.0;-3927;567.0;-101.0;?;253.0;692.0;943.0
?;-752.0;-130.0;-248.0;470.0;549;446.0;-128.0;963;325.0;655.0;874.0
145.0;-1044.0;-14.0;95.0;408.0;0;339.0;-56.0;?;254.0;458.0;736.0
267.0;-1076.0;-369.0;12.0;507.0;-207;?;-379.0;655;46.0;501.0;738.0
?;-980.0;-269.0;-83.0;544.0;223;288.0;-511.0;826;-153.0;472.0;?
136.0;-966.0;?;-215.0;385.0;-200;326.0;-319.0;650;-168.0;497.0;861.0
?;-843.0;319.0;-235.0;368.0;119;205.0;?;778;-27.0;576.0;877.0
172.0;-891.0;545.0;-121.0;361.0;-41;182.0;-239.0;716;59.0;566.0;?
237.0;-1019.0;539.0;-2.0;326.0;?;192.0;?;731;?;535.0;782.0
284.0;-1026.0;?;-45.0;340.0;14;?;-203.0;738;13.0;572.0;811.0
