InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Ay;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ax
30.0;35.0;926.0;2;374.0;22;3;661;3;14
35.0;83.0;920.0;0;345.0;24;-23;649;-23;10
-22.0;5.0;917.0;3;383.0;16;-14;669;-14;21
-13.0;-10.0;819.0;2;531.0;11;-11;745;-11;19
355.0;-124.0;935.0;-3;447.0;16;4;670;4;22
199.0;-166.0;929.0;2;355.0;21;-8;665;-8;28
82.0;-41.0;990.0;4;388.0;4;35;709;35;12
-17.0;20.0;923.0;-7;392.0;18;8;667;8;12
1281.0;-757.0;912.0;-9;412.0;21;-13;668;-13;24
431.0;-837.0;1133.0;-105;455.0;1269;-856;97;-856;596
-5.0;-24.0;917.0;-4;383.0;22;0;663;0;15
592.0;154.0;918.0;-16;338.0;13;14;654;14;-5
12.0;139.0;949.0;130;439.0;19;73;670;73;23
-135.0;104.0;791.0;0;418.0;21;-14;681;-14;39
-46.0;-4.0;791.0;-1;453.0;19;-22;739;-22;16
-69.0;36.0;843.0;1;356.0;13;5;748;5;16
88.0;325.0;924.0;-4;514.0;10;7;752;7;5
-453.0;310.0;908.0;-11;602.0;32;-39;682;-39;18
73.0;-18.0;861.0;-1;451.0;15;-1;744;-1;21
26.0;-37.0;865.0;-1;536.0;17;1;742;1;21
113.0;42.0;832.0;2;516.0;17;-5;746;-5;22
-796.0;801.0;937.0;-2038;341.0;13;-55;645;-55;35
137.0;473.0;896.0;9;384.0;-27;181;791;181;6
-83.0;29.0;956.0;7;412.0;23;-24;656;-24;9
-16.0;5.0;954.0;3;430.0;19;11;656;11;12
13.0;-144.0;927.0;3;447.0;15;8;748;8;28
30.0;-21.0;938.0;1;446.0;14;1;674;1;29
677.0;4.0;964.0;8;705.0;17;-10;668;-10;34
297.0;-70.0;929.0;98;538.0;10;-128;657;-128;32
196.0;-45.0;928.0;4;304.0;18;-9;651;-9;16
492.0;-131.0;979.0;367;429.0;23;-27;670;-27;72
278.0;134.0;958.0;5;473.0;20;4;658;4;15
11.0;28.0;945.0;-1;466.0;17;0;751;0;25
-4.0;64.0;915.0;6;430.0;21;-10;650;-10;11
13.0;-18.0;916.0;2;370.0;20;-8;660;-8;3
26.0;17.0;945.0;-2;333.0;19;-11;656;-11;3
-15.0;52.0;967.0;-1;503.0;8;-82;759;-82;19
-9.0;-17.0;936.0;-2;478.0;13;-13;756;-13;26
39.0;-43.0;918.0;-2;414.0;17;1;664;1;34
288.0;-266.0;882.0;-3;308.0;27;47;646;47;12
45.0;11.0;919.0;2;435.0;18;-4;662;-4;46
104.0;372.0;935.0;-591;440.0;27;-22;642;-22;36
12.0;-16.0;952.0;-6;455.0;4;-7;761;-7;21
-28.0;-57.0;908.0;0;416.0;19;0;649;0;9
49.0;-18.0;957.0;-6;456.0;18;-13;750;-13;29
-479.0;-464.0;896.0;0;446.0;12;-29;655;-29;4
29.0;21.0;901.0;-3;454.0;20;6;646;6;6
-19.0;-4.0;946.0;1;570.0;17;-17;653;-17;13
131.0;93.0;907.0;-4;400.0;13;-2;759;-2;6
-22.0;-9.0;948.0;-2;459.0;10;-3;759;-3;26
47.0;25.0;957.0;0;399.0;16;-15;656;-15;7
187.0;-23.0;1228.0;-388;498.0;-1814;-805;2824;-805;-159
32.0;-19.0;957.0;-6;441.0;9;-3;758;-3;21
-12.0;-11.0;963.0;0;451.0;14;-4;754;-4;26
-274.0;563.0;985.0;1766;449.0;10;-35;726;-35;65
15.0;4.0;926.0;3;520.0;15;-1;747;-1;28
56.0;86.0;937.0;0;313.0;19;5;664;5;24
369.0;64.0;1005.0;-375;486.0;27;-52;669;-52;38
-22.0;-54.0;942.0;7;325.0;18;-25;675;-25;19
47.0;-18.0;919.0;-1;521.0;17;4;748;4;25
33.0;-19.0;935.0;1;543.0;12;7;752;7;31
-393.0;107.0;1118.0;117;516.0;-299;87;1074;87;69
-37.0;-27.0;851.0;-8;504.0;17;14;741;14;18
11.0;0.0;843.0;-2;459.0;22;0;740;0;22
-1088.0;-271.0;835.0;197;292.0;-221;587;1329;587;745
7.0;-9.0;910.0;2;551.0;15;-6;748;-6;21
-30.0;154.0;854.0;-29;732.0;20;-18;667;-18;-9
426.0;-125.0;1156.0;660;732.0;-76;77;755;77;126
-2.0;83.0;964.0;-2;319.0;17;-2;660;-2;14
37.0;-1.0;846.0;7;507.0;17;19;740;19;29
9.0;11.0;871.0;3;496.0;15;2;743;2;22
9.0;-25.0;954.0;5;495.0;12;2;755;2;27
-5.0;-22.0;956.0;4;486.0;14;-19;755;-19;29
9.0;-13.0;928.0;-1;498.0;13;0;760;0;25
-8.0;-7.0;860.0;3;469.0;13;-4;746;-4;23
32.0;4.0;862.0;6;447.0;13;-31;746;-31;26
151.0;-20.0;899.0;7;327.0;22;17;685;17;35
-70.0;71.0;908.0;0;494.0;12;-22;750;-22;28
98.0;-13.0;782.0;1;437.0;21;-10;661;-10;0
-27.0;15.0;671.0;60;282.0;19;38;669;38;36
174.0;-19.0;667.0;1;247.0;19;-12;666;-12;40
1.0;4.0;924.0;-1;544.0;12;-8;751;-8;28
-181.0;-194.0;1030.0;144;736.0;18;30;685;30;43
-262.0;127.0;989.0;-27;655.0;15;6;667;6;9
-60.0;-32.0;973.0;-12;572.0;14;1;708;1;35
67.0;-286.0;946.0;-7;570.0;15;16;656;16;1
98.0;-32.0;926.0;-6;536.0;16;-34;746;-34;25
-25.0;25.0;918.0;-5;386.0;13;-29;757;-29;13
22.0;-11.0;956.0;2;317.0;21;19;654;19;13
1.0;7.0;967.0;1;356.0;17;-11;658;-11;9
21.0;-66.0;923.0;5;468.0;12;-4;750;-4;22
-218.0;-78.0;937.0;3;638.0;9;-13;755;-13;7
146.0;-88.0;840.0;4;754.0;11;-11;670;-11;-20
423.0;-747.0;975.0;42;302.0;-31;-1719;1104;-1719;339
175.0;129.0;952.0;-5;710.0;13;-6;830;-6;52
-3.0;-65.0;921.0;-1;409.0;12;-1;757;-1;9
-394.0;-414.0;790.0;-189;123.0;-185;908;1313;908;-394
365.0;-510.0;943.0;-6;487.0;14;6;673;6;9
-65.0;275.0;1021.0;-53;543.0;19;-6;664;-6;34
-20.0;-168.0;1311.0;193;616.0;-274;-289;1050;-289;460
-125.0;-160.0;935.0;-12;410.0;19;1;653;1;8
7.0;93.0;928.0;2;461.0;8;19;763;19;11
0.0;62.0;911.0;7;438.0;12;-12;668;-12;21
-297.0;27.0;999.0;-390;555.0;22;-17;653;-17;35
-12.0;-23.0;950.0;2;488.0;11;19;761;19;28
39.0;-111.0;1005.0;-1201;494.0;20;-16;659;-16;-6
77.0;-6.0;809.0;-149;363.0;-346;3151;1157;3151;-22
38.0;0.0;927.0;2;541.0;5;38;753;38;25
43.0;54.0;959.0;1;500.0;11;-9;759;-9;23
25.0;-15.0;949.0;0;494.0;15;-5;754;-5;24
2.0;-13.0;946.0;1;510.0;15;-31;757;-31;27
9.0;1.0;946.0;1;505.0;15;-16;752;-16;25
21.0;-4.0;948.0;-1;492.0;12;-22;754;-22;23
12.0;6.0;938.0;1;493.0;13;-13;758;-13;23
33.0;-41.0;911.0;4;341.0;15;23;660;23;13
32.0;-7.0;927.0;4;324.0;15;-1;656;-1;7
32.0;4.0;938.0;-1;495.0;14;-1;757;-1;33
11.0;35.0;947.0;-2;488.0;14;-2;757;-2;31
7.0;4.0;939.0;-3;494.0;13;-22;754;-22;24
36.0;0.0;932.0;-1;521.0;12;-21;752;-21;28
8.0;-22.0;947.0;0;508.0;7;-17;761;-17;23
-6.0;-26.0;918.0;0;522.0;15;-18;749;-18;22
-476.0;-38.0;936.0;-1;406.0;20;-39;661;-39;34
4.0;4.0;939.0;1;529.0;10;22;753;22;26
30.0;23.0;939.0;3;352.0;18;18;656;18;9
24.0;-1.0;926.0;4;497.0;15;-8;753;-8;32
26.0;-10.0;948.0;-1;492.0;13;13;753;13;24
-35.0;-11.0;929.0;4;508.0;16;-9;744;-9;25
128.0;-118.0;934.0;-1;315.0;110;159;120;159;67
156.0;516.0;923.0;13;341.0;10;4;678;4;40
1.0;0.0;935.0;2;496.0;12;-12;756;-12;23
-13.0;52.0;974.0;-195;606.0;-3;-163;682;-163;27
22.0;-9.0;948.0;-2;503.0;10;9;758;9;26
17.0;22.0;939.0;1;377.0;16;-20;656;-20;16
104.0;-6.0;979.0;-6;409.0;17;3;676;3;21
-4.0;-49.0;930.0;2;445.0;12;27;751;27;22
-10.0;4.0;944.0;-5;333.0;21;-19;654;-19;15
14.0;-7.0;927.0;-2;482.0;15;9;755;9;26
32.0;-12.0;950.0;4;496.0;16;-14;751;-14;24
35.0;-14.0;941.0;6;495.0;18;-24;749;-24;23
23.0;-18.0;939.0;5;495.0;16;-14;753;-14;26
-11.0;-9.0;934.0;0;532.0;14;5;751;5;29
2.0;-16.0;956.0;1;492.0;13;-6;755;-6;24
-33.0;-9.0;931.0;0;323.0;16;-5;656;-5;6
71.0;-35.0;925.0;5;292.0;24;-23;661;-23;38
-26.0;12.0;899.0;-3;344.0;16;-5;659;-5;8
5.0;-2.0;933.0;-3;313.0;20;5;652;5;13
70.0;-24.0;921.0;5;337.0;18;-14;657;-14;13
40.0;-42.0;931.0;-5;327.0;20;-1;653;-1;17
38.0;-18.0;918.0;-1;350.0;18;-4;655;-4;16
63.0;-16.0;937.0;3;330.0;19;8;658;8;7
26.0;12.0;909.0;-2;357.0;22;-4;657;-4;18
61.0;1.0;958.0;-1;336.0;20;-13;651;-13;13
11.0;-18.0;932.0;2;303.0;15;-3;658;-3;10
-232.0;169.0;948.0;4;398.0;18;-7;673;-7;36
20.0;8.0;936.0;4;506.0;17;-4;753;-4;27
-15.0;43.0;930.0;-1;367.0;24;18;655;18;18
-2.0;88.0;926.0;-3;365.0;24;3;663;3;14
-13.0;29.0;937.0;-2;390.0;25;3;654;3;16
7.0;0.0;934.0;2;352.0;22;10;653;10;16
-18.0;30.0;926.0;4;358.0;23;-10;652;-10;23
-6.0;14.0;947.0;-1;492.0;10;18;757;18;30
-79.0;64.0;947.0;4;323.0;13;-7;660;-7;10
9.0;8.0;946.0;-2;497.0;16;-15;752;-15;23
-14.0;14.0;949.0;5;317.0;17;-6;655;-6;11
26.0;22.0;935.0;4;303.0;21;-15;667;-15;11
30.0;19.0;923.0;1;352.0;17;-15;657;-15;12
-27.0;-8.0;934.0;0;332.0;22;30;652;30;9
33.0;25.0;934.0;6;320.0;21;19;655;19;9
18.0;16.0;921.0;-1;303.0;21;-7;656;-7;15
-2.0;2.0;928.0;1;500.0;16;-8;751;-8;16
34.0;-18.0;932.0;3;495.0;12;-5;754;-5;26
193.0;-143.0;1360.0;506;294.0;-1025;-548;1656;-548;2147
75.0;-171.0;873.0;-262;318.0;-1288;-2042;1995;-2042;276
18.0;-61.0;938.0;3;330.0;25;6;649;6;17
20.0;-127.0;960.0;0;631.0;10;8;752;8;6
29.0;11.0;903.0;5;331.0;22;11;656;11;19
