InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
660.0;372.0;-279.0;554.0;100.0;-609.0;-439.0
672.0;371.0;-277.0;541.0;117.0;-619.0;-422.0
257.0;374.0;-276.0;-148.0;684.0;-285.0;205.0
259.0;373.0;-275.0;-133.0;692.0;?;198.0
259.0;373.0;-274.0;-107.0;698.0;?;184.0
?;372.0;-273.0;-59.0;698.0;-254.0;159.0
249.0;372.0;-271.0;0.0;692.0;-234.0;122.0
238.0;374.0;-269.0;65.0;680.0;-212.0;79.0
223.0;374.0;-272.0;164.0;?;-183.0;32.0
205.0;373.0;-273.0;285.0;623.0;-148.0;-12.0
183.0;373.0;-276.0;427.0;571.0;-115.0;-53.0
166.0;373.0;-280.0;546.0;?;-83.0;-89.0
154.0;371.0;-282.0;?;441.0;-47.0;-119.0
152.0;368.0;?;671.0;?;-11.0;-145.0
153.0;366.0;-292.0;649.0;321.0;17.0;-172.0
144.0;365.0;?;563.0;262.0;34.0;-196.0
139.0;?;-302.0;459.0;203.0;?;-220.0
132.0;360.0;-307.0;347.0;149.0;49.0;?
130.0;?;-312.0;249.0;99.0;45.0;-275.0
130.0;355.0;-318.0;180.0;58.0;40.0;-297.0
132.0;354.0;-323.0;124.0;29.0;35.0;-316.0
134.0;353.0;-328.0;103.0;10.0;28.0;-330.0
136.0;?;-333.0;94.0;0.0;?;-337.0
139.0;350.0;-336.0;85.0;0.0;4.0;-338.0
140.0;345.0;-339.0;83.0;?;-8.0;-335.0
137.0;341.0;-339.0;102.0;19.0;-13.0;-329.0
131.0;337.0;-339.0;135.0;33.0;-15.0;-322.0
122.0;332.0;-338.0;176.0;47.0;-15.0;-316.0
115.0;?;-336.0;225.0;63.0;-19.0;-312.0
109.0;321.0;-334.0;273.0;78.0;-26.0;-310.0
105.0;314.0;-332.0;323.0;91.0;-36.0;-306.0
104.0;309.0;-331.0;357.0;101.0;-50.0;-302.0
105.0;303.0;-329.0;380.0;?;-63.0;-298.0
107.0;299.0;-329.0;402.0;?;-74.0;-292.0
109.0;297.0;-330.0;419.0;125.0;-81.0;-285.0
110.0;296.0;-331.0;428.0;130.0;-84.0;-279.0
?;295.0;-332.0;439.0;133.0;-83.0;-275.0
?;296.0;-334.0;449.0;133.0;-78.0;-274.0
103.0;297.0;-336.0;451.0;129.0;-70.0;-273.0
100.0;298.0;-336.0;450.0;?;-61.0;-271.0
94.0;299.0;-336.0;440.0;117.0;-50.0;-271.0
88.0;298.0;-335.0;?;111.0;-38.0;-273.0
82.0;297.0;-335.0;418.0;104.0;-25.0;?
77.0;297.0;-334.0;403.0;98.0;-11.0;?
75.0;297.0;-334.0;389.0;93.0;2.0;-283.0
74.0;297.0;-332.0;371.0;89.0;12.0;?
?;?;-331.0;351.0;87.0;19.0;-287.0
?;298.0;-330.0;332.0;88.0;22.0;-289.0
71.0;?;-329.0;321.0;89.0;23.0;-290.0
75.0;301.0;-328.0;?;92.0;20.0;-290.0
81.0;303.0;-329.0;?;?;13.0;-289.0
88.0;306.0;-329.0;288.0;98.0;2.0;-287.0
98.0;309.0;-331.0;285.0;103.0;?;-283.0
107.0;314.0;-333.0;283.0;110.0;-23.0;-277.0
?;318.0;-335.0;286.0;119.0;-28.0;-270.0
120.0;322.0;-337.0;296.0;130.0;-29.0;?
119.0;326.0;-339.0;312.0;143.0;-31.0;-253.0
120.0;?;-342.0;331.0;155.0;-33.0;-244.0
122.0;328.0;?;344.0;168.0;-41.0;-243.0
131.0;332.0;-352.0;357.0;176.0;?;-230.0
131.0;343.0;-351.0;365.0;181.0;-41.0;?
129.0;349.0;?;364.0;186.0;-39.0;?
129.0;352.0;-342.0;361.0;187.0;-41.0;-212.0
122.0;?;-339.0;356.0;187.0;-42.0;-216.0
110.0;348.0;-336.0;?;185.0;-40.0;-221.0
103.0;342.0;-335.0;?;179.0;-33.0;-225.0
100.0;338.0;-334.0;426.0;172.0;-23.0;-226.0
97.0;336.0;-333.0;442.0;167.0;-18.0;-227.0
?;?;-332.0;440.0;165.0;-16.0;-228.0
88.0;334.0;-331.0;448.0;166.0;-11.0;-229.0
86.0;333.0;?;456.0;?;?;-231.0
86.0;332.0;-329.0;460.0;?;0.0;-235.0
88.0;332.0;-328.0;465.0;149.0;2.0;?
91.0;332.0;-327.0;?;141.0;2.0;?
93.0;330.0;-325.0;448.0;134.0;2.0;-246.0
95.0;329.0;-323.0;435.0;?;?;-251.0
?;327.0;-321.0;428.0;123.0;6.0;-255.0
97.0;326.0;-319.0;424.0;119.0;10.0;-258.0
97.0;324.0;-317.0;414.0;116.0;13.0;-261.0
95.0;322.0;-316.0;406.0;114.0;17.0;-263.0
93.0;320.0;-314.0;394.0;110.0;?;-265.0
90.0;317.0;-313.0;?;107.0;23.0;-268.0
88.0;315.0;?;380.0;105.0;25.0;-271.0
83.0;313.0;-310.0;374.0;104.0;27.0;-273.0
?;310.0;-310.0;376.0;?;29.0;-275.0
74.0;306.0;-311.0;377.0;105.0;31.0;-277.0
70.0;304.0;-312.0;383.0;105.0;33.0;-278.0
65.0;302.0;-315.0;392.0;106.0;33.0;-278.0
62.0;300.0;-319.0;400.0;109.0;?;-277.0
59.0;299.0;-322.0;?;?;32.0;-276.0
58.0;299.0;-327.0;418.0;?;30.0;-274.0
56.0;298.0;-330.0;427.0;129.0;30.0;-274.0
54.0;?;-334.0;435.0;133.0;30.0;-274.0
54.0;300.0;-336.0;444.0;134.0;31.0;-275.0
?;301.0;-338.0;?;134.0;31.0;-274.0
54.0;303.0;-339.0;450.0;135.0;29.0;-273.0
54.0;304.0;-340.0;451.0;?;28.0;-271.0
54.0;?;-341.0;452.0;135.0;27.0;-270.0
55.0;?;-342.0;452.0;134.0;26.0;-269.0
57.0;309.0;-342.0;450.0;134.0;26.0;-267.0
59.0;311.0;-342.0;445.0;135.0;24.0;-265.0
62.0;313.0;-342.0;440.0;136.0;23.0;-264.0
65.0;316.0;-342.0;437.0;138.0;?;-264.0
68.0;318.0;-342.0;431.0;139.0;21.0;-262.0
72.0;321.0;-342.0;427.0;141.0;18.0;-259.0
78.0;324.0;-342.0;421.0;144.0;13.0;-256.0
84.0;329.0;-342.0;415.0;?;8.0;-253.0
91.0;334.0;?;409.0;151.0;?;-249.0
98.0;340.0;-344.0;404.0;155.0;-7.0;-246.0
106.0;344.0;-345.0;398.0;160.0;-18.0;-245.0
118.0;346.0;?;?;164.0;-26.0;-243.0
122.0;348.0;-344.0;389.0;164.0;-24.0;-229.0
116.0;354.0;-345.0;384.0;165.0;-22.0;-232.0
113.0;360.0;?;385.0;165.0;-22.0;-235.0
106.0;364.0;-348.0;390.0;170.0;-17.0;-236.0
99.0;368.0;-350.0;405.0;?;-14.0;-236.0
99.0;370.0;-350.0;427.0;?;?;-231.0
?;373.0;-353.0;442.0;167.0;-12.0;-226.0
99.0;377.0;-356.0;443.0;164.0;-18.0;-226.0
100.0;382.0;-359.0;443.0;166.0;-23.0;-225.0
?;385.0;-360.0;?;174.0;-24.0;-223.0
106.0;387.0;-361.0;453.0;?;?;-224.0
107.0;388.0;-362.0;459.0;189.0;?;?
?;389.0;-361.0;?;191.0;-15.0;-228.0
105.0;388.0;-361.0;464.0;191.0;-9.0;-230.0
105.0;389.0;-360.0;460.0;191.0;-4.0;-230.0
107.0;389.0;?;453.0;191.0;-2.0;-230.0
110.0;389.0;-361.0;449.0;190.0;-1.0;-230.0
113.0;389.0;-361.0;435.0;188.0;-2.0;-231.0
?;389.0;-362.0;426.0;185.0;-2.0;-232.0
119.0;388.0;-362.0;411.0;182.0;-3.0;-234.0
?;386.0;-361.0;399.0;178.0;-4.0;-235.0
122.0;384.0;-360.0;387.0;175.0;-3.0;-237.0
121.0;382.0;-360.0;374.0;169.0;-2.0;-240.0
119.0;378.0;-359.0;364.0;164.0;1.0;-246.0
115.0;372.0;-358.0;?;159.0;4.0;-250.0
?;366.0;-357.0;352.0;156.0;9.0;-254.0
104.0;359.0;-355.0;351.0;152.0;14.0;-256.0
96.0;351.0;-354.0;?;149.0;19.0;-260.0
88.0;344.0;-353.0;356.0;145.0;24.0;-262.0
81.0;336.0;?;362.0;?;28.0;-265.0
76.0;329.0;-352.0;369.0;141.0;?;-267.0
71.0;322.0;-352.0;374.0;140.0;31.0;?
66.0;316.0;-351.0;382.0;139.0;?;-273.0
60.0;?;-348.0;393.0;138.0;34.0;-276.0
53.0;305.0;-346.0;405.0;?;37.0;-279.0
48.0;300.0;-343.0;415.0;132.0;39.0;-281.0
42.0;296.0;?;429.0;129.0;43.0;-283.0
?;?;-338.0;442.0;125.0;46.0;-286.0
32.0;291.0;-337.0;453.0;123.0;?;-288.0
30.0;?;-335.0;464.0;120.0;49.0;-290.0
30.0;289.0;-333.0;470.0;118.0;49.0;-291.0
31.0;289.0;-332.0;473.0;117.0;48.0;-292.0
34.0;290.0;-329.0;476.0;116.0;48.0;?
36.0;289.0;-327.0;477.0;115.0;49.0;-295.0
36.0;289.0;-324.0;?;114.0;51.0;-298.0
37.0;289.0;-322.0;475.0;113.0;?;-301.0
?;291.0;-321.0;?;113.0;52.0;-303.0
44.0;295.0;-321.0;?;114.0;48.0;-302.0
51.0;?;-323.0;467.0;118.0;41.0;-298.0
61.0;309.0;-325.0;457.0;124.0;31.0;-292.0
72.0;?;-329.0;?;133.0;?;-288.0
84.0;325.0;-327.0;443.0;137.0;14.0;-273.0
87.0;337.0;-324.0;434.0;142.0;11.0;-263.0
89.0;342.0;-319.0;?;?;9.0;?
?;345.0;-315.0;?;148.0;10.0;-262.0
78.0;?;-312.0;422.0;?;16.0;-264.0
?;346.0;-310.0;435.0;150.0;20.0;-266.0
71.0;343.0;?;458.0;146.0;?;-264.0
64.0;340.0;-303.0;467.0;142.0;29.0;-262.0
59.0;338.0;?;482.0;140.0;29.0;-261.0
56.0;336.0;-303.0;496.0;144.0;30.0;-258.0
54.0;335.0;-304.0;506.0;152.0;29.0;?
55.0;335.0;-304.0;512.0;160.0;28.0;-255.0
56.0;335.0;-304.0;515.0;163.0;29.0;-257.0
56.0;334.0;-303.0;518.0;160.0;30.0;-259.0
55.0;333.0;?;520.0;?;32.0;-262.0
56.0;333.0;-304.0;517.0;151.0;36.0;-263.0
57.0;333.0;-305.0;513.0;147.0;?;-264.0
58.0;333.0;-306.0;507.0;143.0;41.0;-265.0
60.0;334.0;-307.0;502.0;137.0;43.0;-267.0
60.0;335.0;-309.0;492.0;131.0;44.0;-269.0
62.0;335.0;-310.0;480.0;126.0;45.0;-273.0
64.0;336.0;-312.0;466.0;123.0;45.0;-275.0
65.0;336.0;-313.0;451.0;122.0;?;-276.0
65.0;?;-315.0;435.0;121.0;46.0;-277.0
64.0;333.0;-315.0;423.0;?;49.0;-277.0
62.0;331.0;-315.0;410.0;121.0;51.0;-278.0
61.0;328.0;-316.0;400.0;122.0;53.0;-279.0
57.0;324.0;-315.0;393.0;123.0;56.0;-281.0
53.0;320.0;?;384.0;123.0;60.0;-282.0
50.0;315.0;-313.0;383.0;124.0;63.0;-282.0
46.0;311.0;-312.0;?;125.0;65.0;-283.0
41.0;306.0;-311.0;383.0;125.0;67.0;-285.0
37.0;301.0;-311.0;390.0;125.0;68.0;-287.0
33.0;297.0;-310.0;400.0;124.0;68.0;?
29.0;293.0;-309.0;410.0;124.0;69.0;-289.0
23.0;288.0;-307.0;421.0;124.0;70.0;-289.0
18.0;283.0;-305.0;437.0;124.0;72.0;-292.0
12.0;277.0;-302.0;457.0;123.0;75.0;-294.0
?;272.0;-299.0;477.0;?;77.0;-298.0
3.0;268.0;?;495.0;113.0;78.0;-301.0
1.0;266.0;-299.0;509.0;?;?;-304.0
1.0;266.0;-300.0;519.0;109.0;75.0;-304.0
1.0;266.0;-301.0;525.0;109.0;72.0;-302.0
2.0;267.0;-300.0;532.0;108.0;70.0;-301.0
4.0;268.0;-300.0;535.0;106.0;68.0;-301.0
5.0;271.0;-300.0;538.0;106.0;67.0;?
8.0;274.0;-298.0;535.0;109.0;66.0;-298.0
12.0;278.0;-297.0;529.0;115.0;67.0;-295.0
14.0;283.0;-294.0;522.0;118.0;68.0;-292.0
17.0;287.0;?;?;119.0;69.0;-290.0
22.0;291.0;?;506.0;121.0;69.0;-288.0
28.0;294.0;-286.0;496.0;124.0;67.0;-286.0
35.0;299.0;-284.0;485.0;129.0;64.0;-283.0
43.0;303.0;-282.0;475.0;135.0;60.0;-279.0
52.0;304.0;-282.0;469.0;143.0;?;-278.0
61.0;310.0;?;466.0;146.0;53.0;-265.0
58.0;318.0;-271.0;461.0;148.0;?;?
56.0;321.0;-265.0;461.0;?;55.0;-264.0
52.0;322.0;-259.0;468.0;144.0;59.0;-267.0
44.0;321.0;-254.0;485.0;139.0;62.0;-271.0
42.0;320.0;-248.0;511.0;130.0;64.0;-272.0
?;316.0;-242.0;532.0;120.0;65.0;-272.0
31.0;313.0;-239.0;548.0;109.0;63.0;-276.0
25.0;?;-240.0;573.0;?;60.0;-280.0
22.0;308.0;-240.0;591.0;105.0;58.0;?
21.0;307.0;-241.0;603.0;112.0;56.0;-281.0
22.0;308.0;-244.0;610.0;117.0;52.0;-280.0
?;309.0;-248.0;613.0;?;49.0;-279.0
25.0;310.0;-251.0;614.0;?;48.0;-278.0
26.0;312.0;-255.0;615.0;118.0;49.0;?
27.0;314.0;-258.0;610.0;120.0;52.0;-276.0
28.0;314.0;-259.0;604.0;123.0;57.0;?
28.0;315.0;-260.0;597.0;?;64.0;-275.0
27.0;314.0;-260.0;588.0;123.0;72.0;-276.0
25.0;313.0;-259.0;578.0;120.0;?;-278.0
23.0;312.0;-258.0;565.0;119.0;91.0;-278.0
21.0;311.0;?;549.0;116.0;99.0;-278.0
20.0;309.0;-257.0;534.0;114.0;104.0;-279.0
19.0;307.0;-257.0;519.0;109.0;108.0;-281.0
20.0;305.0;-259.0;506.0;105.0;109.0;-283.0
23.0;304.0;-261.0;495.0;103.0;107.0;-285.0
26.0;303.0;-264.0;482.0;103.0;?;-287.0
29.0;301.0;-267.0;472.0;104.0;100.0;-288.0
29.0;299.0;-268.0;468.0;105.0;99.0;-289.0
27.0;297.0;-270.0;464.0;105.0;99.0;-289.0
23.0;293.0;?;467.0;106.0;?;-291.0
?;290.0;-273.0;469.0;107.0;100.0;?
17.0;?;?;472.0;108.0;100.0;-294.0
12.0;280.0;-274.0;477.0;107.0;100.0;-296.0
6.0;275.0;?;485.0;108.0;101.0;-298.0
1.0;270.0;-275.0;495.0;109.0;103.0;-300.0
-4.0;264.0;-276.0;?;110.0;104.0;-301.0
?;259.0;?;511.0;111.0;105.0;-301.0
-15.0;254.0;-278.0;?;110.0;108.0;-302.0
-22.0;252.0;-280.0;533.0;?;112.0;-302.0
-28.0;251.0;-280.0;542.0;110.0;116.0;-302.0
-34.0;251.0;?;552.0;110.0;119.0;-302.0
-36.0;251.0;-280.0;555.0;107.0;?;-303.0
-36.0;252.0;-279.0;556.0;104.0;118.0;?
-35.0;252.0;-278.0;558.0;102.0;117.0;-307.0
-35.0;?;?;554.0;101.0;118.0;-309.0
-34.0;252.0;-275.0;554.0;100.0;?;-310.0
-33.0;253.0;-274.0;552.0;101.0;120.0;-310.0
?;253.0;-272.0;551.0;102.0;?;-309.0
-29.0;254.0;-271.0;?;104.0;122.0;-308.0
?;257.0;-271.0;542.0;107.0;123.0;-306.0
?;?;-271.0;538.0;110.0;122.0;-305.0
-20.0;262.0;-270.0;530.0;113.0;119.0;-305.0
-16.0;264.0;-269.0;520.0;?;116.0;-303.0
-12.0;266.0;-269.0;516.0;116.0;?;-301.0
-9.0;269.0;-270.0;517.0;123.0;111.0;-296.0
-6.0;273.0;-269.0;519.0;132.0;108.0;-290.0
1.0;280.0;?;526.0;140.0;?;-287.0
7.0;?;-261.0;527.0;142.0;105.0;-277.0
4.0;297.0;-254.0;527.0;141.0;104.0;?
2.0;304.0;-246.0;529.0;138.0;103.0;-276.0
-1.0;307.0;-240.0;543.0;132.0;104.0;?
?;309.0;-236.0;573.0;124.0;106.0;-286.0
-6.0;309.0;-235.0;608.0;114.0;109.0;-291.0
-9.0;?;-236.0;640.0;?;107.0;-292.0
?;315.0;-241.0;660.0;101.0;100.0;-290.0
-7.0;319.0;-247.0;?;103.0;88.0;-285.0
-1.0;?;-254.0;679.0;109.0;72.0;-279.0
?;330.0;-260.0;681.0;117.0;52.0;-277.0
30.0;334.0;-266.0;674.0;123.0;21.0;-276.0
56.0;337.0;?;662.0;126.0;-14.0;-276.0
81.0;340.0;-278.0;643.0;129.0;-49.0;-277.0
104.0;345.0;-285.0;620.0;131.0;-83.0;-276.0
?;350.0;?;579.0;135.0;-119.0;-273.0
151.0;355.0;-306.0;534.0;?;-155.0;-268.0
180.0;362.0;-314.0;485.0;147.0;-189.0;-263.0
?;367.0;-320.0;417.0;154.0;-220.0;-257.0
248.0;373.0;-326.0;344.0;161.0;-248.0;-252.0
282.0;377.0;-329.0;263.0;166.0;-268.0;-248.0
315.0;381.0;-331.0;194.0;170.0;-284.0;-244.0
347.0;382.0;-333.0;129.0;173.0;-296.0;-242.0
375.0;384.0;-335.0;66.0;175.0;-304.0;-240.0
401.0;385.0;-336.0;-2.0;176.0;-310.0;-239.0
430.0;386.0;-338.0;-77.0;176.0;-313.0;-237.0
459.0;390.0;-340.0;-137.0;177.0;-318.0;-235.0
484.0;392.0;-342.0;-188.0;180.0;-324.0;-231.0
?;395.0;?;-231.0;182.0;-328.0;-228.0
?;399.0;-343.0;-259.0;184.0;-328.0;-226.0
?;401.0;-342.0;-273.0;185.0;?;-226.0
?;402.0;-341.0;?;183.0;-332.0;-226.0
529.0;?;-340.0;-287.0;182.0;-331.0;-227.0
529.0;405.0;?;-283.0;181.0;-328.0;?
?;408.0;-339.0;-281.0;179.0;-323.0;-228.0
527.0;409.0;-339.0;-273.0;176.0;-319.0;-229.0
526.0;410.0;-339.0;-270.0;174.0;-315.0;-230.0
524.0;411.0;-339.0;-271.0;174.0;-311.0;-230.0
522.0;412.0;?;-270.0;173.0;-307.0;-230.0
520.0;411.0;-337.0;-264.0;173.0;-304.0;-230.0
517.0;409.0;-336.0;-256.0;172.0;?;-230.0
514.0;?;-336.0;-250.0;170.0;-298.0;?
511.0;405.0;-336.0;-250.0;?;?;-230.0
509.0;405.0;-337.0;-247.0;172.0;-294.0;-229.0
507.0;404.0;-338.0;-243.0;176.0;-293.0;-229.0
506.0;401.0;-339.0;-245.0;178.0;-294.0;-228.0
505.0;400.0;-340.0;-242.0;180.0;?;-227.0
502.0;398.0;-341.0;-240.0;182.0;-297.0;?
500.0;397.0;?;?;183.0;?;-223.0
495.0;396.0;-343.0;-238.0;184.0;?;-222.0
489.0;395.0;-344.0;-233.0;184.0;-301.0;-221.0
?;394.0;-344.0;-224.0;185.0;-304.0;-221.0
469.0;393.0;-342.0;-206.0;?;-308.0;-221.0
452.0;391.0;-340.0;?;183.0;-314.0;?
431.0;389.0;-337.0;?;181.0;-317.0;-224.0
407.0;?;-333.0;?;178.0;-321.0;-224.0
379.0;384.0;-328.0;65.0;175.0;-318.0;-225.0
346.0;381.0;-322.0;171.0;173.0;-301.0;-226.0
313.0;377.0;-318.0;281.0;170.0;-273.0;-229.0
277.0;373.0;-314.0;?;166.0;?;?
242.0;368.0;-309.0;486.0;161.0;?;-236.0
217.0;364.0;-304.0;568.0;157.0;-141.0;?
200.0;359.0;-299.0;614.0;153.0;-78.0;-245.0
174.0;354.0;-294.0;622.0;149.0;-16.0;-250.0
141.0;349.0;-289.0;588.0;144.0;39.0;-254.0
?;343.0;-283.0;522.0;136.0;83.0;-259.0
71.0;335.0;-278.0;448.0;128.0;114.0;-265.0
53.0;?;-275.0;398.0;121.0;134.0;-272.0
48.0;326.0;-275.0;366.0;114.0;139.0;?
52.0;325.0;-277.0;340.0;109.0;125.0;-282.0
57.0;?;-282.0;311.0;108.0;100.0;-281.0
67.0;331.0;-286.0;294.0;109.0;77.0;-278.0
80.0;335.0;-290.0;293.0;112.0;61.0;-272.0
90.0;339.0;-294.0;313.0;114.0;49.0;-267.0
?;343.0;-298.0;344.0;118.0;42.0;-262.0
99.0;345.0;-299.0;387.0;124.0;36.0;-258.0
100.0;346.0;-300.0;416.0;131.0;29.0;?
?;346.0;-301.0;436.0;139.0;22.0;-251.0
104.0;346.0;-302.0;?;147.0;14.0;-248.0
107.0;346.0;-302.0;464.0;156.0;6.0;-246.0
109.0;346.0;-301.0;472.0;164.0;-1.0;-244.0
110.0;344.0;-300.0;?;172.0;-3.0;-241.0
?;342.0;-299.0;?;177.0;0.0;-240.0
103.0;341.0;-298.0;486.0;180.0;8.0;-239.0
96.0;340.0;-297.0;492.0;182.0;20.0;-239.0
86.0;339.0;-294.0;497.0;181.0;33.0;-238.0
?;338.0;-293.0;499.0;179.0;46.0;-238.0
67.0;337.0;?;503.0;174.0;56.0;-238.0
60.0;337.0;-291.0;499.0;167.0;65.0;-240.0
56.0;336.0;?;492.0;159.0;?;-242.0
54.0;336.0;-291.0;482.0;?;?;-243.0
53.0;336.0;-292.0;?;142.0;70.0;-244.0
53.0;?;-292.0;471.0;134.0;69.0;?
54.0;336.0;-293.0;469.0;?;67.0;-250.0
56.0;336.0;-294.0;467.0;121.0;64.0;-254.0
56.0;336.0;-296.0;466.0;119.0;?;-256.0
57.0;336.0;-297.0;461.0;119.0;58.0;-256.0
59.0;337.0;-298.0;?;121.0;56.0;-255.0
62.0;339.0;-298.0;463.0;?;55.0;-255.0
63.0;?;-297.0;464.0;123.0;54.0;-254.0
65.0;340.0;-296.0;465.0;?;55.0;-253.0
66.0;340.0;-294.0;472.0;129.0;55.0;-251.0
66.0;340.0;-293.0;474.0;134.0;55.0;-251.0
66.0;340.0;-293.0;476.0;138.0;56.0;-252.0
65.0;340.0;-293.0;479.0;143.0;58.0;-250.0
65.0;342.0;-292.0;?;148.0;?;?
65.0;342.0;-292.0;476.0;151.0;57.0;-243.0
63.0;342.0;-293.0;474.0;152.0;?;-241.0
63.0;343.0;-293.0;475.0;153.0;58.0;-238.0
64.0;?;-295.0;470.0;155.0;56.0;-236.0
64.0;345.0;-297.0;467.0;157.0;54.0;-235.0
63.0;345.0;-298.0;466.0;?;?;-235.0
62.0;345.0;-299.0;469.0;157.0;?;?
62.0;345.0;-300.0;471.0;?;55.0;-235.0
62.0;345.0;-300.0;468.0;158.0;54.0;-234.0
61.0;345.0;-301.0;469.0;?;55.0;-235.0
61.0;344.0;-300.0;468.0;154.0;57.0;-235.0
59.0;344.0;-300.0;468.0;149.0;58.0;-237.0
57.0;?;-299.0;471.0;133.0;61.0;-239.0
55.0;339.0;-299.0;474.0;91.0;63.0;-244.0
?;337.0;-299.0;477.0;19.0;64.0;-254.0
52.0;336.0;-299.0;480.0;?;65.0;?
51.0;335.0;-300.0;482.0;-93.0;66.0;?
52.0;334.0;?;483.0;-87.0;65.0;-285.0
53.0;332.0;-297.0;483.0;-71.0;?;-279.0
52.0;329.0;-294.0;488.0;-62.0;65.0;-271.0
49.0;326.0;-290.0;493.0;-55.0;?;?
44.0;323.0;-288.0;498.0;-48.0;75.0;-269.0
40.0;320.0;-287.0;505.0;-40.0;80.0;-268.0
37.0;318.0;-287.0;507.0;-32.0;83.0;-268.0
