InertialMeasurementUnit LUA magneticY;Accelerometer LUA^ accY;Accelerometer LUA_ accY;InertialMeasurementUnit L-SHOE Compass;Accelerometer LWR accY;Accelerometer RWR accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit R-SHOE Body_Ay
-328.0;943.0;925.0;18;724.0;713.0;-845.0;399
-531.0;892.0;903.0;12;827.0;386.0;-1018.0;394
278.0;954.0;1000.0;110;930.0;329.0;-950.0;372
-5.0;835.0;982.0;39;956.0;594.0;-963.0;407
-290.0;907.0;924.0;-47;840.0;537.0;-1282.0;412
6.0;728.0;925.0;39;942.0;546.0;-960.0;567
-190.0;992.0;1184.0;15;1155.0;760.0;-978.0;379
340.0;919.0;900.0;32;688.0;292.0;-901.0;392
-203.0;766.0;815.0;-48;747.0;245.0;-901.0;450
10.0;1025.0;972.0;16;905.0;784.0;-966.0;368
179.0;680.0;675.0;-36;577.0;739.0;-750.0;402
166.0;921.0;965.0;-67;899.0;347.0;-962.0;401
347.0;986.0;970.0;-92;855.0;623.0;-844.0;391
336.0;949.0;875.0;-195;840.0;604.0;-996.0;393
320.0;954.0;1036.0;-127;1059.0;707.0;-1038.0;393
441.0;923.0;459.0;105;162.0;235.0;-369.0;386
313.0;784.0;1230.0;106;1138.0;969.0;-816.0;-1084
-220.0;997.0;991.0;4;928.0;330.0;-992.0;387
-357.0;927.0;733.0;17;550.0;473.0;-738.0;389
403.0;798.0;1230.0;-22;1215.0;986.0;-774.0;436
358.0;822.0;952.0;148;1079.0;800.0;-920.0;748
281.0;782.0;977.0;52;909.0;527.0;-1025.0;563
730.0;949.0;967.0;167;885.0;765.0;-961.0;380
65.0;891.0;896.0;113;848.0;318.0;-932.0;384
-99.0;854.0;916.0;1;902.0;886.0;-1050.0;405
-7.0;753.0;938.0;39;950.0;833.0;-949.0;404
-553.0;739.0;1028.0;43;962.0;803.0;-995.0;372
361.0;963.0;809.0;102;750.0;707.0;-942.0;124
86.0;902.0;937.0;113;869.0;350.0;-948.0;387
81.0;872.0;965.0;113;868.0;439.0;-936.0;390
-116.0;864.0;977.0;-41;897.0;302.0;-878.0;475
-93.0;847.0;1081.0;27;748.0;683.0;-975.0;354
26.0;1137.0;962.0;-60;981.0;662.0;-1185.0;409
-229.0;892.0;971.0;15;892.0;-123.0;-937.0;451
21.0;1279.0;720.0;-90;824.0;570.0;-1250.0;413
91.0;908.0;947.0;113;868.0;293.0;-954.0;384
-116.0;878.0;1029.0;-4;863.0;156.0;-960.0;785
107.0;900.0;941.0;113;867.0;396.0;-940.0;416
-85.0;856.0;909.0;-44;863.0;884.0;-895.0;904
80.0;917.0;944.0;113;860.0;409.0;-935.0;388
556.0;855.0;839.0;141;690.0;625.0;-867.0;384
228.0;798.0;1202.0;100;823.0;262.0;-789.0;384
73.0;930.0;1012.0;39;909.0;388.0;-963.0;380
254.0;871.0;951.0;71;893.0;106.0;-951.0;387
162.0;1029.0;1081.0;162;971.0;550.0;-922.0;399
534.0;906.0;935.0;-1;893.0;-94.0;-970.0;383
334.0;897.0;902.0;152;822.0;727.0;-862.0;1280
148.0;868.0;944.0;113;870.0;342.0;-938.0;388
221.0;743.0;1054.0;101;959.0;976.0;-859.0;2858
204.0;893.0;1045.0;114;989.0;770.0;-900.0;1832
-282.0;895.0;955.0;15;930.0;714.0;-974.0;393
-95.0;917.0;600.0;-6;492.0;683.0;-601.0;397
655.0;511.0;-158.0;135;-365.0;-538.0;105.0;843
427.0;923.0;718.0;106;489.0;382.0;-699.0;463
333.0;927.0;1046.0;52;853.0;383.0;-947.0;402
190.0;928.0;954.0;67;868.0;-165.0;-978.0;380
443.0;1037.0;900.0;141;967.0;545.0;-842.0;311
529.0;751.0;927.0;7;874.0;519.0;-960.0;626
307.0;935.0;965.0;109;896.0;537.0;-953.0;371
264.0;921.0;945.0;16;883.0;763.0;-957.0;366
359.0;943.0;1035.0;113;1006.0;570.0;-973.0;386
320.0;1110.0;1038.0;121;991.0;741.0;-915.0;394
611.0;817.0;899.0;173;934.0;773.0;-1011.0;-91
176.0;930.0;962.0;16;874.0;751.0;-950.0;362
126.0;889.0;966.0;113;869.0;481.0;-952.0;385
98.0;924.0;944.0;16;857.0;747.0;-938.0;366
-34.0;927.0;925.0;-154;813.0;719.0;-924.0;373
91.0;904.0;931.0;113;877.0;212.0;-946.0;384
272.0;909.0;934.0;61;866.0;-685.0;-927.0;391
