Accelerometer LUA^ accZ;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit LUA magneticX;Accelerometer LH accY;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK gyroZ
238.0;306.0;333.0;806;513.0;998.0;-24;-177;303;-366.0;44.0
164.0;280.0;419.0;784;594.0;983.0;-24;-157;333;-476.0;125.0
298.0;300.0;341.0;803;515.0;983.0;-24;-177;307;-352.0;-9.0
191.0;268.0;160.0;797;481.0;928.0;-23;-180;317;-440.0;207.0
198.0;305.0;298.0;800;494.0;998.0;-24;-176;302;-349.0;96.0
144.0;78.0;252.0;795;464.0;1004.0;-23;-178;287;-393.0;41.0
248.0;286.0;308.0;795;494.0;980.0;-24;-177;308;-320.0;21.0
340.0;265.0;164.0;861;379.0;1036.0;-38;-170;329;-330.0;101.0
225.0;386.0;189.0;801;377.0;1062.0;-23;-165;277;-163.0;31.0
330.0;556.0;649.0;797;372.0;886.0;-26;179;305;-78.0;46.0
163.0;96.0;285.0;797;472.0;968.0;-27;174;283;-328.0;-120.0
357.0;415.0;542.0;778;578.0;1060.0;0;-158;249;-136.0;-104.0
93.0;554.0;868.0;76;603.0;962.0;-43;-176;941;-193.0;-181.0
272.0;294.0;331.0;797;505.0;1005.0;-24;-176;306;-327.0;-9.0
-49.0;652.0;437.0;737;735.0;824.0;-33;-172;91;-119.0;-306.0
172.0;423.0;268.0;807;224.0;1007.0;-31;-179;272;518.0;4.0
287.0;288.0;320.0;801;502.0;995.0;-24;-177;311;-338.0;-42.0
170.0;626.0;834.0;801;573.0;957.0;-21;-162;283;45.0;203.0
746.0;261.0;255.0;794;568.0;1383.0;-24;-177;301;-461.0;-39.0
174.0;190.0;381.0;805;521.0;1065.0;-32;173;267;-325.0;156.0
209.0;299.0;314.0;794;498.0;990.0;-24;-176;311;-323.0;-4.0
83.0;261.0;523.0;801;621.0;976.0;-31;97;292;-596.0;186.0
236.0;237.0;-65.0;802;260.0;808.0;-26;-174;287;15.0;-96.0
95.0;90.0;256.0;802;449.0;1005.0;-27;-177;276;-316.0;-138.0
213.0;304.0;325.0;795;508.0;990.0;-24;-176;306;-352.0;-62.0
136.0;327.0;421.0;811;566.0;1339.0;-24;-178;298;-507.0;-255.0
234.0;308.0;357.0;801;525.0;1004.0;-24;-176;305;-359.0;-25.0
204.0;318.0;414.0;797;572.0;794.0;-24;-180;320;-471.0;-156.0
256.0;293.0;332.0;798;517.0;996.0;-24;-177;300;-362.0;-15.0
296.0;300.0;356.0;798;531.0;1029.0;-24;-176;304;-394.0;-99.0
256.0;287.0;334.0;801;515.0;1016.0;-24;-177;302;-359.0;6.0
245.0;301.0;358.0;802;535.0;1002.0;-24;-177;303;-439.0;31.0
235.0;237.0;575.0;822;599.0;1185.0;-24;-162;222;-622.0;416.0
237.0;306.0;336.0;800;519.0;994.0;-24;-176;310;-393.0;34.0
256.0;287.0;333.0;796;512.0;1015.0;-24;-177;306;-354.0;13.0
230.0;381.0;15.0;801;263.0;1166.0;-34;-122;287;9.0;103.0
260.0;300.0;341.0;801;522.0;1005.0;-24;-176;309;-389.0;-11.0
264.0;287.0;319.0;799;503.0;990.0;-24;-177;305;-325.0;-15.0
269.0;286.0;318.0;797;502.0;990.0;-24;-177;303;-325.0;0.0
278.0;292.0;325.0;799;515.0;986.0;-24;-176;306;-410.0;-50.0
256.0;307.0;335.0;805;515.0;974.0;-24;-176;306;-386.0;13.0
263.0;296.0;335.0;800;519.0;980.0;-24;-176;308;-392.0;-11.0
165.0;727.0;845.0;816;875.0;1033.0;-28;-177;249;-278.0;-53.0
55.0;133.0;74.0;826;374.0;894.0;-32;204;247;-156.0;749.0
252.0;296.0;336.0;809;518.0;974.0;-24;-176;310;-394.0;-15.0
-157.0;224.0;441.0;707;606.0;1002.0;-34;176;279;-393.0;-129.0
225.0;289.0;-89.0;806;359.0;547.0;-47;85;289;-138.0;185.0
268.0;303.0;324.0;805;510.0;1017.0;-24;-177;307;-346.0;-9.0
263.0;296.0;362.0;806;532.0;978.0;-24;-176;308;-415.0;21.0
257.0;299.0;354.0;796;532.0;997.0;-24;-177;312;-436.0;-5.0
305.0;169.0;613.0;716;388.0;911.0;-44;-160;416;-181.0;90.0
273.0;301.0;322.0;800;507.0;1025.0;-24;-177;307;-347.0;16.0
385.0;268.0;-14.0;791;331.0;1709.0;-37;-169;232;-496.0;-190.0
304.0;269.0;-8.0;807;447.0;1020.0;-31;-168;237;-426.0;-209.0
157.0;52.0;226.0;800;453.0;1016.0;-23;-177;283;-441.0;15.0
277.0;-489.0;126.0;810;382.0;991.0;-19;178;256;-187.0;2.0
267.0;280.0;306.0;802;495.0;1020.0;-24;-177;303;-329.0;15.0
213.0;43.0;225.0;796;435.0;1022.0;-23;-177;281;-496.0;30.0
-142.0;280.0;-38.0;502;327.0;1040.0;-43;-179;435;159.0;-144.0
330.0;280.0;337.0;800;518.0;1016.0;-24;-177;311;-432.0;-22.0
141.0;52.0;453.0;753;599.0;1093.0;-29;-177;258;-713.0;-77.0
274.0;299.0;338.0;801;520.0;1001.0;-24;-176;310;-394.0;21.0
262.0;305.0;364.0;797;548.0;1006.0;-24;-177;298;-470.0;-34.0
290.0;292.0;339.0;803;520.0;978.0;-24;-176;308;-393.0;-24.0
70.0;993.0;944.0;783;852.0;1118.0;-27;135;325;-111.0;88.0
363.0;239.0;241.0;797;494.0;1010.0;-24;-178;308;-502.0;14.0
271.0;302.0;344.0;798;527.0;1015.0;-24;-176;313;-400.0;21.0
347.0;322.0;476.0;796;583.0;1014.0;-24;-181;328;-539.0;69.0
315.0;138.0;227.0;833;435.0;927.0;-58;-170;121;-651.0;236.0
277.0;299.0;332.0;806;515.0;1010.0;-24;-176;309;-405.0;-1.0
265.0;278.0;351.0;798;543.0;1024.0;-24;-177;302;-469.0;27.0
138.0;870.0;861.0;812;733.0;835.0;-25;178;261;128.0;-118.0
246.0;237.0;353.0;802;540.0;1015.0;-24;-177;305;-413.0;-42.0
135.0;269.0;171.0;796;478.0;1108.0;-24;-177;302;-423.0;120.0
