Accelerometer LUA_ accZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit RLA accY;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA accY;InertialMeasurementUnit LLA Quaternion1;Accelerometer RUA_ accZ
644.0;?;-216.0;118.0;?;-141.0;551.0;-712.0;-292.0;481.0
697.0;-471.0;?;76.0;-712.0;-137.0;550.0;-647.0;-271.0;466.0
762.0;-670.0;-203.0;53.0;-731.0;-130.0;547.0;-482.0;-239.0;472.0
677.0;-867.0;-210.0;-15.0;?;-118.0;539.0;-414.0;-197.0;420.0
886.0;-1174.0;?;?;-761.0;-99.0;?;-448.0;-146.0;396.0
1005.0;-1439.0;-237.0;11.0;-765.0;-71.0;?;-406.0;-83.0;348.0
970.0;?;-260.0;51.0;-756.0;-30.0;?;-341.0;-6.0;330.0
771.0;?;-284.0;267.0;-730.0;28.0;429.0;-367.0;86.0;231.0
?;-1301.0;-321.0;441.0;-686.0;97.0;?;-649.0;192.0;98.0
596.0;-1219.0;-330.0;731.0;-630.0;176.0;?;?;303.0;2.0
546.0;-1058.0;-299.0;1140.0;?;252.0;290.0;-1087.0;409.0;-155.0
507.0;-516.0;?;1275.0;-480.0;310.0;232.0;-1188.0;503.0;-278.0
579.0;-124.0;-238.0;1178.0;-390.0;359.0;182.0;-1314.0;584.0;?
554.0;-129.0;-200.0;1095.0;-305.0;406.0;134.0;-1287.0;656.0;-99.0
568.0;31.0;-160.0;1113.0;-227.0;445.0;85.0;-989.0;711.0;-59.0
548.0;235.0;-130.0;1026.0;-159.0;474.0;42.0;-1028.0;746.0;-103.0
502.0;?;-100.0;937.0;-110.0;499.0;1.0;-1076.0;763.0;-24.0
469.0;-55.0;-69.0;943.0;-80.0;517.0;-33.0;-888.0;767.0;-91.0
440.0;-39.0;-31.0;858.0;-63.0;528.0;-58.0;-779.0;765.0;52.0
371.0;-176.0;-3.0;767.0;-55.0;?;?;-701.0;?;60.0
?;-199.0;15.0;721.0;-49.0;542.0;-88.0;-612.0;751.0;91.0
303.0;-101.0;33.0;653.0;-45.0;?;-96.0;-595.0;742.0;80.0
281.0;-31.0;43.0;571.0;-49.0;543.0;-95.0;-659.0;?;148.0
321.0;?;63.0;?;-64.0;540.0;-83.0;-610.0;725.0;188.0
308.0;37.0;60.0;387.0;-87.0;534.0;-64.0;-534.0;715.0;182.0
303.0;-6.0;40.0;345.0;-114.0;527.0;-42.0;-441.0;704.0;205.0
314.0;-78.0;23.0;302.0;-142.0;517.0;-20.0;-340.0;692.0;169.0
339.0;-138.0;4.0;257.0;-169.0;506.0;?;-281.0;?;170.0
367.0;-166.0;-10.0;231.0;-191.0;495.0;20.0;-249.0;662.0;141.0
383.0;-94.0;-28.0;240.0;-210.0;486.0;36.0;?;646.0;117.0
370.0;-41.0;-50.0;?;-226.0;479.0;50.0;?;631.0;108.0
385.0;11.0;-60.0;235.0;-240.0;474.0;61.0;-240.0;618.0;97.0
405.0;31.0;-61.0;207.0;-251.0;472.0;?;-222.0;607.0;108.0
426.0;42.0;-60.0;?;-262.0;471.0;76.0;-211.0;598.0;128.0
454.0;51.0;-57.0;203.0;-270.0;?;81.0;-230.0;593.0;130.0
450.0;24.0;-51.0;185.0;-274.0;475.0;85.0;-248.0;591.0;?
413.0;28.0;?;209.0;?;479.0;86.0;-241.0;592.0;?
?;59.0;?;?;-270.0;486.0;85.0;-243.0;597.0;79.0
417.0;68.0;?;?;-263.0;492.0;80.0;-272.0;604.0;69.0
395.0;17.0;-6.0;255.0;-253.0;497.0;75.0;-323.0;614.0;106.0
381.0;41.0;5.0;240.0;-241.0;503.0;?;-380.0;625.0;138.0
383.0;96.0;18.0;264.0;-230.0;507.0;62.0;-421.0;639.0;116.0
372.0;48.0;26.0;278.0;-220.0;510.0;53.0;-411.0;654.0;118.0
388.0;51.0;30.0;283.0;-209.0;512.0;43.0;-379.0;667.0;105.0
378.0;56.0;35.0;291.0;-197.0;513.0;36.0;-399.0;?;92.0
388.0;57.0;38.0;285.0;-187.0;513.0;30.0;-457.0;689.0;107.0
?;48.0;38.0;253.0;?;513.0;24.0;-451.0;697.0;125.0
?;77.0;38.0;?;-177.0;511.0;18.0;-397.0;702.0;?
326.0;65.0;?;265.0;-172.0;509.0;12.0;-387.0;706.0;123.0
415.0;101.0;?;260.0;?;?;6.0;-413.0;709.0;?
?;113.0;37.0;255.0;-167.0;508.0;2.0;-404.0;709.0;128.0
524.0;140.0;38.0;276.0;-167.0;508.0;0.0;-382.0;708.0;110.0
414.0;177.0;42.0;284.0;-170.0;510.0;1.0;-315.0;706.0;79.0
422.0;171.0;51.0;267.0;-178.0;511.0;8.0;-361.0;701.0;59.0
272.0;222.0;56.0;253.0;-190.0;511.0;17.0;-393.0;?;75.0
359.0;169.0;57.0;227.0;-200.0;509.0;23.0;-337.0;690.0;74.0
404.0;?;56.0;167.0;-210.0;504.0;28.0;-304.0;?;105.0
473.0;179.0;52.0;?;-215.0;503.0;36.0;-251.0;676.0;130.0
539.0;259.0;51.0;342.0;-217.0;499.0;?;-410.0;673.0;-160.0
459.0;99.0;45.0;237.0;-218.0;494.0;45.0;-312.0;666.0;3.0
424.0;-177.0;34.0;130.0;-218.0;489.0;40.0;-255.0;652.0;?
430.0;-290.0;21.0;210.0;-220.0;482.0;?;-338.0;635.0;2.0
440.0;?;3.0;205.0;-234.0;476.0;49.0;-620.0;618.0;27.0
422.0;?;-18.0;220.0;-260.0;472.0;54.0;-524.0;605.0;-18.0
387.0;-9.0;-31.0;266.0;-277.0;471.0;60.0;-269.0;596.0;-36.0
?;138.0;-32.0;278.0;?;473.0;67.0;-297.0;593.0;-17.0
?;141.0;-27.0;279.0;-283.0;?;74.0;-387.0;594.0;56.0
407.0;120.0;?;251.0;-288.0;482.0;81.0;-415.0;598.0;100.0
408.0;72.0;?;219.0;?;485.0;87.0;-371.0;604.0;68.0
398.0;111.0;-8.0;224.0;-294.0;489.0;89.0;?;612.0;60.0
408.0;123.0;3.0;?;-289.0;494.0;87.0;-299.0;621.0;48.0
417.0;127.0;?;267.0;-282.0;498.0;84.0;-330.0;630.0;87.0
418.0;46.0;13.0;294.0;-276.0;500.0;81.0;-353.0;639.0;116.0
413.0;8.0;19.0;289.0;-270.0;501.0;78.0;-362.0;?;102.0
396.0;-43.0;21.0;290.0;?;502.0;75.0;-358.0;657.0;101.0
400.0;-71.0;24.0;292.0;-257.0;502.0;71.0;-363.0;666.0;78.0
?;-58.0;25.0;281.0;-250.0;?;68.0;-374.0;673.0;93.0
411.0;-63.0;?;305.0;-244.0;502.0;65.0;-382.0;679.0;59.0
383.0;-62.0;25.0;310.0;-239.0;502.0;62.0;-376.0;684.0;68.0
?;-40.0;25.0;298.0;-233.0;503.0;57.0;-392.0;687.0;30.0
366.0;-72.0;26.0;287.0;?;503.0;54.0;-411.0;688.0;79.0
367.0;-90.0;30.0;?;-227.0;504.0;53.0;-413.0;687.0;76.0
378.0;-97.0;29.0;281.0;-227.0;504.0;54.0;-424.0;684.0;50.0
370.0;-91.0;32.0;273.0;-230.0;506.0;56.0;?;681.0;50.0
378.0;-57.0;36.0;261.0;-234.0;507.0;59.0;-376.0;677.0;?
361.0;?;40.0;?;-239.0;510.0;62.0;-367.0;673.0;63.0
349.0;-39.0;47.0;275.0;-243.0;512.0;67.0;-347.0;669.0;80.0
339.0;-39.0;55.0;255.0;-249.0;515.0;?;-336.0;664.0;85.0
345.0;-67.0;66.0;218.0;-254.0;516.0;75.0;-330.0;660.0;102.0
380.0;-34.0;72.0;196.0;-259.0;517.0;79.0;-323.0;656.0;121.0
365.0;-43.0;75.0;?;?;517.0;85.0;-326.0;654.0;119.0
376.0;-67.0;77.0;180.0;?;517.0;88.0;-300.0;652.0;97.0
409.0;-69.0;79.0;212.0;-269.0;?;90.0;-286.0;?;92.0
412.0;-77.0;78.0;?;-270.0;515.0;91.0;?;650.0;67.0
410.0;-68.0;74.0;206.0;?;514.0;?;?;?;44.0
391.0;-56.0;77.0;213.0;-271.0;513.0;91.0;-310.0;646.0;52.0
376.0;-27.0;74.0;244.0;-271.0;?;90.0;-312.0;645.0;86.0
379.0;11.0;73.0;232.0;-270.0;512.0;88.0;-313.0;646.0;84.0
386.0;47.0;71.0;238.0;-267.0;511.0;86.0;-331.0;648.0;60.0
381.0;54.0;67.0;226.0;-264.0;509.0;83.0;-355.0;652.0;90.0
395.0;82.0;65.0;221.0;-262.0;508.0;81.0;-360.0;656.0;70.0
337.0;118.0;?;223.0;-259.0;508.0;78.0;-355.0;661.0;81.0
349.0;122.0;62.0;225.0;-256.0;507.0;75.0;-364.0;666.0;65.0
561.0;165.0;61.0;234.0;-253.0;508.0;72.0;-369.0;671.0;51.0
404.0;?;64.0;230.0;-250.0;508.0;69.0;-361.0;675.0;80.0
334.0;152.0;65.0;225.0;-248.0;508.0;65.0;-357.0;678.0;72.0
364.0;156.0;63.0;232.0;-245.0;509.0;61.0;-346.0;679.0;93.0
368.0;71.0;64.0;?;-243.0;506.0;57.0;-365.0;679.0;?
433.0;2.0;63.0;192.0;-243.0;506.0;53.0;-280.0;678.0;144.0
441.0;222.0;66.0;332.0;-239.0;507.0;56.0;-372.0;679.0;-145.0
400.0;9.0;64.0;261.0;-236.0;506.0;56.0;-457.0;682.0;-53.0
447.0;-145.0;61.0;180.0;-237.0;?;57.0;-376.0;678.0;?
?;-312.0;55.0;268.0;-245.0;503.0;63.0;-376.0;668.0;?
471.0;-311.0;50.0;240.0;-259.0;501.0;70.0;-471.0;658.0;-14.0
425.0;-180.0;42.0;287.0;-274.0;?;72.0;-370.0;648.0;-116.0
391.0;-7.0;42.0;291.0;-281.0;?;74.0;-283.0;639.0;?
404.0;138.0;38.0;282.0;-283.0;505.0;73.0;-341.0;632.0;-43.0
409.0;?;40.0;?;-287.0;508.0;74.0;-403.0;627.0;11.0
398.0;64.0;46.0;287.0;-293.0;?;76.0;-388.0;626.0;22.0
398.0;38.0;?;228.0;-295.0;511.0;78.0;-359.0;629.0;12.0
421.0;50.0;54.0;?;-295.0;512.0;81.0;-331.0;634.0;-29.0
419.0;114.0;57.0;180.0;-295.0;?;84.0;-334.0;640.0;-2.0
407.0;134.0;58.0;206.0;-294.0;515.0;86.0;-342.0;647.0;19.0
452.0;146.0;?;229.0;-291.0;517.0;?;-335.0;655.0;11.0
428.0;132.0;65.0;215.0;-285.0;?;83.0;?;662.0;28.0
425.0;120.0;71.0;?;-278.0;521.0;79.0;-345.0;669.0;?
?;67.0;?;205.0;-271.0;523.0;73.0;-364.0;676.0;56.0
423.0;53.0;83.0;221.0;-263.0;525.0;67.0;?;682.0;61.0
428.0;-7.0;87.0;232.0;-256.0;?;?;-372.0;687.0;45.0
420.0;-47.0;93.0;?;-248.0;528.0;55.0;-378.0;691.0;37.0
411.0;-61.0;99.0;239.0;-239.0;529.0;48.0;-379.0;695.0;69.0
386.0;-137.0;100.0;229.0;-232.0;528.0;42.0;-405.0;?;50.0
336.0;-210.0;101.0;223.0;-225.0;528.0;37.0;-413.0;699.0;58.0
?;-240.0;94.0;251.0;?;526.0;34.0;-401.0;700.0;31.0
?;-236.0;94.0;257.0;-220.0;524.0;32.0;-407.0;699.0;48.0
349.0;-229.0;90.0;233.0;-219.0;522.0;32.0;-399.0;698.0;31.0
?;-228.0;86.0;235.0;-219.0;520.0;35.0;-405.0;697.0;53.0
353.0;-223.0;82.0;231.0;-221.0;518.0;?;-390.0;695.0;58.0
379.0;-211.0;77.0;227.0;-225.0;516.0;?;-359.0;691.0;?
?;-205.0;72.0;218.0;-228.0;513.0;45.0;?;686.0;52.0
361.0;-215.0;68.0;204.0;?;?;48.0;?;680.0;105.0
354.0;-225.0;63.0;190.0;-237.0;510.0;53.0;-353.0;674.0;110.0
342.0;-218.0;60.0;?;-243.0;508.0;59.0;-325.0;667.0;92.0
319.0;-167.0;59.0;189.0;-249.0;507.0;66.0;-315.0;660.0;75.0
?;-112.0;59.0;193.0;-255.0;507.0;?;-323.0;?;61.0
349.0;-55.0;58.0;?;-262.0;508.0;79.0;-328.0;648.0;59.0
376.0;-18.0;60.0;195.0;-270.0;509.0;86.0;-310.0;?;88.0
372.0;?;61.0;210.0;-276.0;510.0;92.0;-290.0;641.0;90.0
351.0;43.0;64.0;209.0;-281.0;512.0;96.0;-277.0;640.0;100.0
349.0;60.0;67.0;?;-283.0;513.0;98.0;-283.0;?;87.0
330.0;85.0;?;211.0;?;514.0;100.0;-285.0;641.0;96.0
?;78.0;69.0;219.0;-285.0;514.0;100.0;-281.0;643.0;?
311.0;71.0;72.0;203.0;-285.0;514.0;101.0;-295.0;?;82.0
326.0;158.0;?;194.0;-285.0;514.0;102.0;-315.0;650.0;?
442.0;94.0;68.0;213.0;-285.0;513.0;103.0;-309.0;655.0;108.0
400.0;?;66.0;227.0;-284.0;514.0;103.0;-307.0;661.0;76.0
405.0;160.0;68.0;230.0;-281.0;515.0;100.0;-306.0;666.0;75.0
410.0;217.0;69.0;252.0;-279.0;?;96.0;-307.0;?;81.0
407.0;247.0;78.0;261.0;-276.0;518.0;90.0;-316.0;673.0;69.0
396.0;180.0;84.0;213.0;?;519.0;85.0;?;674.0;?
461.0;398.0;?;298.0;-269.0;523.0;82.0;-268.0;676.0;30.0
374.0;?;94.0;289.0;?;522.0;78.0;-385.0;679.0;-185.0
408.0;124.0;90.0;176.0;-258.0;519.0;73.0;-336.0;678.0;25.0
394.0;-172.0;79.0;221.0;-257.0;514.0;75.0;-394.0;672.0;-10.0
411.0;?;63.0;216.0;-265.0;?;81.0;-550.0;665.0;-48.0
?;-273.0;45.0;212.0;-280.0;500.0;85.0;-443.0;655.0;-56.0
388.0;-243.0;28.0;259.0;-292.0;497.0;92.0;-296.0;?;-110.0
378.0;-43.0;?;300.0;-299.0;495.0;99.0;-331.0;637.0;-134.0
368.0;73.0;7.0;275.0;-307.0;495.0;104.0;-364.0;631.0;-56.0
371.0;99.0;4.0;258.0;-317.0;496.0;110.0;-341.0;626.0;-26.0
376.0;31.0;7.0;248.0;-324.0;498.0;116.0;-306.0;622.0;-14.0
355.0;-24.0;9.0;186.0;-327.0;499.0;?;?;?;-10.0
383.0;-37.0;14.0;153.0;-328.0;500.0;122.0;-284.0;623.0;-6.0
400.0;-8.0;16.0;148.0;-327.0;502.0;124.0;-293.0;627.0;11.0
417.0;?;19.0;206.0;-326.0;?;125.0;-302.0;632.0;32.0
398.0;47.0;25.0;232.0;-324.0;?;125.0;-291.0;637.0;?
401.0;68.0;31.0;234.0;?;511.0;123.0;?;642.0;25.0
433.0;65.0;38.0;230.0;-314.0;515.0;119.0;-311.0;647.0;40.0
446.0;56.0;46.0;226.0;-308.0;?;115.0;-331.0;654.0;49.0
425.0;31.0;54.0;249.0;-301.0;521.0;110.0;-333.0;660.0;70.0
?;-23.0;61.0;268.0;-292.0;523.0;104.0;-338.0;666.0;69.0
?;-50.0;68.0;271.0;-283.0;525.0;96.0;-350.0;671.0;?
417.0;-74.0;74.0;274.0;-275.0;527.0;?;-369.0;676.0;75.0
417.0;-85.0;80.0;275.0;-267.0;526.0;83.0;-386.0;680.0;65.0
414.0;-74.0;?;271.0;-261.0;526.0;77.0;-391.0;684.0;73.0
384.0;-124.0;87.0;253.0;-254.0;525.0;72.0;-391.0;687.0;51.0
362.0;-167.0;85.0;234.0;-248.0;524.0;67.0;-396.0;690.0;75.0
352.0;-174.0;84.0;234.0;?;521.0;64.0;-411.0;692.0;69.0
369.0;-134.0;81.0;235.0;-240.0;519.0;63.0;-403.0;692.0;65.0
330.0;-119.0;78.0;220.0;-240.0;517.0;62.0;-388.0;?;69.0
324.0;-142.0;76.0;202.0;-240.0;?;?;?;690.0;?
?;-236.0;71.0;194.0;-241.0;511.0;66.0;-403.0;687.0;82.0
336.0;-214.0;69.0;195.0;-245.0;509.0;69.0;-369.0;?;?
329.0;-171.0;64.0;200.0;?;507.0;74.0;?;678.0;?
309.0;?;60.0;206.0;-256.0;506.0;?;-360.0;672.0;60.0
314.0;-154.0;59.0;?;-263.0;505.0;88.0;-346.0;665.0;80.0
300.0;-194.0;?;172.0;-272.0;503.0;?;?;659.0;80.0
329.0;-111.0;57.0;159.0;-282.0;503.0;107.0;-317.0;652.0;79.0
320.0;-80.0;53.0;164.0;-292.0;503.0;118.0;-299.0;645.0;72.0
330.0;-81.0;53.0;?;-301.0;504.0;?;-269.0;639.0;94.0
347.0;-39.0;52.0;212.0;-307.0;505.0;131.0;-242.0;634.0;84.0
386.0;-23.0;56.0;?;-312.0;507.0;135.0;-245.0;?;84.0
371.0;48.0;63.0;?;-316.0;?;138.0;-254.0;?;87.0
386.0;46.0;69.0;198.0;-320.0;512.0;140.0;-254.0;?;80.0
?;82.0;?;195.0;-323.0;513.0;141.0;-239.0;?;109.0
393.0;113.0;74.0;238.0;-324.0;514.0;140.0;-244.0;620.0;123.0
392.0;133.0;79.0;251.0;-321.0;516.0;137.0;-263.0;?;103.0
401.0;169.0;79.0;222.0;-318.0;516.0;135.0;-287.0;629.0;63.0
339.0;248.0;82.0;185.0;-315.0;516.0;133.0;-308.0;636.0;82.0
491.0;285.0;82.0;197.0;-312.0;515.0;130.0;-309.0;644.0;94.0
448.0;292.0;78.0;212.0;-306.0;514.0;124.0;-310.0;653.0;61.0
332.0;287.0;76.0;216.0;-299.0;514.0;?;-351.0;662.0;70.0
388.0;280.0;?;216.0;-294.0;513.0;115.0;-385.0;670.0;?
342.0;258.0;75.0;206.0;-291.0;513.0;111.0;-410.0;678.0;77.0
408.0;125.0;71.0;160.0;-290.0;510.0;?;?;684.0;69.0
435.0;?;74.0;?;-286.0;513.0;114.0;-367.0;691.0;-23.0
395.0;124.0;75.0;264.0;-284.0;511.0;?;-465.0;696.0;-183.0
388.0;-94.0;68.0;148.0;-285.0;508.0;119.0;-397.0;692.0;20.0
?;-259.0;56.0;224.0;-293.0;505.0;126.0;-413.0;682.0;-103.0
394.0;-265.0;43.0;210.0;-309.0;499.0;136.0;-491.0;668.0;-74.0
405.0;-251.0;27.0;245.0;-327.0;495.0;144.0;-382.0;651.0;-118.0
375.0;-135.0;17.0;298.0;-340.0;494.0;?;-310.0;634.0;-136.0
375.0;-39.0;8.0;311.0;-352.0;495.0;167.0;-388.0;619.0;-87.0
401.0;36.0;0.0;299.0;-369.0;?;178.0;?;604.0;-12.0
408.0;-10.0;1.0;338.0;-384.0;499.0;188.0;-302.0;?;20.0
422.0;-31.0;3.0;303.0;-395.0;501.0;197.0;-277.0;580.0;-14.0
458.0;-15.0;7.0;231.0;-400.0;503.0;202.0;-264.0;573.0;-22.0
444.0;29.0;10.0;216.0;-403.0;505.0;?;-261.0;569.0;10.0
490.0;61.0;15.0;?;-404.0;506.0;204.0;?;568.0;0.0
478.0;111.0;20.0;257.0;-403.0;507.0;202.0;-263.0;569.0;50.0
?;82.0;27.0;259.0;-399.0;508.0;?;-286.0;574.0;96.0
457.0;14.0;?;244.0;-391.0;507.0;192.0;?;581.0;55.0
463.0;-46.0;36.0;219.0;?;506.0;186.0;-334.0;590.0;?
437.0;?;36.0;204.0;-373.0;505.0;180.0;-384.0;602.0;59.0
446.0;-39.0;33.0;240.0;?;?;174.0;-407.0;615.0;35.0
436.0;-27.0;32.0;251.0;-352.0;503.0;167.0;-421.0;628.0;23.0
430.0;-45.0;31.0;241.0;?;503.0;?;-448.0;642.0;28.0
415.0;-74.0;32.0;255.0;-330.0;503.0;?;?;654.0;49.0
409.0;-18.0;36.0;261.0;-322.0;505.0;149.0;-459.0;664.0;55.0
?;-63.0;40.0;274.0;-314.0;?;142.0;-444.0;672.0;55.0
?;-74.0;?;271.0;-306.0;509.0;135.0;-435.0;678.0;69.0
349.0;-99.0;51.0;267.0;?;511.0;128.0;-442.0;683.0;79.0
?;?;61.0;261.0;-293.0;514.0;124.0;-442.0;687.0;71.0
341.0;-123.0;65.0;248.0;-291.0;515.0;122.0;-431.0;689.0;60.0
329.0;-142.0;71.0;243.0;-291.0;?;122.0;-400.0;689.0;40.0
358.0;-166.0;75.0;236.0;-292.0;518.0;123.0;-371.0;688.0;63.0
330.0;-156.0;77.0;233.0;-293.0;518.0;124.0;-343.0;684.0;81.0
329.0;-187.0;78.0;217.0;-294.0;517.0;125.0;-337.0;679.0;91.0
310.0;-168.0;78.0;?;-297.0;516.0;127.0;-346.0;672.0;72.0
?;-119.0;77.0;206.0;-302.0;515.0;131.0;-322.0;665.0;81.0
331.0;-89.0;74.0;197.0;-307.0;514.0;135.0;-299.0;657.0;78.0
326.0;-72.0;73.0;165.0;-311.0;513.0;139.0;-296.0;650.0;?
347.0;-70.0;72.0;133.0;-314.0;513.0;143.0;-293.0;644.0;?
?;-74.0;75.0;147.0;-319.0;514.0;149.0;-293.0;?;121.0
358.0;-82.0;80.0;162.0;-325.0;516.0;155.0;-286.0;632.0;100.0
?;-55.0;84.0;156.0;-330.0;519.0;161.0;-265.0;627.0;75.0
354.0;34.0;88.0;155.0;-335.0;521.0;?;-246.0;622.0;?
