Accelerometer LUA^ accZ;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit LUA magneticX;Accelerometer LH accY;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK gyroZ
805.0;-458.0;?;795;104.0;-829.0;-24;?;310;-305.0;-73.0
?;-487.0;-672.0;797;185.0;-801.0;?;-179;313;-220.0;-34.0
863.0;-496.0;-645.0;793;258.0;-753.0;-24;-178;315;-145.0;64.0
918.0;?;-617.0;?;323.0;-524.0;-24;-178;310;-80.0;124.0
909.0;?;-580.0;794;?;-695.0;-24;?;308;-9.0;70.0
841.0;-458.0;-539.0;793;450.0;-689.0;?;-178;308;53.0;79.0
?;-435.0;-488.0;797;507.0;-719.0;-24;-178;304;120.0;79.0
911.0;-403.0;-435.0;?;556.0;-581.0;-24;?;?;173.0;58.0
867.0;-361.0;-391.0;795;595.0;-1035.0;-24;-178;309;224.0;?
824.0;-314.0;?;797;632.0;-1387.0;-24;-178;307;272.0;143.0
?;-260.0;?;795;662.0;-1410.0;-24;-178;307;305.0;148.0
776.0;-212.0;-238.0;794;685.0;-1391.0;-24;-178;310;317.0;213.0
?;-175.0;-196.0;795;?;-1329.0;-24;-178;310;?;183.0
772.0;-149.0;-165.0;797;711.0;-1044.0;-24;-179;?;300.0;47.0
902.0;-138.0;-138.0;799;714.0;-921.0;-24;-178;313;292.0;39.0
1059.0;-143.0;-128.0;804;717.0;-855.0;-24;?;309;293.0;20.0
1297.0;-155.0;-139.0;797;712.0;-891.0;-24;-178;310;286.0;80.0
1374.0;-171.0;-150.0;?;?;-867.0;-24;?;316;279.0;44.0
?;-187.0;-154.0;796;716.0;-965.0;?;-178;314;277.0;-24.0
1068.0;-199.0;-168.0;801;714.0;-905.0;-24;-178;309;270.0;?
989.0;-209.0;-179.0;798;710.0;-870.0;-24;-178;307;265.0;-100.0
871.0;-217.0;-203.0;?;703.0;-975.0;-24;-178;304;255.0;-119.0
1051.0;-270.0;-666.0;?;-219.0;-932.0;?;-178;312;-523.0;63.0
?;-277.0;-669.0;800;-209.0;?;-24;-178;311;-508.0;47.0
995.0;-278.0;-671.0;796;-208.0;-640.0;-24;-178;308;-510.0;28.0
896.0;-273.0;-672.0;797;-205.0;-630.0;-24;-179;307;-526.0;23.0
1007.0;?;-676.0;?;-201.0;-715.0;-24;-178;313;-526.0;-26.0
989.0;-291.0;-680.0;796;-189.0;-791.0;-24;-178;314;-528.0;-18.0
970.0;-316.0;?;797;-173.0;-750.0;?;?;310;-513.0;-43.0
944.0;-338.0;-689.0;795;-144.0;-764.0;-24;-178;312;-498.0;-37.0
944.0;-363.0;-698.0;?;-107.0;-813.0;-24;-178;?;?;-56.0
871.0;-400.0;-702.0;797;-55.0;-902.0;?;-179;303;-438.0;-97.0
782.0;-435.0;-705.0;?;9.0;-814.0;-24;?;308;-390.0;-103.0
780.0;-472.0;?;796;88.0;-797.0;-24;?;?;-322.0;-86.0
875.0;-494.0;-685.0;796;166.0;-738.0;-24;-178;312;-256.0;?
855.0;-506.0;-669.0;793;241.0;-624.0;-24;-178;306;-194.0;-41.0
890.0;-509.0;?;?;317.0;-564.0;?;-178;303;-117.0;22.0
861.0;-499.0;?;799;390.0;-674.0;-24;-178;310;-36.0;78.0
843.0;-478.0;-533.0;795;462.0;-709.0;-24;-178;313;49.0;78.0
857.0;-447.0;-476.0;793;520.0;-597.0;-24;-178;309;121.0;98.0
813.0;-404.0;-428.0;797;566.0;?;-24;-178;309;178.0;41.0
812.0;-355.0;?;797;609.0;?;-24;-178;311;228.0;8.0
800.0;-300.0;-311.0;795;644.0;-1290.0;-24;-178;312;269.0;15.0
795.0;-243.0;-254.0;801;675.0;-1406.0;-24;-178;305;?;38.0
751.0;-197.0;-209.0;797;691.0;-1131.0;-24;?;?;297.0;146.0
?;-163.0;-175.0;798;701.0;-1029.0;?;?;307;292.0;67.0
872.0;-143.0;-147.0;801;707.0;-973.0;-24;-178;310;?;29.0
1044.0;?;-131.0;800;709.0;?;-24;-178;306;274.0;20.0
1197.0;-143.0;-141.0;?;703.0;?;-24;-178;?;264.0;16.0
1300.0;-155.0;-150.0;793;703.0;-1034.0;-24;-178;309;263.0;37.0
1200.0;?;?;798;708.0;-1104.0;-24;-178;?;269.0;59.0
1084.0;-184.0;-168.0;802;707.0;-1174.0;-24;-178;310;266.0;-10.0
981.0;-203.0;-184.0;800;704.0;-1157.0;-24;?;308;260.0;-66.0
1037.0;-176.0;-701.0;803;-191.0;90.0;?;-178;308;-522.0;?
726.0;-181.0;-707.0;785;-174.0;238.0;-24;-178;322;-526.0;38.0
972.0;-183.0;-715.0;798;-146.0;619.0;-24;-178;310;?;27.0
874.0;-187.0;?;805;-101.0;784.0;-24;-179;306;-540.0;44.0
795.0;-182.0;-726.0;798;-40.0;1066.0;-24;-178;309;-533.0;42.0
678.0;-172.0;-734.0;795;22.0;1616.0;?;-178;308;-515.0;-87.0
595.0;-161.0;-728.0;804;108.0;2014.0;-24;-178;308;-496.0;-25.0
488.0;-144.0;-697.0;798;200.0;2099.0;-24;-178;309;-480.0;13.0
494.0;-122.0;-603.0;796;305.0;2011.0;-24;-179;308;-474.0;49.0
541.0;-93.0;-481.0;803;386.0;2261.0;-24;-179;308;-467.0;92.0
630.0;-65.0;-343.0;?;445.0;2193.0;-24;-178;319;-467.0;146.0
940.0;-30.0;-147.0;804;?;1612.0;-24;?;319;-473.0;218.0
998.0;16.0;60.0;769;?;1227.0;-24;-175;320;-480.0;156.0
863.0;57.0;287.0;749;575.0;?;-24;-183;322;-487.0;157.0
734.0;102.0;448.0;809;594.0;1144.0;-24;-176;326;-487.0;128.0
694.0;?;551.0;816;610.0;1275.0;-24;-176;343;-482.0;139.0
?;194.0;613.0;791;?;1246.0;-24;-190;349;-466.0;144.0
389.0;229.0;636.0;789;634.0;1135.0;-24;?;349;-455.0;113.0
487.0;263.0;621.0;794;636.0;1101.0;-24;-218;?;-445.0;98.0
306.0;287.0;?;805;637.0;1128.0;-24;-104;315;-439.0;96.0
210.0;300.0;624.0;?;647.0;1191.0;-24;192;331;-440.0;98.0
344.0;310.0;610.0;795;644.0;1187.0;-24;188;328;-443.0;?
386.0;313.0;596.0;797;641.0;1128.0;-24;152;?;-451.0;132.0
397.0;318.0;564.0;793;629.0;1114.0;-24;204;336;-456.0;112.0
386.0;314.0;550.0;797;622.0;1135.0;-24;148;322;-465.0;119.0
358.0;?;550.0;805;627.0;1112.0;-24;208;318;-469.0;120.0
286.0;301.0;529.0;792;621.0;1143.0;-24;162;327;?;103.0
304.0;294.0;504.0;789;614.0;1112.0;-24;-144;?;-476.0;132.0
?;285.0;454.0;798;599.0;1044.0;-24;-209;326;-477.0;108.0
164.0;280.0;419.0;784;594.0;983.0;-24;-157;333;-476.0;125.0
192.0;274.0;393.0;787;592.0;936.0;-24;-192;322;-476.0;112.0
142.0;268.0;357.0;784;582.0;942.0;-24;-173;338;-478.0;104.0
?;265.0;323.0;765;575.0;936.0;-24;-180;362;-481.0;?
134.0;264.0;291.0;785;?;940.0;-24;-181;345;-491.0;52.0
168.0;260.0;271.0;791;556.0;945.0;-24;-177;342;-496.0;16.0
150.0;261.0;259.0;783;552.0;942.0;-24;-182;342;-500.0;-19.0
?;262.0;257.0;785;?;1017.0;-24;-179;333;-501.0;-32.0
230.0;264.0;259.0;?;547.0;1080.0;-24;-180;?;-506.0;?
225.0;269.0;279.0;785;552.0;1101.0;-24;-180;346;-509.0;?
245.0;273.0;299.0;795;554.0;1093.0;-24;?;324;-512.0;-97.0
276.0;275.0;318.0;799;554.0;1099.0;-24;-179;322;-511.0;?
285.0;280.0;349.0;794;554.0;1078.0;-24;-179;336;-508.0;-87.0
271.0;284.0;381.0;786;558.0;1069.0;-24;-179;329;-505.0;?
267.0;288.0;421.0;790;563.0;1050.0;-24;-179;323;-500.0;-102.0
271.0;291.0;447.0;799;568.0;1051.0;-24;-179;332;-497.0;-108.0
225.0;294.0;466.0;800;574.0;?;-24;-179;323;-499.0;-74.0
226.0;295.0;484.0;795;?;1005.0;-24;-179;309;-496.0;-100.0
245.0;296.0;500.0;795;585.0;1000.0;-24;-179;314;-494.0;-57.0
215.0;297.0;?;800;589.0;995.0;-24;-179;303;-491.0;-50.0
198.0;297.0;512.0;798;596.0;?;-24;-179;313;?;?
221.0;299.0;519.0;801;600.0;?;-24;?;323;-486.0;-26.0
215.0;296.0;521.0;801;602.0;775.0;-24;-179;306;-489.0;-16.0
222.0;296.0;517.0;783;603.0;548.0;-24;-179;352;-493.0;-20.0
215.0;292.0;505.0;805;601.0;1186.0;-24;-178;305;-497.0;-27.0
232.0;293.0;495.0;818;600.0;1538.0;-24;-177;193;?;-8.0
244.0;290.0;490.0;783;598.0;?;-24;-178;289;-513.0;75.0
256.0;287.0;?;786;596.0;?;?;-178;375;-520.0;141.0
223.0;281.0;460.0;803;592.0;824.0;-24;-178;294;-522.0;126.0
245.0;276.0;448.0;795;575.0;1007.0;-24;-178;291;-534.0;148.0
194.0;270.0;437.0;797;?;1261.0;-24;-178;310;-540.0;-64.0
226.0;263.0;416.0;?;?;1258.0;-24;-178;292;-538.0;-40.0
493.0;251.0;379.0;799;527.0;?;-24;-178;?;-535.0;-27.0
337.0;240.0;338.0;801;522.0;1016.0;-24;-178;312;-526.0;-18.0
292.0;232.0;293.0;793;517.0;978.0;-24;-178;296;-517.0;15.0
309.0;227.0;264.0;799;?;1010.0;-24;-178;309;-507.0;9.0
281.0;229.0;248.0;804;506.0;1057.0;-24;-178;308;-504.0;9.0
206.0;?;242.0;794;499.0;1029.0;-24;-178;309;-502.0;25.0
363.0;239.0;241.0;797;494.0;1010.0;-24;-178;308;-502.0;14.0
403.0;244.0;250.0;?;494.0;953.0;-24;-178;308;-500.0;-6.0
274.0;248.0;264.0;?;494.0;958.0;-24;-178;311;-496.0;-46.0
273.0;256.0;275.0;805;499.0;1016.0;-24;?;309;-490.0;-27.0
275.0;263.0;?;805;504.0;980.0;-24;-178;312;-486.0;?
276.0;268.0;311.0;803;514.0;951.0;-24;-178;307;-483.0;-42.0
273.0;275.0;340.0;807;517.0;990.0;-24;-178;303;-476.0;-78.0
?;276.0;359.0;799;527.0;1050.0;-24;-177;322;-472.0;-72.0
294.0;278.0;378.0;791;532.0;1028.0;-24;-177;?;-468.0;-76.0
?;278.0;399.0;797;541.0;943.0;-24;-177;309;-466.0;-79.0
290.0;281.0;419.0;796;546.0;972.0;-24;-177;323;?;-89.0
308.0;281.0;436.0;790;551.0;981.0;-24;-177;331;-461.0;-79.0
325.0;285.0;?;?;557.0;993.0;?;-177;324;-457.0;-46.0
312.0;286.0;457.0;793;559.0;996.0;-24;-177;318;-455.0;-89.0
322.0;290.0;461.0;799;563.0;958.0;-24;-177;319;-455.0;-79.0
329.0;294.0;460.0;795;566.0;1005.0;?;-177;307;-456.0;-38.0
301.0;?;456.0;797;566.0;955.0;-24;-177;308;?;-22.0
286.0;?;450.0;800;567.0;983.0;-24;-177;314;-458.0;9.0
?;308.0;448.0;793;567.0;1016.0;-24;-177;315;-462.0;39.0
254.0;312.0;441.0;800;567.0;?;-24;-177;330;-470.0;124.0
244.0;316.0;433.0;797;565.0;1059.0;-24;-177;315;-477.0;153.0
253.0;318.0;420.0;794;562.0;1018.0;-24;-177;306;-489.0;?
244.0;321.0;?;797;562.0;995.0;-24;-178;324;-494.0;135.0
241.0;?;408.0;797;560.0;994.0;-24;-178;318;-502.0;107.0
220.0;320.0;404.0;799;556.0;986.0;-24;-178;?;-503.0;86.0
227.0;319.0;400.0;792;554.0;1007.0;-24;-178;307;-506.0;45.0
?;321.0;397.0;792;550.0;?;-24;-177;309;-507.0;14.0
235.0;319.0;389.0;801;548.0;1007.0;-24;-178;322;-510.0;1.0
243.0;318.0;386.0;802;547.0;1022.0;-24;-176;325;-512.0;?
248.0;?;380.0;804;548.0;989.0;?;-178;321;-512.0;-9.0
?;313.0;378.0;804;550.0;1008.0;-24;-177;321;-513.0;-35.0
232.0;311.0;380.0;796;549.0;1009.0;-24;-174;?;?;-35.0
?;310.0;385.0;802;?;1005.0;?;-182;320;-514.0;-43.0
233.0;309.0;389.0;804;550.0;988.0;-24;-168;308;-511.0;-24.0
?;307.0;397.0;806;552.0;940.0;-24;-187;315;-507.0;-67.0
265.0;309.0;407.0;?;?;895.0;-24;-170;317;-505.0;-44.0
254.0;308.0;414.0;798;554.0;674.0;-24;-171;300;-504.0;-98.0
?;311.0;421.0;819;557.0;984.0;-24;-218;333;?;?
262.0;310.0;424.0;808;558.0;1524.0;-24;38;319;-503.0;-64.0
245.0;311.0;428.0;?;559.0;930.0;-25;225;301;-507.0;-78.0
252.0;311.0;427.0;786;561.0;741.0;-25;?;323;-507.0;-54.0
226.0;?;421.0;780;565.0;773.0;-25;183;292;-507.0;5.0
234.0;303.0;424.0;789;564.0;1064.0;-25;183;293;-512.0;5.0
239.0;299.0;428.0;804;558.0;1359.0;-24;173;325;-516.0;?
165.0;301.0;425.0;807;552.0;1262.0;-24;185;300;-513.0;-112.0
468.0;296.0;411.0;800;543.0;1011.0;-24;176;296;-520.0;-76.0
408.0;289.0;386.0;794;539.0;934.0;-24;?;314;-525.0;-91.0
154.0;282.0;359.0;799;538.0;972.0;?;179;?;-527.0;-81.0
249.0;277.0;335.0;799;536.0;1033.0;-24;179;307;-531.0;-68.0
189.0;279.0;?;796;534.0;1026.0;-24;179;307;-532.0;-5.0
158.0;280.0;?;799;534.0;986.0;-24;182;301;-537.0;37.0
281.0;283.0;286.0;803;531.0;962.0;-24;176;?;-543.0;59.0
294.0;281.0;285.0;796;529.0;1005.0;-24;183;308;-548.0;65.0
267.0;?;287.0;793;530.0;974.0;-24;?;310;-547.0;70.0
298.0;288.0;?;804;531.0;992.0;?;175;303;-548.0;35.0
305.0;292.0;310.0;800;534.0;996.0;-24;192;307;-543.0;44.0
305.0;298.0;?;799;534.0;?;-24;155;307;-541.0;21.0
301.0;302.0;351.0;799;?;985.0;-24;216;308;-540.0;?
249.0;309.0;363.0;795;?;989.0;-24;122;306;-540.0;33.0
228.0;312.0;381.0;801;544.0;?;-24;-182;303;-540.0;11.0
256.0;317.0;398.0;798;551.0;954.0;-24;-197;320;-539.0;29.0
275.0;321.0;416.0;798;557.0;915.0;-24;-161;317;-540.0;10.0
269.0;324.0;431.0;800;563.0;?;-24;-194;316;-542.0;26.0
302.0;325.0;441.0;794;565.0;958.0;-24;-171;315;-541.0;35.0
286.0;326.0;452.0;?;572.0;950.0;-24;-182;307;?;16.0
350.0;325.0;463.0;797;575.0;958.0;-24;-179;318;-542.0;50.0
389.0;326.0;471.0;795;580.0;998.0;-24;-177;322;-540.0;97.0
347.0;322.0;476.0;796;583.0;1014.0;-24;-181;328;-539.0;69.0
326.0;322.0;479.0;794;?;1011.0;-24;-178;328;-538.0;91.0
326.0;319.0;483.0;786;588.0;1058.0;-24;-179;330;-536.0;120.0
?;315.0;482.0;?;585.0;1035.0;-24;-179;340;-535.0;99.0
318.0;311.0;480.0;793;583.0;1043.0;?;-179;?;-535.0;144.0
276.0;308.0;474.0;793;580.0;1048.0;-24;-179;327;-535.0;140.0
?;307.0;469.0;796;579.0;1030.0;-24;-179;328;-535.0;91.0
243.0;304.0;458.0;801;574.0;1040.0;-24;-179;320;-535.0;?
224.0;302.0;?;796;572.0;1048.0;-24;-179;322;-535.0;-14.0
240.0;298.0;429.0;793;568.0;1057.0;-24;-179;317;-536.0;-23.0
262.0;297.0;415.0;795;564.0;1038.0;-24;?;307;-533.0;-61.0
260.0;299.0;407.0;792;564.0;1035.0;-24;-178;315;-533.0;-84.0
251.0;300.0;396.0;798;561.0;1012.0;-24;-178;319;-529.0;-91.0
238.0;300.0;386.0;803;559.0;995.0;-24;-178;310;-527.0;-72.0
198.0;300.0;376.0;796;555.0;1006.0;-24;-178;312;-524.0;-78.0
203.0;304.0;373.0;800;555.0;999.0;-24;-178;?;-520.0;-82.0
174.0;305.0;371.0;805;556.0;?;-24;-178;303;?;-107.0
184.0;309.0;372.0;799;557.0;1030.0;-23;-178;304;-516.0;-130.0
206.0;313.0;375.0;800;558.0;?;-24;?;300;-511.0;-131.0
226.0;314.0;382.0;803;559.0;987.0;-24;-177;313;-506.0;-163.0
222.0;319.0;392.0;803;562.0;801.0;-24;-177;312;?;-157.0
227.0;321.0;399.0;798;564.0;?;-24;-177;308;-490.0;-168.0
215.0;327.0;408.0;?;563.0;1339.0;-24;-177;309;-487.0;-149.0
200.0;?;412.0;?;563.0;1034.0;-24;-178;278;-484.0;-125.0
?;333.0;415.0;789;568.0;786.0;-24;?;314;?;-85.0
161.0;334.0;416.0;775;571.0;764.0;-24;-178;?;-490.0;-75.0
160.0;332.0;416.0;766;573.0;875.0;-24;-178;308;-495.0;-119.0
203.0;331.0;421.0;?;571.0;1115.0;-24;-178;319;-507.0;-135.0
136.0;327.0;421.0;811;566.0;1339.0;-24;-178;298;-507.0;-255.0
?;321.0;413.0;803;563.0;1197.0;-23;-178;304;-509.0;-172.0
432.0;309.0;396.0;787;556.0;1018.0;-23;-178;322;-508.0;-157.0
250.0;301.0;377.0;798;553.0;958.0;-23;-178;313;?;-117.0
?;290.0;354.0;794;550.0;996.0;-23;-178;315;-499.0;?
?;283.0;335.0;799;547.0;1054.0;-23;-178;308;?;-48.0
119.0;280.0;312.0;?;543.0;1013.0;-23;-178;306;-495.0;-29.0
255.0;279.0;295.0;?;540.0;981.0;-23;-178;310;-498.0;45.0
260.0;279.0;284.0;802;540.0;961.0;?;-178;310;?;78.0
168.0;278.0;276.0;799;538.0;964.0;-23;-178;311;-509.0;66.0
197.0;277.0;277.0;799;539.0;988.0;-23;-178;307;-510.0;69.0
184.0;?;281.0;799;536.0;1000.0;-23;?;301;-513.0;25.0
214.0;281.0;291.0;?;535.0;1013.0;-23;-178;306;-508.0;61.0
212.0;284.0;300.0;797;535.0;1010.0;-23;-178;309;-504.0;60.0
211.0;289.0;311.0;802;?;993.0;-23;-178;313;-504.0;68.0
193.0;292.0;325.0;799;541.0;969.0;-23;-178;306;-502.0;?
207.0;294.0;345.0;799;545.0;983.0;-23;?;?;-502.0;73.0
224.0;299.0;363.0;?;548.0;1004.0;-23;-178;318;-500.0;?
215.0;?;376.0;812;551.0;1016.0;-23;-178;309;-498.0;40.0
240.0;308.0;?;810;556.0;?;-23;?;308;-498.0;32.0
265.0;311.0;408.0;797;560.0;968.0;-23;-178;324;-498.0;?
255.0;311.0;423.0;800;?;982.0;-23;-178;315;-502.0;54.0
285.0;312.0;435.0;807;574.0;?;-23;-178;312;-502.0;42.0
289.0;313.0;447.0;809;577.0;986.0;-23;-178;320;-505.0;46.0
319.0;314.0;459.0;811;579.0;1001.0;-23;-177;305;-506.0;59.0
316.0;311.0;465.0;786;583.0;1004.0;-23;-177;296;?;?
327.0;?;471.0;782;?;985.0;-23;?;296;-503.0;?
303.0;?;474.0;798;587.0;987.0;?;-176;300;-503.0;100.0
278.0;308.0;477.0;797;589.0;1028.0;-23;-176;311;-502.0;77.0
297.0;307.0;479.0;797;587.0;1039.0;-23;-176;307;-501.0;?
272.0;304.0;475.0;791;586.0;1047.0;-23;-177;308;-499.0;63.0
280.0;300.0;466.0;799;582.0;1039.0;-23;-177;314;-500.0;39.0
258.0;299.0;457.0;809;?;1079.0;-23;-177;319;-502.0;-14.0
240.0;297.0;451.0;796;577.0;1056.0;-23;-177;319;?;-12.0
231.0;295.0;437.0;?;573.0;1073.0;?;-177;314;-506.0;30.0
?;294.0;426.0;796;?;1053.0;-23;-177;314;-506.0;-7.0
254.0;294.0;409.0;805;562.0;?;-23;-177;310;-503.0;-3.0
193.0;293.0;397.0;805;557.0;1011.0;-23;-177;306;-499.0;30.0
205.0;297.0;386.0;801;556.0;1024.0;-23;-177;306;-493.0;11.0
190.0;298.0;?;803;551.0;1027.0;-23;-177;300;-492.0;-23.0
179.0;300.0;358.0;803;549.0;996.0;-23;-177;299;-494.0;?
?;?;345.0;801;546.0;985.0;-23;-177;306;-496.0;-77.0
162.0;305.0;334.0;?;547.0;1017.0;?;-177;305;-495.0;-95.0
?;306.0;329.0;?;546.0;1027.0;-23;-177;304;-492.0;-103.0
145.0;308.0;330.0;803;547.0;974.0;-23;-176;302;-493.0;-170.0
164.0;309.0;333.0;805;549.0;949.0;-23;-176;298;-493.0;-210.0
218.0;312.0;?;807;551.0;895.0;-23;-176;?;-492.0;-210.0
230.0;314.0;360.0;804;554.0;783.0;-23;-176;301;-486.0;-208.0
229.0;?;?;?;557.0;?;-23;-176;310;-483.0;-226.0
229.0;315.0;386.0;795;560.0;1488.0;?;-176;329;-478.0;-191.0
206.0;316.0;400.0;805;566.0;1012.0;-23;-177;297;-473.0;-204.0
204.0;318.0;414.0;797;572.0;794.0;-24;-180;320;-471.0;-156.0
204.0;317.0;423.0;765;576.0;828.0;-24;-180;370;-471.0;-116.0
215.0;313.0;435.0;766;574.0;1008.0;-24;-179;306;-472.0;-146.0
253.0;310.0;?;803;571.0;1313.0;-24;-180;291;-480.0;-206.0
171.0;305.0;447.0;809;?;1350.0;-23;-179;320;-477.0;-238.0
342.0;298.0;433.0;804;553.0;?;-23;-179;306;-473.0;?
?;289.0;406.0;?;546.0;1020.0;-23;-179;316;-467.0;?
168.0;282.0;376.0;791;541.0;1015.0;-23;-179;?;-458.0;-150.0
296.0;274.0;341.0;794;532.0;1053.0;-23;-179;311;-451.0;-59.0
156.0;268.0;307.0;799;523.0;1065.0;-23;-179;310;?;?
131.0;264.0;263.0;?;512.0;993.0;-23;-179;309;?;94.0
273.0;269.0;230.0;797;505.0;?;-23;-179;?;-434.0;130.0
258.0;269.0;?;798;496.0;918.0;-23;-179;307;-436.0;164.0
170.0;268.0;179.0;793;489.0;891.0;-23;-179;314;?;?
191.0;268.0;160.0;797;481.0;928.0;-23;-180;317;-440.0;207.0
201.0;271.0;147.0;804;476.0;959.0;-23;-178;313;-443.0;164.0
?;273.0;144.0;804;475.0;989.0;-23;-181;319;-444.0;119.0
225.0;275.0;147.0;?;?;1034.0;?;-177;317;-444.0;132.0
216.0;275.0;160.0;?;478.0;?;-23;-181;314;-448.0;74.0
255.0;273.0;180.0;799;483.0;1082.0;-23;-180;321;-449.0;46.0
256.0;273.0;?;804;491.0;?;-23;?;305;-449.0;?
295.0;272.0;248.0;?;498.0;1098.0;?;-192;308;-447.0;?
?;272.0;270.0;801;500.0;1070.0;-23;-156;314;?;?
342.0;273.0;306.0;806;506.0;1039.0;-23;-207;303;-440.0;10.0
321.0;?;338.0;801;514.0;1027.0;-23;-146;307;-439.0;8.0
?;274.0;370.0;805;524.0;985.0;-23;157;?;-439.0;59.0
320.0;276.0;393.0;799;534.0;990.0;-23;?;319;-436.0;67.0
270.0;281.0;411.0;797;543.0;970.0;-23;155;?;?;73.0
312.0;284.0;424.0;804;553.0;976.0;?;190;325;-436.0;73.0
321.0;292.0;439.0;?;?;978.0;-23;168;327;-440.0;?
322.0;295.0;445.0;801;?;968.0;-23;177;324;-445.0;75.0
?;301.0;451.0;800;574.0;969.0;-23;177;320;-450.0;56.0
355.0;304.0;?;796;578.0;?;-23;173;?;-455.0;58.0
337.0;304.0;463.0;807;579.0;971.0;-23;178;320;-461.0;?
293.0;?;?;809;580.0;?;-23;175;322;-466.0;28.0
276.0;304.0;451.0;798;577.0;1009.0;-23;176;310;-469.0;65.0
269.0;304.0;444.0;792;577.0;1054.0;-23;176;288;-470.0;79.0
244.0;305.0;437.0;787;577.0;1032.0;-23;176;295;-472.0;48.0
?;308.0;427.0;790;575.0;1079.0;?;176;297;-475.0;90.0
222.0;309.0;?;796;572.0;1102.0;-23;?;292;-478.0;73.0
240.0;309.0;405.0;801;566.0;?;-24;176;297;-481.0;20.0
197.0;311.0;397.0;807;564.0;1001.0;-24;176;294;-484.0;-5.0
196.0;313.0;389.0;805;560.0;1009.0;-24;176;284;-489.0;-29.0
181.0;318.0;379.0;799;556.0;1011.0;?;176;283;?;-58.0
?;320.0;368.0;794;555.0;996.0;-24;175;294;-493.0;-31.0
141.0;320.0;357.0;793;554.0;1022.0;-24;178;?;-493.0;-69.0
149.0;324.0;349.0;807;556.0;1044.0;-24;173;299;?;-74.0
180.0;?;347.0;811;?;1044.0;-24;179;301;-486.0;-48.0
174.0;326.0;348.0;799;558.0;1043.0;-24;176;296;-483.0;-91.0
183.0;328.0;353.0;799;560.0;1042.0;-24;172;288;-482.0;-106.0
215.0;?;366.0;804;559.0;976.0;-24;?;299;-480.0;-89.0
222.0;332.0;379.0;797;560.0;972.0;-24;153;296;-476.0;-70.0
203.0;333.0;?;799;562.0;906.0;-24;213;298;-475.0;-120.0
202.0;336.0;398.0;?;?;937.0;-24;130;301;-474.0;-105.0
192.0;339.0;407.0;797;569.0;782.0;-24;-175;302;-475.0;?
191.0;341.0;415.0;793;?;1142.0;-23;-197;327;-474.0;-128.0
204.0;341.0;422.0;802;577.0;1381.0;-24;?;313;-476.0;-120.0
228.0;340.0;429.0;794;580.0;1062.0;-24;-191;343;-475.0;-103.0
192.0;339.0;432.0;773;580.0;882.0;-24;-169;400;-479.0;-110.0
174.0;334.0;435.0;780;580.0;880.0;-24;-179;339;-482.0;-165.0
159.0;?;437.0;800;570.0;1191.0;-24;-177;285;-482.0;-188.0
169.0;?;435.0;800;559.0;1365.0;-24;-175;314;-481.0;-270.0
112.0;?;429.0;?;?;1369.0;-24;-179;304;-474.0;-336.0
389.0;301.0;402.0;810;531.0;1190.0;-24;?;286;-465.0;-227.0
?;289.0;362.0;805;518.0;?;-24;-177;303;-450.0;-166.0
