Accelerometer LUA_ accZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit RLA accY;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA accY;InertialMeasurementUnit LLA Quaternion1;Accelerometer RUA_ accZ
484.0;-53.0;183.0;345.0;-393.0;513.0;160.0;-414.0;655.0;124.0
240.0;94.0;-212.0;332.0;-519.0;410.0;453.0;-147.0;522.0;-45.0
390.0;21.0;-353.0;425.0;-309.0;241.0;125.0;-268.0;666.0;171.0
395.0;17.0;-6.0;255.0;-253.0;497.0;75.0;-323.0;614.0;106.0
215.0;324.0;602.0;233.0;-4.0;492.0;-128.0;-383.0;746.0;172.0
265.0;-129.0;453.0;211.0;190.0;490.0;-358.0;-385.0;753.0;99.0
396.0;36.0;-12.0;317.0;-337.0;488.0;132.0;-330.0;629.0;62.0
432.0;-13.0;-44.0;80.0;-460.0;-191.0;293.0;-378.0;565.0;665.0
363.0;16.0;5.0;289.0;-318.0;498.0;112.0;-362.0;643.0;52.0
388.0;6.0;6.0;305.0;-324.0;493.0;119.0;-358.0;635.0;51.0
432.0;-302.0;705.0;164.0;-60.0;465.0;-86.0;-400.0;756.0;-59.0
766.0;54.0;-227.0;788.0;-514.0;300.0;414.0;-695.0;157.0;-76.0
574.0;249.0;728.0;622.0;222.0;378.0;-587.0;-511.0;470.0;-40.0
415.0;-377.0;208.0;496.0;-262.0;503.0;51.0;42.0;720.0;-41.0
388.0;57.0;38.0;285.0;-187.0;513.0;30.0;-457.0;689.0;107.0
718.0;85.0;-105.0;303.0;-568.0;112.0;394.0;-844.0;177.0;297.0
389.0;-244.0;868.0;377.0;496.0;140.0;-799.0;-471.0;462.0;-68.0
244.0;-1597.0;-334.0;537.0;-32.0;29.0;-118.0;-427.0;762.0;367.0
770.0;-417.0;-65.0;518.0;140.0;154.0;-734.0;-719.0;473.0;190.0
294.0;-28.0;-372.0;530.0;291.0;-80.0;-72.0;-389.0;-624.0;325.0
391.0;428.0;-431.0;358.0;-339.0;207.0;157.0;-268.0;642.0;196.0
1002.0;-17.0;-385.0;207.0;-618.0;-20.0;622.0;-974.0;-368.0;730.0
395.0;84.0;171.0;530.0;-238.0;393.0;76.0;-343.0;700.0;-60.0
386.0;145.0;-59.0;357.0;-316.0;476.0;119.0;-323.0;642.0;112.0
382.0;2.0;10.0;310.0;-352.0;497.0;157.0;-331.0;624.0;51.0
349.0;-11.0;8.0;317.0;-371.0;493.0;173.0;-379.0;613.0;40.0
426.0;-103.0;250.0;107.0;8.0;508.0;-227.0;-202.0;718.0;160.0
183.0;462.0;-215.0;722.0;-258.0;435.0;34.0;-186.0;682.0;91.0
308.0;218.0;969.0;243.0;546.0;164.0;-758.0;-202.0;440.0;146.0
474.0;728.0;-307.0;631.0;-411.0;395.0;284.0;-198.0;620.0;-77.0
400.0;-71.0;24.0;292.0;-257.0;502.0;71.0;-363.0;666.0;78.0
369.0;46.0;956.0;234.0;-300.0;531.0;74.0;-122.0;642.0;99.0
250.0;1538.0;90.0;462.0;-512.0;415.0;370.0;-325.0;492.0;142.0
347.0;-17.0;12.0;291.0;-354.0;499.0;161.0;-317.0;620.0;62.0
385.0;77.0;42.0;274.0;-298.0;502.0;100.0;-322.0;661.0;35.0
368.0;-4.0;12.0;292.0;-321.0;501.0;119.0;-306.0;636.0;48.0
350.0;4.0;8.0;317.0;-324.0;498.0;121.0;-350.0;635.0;50.0
362.0;13.0;9.0;298.0;-324.0;498.0;120.0;-329.0;635.0;80.0
336.0;-210.0;101.0;223.0;-225.0;528.0;37.0;-413.0;699.0;58.0
339.0;-571.0;104.0;212.0;-492.0;474.0;346.0;-132.0;454.0;106.0
365.0;205.0;207.0;330.0;-435.0;508.0;146.0;-258.0;537.0;-131.0
354.0;-104.0;-12.0;358.0;-384.0;481.0;193.0;-330.0;598.0;62.0
376.0;-11.0;-1.0;313.0;-355.0;491.0;153.0;-351.0;625.0;52.0
379.0;11.0;73.0;232.0;-270.0;512.0;88.0;-313.0;646.0;84.0
402.0;20.0;-6.0;303.0;-360.0;490.0;159.0;-335.0;621.0;47.0
367.0;-126.0;105.0;624.0;-243.0;399.0;74.0;-332.0;687.0;-94.0
361.0;8.0;-10.0;320.0;-339.0;491.0;134.0;-325.0;628.0;60.0
372.0;-32.0;16.0;295.0;-343.0;501.0;149.0;-328.0;622.0;41.0
383.0;-31.0;14.0;309.0;-350.0;500.0;156.0;-328.0;625.0;51.0
397.0;-5.0;12.0;302.0;-352.0;501.0;156.0;-327.0;626.0;73.0
357.0;-36.0;-203.0;786.0;-343.0;435.0;207.0;-302.0;618.0;-57.0
359.0;-39.0;16.0;302.0;-351.0;501.0;157.0;-343.0;626.0;60.0
349.0;-34.0;5.0;293.0;-321.0;496.0;116.0;-329.0;635.0;97.0
405.0;160.0;68.0;230.0;-281.0;515.0;100.0;-306.0;666.0;75.0
344.0;3.0;-1.0;283.0;-394.0;489.0;206.0;-312.0;596.0;60.0
365.0;74.0;742.0;380.0;-694.0;-31.0;805.0;-313.0;-190.0;-19.0
376.0;-15.0;21.0;330.0;-374.0;502.0;172.0;-322.0;613.0;46.0
338.0;-78.0;18.0;284.0;-326.0;501.0;127.0;-309.0;633.0;66.0
381.0;-53.0;222.0;-210.0;-310.0;-181.0;86.0;-335.0;649.0;790.0
359.0;-26.0;-5.0;343.0;-357.0;490.0;161.0;-311.0;618.0;89.0
349.0;-35.0;5.0;328.0;-357.0;494.0;158.0;-328.0;625.0;44.0
264.0;28.0;33.0;306.0;-322.0;510.0;123.0;-275.0;637.0;87.0
363.0;42.0;7.0;314.0;-326.0;498.0;122.0;-336.0;636.0;53.0
379.0;9.0;-4.0;299.0;-360.0;492.0;160.0;-344.0;621.0;51.0
349.0;8.0;2.0;299.0;-326.0;497.0;122.0;-323.0;632.0;80.0
381.0;-10.0;9.0;284.0;-360.0;499.0;159.0;-331.0;620.0;47.0
391.0;18.0;60.0;283.0;-294.0;508.0;93.0;-362.0;660.0;40.0
378.0;-38.0;0.0;281.0;-326.0;496.0;120.0;-312.0;632.0;68.0
360.0;14.0;10.0;305.0;-352.0;497.0;156.0;-335.0;624.0;43.0
350.0;14.0;9.0;293.0;-349.0;498.0;155.0;-332.0;625.0;53.0
341.0;-9.0;4.0;334.0;-349.0;494.0;148.0;-350.0;628.0;49.0
379.0;28.0;11.0;289.0;-350.0;498.0;155.0;-341.0;625.0;56.0
386.0;-30.0;15.0;299.0;-352.0;501.0;158.0;-317.0;625.0;62.0
381.0;29.0;-9.0;278.0;-403.0;487.0;213.0;-270.0;592.0;40.0
