InertialMeasurementUnit LUA magneticY;Accelerometer LUA^ accY;Accelerometer LUA_ accY;InertialMeasurementUnit L-SHOE Compass;Accelerometer LWR accY;Accelerometer RWR accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit R-SHOE Body_Ay
-163.0;1006.0;780.0;0;710.0;789.0;-792.0;393
54.0;829.0;994.0;39;926.0;553.0;-976.0;410
53.0;800.0;945.0;39;933.0;514.0;-963.0;427
-163.0;894.0;952.0;19;892.0;316.0;-1044.0;602
47.0;795.0;965.0;39;927.0;462.0;-999.0;503
41.0;792.0;939.0;39;931.0;485.0;-960.0;518
509.0;938.0;578.0;141;270.0;-51.0;-448.0;380
355.0;895.0;960.0;33;685.0;327.0;-891.0;389
-34.0;980.0;741.0;53;963.0;733.0;-1194.0;292
108.0;962.0;914.0;18;813.0;713.0;-939.0;369
21.0;1279.0;720.0;-90;824.0;570.0;-1250.0;413
403.0;995.0;1065.0;-172;945.0;448.0;-960.0;405
232.0;952.0;964.0;-156;873.0;612.0;-820.0;386
325.0;982.0;905.0;-143;821.0;593.0;-1037.0;392
578.0;974.0;810.0;-196;819.0;694.0;-954.0;397
36.0;915.0;914.0;16;854.0;702.0;-973.0;371
-88.0;879.0;731.0;-80;668.0;780.0;-985.0;13
113.0;834.0;901.0;73;809.0;665.0;-893.0;403
103.0;739.0;1045.0;131;748.0;726.0;-816.0;355
152.0;774.0;975.0;51;927.0;734.0;-981.0;527
212.0;850.0;879.0;73;877.0;670.0;-984.0;502
302.0;852.0;865.0;114;829.0;746.0;-1020.0;383
294.0;833.0;771.0;77;772.0;734.0;-1198.0;542
62.0;869.0;958.0;15;821.0;695.0;-974.0;363
11.0;776.0;949.0;17;936.0;696.0;-917.0;367
-2.0;791.0;914.0;86;913.0;751.0;-936.0;305
-158.0;729.0;882.0;54;852.0;490.0;-852.0;571
-326.0;946.0;1028.0;3;849.0;711.0;-870.0;360
141.0;822.0;895.0;107;820.0;418.0;-887.0;439
246.0;986.0;1224.0;169;1123.0;675.0;-888.0;397
93.0;929.0;918.0;14;839.0;724.0;-953.0;371
104.0;864.0;890.0;108;832.0;477.0;-903.0;469
106.0;957.0;925.0;83;842.0;623.0;-993.0;400
94.0;999.0;912.0;137;993.0;745.0;-995.0;393
130.0;960.0;953.0;36;880.0;563.0;-947.0;390
189.0;814.0;846.0;114;776.0;527.0;-978.0;439
176.0;796.0;853.0;114;825.0;509.0;-950.0;400
159.0;806.0;904.0;114;857.0;506.0;-876.0;392
-306.0;903.0;804.0;66;719.0;759.0;-1118.0;929
154.0;826.0;937.0;113;858.0;500.0;-872.0;392
150.0;835.0;948.0;113;858.0;464.0;-861.0;386
228.0;798.0;1202.0;100;823.0;262.0;-789.0;384
86.0;902.0;937.0;113;869.0;350.0;-948.0;387
132.0;872.0;934.0;113;865.0;341.0;-899.0;393
120.0;878.0;926.0;113;866.0;343.0;-947.0;386
121.0;877.0;947.0;113;877.0;368.0;-950.0;393
125.0;856.0;917.0;113;847.0;455.0;-966.0;391
132.0;873.0;931.0;113;877.0;497.0;-956.0;392
134.0;862.0;931.0;113;866.0;507.0;-956.0;387
141.0;855.0;941.0;113;872.0;538.0;-954.0;386
151.0;845.0;932.0;113;873.0;558.0;-944.0;390
157.0;853.0;922.0;113;844.0;590.0;-945.0;391
459.0;843.0;780.0;106;535.0;299.0;-221.0;395
162.0;858.0;926.0;113;851.0;617.0;-934.0;391
160.0;845.0;926.0;113;840.0;398.0;-935.0;385
158.0;867.0;900.0;113;823.0;295.0;-934.0;391
423.0;940.0;976.0;72;846.0;-217.0;-999.0;404
-773.0;869.0;982.0;23;948.0;371.0;-1023.0;388
-357.0;913.0;732.0;17;541.0;669.0;-768.0;395
186.0;931.0;939.0;16;857.0;678.0;-949.0;362
159.0;1044.0;937.0;74;1009.0;645.0;-867.0;349
190.0;965.0;943.0;16;868.0;660.0;-927.0;365
222.0;951.0;942.0;-46;849.0;613.0;-943.0;409
156.0;913.0;963.0;16;827.0;698.0;-924.0;364
153.0;919.0;953.0;16;842.0;726.0;-927.0;366
126.0;906.0;920.0;16;822.0;742.0;-911.0;365
148.0;868.0;944.0;113;870.0;342.0;-938.0;388
126.0;892.0;974.0;113;890.0;421.0;-939.0;385
126.0;889.0;966.0;113;869.0;481.0;-952.0;385
126.0;911.0;956.0;113;868.0;481.0;-950.0;383
123.0;884.0;931.0;113;858.0;479.0;-947.0;384
123.0;902.0;947.0;113;849.0;437.0;-934.0;386
117.0;860.0;941.0;113;876.0;360.0;-945.0;386
107.0;906.0;944.0;14;828.0;734.0;-946.0;380
114.0;884.0;943.0;113;903.0;395.0;-938.0;388
109.0;890.0;973.0;113;895.0;463.0;-936.0;385
84.0;904.0;965.0;113;864.0;440.0;-936.0;385
80.0;917.0;944.0;113;860.0;409.0;-935.0;388
77.0;897.0;924.0;113;854.0;339.0;-937.0;390
79.0;907.0;960.0;113;859.0;411.0;-940.0;386
79.0;896.0;952.0;113;858.0;496.0;-937.0;385
81.0;872.0;965.0;113;868.0;439.0;-936.0;390
271.0;1042.0;669.0;-154;891.0;665.0;-865.0;326
79.0;903.0;921.0;113;835.0;366.0;-949.0;388
74.0;890.0;934.0;113;860.0;476.0;-929.0;386
73.0;897.0;942.0;113;882.0;526.0;-933.0;387
73.0;899.0;933.0;113;869.0;412.0;-960.0;388
-120.0;1127.0;823.0;-39;964.0;544.0;-1100.0;411
75.0;874.0;926.0;113;856.0;462.0;-950.0;388
72.0;905.0;924.0;113;838.0;483.0;-936.0;379
72.0;869.0;891.0;113;835.0;381.0;-936.0;394
65.0;891.0;896.0;113;848.0;318.0;-932.0;384
57.0;873.0;908.0;113;859.0;476.0;-912.0;394
52.0;864.0;929.0;113;852.0;426.0;-911.0;387
496.0;873.0;637.0;104;424.0;396.0;-766.0;391
0.0;753.0;965.0;39;942.0;669.0;-951.0;612
-99.0;854.0;916.0;1;902.0;886.0;-1050.0;405
209.0;937.0;964.0;17;831.0;714.0;-965.0;367
190.0;917.0;941.0;18;828.0;749.0;-939.0;364
-4.0;757.0;963.0;39;934.0;782.0;-942.0;452
197.0;835.0;795.0;-148;705.0;651.0;-950.0;386
531.0;765.0;1038.0;150;990.0;852.0;-825.0;410
388.0;921.0;1046.0;82;800.0;551.0;-655.0;401
-287.0;853.0;886.0;-67;865.0;739.0;-886.0;1987
-228.0;883.0;943.0;15;898.0;-140.0;-933.0;450
535.0;892.0;1253.0;108;1091.0;637.0;-823.0;391
123.0;873.0;951.0;113;880.0;276.0;-938.0;391
-242.0;930.0;987.0;15;935.0;60.0;-936.0;446
553.0;876.0;848.0;141;726.0;630.0;-872.0;380
158.0;730.0;913.0;14;888.0;809.0;-923.0;371
-95.0;917.0;600.0;-6;492.0;683.0;-601.0;397
278.0;954.0;1000.0;110;930.0;329.0;-950.0;372
-306.0;900.0;973.0;15;900.0;767.0;-1010.0;387
-233.0;972.0;935.0;-26;847.0;688.0;-961.0;403
329.0;932.0;913.0;76;911.0;50.0;-988.0;385
548.0;611.0;935.0;7;876.0;748.0;-866.0;695
61.0;922.0;981.0;113;892.0;260.0;-972.0;382
-9.0;885.0;1012.0;-153;799.0;525.0;-872.0;395
185.0;1194.0;1072.0;66;1136.0;586.0;-920.0;370
221.0;743.0;1054.0;101;959.0;976.0;-859.0;2858
78.0;956.0;983.0;144;969.0;109.0;-1045.0;417
-369.0;801.0;1033.0;41;906.0;538.0;-961.0;369
435.0;1020.0;750.0;-4;1039.0;1057.0;-1083.0;334
394.0;721.0;834.0;147;696.0;772.0;-876.0;-169
164.0;741.0;904.0;51;923.0;551.0;-973.0;364
105.0;908.0;935.0;81;902.0;-236.0;-951.0;375
-34.0;927.0;925.0;-154;813.0;719.0;-924.0;373
736.0;946.0;964.0;168;886.0;761.0;-959.0;373
-128.0;959.0;666.0;-82;578.0;662.0;-1234.0;350
604.0;1022.0;902.0;141;841.0;708.0;-1074.0;382
11.0;1094.0;1419.0;46;1339.0;949.0;-1063.0;444
411.0;1119.0;764.0;77;706.0;615.0;-1098.0;273
365.0;772.0;1258.0;150;1202.0;1093.0;-826.0;-1621
157.0;931.0;1009.0;114;923.0;433.0;-959.0;385
89.0;900.0;929.0;113;860.0;209.0;-943.0;381
479.0;881.0;818.0;82;730.0;704.0;-1014.0;406
320.0;932.0;942.0;109;867.0;543.0;-948.0;376
180.0;891.0;931.0;15;838.0;725.0;-972.0;369
229.0;838.0;945.0;164;886.0;847.0;-831.0;414
413.0;987.0;986.0;106;927.0;570.0;-1010.0;385
119.0;916.0;960.0;113;863.0;375.0;-941.0;337
-669.0;693.0;1012.0;127;990.0;849.0;-1010.0;383
-245.0;917.0;881.0;-18;843.0;972.0;-834.0;812
-23.0;875.0;918.0;-178;822.0;565.0;-878.0;581
-26.0;877.0;940.0;-177;785.0;509.0;-873.0;580
460.0;911.0;911.0;105;821.0;436.0;-1145.0;385
655.0;511.0;-158.0;135;-365.0;-538.0;105.0;843
-386.0;832.0;855.0;45;803.0;700.0;-1289.0;394
89.0;907.0;940.0;113;852.0;317.0;-946.0;388
-338.0;1168.0;826.0;-8;792.0;627.0;-834.0;367
162.0;323.0;617.0;-170;316.0;751.0;-572.0;710
-43.0;864.0;957.0;-178;815.0;345.0;-863.0;581
264.0;750.0;640.0;26;613.0;629.0;-1036.0;439
84.0;906.0;908.0;15;821.0;803.0;-933.0;367
305.0;933.0;946.0;109;865.0;512.0;-962.0;377
20.0;803.0;1256.0;-145;1141.0;1027.0;-840.0;-428
142.0;889.0;1003.0;16;856.0;716.0;-916.0;364
449.0;822.0;1283.0;-45;1272.0;1086.0;-750.0;319
155.0;929.0;996.0;16;912.0;732.0;-1004.0;379
371.0;1072.0;917.0;147;984.0;535.0;-1018.0;324
145.0;925.0;949.0;16;840.0;732.0;-957.0;366
140.0;936.0;956.0;16;858.0;731.0;-961.0;363
131.0;984.0;954.0;15;885.0;728.0;-991.0;366
-79.0;845.0;863.0;-177;787.0;254.0;-945.0;508
-252.0;793.0;750.0;17;753.0;596.0;-793.0;393
-44.0;862.0;943.0;-177;832.0;448.0;-887.0;581
312.0;944.0;969.0;108;883.0;484.0;-959.0;373
156.0;931.0;958.0;16;871.0;725.0;-940.0;361
170.0;894.0;925.0;109;857.0;764.0;-905.0;292
144.0;896.0;959.0;16;831.0;747.0;-931.0;364
229.0;913.0;949.0;17;859.0;723.0;-984.0;362
144.0;892.0;970.0;16;877.0;726.0;-937.0;368
136.0;930.0;964.0;16;862.0;765.0;-957.0;364
154.0;938.0;946.0;16;848.0;726.0;-952.0;364
160.0;956.0;966.0;16;851.0;719.0;-941.0;365
465.0;1073.0;1080.0;-150;1049.0;906.0;-926.0;409
200.0;1001.0;1113.0;106;862.0;739.0;-1025.0;209
195.0;1175.0;889.0;-46;987.0;738.0;-1177.0;373
-353.0;934.0;1093.0;15;778.0;686.0;-974.0;855
-116.0;864.0;977.0;-41;897.0;302.0;-878.0;475
176.0;949.0;964.0;16;865.0;743.0;-948.0;362
244.0;912.0;981.0;106;907.0;547.0;-1019.0;379
319.0;1028.0;1067.0;123;912.0;686.0;-947.0;389
164.0;925.0;933.0;16;820.0;755.0;-951.0;365
140.0;801.0;955.0;16;922.0;687.0;-1355.0;373
-394.0;475.0;995.0;-162;774.0;756.0;-943.0;644
-46.0;854.0;943.0;-177;792.0;478.0;-871.0;559
46.0;928.0;999.0;14;825.0;765.0;-886.0;370
89.0;926.0;948.0;16;895.0;725.0;-969.0;366
-332.0;989.0;980.0;-2;1096.0;965.0;-978.0;379
13.0;973.0;893.0;16;923.0;817.0;-948.0;360
95.0;967.0;952.0;16;851.0;735.0;-933.0;366
102.0;910.0;944.0;16;868.0;761.0;-920.0;369
24.0;873.0;866.0;89;909.0;995.0;-1112.0;211
111.0;910.0;962.0;15;848.0;775.0;-936.0;379
585.0;984.0;761.0;56;757.0;670.0;-694.0;441
116.0;910.0;982.0;16;890.0;755.0;-934.0;366
204.0;893.0;1045.0;114;989.0;770.0;-900.0;1832
-126.0;822.0;947.0;-177;874.0;563.0;-751.0;424
312.0;944.0;860.0;173;999.0;866.0;-961.0;374
-44.0;635.0;832.0;-174;577.0;443.0;-752.0;388
148.0;920.0;948.0;16;870.0;753.0;-951.0;373
222.0;847.0;539.0;-147;270.0;-18.0;-484.0;396
-114.0;585.0;869.0;-174;660.0;642.0;-827.0;413
427.0;826.0;1038.0;113;1075.0;996.0;-959.0;496
177.0;935.0;913.0;16;864.0;784.0;-937.0;369
172.0;930.0;962.0;16;866.0;769.0;-945.0;370
162.0;909.0;944.0;16;855.0;747.0;-931.0;375
-58.0;770.0;843.0;-174;625.0;819.0;-735.0;386
163.0;901.0;959.0;16;870.0;767.0;-940.0;375
134.0;997.0;1038.0;27;1084.0;886.0;-1052.0;411
175.0;931.0;962.0;16;881.0;747.0;-954.0;367
-179.0;1145.0;1150.0;20;1080.0;666.0;-877.0;378
180.0;923.0;934.0;16;837.0;745.0;-961.0;369
120.0;935.0;943.0;15;833.0;734.0;-980.0;363
182.0;931.0;962.0;16;858.0;730.0;-949.0;363
-61.0;974.0;1104.0;10;1096.0;640.0;-1183.0;371
334.0;897.0;902.0;152;822.0;727.0;-862.0;1280
203.0;914.0;1050.0;18;907.0;734.0;-941.0;360
170.0;926.0;920.0;16;868.0;737.0;-944.0;369
-470.0;532.0;1021.0;-124;1001.0;885.0;-948.0;419
171.0;921.0;934.0;16;858.0;755.0;-958.0;372
172.0;921.0;948.0;16;843.0;755.0;-958.0;370
167.0;939.0;936.0;16;852.0;726.0;-928.0;363
200.0;935.0;982.0;16;879.0;721.0;-943.0;372
-136.0;977.0;936.0;-117;794.0;727.0;-611.0;544
-90.0;547.0;910.0;-174;731.0;940.0;-893.0;450
182.0;878.0;952.0;16;870.0;732.0;-975.0;361
243.0;921.0;954.0;16;893.0;748.0;-947.0;369
209.0;923.0;934.0;16;876.0;740.0;-942.0;368
195.0;930.0;960.0;16;874.0;745.0;-959.0;364
235.0;924.0;940.0;16;874.0;757.0;-957.0;369
182.0;934.0;939.0;16;877.0;761.0;-948.0;369
166.0;754.0;950.0;51;970.0;446.0;-942.0;540
167.0;928.0;952.0;16;864.0;745.0;-937.0;364
219.0;918.0;943.0;16;843.0;730.0;-947.0;363
236.0;910.0;951.0;16;868.0;767.0;-949.0;373
388.0;1071.0;945.0;-6;850.0;857.0;-831.0;117
234.0;922.0;959.0;16;859.0;745.0;-953.0;364
541.0;837.0;988.0;8;934.0;723.0;-972.0;642
444.0;848.0;881.0;131;555.0;482.0;-809.0;389
125.0;579.0;878.0;77;967.0;397.0;-828.0;539
27.0;757.0;1125.0;-51;1141.0;993.0;-783.0;276
48.0;905.0;1004.0;135;905.0;685.0;-1010.0;406
183.0;919.0;933.0;16;877.0;718.0;-940.0;371
-332.0;942.0;789.0;-38;560.0;229.0;-770.0;414
435.0;911.0;958.0;-173;895.0;-368.0;-999.0;440
110.0;888.0;1085.0;-143;1136.0;843.0;-974.0;956
159.0;904.0;972.0;143;926.0;585.0;-987.0;410
89.0;814.0;1003.0;145;887.0;606.0;-1002.0;412
287.0;783.0;1010.0;52;913.0;480.0;-991.0;605
192.0;1052.0;1132.0;-136;927.0;218.0;-910.0;391
105.0;829.0;989.0;144;906.0;575.0;-1001.0;426
167.0;920.0;976.0;16;876.0;715.0;-956.0;368
-79.0;860.0;1103.0;-22;1365.0;460.0;-825.0;383
63.0;906.0;936.0;39;949.0;452.0;-1015.0;382
265.0;1112.0;914.0;33;855.0;847.0;-837.0;491
528.0;910.0;796.0;141;532.0;217.0;-850.0;383
148.0;892.0;890.0;-53;863.0;345.0;-1136.0;408
183.0;917.0;962.0;16;877.0;744.0;-944.0;366
91.0;908.0;947.0;113;868.0;293.0;-954.0;384
-288.0;912.0;1017.0;23;934.0;644.0;-964.0;373
-110.0;805.0;874.0;37;837.0;592.0;-1243.0;376
325.0;922.0;963.0;16;877.0;766.0;-961.0;377
51.0;781.0;956.0;39;959.0;492.0;-989.0;466
51.0;781.0;969.0;39;955.0;481.0;-1001.0;490
-27.0;650.0;931.0;44;970.0;501.0;-928.0;729
23.0;769.0;951.0;39;953.0;509.0;-983.0;516
-56.0;1047.0;1112.0;32;929.0;257.0;-934.0;388
