InertialMeasurementUnit BACK accY;InertialMeasurementUnit RUA accZ;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;InertialMeasurementUnit LUA accZ;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;Accelerometer RWR accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ;InertialMeasurementUnit RUA accY
-34.0;188.0;268.0;-937.0;1038.0;154.0;948.0;-800.0;716.0;486.0;65.0;204.0
-200.0;206.0;169.0;-976.0;1108.0;305.0;896.0;-692.0;621.0;493.0;-94.0;48.0
-63.0;194.0;237.0;-940.0;1052.0;165.0;939.0;-806.0;658.0;496.0;80.0;181.0
-200.0;209.0;158.0;-982.0;1101.0;312.0;891.0;-701.0;615.0;495.0;-102.0;36.0
-245.0;137.0;259.0;-1070.0;1017.0;395.0;829.0;-915.0;626.0;376.0;82.0;142.0
-200.0;212.0;158.0;-979.0;1099.0;307.0;902.0;-701.0;612.0;502.0;-120.0;39.0
-407.0;48.0;-1.0;-938.0;1055.0;567.0;881.0;-882.0;835.0;568.0;-183.0;-218.0
-203.0;53.0;330.0;-1021.0;980.0;383.0;882.0;-881.0;501.0;453.0;95.0;297.0
-233.0;68.0;184.0;-951.0;990.0;463.0;1051.0;-773.0;601.0;448.0;87.0;319.0
-95.0;230.0;269.0;-971.0;1092.0;614.0;994.0;-844.0;739.0;559.0;137.0;114.0
-39.0;193.0;258.0;-888.0;1037.0;262.0;877.0;-746.0;723.0;526.0;139.0;126.0
-124.0;120.0;408.0;-826.0;980.0;385.0;622.0;-622.0;340.0;356.0;31.0;392.0
-199.0;210.0;178.0;-987.0;1081.0;321.0;890.0;-709.0;621.0;492.0;-98.0;35.0
-194.0;211.0;161.0;-978.0;1089.0;307.0;891.0;-704.0;622.0;500.0;-107.0;37.0
-118.0;131.0;425.0;-899.0;1000.0;305.0;859.0;-631.0;564.0;218.0;22.0;369.0
-148.0;120.0;404.0;-935.0;1023.0;239.0;762.0;-604.0;546.0;293.0;41.0;366.0
-180.0;215.0;149.0;-970.0;1101.0;311.0;900.0;-702.0;616.0;490.0;-88.0;34.0
-146.0;98.0;415.0;-927.0;1020.0;234.0;799.0;-604.0;534.0;295.0;1.0;310.0
45.0;255.0;554.0;-840.0;1000.0;419.0;1042.0;-665.0;358.0;459.0;350.0;138.0
-180.0;221.0;117.0;-979.0;1002.0;148.0;925.0;-798.0;513.0;456.0;-11.0;-260.0
-107.0;192.0;95.0;-982.0;1100.0;411.0;1023.0;-891.0;794.0;421.0;45.0;29.0
-113.0;133.0;76.0;-916.0;1119.0;84.0;1054.0;-820.0;825.0;367.0;-41.0;77.0
-139.0;159.0;231.0;-993.0;1095.0;190.0;973.0;-851.0;775.0;477.0;33.0;157.0
43.0;213.0;-24.0;-901.0;1056.0;133.0;876.0;-661.0;583.0;388.0;-60.0;-222.0
134.0;304.0;70.0;-867.0;1099.0;107.0;907.0;-744.0;612.0;451.0;-90.0;-313.0
-104.0;138.0;279.0;-967.0;1092.0;184.0;978.0;-834.0;735.0;487.0;84.0;191.0
-143.0;264.0;21.0;-1094.0;1122.0;246.0;930.0;-718.0;823.0;580.0;-45.0;76.0
-125.0;126.0;404.0;-922.0;1037.0;217.0;833.0;-593.0;484.0;294.0;18.0;326.0
-167.0;230.0;145.0;-980.0;1092.0;293.0;907.0;-692.0;630.0;516.0;-107.0;75.0
-160.0;231.0;149.0;-975.0;1094.0;313.0;901.0;-690.0;627.0;510.0;-88.0;74.0
-322.0;286.0;-31.0;-884.0;1119.0;556.0;783.0;-578.0;565.0;626.0;95.0;-14.0
-148.0;219.0;145.0;-964.0;1104.0;329.0;894.0;-676.0;631.0;516.0;-91.0;80.0
-147.0;231.0;158.0;-965.0;1079.0;334.0;895.0;-669.0;639.0;502.0;-84.0;89.0
-142.0;232.0;167.0;-960.0;1109.0;335.0;891.0;-658.0;633.0;509.0;-88.0;104.0
-124.0;233.0;189.0;-971.0;1102.0;330.0;889.0;-657.0;622.0;541.0;-112.0;99.0
210.0;324.0;92.0;-857.0;1178.0;227.0;893.0;-555.0;558.0;590.0;-121.0;-118.0
-141.0;242.0;167.0;-955.0;1099.0;303.0;873.0;-608.0;585.0;616.0;-75.0;134.0
-79.0;171.0;1.0;-816.0;1222.0;437.0;1049.0;-468.0;742.0;567.0;-180.0;203.0
-184.0;238.0;276.0;-965.0;1078.0;314.0;818.0;-391.0;514.0;638.0;-64.0;164.0
24.0;563.0;-20.0;-779.0;1030.0;375.0;952.0;-474.0;628.0;649.0;160.0;136.0
11.0;215.0;295.0;-915.0;1048.0;211.0;935.0;-770.0;654.0;474.0;75.0;209.0
-139.0;124.0;410.0;-942.0;1017.0;227.0;822.0;-598.0;498.0;291.0;-40.0;303.0
-148.0;124.0;441.0;-944.0;1021.0;236.0;820.0;-598.0;537.0;310.0;11.0;301.0
-194.0;129.0;207.0;-915.0;944.0;335.0;1132.0;-779.0;630.0;469.0;129.0;287.0
-64.0;153.0;324.0;-959.0;1052.0;177.0;971.0;-826.0;698.0;488.0;111.0;205.0
-149.0;127.0;422.0;-936.0;1019.0;241.0;813.0;-590.0;564.0;335.0;14.0;308.0
-224.0;148.0;281.0;-954.0;1065.0;267.0;693.0;-360.0;315.0;650.0;-53.0;165.0
-238.0;56.0;310.0;-926.0;914.0;341.0;784.0;-695.0;648.0;557.0;80.0;308.0
-52.0;170.0;308.0;-954.0;1061.0;183.0;980.0;-815.0;711.0;493.0;112.0;222.0
-245.0;49.0;269.0;-960.0;980.0;155.0;926.0;-909.0;569.0;340.0;137.0;172.0
-174.0;177.0;352.0;-876.0;1031.0;214.0;868.0;-727.0;572.0;498.0;21.0;410.0
-244.0;75.0;226.0;-888.0;1011.0;224.0;890.0;-842.0;615.0;315.0;-35.0;138.0
-154.0;221.0;353.0;-889.0;1009.0;183.0;889.0;-695.0;661.0;481.0;112.0;330.0
-169.0;32.0;297.0;-926.0;961.0;275.0;895.0;-802.0;542.0;350.0;-60.0;231.0
-100.0;104.0;382.0;-823.0;984.0;161.0;840.0;-711.0;721.0;391.0;162.0;310.0
-163.0;226.0;408.0;-913.0;1188.0;293.0;930.0;-720.0;698.0;521.0;201.0;406.0
158.0;325.0;282.0;-905.0;1012.0;-23.0;813.0;-794.0;570.0;373.0;-175.0;199.0
-44.0;211.0;332.0;-867.0;1053.0;156.0;857.0;-549.0;638.0;337.0;67.0;235.0
13.0;119.0;210.0;-715.0;1009.0;65.0;967.0;-380.0;547.0;358.0;-138.0;336.0
-6.0;275.0;120.0;-821.0;1120.0;161.0;618.0;-337.0;640.0;165.0;-197.0;329.0
-73.0;196.0;240.0;-938.0;1053.0;179.0;946.0;-811.0;744.0;484.0;80.0;175.0
-77.0;217.0;158.0;-941.0;1050.0;173.0;980.0;-821.0;752.0;479.0;60.0;143.0
-144.0;55.0;307.0;-931.0;920.0;280.0;875.0;-775.0;538.0;315.0;-48.0;254.0
-30.0;230.0;294.0;-898.0;921.0;111.0;925.0;-797.0;683.0;375.0;81.0;153.0
-260.0;202.0;55.0;-1293.0;1091.0;293.0;975.0;-1146.0;705.0;475.0;229.0;183.0
-136.0;238.0;346.0;-771.0;940.0;228.0;737.0;-434.0;720.0;102.0;51.0;194.0
-184.0;109.0;155.0;-1063.0;937.0;478.0;890.0;-1016.0;698.0;445.0;22.0;-33.0
-88.0;256.0;281.0;-1043.0;1027.0;130.0;790.0;-645.0;830.0;164.0;50.0;311.0
-263.0;-12.0;186.0;-729.0;954.0;212.0;753.0;-677.0;814.0;351.0;-47.0;131.0
-75.0;198.0;355.0;-941.0;1008.0;175.0;747.0;-577.0;570.0;326.0;59.0;225.0
-16.0;162.0;324.0;-839.0;945.0;146.0;832.0;-751.0;640.0;432.0;73.0;124.0
-3.0;139.0;363.0;-809.0;904.0;109.0;818.0;-726.0;628.0;400.0;104.0;275.0
-214.0;266.0;470.0;-973.0;1043.0;260.0;817.0;-582.0;320.0;708.0;322.0;278.0
-201.0;221.0;351.0;-936.0;987.0;248.0;959.0;-755.0;601.0;482.0;170.0;296.0
-204.0;199.0;388.0;-946.0;1000.0;238.0;903.0;-769.0;661.0;511.0;143.0;284.0
-200.0;198.0;394.0;-932.0;1010.0;234.0;936.0;-756.0;701.0;509.0;166.0;277.0
-16.0;274.0;451.0;-859.0;867.0;101.0;676.0;-468.0;313.0;309.0;35.0;252.0
-31.0;127.0;274.0;-835.0;953.0;179.0;831.0;-696.0;595.0;421.0;103.0;255.0
-102.0;308.0;450.0;-991.0;957.0;169.0;705.0;-596.0;388.0;298.0;0.0;123.0
-228.0;1.0;164.0;-1063.0;1117.0;396.0;940.0;-983.0;950.0;402.0;-30.0;164.0
-145.0;97.0;131.0;-1131.0;1021.0;335.0;1288.0;-1024.0;805.0;455.0;-2.0;273.0
-260.0;91.0;117.0;-1166.0;1151.0;238.0;1371.0;-1064.0;949.0;287.0;-10.0;145.0
-132.0;170.0;182.0;-954.0;1104.0;193.0;996.0;-841.0;782.0;513.0;81.0;139.0
-106.0;230.0;274.0;-857.0;990.0;267.0;756.0;-521.0;395.0;182.0;-97.0;20.0
-62.0;254.0;343.0;-972.0;927.0;114.0;658.0;-715.0;382.0;557.0;109.0;-107.0
-165.0;128.0;259.0;-970.0;1077.0;170.0;992.0;-835.0;725.0;496.0;59.0;173.0
-275.0;48.0;653.0;-912.0;1072.0;165.0;887.0;-822.0;304.0;375.0;60.0;193.0
-336.0;10.0;103.0;-908.0;1070.0;270.0;1129.0;-805.0;630.0;303.0;81.0;148.0
-150.0;122.0;289.0;-962.0;1097.0;195.0;954.0;-816.0;752.0;477.0;28.0;236.0
-170.0;106.0;295.0;-975.0;1090.0;228.0;866.0;-586.0;584.0;322.0;-26.0;229.0
54.0;165.0;325.0;-833.0;917.0;47.0;814.0;-720.0;600.0;385.0;149.0;257.0
-305.0;13.0;312.0;-985.0;1116.0;415.0;767.0;-560.0;617.0;78.0;-145.0;217.0
-237.0;192.0;667.0;-845.0;883.0;283.0;380.0;-70.0;-4.0;484.0;73.0;506.0
185.0;466.0;29.0;-832.0;1086.0;41.0;1011.0;-799.0;747.0;548.0;249.0;-40.0
-262.0;-32.0;143.0;-816.0;1232.0;221.0;894.0;-727.0;1064.0;224.0;-73.0;180.0
-28.0;113.0;327.0;-801.0;869.0;215.0;818.0;-707.0;571.0;388.0;48.0;173.0
-174.0;122.0;356.0;-968.0;1092.0;214.0;811.0;-553.0;577.0;304.0;-46.0;275.0
-175.0;115.0;346.0;-959.0;1060.0;211.0;815.0;-540.0;568.0;349.0;-24.0;283.0
-170.0;106.0;356.0;-956.0;1060.0;216.0;824.0;-548.0;543.0;351.0;-31.0;291.0
-237.0;157.0;226.0;-990.0;1059.0;333.0;549.0;-364.0;316.0;244.0;-272.0;76.0
-222.0;3.0;324.0;-875.0;1062.0;216.0;977.0;-781.0;580.0;463.0;51.0;236.0
-67.0;157.0;312.0;-747.0;999.0;319.0;790.0;-631.0;660.0;448.0;68.0;183.0
-73.0;208.0;259.0;-945.0;843.0;287.0;729.0;-880.0;585.0;357.0;104.0;46.0
-108.0;232.0;290.0;-804.0;932.0;340.0;697.0;-703.0;635.0;451.0;91.0;122.0
15.0;123.0;300.0;-742.0;915.0;199.0;764.0;-628.0;664.0;353.0;108.0;249.0
-202.0;190.0;378.0;-957.0;1045.0;238.0;942.0;-790.0;649.0;474.0;173.0;242.0
-245.0;64.0;215.0;-1094.0;923.0;342.0;923.0;-1049.0;663.0;465.0;56.0;56.0
-198.0;176.0;384.0;-944.0;1044.0;260.0;956.0;-777.0;661.0;460.0;168.0;256.0
-195.0;171.0;399.0;-947.0;1040.0;258.0;976.0;-781.0;680.0;463.0;152.0;259.0
-189.0;174.0;373.0;-945.0;1058.0;257.0;969.0;-778.0;684.0;451.0;154.0;266.0
-180.0;177.0;405.0;-950.0;1032.0;253.0;938.0;-783.0;653.0;455.0;165.0;269.0
-185.0;186.0;338.0;-957.0;1049.0;246.0;952.0;-776.0;693.0;459.0;126.0;273.0
-185.0;183.0;347.0;-946.0;1040.0;241.0;959.0;-769.0;699.0;491.0;110.0;284.0
-187.0;188.0;355.0;-938.0;1050.0;235.0;961.0;-754.0;705.0;487.0;119.0;276.0
-173.0;194.0;342.0;-951.0;1059.0;232.0;970.0;-768.0;706.0;469.0;129.0;262.0
-171.0;193.0;354.0;-930.0;1048.0;237.0;950.0;-753.0;693.0;438.0;145.0;272.0
-161.0;181.0;379.0;-946.0;1047.0;254.0;954.0;-766.0;706.0;404.0;155.0;281.0
-157.0;173.0;371.0;-951.0;1037.0;256.0;958.0;-793.0;699.0;406.0;128.0;256.0
-177.0;218.0;360.0;-966.0;1032.0;259.0;946.0;-795.0;681.0;482.0;100.0;248.0
-17.0;258.0;578.0;-863.0;1190.0;292.0;635.0;-659.0;624.0;578.0;404.0;240.0
-252.0;111.0;293.0;-915.0;1032.0;215.0;857.0;-845.0;739.0;411.0;1.0;140.0
-184.0;202.0;349.0;-921.0;1019.0;232.0;991.0;-720.0;705.0;437.0;112.0;243.0
-305.0;104.0;282.0;-973.0;1006.0;295.0;875.0;-799.0;602.0;366.0;330.0;8.0
-285.0;178.0;278.0;-1265.0;988.0;300.0;827.0;-1174.0;661.0;469.0;199.0;205.0
21.0;192.0;346.0;-906.0;1000.0;343.0;881.0;-754.0;633.0;407.0;129.0;247.0
-78.0;297.0;277.0;-918.0;1051.0;482.0;910.0;-840.0;672.0;292.0;147.0;184.0
-253.0;9.0;463.0;-938.0;1098.0;393.0;561.0;-234.0;264.0;-106.0;-211.0;214.0
-363.0;57.0;261.0;-1004.0;1075.0;611.0;957.0;-812.0;680.0;236.0;64.0;36.0
-266.0;64.0;134.0;-1062.0;1198.0;326.0;1004.0;-666.0;784.0;191.0;94.0;309.0
-193.0;116.0;154.0;-969.0;833.0;284.0;864.0;-935.0;677.0;427.0;30.0;69.0
-231.0;82.0;394.0;-969.0;1062.0;312.0;585.0;-306.0;281.0;266.0;29.0;115.0
-288.0;14.0;601.0;-948.0;840.0;252.0;568.0;-448.0;-195.0;574.0;-28.0;331.0
-329.0;-57.0;199.0;-785.0;1098.0;189.0;811.0;-752.0;995.0;296.0;-69.0;121.0
-159.0;76.0;264.0;-965.0;1079.0;205.0;978.0;-836.0;764.0;457.0;59.0;194.0
-165.0;71.0;275.0;-972.0;1090.0;202.0;968.0;-843.0;738.0;452.0;63.0;210.0
-283.0;457.0;299.0;-1054.0;795.0;469.0;824.0;-966.0;437.0;554.0;184.0;22.0
-84.0;120.0;346.0;-942.0;993.0;302.0;906.0;-735.0;651.0;361.0;46.0;294.0
-413.0;114.0;262.0;-1088.0;1082.0;264.0;962.0;-1032.0;893.0;316.0;37.0;103.0
-234.0;288.0;203.0;-1122.0;1057.0;219.0;1053.0;-965.0;759.0;688.0;-15.0;288.0
-193.0;211.0;32.0;-977.0;1219.0;401.0;980.0;-884.0;901.0;616.0;122.0;-53.0
-329.0;-30.0;314.0;-1010.0;985.0;447.0;874.0;-745.0;688.0;242.0;-82.0;300.0
-221.0;140.0;183.0;-918.0;1279.0;282.0;1008.0;-899.0;799.0;302.0;161.0;99.0
-160.0;122.0;376.0;-963.0;1037.0;230.0;792.0;-585.0;499.0;340.0;-27.0;250.0
-150.0;118.0;395.0;-948.0;1025.0;224.0;798.0;-608.0;560.0;313.0;-2.0;307.0
-92.0;115.0;354.0;-944.0;1028.0;143.0;854.0;-707.0;678.0;413.0;75.0;292.0
-96.0;121.0;360.0;-938.0;1023.0;134.0;867.0;-715.0;689.0;430.0;76.0;296.0
-77.0;126.0;348.0;-933.0;1026.0;144.0;892.0;-735.0;730.0;446.0;71.0;276.0
4.0;171.0;376.0;-777.0;1209.0;48.0;842.0;-660.0;904.0;415.0;148.0;287.0
-60.0;225.0;149.0;-949.0;1108.0;391.0;994.0;-856.0;820.0;415.0;86.0;54.0
-123.0;113.0;242.0;-970.0;1081.0;306.0;945.0;-785.0;720.0;313.0;17.0;194.0
-155.0;122.0;181.0;-1042.0;1104.0;252.0;894.0;-744.0;745.0;221.0;-76.0;159.0
-115.0;158.0;476.0;-965.0;1051.0;190.0;842.0;-701.0;547.0;283.0;54.0;354.0
-158.0;127.0;416.0;-943.0;1015.0;221.0;820.0;-589.0;550.0;315.0;9.0;315.0
-158.0;130.0;410.0;-941.0;1027.0;221.0;829.0;-581.0;554.0;306.0;11.0;343.0
-303.0;18.0;241.0;-867.0;1364.0;199.0;1097.0;-799.0;983.0;266.0;6.0;129.0
-164.0;134.0;396.0;-947.0;991.0;222.0;798.0;-598.0;421.0;314.0;-57.0;307.0
-41.0;227.0;173.0;-790.0;1419.0;147.0;918.0;-683.0;1029.0;371.0;205.0;190.0
-270.0;4.0;42.0;-974.0;1167.0;197.0;1179.0;-841.0;850.0;214.0;60.0;194.0
-126.0;109.0;288.0;-974.0;1044.0;311.0;943.0;-779.0;731.0;353.0;17.0;219.0
-147.0;68.0;285.0;-961.0;1055.0;198.0;969.0;-824.0;735.0;452.0;37.0;220.0
-151.0;68.0;281.0;-952.0;1073.0;199.0;962.0;-818.0;726.0;448.0;44.0;235.0
-23.0;165.0;288.0;-702.0;942.0;288.0;748.0;-578.0;692.0;462.0;67.0;208.0
-13.0;134.0;204.0;-958.0;1126.0;-38.0;1003.0;-869.0;770.0;441.0;146.0;201.0
-119.0;129.0;273.0;-964.0;1045.0;155.0;964.0;-838.0;725.0;438.0;63.0;171.0
-46.0;235.0;305.0;-825.0;837.0;268.0;662.0;-723.0;632.0;415.0;106.0;202.0
-117.0;203.0;247.0;-901.0;1189.0;85.0;1013.0;-760.0;804.0;427.0;259.0;203.0
-119.0;112.0;250.0;-951.0;1068.0;147.0;959.0;-815.0;726.0;449.0;45.0;191.0
-34.0;77.0;154.0;-1022.0;999.0;40.0;976.0;-721.0;743.0;356.0;-47.0;72.0
-122.0;120.0;227.0;-969.0;1085.0;182.0;971.0;-830.0;735.0;458.0;99.0;162.0
-63.0;223.0;275.0;-962.0;1208.0;186.0;892.0;-906.0;886.0;466.0;232.0;4.0
-264.0;4.0;277.0;-990.0;1066.0;298.0;1063.0;-838.0;726.0;559.0;31.0;244.0
-157.0;115.0;420.0;-936.0;1038.0;231.0;820.0;-597.0;512.0;298.0;11.0;307.0
-132.0;131.0;283.0;-998.0;1055.0;304.0;959.0;-795.0;703.0;361.0;10.0;185.0
-431.0;-137.0;50.0;-1041.0;1141.0;455.0;794.0;-472.0;559.0;179.0;-214.0;-34.0
-326.0;95.0;236.0;-930.0;936.0;359.0;742.0;-811.0;496.0;391.0;3.0;-242.0
-128.0;138.0;314.0;-994.0;1061.0;293.0;982.0;-807.0;732.0;374.0;38.0;166.0
-127.0;110.0;297.0;-982.0;1069.0;278.0;983.0;-796.0;724.0;376.0;39.0;188.0
-123.0;98.0;306.0;-975.0;1080.0;260.0;949.0;-778.0;700.0;348.0;9.0;205.0
-117.0;97.0;285.0;-979.0;1090.0;267.0;945.0;-778.0;716.0;360.0;43.0;220.0
-233.0;171.0;319.0;-753.0;1130.0;360.0;979.0;-376.0;628.0;511.0;59.0;454.0
-125.0;102.0;354.0;-971.0;1073.0;355.0;934.0;-773.0;715.0;372.0;48.0;240.0
-109.0;108.0;313.0;-966.0;1078.0;336.0;933.0;-767.0;687.0;383.0;60.0;215.0
-308.0;81.0;255.0;-1045.0;887.0;297.0;1098.0;-934.0;536.0;303.0;297.0;115.0
-89.0;95.0;326.0;-965.0;1063.0;279.0;961.0;-783.0;713.0;386.0;51.0;209.0
-132.0;78.0;246.0;-957.0;1049.0;181.0;962.0;-822.0;765.0;430.0;73.0;221.0
-167.0;118.0;409.0;-940.0;1000.0;227.0;813.0;-618.0;547.0;304.0;-9.0;292.0
-163.0;121.0;422.0;-955.0;1024.0;222.0;818.0;-619.0;531.0;314.0;-3.0;285.0
-37.0;172.0;248.0;-807.0;899.0;213.0;847.0;-699.0;595.0;343.0;117.0;174.0
-98.0;121.0;316.0;-966.0;1058.0;247.0;959.0;-775.0;719.0;376.0;61.0;242.0
-123.0;101.0;323.0;-966.0;1057.0;226.0;925.0;-771.0;695.0;348.0;58.0;237.0
-22.0;256.0;-1.0;-747.0;785.0;268.0;896.0;-716.0;528.0;376.0;105.0;-87.0
-112.0;110.0;284.0;-974.0;1037.0;242.0;939.0;-806.0;680.0;359.0;49.0;180.0
