InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroY;Accelerometer LUA^ accX;Accelerometer RWR accX;Accelerometer RUA^ accX;InertialMeasurementUnit RLA accY;Accelerometer BACK accX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax
28.0;281.0;-162.0;428.0;-310.0;89.0;592.0;300.0;-21;-21;9
-19.0;-10.0;-19.0;399.0;-145.0;197.0;537.0;57.0;-15;-15;27
-55.0;8.0;-20.0;427.0;-130.0;198.0;542.0;79.0;-28;-28;26
-104.0;162.0;-245.0;502.0;-106.0;146.0;612.0;51.0;-21;-21;23
3.0;-19.0;9.0;530.0;-131.0;173.0;526.0;79.0;10;10;21
82.0;140.0;-15.0;385.0;-470.0;15.0;210.0;209.0;-10;-10;20
69.0;-263.0;-67.0;541.0;-345.0;-78.0;172.0;135.0;10;10;22
608.0;134.0;31.0;249.0;-566.0;22.0;305.0;225.0;366;366;-401
537.0;241.0;-37.0;360.0;-413.0;-160.0;265.0;118.0;-27;-27;54
-17.0;-11.0;-14.0;560.0;-116.0;185.0;510.0;86.0;5;5;26
-9.0;18.0;-34.0;530.0;-45.0;170.0;603.0;81.0;24;24;29
105.0;130.0;82.0;418.0;-398.0;-38.0;259.0;202.0;14;14;1
-99.0;252.0;203.0;410.0;-541.0;-401.0;190.0;24.0;-29;-29;21
123.0;204.0;86.0;380.0;-623.0;-113.0;60.0;182.0;-31;-31;15
-200.0;24.0;-17.0;372.0;-452.0;79.0;141.0;239.0;-678;-678;-449
-182.0;324.0;-55.0;259.0;-536.0;-75.0;276.0;330.0;-780;-780;-1268
-6.0;-210.0;-222.0;300.0;-327.0;-90.0;175.0;28.0;228;228;471
-18.0;55.0;6.0;552.0;-160.0;176.0;534.0;88.0;-1;-1;21
-7.0;2.0;-15.0;544.0;-161.0;189.0;539.0;84.0;-22;-22;17
93.0;66.0;10.0;398.0;-412.0;38.0;282.0;221.0;4;4;25
91.0;33.0;-16.0;380.0;-394.0;38.0;215.0;211.0;52;52;31
213.0;99.0;72.0;257.0;-408.0;-69.0;211.0;112.0;345;345;89
-17.0;9.0;-12.0;456.0;-88.0;160.0;612.0;58.0;-8;-8;15
-32.0;61.0;-142.0;551.0;-134.0;189.0;571.0;82.0;-28;-28;23
-13.0;-25.0;-14.0;553.0;-157.0;184.0;545.0;99.0;-29;-29;21
129.0;-99.0;-147.0;437.0;-561.0;-58.0;274.0;183.0;41;41;28
86.0;46.0;-30.0;391.0;-393.0;28.0;293.0;219.0;13;13;16
-21.0;-8.0;-10.0;543.0;-147.0;195.0;533.0;87.0;-55;-55;19
-11.0;24.0;36.0;342.0;-496.0;-280.0;267.0;-68.0;5;5;17
-11.0;0.0;-11.0;534.0;-146.0;174.0;532.0;87.0;-35;-35;25
7.0;19.0;-14.0;549.0;-151.0;185.0;539.0;62.0;-20;-20;28
17.0;2.0;19.0;528.0;-154.0;189.0;601.0;77.0;4;4;21
-63.0;42.0;107.0;354.0;-253.0;58.0;602.0;265.0;-32;-32;2
-19.0;22.0;-92.0;431.0;-410.0;59.0;256.0;219.0;-15;-15;30
-62.0;39.0;-225.0;373.0;-398.0;-6.0;133.0;259.0;-36;-36;18
24.0;-27.0;-18.0;551.0;-139.0;179.0;540.0;106.0;-4;-4;17
-133.0;485.0;-249.0;371.0;-407.0;8.0;178.0;258.0;-40;-40;4
30.0;-27.0;-11.0;540.0;-123.0;177.0;536.0;79.0;-27;-27;17
-1.0;9.0;11.0;527.0;-122.0;186.0;543.0;102.0;-42;-42;18
13.0;-6.0;-12.0;545.0;-120.0;197.0;535.0;70.0;-41;-41;17
-7.0;-20.0;11.0;552.0;-143.0;183.0;534.0;53.0;-9;-9;23
-7.0;-45.0;-10.0;533.0;-154.0;199.0;573.0;56.0;11;11;14
-38.0;80.0;-36.0;465.0;-82.0;294.0;763.0;427.0;-15;-15;7
-1.0;12.0;-36.0;537.0;-158.0;179.0;530.0;81.0;-15;-15;25
43.0;-16.0;14.0;465.0;-340.0;-18.0;368.0;219.0;26;26;2
-21.0;23.0;-4.0;562.0;-148.0;179.0;525.0;81.0;-14;-14;29
241.0;134.0;12.0;420.0;-342.0;72.0;319.0;337.0;31;31;30
77.0;309.0;31.0;240.0;-104.0;149.0;458.0;218.0;108;108;14
-19.0;60.0;-104.0;279.0;-282.0;192.0;349.0;107.0;-19;-19;5
-3.0;2.0;-23.0;560.0;-155.0;180.0;529.0;87.0;13;13;21
13.0;-128.0;-75.0;477.0;-55.0;-244.0;445.0;163.0;14;14;46
-3.0;9.0;-28.0;560.0;-148.0;199.0;535.0;85.0;-7;-7;23
40.0;-122.0;-619.0;347.0;-417.0;-23.0;353.0;126.0;18;18;6
-23.0;-25.0;-13.0;546.0;-129.0;185.0;540.0;86.0;-42;-42;28
-3.0;2.0;-18.0;564.0;-167.0;182.0;541.0;86.0;-18;-18;23
-6.0;17.0;6.0;558.0;-145.0;188.0;543.0;79.0;-15;-15;22
9.0;8.0;2.0;536.0;-149.0;176.0;539.0;68.0;-13;-13;24
-10.0;-8.0;-35.0;554.0;-147.0;184.0;520.0;67.0;10;10;21
-3.0;25.0;-28.0;564.0;-158.0;189.0;522.0;67.0;-17;-17;21
9.0;32.0;-30.0;545.0;-118.0;188.0;534.0;68.0;-31;-31;25
36.0;56.0;4.0;549.0;-115.0;193.0;526.0;78.0;-34;-34;17
25.0;-252.0;64.0;156.0;169.0;385.0;249.0;17.0;2;2;14
-43.0;57.0;-21.0;296.0;-338.0;8.0;250.0;134.0;-31;-31;44
60.0;180.0;84.0;237.0;-383.0;-23.0;261.0;301.0;24;24;0
-5.0;68.0;2.0;299.0;-333.0;-14.0;251.0;236.0;21;21;-1
-14.0;8.0;-9.0;322.0;-307.0;-46.0;265.0;255.0;1;1;-2
-224.0;-1.0;37.0;322.0;-311.0;-133.0;174.0;308.0;-19;-19;-132
-123.0;421.0;71.0;210.0;-436.0;16.0;220.0;397.0;359;359;-1949
12.0;-19.0;-35.0;337.0;-344.0;-49.0;275.0;231.0;2;2;-6
-34.0;33.0;-228.0;382.0;-359.0;1.0;166.0;269.0;-13;-13;7
-7.0;121.0;-107.0;401.0;-769.0;-20.0;232.0;492.0;4;4;-6
-56.0;-497.0;-314.0;361.0;-541.0;-94.0;243.0;135.0;-17;-17;9
-45.0;-111.0;-59.0;363.0;-376.0;-37.0;232.0;215.0;11;11;-6
-11.0;38.0;29.0;388.0;-343.0;-16.0;262.0;205.0;-4;-4;1
8.0;17.0;-4.0;571.0;-135.0;193.0;522.0;82.0;-1;-1;15
-34.0;5.0;-11.0;400.0;-138.0;208.0;525.0;69.0;-10;-10;19
-2.0;33.0;-9.0;551.0;-98.0;183.0;531.0;66.0;-27;-27;19
20.0;35.0;-3.0;554.0;-131.0;170.0;525.0;66.0;-27;-27;23
10.0;12.0;-6.0;558.0;-194.0;188.0;539.0;74.0;-13;-13;23
-21.0;-11.0;-15.0;539.0;-152.0;197.0;539.0;66.0;-33;-33;24
-3.0;-13.0;-13.0;548.0;-129.0;180.0;536.0;66.0;-36;-36;26
9.0;-13.0;6.0;562.0;-130.0;185.0;528.0;75.0;-20;-20;25
-30.0;6.0;-16.0;534.0;-142.0;189.0;546.0;63.0;-14;-14;24
15.0;-238.0;-113.0;413.0;21.0;228.0;826.0;135.0;-24;-24;40
-170.0;-196.0;-12.0;548.0;-19.0;431.0;470.0;346.0;16;16;73
-8.0;42.0;13.0;551.0;-116.0;183.0;540.0;60.0;-19;-19;16
-6.0;36.0;-31.0;535.0;-78.0;191.0;617.0;67.0;-28;-28;21
-3.0;-26.0;-19.0;513.0;-74.0;198.0;621.0;76.0;-28;-28;21
10.0;64.0;77.0;323.0;-314.0;22.0;274.0;144.0;-20;-20;9
-42.0;25.0;19.0;312.0;-375.0;-24.0;227.0;157.0;-13;-13;7
-24.0;8.0;-28.0;548.0;-149.0;189.0;541.0;62.0;-21;-21;22
55.0;39.0;-104.0;379.0;-757.0;-250.0;6.0;58.0;-1;-1;19
-13.0;37.0;-9.0;541.0;-143.0;189.0;538.0;67.0;-24;-24;19
-32.0;-10.0;-7.0;527.0;-186.0;178.0;541.0;73.0;-39;-39;23
-7.0;-8.0;28.0;466.0;-165.0;189.0;538.0;66.0;8;8;28
-40.0;17.0;28.0;456.0;-108.0;208.0;534.0;53.0;-3;-3;15
-720.0;607.0;945.0;534.0;-26.0;79.0;796.0;540.0;-14;-14;20
-3.0;2.0;0.0;510.0;33.0;126.0;656.0;125.0;-7;-7;27
-683.0;150.0;166.0;405.0;132.0;212.0;764.0;-114.0;-34;-34;74
-4.0;-46.0;-40.0;471.0;-174.0;213.0;584.0;45.0;19;19;15
-131.0;-99.0;-161.0;316.0;-30.0;19.0;531.0;103.0;1;1;-1
20.0;15.0;-1.0;482.0;-174.0;189.0;538.0;73.0;17;17;20
3.0;11.0;-18.0;459.0;-147.0;199.0;529.0;78.0;-12;-12;22
-22.0;-8.0;-5.0;480.0;-138.0;208.0;549.0;76.0;-39;-39;22
-36.0;-32.0;33.0;487.0;-171.0;196.0;536.0;85.0;-31;-31;21
-4.0;-93.0;16.0;479.0;-121.0;210.0;523.0;60.0;-24;-24;17
-19.0;109.0;116.0;449.0;-245.0;80.0;287.0;217.0;-14;-14;12
330.0;624.0;183.0;461.0;148.0;238.0;677.0;388.0;-43;-43;56
-19.0;192.0;482.0;412.0;-164.0;47.0;720.0;-15.0;295;295;77
-18.0;171.0;398.0;366.0;-389.0;28.0;509.0;78.0;-42;-42;13
-47.0;491.0;-105.0;368.0;-697.0;-91.0;213.0;197.0;6;6;8
-5.0;-71.0;48.0;488.0;-171.0;185.0;525.0;77.0;13;13;22
13.0;-59.0;50.0;520.0;-123.0;191.0;525.0;65.0;11;11;26
-241.0;212.0;119.0;454.0;-370.0;-30.0;146.0;176.0;1102;1102;1733
-30.0;24.0;2.0;524.0;-160.0;91.0;532.0;170.0;9;9;25
102.0;192.0;141.0;258.0;-375.0;-36.0;279.0;88.0;-9;-9;-11
85.0;105.0;146.0;351.0;-354.0;-25.0;229.0;208.0;-50;-50;0
40.0;123.0;95.0;329.0;-374.0;-45.0;302.0;192.0;-26;-26;8
8.0;130.0;31.0;324.0;-307.0;-15.0;286.0;192.0;-22;-22;13
69.0;105.0;-8.0;307.0;-309.0;20.0;285.0;205.0;7;7;11
69.0;84.0;-10.0;298.0;-313.0;-8.0;297.0;200.0;12;12;5
61.0;8.0;-19.0;321.0;-288.0;-13.0;317.0;147.0;-5;-5;12
80.0;27.0;-2.0;318.0;-303.0;-33.0;311.0;218.0;-13;-13;10
63.0;-27.0;-12.0;313.0;-291.0;5.0;303.0;176.0;7;7;-1
46.0;-75.0;-62.0;318.0;-243.0;-6.0;302.0;144.0;26;26;1
48.0;-82.0;-49.0;327.0;-300.0;11.0;321.0;156.0;8;8;10
57.0;-81.0;-54.0;307.0;-300.0;13.0;318.0;166.0;-8;-8;9
-63.0;-28.0;-15.0;316.0;-351.0;15.0;300.0;219.0;-6;-6;5
28.0;-22.0;-32.0;325.0;-324.0;12.0;291.0;160.0;-19;-19;8
38.0;21.0;36.0;314.0;-311.0;8.0;297.0;166.0;-5;-5;8
-15.0;17.0;51.0;323.0;-283.0;9.0;298.0;203.0;18;18;4
-5.0;48.0;63.0;304.0;-332.0;-17.0;284.0;201.0;24;24;5
16.0;95.0;74.0;327.0;-273.0;7.0;293.0;203.0;32;32;3
7.0;114.0;88.0;358.0;-366.0;-20.0;296.0;192.0;18;18;-2
-8.0;130.0;60.0;319.0;-318.0;5.0;287.0;182.0;4;4;3
-65.0;8.0;27.0;328.0;-304.0;-4.0;259.0;174.0;-5;-5;4
-23.0;-21.0;21.0;349.0;-295.0;6.0;249.0;182.0;-23;-23;4
7.0;15.0;7.0;359.0;-324.0;5.0;276.0;188.0;-16;-16;4
-16.0;3.0;8.0;326.0;-253.0;1.0;295.0;201.0;1;1;-3
-10.0;15.0;13.0;317.0;-304.0;18.0;283.0;189.0;10;10;2
-25.0;-12.0;-24.0;354.0;-300.0;7.0;264.0;173.0;4;4;6
-11.0;-17.0;-20.0;349.0;-237.0;3.0;270.0;163.0;-41;-41;5
-13.0;-6.0;-9.0;347.0;-339.0;12.0;268.0;152.0;-3;-3;10
-13.0;60.0;53.0;333.0;-370.0;-152.0;274.0;106.0;1950;1950;91
