Accelerometer RKN_ accY;Accelerometer LUA_ accX;InertialMeasurementUnit LLA accZ;Accelerometer RKN_ accZ;InertialMeasurementUnit L-SHOE Nav_Az;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit L-SHOE Nav_Ax
820.0;-287.0;-471.0;-271.0;17;349.0;661;-2;728;-43;-7
947.0;-138.0;45.0;-49.0;18;-11.0;661;9;723;-43;5
993.0;-142.0;159.0;49.0;20;-99.0;671;7;713;-40;-1
1001.0;-2.0;96.0;26.0;16;-122.0;706;2;684;-46;-2
1010.0;-61.0;40.0;-13.0;12;-74.0;710;8;685;-46;0
825.0;-69.0;-99.0;32.0;26;-128.0;727;140;660;-47;0
978.0;-68.0;-86.0;-30.0;19;6.0;652;5;733;-39;8
1009.0;-51.0;-90.0;-22.0;21;-14.0;648;2;733;-39;8
1007.0;-54.0;-88.0;-20.0;21;1.0;653;11;730;-39;7
958.0;-20.0;81.0;157.0;31;-217.0;780;26;595;-44;157
430.0;120.0;57.0;556.0;56;-738.0;796;99;512;-47;-174
980.0;-51.0;-103.0;-19.0;23;-9.0;652;7;727;-39;2
993.0;-175.0;-191.0;-36.0;27;9.0;645;-2;728;-45;-1
989.0;-61.0;-116.0;-19.0;24;-1.0;651;5;726;-39;1
998.0;-71.0;-92.0;-40.0;15;0.0;658;10;734;-39;3
982.0;169.0;-51.0;49.0;42;3.0;642;123;703;-46;78
989.0;-76.0;-95.0;-30.0;19;10.0;653;5;732;-39;3
989.0;-61.0;-95.0;-5.0;23;17.0;652;3;728;-39;-3
979.0;-231.0;-220.0;73.0;13;8.0;668;2;725;-45;3
1046.0;48.0;-13.0;-6.0;16;-153.0;707;-5;682;-46;2
994.0;-60.0;-93.0;-11.0;16;-8.0;653;1;736;-39;4
989.0;-68.0;-105.0;-10.0;17;31.0;655;11;733;-39;9
989.0;-68.0;-90.0;-29.0;17;24.0;656;5;733;-39;6
992.0;-55.0;-93.0;-22.0;17;8.0;656;2;732;-39;-2
993.0;11.0;-137.0;-53.0;11;22.0;656;-1;739;-44;3
998.0;-56.0;-89.0;-13.0;17;13.0;652;1;736;-39;7
997.0;-68.0;-99.0;-9.0;17;9.0;652;1;736;-39;6
997.0;-68.0;-88.0;-21.0;18;20.0;656;-1;732;-39;-3
986.0;-154.0;-143.0;-12.0;16;34.0;651;1;737;-39;14
999.0;-68.0;-88.0;-4.0;17;10.0;655;4;733;-39;6
962.0;76.0;-113.0;40.0;22;-36.0;700;-11;682;-46;-8
991.0;-53.0;-90.0;29.0;-160;-37.0;950;-243;690;-39;-47
979.0;28.0;-378.0;47.0;19;14.0;654;22;731;-40;23
947.0;-136.0;104.0;202.0;4;-310.0;661;-30;746;-44;-20
974.0;119.0;56.0;183.0;29;-22.0;850;-286;542;-43;-106
1003.0;48.0;24.0;28.0;32;-149.0;645;3;723;-41;2
973.0;-122.0;9.0;-11.0;94;-30.0;428;559;1040;-49;133
978.0;-274.0;-286.0;-10.0;153;-118.0;661;258;728;39;435
923.0;244.0;-18.0;224.0;7;199.0;670;-60;734;-38;-13
966.0;214.0;138.0;54.0;18;-345.0;664;-12;722;-43;-5
938.0;0.0;98.0;82.0;20;-360.0;656;7;727;-41;21
957.0;132.0;-24.0;62.0;11;-333.0;676;-2;722;-43;-7
906.0;61.0;-25.0;67.0;16;-333.0;671;1;719;-43;3
970.0;160.0;80.0;-12.0;23;-349.0;642;-4;736;-40;-1
963.0;57.0;-19.0;-87.0;22;-336.0;645;-3;735;-40;-4
801.0;-149.0;-37.0;-528.0;-505;-465.0;1220;43;1033;-62;-400
908.0;68.0;45.0;-5.0;16;-738.0;671;7;719;-43;-8
834.0;213.0;42.0;-384.0;11;-361.0;747;1;647;-50;-5
1090.0;156.0;45.0;-163.0;12;-312.0;675;-4;722;-42;14
1299.0;132.0;-37.0;126.0;16;451.0;645;-16;739;-36;40
1000.0;108.0;283.0;-133.0;19;-227.0;664;-7;723;-39;-2
957.0;29.0;229.0;-108.0;34;-24.0;664;-27;705;-43;-7
959.0;68.0;114.0;-191.0;10;-71.0;678;12;719;-36;7
982.0;39.0;97.0;-129.0;22;-115.0;654;1;727;-40;0
981.0;48.0;51.0;-82.0;20;-101.0;658;2;728;-41;2
989.0;60.0;17.0;-10.0;20;-8.0;654;4;730;-41;-3
898.0;212.0;44.0;-180.0;-19;17.0;678;44;770;-40;-22
1002.0;61.0;38.0;-104.0;18;-40.0;674;-6;713;-48;-1
1000.0;58.0;44.0;-63.0;12;-5.0;662;5;733;-40;0
998.0;56.0;55.0;-30.0;17;-15.0;660;3;728;-40;2
1000.0;65.0;56.0;-25.0;19;-21.0;655;-3;730;-40;-1
1013.0;62.0;64.0;-25.0;17;-38.0;658;-1;732;-41;-1
982.0;57.0;76.0;-26.0;15;-16.0;659;-3;732;-40;0
974.0;77.0;87.0;-13.0;15;-11.0;664;11;727;-45;7
986.0;44.0;66.0;18.0;21;27.0;658;-6;725;-40;4
990.0;53.0;52.0;-21.0;16;18.0;659;2;729;-40;0
997.0;57.0;75.0;11.0;23;15.0;657;3;724;-40;2
989.0;47.0;62.0;-20.0;16;18.0;661;0;729;-40;4
988.0;49.0;63.0;-30.0;16;20.0;654;-8;736;-41;-9
993.0;-283.0;-234.0;60.0;-45;-25.0;821;236;672;-43;169
970.0;166.0;247.0;-66.0;16;40.0;671;4;719;-43;-1
1008.0;123.0;69.0;-99.0;24;-27.0;659;2;721;-55;-1
1330.0;106.0;-21.0;78.0;13;116.0;674;-8;720;-43;9
1030.0;74.0;56.0;-49.0;17;-89.0;678;5;711;-43;3
1065.0;117.0;94.0;-106.0;21;-212.0;688;54;699;-8;-37
987.0;197.0;98.0;20.0;204;-213.0;686;-532;702;-14;224
1017.0;149.0;142.0;-129.0;19;-93.0;671;-2;716;-43;-1
994.0;4.0;137.0;-49.0;19;-70.0;703;-56;691;-43;58
935.0;-25.0;66.0;-41.0;12;-55.0;674;-27;723;-37;4
988.0;62.0;62.0;-125.0;19;-20.0;669;-60;724;-35;20
953.0;-41.0;18.0;72.0;22;80.0;648;6;731;-41;4
845.0;32.0;105.0;-18.0;25;10.0;679;15;700;-43;2
1063.0;145.0;181.0;-20.0;13;-42.0;672;6;722;-43;-1
1061.0;152.0;119.0;121.0;4;-306.0;690;11;717;-43;9
988.0;50.0;-96.0;8.0;7;-6.0;637;29;764;-41;21
978.0;-29.0;-84.0;50.0;-9;-37.0;757;-84;678;-40;119
1000.0;7.0;-80.0;-57.0;10;-67.0;690;-32;711;-41;49
988.0;155.0;53.0;-4.0;16;-24.0;665;-3;725;-43;-3
1136.0;-165.0;-107.0;-278.0;225;-307.0;970;-406;356;-33;662
1428.0;170.0;159.0;-623.0;105;90.0;922;-105;580;-35;586
988.0;-188.0;28.0;-244.0;50;-162.0;661;-122;723;-38;229
978.0;272.0;233.0;63.0;15;30.0;682;0;708;-34;-4
991.0;-10.0;48.0;-48.0;18;-38.0;687;-25;701;-41;28
997.0;47.0;22.0;100.0;20;-111.0;676;-10;709;-40;4
952.0;-22.0;-39.0;112.0;2;-264.0;529;-113;842;-42;-129
987.0;-175.0;311.0;-5.0;21;-125.0;645;-3;737;-42;1
962.0;174.0;204.0;119.0;21;-225.0;667;72;719;-40;3
998.0;207.0;-43.0;49.0;14;64.0;657;-1;732;-41;13
999.0;138.0;111.0;-11.0;16;9.0;661;-2;729;-42;-2
1030.0;56.0;81.0;-9.0;17;-44.0;666;3;724;-43;-10
1055.0;145.0;29.0;-82.0;29;-96.0;663;19;710;-39;-48
852.0;57.0;222.0;-388.0;14;-354.0;748;-1;643;-50;3
979.0;-136.0;-8.0;-30.0;135;26.0;456;-832;965;-48;-272
972.0;23.0;23.0;-80.0;12;-6.0;666;-8;740;-38;-68
944.0;134.0;91.0;12.0;1;27.0;481;565;1057;-59;-565
934.0;-30.0;-23.0;15.0;3;-15.0;645;-13;759;-39;-11
1000.0;6.0;-73.0;-4.0;157;20.0;453;-159;738;-42;-145
896.0;136.0;-158.0;10.0;44;-152.0;588;-62;757;-41;-54
475.0;-168.0;17.0;-452.0;36;-671.0;650;16;719;-32;122
1007.0;-121.0;-53.0;-20.0;15;-124.0;661;-2;731;-43;-1
992.0;-196.0;-37.0;-137.0;44;-160.0;646;-13;703;-41;-16
971.0;50.0;-9.0;-113.0;18;-170.0;679;-7;708;-46;0
1012.0;40.0;54.0;-57.0;-21;-330.0;690;32;746;-35;-18
917.0;37.0;21.0;-4.0;23;-175.0;656;34;720;-46;-39
1011.0;-5.0;-24.0;127.0;8;-230.0;677;171;715;-46;-66
998.0;89.0;-78.0;81.0;17;-261.0;671;4;718;-43;4
910.0;-22.0;-245.0;175.0;17;-324.0;677;-3;711;-45;3
990.0;-79.0;-41.0;134.0;16;-177.0;669;0;721;-40;0
982.0;24.0;49.0;50.0;13;-164.0;667;6;726;-46;-27
973.0;-49.0;60.0;25.0;-243;-189.0;889;-63;935;-31;-310
701.0;125.0;85.0;220.0;14;-36.0;681;3;709;-36;9
969.0;39.0;-37.0;-152.0;22;-165.0;670;4;711;-43;-8
996.0;8.0;-143.0;-201.0;18;-57.0;664;2;722;-43;4
1063.0;12.0;123.0;40.0;11;-182.0;671;3;727;-43;-6
959.0;8.0;107.0;128.0;17;-222.0;652;-3;736;-41;0
979.0;-50.0;87.0;38.0;22;-194.0;659;-5;722;-41;3
956.0;-31.0;68.0;51.0;19;-189.0;659;-3;726;-41;-1
988.0;-74.0;35.0;33.0;18;-192.0;658;-1;729;-41;-4
967.0;-22.0;-38.0;80.0;12;-268.0;660;-166;708;-42;112
968.0;-50.0;-25.0;59.0;18;-161.0;657;2;730;-41;2
956.0;-47.0;-32.0;69.0;22;-144.0;655;0;725;-41;3
965.0;4.0;-40.0;72.0;24;-146.0;655;-2;723;-41;0
988.0;57.0;-48.0;52.0;20;-144.0;656;1;727;-41;4
989.0;57.0;-54.0;50.0;21;-154.0;658;-1;725;-41;6
989.0;35.0;-56.0;81.0;25;-155.0;650;6;726;-41;7
968.0;109.0;-115.0;131.0;12;-135.0;668;1;728;-38;4
963.0;48.0;-35.0;85.0;17;-139.0;657;3;730;-41;4
964.0;46.0;-34.0;134.0;22;-228.0;663;58;721;-40;8
976.0;74.0;-3.0;83.0;20;-150.0;657;2;727;-41;4
963.0;16.0;11.0;91.0;16;-154.0;662;0;729;-41;5
968.0;-30.0;47.0;97.0;13;-141.0;657;6;737;-41;-3
975.0;2.0;70.0;116.0;16;-145.0;654;7;734;-41;-1
971.0;58.0;168.0;97.0;21;-136.0;654;2;728;-41;-1
972.0;130.0;209.0;-167.0;33;-12.0;674;105;706;-37;-48
970.0;-9.0;88.0;178.0;21;-108.0;659;9;723;-43;-10
961.0;77.0;103.0;159.0;19;-154.0;663;3;723;-43;-1
967.0;42.0;120.0;165.0;20;-223.0;650;1;734;-41;-3
956.0;-15.0;52.0;119.0;22;-138.0;649;11;731;-41;4
991.0;-11.0;16.0;120.0;15;-122.0;657;3;734;-41;-4
983.0;-20.0;15.0;102.0;18;-136.0;657;2;730;-41;0
983.0;-29.0;18.0;102.0;15;-140.0;661;-2;729;-41;-3
984.0;-14.0;11.0;131.0;13;-139.0;661;0;733;-41;-5
983.0;3.0;10.0;104.0;17;-128.0;656;5;732;-41;0
989.0;-39.0;18.0;99.0;17;-138.0;658;3;730;-41;-1
978.0;-37.0;16.0;88.0;24;-156.0;656;1;723;-41;-1
989.0;10.0;15.0;98.0;17;-136.0;658;4;731;-41;-5
974.0;39.0;8.0;114.0;17;-128.0;655;6;732;-41;-7
984.0;24.0;8.0;132.0;24;-119.0;652;6;726;-41;-1
986.0;2.0;3.0;143.0;21;-107.0;655;7;728;-41;3
981.0;-3.0;-1.0;110.0;15;89.0;681;-1;711;-43;7
984.0;26.0;1.0;141.0;21;-132.0;654;7;729;-41;0
976.0;13.0;-5.0;110.0;22;-129.0;650;11;731;-41;5
968.0;-2.0;1.0;98.0;21;-134.0;651;6;731;-41;-3
970.0;-10.0;-10.0;95.0;18;-129.0;655;4;732;-41;-3
978.0;-24.0;0.0;121.0;19;-127.0;653;6;733;-41;1
979.0;5.0;-9.0;111.0;21;-119.0;654;0;729;-41;-2
979.0;4.0;3.0;141.0;21;-109.0;656;-2;727;-41;2
970.0;-11.0;6.0;138.0;24;-111.0;650;3;728;-41;1
961.0;19.0;59.0;151.0;22;-108.0;657;1;724;-41;5
982.0;-3.0;31.0;122.0;14;-135.0;657;2;735;-41;-3
975.0;1.0;9.0;128.0;18;-142.0;656;0;731;-41;3
969.0;40.0;-7.0;31.0;16;-36.0;675;-9;714;-43;1
998.0;26.0;-13.0;9.0;19;-27.0;675;-7;711;-43;-5
988.0;2.0;-10.0;5.0;19;-25.0;677;-2;709;-43;4
991.0;26.0;-4.0;72.0;21;-73.0;674;-3;709;-43;-9
969.0;58.0;-17.0;57.0;6;-75.0;700;18;704;-43;2
975.0;47.0;-48.0;61.0;19;-83.0;676;-2;709;-43;-10
978.0;0.0;-51.0;34.0;16;-88.0;666;-17;723;-43;-19
1021.0;36.0;69.0;200.0;27;-222.0;637;2;736;-40;5
961.0;10.0;18.0;110.0;20;-128.0;652;5;732;-41;2
972.0;17.0;21.0;124.0;16;-135.0;654;4;736;-41;-5
966.0;-5.0;10.0;117.0;17;-122.0;653;6;735;-41;2
976.0;5.0;5.0;133.0;19;-110.0;659;-3;726;-41;2
979.0;39.0;43.0;125.0;26;-100.0;652;3;724;-41;0
988.0;-17.0;-75.0;60.0;-93;-94.0;802;72;747;-43;50
979.0;10.0;9.0;109.0;23;-102.0;653;4;726;-41;2
971.0;-7.0;15.0;119.0;5;-108.0;666;1;739;-41;0
991.0;37.0;20.0;158.0;-36;-92.0;690;87;768;-42;68
979.0;15.0;20.0;137.0;19;-98.0;660;-3;726;-41;4
970.0;29.0;-39.0;191.0;414;-28.0;342;15;517;-42;247
979.0;12.0;9.0;142.0;20;-109.0;658;-3;725;-41;-1
970.0;10.0;11.0;142.0;22;-109.0;658;-1;724;-41;7
970.0;19.0;10.0;125.0;21;-119.0;654;2;728;-41;2
961.0;-11.0;8.0;137.0;18;-136.0;659;-6;729;-41;-1
967.0;32.0;5.0;119.0;23;-131.0;648;5;732;-41;-3
986.0;12.0;7.0;98.0;22;-136.0;649;4;732;-41;-5
997.0;-6.0;2.0;76.0;16;-154.0;659;-3;730;-41;-2
979.0;-1.0;-7.0;67.0;20;-142.0;651;4;731;-41;0
981.0;28.0;7.0;112.0;23;-143.0;648;6;731;-41;2
964.0;25.0;5.0;102.0;19;-127.0;655;1;731;-41;-3
952.0;12.0;12.0;191.0;20;-164.0;667;3;718;-32;1
982.0;13.0;18.0;109.0;17;-136.0;660;-3;729;-41;3
969.0;5.0;21.0;109.0;19;-136.0;656;1;730;-41;2
978.0;43.0;27.0;85.0;22;-136.0;653;0;728;-41;-4
979.0;17.0;29.0;90.0;18;-144.0;656;1;731;-41;-3
989.0;-1.0;21.0;81.0;17;-154.0;653;6;735;-41;-5
979.0;10.0;25.0;105.0;24;-124.0;650;5;728;-41;2
977.0;9.0;22.0;129.0;23;-111.0;653;3;727;-41;9
972.0;-12.0;22.0;124.0;13;-128.0;660;0;734;-41;-2
1308.0;-83.0;-6.0;168.0;19;-177.0;669;24;720;-39;-44
973.0;33.0;16.0;111.0;25;-139.0;654;0;723;-41;2
971.0;34.0;22.0;104.0;21;-128.0;655;1;727;-41;4
984.0;1.0;14.0;120.0;24;-114.0;652;3;727;-41;5
943.0;10.0;44.0;289.0;19;-90.0;662;-15;725;-40;-27
976.0;20.0;-3.0;106.0;19;-116.0;654;1;731;-41;-4
979.0;6.0;10.0;112.0;28;-115.0;647;5;726;-41;-4
976.0;15.0;14.0;136.0;20;-128.0;649;7;734;-41;-8
948.0;174.0;11.0;214.0;-251;-7.0;974;-218;899;-34;561
955.0;152.0;51.0;62.0;32;18.0;703;153;696;-36;3
969.0;15.0;27.0;109.0;13;-133.0;657;3;736;-41;0
971.0;17.0;34.0;108.0;14;-109.0;658;0;734;-41;-5
570.0;17.0;3.0;-609.0;788;-359.0;267;494;524;-80;-513
979.0;0.0;24.0;130.0;22;-116.0;656;-1;725;-41;6
970.0;10.0;30.0;131.0;16;-90.0;660;-3;730;-41;-4
991.0;-1.0;17.0;134.0;14;-118.0;657;3;736;-41;-5
985.0;-85.0;-99.0;27.0;21;-108.0;645;-4;736;-42;1
958.0;55.0;22.0;229.0;20;-117.0;666;0;721;-46;-18
926.0;41.0;95.0;228.0;36;-153.0;657;-145;721;-26;4
1000.0;14.0;9.0;167.0;14;-151.0;670;-7;723;-32;0
984.0;30.0;13.0;103.0;17;-117.0;654;4;734;-41;-5
964.0;37.0;16.0;110.0;20;-108.0;654;2;731;-41;-5
990.0;17.0;16.0;100.0;21;-112.0;652;3;732;-41;-4
974.0;7.0;12.0;119.0;22;-115.0;655;-3;726;-41;-3
980.0;4.0;15.0;131.0;22;-90.0;655;-3;726;-41;-1
927.0;16.0;111.0;192.0;17;-22.0;667;42;723;-39;15
