InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroY;Accelerometer LUA^ accX;Accelerometer RWR accX;Accelerometer RUA^ accX;InertialMeasurementUnit RLA accY;Accelerometer BACK accX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax
80.0;904.0;-1439.0;567.0;-74.0;277.0;11.0;139.0;?;-22;8
-206.0;1236.0;-1564.0;553.0;195.0;387.0;51.0;167.0;?;-25;9
-183.0;1385.0;-1519.0;552.0;284.0;494.0;267.0;136.0;?;11;6
-182.0;1456.0;-1301.0;532.0;284.0;397.0;441.0;73.0;?;-7;12
-201.0;1806.0;-1219.0;470.0;236.0;477.0;731.0;89.0;-31;-31;13
-230.0;2075.0;-1058.0;395.0;30.0;415.0;1140.0;142.0;6;6;9
-257.0;1747.0;-516.0;293.0;-8.0;276.0;1275.0;78.0;-4;-4;10
-399.0;1616.0;-124.0;194.0;-5.0;169.0;1178.0;77.0;5;5;10
-409.0;1574.0;-129.0;357.0;-32.0;104.0;1095.0;106.0;37;37;-4
-386.0;1330.0;31.0;361.0;-50.0;45.0;1113.0;81.0;41;41;9
-426.0;940.0;235.0;488.0;-137.0;0.0;1026.0;93.0;6;6;-2
-447.0;836.0;92.0;249.0;-163.0;-2.0;937.0;163.0;-10;-10;-8
-438.0;709.0;-55.0;331.0;-190.0;-26.0;943.0;141.0;85;85;61
-407.0;517.0;-39.0;705.0;-257.0;-10.0;858.0;111.0;23;23;-32
-395.0;472.0;-176.0;786.0;-284.0;-32.0;767.0;81.0;404;404;155
-356.0;516.0;-199.0;640.0;-308.0;-50.0;721.0;63.0;1072;1072;423
-300.0;352.0;-101.0;448.0;-389.0;-152.0;653.0;61.0;809;809;93
-176.0;196.0;-31.0;375.0;-420.0;-209.0;571.0;82.0;216;216;-127
-86.0;34.0;66.0;275.0;-450.0;-228.0;478.0;64.0;-99;-99;-114
-4.0;-90.0;37.0;245.0;-379.0;-230.0;387.0;33.0;-307;-307;-81
-4.0;-240.0;-6.0;228.0;-348.0;-195.0;345.0;0.0;-375;-375;8
13.0;-382.0;-78.0;242.0;-325.0;-147.0;302.0;-17.0;-358;-358;-75
57.0;-481.0;-138.0;282.0;-311.0;-114.0;257.0;-26.0;-143;-143;-132
11.0;-495.0;-166.0;365.0;-274.0;-101.0;231.0;-30.0;171;171;-133
47.0;-448.0;-94.0;412.0;-277.0;-60.0;240.0;-28.0;192;192;-183
47.0;-305.0;-41.0;429.0;-281.0;-81.0;228.0;-38.0;6;6;-125
17.0;-167.0;11.0;399.0;-328.0;-122.0;235.0;-20.0;-84;-84;-38
17.0;9.0;31.0;354.0;-316.0;-132.0;207.0;20.0;-82;-82;-35
-39.0;123.0;42.0;309.0;-302.0;-131.0;221.0;61.0;13;13;24
-52.0;209.0;51.0;305.0;-300.0;-106.0;203.0;88.0;129;129;57
-99.0;240.0;24.0;301.0;-349.0;-71.0;185.0;95.0;148;148;-21
-189.0;328.0;28.0;321.0;-351.0;-84.0;209.0;48.0;112;112;-57
-195.0;419.0;59.0;306.0;-372.0;-128.0;249.0;11.0;24;24;-45
-219.0;392.0;68.0;313.0;-363.0;-156.0;260.0;55.0;-101;-101;-120
-193.0;391.0;17.0;323.0;-391.0;-144.0;255.0;68.0;-135;-135;-139
-152.0;411.0;41.0;333.0;-328.0;-144.0;240.0;63.0;-118;-118;51
-89.0;369.0;96.0;334.0;-306.0;-130.0;264.0;47.0;-102;-102;156
-106.0;267.0;48.0;343.0;-336.0;-120.0;278.0;27.0;-2;-2;115
-72.0;198.0;51.0;340.0;-405.0;-135.0;283.0;44.0;115;115;86
-4.0;153.0;56.0;329.0;-369.0;-159.0;291.0;42.0;153;153;24
42.0;?;57.0;340.0;-347.0;-137.0;285.0;29.0;128;128;-17
93.0;?;48.0;331.0;-325.0;-114.0;253.0;20.0;72;72;-22
131.0;-24.0;77.0;332.0;-261.0;-86.0;249.0;19.0;64;64;-12
141.0;-19.0;65.0;338.0;-338.0;-57.0;265.0;49.0;-76;-76;44
146.0;23.0;101.0;345.0;-246.0;-58.0;260.0;69.0;27;27;9
148.0;100.0;113.0;381.0;-316.0;-63.0;255.0;89.0;143;143;-60
134.0;127.0;140.0;353.0;-350.0;-51.0;276.0;126.0;-21;-21;-67
109.0;225.0;177.0;323.0;-348.0;-95.0;284.0;100.0;424;424;-30
117.0;262.0;171.0;333.0;-388.0;?;267.0;56.0;417;417;300
81.0;166.0;222.0;305.0;-314.0;?;253.0;224.0;81;81;345
10.0;69.0;169.0;314.0;-391.0;?;227.0;454.0;196;196;37
-105.0;-142.0;12.0;269.0;-342.0;?;167.0;338.0;-58;-58;64
-164.0;-35.0;179.0;249.0;-365.0;?;258.0;143.0;-59;-59;51
729.0;-194.0;259.0;326.0;-331.0;?;342.0;122.0;47;47;4
530.0;-314.0;99.0;295.0;-246.0;?;237.0;80.0;-26;-26;24
356.0;-446.0;-177.0;277.0;-223.0;?;130.0;69.0;44;44;-24
160.0;-553.0;-290.0;292.0;-273.0;?;210.0;59.0;36;36;-10
-47.0;-636.0;-257.0;512.0;-222.0;?;205.0;48.0;12;12;-20
-278.0;-561.0;-226.0;670.0;-275.0;?;220.0;67.0;-10;-10;-25
-118.0;-333.0;-9.0;529.0;-287.0;?;266.0;58.0;13;13;-15
23.0;-71.0;138.0;279.0;-349.0;-72.0;278.0;70.0;27;27;-16
102.0;192.0;141.0;258.0;-375.0;-36.0;279.0;88.0;-9;-9;-11
55.0;337.0;120.0;252.0;-398.0;-26.0;251.0;97.0;2;2;-16
-35.0;272.0;72.0;261.0;-322.0;-20.0;219.0;93.0;12;12;-16
-30.0;264.0;111.0;267.0;-383.0;-30.0;224.0;86.0;-10;-10;-19
-19.0;295.0;123.0;284.0;-413.0;-49.0;250.0;104.0;7;7;-24
21.0;237.0;127.0;295.0;-362.0;-66.0;267.0;96.0;16;16;-4
-16.0;209.0;46.0;304.0;-352.0;-51.0;294.0;84.0;-65;-65;-20
-54.0;113.0;8.0;304.0;-329.0;-37.0;289.0;86.0;-257;-257;-30
-111.0;65.0;-43.0;303.0;-345.0;-16.0;290.0;97.0;-365;-365;35
-72.0;43.0;-71.0;291.0;-334.0;-5.0;292.0;124.0;-201;-201;72
-135.0;12.0;-58.0;267.0;-318.0;-14.0;281.0;110.0;-42;-42;89
-177.0;11.0;-63.0;259.0;-340.0;11.0;305.0;88.0;22;22;73
-264.0;25.0;-62.0;270.0;-271.0;-33.0;310.0;68.0;59;59;-15
-209.0;28.0;-40.0;280.0;-291.0;-29.0;298.0;67.0;9;9;-37
-169.0;57.0;-72.0;261.0;-319.0;-38.0;287.0;66.0;-50;-50;-13
-216.0;86.0;-90.0;272.0;-316.0;-8.0;285.0;70.0;-83;-83;-31
-262.0;80.0;-97.0;300.0;-327.0;3.0;281.0;74.0;-63;-63;25
-326.0;107.0;-91.0;313.0;-349.0;14.0;273.0;70.0;-117;-117;126
-319.0;149.0;-57.0;306.0;-371.0;-40.0;261.0;74.0;-109;-109;124
-306.0;246.0;-47.0;296.0;-382.0;-64.0;273.0;68.0;59;59;64
-249.0;248.0;-39.0;277.0;-412.0;-111.0;275.0;56.0;101;101;36
-163.0;302.0;-39.0;285.0;-413.0;-124.0;255.0;64.0;123;123;42
-131.0;272.0;-67.0;275.0;-431.0;-143.0;218.0;97.0;138;138;7
-89.0;217.0;-34.0;290.0;-392.0;-117.0;196.0;99.0;72;72;-53
-49.0;157.0;-43.0;315.0;-360.0;-79.0;170.0;110.0;-10;-10;-60
-52.0;113.0;-67.0;314.0;-345.0;-58.0;180.0;83.0;-141;-141;-17
-38.0;66.0;-69.0;291.0;-319.0;-41.0;212.0;74.0;-186;-186;51
23.0;1.0;-77.0;261.0;-352.0;-77.0;226.0;95.0;-132;-132;92
2.0;-6.0;-68.0;275.0;-352.0;-110.0;206.0;78.0;-139;-139;96
18.0;-4.0;-56.0;323.0;-356.0;-114.0;213.0;67.0;-145;-145;69
-2.0;14.0;-27.0;340.0;-380.0;-94.0;244.0;78.0;-58;-58;78
94.0;-21.0;11.0;335.0;-342.0;?;232.0;84.0;-39;-39;71
127.0;-71.0;47.0;341.0;-306.0;?;238.0;62.0;-45;-45;29
160.0;-84.0;54.0;308.0;-351.0;?;226.0;61.0;43;43;88
158.0;-30.0;82.0;289.0;-326.0;?;221.0;55.0;-46;-46;-14
142.0;-8.0;118.0;275.0;-351.0;?;223.0;100.0;-7;-7;77
170.0;25.0;122.0;303.0;-334.0;?;225.0;108.0;-8;-8;-132
170.0;87.0;165.0;285.0;-362.0;?;234.0;195.0;96;96;-54
176.0;69.0;159.0;315.0;-309.0;?;230.0;15.0;710;710;1088
176.0;113.0;152.0;300.0;-337.0;?;225.0;319.0;399;399;556
142.0;99.0;156.0;299.0;-391.0;?;232.0;321.0;-159;-159;-353
148.0;-35.0;71.0;329.0;-408.0;?;202.0;219.0;-16;-16;0
17.0;-39.0;2.0;310.0;-284.0;?;192.0;250.0;-16;-16;-21
182.0;72.0;222.0;318.0;-222.0;-181.0;332.0;161.0;-7;-7;-14
-142.0;-118.0;9.0;317.0;-255.0;8.0;261.0;277.0;-10;-10;27
-43.0;-136.0;-145.0;259.0;-202.0;39.0;180.0;283.0;-34;-34;-27
1.0;-108.0;-312.0;216.0;-271.0;130.0;268.0;203.0;30;30;16
-66.0;-190.0;-311.0;334.0;-278.0;156.0;240.0;234.0;38;38;-5
-154.0;-165.0;-180.0;559.0;-204.0;-18.0;287.0;247.0;30;30;-3
-135.0;-43.0;-7.0;568.0;-215.0;-152.0;291.0;265.0;30;30;-3
-75.0;26.0;138.0;447.0;-294.0;-163.0;282.0;236.0;34;34;-2
66.0;136.0;131.0;421.0;-370.0;-122.0;296.0;254.0;16;16;-10
175.0;117.0;64.0;372.0;-353.0;-76.0;287.0;224.0;16;16;-2
97.0;33.0;38.0;428.0;-328.0;-45.0;228.0;225.0;33;33;-2
115.0;61.0;50.0;365.0;-329.0;-54.0;169.0;200.0;20;20;-7
138.0;32.0;114.0;332.0;-282.0;-5.0;180.0;197.0;26;26;-9
109.0;75.0;134.0;323.0;-420.0;-39.0;206.0;203.0;25;25;-27
85.0;105.0;146.0;351.0;-354.0;-25.0;229.0;208.0;-50;-50;0
90.0;126.0;132.0;358.0;-357.0;-50.0;215.0;212.0;-96;-96;-115
37.0;175.0;120.0;371.0;-376.0;-65.0;214.0;220.0;?;-313;-378
22.0;208.0;67.0;395.0;-390.0;-53.0;205.0;240.0;?;-455;-273
-2.0;234.0;53.0;379.0;-390.0;-68.0;221.0;240.0;?;-92;69
-35.0;190.0;-7.0;361.0;-386.0;-39.0;232.0;237.0;?;115;40
-50.0;180.0;-47.0;336.0;-349.0;-67.0;240.0;208.0;?;34;-74
-48.0;136.0;-61.0;334.0;-381.0;-106.0;239.0;214.0;?;20;2
-132.0;45.0;-137.0;324.0;-356.0;-97.0;229.0;204.0;?;-10;24
-108.0;5.0;-210.0;323.0;-364.0;-53.0;223.0;166.0;?;-58;-10
-157.0;?;-240.0;306.0;-316.0;-60.0;251.0;118.0;?;-101;-29
-159.0;?;-236.0;304.0;-334.0;-71.0;257.0;124.0;?;-104;-14
-163.0;?;-229.0;294.0;-318.0;-88.0;233.0;112.0;?;-95;21
-173.0;?;-228.0;286.0;-387.0;-85.0;235.0;105.0;-110;-110;59
-192.0;?;-223.0;294.0;-371.0;-106.0;231.0;58.0;-87;-87;59
-236.0;?;-211.0;283.0;-399.0;-114.0;227.0;68.0;-54;-54;41
-222.0;?;-205.0;287.0;-364.0;-112.0;218.0;72.0;-62;-62;74
-244.0;?;-215.0;300.0;-328.0;-120.0;204.0;65.0;-41;-41;61
-215.0;?;-225.0;321.0;-350.0;-119.0;190.0;59.0;-9;-9;8
-224.0;?;-218.0;315.0;-390.0;?;187.0;29.0;-37;-37;3
-193.0;?;-167.0;298.0;-410.0;?;189.0;39.0;-87;-87;13
?;?;-112.0;289.0;-402.0;?;193.0;36.0;-93;-93;33
?;?;-55.0;287.0;-375.0;?;189.0;43.0;-66;-66;72
?;?;-18.0;311.0;-374.0;?;195.0;56.0;-50;-50;97
?;101.0;-1.0;314.0;-371.0;?;210.0;51.0;-4;-4;80
?;128.0;43.0;315.0;-400.0;?;209.0;70.0;-10;-10;67
?;115.0;60.0;305.0;-393.0;?;208.0;43.0;13;13;68
?;146.0;85.0;313.0;-352.0;?;211.0;45.0;118;118;68
?;111.0;78.0;334.0;-328.0;?;219.0;34.0;99;99;43
?;57.0;71.0;340.0;-358.0;-156.0;203.0;2.0;52;52;-35
?;-6.0;158.0;324.0;-311.0;-105.0;194.0;21.0;-114;-114;-77
?;-4.0;94.0;331.0;-310.0;-69.0;213.0;89.0;-307;-307;-206
?;65.0;135.0;309.0;-313.0;-52.0;227.0;72.0;-258;-258;-132
114.0;143.0;160.0;302.0;-307.0;-55.0;230.0;139.0;-16;-16;186
143.0;194.0;217.0;310.0;-308.0;-76.0;252.0;435.0;219;219;73
177.0;247.0;247.0;331.0;-400.0;-74.0;261.0;512.0;27;27;-87
162.0;207.0;180.0;355.0;-392.0;155.0;213.0;318.0;-102;-102;-13
465.0;304.0;398.0;351.0;-279.0;-195.0;298.0;272.0;26;26;-21
394.0;65.0;192.0;335.0;-282.0;-95.0;289.0;266.0;-2;-2;-8
136.0;-248.0;124.0;309.0;-175.0;-42.0;176.0;353.0;13;13;2
176.0;-405.0;-172.0;291.0;-155.0;-25.0;221.0;241.0;18;18;-4
10.0;-610.0;-251.0;407.0;-204.0;81.0;216.0;210.0;-14;-14;7
-129.0;-673.0;-273.0;549.0;-244.0;114.0;212.0;235.0;15;15;-3
-12.0;-529.0;-243.0;582.0;-225.0;1.0;259.0;195.0;21;21;-21
-115.0;-371.0;-43.0;447.0;-242.0;-75.0;300.0;191.0;21;21;-17
-223.0;-182.0;73.0;463.0;-308.0;-118.0;275.0;210.0;22;22;-7
-55.0;-38.0;?;380.0;-316.0;-108.0;258.0;206.0;25;25;-13
56.0;97.0;?;419.0;-353.0;-69.0;248.0;178.0;37;37;-3
81.0;54.0;?;465.0;-299.0;-68.0;186.0;172.0;0;0;-27
89.0;57.0;?;417.0;-248.0;-50.0;153.0;174.0;-14;-14;-12
75.0;53.0;?;389.0;-303.0;-8.0;148.0;163.0;11;11;-4
66.0;132.0;?;400.0;-306.0;-4.0;206.0;154.0;31;31;-40
96.0;196.0;?;374.0;-349.0;-27.0;232.0;166.0;51;51;-7
93.0;229.0;68.0;?;-351.0;-44.0;234.0;168.0;-57;-57;-74
78.0;268.0;65.0;?;-394.0;-66.0;230.0;143.0;14;14;59
42.0;248.0;56.0;?;-343.0;-29.0;226.0;172.0;-210;-210;-11
23.0;249.0;31.0;?;-350.0;-70.0;249.0;163.0;-620;-620;-290
-9.0;231.0;-23.0;?;-318.0;-60.0;268.0;160.0;-350;-350;223
-68.0;200.0;-50.0;?;-380.0;-50.0;271.0;177.0;-263;-263;511
-71.0;184.0;-74.0;?;-399.0;-55.0;274.0;165.0;-186;-186;131
-136.0;94.0;-85.0;?;-357.0;-68.0;275.0;164.0;-20;-20;11
-119.0;49.0;-74.0;351.0;-361.0;-101.0;271.0;157.0;-180;-180;-13
-97.0;41.0;-124.0;338.0;-281.0;-80.0;253.0;147.0;-163;-163;-97
-142.0;-24.0;-167.0;311.0;-375.0;-58.0;234.0;129.0;-231;-231;-33
-99.0;-99.0;-174.0;317.0;-392.0;-67.0;234.0;115.0;-319;-319;-5
-159.0;-107.0;?;327.0;-386.0;-88.0;235.0;115.0;-285;-285;0
-39.0;-109.0;-119.0;327.0;-337.0;-104.0;220.0;96.0;-301;-301;81
-52.0;-120.0;-142.0;309.0;-311.0;-83.0;202.0;86.0;-184;-184;113
-95.0;-143.0;-236.0;317.0;-356.0;-58.0;194.0;84.0;-14;-14;123
-138.0;-132.0;-214.0;305.0;-376.0;-72.0;195.0;77.0;35;35;112
-171.0;-98.0;-171.0;311.0;-396.0;-121.0;200.0;74.0;50;50;106
-203.0;-61.0;-168.0;307.0;-407.0;-150.0;206.0;65.0;57;57;128
-141.0;-34.0;-154.0;309.0;-382.0;-132.0;175.0;47.0;52;52;90
-127.0;-72.0;-194.0;323.0;-394.0;-130.0;172.0;23.0;87;87;46
-73.0;-40.0;-111.0;322.0;-325.0;-109.0;159.0;13.0;129;129;51
-35.0;-30.0;-80.0;315.0;-374.0;-102.0;164.0;18.0;150;150;25
-67.0;1.0;-81.0;286.0;-374.0;-88.0;195.0;44.0;97;97;-11
-84.0;125.0;-39.0;313.0;-405.0;-71.0;212.0;33.0;20;20;-11
-79.0;212.0;-23.0;321.0;-386.0;-110.0;221.0;2.0;-39;-39;-74
-11.0;267.0;48.0;348.0;-377.0;-134.0;208.0;69.0;-105;-105;14
17.0;202.0;46.0;327.0;-312.0;-139.0;198.0;69.0;-153;-153;157
25.0;133.0;82.0;368.0;-368.0;?;195.0;77.0;-196;-196;69
79.0;169.0;113.0;342.0;-424.0;?;238.0;78.0;-110;-110;321
115.0;184.0;133.0;342.0;-386.0;-104.0;251.0;93.0;-148;-148;-125
150.0;113.0;169.0;320.0;-365.0;-119.0;222.0;59.0;5;5;195
230.0;81.0;248.0;305.0;-308.0;-132.0;185.0;83.0;-66;-66;-119
260.0;-33.0;285.0;287.0;-323.0;-96.0;197.0;165.0;99;99;-387
254.0;-27.0;292.0;315.0;-346.0;-95.0;212.0;105.0;461;461;858
250.0;-10.0;287.0;287.0;-316.0;-49.0;216.0;153.0;-1574;-1574;-4305
211.0;19.0;280.0;324.0;-340.0;-128.0;216.0;567.0;-1748;-1748;-4964
170.0;1.0;258.0;343.0;-391.0;5.0;206.0;446.0;274;274;707
142.0;-90.0;125.0;324.0;-356.0;209.0;160.0;339.0;-14;-14;-23
528.0;102.0;385.0;305.0;-255.0;-232.0;272.0;271.0;-102;-102;-265
344.0;-76.0;124.0;321.0;-253.0;44.0;264.0;288.0;68;68;282
221.0;-305.0;-94.0;304.0;-157.0;20.0;148.0;326.0;-114;-114;-259
272.0;-398.0;-259.0;303.0;-235.0;93.0;224.0;205.0;61;61;148
159.0;-506.0;-265.0;415.0;-211.0;118.0;210.0;182.0;-23;-23;-55
164.0;-519.0;-251.0;685.0;-230.0;66.0;245.0;192.0;-9;-9;-16
205.0;-391.0;-135.0;625.0;-197.0;-75.0;298.0;192.0;19;19;16
170.0;-236.0;-39.0;505.0;-232.0;-96.0;311.0;179.0;-3;-3;-14
52.0;-109.0;36.0;439.0;-339.0;-15.0;299.0;168.0;14;14;10
122.0;56.0;-10.0;402.0;-376.0;20.0;338.0;189.0;41;41;-17
149.0;154.0;-31.0;446.0;-307.0;18.0;303.0;174.0;12;12;-12
191.0;186.0;-15.0;420.0;-298.0;9.0;231.0;200.0;-19;-19;-10
155.0;151.0;29.0;398.0;-369.0;-9.0;216.0;217.0;15;15;-10
72.0;105.0;61.0;407.0;-365.0;-38.0;254.0;186.0;5;5;2
16.0;104.0;111.0;417.0;-363.0;-79.0;257.0;171.0;-29;-29;-34
105.0;130.0;82.0;418.0;-398.0;-38.0;259.0;202.0;14;14;1
13.0;32.0;14.0;398.0;-312.0;-72.0;244.0;173.0;-68;-68;-23
31.0;-36.0;-46.0;370.0;-351.0;-25.0;219.0;176.0;-49;-49;-26
11.0;-68.0;-41.0;371.0;-346.0;11.0;204.0;149.0;-2;-2;74
34.0;-111.0;-39.0;355.0;-335.0;14.0;240.0;143.0;-384;-384;-142
2.0;-50.0;-27.0;327.0;-366.0;-14.0;251.0;127.0;-199;-199;-13
-58.0;-9.0;-45.0;326.0;-339.0;-14.0;241.0;115.0;153;153;278
-34.0;31.0;-74.0;333.0;-344.0;-5.0;255.0;114.0;131;131;226
-87.0;61.0;-18.0;340.0;-360.0;-31.0;261.0;118.0;467;467;153
-133.0;119.0;-63.0;353.0;-394.0;-34.0;274.0;148.0;392;392;-202
-178.0;197.0;-74.0;330.0;-372.0;-2.0;271.0;153.0;31;31;-235
-266.0;250.0;-99.0;386.0;-390.0;-17.0;267.0;155.0;-91;-91;-49
-262.0;266.0;-118.0;377.0;-403.0;-38.0;261.0;?;-223;-223;-107
-267.0;225.0;-123.0;329.0;-397.0;-47.0;248.0;?;-177;-177;-51
-333.0;203.0;-142.0;299.0;-326.0;-50.0;243.0;?;-107;-107;14
-353.0;153.0;-166.0;286.0;-392.0;-77.0;236.0;?;-119;-119;35
-355.0;98.0;-156.0;266.0;-371.0;-94.0;233.0;?;0;0;-31
-377.0;30.0;-187.0;287.0;-372.0;-124.0;217.0;?;67;67;-67
-339.0;-43.0;-168.0;337.0;-352.0;-92.0;209.0;?;13;13;-30
-313.0;-28.0;-119.0;350.0;-396.0;-87.0;206.0;?;79;79;-45
-337.0;-53.0;-89.0;341.0;-409.0;-103.0;197.0;?;86;86;-90
-337.0;2.0;-72.0;322.0;-389.0;-116.0;165.0;?;-52;-52;-170
