InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit R-SHOE EuY
-85;431.0;430.0;-169;529.0;-32
-85;415.0;411.0;-162;525.0;-31
-85;398.0;391.0;-163;525.0;-31
-178;363.0;406.0;-140;524.0;-21
-85;365.0;355.0;-151;527.0;-28
-85;350.0;338.0;-151;532.0;-28
-85;334.0;323.0;-148;540.0;-28
-85;319.0;310.0;-144;547.0;-28
-85;306.0;298.0;-143;553.0;-30
-85;296.0;286.0;-143;563.0;-30
-77;231.0;237.0;-141;579.0;-28
-66;227.0;239.0;-141;579.0;-28
-68;225.0;243.0;-141;581.0;-28
-62;225.0;250.0;-141;579.0;-28
-42;225.0;258.0;-141;579.0;-28
-33;225.0;266.0;-141;582.0;-28
-25;226.0;274.0;-141;581.0;-28
-15;229.0;284.0;-141;584.0;-28
-17;231.0;292.0;-141;588.0;-28
-17;234.0;300.0;-141;588.0;-28
-16;238.0;308.0;-141;588.0;-28
-17;241.0;315.0;-141;592.0;-28
-16;244.0;322.0;-141;594.0;-28
-17;293.0;372.0;-141;591.0;-27
-17;296.0;374.0;-141;591.0;-27
-17;297.0;375.0;-141;591.0;-27
-17;297.0;375.0;-141;588.0;-27
-17;297.0;376.0;-142;586.0;-27
-17;297.0;376.0;-143;588.0;-27
-17;297.0;377.0;-143;585.0;-27
-17;297.0;377.0;-143;585.0;-27
-17;297.0;378.0;-143;584.0;-27
-17;297.0;379.0;-142;584.0;-27
-17;297.0;380.0;-142;582.0;-27
-17;296.0;381.0;-143;583.0;-27
-17;297.0;382.0;-142;584.0;-27
-17;298.0;383.0;-142;583.0;-27
-17;299.0;384.0;-142;588.0;-27
-17;299.0;385.0;-142;584.0;-27
-17;300.0;385.0;-143;584.0;-27
-17;299.0;385.0;-143;585.0;-27
-17;298.0;385.0;-142;583.0;-27
-17;298.0;385.0;-143;585.0;-27
-17;298.0;386.0;-143;587.0;-27
-17;299.0;386.0;-142;583.0;-27
-17;299.0;387.0;-143;583.0;-27
-17;299.0;387.0;-143;587.0;-27
-17;299.0;387.0;-143;584.0;-27
-17;299.0;387.0;-143;586.0;-27
-17;299.0;387.0;-143;586.0;-27
-17;299.0;388.0;-142;584.0;-27
-17;299.0;389.0;-143;583.0;-27
-17;299.0;389.0;-143;584.0;-27
-17;299.0;389.0;-142;583.0;-27
-17;298.0;389.0;-142;583.0;-27
-17;297.0;389.0;-143;582.0;-27
-17;296.0;389.0;-143;579.0;-27
-17;295.0;389.0;-143;577.0;-27
-17;296.0;389.0;-143;580.0;-27
-17;296.0;390.0;-143;577.0;-27
-17;296.0;390.0;-143;577.0;-27
-17;296.0;390.0;-143;578.0;-27
-17;296.0;390.0;-143;574.0;-27
-17;296.0;390.0;-142;574.0;-27
-17;296.0;390.0;-142;576.0;-27
-17;296.0;390.0;-143;573.0;-27
-17;295.0;389.0;-143;571.0;-27
-17;287.0;384.0;-143;568.0;-27
-17;286.0;384.0;-143;570.0;-27
-17;286.0;384.0;-143;568.0;-27
-17;285.0;383.0;-142;569.0;-27
-17;285.0;383.0;-143;571.0;-27
-17;289.0;383.0;-143;566.0;-27
-17;289.0;384.0;-143;566.0;-27
-17;289.0;384.0;-143;565.0;-27
-17;289.0;384.0;-143;563.0;-27
-17;287.0;384.0;-143;563.0;-27
-17;286.0;386.0;-143;560.0;-26
-17;287.0;386.0;-143;559.0;-26
-17;287.0;387.0;-143;560.0;-26
-17;286.0;387.0;-143;557.0;-26
-17;286.0;388.0;-142;557.0;-26
-17;269.0;383.0;-143;544.0;-26
-17;265.0;381.0;-142;541.0;-26
-17;262.0;378.0;-142;540.0;-26
-17;259.0;376.0;-142;542.0;-26
-17;255.0;374.0;-143;537.0;-26
-17;252.0;372.0;-143;536.0;-26
-17;250.0;371.0;-142;537.0;-26
-17;247.0;369.0;-143;535.0;-26
-17;245.0;368.0;-142;533.0;-26
-17;243.0;367.0;-143;533.0;-26
-17;242.0;366.0;-143;531.0;-26
-17;240.0;366.0;-142;530.0;-26
-17;240.0;366.0;-143;531.0;-26
-17;240.0;367.0;-142;527.0;-26
-17;240.0;367.0;-142;527.0;-26
-17;239.0;367.0;-143;528.0;-26
-17;238.0;366.0;-142;522.0;-26
-17;236.0;367.0;-142;520.0;-26
-17;236.0;367.0;-142;521.0;-26
-17;236.0;367.0;-142;524.0;-26
-17;237.0;367.0;-142;521.0;-26
-17;237.0;367.0;-142;522.0;-26
-17;237.0;367.0;-143;524.0;-26
-17;237.0;367.0;-142;521.0;-26
-17;237.0;367.0;-143;523.0;-26
-17;237.0;367.0;-143;524.0;-26
-17;237.0;367.0;-143;521.0;-26
-17;237.0;367.0;-142;522.0;-26
-17;237.0;367.0;-142;526.0;-26
-17;237.0;367.0;-143;522.0;-26
-17;237.0;367.0;-143;523.0;-26
-17;237.0;367.0;-143;524.0;-26
-17;236.0;368.0;-143;521.0;-26
-17;236.0;368.0;-143;520.0;-26
-17;236.0;368.0;-143;521.0;-26
-17;236.0;369.0;-142;523.0;-26
-17;236.0;368.0;-142;522.0;-26
-17;236.0;368.0;-142;523.0;-26
-17;237.0;369.0;-142;520.0;-26
-17;237.0;369.0;-142;522.0;-26
-17;237.0;369.0;-143;523.0;-26
-17;238.0;369.0;-142;521.0;-26
-17;238.0;370.0;-142;527.0;-26
-17;239.0;370.0;-142;524.0;-26
-17;239.0;370.0;-142;524.0;-26
-17;239.0;370.0;-142;527.0;-26
-17;238.0;369.0;-142;524.0;-26
-17;239.0;369.0;-142;527.0;-26
-17;239.0;369.0;-142;528.0;-26
-17;240.0;368.0;-142;528.0;-26
-17;240.0;368.0;-142;528.0;-26
-17;241.0;368.0;-142;529.0;-26
-17;242.0;368.0;-142;529.0;-26
-17;242.0;368.0;-143;529.0;-26
-17;244.0;367.0;-143;533.0;-26
-17;246.0;367.0;-142;533.0;-26
-17;248.0;367.0;-143;535.0;-26
-17;251.0;368.0;-142;537.0;-26
-17;254.0;369.0;-142;537.0;-26
-17;258.0;370.0;-142;538.0;-26
-17;261.0;371.0;-142;540.0;-26
-17;265.0;373.0;-142;543.0;-26
-17;269.0;374.0;-142;545.0;-26
-17;273.0;375.0;-142;549.0;-26
-17;276.0;376.0;-142;551.0;-26
-17;280.0;378.0;-142;552.0;-26
-17;283.0;379.0;-142;553.0;-26
-17;285.0;380.0;-142;554.0;-26
-17;288.0;381.0;-142;559.0;-26
-17;291.0;382.0;-142;561.0;-26
-17;293.0;384.0;-142;558.0;-26
-17;295.0;385.0;-142;559.0;-26
-17;296.0;385.0;-142;564.0;-26
-17;297.0;386.0;-142;564.0;-26
-17;298.0;386.0;-142;565.0;-26
-17;299.0;386.0;-142;567.0;-26
-17;299.0;386.0;-142;562.0;-26
-17;299.0;385.0;-142;562.0;-26
-17;300.0;384.0;-142;564.0;-26
-17;301.0;384.0;-142;564.0;-26
-17;302.0;384.0;-142;563.0;-26
-17;302.0;383.0;-142;564.0;-26
-17;303.0;382.0;-142;561.0;-26
-17;303.0;382.0;-142;564.0;-26
-17;303.0;381.0;-142;565.0;-26
-17;303.0;380.0;-142;562.0;-26
-17;303.0;379.0;-142;562.0;-26
-17;303.0;379.0;-142;563.0;-26
-17;302.0;379.0;-142;560.0;-26
-17;301.0;378.0;-142;561.0;-26
-17;300.0;376.0;-142;563.0;-26
-17;299.0;376.0;-142;558.0;-26
-17;293.0;372.0;-142;559.0;-27
-17;292.0;372.0;-142;554.0;-27
-17;291.0;372.0;-142;556.0;-27
-17;290.0;373.0;-142;558.0;-27
-17;288.0;373.0;-142;554.0;-27
-17;287.0;372.0;-141;556.0;-27
-17;286.0;372.0;-142;557.0;-27
-17;286.0;371.0;-142;553.0;-27
-17;284.0;370.0;-142;553.0;-27
-17;282.0;369.0;-142;553.0;-27
-17;280.0;369.0;-142;551.0;-27
-17;279.0;368.0;-142;553.0;-27
-17;277.0;368.0;-142;554.0;-27
-17;277.0;368.0;-141;552.0;-27
-17;277.0;368.0;-142;552.0;-27
-17;276.0;368.0;-142;554.0;-27
-17;274.0;367.0;-142;551.0;-27
-17;273.0;367.0;-142;554.0;-27
-17;273.0;366.0;-141;555.0;-27
-17;274.0;365.0;-142;553.0;-27
-17;275.0;363.0;-142;552.0;-27
-17;274.0;361.0;-142;554.0;-27
-17;274.0;360.0;-142;551.0;-28
-17;274.0;359.0;-142;551.0;-28
-17;274.0;358.0;-142;551.0;-28
-17;273.0;355.0;-143;549.0;-30
-17;272.0;352.0;-145;547.0;-33
-17;271.0;348.0;-146;549.0;-37
-17;270.0;344.0;-147;544.0;-42
-17;267.0;339.0;-145;542.0;-45
-17;264.0;334.0;-145;542.0;-50
-17;262.0;329.0;-147;537.0;-52
-17;260.0;324.0;-147;536.0;-51
-17;258.0;318.0;-147;534.0;-49
-17;256.0;313.0;-146;528.0;-44
-17;254.0;307.0;-146;525.0;-39
-17;252.0;302.0;-145;523.0;-36
-17;250.0;296.0;-144;520.0;-33
-17;248.0;290.0;-144;520.0;-31
-17;245.0;285.0;-144;520.0;-31
-17;244.0;280.0;-143;516.0;-31
-17;243.0;274.0;-143;518.0;-31
-17;242.0;269.0;-143;518.0;-31
-18;240.0;263.0;-143;514.0;-31
-18;235.0;258.0;-143;515.0;-31
-18;230.0;254.0;-143;515.0;-31
-18;225.0;251.0;-143;513.0;-31
-18;220.0;249.0;-143;519.0;-31
-18;217.0;247.0;-143;521.0;-31
-18;213.0;245.0;-143;518.0;-31
-18;210.0;242.0;-143;520.0;-31
-18;207.0;239.0;-143;520.0;-31
-18;203.0;236.0;-143;521.0;-31
-17;200.0;232.0;-143;521.0;-31
-16;197.0;227.0;-143;521.0;-31
-15;192.0;223.0;-143;521.0;-31
-15;189.0;218.0;-143;521.0;-31
-15;185.0;213.0;-143;521.0;-31
-17;172.0;196.0;-140;515.0;-30
-9;149.0;170.0;-139;495.0;-30
-6;129.0;118.0;-136;476.0;-30
-9;106.0;59.0;-136;448.0;-30
60;-34.0;92.0;-78;432.0;-36
105;56.0;240.0;-93;275.0;-25
-9;219.0;254.0;-159;385.0;-32
-9;234.0;265.0;-160;383.0;-25
-9;252.0;277.0;-160;383.0;-25
-8;266.0;289.0;-160;375.0;-25
10;115.0;232.0;-53;155.0;-43
-8;314.0;317.0;-160;355.0;-25
39;206.0;300.0;-146;214.0;-20
48;229.0;282.0;-159;271.0;-29
-23;402.0;330.0;-161;310.0;-25
-46;513.0;323.0;-162;192.0;-25
-7;344.0;392.0;-172;278.0;-78
-31;372.0;283.0;-160;391.0;-25
-31;367.0;279.0;-160;396.0;-25
-31;363.0;275.0;-160;402.0;-25
-31;358.0;269.0;-160;407.0;-26
-31;352.0;262.0;-159;410.0;-26
-31;346.0;253.0;-159;417.0;-27
-31;340.0;243.0;-159;420.0;-28
-31;333.0;232.0;-158;423.0;-27
-31;328.0;222.0;-155;428.0;-27
-31;324.0;211.0;-152;430.0;-28
-31;322.0;200.0;-150;437.0;-27
-31;321.0;187.0;-150;442.0;-28
-31;320.0;174.0;-147;445.0;-30
-31;318.0;164.0;-145;446.0;-30
-31;318.0;158.0;-144;450.0;-29
-32;320.0;158.0;-139;450.0;-28
-32;323.0;159.0;-138;451.0;-28
-32;323.0;159.0;-138;451.0;-28
-32;324.0;161.0;-137;451.0;-28
-32;328.0;164.0;-136;454.0;-27
-32;333.0;171.0;-135;455.0;-25
-32;331.0;171.0;-134;457.0;-25
-32;329.0;171.0;-134;464.0;-25
-32;327.0;171.0;-134;469.0;-25
-32;329.0;173.0;-133;472.0;-23
-32;336.0;179.0;-133;477.0;-23
-32;344.0;186.0;-137;480.0;-26
-32;353.0;195.0;-137;482.0;-26
-32;366.0;206.0;-137;486.0;-27
-32;381.0;216.0;-139;489.0;-28
-32;395.0;226.0;-138;491.0;-28
-32;407.0;238.0;-138;495.0;-30
-32;418.0;250.0;-138;499.0;-33
-32;427.0;264.0;-138;499.0;-34
-32;435.0;277.0;-137;503.0;-34
-31;441.0;290.0;-137;507.0;-34
-32;446.0;304.0;-137;507.0;-34
-31;450.0;318.0;-137;511.0;-34
-31;453.0;331.0;-137;512.0;-34
-32;458.0;344.0;-137;514.0;-34
-31;462.0;358.0;-137;520.0;-34
-32;466.0;372.0;-137;523.0;-34
-29;471.0;385.0;-138;523.0;-34
-20;474.0;396.0;-138;525.0;-34
-19;478.0;405.0;-138;527.0;-34
-13;481.0;414.0;-138;526.0;-34
-12;391.0;421.0;-138;523.0;-34
-16;383.0;414.0;-138;530.0;-34
-16;373.0;408.0;-137;536.0;-34
-22;361.0;404.0;-137;538.0;-34
-33;351.0;403.0;-138;546.0;-34
-37;347.0;402.0;-137;551.0;-34
-38;347.0;399.0;-137;549.0;-34
-38;347.0;396.0;-137;551.0;-34
-36;348.0;394.0;-135;552.0;-33
-32;350.0;392.0;-134;551.0;-30
-30;350.0;392.0;-133;550.0;-26
-30;352.0;392.0;-131;549.0;-23
-30;354.0;394.0;-131;547.0;-22
-30;356.0;396.0;-129;547.0;-23
-30;360.0;399.0;-128;548.0;-24
-30;364.0;404.0;-127;547.0;-25
-30;369.0;409.0;-125;549.0;-28
-30;374.0;415.0;-124;553.0;-30
-30;381.0;423.0;-123;554.0;-31
-30;387.0;431.0;-123;559.0;-34
-30;394.0;440.0;-123;567.0;-36
-30;402.0;449.0;-124;569.0;-38
-30;410.0;457.0;-127;576.0;-40
-30;419.0;466.0;-130;577.0;-42
-30;426.0;472.0;-134;578.0;-43
-30;432.0;478.0;-136;583.0;-44
-30;436.0;482.0;-138;584.0;-44
-30;434.0;480.0;-148;561.0;-43
-30;427.0;476.0;-149;554.0;-42
-30;421.0;471.0;-150;547.0;-41
-30;414.0;465.0;-151;539.0;-40
-30;407.0;456.0;-151;526.0;-40
-30;398.0;447.0;-151;517.0;-39
-30;388.0;438.0;-153;505.0;-40
-30;378.0;428.0;-150;489.0;-39
-30;368.0;419.0;-155;477.0;-41
-31;357.0;410.0;-156;463.0;-43
-31;346.0;400.0;-156;448.0;-43
-31;336.0;389.0;-162;433.0;-43
-31;328.0;376.0;-146;419.0;-43
-31;316.0;365.0;-176;405.0;-44
-31;304.0;356.0;-168;401.0;-45
-31;296.0;351.0;-184;398.0;-45
-31;300.0;321.0;160;385.0;-44
-30;306.0;321.0;-138;385.0;-30
-23;318.0;324.0;-152;393.0;-30
-23;325.0;325.0;-183;394.0;-28
-27;332.0;329.0;-166;399.0;-28
-32;339.0;335.0;-172;403.0;-28
-32;346.0;343.0;-173;406.0;-27
-32;354.0;351.0;-168;411.0;-26
-34;364.0;362.0;-173;414.0;-26
-35;374.0;373.0;-170;417.0;-26
-35;384.0;385.0;-172;423.0;-26
-36;394.0;399.0;-171;429.0;-26
-37;406.0;415.0;-171;435.0;-26
-30;438.0;449.0;-170;450.0;-24
-47;475.0;497.0;-169;474.0;-24
-52;497.0;509.0;-158;482.0;-13
