InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA magneticY
444.0;-270.0;373.0;27;-666.0;-115.0;-219.0;-212.0;-447.0
422.0;-277.0;372.0;27;-669.0;-120.0;-209.0;-215.0;-463.0
422.0;-278.0;368.0;27;-671.0;-117.0;-208.0;-216.0;-459.0
435.0;-273.0;366.0;27;-672.0;-112.0;-205.0;-208.0;-442.0
434.0;-279.0;368.0;27;-676.0;-109.0;-201.0;-203.0;-436.0
433.0;-291.0;366.0;27;-680.0;-106.0;-189.0;-201.0;-431.0
424.0;-316.0;371.0;27;-684.0;-105.0;-173.0;-199.0;-433.0
424.0;-338.0;372.0;27;-689.0;-110.0;-144.0;-189.0;-436.0
424.0;-363.0;376.0;27;-698.0;-116.0;-107.0;-172.0;-437.0
415.0;-400.0;382.0;27;-702.0;-134.0;-55.0;-154.0;-450.0
409.0;-435.0;386.0;27;-705.0;-158.0;9.0;-116.0;-463.0
397.0;-472.0;389.0;27;-699.0;-205.0;88.0;-73.0;-485.0
397.0;-494.0;387.0;27;-685.0;-250.0;166.0;-13.0;-504.0
404.0;-506.0;382.0;27;-669.0;-287.0;241.0;48.0;-515.0
405.0;-509.0;372.0;27;-636.0;-336.0;317.0;118.0;-534.0
404.0;-499.0;361.0;27;-593.0;-386.0;390.0;193.0;-553.0
398.0;-478.0;342.0;27;-533.0;-445.0;462.0;267.0;-576.0
386.0;-447.0;330.0;27;-476.0;-489.0;520.0;329.0;-593.0
367.0;-404.0;321.0;27;-428.0;-517.0;566.0;386.0;-604.0
338.0;-355.0;315.0;27;-371.0;-548.0;609.0;431.0;-620.0
303.0;-300.0;317.0;27;-311.0;-576.0;644.0;473.0;-634.0
262.0;-243.0;317.0;27;-254.0;-599.0;675.0;510.0;-649.0
233.0;-197.0;326.0;27;-209.0;-617.0;691.0;533.0;-663.0
217.0;-163.0;329.0;27;-175.0;-632.0;701.0;548.0;-675.0
205.0;-143.0;331.0;27;-147.0;-644.0;707.0;562.0;-685.0
197.0;-139.0;328.0;27;-131.0;-647.0;709.0;576.0;-688.0
200.0;-143.0;327.0;27;-141.0;-641.0;703.0;569.0;-688.0
201.0;-155.0;326.0;27;-150.0;-637.0;703.0;563.0;-687.0
202.0;-168.0;325.0;27;-155.0;-640.0;708.0;562.0;-684.0
211.0;-184.0;326.0;27;-168.0;-636.0;707.0;554.0;-684.0
212.0;-203.0;325.0;27;-184.0;-630.0;704.0;541.0;-679.0
436.0;-176.0;331.0;27;-701.0;-216.0;-191.0;-148.0;-496.0
440.0;-181.0;332.0;27;-707.0;-208.0;-174.0;-133.0;-491.0
452.0;-183.0;333.0;27;-715.0;-203.0;-146.0;-107.0;-488.0
475.0;-187.0;340.0;27;-717.0;-210.0;-101.0;-59.0;-480.0
491.0;-182.0;345.0;27;-726.0;-224.0;-40.0;0.0;-496.0
500.0;-172.0;351.0;27;-734.0;-237.0;22.0;65.0;-524.0
505.0;-161.0;345.0;27;-728.0;-260.0;108.0;164.0;-554.0
502.0;-144.0;341.0;27;-697.0;-284.0;200.0;285.0;-580.0
487.0;-122.0;341.0;27;-603.0;-321.0;305.0;427.0;-599.0
459.0;-93.0;335.0;27;-481.0;-330.0;386.0;546.0;-612.0
415.0;-65.0;331.0;27;-343.0;-299.0;445.0;631.0;-619.0
345.0;-30.0;328.0;27;-147.0;-270.0;504.0;671.0;-618.0
274.0;16.0;324.0;27;60.0;-238.0;549.0;649.0;-616.0
199.0;57.0;311.0;27;287.0;-200.0;575.0;563.0;-611.0
127.0;102.0;306.0;27;448.0;-160.0;594.0;459.0;-608.0
65.0;149.0;298.0;27;551.0;-130.0;610.0;347.0;-602.0
3.0;194.0;290.0;27;613.0;-100.0;624.0;249.0;-605.0
-50.0;229.0;283.0;27;636.0;-69.0;634.0;180.0;-599.0
-93.0;263.0;273.0;27;621.0;-31.0;636.0;124.0;-591.0
-122.0;287.0;260.0;27;613.0;-3.0;637.0;103.0;-585.0
-144.0;300.0;252.0;27;624.0;15.0;647.0;94.0;-577.0
-155.0;310.0;245.0;26;610.0;33.0;644.0;85.0;-568.0
-158.0;313.0;239.0;24;596.0;43.0;641.0;?;-559.0
-142.0;318.0;241.0;23;564.0;63.0;629.0;?;-555.0
-119.0;314.0;243.0;23;550.0;60.0;622.0;?;-551.0
-92.0;308.0;248.0;22;550.0;40.0;627.0;?;-548.0
-59.0;301.0;253.0;22;529.0;23.0;621.0;?;?
-25.0;294.0;259.0;22;504.0;4.0;614.0;?;?
11.0;285.0;266.0;21;454.0;-10.0;599.0;?;?
37.0;280.0;271.0;20;419.0;-28.0;594.0;?;?
56.0;274.0;277.0;19;393.0;-50.0;592.0;?;?
72.0;268.0;279.0;19;357.0;-60.0;582.0;?;?
87.0;265.0;283.0;18;323.0;-61.0;575.0;?;?
98.0;264.0;282.0;18;291.0;-60.0;564.0;428.0;?
108.0;260.0;280.0;18;271.0;-57.0;556.0;439.0;?
116.0;261.0;279.0;18;259.0;-51.0;552.0;449.0;?
119.0;262.0;272.0;17;257.0;-39.0;549.0;451.0;?
116.0;264.0;268.0;17;259.0;-29.0;?;450.0;?
112.0;269.0;263.0;17;279.0;-17.0;?;440.0;?
107.0;273.0;263.0;16;299.0;-6.0;?;428.0;?
96.0;275.0;260.0;17;318.0;5.0;554.0;418.0;-533.0
91.0;280.0;258.0;17;349.0;18.0;554.0;403.0;-534.0
77.0;284.0;259.0;17;381.0;26.0;558.0;389.0;-536.0
63.0;288.0;258.0;17;421.0;30.0;563.0;371.0;-540.0
51.0;291.0;259.0;17;447.0;35.0;568.0;351.0;-540.0
40.0;294.0;260.0;16;466.0;38.0;574.0;332.0;-537.0
36.0;295.0;260.0;16;484.0;38.0;580.0;321.0;-541.0
27.0;296.0;261.0;16;500.0;38.0;585.0;312.0;-542.0
17.0;297.0;262.0;16;508.0;38.0;589.0;299.0;-545.0
6.0;297.0;?;15;512.0;36.0;596.0;288.0;-546.0
3.0;299.0;?;15;519.0;37.0;600.0;285.0;-549.0
-2.0;296.0;?;14;521.0;38.0;602.0;283.0;-547.0
-5.0;296.0;?;15;517.0;42.0;603.0;286.0;-545.0
4.0;292.0;?;15;505.0;51.0;601.0;296.0;-540.0
15.0;293.0;?;15;495.0;56.0;600.0;312.0;-532.0
26.0;290.0;?;15;490.0;57.0;598.0;331.0;-525.0
31.0;287.0;241.0;15;477.0;56.0;596.0;344.0;-519.0
41.0;281.0;237.0;15;460.0;52.0;592.0;357.0;-519.0
56.0;276.0;239.0;15;448.0;51.0;575.0;365.0;-509.0
59.0;270.0;246.0;15;437.0;45.0;561.0;364.0;-510.0
52.0;263.0;253.0;15;416.0;34.0;544.0;361.0;-513.0
49.0;251.0;258.0;15;379.0;21.0;527.0;356.0;-522.0
57.0;240.0;263.0;15;338.0;3.0;522.0;363.0;-534.0
62.0;232.0;265.0;15;293.0;-18.0;517.0;392.0;-550.0
72.0;227.0;267.0;15;264.0;-31.0;510.0;426.0;-561.0
88.0;229.0;267.0;15;248.0;-32.0;506.0;442.0;-562.0
97.0;236.0;272.0;15;242.0;-27.0;499.0;440.0;-562.0
108.0;239.0;271.0;15;241.0;-20.0;494.0;448.0;-560.0
116.0;244.0;273.0;15;250.0;-12.0;494.0;456.0;-560.0
120.0;248.0;275.0;15;264.0;-8.0;494.0;460.0;-563.0
122.0;256.0;277.0;15;275.0;3.0;499.0;465.0;-564.0
120.0;263.0;276.0;15;292.0;8.0;504.0;458.0;-568.0
114.0;268.0;279.0;15;311.0;13.0;514.0;448.0;-569.0
105.0;275.0;280.0;15;340.0;19.0;517.0;435.0;-571.0
101.0;276.0;279.0;15;359.0;21.0;527.0;428.0;-571.0
101.0;278.0;281.0;15;378.0;24.0;532.0;424.0;-575.0
97.0;278.0;279.0;15;399.0;25.0;541.0;414.0;-575.0
93.0;281.0;279.0;14;419.0;27.0;546.0;406.0;-579.0
88.0;281.0;278.0;14;436.0;25.0;551.0;394.0;-579.0
82.0;285.0;279.0;14;450.0;25.0;557.0;386.0;-582.0
79.0;286.0;280.0;14;457.0;26.0;559.0;380.0;-583.0
76.0;290.0;277.0;14;461.0;30.0;563.0;374.0;-583.0
77.0;294.0;277.0;14;460.0;29.0;566.0;376.0;-585.0
78.0;298.0;275.0;14;456.0;32.0;566.0;377.0;-582.0
83.0;303.0;270.0;14;450.0;36.0;567.0;383.0;-578.0
91.0;308.0;265.0;14;448.0;40.0;567.0;392.0;-572.0
97.0;312.0;260.0;13;441.0;47.0;567.0;400.0;-565.0
102.0;316.0;257.0;13;433.0;55.0;565.0;409.0;-555.0
110.0;318.0;249.0;13;420.0;66.0;562.0;418.0;-545.0
117.0;321.0;246.0;13;413.0;72.0;562.0;427.0;-537.0
125.0;319.0;244.0;13;408.0;75.0;560.0;435.0;-530.0
132.0;320.0;241.0;14;404.0;77.0;556.0;444.0;-528.0
134.0;319.0;236.0;14;400.0;79.0;554.0;449.0;-525.0
138.0;321.0;235.0;14;397.0;78.0;550.0;450.0;-525.0
137.0;319.0;235.0;14;389.0;74.0;548.0;451.0;-523.0
137.0;318.0;232.0;14;386.0;77.0;547.0;452.0;-521.0
138.0;315.0;231.0;14;380.0;74.0;548.0;452.0;-523.0
133.0;313.0;229.0;14;378.0;73.0;550.0;450.0;-523.0
129.0;311.0;231.0;14;380.0;71.0;549.0;445.0;-526.0
124.0;310.0;232.0;14;385.0;67.0;550.0;440.0;-527.0
123.0;309.0;235.0;13;389.0;65.0;550.0;437.0;-530.0
119.0;307.0;235.0;13;397.0;63.0;552.0;431.0;-532.0
114.0;309.0;236.0;13;407.0;62.0;555.0;427.0;-537.0
107.0;308.0;237.0;14;414.0;61.0;554.0;421.0;-537.0
103.0;311.0;235.0;15;421.0;64.0;557.0;415.0;-536.0
100.0;310.0;236.0;15;424.0;65.0;558.0;409.0;-537.0
92.0;311.0;234.0;15;428.0;63.0;559.0;404.0;-531.0
85.0;311.0;233.0;15;427.0;64.0;561.0;398.0;-531.0
75.0;308.0;226.0;15;421.0;63.0;565.0;394.0;-534.0
78.0;303.0;227.0;15;424.0;66.0;564.0;389.0;-531.0
76.0;299.0;222.0;15;428.0;64.0;558.0;384.0;-528.0
79.0;301.0;?;15;425.0;61.0;552.0;385.0;-529.0
84.0;296.0;?;15;411.0;55.0;543.0;390.0;-525.0
97.0;289.0;?;15;386.0;50.0;539.0;405.0;-525.0
102.0;282.0;?;15;359.0;42.0;538.0;427.0;-527.0
103.0;277.0;?;15;335.0;42.0;536.0;442.0;-527.0
105.0;279.0;?;15;314.0;38.0;534.0;443.0;-526.0
103.0;280.0;?;15;297.0;40.0;534.0;443.0;-521.0
102.0;283.0;?;15;286.0;46.0;531.0;449.0;-516.0
106.0;281.0;?;15;285.0;51.0;529.0;453.0;-509.0
110.0;284.0;?;15;287.0;54.0;530.0;459.0;-508.0
116.0;288.0;?;15;297.0;57.0;531.0;462.0;-507.0
120.0;292.0;?;15;310.0;58.0;534.0;464.0;-510.0
119.0;298.0;182.0;15;332.0;60.0;534.0;460.0;-512.0
116.0;302.0;183.0;15;351.0;65.0;535.0;453.0;-509.0
111.0;309.0;185.0;15;363.0;71.0;539.0;449.0;-507.0
102.0;312.0;183.0;15;381.0;75.0;544.0;435.0;-504.0
95.0;317.0;185.0;15;398.0;83.0;551.0;426.0;-502.0
84.0;321.0;182.0;15;416.0;87.0;557.0;411.0;-497.0
77.0;324.0;183.0;14;431.0;93.0;563.0;399.0;-497.0
67.0;325.0;182.0;14;441.0;99.0;565.0;387.0;-495.0
60.0;326.0;185.0;14;452.0;100.0;572.0;374.0;-492.0
52.0;325.0;187.0;14;463.0;101.0;575.0;?;-495.0
46.0;326.0;190.0;14;471.0;94.0;580.0;?;-498.0
44.0;322.0;193.0;14;476.0;94.0;583.0;?;-500.0
45.0;322.0;198.0;14;479.0;90.0;586.0;?;-500.0
50.0;319.0;203.0;15;483.0;86.0;588.0;351.0;-505.0
53.0;315.0;207.0;15;482.0;82.0;585.0;356.0;-507.0
62.0;311.0;210.0;15;480.0;77.0;583.0;362.0;-512.0
67.0;308.0;213.0;15;474.0;72.0;580.0;369.0;-512.0
72.0;307.0;215.0;15;469.0;68.0;579.0;374.0;-512.0
79.0;304.0;220.0;?;458.0;63.0;574.0;382.0;-513.0
89.0;302.0;222.0;?;446.0;60.0;572.0;393.0;-516.0
97.0;298.0;222.0;15;429.0;59.0;568.0;405.0;-514.0
108.0;297.0;224.0;15;415.0;59.0;564.0;415.0;-514.0
120.0;299.0;230.0;15;407.0;58.0;564.0;429.0;-517.0
131.0;300.0;229.0;15;396.0;60.0;561.0;442.0;-517.0
140.0;300.0;234.0;15;386.0;61.0;559.0;453.0;-520.0
149.0;300.0;237.0;15;376.0;64.0;555.0;464.0;-520.0
152.0;304.0;238.0;15;373.0;67.0;555.0;470.0;-525.0
157.0;305.0;240.0;14;371.0;70.0;556.0;473.0;-525.0
158.0;309.0;243.0;14;372.0;69.0;557.0;476.0;-527.0
160.0;313.0;247.0;13;375.0;72.0;558.0;477.0;-528.0
159.0;314.0;249.0;13;382.0;71.0;559.0;475.0;-531.0
162.0;319.0;250.0;13;392.0;68.0;562.0;475.0;-535.0
164.0;321.0;251.0;13;399.0;66.0;564.0;477.0;-539.0
159.0;327.0;250.0;14;408.0;68.0;563.0;472.0;-541.0
154.0;330.0;248.0;13;412.0;69.0;563.0;467.0;-540.0
144.0;333.0;242.0;12;415.0;78.0;568.0;457.0;-533.0
136.0;334.0;238.0;12;416.0;84.0;571.0;451.0;-529.0
128.0;332.0;238.0;12;416.0;88.0;573.0;443.0;-522.0
126.0;331.0;240.0;12;421.0;94.0;571.0;434.0;-514.0
115.0;327.0;242.0;12;421.0;90.0;566.0;422.0;-514.0
112.0;321.0;248.0;13;413.0;79.0;563.0;416.0;-519.0
122.0;309.0;251.0;13;396.0;63.0;556.0;422.0;-526.0
126.0;301.0;249.0;14;377.0;45.0;553.0;435.0;-535.0
135.0;290.0;250.0;14;354.0;28.0;550.0;458.0;-546.0
148.0;283.0;254.0;14;335.0;17.0;547.0;467.0;-554.0
158.0;280.0;253.0;14;312.0;?;543.0;482.0;-561.0
165.0;279.0;248.0;14;295.0;?;540.0;496.0;-557.0
174.0;279.0;251.0;14;284.0;?;540.0;506.0;-551.0
180.0;278.0;250.0;15;276.0;?;538.0;512.0;-545.0
183.0;277.0;252.0;15;277.0;14.0;539.0;515.0;-543.0
187.0;278.0;252.0;15;281.0;16.0;536.0;518.0;-542.0
189.0;281.0;252.0;15;291.0;19.0;535.0;520.0;-544.0
187.0;284.0;254.0;15;300.0;25.0;535.0;517.0;-545.0
186.0;289.0;255.0;15;311.0;31.0;537.0;513.0;-545.0
180.0;292.0;255.0;15;325.0;38.0;541.0;507.0;-541.0
172.0;294.0;254.0;14;345.0;46.0;545.0;502.0;-542.0
166.0;299.0;253.0;14;363.0;54.0;548.0;492.0;-541.0
156.0;306.0;250.0;14;376.0;61.0;551.0;480.0;-540.0
146.0;308.0;247.0;14;392.0;68.0;556.0;466.0;-538.0
136.0;311.0;245.0;15;408.0;74.0;560.0;451.0;-535.0
123.0;311.0;243.0;15;423.0;80.0;569.0;435.0;-531.0
114.0;312.0;243.0;14;435.0;83.0;574.0;423.0;-529.0
107.0;313.0;243.0;14;447.0;87.0;577.0;410.0;-525.0
99.0;314.0;243.0;14;459.0;85.0;579.0;400.0;-525.0
95.0;311.0;242.0;14;465.0;84.0;583.0;393.0;-525.0
95.0;309.0;244.0;15;471.0;81.0;586.0;384.0;-525.0
93.0;308.0;248.0;15;474.0;78.0;587.0;383.0;-526.0
94.0;308.0;252.0;15;477.0;76.0;589.0;383.0;-529.0
99.0;307.0;254.0;16;479.0;71.0;587.0;383.0;-530.0
103.0;304.0;256.0;16;475.0;69.0;586.0;390.0;-530.0
112.0;300.0;258.0;16;466.0;64.0;582.0;400.0;-536.0
121.0;299.0;258.0;16;457.0;60.0;577.0;410.0;?
132.0;297.0;259.0;16;451.0;59.0;577.0;421.0;?
146.0;295.0;261.0;16;437.0;57.0;573.0;437.0;?
160.0;294.0;266.0;15;426.0;57.0;569.0;457.0;?
179.0;294.0;270.0;15;409.0;53.0;562.0;477.0;?
191.0;293.0;273.0;15;397.0;53.0;557.0;495.0;?
204.0;297.0;275.0;15;386.0;52.0;556.0;509.0;?
209.0;298.0;272.0;15;373.0;56.0;551.0;519.0;?
216.0;300.0;273.0;15;358.0;63.0;549.0;525.0;?
217.0;303.0;271.0;16;345.0;69.0;546.0;532.0;?
219.0;305.0;273.0;16;334.0;72.0;547.0;535.0;-535.0
220.0;306.0;273.0;16;329.0;74.0;546.0;538.0;-538.0
216.0;308.0;273.0;15;330.0;79.0;547.0;535.0;-538.0
214.0;309.0;274.0;15;333.0;79.0;549.0;529.0;-536.0
209.0;312.0;275.0;14;345.0;82.0;551.0;522.0;-540.0
205.0;314.0;279.0;14;360.0;82.0;554.0;516.0;-544.0
199.0;315.0;282.0;15;370.0;78.0;557.0;506.0;-546.0
191.0;315.0;285.0;16;386.0;?;560.0;496.0;-553.0
184.0;316.0;291.0;16;400.0;?;566.0;485.0;-555.0
177.0;318.0;292.0;16;414.0;?;572.0;475.0;-559.0
173.0;317.0;292.0;16;423.0;?;576.0;469.0;-556.0
177.0;313.0;298.0;16;435.0;?;574.0;466.0;-556.0
188.0;310.0;306.0;16;446.0;?;571.0;461.0;-551.0
187.0;305.0;313.0;16;447.0;?;563.0;461.0;-557.0
197.0;298.0;324.0;16;433.0;?;553.0;468.0;-563.0
210.0;289.0;328.0;16;406.0;?;546.0;485.0;-571.0
223.0;282.0;336.0;16;376.0;?;541.0;511.0;-581.0
237.0;274.0;344.0;16;341.0;17.0;532.0;532.0;-590.0
253.0;268.0;350.0;16;307.0;8.0;523.0;548.0;-602.0
267.0;264.0;350.0;16;263.0;0.0;512.0;573.0;-608.0
284.0;269.0;353.0;16;230.0;1.0;505.0;591.0;-607.0
296.0;269.0;356.0;16;204.0;3.0;496.0;603.0;-604.0
305.0;268.0;357.0;16;179.0;7.0;489.0;610.0;-602.0
309.0;268.0;357.0;16;160.0;10.0;481.0;613.0;-600.0
309.0;271.0;357.0;16;147.0;15.0;476.0;614.0;-597.0
306.0;273.0;354.0;16;144.0;20.0;475.0;615.0;-598.0
300.0;275.0;350.0;16;147.0;27.0;474.0;610.0;-594.0
293.0;275.0;352.0;16;160.0;32.0;478.0;604.0;-590.0
283.0;273.0;350.0;16;180.0;36.0;483.0;597.0;-586.0
273.0;273.0;348.0;16;216.0;36.0;491.0;588.0;-587.0
266.0;272.0;349.0;16;248.0;33.0;498.0;578.0;-588.0
257.0;272.0;351.0;16;270.0;32.0;500.0;565.0;-590.0
246.0;273.0;349.0;16;306.0;31.0;506.0;549.0;-592.0
239.0;276.0;351.0;16;338.0;32.0;514.0;534.0;-592.0
229.0;274.0;351.0;17;370.0;36.0;524.0;519.0;-594.0
217.0;276.0;349.0;17;393.0;40.0;534.0;506.0;-595.0
209.0;281.0;346.0;17;411.0;46.0;543.0;495.0;-594.0
198.0;284.0;342.0;17;424.0;51.0;553.0;482.0;-591.0
190.0;292.0;338.0;18;439.0;61.0;560.0;472.0;-586.0
186.0;295.0;334.0;18;445.0;65.0;570.0;468.0;-579.0
186.0;301.0;329.0;18;451.0;71.0;574.0;464.0;-574.0
187.0;304.0;324.0;18;461.0;75.0;578.0;467.0;-570.0
188.0;304.0;319.0;18;463.0;77.0;579.0;469.0;-566.0
191.0;305.0;315.0;18;460.0;78.0;580.0;472.0;-563.0
194.0;304.0;309.0;18;451.0;78.0;577.0;477.0;-557.0
199.0;304.0;308.0;18;444.0;77.0;577.0;485.0;-557.0
203.0;305.0;305.0;18;437.0;74.0;577.0;495.0;-553.0
209.0;308.0;303.0;18;427.0;73.0;?;504.0;-552.0
217.0;309.0;301.0;18;418.0;72.0;?;511.0;-549.0
224.0;309.0;293.0;18;405.0;75.0;566.0;522.0;-546.0
234.0;311.0;287.0;18;397.0;80.0;564.0;533.0;-541.0
245.0;313.0;283.0;18;389.0;84.0;560.0;542.0;-536.0
253.0;318.0;283.0;18;379.0;88.0;556.0;552.0;-534.0
256.0;320.0;281.0;18;368.0;93.0;555.0;555.0;-534.0
255.0;320.0;282.0;18;357.0;94.0;554.0;556.0;-535.0
253.0;324.0;283.0;18;349.0;95.0;556.0;558.0;-537.0
249.0;325.0;284.0;18;347.0;95.0;557.0;554.0;-538.0
250.0;326.0;286.0;18;348.0;96.0;558.0;554.0;-541.0
249.0;328.0;288.0;17;353.0;97.0;560.0;552.0;-544.0
246.0;331.0;289.0;17;366.0;97.0;559.0;551.0;-546.0
246.0;332.0;291.0;17;379.0;97.0;560.0;548.0;-545.0
246.0;333.0;292.0;16;386.0;97.0;562.0;542.0;-546.0
243.0;336.0;292.0;15;398.0;99.0;565.0;538.0;-546.0
236.0;339.0;292.0;15;407.0;100.0;569.0;530.0;-547.0
232.0;341.0;294.0;16;415.0;99.0;574.0;520.0;-548.0
230.0;341.0;291.0;16;422.0;98.0;577.0;516.0;-549.0
229.0;340.0;292.0;15;429.0;100.0;580.0;517.0;-546.0
233.0;339.0;292.0;16;432.0;103.0;580.0;519.0;-542.0
237.0;334.0;293.0;16;435.0;99.0;580.0;526.0;-540.0
240.0;329.0;303.0;16;437.0;98.0;570.0;527.0;-543.0
249.0;322.0;312.0;16;435.0;87.0;559.0;527.0;-546.0
256.0;311.0;321.0;16;429.0;72.0;545.0;529.0;-558.0
266.0;301.0;333.0;16;402.0;53.0;531.0;543.0;-572.0
288.0;289.0;340.0;16;362.0;32.0;518.0;573.0;-589.0
308.0;278.0;345.0;16;307.0;7.0;505.0;608.0;-604.0
328.0;272.0;344.0;16;256.0;-5.0;494.0;640.0;-611.0
343.0;269.0;341.0;?;217.0;-5.0;486.0;660.0;-614.0
351.0;269.0;336.0;?;171.0;-1.0;478.0;670.0;-608.0
354.0;269.0;329.0;?;127.0;9.0;475.0;679.0;-598.0
349.0;272.0;321.0;?;68.0;24.0;475.0;681.0;-588.0
334.0;275.0;318.0;?;14.0;34.0;484.0;674.0;-581.0
320.0;279.0;315.0;16;-40.0;40.0;493.0;662.0;-576.0
308.0;282.0;314.0;16;-104.0;46.0;501.0;643.0;-568.0
303.0;290.0;308.0;16;-174.0;53.0;503.0;620.0;-565.0
305.0;294.0;295.0;16;-250.0;62.0;501.0;579.0;-557.0
308.0;299.0;281.0;16;-326.0;70.0;499.0;534.0;-548.0
314.0;305.0;271.0;16;-394.0;79.0;494.0;485.0;-541.0
314.0;308.0;262.0;16;-469.0;86.0;484.0;417.0;-529.0
316.0;307.0;254.0;16;-536.0;92.0;474.0;344.0;-522.0
314.0;307.0;248.0;16;-601.0;93.0;453.0;263.0;-519.0
316.0;302.0;245.0;16;-646.0;92.0;436.0;194.0;-514.0
314.0;295.0;245.0;16;-679.0;84.0;421.0;129.0;-515.0
312.0;288.0;243.0;16;-704.0;77.0;401.0;66.0;-514.0
312.0;282.0;244.0;16;-720.0;67.0;377.0;-2.0;-519.0
296.0;275.0;246.0;16;-724.0;58.0;349.0;-77.0;-523.0
270.0;272.0;242.0;16;-717.0;54.0;323.0;-137.0;-523.0
241.0;268.0;241.0;16;-709.0;52.0;302.0;-188.0;-521.0
217.0;265.0;234.0;16;-700.0;50.0;281.0;-231.0;-521.0
198.0;263.0;233.0;16;-687.0;50.0;266.0;-259.0;-517.0
180.0;260.0;231.0;16;-665.0;50.0;261.0;-273.0;-518.0
177.0;258.0;233.0;16;-661.0;48.0;256.0;-283.0;-520.0
179.0;259.0;233.0;16;-671.0;49.0;249.0;-287.0;-522.0
?;259.0;233.0;16;-672.0;49.0;247.0;-283.0;-525.0
?;259.0;231.0;16;-672.0;53.0;246.0;-281.0;-525.0
?;265.0;234.0;16;-667.0;55.0;246.0;-273.0;-528.0
?;267.0;234.0;16;-669.0;60.0;243.0;-270.0;-525.0
?;272.0;235.0;16;-676.0;66.0;235.0;-271.0;-525.0
?;271.0;234.0;16;-676.0;70.0;232.0;-270.0;-524.0
?;272.0;235.0;16;-677.0;72.0;232.0;-264.0;-523.0
?;273.0;236.0;16;-675.0;74.0;234.0;-256.0;-524.0
