InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit LUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ
-3.0;2;-7.0;939.0;-13;22.0;8;13;293;45.0;8
15.0;1;11.0;927.0;13;0.0;3;-13;294;71.0;3
-5.0;12;23.0;954.0;22;-4.0;-6;-22;287;53.0;-6
-7.0;13;15.0;936.0;18;4.0;-11;-18;286;36.0;-11
3.0;11;38.0;939.0;-11;22.0;-13;11;287;71.0;-13
-4.0;0;57.0;947.0;16;-13.0;-12;-16;280;92.0;-12
11.0;0;13.0;926.0;15;3.0;-8;-15;221;56.0;-8
-2.0;6;32.0;909.0;-25;18.0;-2;25;241;50.0;-2
0.0;8;10.0;924.0;-18;5.0;-3;18;227;42.0;-3
-2.0;-1;14.0;932.0;5;11.0;-2;-5;219;60.0;-2
2.0;1;30.0;927.0;-8;-3.0;9;8;220;31.0;9
0.0;0;28.0;926.0;0;38.0;-1;0;219;46.0;-1
-14.0;-9;27.0;929.0;26;21.0;17;-26;249;29.0;17
2.0;2;26.0;920.0;-11;21.0;-15;11;221;46.0;-15
22.0;6;-3.0;919.0;15;20.0;-11;-15;250;59.0;-11
39.0;2;16.0;916.0;5;30.0;-9;-5;245;53.0;-9
10.0;-3;35.0;923.0;4;14.0;-2;-4;241;76.0;-2
6.0;-1;73.0;926.0;0;3.0;16;0;254;68.0;16
18.0;0;52.0;912.0;12;15.0;7;-12;254;81.0;7
-6.0;4;34.0;927.0;2;-20.0;12;-2;259;53.0;12
-31.0;-2;16.0;930.0;-10;22.0;8;10;255;50.0;8
-21.0;0;36.0;935.0;3;-35.0;-28;-3;256;49.0;-28
0.0;-1;25.0;938.0;-16;26.0;-6;16;256;68.0;-6
-1.0;2;-3.0;918.0;10;6.0;-6;-10;279;27.0;-6
-29.0;-1;34.0;928.0;2;-9.0;-25;-2;279;87.0;-25
-16.0;3;36.0;923.0;26;-19.0;-7;-26;283;82.0;-7
5.0;15;26.0;922.0;9;-74.0;-7;-9;283;97.0;-7
3.0;-2;18.0;928.0;-17;-8.0;-21;17;277;69.0;-21
-3.0;-4;-3.0;924.0;-8;6.0;-13;8;275;47.0;-13
-5.0;-4;-1.0;929.0;3;43.0;-4;-3;277;27.0;-4
-11.0;2;1.0;911.0;4;6.0;-8;-4;280;0.0;-8
-3.0;4;63.0;930.0;22;-9.0;5;-22;285;74.0;5
-7.0;1;32.0;909.0;0;11.0;11;0;279;109.0;11
-13.0;1;32.0;931.0;-6;30.0;-11;6;278;81.0;-11
0.0;-1;58.0;922.0;16;30.0;-4;-16;277;73.0;-4
12.0;-5;11.0;933.0;-13;33.0;4;13;270;48.0;4
6.0;-8;14.0;916.0;6;-18.0;25;-6;270;39.0;25
-2.0;-3;30.0;948.0;13;56.0;4;-13;258;66.0;4
-7.0;10;38.0;920.0;-17;11.0;15;17;279;61.0;15
14.0;0;19.0;929.0;2;30.0;-7;-2;283;55.0;-7
-21.0;-2;11.0;939.0;12;3.0;-25;-12;279;85.0;-25
0.0;7;4.0;946.0;12;11.0;-1;-12;226;53.0;-1
-7.0;0;12.0;950.0;0;-4.0;-16;0;252;72.0;-16
-7.0;-2;31.0;929.0;6;17.0;3;-6;219;19.0;3
-31.0;0;25.0;963.0;3;-19.0;-14;-3;262;53.0;-14
6.0;-2;67.0;945.0;1;-18.0;-15;-1;255;62.0;-15
14.0;-3;55.0;947.0;23;-20.0;-12;-23;253;55.0;-12
3.0;-5;36.0;951.0;-4;-8.0;12;4;288;71.0;12
-16.0;0;55.0;931.0;17;12.0;-27;-17;293;56.0;-27
-26.0;6;37.0;939.0;18;-12.0;-24;-18;297;62.0;-24
-9.0;0;-9.0;944.0;6;6.0;-22;-6;290;44.0;-22
5.0;-7;4.0;957.0;-7;17.0;7;7;285;22.0;7
17.0;1;-2.0;931.0;0;-29.0;-4;0;259;65.0;-4
4.0;2;12.0;926.0;4;29.0;3;-4;260;45.0;3
-6.0;3;1.0;933.0;-2;32.0;1;2;261;52.0;1
21.0;-3;6.0;919.0;0;-11.0;-14;0;257;25.0;-14
-2.0;1;33.0;936.0;24;47.0;-4;-24;262;74.0;-4
13.0;4;40.0;927.0;5;47.0;-16;-5;264;76.0;-16
17.0;-6;39.0;921.0;0;44.0;-5;0;258;47.0;-5
20.0;1;-2.0;908.0;1;21.0;-14;-1;262;25.0;-14
15.0;-3;0.0;921.0;11;28.0;-7;-11;259;17.0;-7
-18.0;2;-10.0;932.0;-19;-7.0;-18;19;263;52.0;-18
-17.0;-5;-9.0;916.0;10;-16.0;-15;-10;256;20.0;-15
-25.0;-6;30.0;915.0;20;-3.0;4;-20;257;85.0;4
4.0;0;28.0;926.0;-4;28.0;3;4;261;77.0;3
-8.0;-6;31.0;925.0;1;27.0;-4;-1;255;78.0;-4
-10.0;-7;23.0;937.0;-18;9.0;13;18;256;51.0;13
4.0;0;1.0;910.0;-14;-7.0;6;14;262;30.0;6
-10.0;-1;8.0;918.0;8;31.0;20;-8;260;41.0;20
4.0;1;10.0;930.0;-11;46.0;-4;11;261;33.0;-4
0.0;0;-4.0;910.0;-11;45.0;11;11;259;49.0;11
-12.0;-4;-1.0;936.0;12;-30.0;-6;-12;285;44.0;-6
-3.0;0;50.0;954.0;22;-1.0;-16;-22;303;54.0;-16
-17.0;8;11.0;913.0;-15;-8.0;-5;15;231;62.0;-5
-1.0;1;15.0;928.0;2;-15.0;10;-2;305;50.0;10
3.0;-7;12.0;942.0;0;-14.0;17;0;304;46.0;17
-8.0;1;4.0;937.0;6;6.0;12;-6;309;50.0;12
1.0;-4;41.0;927.0;21;32.0;-20;-21;307;42.0;-20
-51.0;-9;39.0;927.0;12;6.0;-1;-12;301;66.0;-1
-37.0;1;21.0;925.0;24;-13.0;5;-24;308;64.0;5
-3.0;-2;14.0;937.0;-7;22.0;-20;7;307;75.0;-20
0.0;7;58.0;939.0;12;-1.0;-7;-12;310;29.0;-7
-7.0;1;45.0;932.0;-8;-12.0;-3;8;303;48.0;-3
-27.0;-2;65.0;925.0;-7;33.0;-3;7;305;55.0;-3
-41.0;-9;26.0;955.0;-8;6.0;10;8;295;62.0;10
3.0;0;15.0;944.0;12;-7.0;-17;-12;300;50.0;-17
-10.0;5;45.0;936.0;-13;21.0;-2;13;312;59.0;-2
-19.0;0;-12.0;931.0;17;-12.0;-3;-17;266;78.0;-3
2.0;0;16.0;955.0;1;-17.0;-18;-1;265;44.0;-18
12.0;-1;-2.0;929.0;13;9.0;13;-13;269;10.0;13
-4.0;12;53.0;951.0;-13;16.0;31;13;310;36.0;31
278.0;-14;-83.0;986.0;-8;-325.0;-17;8;255;528.0;-17
31.0;-3;21.0;967.0;-17;-6.0;-4;17;277;94.0;-4
-211.0;439;-62.0;1019.0;2;-330.0;4;-2;784;-185.0;4
24.0;-3;56.0;944.0;2;55.0;6;-2;277;82.0;6
72.0;1531;275.0;949.0;378;-794.0;-71;-378;433;-423.0;-71
9.0;71;40.0;937.0;26;-122.0;-17;-26;276;83.0;-17
-38.0;15;65.0;931.0;-19;-36.0;-15;19;283;24.0;-15
-42.0;-3;136.0;898.0;-36;-227.0;-18;36;213;-72.0;-18
-16.0;15;15.0;907.0;-20;-47.0;-16;20;283;32.0;-16
3.0;16;-9.0;915.0;-21;-32.0;-15;21;282;49.0;-15
14.0;1;-8.0;959.0;-26;18.0;-6;26;281;10.0;-6
-26.0;16;-37.0;915.0;-22;-98.0;-15;22;282;106.0;-15
-224.0;6;169.0;899.0;378;-844.0;-218;-378;249;-375.0;-218
-3.0;0;-94.0;956.0;-10;-107.0;-17;10;291;-21.0;-17
-587.0;2064;489.0;932.0;547;-1057.0;-150;-547;827;968.0;-150
-65.0;321;269.0;898.0;-6;-59.0;0;6;-27;164.0;0
-32.0;14;-209.0;957.0;-10;-38.0;-2;10;306;-160.0;-2
-3.0;-4;-38.0;919.0;18;39.0;-21;-18;294;17.0;-21
-3.0;6;-95.0;933.0;4;33.0;20;-4;305;-69.0;20
-30.0;-3;-36.0;937.0;-10;19.0;15;10;295;23.0;15
-22.0;-5;-1.0;930.0;-19;14.0;-22;19;293;40.0;-22
17.0;-5;5.0;962.0;-20;25.0;-26;20;294;39.0;-26
5.0;-5;13.0;943.0;-25;-14.0;-24;25;293;63.0;-24
29.0;-5;-1.0;917.0;-13;-6.0;-27;13;295;30.0;-27
9.0;-5;-13.0;937.0;23;19.0;-35;-23;299;22.0;-35
693.0;10;-463.0;828.0;804;473.0;356;-804;259;636.0;356
7.0;-4;-50.0;926.0;0;20.0;-5;0;295;-16.0;-5
9.0;-9;-27.0;945.0;-7;20.0;16;7;300;8.0;16
45.0;4;-5.0;921.0;21;1.0;3;-21;311;-33.0;3
3.0;4;-17.0;942.0;14;-15.0;-3;-14;293;-10.0;-3
16.0;1;-10.0;940.0;-15;24.0;6;15;295;1.0;6
-6.0;-4;1.0;926.0;-10;47.0;-5;10;297;16.0;-5
37.0;-3;2.0;928.0;-29;12.0;0;29;266;42.0;0
12.0;-1;-6.0;910.0;-20;25.0;9;20;267;35.0;9
564.0;39;122.0;1028.0;-1631;184.0;-2613;1631;214;226.0;-2613
4.0;2;-11.0;943.0;-30;3.0;0;30;292;49.0;0
-13.0;0;-27.0;937.0;-13;34.0;-37;13;269;17.0;-37
1.0;5;1.0;929.0;-35;-8.0;2;35;271;100.0;2
9.0;7;-3.0;922.0;-30;2.0;-17;30;272;107.0;-17
-32.0;2;11.0;956.0;34;-4.0;5;-34;263;80.0;5
-22.0;-2;-11.0;944.0;9;15.0;29;-9;263;112.0;29
16.0;3;-1.0;948.0;-2;4.0;18;2;292;39.0;18
-18.0;3;-3.0;948.0;12;5.0;-25;-12;294;61.0;-25
43.0;1;100.0;916.0;-1;1.0;-13;1;209;-72.0;-13
12.0;6;43.0;961.0;-25;15.0;2;25;293;85.0;2
-17.0;5;71.0;917.0;-13;-27.0;12;13;228;17.0;12
-25.0;-3;75.0;943.0;-16;-6.0;-11;16;303;95.0;-11
14.0;-8;35.0;947.0;-32;29.0;-12;32;260;54.0;-12
-4.0;0;97.0;950.0;3;-10.0;-13;-3;299;71.0;-13
19.0;6;100.0;954.0;2;-15.0;4;-2;291;85.0;4
-18.0;-5;18.0;956.0;-15;-6.0;12;15;274;14.0;12
-12.0;2;3.0;945.0;5;20.0;-5;-5;268;119.0;-5
51.0;-13;-41.0;975.0;1;6.0;5;-1;255;106.0;5
7.0;1;41.0;874.0;-12;-3.0;-23;12;217;19.0;-23
24.0;1;-8.0;919.0;7;43.0;-19;-7;268;34.0;-19
6.0;0;-20.0;921.0;-20;39.0;10;20;269;53.0;10
-2.0;4;51.0;865.0;13;8.0;30;-13;218;58.0;30
-44.0;-2;36.0;812.0;1;26.0;-7;-1;215;50.0;-7
342.0;-4;65.0;839.0;-34;10.0;31;34;264;-284.0;31
6.0;-2;28.0;859.0;-20;46.0;-1;20;213;91.0;-1
5.0;-1;-15.0;918.0;-19;68.0;17;19;287;56.0;17
-17.0;2;18.0;832.0;14;-5.0;-6;-14;217;51.0;-6
-5.0;-32;16.0;905.0;-31;59.0;300;31;234;-41.0;300
-2.0;-2;1.0;954.0;4;-1.0;13;-4;277;-5.0;13
-7.0;1;-19.0;935.0;23;-33.0;-22;-23;281;34.0;-22
146.0;-7;-75.0;937.0;38;-55.0;-12;-38;295;345.0;-12
18.0;-3;23.0;954.0;-3;-27.0;2;3;280;78.0;2
10.0;-2;34.0;929.0;-32;-9.0;20;32;268;62.0;20
38.0;4;75.0;909.0;-7;75.0;-12;7;287;-50.0;-12
48.0;3;50.0;927.0;7;5.0;-11;-7;286;67.0;-11
24.0;3;39.0;954.0;12;50.0;2;-12;285;101.0;2
20.0;-5;10.0;954.0;12;74.0;15;-12;279;73.0;15
6.0;-2;14.0;917.0;-38;14.0;-16;38;266;44.0;-16
6.0;-5;-28.0;960.0;5;26.0;-6;-5;279;-71.0;-6
-34.0;-3;4.0;947.0;12;-14.0;-34;-12;239;68.0;-34
22.0;0;10.0;952.0;-12;47.0;-4;12;281;58.0;-4
2.0;-2;30.0;937.0;-23;-14.0;-27;23;268;74.0;-27
37.0;1;5.0;957.0;4;21.0;-3;-4;283;105.0;-3
15.0;-10;-82.0;832.0;83;84.0;-3408;-83;246;82.0;-3408
-30.0;3;58.0;924.0;14;24.0;27;-14;274;79.0;27
-4.0;2;102.0;962.0;14;62.0;-5;-14;285;120.0;-5
-37.0;4;-9.0;907.0;-3;-65.0;-48;3;244;116.0;-48
-9.0;-5;80.0;781.0;10;5.0;-9;-10;209;58.0;-9
32.0;-1;44.0;851.0;-17;77.0;-2;17;214;89.0;-2
23.0;-2;-6.0;805.0;13;14.0;-9;-13;211;36.0;-9
-48.0;0;6.0;933.0;36;7.0;-9;-36;260;66.0;-9
18.0;-6;65.0;920.0;15;-35.0;18;-15;266;16.0;18
2.0;-4;67.0;940.0;-33;-54.0;-13;33;267;15.0;-13
-19.0;7;81.0;932.0;1;-61.0;-1;-1;275;38.0;-1
14.0;1;24.0;923.0;18;-41.0;24;-18;269;33.0;24
10.0;2;24.0;860.0;-25;10.0;-18;25;219;42.0;-18
2.0;5;32.0;867.0;-16;0.0;1;16;219;40.0;1
19.0;2;31.0;858.0;-23;20.0;-13;23;216;68.0;-13
11.0;-3;28.0;858.0;-4;-1.0;-1;4;214;42.0;-1
-6.0;0;10.0;867.0;23;20.0;-10;-23;215;58.0;-10
15.0;1;8.0;851.0;-2;10.0;-7;2;216;80.0;-7
21.0;-1;25.0;824.0;16;-25.0;17;-16;213;36.0;17
-4.0;3;2.0;855.0;-7;10.0;-22;7;217;29.0;-22
-8.0;-1;22.0;853.0;-39;22.0;2;39;213;38.0;2
22.0;2;71.0;932.0;-6;26.0;25;6;254;52.0;25
16.0;1;73.0;936.0;-28;2.0;-2;28;256;76.0;-2
39.0;2;58.0;938.0;-12;3.0;-25;12;254;67.0;-25
-23.0;-6;81.0;947.0;-31;-4.0;-7;31;275;48.0;-7
-31.0;-1;63.0;957.0;-23;-2.0;21;23;278;26.0;21
-169.0;-215;352.0;1143.0;2350;21.0;944;-2350;164;16.0;944
3.0;-3;9.0;858.0;-28;48.0;1;28;213;74.0;1
-20.0;-3;100.0;940.0;-9;-9.0;-6;9;253;89.0;-6
175.0;-9;5.0;934.0;23;77.0;-15;-23;162;-13.0;-15
17.0;-2;-63.0;911.0;-14;40.0;24;14;214;88.0;24
8.0;2;-4.0;919.0;2;12.0;-1;-2;221;26.0;-1
31.0;2;-16.0;909.0;15;33.0;-7;-15;224;42.0;-7
-8.0;2;45.0;831.0;2;0.0;-10;-2;219;75.0;-10
-24.0;-1;44.0;946.0;4;-28.0;-20;-4;301;-13.0;-20
33.0;4;81.0;934.0;15;23.0;-4;-15;243;16.0;-4
27.0;2;-12.0;908.0;-4;27.0;21;4;222;38.0;21
917.0;-29;-1194.0;667.0;-4564;774.0;1387;4564;215;-956.0;1387
-5.0;3;-15.0;908.0;-5;10.0;-7;5;222;54.0;-7
-8.0;-2;9.0;918.0;0;-9.0;-32;0;219;21.0;-32
-17.0;-7;-20.0;906.0;-23;-25.0;-9;23;213;39.0;-9
-21.0;-6;-1.0;913.0;1;4.0;-11;-1;214;58.0;-11
-10.0;-6;-9.0;924.0;38;-5.0;3;-38;213;72.0;3
-19.0;-2;-3.0;920.0;-3;12.0;15;3;219;78.0;15
19.0;6;-25.0;917.0;12;24.0;-13;-12;223;34.0;-13
-5.0;-2;16.0;911.0;26;22.0;-11;-26;217;40.0;-11
8.0;-3;20.0;920.0;7;43.0;-4;-7;217;35.0;-4
-17.0;1;69.0;934.0;4;43.0;2;-4;301;135.0;2
11.0;-2;14.0;939.0;1;14.0;-1;-1;218;30.0;-1
-108.0;-1906;569.0;1125.0;768;-399.0;-85;-768;981;750.0;-85
6.0;3;-5.0;948.0;-35;21.0;-2;35;243;59.0;-2
126.0;23;-98.0;806.0;16;158.0;18;-16;262;65.0;18
-438.0;-351;-196.0;836.0;-15;199.0;-41;15;432;61.0;-41
114.0;-4;89.0;915.0;193;172.0;-169;-193;267;58.0;-169
26.0;3;-12.0;940.0;30;33.0;-19;-30;259;9.0;-19
-12.0;3;-8.0;934.0;-9;10.0;-9;9;221;18.0;-9
-3.0;-2;-7.0;918.0;4;-7.0;-18;-4;217;23.0;-18
33.0;-3;-4.0;909.0;29;7.0;2;-29;215;68.0;2
98.0;5;23.0;908.0;-19;60.0;-8;19;217;21.0;-8
1.0;-2;-11.0;929.0;-33;23.0;-30;33;218;40.0;-30
7.0;2;-6.0;917.0;5;4.0;-23;-5;223;7.0;-23
80.0;93;8.0;948.0;-34;92.0;-21;34;-124;-21.0;-21
13.0;6;6.0;932.0;-39;52.0;-14;39;223;46.0;-14
147.0;-5;58.0;933.0;21;27.0;-21;-21;285;218.0;-21
5.0;-5;21.0;948.0;17;31.0;-2;-17;301;90.0;-2
17.0;7;22.0;895.0;-19;25.0;5;19;228;38.0;5
-8.0;-1;28.0;928.0;-13;-1.0;11;13;218;33.0;11
17.0;5;36.0;933.0;7;2.0;3;-7;282;154.0;3
-26.0;-5;-12.0;926.0;0;-33.0;-21;0;300;68.0;-21
-30.0;-5;-42.0;942.0;7;-20.0;4;-7;300;45.0;4
-111.0;84;-213.0;1011.0;-19;54.0;2;19;370;-22.0;2
-18.0;-1;-1.0;940.0;-41;6.0;-3;41;239;80.0;-3
16.0;7;-151.0;914.0;18;110.0;10;-18;262;12.0;10
16.0;6;-32.0;914.0;10;58.0;-8;-10;310;35.0;-8
19.0;1;23.0;927.0;2;39.0;24;-2;219;32.0;24
1001.0;-397;-1425.0;672.0;-175;1095.0;1926;175;357;-1668.0;1926
78.0;-11;-2.0;939.0;-6;209.0;-2;6;334;71.0;-2
-25.0;0;-22.0;955.0;20;41.0;-15;-20;250;40.0;-15
-22.0;4;14.0;915.0;-17;13.0;-24;17;221;11.0;-24
15.0;11;10.0;923.0;-17;-5.0;-9;17;226;40.0;-9
2.0;9;35.0;936.0;2;39.0;-12;-2;225;22.0;-12
-10.0;2;0.0;928.0;-18;32.0;-6;18;309;123.0;-6
-7.0;-5;15.0;934.0;-13;-1.0;-24;13;253;9.0;-24
37.0;-58;-95.0;955.0;90;72.0;-36;-90;274;-9.0;-36
-46.0;3;48.0;960.0;23;76.0;-28;-23;281;52.0;-28
25.0;2;51.0;923.0;3;37.0;-13;-3;218;33.0;-13
21.0;-8;-41.0;947.0;16;52.0;1;-16;281;-130.0;1
28.0;3;-1.0;898.0;18;-2.0;15;-18;310;4.0;15
4.0;1;0.0;930.0;7;73.0;3;-7;217;57.0;3
67.0;-3;65.0;931.0;-13;-23.0;-12;13;279;-69.0;-12
23.0;3;41.0;919.0;-7;77.0;-10;7;221;45.0;-10
199.0;969;-14.0;1050.0;8;219.0;3;-8;1140;-142.0;3
-55.0;-2;32.0;948.0;11;41.0;2;-11;295;78.0;2
-14.0;1;61.0;954.0;31;41.0;5;-31;297;12.0;5
48.0;3;10.0;947.0;1;44.0;5;-1;267;44.0;5
72.0;-7;-151.0;937.0;-22;3.0;-15;22;296;131.0;-15
18.0;-1;-15.0;954.0;21;29.0;10;-21;255;50.0;10
-50.0;3;15.0;936.0;20;81.0;-8;-20;254;46.0;-8
9.0;-1;31.0;946.0;13;45.0;-15;-13;255;0.0;-15
-103.0;-3;14.0;909.0;-2;15.0;13;2;238;78.0;13
-3.0;1;68.0;954.0;0;63.0;-21;0;256;37.0;-21
13.0;1;69.0;927.0;15;67.0;-3;-15;255;58.0;-3
22.0;5;-19.0;916.0;12;22.0;-1;-12;248;96.0;-1
218.0;-27;350.0;1137.0;362;17.0;-695;-362;178;413.0;-695
6.0;-4;24.0;935.0;-14;27.0;7;14;218;58.0;7
25.0;1;50.0;923.0;-19;26.0;20;19;223;64.0;20
25.0;4;6.0;790.0;1;5.0;13;-1;217;46.0;13
0.0;-2;11.0;924.0;-12;63.0;-1;12;221;31.0;-1
17.0;8;-3.0;908.0;3;79.0;-7;-3;229;52.0;-7
49.0;3;81.0;949.0;13;52.0;5;-13;259;96.0;5
-378.0;-2;388.0;1012.0;-38;95.0;5;38;277;-23.0;5
1.0;-8;82.0;974.0;0;28.0;-3;0;271;84.0;-3
-2.0;1;84.0;842.0;23;-39.0;-11;-23;214;-127.0;-11
12.0;15;-41.0;929.0;-1;96.0;32;1;235;144.0;32
-161.0;4;197.0;927.0;10;-153.0;-14;-10;310;215.0;-14
0.0;4;-3.0;847.0;-3;10.0;20;3;221;21.0;20
32.0;1;33.0;909.0;-38;39.0;-31;38;260;-23.0;-31
-33.0;0;-17.0;926.0;-13;25.0;3;13;300;26.0;3
-22.0;-1;-18.0;925.0;-3;34.0;-15;3;299;74.0;-15
6.0;4;23.0;857.0;-3;22.0;29;3;217;42.0;29
19.0;3;-2.0;802.0;-14;-25.0;16;14;219;68.0;16
-43.0;2;-33.0;933.0;-1;12.0;38;1;299;82.0;38
-162.0;71;391.0;796.0;1297;-522.0;697;-1297;267;418.0;697
-37.0;0;35.0;963.0;-25;-12.0;-17;25;298;108.0;-17
-8.0;0;33.0;971.0;-24;4.0;9;24;299;127.0;9
6.0;7;-4.0;949.0;13;180.0;7;-13;243;168.0;7
23.0;-1;7.0;912.0;-6;-19.0;8;6;298;72.0;8
18.0;2;17.0;928.0;29;52.0;17;-29;300;68.0;17
11.0;-78;57.0;940.0;19;127.0;0;-19;254;-88.0;0
9.0;-2;46.0;933.0;28;41.0;-9;-28;302;102.0;-9
-216.0;-51;69.0;1044.0;3470;-153.0;-1083;-3470;304;152.0;-1083
15.0;2;68.0;956.0;15;38.0;-8;-15;304;109.0;-8
-10.0;6;48.0;938.0;33;-6.0;-14;-33;310;84.0;-14
-4.0;7;28.0;964.0;17;-28.0;-7;-17;310;82.0;-7
35.0;2;45.0;963.0;9;57.0;-13;-9;285;24.0;-13
-18.0;-5;43.0;940.0;21;2.0;21;-21;303;78.0;21
-84.0;-87;-75.0;1020.0;34;-94.0;-18;-34;467;50.0;-18
-8.0;-3;0.0;958.0;-18;-1.0;-13;18;304;46.0;-13
-10.0;2;3.0;948.0;2;16.0;9;-2;312;79.0;9
-2.0;-2;-22.0;959.0;14;1.0;7;-14;311;36.0;7
64.0;1;23.0;984.0;23;169.0;-26;-23;262;30.0;-26
44.0;2;51.0;975.0;3;53.0;13;-3;285;68.0;13
49.0;1;54.0;964.0;14;83.0;-2;-14;314;42.0;-2
100.0;0;-72.0;940.0;621;127.0;144;-621;257;146.0;144
-219.0;-788;497.0;807.0;1189;-605.0;-527;-1189;277;1226.0;-527
-686.0;-247;869.0;839.0;661;-679.0;-99;-661;310;683.0;-99
-46.0;5;-3.0;930.0;23;11.0;3;-23;285;101.0;3
-12.0;0;110.0;927.0;-11;10.0;13;11;306;147.0;13
2.0;3;26.0;921.0;31;83.0;0;-31;223;99.0;0
-21.0;-3;71.0;958.0;32;2.0;-8;-32;283;24.0;-8
132.0;-14;-86.0;967.0;799;2.0;-2017;-799;316;26.0;-2017
-30.0;2;46.0;945.0;26;-113.0;5;-26;264;134.0;5
-29.0;-6;68.0;966.0;11;-3.0;-24;-11;264;107.0;-24
-51.0;-1;101.0;936.0;0;-36.0;8;0;304;149.0;8
42.0;-3;26.0;951.0;14;50.0;10;-14;263;34.0;10
183.0;-7;-112.0;876.0;769;162.0;2571;-769;251;-86.0;2571
257.0;127;443.0;1004.0;1155;1029.0;-125;-1155;217;-257.0;-125
30.0;-1;32.0;918.0;9;61.0;-33;-9;257;70.0;-33
