InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit LUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ
-890.0;4;-429.0;?;-3;-356.0;-21;3;314;503.0;?
-1355.0;-2;-448.0;?;-1;-582.0;-24;1;310;569.0;?
-1877.0;1;-465.0;?;4;-818.0;-32;-4;312;700.0;?
-2452.0;0;-495.0;?;10;-1197.0;-1;-10;?;946.0;?
-2991.0;-6;-496.0;?;0;-1744.0;40;0;?;1171.0;40
-3456.0;0;-481.0;?;10;-2151.0;18;-10;?;1403.0;18
-3827.0;3;-472.0;?;4;-2383.0;-1;-4;?;1663.0;-1
-4085.0;4;-380.0;953.0;6;-2586.0;-2;-6;?;1812.0;-2
-4220.0;-2;-254.0;947.0;28;-2772.0;-12;-28;?;1883.0;-12
-4270.0;-8;-61.0;925.0;18;-2943.0;15;-18;?;1769.0;15
-4235.0;1;232.0;940.0;0;-3035.0;12;0;?;1741.0;12
-3999.0;4;443.0;960.0;6;-3049.0;-40;-6;?;1663.0;-40
-3752.0;1;786.0;969.0;18;-3048.0;-4;-18;?;1574.0;-4
-3432.0;0;1123.0;938.0;-11;-2913.0;19;11;?;1562.0;19
-3104.0;2;1426.0;990.0;-53;-2744.0;-22;53;?;1483.0;-22
-2766.0;5;1573.0;1014.0;-26;-2612.0;-18;26;?;1460.0;-18
-2417.0;-3;1600.0;955.0;?;-2063.0;-10;-10;?;1578.0;-10
-1776.0;-7;1040.0;970.0;?;-844.0;-17;-7;?;1734.0;-17
-1026.0;0;750.0;980.0;?;-400.0;-26;-31;307;1620.0;-26
-620.0;0;434.0;950.0;?;-180.0;-4;-12;310;1128.0;-4
-116.0;-3;220.0;948.0;?;38.0;24;28;306;418.0;24
299.0;3;84.0;958.0;?;49.0;8;21;311;-185.0;8
542.0;2;-124.0;947.0;?;283.0;8;13;309;-385.0;8
678.0;-2;-223.0;939.0;12;419.0;16;-12;305;-394.0;16
815.0;3;-258.0;975.0;-7;385.0;-4;7;310;-458.0;-4
1239.0;1;-64.0;994.0;7;400.0;15;-7;308;-585.0;15
-529.0;-6;121.0;937.0;2;-260.0;-3;-2;308;?;-3
-847.0;14;231.0;928.0;-1;-401.0;-3;1;322;?;-3
-1305.0;-2;478.0;959.0;0;-555.0;-10;0;310;?;-10
-1731.0;-7;888.0;965.0;0;-726.0;-1;0;306;?;-1
-2071.0;-3;1348.0;962.0;0;-1057.0;-13;0;309;?;-13
-2274.0;-2;1932.0;923.0;-6;-1520.0;-26;6;308;?;-26
-2369.0;-6;2437.0;927.0;-10;-1971.0;14;10;308;?;14
-2205.0;0;2892.0;931.0;24;-2498.0;-10;-24;309;?;-10
-1850.0;-2;3069.0;935.0;14;-3268.0;-37;-14;308;?;-37
-1470.0;-7;3251.0;952.0;-32;-3777.0;-1;32;308;?;-1
-1199.0;8;3286.0;959.0;-3;-3834.0;-28;3;319;?;-28
-976.0;-2;3115.0;944.0;-21;-3434.0;-8;21;319;?;-8
-575.0;25;2530.0;977.0;-20;-3249.0;-20;20;320;?;-20
-129.0;36;2714.0;964.0;1;-3568.0;-34;-1;322;?;-34
-192.0;-2;2646.0;961.0;1;-3091.0;-25;-1;326;?;-25
-457.0;19;2336.0;994.0;-27;-2130.0;-35;27;343;4013.0;-35
-644.0;28;2096.0;966.0;-13;-1082.0;9;13;349;2848.0;9
-775.0;17;1664.0;967.0;142;-199.0;-72;-142;349;1815.0;-72
-704.0;5;1255.0;960.0;-31;215.0;-65;31;328;1093.0;-65
-505.0;-11;948.0;913.0;273;480.0;?;-273;315;614.0;-515
-196.0;3;697.0;893.0;346;627.0;?;-346;331;342.0;-515
143.0;1;506.0;917.0;-933;699.0;?;933;328;123.0;649
346.0;-2;180.0;990.0;-1565;702.0;?;1565;328;-136.0;812
488.0;8;-183.0;952.0;-1731;742.0;?;1731;336;-424.0;344
551.0;-3;-513.0;932.0;-2134;739.0;?;2134;322;-694.0;186
572.0;-8;-644.0;882.0;-2010;826.0;?;2010;318;-948.0;155
547.0;4;-720.0;858.0;-1877;871.0;?;1877;327;-1257.0;531
525.0;0;-765.0;893.0;-1530;927.0;?;1530;323;-1423.0;745
446.0;-3;-766.0;928.0;-785;955.0;?;785;326;-1526.0;689
413.0;6;-796.0;888.0;-671;928.0;452;671;333;-1561.0;452
449.0;-5;-738.0;861.0;-742;826.0;269;742;322;-1482.0;269
412.0;7;-690.0;858.0;-502;695.0;356;502;338;-1296.0;356
375.0;29;-535.0;917.0;-519;601.0;271;519;362;-1092.0;271
352.0;8;-388.0;918.0;-513;474.0;68;513;345;-884.0;68
278.0;1;-296.0;962.0;-402;361.0;140;402;342;-534.0;140
211.0;7;-171.0;992.0;-330;242.0;221;330;342;-218.0;221
139.0;-1;14.0;942.0;-248;88.0;274;248;333;95.0;274
51.0;8;176.0;920.0;-106;-49.0;336;106;346;431.0;336
-40.0;8;389.0;944.0;-2;-173.0;186;2;346;690.0;186
-67.0;-15;507.0;976.0;-79;-313.0;-66;79;324;932.0;-66
-73.0;-17;497.0;932.0;-34;-414.0;-262;34;322;1135.0;-262
-95.0;3;463.0;928.0;63;-624.0;-169;-63;336;1278.0;-169
-147.0;3;481.0;955.0;108;-705.0;69;-108;329;1259.0;69
-220.0;-2;525.0;916.0;111;-691.0;229;-111;323;1152.0;229
-283.0;7;457.0;925.0;181;-639.0;389;-181;332;1057.0;389
-326.0;2;348.0;926.0;259;-584.0;392;-259;323;856.0;392
-392.0;-9;231.0;934.0;83;-502.0;299;-83;309;629.0;299
-385.0;-1;158.0;938.0;496;-415.0;276;-496;314;369.0;276
-349.0;-11;70.0;936.0;61;-356.0;280;-61;303;145.0;280
-287.0;-1;-12.0;946.0;?;-291.0;278;-540;313;-49.0;278
-213.0;11;-105.0;873.0;960;-165.0;259;-960;323;-210.0;259
-120.0;-3;-186.0;879.0;828;-92.0;210;-828;306;-307.0;210
-41.0;46;-257.0;848.0;4975;30.0;-15;-4975;352;-264.0;-15
-54.0;-1;-424.0;855.0;3266;244.0;-507;-3266;305;-269.0;-507
102.0;-121;-338.0;546.0;-1480;252.0;-674;1480;193;-431.0;-674
248.0;-29;-313.0;1524.0;233;311.0;-249;?;289;-447.0;-249
234.0;60;-276.0;1907.0;327;366.0;52;?;375;-586.0;52
706.0;-19;-605.0;833.0;-58;373.0;17;?;294;-466.0;17
794.0;-12;-396.0;671.0;385;183.0;-10;?;?;-115.0;-10
866.0;11;81.0;687.0;-106;384.0;7;?;?;-76.0;7
1007.0;-11;382.0;907.0;-48;1084.0;10;48;?;-244.0;10
702.0;17;516.0;1005.0;-29;1556.0;18;29;?;-259.0;18
287.0;7;151.0;1238.0;-27;1513.0;-8;27;?;-418.0;-8
199.0;-3;-5.0;975.0;0;1105.0;-21;0;?;-689.0;-21
245.0;7;-116.0;795.0;6;730.0;14;-6;?;-434.0;14
320.0;2;-137.0;869.0;10;476.0;7;-10;?;-103.0;7
275.0;5;-49.0;1000.0;10;205.0;-13;-10;?;35.0;-13
99.0;3;-147.0;1006.0;24;-22.0;-1;-24;?;89.0;-1
-17.0;2;-209.0;952.0;0;-241.0;-1;0;?;167.0;-1
-108.0;4;-127.0;928.0;-62;-409.0;11;62;?;197.0;11
-214.0;-2;-54.0;912.0;53;-493.0;22;-53;309;297.0;22
-285.0;-4;0.0;965.0;-62;-571.0;-5;62;312;352.0;-5
-337.0;-9;48.0;982.0;-200;-550.0;35;200;307;410.0;35
-364.0;-14;76.0;944.0;-740;-561.0;202;740;303;443.0;202
-338.0;2;67.0;954.0;-1915;-613.0;239;1915;322;516.0;239
-325.0;1;170.0;1001.0;-2128;-569.0;63;2128;318;588.0;63
-261.0;-7;177.0;1076.0;-1950;-495.0;66;1950;309;605.0;66
?;5;212.0;1042.0;-1933;-431.0;188;1933;323;591.0;188
?;15;245.0;908.0;-1665;-356.0;154;1665;331;546.0;154
?;10;292.0;914.0;-1361;-181.0;0;1361;324;494.0;0
?;3;322.0;918.0;-1073;0.0;-114;1073;318;430.0;-114
?;1;280.0;936.0;-1019;109.0;-109;1019;319;339.0;-109
?;-9;217.0;966.0;-369;252.0;-173;369;307;?;-173
?;-9;109.0;949.0;288;238.0;-16;-288;308;?;-16
?;-3;64.0;895.0;83;282.0;240;-83;314;?;240
?;-1;38.0;897.0;-56;273.0;137;56;315;-85.0;137
?;10;-32.0;890.0;-41;301.0;53;41;330;-153.0;53
?;0;-57.0;938.0;-66;316.0;56;66;315;-238.0;56
?;-6;-106.0;992.0;-102;261.0;-2;102;306;-283.0;-2
?;8;-138.0;997.0;-121;234.0;-56;121;324;-244.0;-56
?;4;-190.0;947.0;-129;128.0;-133;129;318;-176.0;-133
135.0;-4;-179.0;919.0;-166;68.0;-236;166;309;-125.0;-236
150.0;-4;-109.0;947.0;-94;44.0;-249;94;307;-114.0;-249
120.0;-2;-79.0;962.0;-48;92.0;-125;48;309;-138.0;-125
64.0;4;-3.0;969.0;-81;143.0;-124;81;322;-113.0;-124
-6.0;7;38.0;933.0;-3;187.0;39;3;325;-95.0;39
-67.0;6;-1.0;934.0;150;111.0;130;?;321;-30.0;130
-49.0;6;31.0;947.0;177;-16.0;155;?;321;40.0;155
-51.0;5;29.0;918.0;199;-102.0;250;?;316;94.0;250
-80.0;8;33.0;927.0;409;-196.0;-155;?;320;159.0;-155
-89.0;-4;0.0;939.0;341;-266.0;430;-341;308;191.0;430
-112.0;-1;-5.0;918.0;848;-324.0;-386;-848;315;201.0;-386
-138.0;2;-7.0;932.0;1235;-344.0;135;-1235;317;133.0;135
-147.0;-8;-81.0;915.0;2899;-420.0;19;-2899;300;79.0;19
-166.0;17;-90.0;884.0;5425;-365.0;-5439;-5425;333;7.0;-5439
-160.0;3;-104.0;615.0;2191;-303.0;-3074;-2191;319;-65.0;-3074
-151.0;-8;-92.0;1087.0;-669;-217.0;1037;669;301;-104.0;1037
-182.0;13;-52.0;1819.0;402;-135.0;-553;-402;323;-240.0;-553
-94.0;-17;-172.0;1188.0;-43;-76.0;102;43;292;-289.0;102
84.0;-17;-232.0;708.0;-139;-169.0;80;139;293;192.0;80
319.0;?;193.0;636.0;89;-170.0;-164;-89;325;276.0;-164
518.0;?;241.0;997.0;-54;319.0;159;54;300;70.0;159
307.0;?;129.0;1151.0;51;866.0;-109;-51;296;-121.0;-109
87.0;?;-141.0;1148.0;-22;937.0;29;22;314;-437.0;29
59.0;?;-141.0;1034.0;14;716.0;2;?;304;-642.0;2
113.0;?;-77.0;856.0;15;631.0;-33;?;307;-556.0;-33
116.0;?;96.0;875.0;6;562.0;-44;?;307;-460.0;-44
104.0;?;-24.0;1053.0;14;432.0;-41;?;301;-417.0;-41
15.0;?;-146.0;1090.0;23;194.0;-4;?;304;-288.0;-4
8.0;?;-209.0;945.0;-12;-99.0;-10;?;308;-50.0;-10
9.0;?;-153.0;913.0;-10;-248.0;-29;10;310;123.0;-29
13.0;?;-104.0;956.0;-2;-331.0;47;2;303;242.0;47
-91.0;?;-79.0;997.0;-49;-354.0;58;49;307;364.0;58
-120.0;-1;-28.0;980.0;-102;-427.0;-9;102;307;393.0;-9
-149.0;-1;14.0;979.0;-666;-454.0;99;666;308;403.0;99
-180.0;-4;63.0;961.0;-1134;-447.0;338;1134;306;423.0;338
-209.0;-11;118.0;1009.0;-1288;-442.0;322;1288;303;405.0;322
-251.0;9;142.0;1033.0;-1836;-391.0;80;1836;320;420.0;80
-253.0;5;203.0;1043.0;-1851;-368.0;44;1851;317;400.0;44
-293.0;0;236.0;965.0;-1539;-314.0;44;1539;316;441.0;44
-256.0;1;314.0;908.0;-1488;-218.0;-144;1488;315;502.0;-144
-211.0;-9;362.0;936.0;-1260;-150.0;-181;1260;307;532.0;-181
-205.0;?;387.0;918.0;-1002;-45.0;-77;1002;318;529.0;-77
-181.0;?;358.0;926.0;-754;22.0;-146;754;322;458.0;-146
-143.0;?;332.0;917.0;-575;88.0;-262;575;328;437.0;-262
-82.0;?;279.0;915.0;-456;119.0;-237;456;328;400.0;-237
45.0;?;215.0;930.0;-291;134.0;-168;291;330;368.0;-168
128.0;?;149.0;953.0;-192;183.0;-170;192;340;259.0;-170
184.0;?;110.0;931.0;-168;273.0;-139;168;329;94.0;-139
203.0;?;79.0;935.0;-94;343.0;4;94;327;-47.0;4
222.0;?;55.0;917.0;-9;400.0;75;9;328;-89.0;75
236.0;?;15.0;924.0;-9;465.0;46;9;320;-141.0;46
208.0;?;-6.0;922.0;14;487.0;18;-14;322;-186.0;18
160.0;?;-17.0;914.0;54;494.0;-21;-54;317;-186.0;-21
116.0;?;-44.0;935.0;52;482.0;-72;-52;307;-208.0;-72
111.0;1;-93.0;920.0;81;409.0;-51;-81;315;-175.0;-51
96.0;4;-100.0;917.0;178;309.0;87;-178;319;-198.0;87
31.0;-6;-132.0;937.0;171;220.0;199;-171;310;-197.0;199
-2.0;-1;-143.0;934.0;294;95.0;159;-294;312;-174.0;159
-24.0;-5;-123.0;?;214;8.0;193;-214;309;-152.0;193
-112.0;-11;-108.0;?;363;-101.0;304;-363;303;-58.0;304
-114.0;-3;-100.0;?;642;-113.0;383;-642;304;0.0;383
-171.0;-8;-70.0;?;77;-203.0;471;-77;300;97.0;471
-167.0;1;-74.0;?;1406;-288.0;131;-1406;313;173.0;131
-162.0;3;-113.0;?;1165;-381.0;-277;-1165;312;172.0;-277
-171.0;0;-107.0;?;1924;-428.0;-206;-1924;308;164.0;-206
-203.0;2;-112.0;?;5316;-432.0;-345;-5316;309;48.0;-345
-228.0;-32;-101.0;?;1656;-395.0;-486;-1656;278;-46.0;-486
-234.0;0;-95.0;?;-781;-333.0;-95;781;314;-166.0;-95
-246.0;17;-130.0;?;656;-267.0;30;-656;333;-314.0;30
-42.0;-11;-303.0;?;-216;-301.0;-87;216;308;-8.0;-87
31.0;-2;108.0;?;-43;-284.0;36;43;319;166.0;36
321.0;-20;281.0;?;32;55.0;31;-32;298;182.0;31
373.0;-11;287.0;1014.0;-80;611.0;7;80;304;151.0;7
149.0;6;14.0;1079.0;68;805.0;14;-68;322;-2.0;14
129.0;-4;-22.0;1117.0;-56;723.0;-43;56;313;-400.0;-43
124.0;-1;-134.0;944.0;34;708.0;-37;-34;315;-407.0;-37
181.0;-6;-87.0;842.0;11;639.0;-42;-11;308;-347.0;-42
184.0;-7;-12.0;919.0;-9;510.0;-36;9;306;-412.0;-36
45.0;-2;-134.0;1057.0;-11;444.0;-16;11;310;-446.0;-16
36.0;-3;-231.0;1058.0;-2;270.0;-39;2;310;-422.0;-39
34.0;2;-235.0;975.0;-36;75.0;-28;36;311;-272.0;-28
65.0;-1;-172.0;904.0;-31;-86.0;15;31;307;-79.0;15
77.0;-8;-120.0;930.0;-29;-209.0;29;29;301;68.0;29
27.0;-2;-50.0;965.0;-75;-238.0;1;75;306;147.0;1
-12.0;1;-17.0;956.0;-41;-277.0;-36;41;309;248.0;-36
-38.0;2;30.0;972.0;-72;-262.0;42;72;313;318.0;42
-71.0;-3;92.0;968.0;-6;-285.0;-8;6;306;388.0;-8
-58.0;-5;128.0;949.0;-497;-347.0;76;497;305;418.0;76
-106.0;6;193.0;927.0;-1627;-379.0;244;1627;318;458.0;244
-123.0;-5;252.0;958.0;-2008;-321.0;12;2008;309;530.0;12
-171.0;-9;321.0;1020.0;-1986;-262.0;-40;1986;308;523.0;-40
-202.0;10;346.0;1033.0;-1943;-222.0;-86;1943;324;510.0;-86
-242.0;2;352.0;948.0;-1596;-204.0;-22;1596;315;533.0;-22
-198.0;-5;352.0;883.0;-1344;-172.0;160;1344;312;552.0;160
-165.0;2;408.0;898.0;-1249;-143.0;-82;1249;320;585.0;-82
-105.0;-10;383.0;931.0;-1145;-123.0;-140;1145;305;569.0;-140
-77.0;-5;324.0;891.0;-996;-1.0;-136;996;296;528.0;-136
-59.0;-4;285.0;944.0;-795;22.0;-289;795;296;455.0;-289
-13.0;-7;242.0;898.0;-649;81.0;-338;649;300;327.0;-338
62.0;5;180.0;914.0;-505;136.0;-349;505;311;275.0;-349
119.0;-2;95.0;920.0;-237;199.0;-313;237;307;170.0;-313
137.0;1;52.0;939.0;-106;263.0;-293;106;308;24.0;-293
153.0;4;-14.0;926.0;-167;334.0;-186;167;314;-110.0;-186
201.0;5;-56.0;897.0;-95;393.0;36;95;319;-197.0;36
179.0;12;-124.0;917.0;67;407.0;236;-67;319;-231.0;236
164.0;9;-203.0;956.0;100;404.0;250;-100;314;-282.0;250
152.0;7;-227.0;943.0;99;412.0;172;-99;314;-337.0;172
175.0;0;-295.0;921.0;129;335.0;130;-129;310;-396.0;130
157.0;-3;-288.0;931.0;122;293.0;35;-122;306;-424.0;35
145.0;0;-262.0;911.0;153;263.0;113;-153;306;-433.0;113
96.0;-7;-230.0;939.0;-36;263.0;-57;36;300;-459.0;-57
62.0;-7;-201.0;925.0;53;203.0;-284;-53;299;-408.0;-284
-49.0;0;-146.0;938.0;296;166.0;80;-296;306;-396.0;80
-119.0;-1;-125.0;908.0;50;64.0;221;-50;305;-292.0;221
-138.0;-1;-65.0;900.0;581;-65.0;293;-581;304;-135.0;293
-154.0;-4;8.0;920.0;-185;-187.0;330;185;302;41.0;330
-162.0;-10;36.0;905.0;1175;?;?;-1175;298;194.0;505
-179.0;-5;16.0;835.0;855;?;?;-855;303;292.0;-53
-229.0;-7;33.0;844.0;1064;?;?;-1064;301;368.0;-565
-281.0;2;82.0;811.0;9111;?;?;-9111;310;426.0;84
-296.0;26;69.0;742.0;3551;?;?;-3551;329;410.0;-1767
-328.0;-8;11.0;831.0;-3605;?;?;3605;297;396.0;-2011
-309.0;5;-42.0;1853.0;1075;?;?;-1075;320;315.0;305
-307.0;53;-124.0;1227.0;75;?;?;-75;370;99.0;-19
104.0;-10;-500.0;886.0;-369;?;-114;369;306;380.0;-114
210.0;-26;-44.0;734.0;352;-464.0;215;-352;291;370.0;215
504.0;6;111.0;946.0;-353;151.0;-31;353;320;71.0;-31
386.0;-5;3.0;1091.0;183;793.0;64;-183;306;-151.0;64
272.0;3;-222.0;1144.0;-81;1011.0;-1;81;316;-574.0;-1
251.0;8;-291.0;1023.0;-29;1003.0;-1;29;321;-881.0;-1
302.0;1;-378.0;832.0;35;974.0;14;-35;311;-879.0;14
398.0;0;-315.0;828.0;-7;905.0;7;7;310;-910.0;7
350.0;1;-322.0;1003.0;2;837.0;3;-2;309;-1071.0;3
282.0;-1;-419.0;1056.0;10;706.0;-11;-10;306;-1035.0;-11
266.0;-2;-481.0;1002.0;1;518.0;18;-1;307;-892.0;18
253.0;4;-388.0;894.0;-6;345.0;59;6;314;-739.0;59
242.0;4;-248.0;872.0;-2;197.0;55;2;317;-524.0;55
179.0;-1;-130.0;994.0;-34;94.0;50;34;313;-316.0;50
60.0;4;14.0;947.0;-47;-17.0;59;47;319;-99.0;59
-17.0;2;128.0;966.0;-30;-110.0;-4;30;317;197.0;-4
-35.0;1;241.0;948.0;-122;-193.0;31;122;314;478.0;31
-67.0;6;300.0;963.0;-151;-293.0;-4;151;321;710.0;-4
-59.0;-7;352.0;931.0;-190;-422.0;0;190;305;931.0;0
-57.0;-1;392.0;937.0;-750;-512.0;349;750;308;1086.0;349
-116.0;5;410.0;942.0;-1300;-555.0;-106;1300;314;1177.0;-106
-165.0;-5;453.0;936.0;-1264;-560.0;-706;1264;303;1141.0;-706
-210.0;-3;395.0;929.0;-1349;-570.0;-602;1349;307;1062.0;-602
-294.0;-3;372.0;903.0;-1618;-507.0;-622;1618;312;921.0;-622
-376.0;2;356.0;955.0;-1515;-445.0;-485;1515;319;687.0;-485
-433.0;6;332.0;1043.0;-1422;-298.0;-548;1422;326;572.0;-548
-439.0;1;283.0;922.0;-1388;-281.0;-493;1388;325;433.0;-493
-406.0;4;237.0;891.0;-1234;-244.0;-240;1234;327;421.0;-240
-298.0;4;193.0;934.0;-964;-221.0;-312;964;324;304.0;-312
-199.0;3;142.0;947.0;-776;-89.0;-248;776;320;221.0;-248
-107.0;8;123.0;937.0;-823;22.0;-233;823;323;159.0;-233
-22.0;1;134.0;927.0;-375;155.0;-93;375;320;28.0;-93
24.0;6;115.0;911.0;67;311.0;21;-67;322;-35.0;21
43.0;5;112.0;865.0;-13;438.0;12;13;310;-152.0;12
74.0;-11;13.0;890.0;-64;454.0;166;64;288;-189.0;166
108.0;0;32.0;923.0;-120;487.0;186;120;295;-238.0;186
149.0;3;34.0;925.0;-109;463.0;105;109;297;?;105
179.0;-5;-48.0;933.0;-63;418.0;-131;63;292;?;-131
208.0;-5;-41.0;958.0;-69;366.0;-293;69;297;?;-293
222.0;-7;-90.0;962.0;16;354.0;-98;-16;294;-135.0;-98
216.0;-11;-88.0;942.0;21;338.0;101;-21;284;-185.0;101
150.0;-10;-63.0;929.0;-3;344.0;86;3;283;-196.0;86
62.0;5;50.0;925.0;164;346.0;-40;-164;294;-195.0;-40
-44.0;11;102.0;936.0;249;299.0;-47;-249;301;-163.0;-47
-42.0;0;71.0;928.0;189;234.0;39;-189;299;-68.0;39
-83.0;1;54.0;918.0;288;67.0;223;-288;301;72.0;223
-91.0;0;62.0;918.0;241;-87.0;425;-241;296;162.0;425
-88.0;-9;21.0;938.0;166;-255.0;547;-166;288;273.0;547
-116.0;-1;21.0;934.0;320;-358.0;595;-320;299;323.0;595
-156.0;-5;14.0;913.0;-27;-414.0;420;27;296;334.0;420
-197.0;-3;28.0;869.0;822;-437.0;893;-822;298;342.0;893
-237.0;1;60.0;876.0;1522;-417.0;959;-1522;301;302.0;959
-284.0;4;74.0;812.0;5084;-367.0;99;-5084;302;260.0;99
-297.0;23;78.0;774.0;9651;-365.0;-108;-9651;327;195.0;-108
-282.0;5;3.0;747.0;3614;-281.0;-581;-3614;313;163.0;-581
-187.0;27;-97.0;1155.0;-1294;-280.0;-725;1294;343;97.0;-725
-78.0;77;-222.0;1699.0;511;-284.0;-7;-511;400;7.0;-7
25.0;21;-302.0;1204.0;-94;-235.0;37;94;339;-149.0;37
386.0;-28;-434.0;887.0;-15;-245.0;-121;15;285;89.0;-121
688.0;5;-114.0;855.0;132;-32.0;-9;-132;314;66.0;-9
854.0;0;-63.0;887.0;-131;547.0;2;131;304;-210.0;2
613.0;-19;-298.0;960.0;78;1050.0;-30;-78;286;-578.0;-30
307.0;-2;-545.0;1079.0;-80;1161.0;-15;80;303;-1066.0;-15
178.0;2;-667.0;1068.0;-3;1097.0;-20;3;306;-1442.0;-20
239.0;-2;-628.0;956.0;-2;989.0;7;2;304;-1504.0;7
261.0;-2;-531.0;860.0;-28;821.0;33;28;303;-1461.0;33
124.0;1;-460.0;917.0;-2;611.0;16;2;302;-1486.0;16
-154.0;3;-327.0;970.0;-5;424.0;9;5;306;-1672.0;9
-407.0;3;-235.0;1016.0;-14;405.0;13;14;302;-1909.0;13
-621.0;-2;-245.0;941.0;17;459.0;21;-17;289;-2168.0;21
-659.0;-7;-420.0;905.0;16;491.0;12;-16;286;-2403.0;12
-637.0;0;-604.0;1000.0;28;530.0;-7;-28;295;-2558.0;-7
-524.0;0;-762.0;929.0;34;541.0;-11;-34;294;-2723.0;-11
-511.0;-6;-986.0;925.0;-31;647.0;-11;31;288;-2998.0;-11
-402.0;-8;-1132.0;899.0;-24;873.0;-8;24;286;-3247.0;-8
-352.0;-8;-1323.0;923.0;13;1238.0;0;-13;287;-3434.0;0
-228.0;-4;-1456.0;944.0;-25;1493.0;-9;25;290;-3554.0;-9
-108.0;0;-1542.0;922.0;0;1618.0;-6;0;294;-3521.0;-6
