InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
31;927;1309;446.0;-131.0;587;1783;633;-1783;31
-14;35;789;223.0;235.0;72;18;415;-18;-14
-1;1;794;211.0;198.0;66;-43;367;43;-1
-22;0;786;210.0;165.0;73;-44;364;44;-22
2;-4;788;196.0;146.0;66;-43;369;43;2
30;83;812;305.0;150.0;117;29;375;-29;30
-10;-6;801;205.0;102.0;69;-27;380;27;-10
12;5;806;202.0;99.0;69;-6;372;6;12
12;19;799;222.0;62.0;74;-71;387;71;12
-58;-24;784;383.0;204.0;84;-264;402;264;-58
-26;-8;803;191.0;277.0;61;-49;411;49;-26
18;4;806;262.0;407.0;72;-31;383;31;18
50;-8;784;284.0;373.0;69;-24;405;24;50
-3;3;800;270.0;309.0;72;-35;393;35;-3
-1;-2;803;194.0;206.0;62;20;372;-20;-1
-42;40;797;281.0;297.0;71;-25;365;25;-42
-9;1;802;287.0;253.0;71;-29;389;29;-9
-7;-2;805;188.0;257.0;64;11;371;-11;-7
12;6;799;221.0;228.0;73;-47;358;47;12
8;1;800;192.0;209.0;70;-37;366;37;8
-22;-8;803;224.0;252.0;60;-5;375;5;-22
-36;1;803;244.0;264.0;64;-16;366;16;-36
-14;2;798;246.0;262.0;71;21;364;-21;-14
2;1;800;290.0;217.0;72;11;386;-11;2
-26;-24;791;193.0;160.0;77;18;397;-18;-26
11;-29;794;174.0;153.0;66;7;406;-7;11
1;-18;801;168.0;131.0;61;1;404;-1;1
-15;1;643;112.0;315.0;98;-37;589;37;-15
29;-159;808;286.0;282.0;78;47;392;-47;29
-25;-67;777;222.0;135.0;109;-92;371;92;-25
47;-50;817;239.0;75.0;71;-38;384;38;47
12;-6;805;338.0;350.0;69;-27;387;27;12
98;-199;829;222.0;90.0;62;-80;390;80;98
-604;-257;635;222.0;58.0;466;3114;314;-3114;-604
-18;1;805;168.0;222.0;76;-37;380;37;-18
-4;0;799;216.0;135.0;67;13;371;-13;-4
12;-2;799;285.0;208.0;65;-5;373;5;12
-8;-1;803;241.0;129.0;72;1;389;-1;-8
-12;8;809;202.0;148.0;69;23;387;-23;-12
-35;1;804;203.0;137.0;71;8;390;-8;-35
29;1;802;242.0;97.0;71;-19;385;19;29
9;7;809;232.0;100.0;67;-7;382;7;9
9;7;805;192.0;108.0;71;-41;380;41;9
14;7;804;182.0;147.0;72;-50;380;50;14
8;7;804;189.0;120.0;71;-45;380;45;8
13;7;804;171.0;140.0;71;-43;379;43;13
8;6;804;166.0;141.0;72;-49;381;49;8
32;-3;811;153.0;197.0;67;-13;386;13;32
-116;-150;823;166.0;160.0;57;7;400;-7;-116
-10;5;803;151.0;148.0;72;-10;384;10;-10
-42;0;800;256.0;200.0;65;-14;367;14;-42
12;-5;809;151.0;208.0;67;-11;387;11;12
19;-8;805;161.0;198.0;69;5;388;-5;19
-9;2;811;273.0;149.0;56;-30;377;30;-9
27;0;809;212.0;193.0;54;17;373;-17;27
4;2;796;276.0;241.0;69;27;363;-27;4
33;-11;807;171.0;178.0;68;-13;392;13;33
15;-1;809;170.0;189.0;69;6;381;-6;15
1;-3;805;158.0;201.0;71;-23;382;23;1
-32;2;809;222.0;122.0;66;-14;386;14;-32
210;-136;790;53.0;305.0;90;-124;417;124;210
13;-2;807;280.0;187.0;64;32;389;-32;13
-14;3;808;304.0;230.0;65;-56;385;56;-14
-21;14;804;190.0;238.0;68;-9;358;9;-21
-38;6;811;183.0;245.0;72;-33;378;33;-38
35;-11;791;202.0;205.0;67;6;380;-6;35
38;-2;794;291.0;183.0;69;-20;374;20;38
35;3;799;293.0;223.0;66;-35;370;35;35
-39;-6;794;254.0;275.0;72;-31;392;31;-39
-150;11;804;279.0;312.0;64;-187;417;187;-150
-13;-1;812;164.0;196.0;65;6;385;-6;-13
24;-5;805;157.0;209.0;73;17;384;-17;24
15;7;804;148.0;169.0;71;1;383;-1;15
31;-4;806;180.0;199.0;69;1;385;-1;31
-12;-5;806;162.0;197.0;70;3;385;-3;-12
-10;-5;807;161.0;198.0;69;3;386;-3;-10
11;5;800;161.0;198.0;75;11;380;-11;11
-22;4;808;181.0;240.0;68;4;385;-4;-22
86;-102;786;196.0;31.0;64;169;407;-169;86
8;-7;805;152.0;179.0;69;-1;387;1;8
13;-7;805;172.0;199.0;70;6;387;-6;13
-2;1;804;187.0;119.0;58;-25;367;25;-2
3;3;809;159.0;197.0;71;7;378;-7;3
-1;1;807;163.0;198.0;71;21;380;-21;-1
13;4;807;156.0;181.0;73;-25;377;25;13
-12;-5;805;163.0;200.0;70;-15;385;15;-12
21;3;807;160.0;194.0;72;15;379;-15;21
39;-4;809;233.0;189.0;50;-13;381;13;39
3;-8;802;160.0;185.0;71;-15;390;15;3
23;7;792;241.0;218.0;82;40;364;-40;23
12;6;787;250.0;283.0;86;-21;360;21;12
10;-1;805;163.0;181.0;71;3;384;-3;10
16;0;808;151.0;196.0;67;-31;385;31;16
-15;1;806;242.0;262.0;69;-4;378;4;-15
213;20;817;130.0;314.0;71;-193;362;193;213
-5;6;815;150.0;207.0;65;-17;382;17;-5
-1;2;804;152.0;198.0;73;-12;382;12;-1
-11;46;606;556.0;417.0;80;-27;549;27;-11
-17;4;808;162.0;186.0;70;-6;382;6;-17
20;-1;805;159.0;183.0;71;6;385;-6;20
13;1;807;149.0;188.0;69;-3;385;3;13
3;-1;809;145.0;192.0;68;-33;386;33;3
-3;1;809;149.0;157.0;68;-20;385;20;-3
-5;-14;795;274.0;108.0;78;21;399;-21;-5
-25;1;807;175.0;183.0;69;17;384;-17;-25
11;6;808;177.0;204.0;70;-6;379;6;11
-6;-11;792;272.0;123.0;67;-5;412;5;-6
0;4;808;151.0;203.0;70;-4;381;4;0
17;-39;788;304.0;229.0;73;-10;412;10;17
-8;5;797;244.0;73.0;77;-18;401;18;-8
-34;-11;795;284.0;82.0;77;-54;400;54;-34
-4;-1;804;257.0;113.0;65;-2;376;2;-4
11;1;804;240.0;141.0;65;-9;374;9;11
50;1;798;200.0;181.0;71;-32;371;32;50
53;3;801;251.0;68.0;93;64;388;-64;53
-34;1;800;209.0;228.0;68;-30;376;30;-34
2;1;797;272.0;217.0;71;-2;375;2;2
15;3;800;288.0;200.0;69;-12;376;12;15
21;6;805;248.0;229.0;67;14;375;-14;21
-12;4;799;236.0;232.0;73;17;374;-17;-12
-5;1;797;207.0;245.0;73;-45;376;45;-5
6;3;800;210.0;221.0;69;-33;376;33;6
2;5;801;184.0;178.0;69;7;374;-7;2
10;4;799;225.0;190.0;72;-6;374;6;10
-7;0;798;232.0;220.0;71;-14;376;14;-7
-24;0;796;220.0;236.0;71;-15;375;15;-24
15;2;797;209.0;213.0;72;-14;374;14;15
31;2;800;200.0;142.0;69;4;375;-4;31
-8;2;799;187.0;175.0;72;-3;377;3;-8
-16;-1;798;185.0;154.0;69;-26;380;26;-16
-36;-5;801;194.0;138.0;63;-37;385;37;-36
-26;-3;798;170.0;148.0;67;-45;383;45;-26
25;-2;795;211.0;139.0;69;-44;382;44;25
-12;-4;797;170.0;150.0;66;-30;386;30;-12
-1;-2;789;231.0;99.0;73;25;415;-25;-1
11;-4;788;273.0;99.0;75;10;414;-10;11
2;0;807;140.0;202.0;70;-13;384;13;2
-2;-2;792;263.0;142.0;71;32;412;-32;-2
-33;-2;792;241.0;119.0;74;15;408;-15;-33
1;1;802;193.0;115.0;68;10;369;-10;1
37;5;801;197.0;136.0;71;-14;364;14;37
-4;2;813;173.0;146.0;65;2;385;-2;-4
-9;8;810;188.0;163.0;72;3;379;-3;-9
22;8;803;190.0;128.0;71;0;360;0;22
28;0;798;211.0;149.0;72;16;366;-16;28
22;-3;800;189.0;181.0;70;-58;370;58;22
-6;7;807;195.0;184.0;66;-32;364;32;-6
-25;-3;802;198.0;153.0;65;19;372;-19;-25
-26;-4;800;211.0;149.0;66;-18;372;18;-26
-26;7;806;208.0;144.0;65;-6;363;6;-26
16;6;808;209.0;277.0;70;1;380;-1;16
-26;3;803;215.0;167.0;68;-9;365;9;-26
24;2;806;181.0;219.0;70;3;384;-3;24
-19;0;801;199.0;164.0;68;18;367;-18;-19
-6;0;802;204.0;167.0;67;-16;367;16;-6
-11;1;799;228.0;176.0;70;-7;364;7;-11
-18;-6;795;224.0;171.0;70;-21;368;21;-18
-27;-3;804;213.0;167.0;62;-21;371;21;-27
-17;3;805;192.0;160.0;65;-13;366;13;-17
-7;2;800;191.0;167.0;70;-10;363;10;-7
53;-23;797;165.0;194.0;90;-12;420;12;53
2;6;805;306.0;144.0;76;-23;386;23;2
65;-10;788;221.0;159.0;106;6;403;-6;65
-36;8;811;286.0;149.0;75;-14;391;14;-36
14;6;802;292.0;45.0;69;-18;380;18;14
19;6;801;319.0;146.0;90;-24;389;24;19
-18;-2;804;202.0;150.0;65;16;367;-16;-18
6;2;805;201.0;179.0;67;27;364;-27;6
7;-4;797;218.0;179.0;71;19;365;-19;7
6;-2;798;241.0;177.0;73;0;363;0;6
33;-1;798;250.0;207.0;72;-6;362;6;33
24;-5;801;232.0;207.0;68;1;368;-1;24
-12;0;807;233.0;203.0;64;6;367;-6;-12
-4;1;805;217.0;191.0;66;-4;364;4;-4
24;1;805;203.0;162.0;69;3;364;-3;24
-27;-28;804;350.0;147.0;74;-2;393;2;-27
18;8;803;305.0;256.0;92;-4;383;4;18
15;-1;805;200.0;166.0;66;23;366;-23;15
2;-1;803;201.0;188.0;67;-8;365;8;2
-6;1;807;222.0;190.0;64;-13;366;13;-6
-22;-7;802;219.0;227.0;64;11;371;-11;-22
31;7;804;266.0;244.0;91;-2;384;2;31
5;-3;801;201.0;169.0;67;0;365;0;5
-8;-5;802;186.0;137.0;65;-27;368;27;-8
-23;0;801;203.0;151.0;67;-10;364;10;-23
-6;5;805;218.0;150.0;66;-3;362;3;-6
-31;1;802;194.0;159.0;68;-26;365;26;-31
-34;-1;800;215.0;166.0;69;-47;366;47;-34
32;11;810;268.0;218.0;86;7;385;-7;32
5;4;812;224.0;139.0;60;-70;392;70;5
-32;0;800;191.0;163.0;67;3;365;-3;-32
2;1;803;191.0;156.0;65;16;365;-16;2
49;-4;798;199.0;167.0;69;15;367;-15;49
-4;4;799;202.0;168.0;72;-16;358;16;-4
-11;4;805;191.0;168.0;64;1;362;-1;-11
29;-6;799;232.0;168.0;66;3;370;-3;29
-10;1;798;228.0;170.0;72;10;363;-10;-10
-7;1;803;201.0;201.0;67;18;365;-18;-7
-8;-7;796;199.0;193.0;70;-31;369;31;-8
-23;-4;799;194.0;176.0;67;2;369;-2;-23
-1;4;807;216.0;162.0;64;19;366;-19;-1
17;1;803;204.0;167.0;68;-34;366;34;17
2;2;803;203.0;197.0;66;16;365;-16;2
22;-7;815;181.0;109.0;55;-33;398;33;22
7;-5;798;209.0;194.0;69;17;370;-17;7
9;-5;796;248.0;238.0;70;-1;369;1;9
-42;2;800;214.0;232.0;69;-7;364;7;-42
-34;-1;800;227.0;185.0;67;5;366;-5;-34
4;1;801;216.0;168.0;66;26;363;-26;4
-5;5;803;201.0;186.0;68;-8;361;8;-5
17;1;802;192.0;170.0;66;-15;365;15;17
19;-2;805;191.0;139.0;63;18;370;-18;19
-1;1;806;202.0;169.0;64;0;367;0;-1
7;0;802;212.0;168.0;66;-41;366;41;7
5;-1;803;209.0;179.0;65;-32;368;32;5
5;3;807;201.0;177.0;64;-14;366;14;5
14;2;805;216.0;178.0;62;-7;365;7;14
22;10;811;191.0;105.0;74;-23;374;23;22
50;6;803;223.0;171.0;68;-34;361;34;50
974;-205;658;287.0;21.0;138;-502;352;502;974
33;3;803;213.0;148.0;69;-4;366;4;33
-32;19;797;208.0;150.0;76;-59;384;59;-32
5;0;801;215.0;162.0;67;-49;369;49;5
18;4;804;215.0;147.0;68;2;368;-2;18
-26;-3;803;216.0;165.0;68;-9;374;9;-26
3;-3;801;239.0;160.0;67;2;373;-2;3
4;-2;801;232.0;148.0;67;27;372;-27;4
-8;-4;798;211.0;139.0;69;9;372;-9;-8
13;2;803;221.0;139.0;67;-62;369;62;13
3;0;801;208.0;140.0;69;-54;371;54;3
-17;-3;797;190.0;149.0;71;-16;374;16;-17
25;1;803;190.0;147.0;66;-26;374;26;25
17;-1;799;195.0;148.0;68;-43;376;43;17
33;2;809;158.0;175.0;63;-24;400;24;33
-9;3;802;216.0;164.0;67;-44;374;44;-9
12;-1;797;210.0;168.0;69;-18;376;18;12
-23;2;799;210.0;169.0;67;-40;374;40;-23
-15;8;805;213.0;161.0;65;-31;371;31;-15
-25;5;797;193.0;158.0;70;-33;372;33;-25
-5;1;794;163.0;152.0;73;-40;375;40;-5
15;0;796;161.0;140.0;69;-1;377;1;15
7;0;800;148.0;180.0;73;-31;400;31;7
-13;6;805;210.0;147.0;75;-12;380;12;-13
-35;7;807;236.0;166.0;73;-2;380;2;-35
25;-1;797;201.0;157.0;70;17;378;-17;25
30;2;799;210.0;139.0;68;22;375;-22;30
-13;3;797;186.0;148.0;71;-13;373;13;-13
22;-7;807;262.0;106.0;71;-23;385;23;22
32;-8;805;265.0;170.0;73;-2;383;2;32
-26;7;805;242.0;125.0;75;1;380;-1;-26
-23;64;806;200.0;165.0;71;-6;391;6;-23
13;7;804;284.0;120.0;87;-29;387;29;13
21;2;796;232.0;255.0;80;-22;386;22;21
15;-3;801;127.0;330.0;71;-21;380;21;15
-9;0;802;175.0;131.0;67;-35;369;35;-9
14;2;804;165.0;132.0;66;-16;370;16;14
82;57;811;142.0;184.0;73;16;375;-16;82
-30;-1;795;207.0;164.0;69;14;366;-14;-30
-8;2;797;180.0;159.0;67;21;363;-21;-8
-1;1;787;178.0;133.0;78;10;358;-10;-1
1;-2;790;194.0;149.0;74;-4;362;4;1
-25;-2;799;189.0;162.0;64;-13;367;13;-25
-3;3;799;196.0;141.0;67;-11;363;11;-3
0;4;796;216.0;123.0;71;21;360;-21;0
-16;-6;796;239.0;209.0;70;-12;386;12;-16
-2;-47;792;266.0;238.0;72;-16;404;16;-2
-19;0;795;207.0;168.0;72;20;363;-20;-19
-9;0;795;202.0;177.0;71;-24;363;24;-9
37;-4;797;211.0;188.0;65;34;368;-34;37
5;1;792;222.0;198.0;74;28;361;-28;5
10;-1;794;230.0;184.0;70;7;364;-7;10
17;-4;805;221.0;158.0;57;26;374;-26;17
-13;5;800;218.0;184.0;69;-4;363;4;-13
44;-1;803;204.0;151.0;65;5;368;-5;44
17;1;805;201.0;128.0;64;-7;366;7;17
-1;-47;792;316.0;236.0;72;-16;404;16;-1
-2;-5;794;230.0;144.0;71;27;367;-27;-2
-23;0;801;213.0;166.0;68;-4;366;4;-23
25;1;800;220.0;159.0;68;18;363;-18;25
24;2;801;230.0;168.0;68;7;364;-7;24
12;0;803;250.0;158.0;67;9;367;-9;12
29;-1;801;219.0;168.0;67;-24;367;24;29
-1;-4;799;209.0;143.0;67;12;368;-12;-1
-17;-4;806;221.0;294.0;73;-40;386;40;-17
-8;1;802;234.0;156.0;69;24;365;-24;-8
4;3;805;213.0;167.0;64;17;364;-17;4
-6;-3;801;213.0;171.0;64;-14;368;14;-6
9;-3;802;208.0;158.0;64;24;370;-24;9
11;6;805;218.0;173.0;66;10;362;-10;11
-17;4;800;220.0;156.0;70;-62;360;62;-17
-2;-139;875;376.0;345.0;58;-69;354;69;-2
122;29;801;337.0;112.0;79;-88;383;88;122
1;-2;801;201.0;137.0;65;-8;369;8;1
5;-4;795;192.0;152.0;70;20;368;-20;5
2;-2;800;208.0;146.0;66;21;368;-21;2
-11;-4;798;212.0;158.0;69;-18;369;18;-11
1;0;800;211.0;148.0;69;-20;365;20;1
25;0;807;230.0;158.0;60;-13;367;13;25
-8;-5;796;209.0;170.0;70;-29;368;29;-8
-10;0;802;213.0;161.0;67;19;367;-19;-10
31;-2;798;191.0;139.0;68;11;369;-11;31
6;-2;801;203.0;137.0;66;21;372;-21;6
-5;-3;803;221.0;122.0;65;12;374;-12;-5
4;-2;803;222.0;150.0;66;-49;374;49;4
37;-2;796;201.0;171.0;71;-48;369;48;37
16;-5;794;201.0;144.0;70;-15;371;15;16
-6;0;797;201.0;145.0;71;-4;368;4;-6
-12;0;802;192.0;149.0;66;-18;370;18;-12
-29;-6;801;191.0;129.0;65;-40;376;40;-29
-7;-3;797;191.0;139.0;69;-5;371;5;-7
-1;1;803;202.0;148.0;65;-7;371;7;-1
-27;-5;801;199.0;134.0;64;-32;376;32;-27
15;-3;797;188.0;106.0;69;-14;374;14;15
15;5;805;199.0;109.0;64;-43;374;43;15
11;6;801;244.0;127.0;71;-49;371;49;11
23;-3;798;196.0;117.0;68;-22;376;22;23
-3;-1;799;211.0;127.0;69;-20;374;20;-3
-20;0;792;214.0;143.0;75;-2;369;2;-20
35;4;801;200.0;130.0;69;-23;370;23;35
18;4;803;189.0;115.0;65;-21;374;21;18
9;-14;804;201.0;119.0;57;-11;384;11;9
0;6;795;293.0;191.0;68;-31;400;31;0
8;2;800;169.0;125.0;67;4;374;-4;8
25;4;799;177.0;150.0;69;13;370;-13;25
20;4;807;223.0;140.0;64;-2;365;2;20
-23;2;796;212.0;184.0;72;-54;398;54;-23
2;-7;803;139.0;205.0;78;-36;385;36;2
15;4;806;209.0;124.0;63;-2;366;2;15
-16;1;807;190.0;140.0;61;7;372;-7;-16
13;1;803;193.0;135.0;65;10;369;-10;13
-26;9;802;194.0;172.0;72;-33;389;33;-26
-47;20;802;221.0;163.0;72;-36;384;36;-47
-8;2;799;222.0;130.0;68;20;366;-20;-8
25;-5;797;203.0;152.0;68;36;372;-36;25
16;1;801;204.0;148.0;67;-23;368;23;16
-17;3;806;223.0;128.0;68;-10;400;10;-17
4;2;801;240.0;100.0;66;-39;368;39;4
7;-3;799;199.0;135.0;67;24;368;-24;7
-31;-2;803;220.0;189.0;72;-16;394;16;-31
4;5;807;220.0;163.0;64;10;362;-10;4
4;5;807;221.0;145.0;65;14;362;-14;4
10;2;802;206.0;138.0;66;-19;370;19;10
8;0;801;212.0;109.0;67;6;366;-6;8
6;2;801;191.0;120.0;66;-24;370;24;6
21;4;805;202.0;109.0;65;-5;363;5;21
28;8;807;191.0;119.0;65;-25;366;25;28
-18;-2;803;222.0;136.0;65;18;370;-18;-18
17;0;803;221.0;142.0;63;-1;366;1;17
30;0;802;219.0;112.0;64;4;366;-4;30
-62;-1;818;180.0;142.0;73;-89;394;89;-62
15;4;803;200.0;114.0;67;-8;362;8;15
26;1;805;201.0;122.0;63;-32;366;32;26
18;0;805;199.0;143.0;62;19;367;-19;18
26;-2;797;207.0;128.0;69;-20;368;20;26
36;4;805;231.0;146.0;65;-4;364;4;36
11;0;800;224.0;106.0;68;13;367;-13;11
-4;27;791;216.0;169.0;80;30;382;-30;-4
17;-3;801;221.0;148.0;67;26;368;-26;17
20;-3;801;211.0;140.0;67;27;367;-27;20
-39;15;782;211.0;139.0;70;7;416;-7;-39
-16;-5;797;201.0;137.0;69;3;369;-3;-16
23;2;799;180.0;120.0;70;-4;370;4;23
-3;-6;800;195.0;123.0;64;1;368;-1;-3
37;-5;803;224.0;111.0;64;-33;372;33;37
28;-2;796;181.0;126.0;69;-19;371;19;28
10;-2;799;261.0;281.0;74;10;399;-10;10
-7;5;806;191.0;122.0;64;-15;368;15;-7
1;4;809;213.0;131.0;62;11;364;-11;1
-9;0;797;229.0;121.0;72;7;367;-7;-9
9;1;798;212.0;112.0;71;5;361;-5;9
-7;1;801;206.0;138.0;68;25;369;-25;-7
-16;-6;807;244.0;132.0;66;-41;388;41;-16
5;-2;803;211.0;130.0;66;-24;368;24;5
4;-1;803;212.0;146.0;66;-7;367;7;4
12;-5;797;211.0;111.0;68;23;375;-23;12
-18;-5;816;247.0;184.0;61;-34;388;34;-18
3;-5;797;207.0;132.0;67;4;378;-4;3
27;1;797;199.0;143.0;71;-15;362;15;27
3;3;802;218.0;136.0;67;3;362;-3;3
4;-1;803;213.0;157.0;65;27;368;-27;4
4;-1;799;201.0;149.0;67;-9;364;9;4
17;3;801;211.0;129.0;68;-2;362;2;17
-23;-5;795;211.0;128.0;68;-22;376;22;-23
-8;7;804;181.0;149.0;66;3;361;-3;-8
-20;-3;796;211.0;129.0;67;-10;375;10;-20
-36;1;803;204.0;143.0;63;-10;368;10;-36
1;4;805;201.0;119.0;65;-12;373;12;1
-12;2;801;228.0;150.0;67;-34;367;34;-12
16;0;801;222.0;161.0;64;18;369;-18;16
16;2;804;211.0;141.0;64;-3;374;3;16
24;-1;799;213.0;143.0;68;-7;368;7;24
42;0;797;199.0;146.0;69;4;372;-4;42
-1;-1;801;212.0;147.0;65;-1;368;1;-1
-7;0;799;210.0;148.0;67;-39;367;39;-7
-19;-5;796;197.0;111.0;68;-44;376;44;-19
4;3;798;211.0;129.0;70;21;361;-21;4
1;1;795;201.0;119.0;71;9;361;-9;1
-30;-2;799;193.0;138.0;65;-7;375;7;-30
-2;4;802;201.0;149.0;69;-13;362;13;-2
-27;2;800;199.0;132.0;69;-18;363;18;-27
13;1;803;217.0;169.0;65;8;368;-8;13
11;3;800;202.0;139.0;71;3;364;-3;11
21;0;798;200.0;134.0;69;-34;365;34;21
-1;0;804;218.0;132.0;64;-11;369;11;-1
29;-2;797;214.0;111.0;68;-12;373;12;29
3;2;801;211.0;158.0;68;-4;365;4;3
