InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA magneticY
97.0;278.0;279.0;15;399.0;25.0;541.0;414.0;-575.0
93.0;281.0;279.0;14;419.0;27.0;546.0;406.0;-579.0
88.0;281.0;278.0;14;436.0;25.0;551.0;394.0;-579.0
82.0;285.0;279.0;14;450.0;25.0;557.0;386.0;-582.0
79.0;286.0;280.0;14;457.0;26.0;559.0;380.0;-583.0
76.0;290.0;277.0;14;461.0;30.0;563.0;374.0;-583.0
329.0;297.0;120.0;131;867.0;-532.0;940.0;469.0;-960.0
78.0;298.0;275.0;14;456.0;32.0;566.0;377.0;-582.0
83.0;303.0;270.0;14;450.0;36.0;567.0;383.0;-578.0
91.0;308.0;265.0;14;448.0;40.0;567.0;392.0;-572.0
97.0;312.0;260.0;13;441.0;47.0;567.0;400.0;-565.0
102.0;316.0;257.0;13;433.0;55.0;565.0;409.0;-555.0
110.0;318.0;249.0;13;420.0;66.0;562.0;418.0;-545.0
117.0;321.0;246.0;13;413.0;72.0;562.0;427.0;-537.0
125.0;319.0;244.0;13;408.0;75.0;560.0;435.0;-530.0
132.0;320.0;241.0;14;404.0;77.0;556.0;444.0;-528.0
134.0;319.0;236.0;14;400.0;79.0;554.0;449.0;-525.0
138.0;321.0;235.0;14;397.0;78.0;550.0;450.0;-525.0
137.0;319.0;235.0;14;389.0;74.0;548.0;451.0;-523.0
137.0;318.0;232.0;14;386.0;77.0;547.0;452.0;-521.0
138.0;315.0;231.0;14;380.0;74.0;548.0;452.0;-523.0
133.0;313.0;229.0;14;378.0;73.0;550.0;450.0;-523.0
129.0;311.0;231.0;14;380.0;71.0;549.0;445.0;-526.0
124.0;310.0;232.0;14;385.0;67.0;550.0;440.0;-527.0
123.0;309.0;235.0;13;389.0;65.0;550.0;437.0;-530.0
119.0;307.0;235.0;13;397.0;63.0;552.0;431.0;-532.0
114.0;309.0;236.0;13;407.0;62.0;555.0;427.0;-537.0
107.0;308.0;237.0;14;414.0;61.0;554.0;421.0;-537.0
103.0;311.0;235.0;15;421.0;64.0;557.0;415.0;-536.0
100.0;310.0;236.0;15;424.0;65.0;558.0;409.0;-537.0
92.0;311.0;234.0;15;428.0;63.0;559.0;404.0;-531.0
85.0;311.0;233.0;15;427.0;64.0;561.0;398.0;-531.0
75.0;308.0;226.0;15;421.0;63.0;565.0;394.0;-534.0
78.0;303.0;227.0;15;424.0;66.0;564.0;389.0;-531.0
76.0;299.0;222.0;15;428.0;64.0;558.0;384.0;-528.0
119.0;298.0;182.0;15;332.0;60.0;534.0;460.0;-512.0
116.0;302.0;183.0;15;351.0;65.0;535.0;453.0;-509.0
111.0;309.0;185.0;15;363.0;71.0;539.0;449.0;-507.0
102.0;312.0;183.0;15;381.0;75.0;544.0;435.0;-504.0
95.0;317.0;185.0;15;398.0;83.0;551.0;426.0;-502.0
84.0;321.0;182.0;15;416.0;87.0;557.0;411.0;-497.0
77.0;324.0;183.0;14;431.0;93.0;563.0;399.0;-497.0
67.0;325.0;182.0;14;441.0;99.0;565.0;387.0;-495.0
60.0;326.0;185.0;14;452.0;100.0;572.0;374.0;-492.0
50.0;319.0;203.0;15;483.0;86.0;588.0;351.0;-505.0
53.0;315.0;207.0;15;482.0;82.0;585.0;356.0;-507.0
62.0;311.0;210.0;15;480.0;77.0;583.0;362.0;-512.0
67.0;308.0;213.0;15;474.0;72.0;580.0;369.0;-512.0
72.0;307.0;215.0;15;469.0;68.0;579.0;374.0;-512.0
97.0;298.0;222.0;15;429.0;59.0;568.0;405.0;-514.0
108.0;297.0;224.0;15;415.0;59.0;564.0;415.0;-514.0
120.0;299.0;230.0;15;407.0;58.0;564.0;429.0;-517.0
131.0;300.0;229.0;15;396.0;60.0;561.0;442.0;-517.0
140.0;300.0;234.0;15;386.0;61.0;559.0;453.0;-520.0
149.0;300.0;237.0;15;376.0;64.0;555.0;464.0;-520.0
152.0;304.0;238.0;15;373.0;67.0;555.0;470.0;-525.0
157.0;305.0;240.0;14;371.0;70.0;556.0;473.0;-525.0
158.0;309.0;243.0;14;372.0;69.0;557.0;476.0;-527.0
160.0;313.0;247.0;13;375.0;72.0;558.0;477.0;-528.0
159.0;314.0;249.0;13;382.0;71.0;559.0;475.0;-531.0
162.0;319.0;250.0;13;392.0;68.0;562.0;475.0;-535.0
164.0;321.0;251.0;13;399.0;66.0;564.0;477.0;-539.0
159.0;327.0;250.0;14;408.0;68.0;563.0;472.0;-541.0
154.0;330.0;248.0;13;412.0;69.0;563.0;467.0;-540.0
144.0;333.0;242.0;12;415.0;78.0;568.0;457.0;-533.0
136.0;334.0;238.0;12;416.0;84.0;571.0;451.0;-529.0
128.0;332.0;238.0;12;416.0;88.0;573.0;443.0;-522.0
126.0;331.0;240.0;12;421.0;94.0;571.0;434.0;-514.0
115.0;327.0;242.0;12;421.0;90.0;566.0;422.0;-514.0
112.0;321.0;248.0;13;413.0;79.0;563.0;416.0;-519.0
122.0;309.0;251.0;13;396.0;63.0;556.0;422.0;-526.0
126.0;301.0;249.0;14;377.0;45.0;553.0;435.0;-535.0
135.0;290.0;250.0;14;354.0;28.0;550.0;458.0;-546.0
148.0;283.0;254.0;14;335.0;17.0;547.0;467.0;-554.0
183.0;277.0;252.0;15;277.0;14.0;539.0;515.0;-543.0
187.0;278.0;252.0;15;281.0;16.0;536.0;518.0;-542.0
189.0;281.0;252.0;15;291.0;19.0;535.0;520.0;-544.0
187.0;284.0;254.0;15;300.0;25.0;535.0;517.0;-545.0
186.0;289.0;255.0;15;311.0;31.0;537.0;513.0;-545.0
180.0;292.0;255.0;15;325.0;38.0;541.0;507.0;-541.0
172.0;294.0;254.0;14;345.0;46.0;545.0;502.0;-542.0
166.0;299.0;253.0;14;363.0;54.0;548.0;492.0;-541.0
156.0;306.0;250.0;14;376.0;61.0;551.0;480.0;-540.0
146.0;308.0;247.0;14;392.0;68.0;556.0;466.0;-538.0
136.0;311.0;245.0;15;408.0;74.0;560.0;451.0;-535.0
123.0;311.0;243.0;15;423.0;80.0;569.0;435.0;-531.0
114.0;312.0;243.0;14;435.0;83.0;574.0;423.0;-529.0
107.0;313.0;243.0;14;447.0;87.0;577.0;410.0;-525.0
99.0;314.0;243.0;14;459.0;85.0;579.0;400.0;-525.0
95.0;311.0;242.0;14;465.0;84.0;583.0;393.0;-525.0
95.0;309.0;244.0;15;471.0;81.0;586.0;384.0;-525.0
93.0;308.0;248.0;15;474.0;78.0;587.0;383.0;-526.0
94.0;308.0;252.0;15;477.0;76.0;589.0;383.0;-529.0
99.0;307.0;254.0;16;479.0;71.0;587.0;383.0;-530.0
103.0;304.0;256.0;16;475.0;69.0;586.0;390.0;-530.0
112.0;300.0;258.0;16;466.0;64.0;582.0;400.0;-536.0
219.0;305.0;273.0;16;334.0;72.0;547.0;535.0;-535.0
220.0;306.0;273.0;16;329.0;74.0;546.0;538.0;-538.0
216.0;308.0;273.0;15;330.0;79.0;547.0;535.0;-538.0
214.0;309.0;274.0;15;333.0;79.0;549.0;529.0;-536.0
209.0;312.0;275.0;14;345.0;82.0;551.0;522.0;-540.0
205.0;314.0;279.0;14;360.0;82.0;554.0;516.0;-544.0
199.0;315.0;282.0;15;370.0;78.0;557.0;506.0;-546.0
-162.0;262.0;-20.0;15;564.0;370.0;609.0;68.0;-128.0
-154.0;262.0;-28.0;14;535.0;388.0;601.0;88.0;-106.0
-138.0;263.0;-37.0;13;496.0;397.0;590.0;113.0;-81.0
-129.0;258.0;-44.0;13;465.0;397.0;580.0;138.0;-61.0
-123.0;252.0;-49.0;13;433.0;390.0;572.0;153.0;-39.0
-128.0;247.0;-60.0;13;408.0;372.0;561.0;142.0;-33.0
-143.0;237.0;-66.0;13;383.0;344.0;549.0;119.0;-44.0
-153.0;215.0;-67.0;13;372.0;308.0;541.0;122.0;-57.0
-142.0;196.0;-65.0;13;372.0;273.0;538.0;140.0;-74.0
-121.0;173.0;-63.0;13;379.0;239.0;533.0;152.0;-87.0
-117.0;153.0;-57.0;13;385.0;205.0;533.0;151.0;-99.0
-120.0;141.0;-57.0;13;399.0;170.0;532.0;138.0;-107.0
-132.0;130.0;-52.0;14;425.0;131.0;539.0;116.0;-122.0
-149.0;129.0;-26.0;14;481.0;36.0;544.0;49.0;-174.0
-111.0;149.0;55.0;17;526.0;-23.0;547.0;65.0;-280.0
523.0;-50.0;540.0;144;-384.0;-235.0;297.0;551.0;-616.0
-189.0;804.0;-527.0;-38;942.0;875.0;326.0;54.0;247.0
537.0;549.0;91.0;127;368.0;302.0;271.0;286.0;-247.0
544.0;550.0;78.0;154;371.0;296.0;264.0;287.0;-261.0
548.0;555.0;70.0;138;371.0;289.0;256.0;287.0;-276.0
550.0;558.0;67.0;207;366.0;289.0;245.0;294.0;-291.0
554.0;558.0;58.0;152;361.0;298.0;229.0;302.0;-299.0
186.0;295.0;334.0;18;445.0;65.0;570.0;468.0;-579.0
186.0;301.0;329.0;18;451.0;71.0;574.0;464.0;-574.0
510.0;303.0;293.0;-173;796.0;-476.0;855.0;582.0;-928.0
341.0;540.0;108.0;-162;803.0;-608.0;845.0;454.0;-764.0
188.0;304.0;319.0;18;463.0;77.0;579.0;469.0;-566.0
194.0;304.0;309.0;18;451.0;78.0;577.0;477.0;-557.0
199.0;304.0;308.0;18;444.0;77.0;577.0;485.0;-557.0
203.0;305.0;305.0;18;437.0;74.0;577.0;495.0;-553.0
224.0;309.0;293.0;18;405.0;75.0;566.0;522.0;-546.0
234.0;311.0;287.0;18;397.0;80.0;564.0;533.0;-541.0
245.0;313.0;283.0;18;389.0;84.0;560.0;542.0;-536.0
253.0;318.0;283.0;18;379.0;88.0;556.0;552.0;-534.0
256.0;320.0;281.0;18;368.0;93.0;555.0;555.0;-534.0
255.0;320.0;282.0;18;357.0;94.0;554.0;556.0;-535.0
253.0;324.0;283.0;18;349.0;95.0;556.0;558.0;-537.0
249.0;325.0;284.0;18;347.0;95.0;557.0;554.0;-538.0
250.0;326.0;286.0;18;348.0;96.0;558.0;554.0;-541.0
249.0;328.0;288.0;17;353.0;97.0;560.0;552.0;-544.0
246.0;331.0;289.0;17;366.0;97.0;559.0;551.0;-546.0
246.0;332.0;291.0;17;379.0;97.0;560.0;548.0;-545.0
246.0;333.0;292.0;16;386.0;97.0;562.0;542.0;-546.0
243.0;336.0;292.0;15;398.0;99.0;565.0;538.0;-546.0
236.0;339.0;292.0;15;407.0;100.0;569.0;530.0;-547.0
232.0;341.0;294.0;16;415.0;99.0;574.0;520.0;-548.0
230.0;341.0;291.0;16;422.0;98.0;577.0;516.0;-549.0
229.0;340.0;292.0;15;429.0;100.0;580.0;517.0;-546.0
233.0;339.0;292.0;16;432.0;103.0;580.0;519.0;-542.0
237.0;334.0;293.0;16;435.0;99.0;580.0;526.0;-540.0
256.0;311.0;321.0;16;429.0;72.0;545.0;529.0;-558.0
337.0;390.0;420.0;30;503.0;125.0;557.0;422.0;-589.0
369.0;377.0;387.0;-133;463.0;102.0;528.0;472.0;-615.0
621.0;579.0;329.0;-148;163.0;189.0;288.0;610.0;-436.0
485.0;-42.0;501.0;135;-257.0;-560.0;-807.0;229.0;-974.0
183.0;103.0;280.0;35;176.0;-74.0;426.0;452.0;-702.0
152.0;213.0;239.0;29;197.0;79.0;440.0;435.0;-571.0
113.0;249.0;204.0;27;213.0;126.0;461.0;407.0;-510.0
87.0;259.0;177.0;27;224.0;152.0;474.0;387.0;-475.0
62.0;265.0;151.0;27;242.0;165.0;489.0;369.0;-438.0
40.0;263.0;122.0;27;261.0;181.0;505.0;349.0;-405.0
402.0;575.0;37.0;50;298.0;367.0;134.0;332.0;-119.0
399.0;577.0;29.0;51;328.0;365.0;149.0;320.0;-119.0
103.0;554.0;-246.0;-176;628.0;389.0;-49.0;201.0;262.0
-280.0;553.0;-587.0;-34;714.0;618.0;271.0;-56.0;407.0
400.0;593.0;18.0;52;410.0;375.0;201.0;248.0;-98.0
359.0;359.0;339.0;76;84.0;209.0;372.0;611.0;-494.0
-69.0;279.0;247.0;40;490.0;88.0;598.0;198.0;-415.0
204.0;367.0;216.0;41;271.0;191.0;574.0;551.0;-431.0
221.0;381.0;208.0;41;236.0;204.0;568.0;579.0;-443.0
250.0;389.0;206.0;41;180.0;211.0;556.0;605.0;-449.0
200.0;341.0;134.0;40;157.0;183.0;567.0;594.0;-377.0
157.0;331.0;120.0;39;223.0;182.0;579.0;561.0;-359.0
110.0;321.0;103.0;38;300.0;188.0;589.0;516.0;-335.0
60.0;314.0;81.0;34;392.0;204.0;601.0;449.0;-305.0
7.0;310.0;59.0;31;458.0;222.0;606.0;359.0;-274.0
-51.0;313.0;35.0;33;509.0;248.0;609.0;250.0;-240.0
-116.0;323.0;10.0;32;527.0;281.0;602.0;141.0;-195.0
-330.0;361.0;-63.0;23;558.0;351.0;593.0;-203.0;-91.0
-243.0;467.0;-592.0;-70;751.0;687.0;533.0;74.0;553.0
-352.0;317.0;-112.0;-29;589.0;380.0;585.0;-311.0;-59.0
415.0;596.0;15.0;51;417.0;382.0;211.0;215.0;-91.0
429.0;604.0;9.0;55;407.0;394.0;217.0;187.0;-89.0
444.0;606.0;-2.0;49;382.0;410.0;207.0;176.0;-90.0
495.0;624.0;-19.0;105;341.0;449.0;196.0;211.0;-84.0
-230.0;406.0;-5.0;37;454.0;247.0;587.0;73.0;-387.0
-174.0;404.0;46.0;37;421.0;210.0;578.0;128.0;-435.0
-121.0;395.0;92.0;37;382.0;174.0;568.0;166.0;-481.0
-71.0;385.0;138.0;37;352.0;149.0;558.0;202.0;-513.0
506.0;975.0;27.0;-173;377.0;50.0;244.0;645.0;-227.0
393.0;511.0;245.0;109;574.0;270.0;729.0;563.0;-642.0
466.0;415.0;373.0;-64;542.0;56.0;578.0;345.0;-588.0
371.0;501.0;309.0;151;440.0;140.0;600.0;564.0;-592.0
-144.0;33.0;269.0;73;307.0;-159.0;519.0;149.0;-556.0
15.0;284.0;262.0;88;329.0;85.0;555.0;326.0;-509.0
68.0;319.0;269.0;86;312.0;121.0;543.0;376.0;-503.0
126.0;347.0;281.0;83;293.0;155.0;528.0;433.0;-500.0
182.0;371.0;288.0;81;273.0;184.0;507.0;491.0;-499.0
235.0;388.0;304.0;78;259.0;208.0;480.0;534.0;-503.0
532.0;483.0;351.0;122;496.0;239.0;600.0;663.0;-648.0
13.0;275.0;307.0;16;455.0;73.0;597.0;313.0;-565.0
31.0;276.0;304.0;16;447.0;76.0;597.0;344.0;-558.0
54.0;278.0;298.0;16;419.0;77.0;586.0;387.0;-555.0
74.0;279.0;298.0;16;406.0;76.0;585.0;416.0;-550.0
93.0;276.0;299.0;16;407.0;70.0;586.0;436.0;-549.0
107.0;273.0;297.0;16;390.0;62.0;581.0;453.0;-550.0
117.0;269.0;297.0;16;374.0;54.0;579.0;464.0;-552.0
126.0;267.0;301.0;16;349.0;47.0;572.0;472.0;-552.0
135.0;264.0;304.0;16;339.0;39.0;568.0;478.0;-553.0
142.0;262.0;306.0;16;332.0;32.0;565.0;481.0;-554.0
149.0;261.0;309.0;16;329.0;25.0;561.0;486.0;-555.0
156.0;260.0;311.0;16;327.0;23.0;554.0;492.0;-554.0
162.0;257.0;316.0;16;329.0;20.0;550.0;497.0;-558.0
168.0;257.0;320.0;16;331.0;21.0;545.0;499.0;-560.0
173.0;258.0;324.0;16;334.0;22.0;541.0;503.0;-559.0
169.0;257.0;326.0;16;336.0;23.0;537.0;499.0;-562.0
166.0;260.0;329.0;16;337.0;29.0;533.0;492.0;-563.0
156.0;261.0;329.0;16;336.0;30.0;533.0;482.0;-564.0
149.0;258.0;327.0;16;335.0;34.0;528.0;475.0;-564.0
145.0;259.0;329.0;16;334.0;37.0;528.0;471.0;-566.0
140.0;260.0;328.0;16;332.0;39.0;528.0;469.0;-567.0
160.0;291.0;313.0;16;358.0;-14.0;542.0;482.0;-574.0
161.0;282.0;317.0;16;357.0;-48.0;542.0;483.0;-587.0
294.0;414.0;322.0;77;230.0;243.0;413.0;552.0;-509.0
516.0;386.0;423.0;154;279.0;163.0;407.0;609.0;-603.0
543.0;342.0;411.0;8;-146.0;-223.0;295.0;615.0;-589.0
297.0;326.0;283.0;87;33.0;141.0;357.0;570.0;-448.0
204.0;294.0;261.0;86;272.0;148.0;442.0;494.0;-413.0
161.0;292.0;254.0;62;320.0;148.0;465.0;449.0;-405.0
102.0;286.0;248.0;39;376.0;137.0;494.0;385.0;-401.0
28.0;274.0;240.0;27;443.0;114.0;536.0;303.0;-418.0
-34.0;255.0;241.0;12;476.0;94.0;562.0;227.0;-431.0
-83.0;237.0;247.0;10;500.0;86.0;583.0;175.0;-433.0
-120.0;233.0;225.0;19;525.0;111.0;620.0;158.0;-380.0
-113.0;241.0;209.0;18;521.0;123.0;621.0;172.0;-366.0
-97.0;250.0;201.0;19;508.0;134.0;619.0;191.0;-355.0
-83.0;259.0;197.0;20;486.0;142.0;610.0;209.0;-348.0
-63.0;271.0;198.0;18;457.0;156.0;604.0;237.0;-345.0
-36.0;287.0;204.0;18;420.0;168.0;597.0;280.0;-346.0
2.0;303.0;210.0;18;381.0;175.0;585.0;327.0;-349.0
47.0;318.0;218.0;18;340.0;183.0;572.0;379.0;-355.0
93.0;328.0;224.0;17;306.0;186.0;557.0;430.0;-362.0
140.0;336.0;233.0;17;266.0;191.0;544.0;479.0;-372.0
200.0;342.0;243.0;17;215.0;191.0;523.0;518.0;-388.0
169.0;286.0;294.0;16;355.0;-30.0;533.0;505.0;-570.0
164.0;292.0;287.0;16;351.0;-16.0;534.0;504.0;-561.0
154.0;297.0;278.0;16;347.0;-8.0;535.0;496.0;-555.0
146.0;300.0;271.0;16;346.0;-3.0;536.0;488.0;-550.0
136.0;300.0;265.0;16;346.0;1.0;537.0;478.0;-547.0
125.0;297.0;260.0;16;351.0;1.0;539.0;469.0;-544.0
116.0;294.0;255.0;16;355.0;-1.0;540.0;458.0;-542.0
106.0;293.0;254.0;16;361.0;-5.0;543.0;450.0;-541.0
101.0;289.0;251.0;16;371.0;-10.0;542.0;440.0;-539.0
95.0;285.0;249.0;16;377.0;-17.0;543.0;435.0;-539.0
95.0;281.0;248.0;16;386.0;-18.0;545.0;432.0;-540.0
118.0;307.0;254.0;16;389.0;20.0;553.0;468.0;-537.0
117.0;306.0;257.0;16;388.0;21.0;553.0;468.0;-539.0
118.0;304.0;261.0;16;386.0;17.0;552.0;468.0;-542.0
119.0;304.0;264.0;16;387.0;15.0;552.0;468.0;-547.0
125.0;302.0;267.0;16;385.0;13.0;551.0;470.0;-548.0
127.0;302.0;271.0;16;381.0;13.0;552.0;475.0;-551.0
130.0;297.0;271.0;16;379.0;9.0;550.0;476.0;-554.0
131.0;301.0;272.0;16;375.0;11.0;548.0;477.0;-553.0
132.0;303.0;273.0;16;370.0;9.0;550.0;482.0;-553.0
135.0;301.0;274.0;16;367.0;9.0;547.0;484.0;-554.0
141.0;304.0;276.0;16;364.0;12.0;548.0;489.0;-557.0
145.0;305.0;276.0;16;359.0;14.0;547.0;492.0;-555.0
146.0;305.0;276.0;16;358.0;14.0;549.0;493.0;-554.0
145.0;306.0;275.0;16;356.0;16.0;546.0;493.0;-551.0
148.0;305.0;274.0;16;358.0;16.0;547.0;493.0;-550.0
153.0;306.0;278.0;16;357.0;13.0;547.0;497.0;-553.0
156.0;304.0;278.0;16;357.0;13.0;547.0;502.0;-555.0
159.0;304.0;277.0;16;359.0;13.0;547.0;505.0;-554.0
165.0;303.0;285.0;16;368.0;10.0;547.0;508.0;-559.0
165.0;303.0;287.0;16;368.0;10.0;551.0;508.0;-559.0
164.0;303.0;288.0;16;367.0;11.0;548.0;507.0;-561.0
161.0;305.0;288.0;16;367.0;12.0;549.0;506.0;-561.0
162.0;305.0;290.0;16;367.0;15.0;547.0;506.0;-559.0
