InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK accX;Accelerometer BACK accZ;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
260.0;-899.0;-591.0;297.0;-23.0;715.0
253.0;-944.0;-550.0;357.0;5.0;827.0
272.0;-943.0;-584.0;395.0;-18.0;810.0
240.0;-907.0;-535.0;359.0;-10.0;810.0
180.0;-785.0;-584.0;224.0;111.0;1037.0
277.0;-944.0;-576.0;393.0;-58.0;809.0
210.0;-765.0;-451.0;267.0;41.0;823.0
160.0;-960.0;-458.0;283.0;34.0;861.0
234.0;-925.0;-556.0;305.0;5.0;650.0
253.0;-893.0;-594.0;321.0;-19.0;724.0
279.0;-938.0;-606.0;413.0;-58.0;810.0
280.0;-932.0;-611.0;397.0;-69.0;809.0
381.0;-805.0;-640.0;124.0;-44.0;546.0
189.0;-949.0;-517.0;336.0;-18.0;819.0
269.0;-900.0;-571.0;343.0;-36.0;713.0
208.0;-942.0;-509.0;364.0;-42.0;801.0
280.0;-933.0;-610.0;395.0;-59.0;810.0
279.0;-897.0;-631.0;341.0;-66.0;688.0
276.0;-896.0;-604.0;319.0;-24.0;719.0
284.0;-895.0;-605.0;366.0;-7.0;712.0
260.0;-863.0;-527.0;365.0;148.0;857.0
251.0;-972.0;-550.0;359.0;-5.0;802.0
224.0;-1266.0;-446.0;417.0;-223.0;803.0
287.0;-891.0;-603.0;367.0;9.0;731.0
299.0;-927.0;-642.0;415.0;98.0;721.0
201.0;-950.0;-576.0;349.0;-107.0;823.0
284.0;-881.0;-588.0;377.0;3.0;746.0
285.0;-889.0;-607.0;393.0;-10.0;737.0
283.0;-891.0;-587.0;376.0;10.0;725.0
339.0;-949.0;-670.0;671.0;-16.0;760.0
312.0;-819.0;-592.0;216.0;71.0;778.0
282.0;-935.0;-579.0;398.0;-56.0;780.0
213.0;-938.0;-512.0;366.0;-29.0;790.0
251.0;-889.0;-572.0;339.0;-74.0;764.0
349.0;-818.0;-454.0;253.0;2.0;729.0
129.0;-848.0;-574.0;465.0;-277.0;775.0
141.0;-798.0;-559.0;385.0;41.0;1084.0
254.0;-964.0;-504.0;403.0;-93.0;753.0
284.0;-885.0;-590.0;335.0;-42.0;753.0
341.0;-863.0;-541.0;339.0;-104.0;719.0
279.0;-889.0;-568.0;357.0;-72.0;794.0
349.0;-895.0;-570.0;289.0;-2.0;918.0
234.0;-833.0;-383.0;362.0;-3.0;816.0
236.0;-927.0;-498.0;385.0;9.0;816.0
313.0;-882.0;-392.0;435.0;20.0;819.0
92.0;-946.0;-672.0;423.0;-117.0;777.0
236.0;-927.0;-512.0;375.0;-11.0;786.0
129.0;-980.0;-501.0;355.0;-81.0;712.0
271.0;-980.0;-391.0;311.0;-132.0;735.0
284.0;-935.0;-595.0;377.0;-42.0;774.0
241.0;-899.0;-577.0;387.0;-7.0;770.0
100.0;-1006.0;-580.0;443.0;-187.0;786.0
265.0;-906.0;-601.0;378.0;69.0;783.0
211.0;-951.0;-384.0;316.0;144.0;853.0
269.0;-859.0;-372.0;294.0;71.0;814.0
282.0;-933.0;-607.0;400.0;-60.0;792.0
225.0;-938.0;-524.0;407.0;-38.0;800.0
226.0;-937.0;-551.0;392.0;-20.0;802.0
175.0;-985.0;-557.0;391.0;-109.0;868.0
230.0;-937.0;-534.0;395.0;-43.0;789.0
238.0;-943.0;-535.0;367.0;-35.0;773.0
239.0;-939.0;-548.0;389.0;-23.0;765.0
243.0;-936.0;-558.0;404.0;-7.0;761.0
73.0;-893.0;-737.0;634.0;306.0;717.0
162.0;-981.0;-634.0;498.0;12.0;782.0
280.0;-934.0;-584.0;399.0;-62.0;792.0
270.0;-949.0;-600.0;351.0;-3.0;772.0
265.0;-911.0;-578.0;279.0;47.0;819.0
285.0;-937.0;-600.0;405.0;-66.0;800.0
250.0;-929.0;-569.0;409.0;-11.0;772.0
234.0;-970.0;-666.0;345.0;-71.0;788.0
229.0;-930.0;-571.0;329.0;-45.0;809.0
460.0;-1115.0;-592.0;147.0;-35.0;669.0
222.0;-925.0;-583.0;363.0;-31.0;785.0
298.0;-1294.0;-474.0;231.0;31.0;769.0
244.0;-1016.0;-452.0;334.0;117.0;834.0
270.0;-964.0;-597.0;285.0;0.0;806.0
225.0;-966.0;-692.0;261.0;72.0;898.0
262.0;-952.0;-595.0;337.0;-35.0;812.0
284.0;-939.0;-609.0;435.0;-66.0;787.0
139.0;-772.0;-894.0;325.0;-155.0;1285.0
276.0;-967.0;-605.0;333.0;-49.0;804.0
294.0;-986.0;-545.0;284.0;-21.0;852.0
268.0;-953.0;-580.0;337.0;-37.0;811.0
272.0;-941.0;-600.0;341.0;-22.0;791.0
277.0;-942.0;-600.0;339.0;-39.0;813.0
285.0;-964.0;-621.0;364.0;-24.0;781.0
277.0;-964.0;-628.0;367.0;-63.0;773.0
272.0;-963.0;-607.0;386.0;-53.0;780.0
264.0;-964.0;-616.0;367.0;-35.0;790.0
244.0;-959.0;-668.0;319.0;-56.0;834.0
267.0;-968.0;-604.0;366.0;-28.0;803.0
256.0;-1013.0;-576.0;404.0;-36.0;841.0
376.0;-964.0;-602.0;386.0;31.0;818.0
276.0;-961.0;-615.0;370.0;-36.0;805.0
278.0;-927.0;-614.0;348.0;-36.0;812.0
424.0;-1041.0;-341.0;265.0;-90.0;719.0
384.0;-853.0;-616.0;451.0;108.0;871.0
318.0;-893.0;-751.0;246.0;78.0;1004.0
403.0;-1168.0;-573.0;341.0;-143.0;862.0
257.0;-944.0;-541.0;304.0;59.0;733.0
442.0;-1190.0;-620.0;275.0;-237.0;706.0
92.0;-971.0;-604.0;277.0;-426.0;790.0
284.0;-938.0;-591.0;409.0;-52.0;782.0
268.0;-961.0;-600.0;340.0;-7.0;823.0
263.0;-977.0;-614.0;334.0;-19.0;781.0
239.0;-944.0;-608.0;376.0;-36.0;654.0
276.0;-937.0;-679.0;375.0;127.0;696.0
288.0;-954.0;-676.0;476.0;-29.0;757.0
166.0;-991.0;-679.0;372.0;-39.0;573.0
244.0;-973.0;-666.0;646.0;-20.0;763.0
283.0;-971.0;-626.0;377.0;-44.0;803.0
261.0;-889.0;-575.0;354.0;-183.0;890.0
258.0;-921.0;-553.0;361.0;-107.0;810.0
262.0;-940.0;-523.0;349.0;-169.0;815.0
175.0;-977.0;-633.0;434.0;-39.0;789.0
252.0;-928.0;-570.0;389.0;-13.0;772.0
252.0;-930.0;-570.0;408.0;-20.0;781.0
279.0;-916.0;-571.0;538.0;-81.0;721.0
201.0;-961.0;-663.0;437.0;-28.0;767.0
283.0;-937.0;-606.0;396.0;-61.0;780.0
256.0;-931.0;-569.0;419.0;9.0;773.0
300.0;-948.0;-681.0;458.0;-69.0;763.0
252.0;-929.0;-588.0;393.0;-22.0;782.0
281.0;-936.0;-616.0;408.0;-59.0;787.0
282.0;-938.0;-609.0;409.0;-56.0;787.0
209.0;-915.0;-404.0;339.0;-14.0;875.0
254.0;-933.0;-590.0;379.0;-35.0;791.0
379.0;-930.0;-734.0;588.0;-53.0;698.0
355.0;-938.0;-662.0;569.0;-34.0;758.0
330.0;-942.0;-658.0;355.0;-84.0;748.0
253.0;-935.0;-570.0;368.0;-40.0;772.0
300.0;-943.0;-640.0;382.0;-87.0;782.0
254.0;-934.0;-583.0;368.0;-38.0;781.0
231.0;-981.0;-624.0;378.0;-28.0;768.0
257.0;-931.0;-586.0;384.0;-40.0;760.0
258.0;-936.0;-569.0;384.0;-31.0;765.0
206.0;-982.0;-587.0;475.0;-73.0;838.0
358.0;-930.0;-678.0;334.0;-93.0;723.0
182.0;-832.0;-622.0;381.0;-122.0;689.0
294.0;-960.0;-643.0;446.0;-158.0;811.0
368.0;-935.0;-629.0;398.0;-96.0;850.0
367.0;-931.0;-763.0;416.0;-279.0;625.0
269.0;-934.0;-609.0;402.0;-83.0;759.0
255.0;-932.0;-647.0;359.0;-149.0;747.0
298.0;-939.0;-636.0;386.0;-87.0;769.0
308.0;-942.0;-622.0;394.0;-86.0;761.0
203.0;-1133.0;-837.0;141.0;-308.0;570.0
283.0;-939.0;-588.0;411.0;-82.0;771.0
269.0;-924.0;-647.0;334.0;-67.0;677.0
263.0;-943.0;-619.0;328.0;-13.0;712.0
267.0;-944.0;-620.0;315.0;0.0;733.0
274.0;-941.0;-612.0;325.0;-17.0;738.0
297.0;-939.0;-635.0;315.0;-37.0;759.0
283.0;-937.0;-599.0;408.0;-62.0;780.0
293.0;-930.0;-631.0;296.0;-16.0;762.0
283.0;-939.0;-599.0;412.0;-59.0;782.0
281.0;-940.0;-610.0;408.0;-59.0;782.0
258.0;-836.0;-796.0;141.0;6.0;906.0
345.0;-890.0;-631.0;265.0;36.0;784.0
302.0;-952.0;-683.0;442.0;-75.0;725.0
494.0;-844.0;-608.0;329.0;-162.0;838.0
262.0;-929.0;-583.0;393.0;-22.0;775.0
261.0;-936.0;-595.0;377.0;-49.0;787.0
257.0;-936.0;-614.0;364.0;-39.0;784.0
401.0;-886.0;-578.0;369.0;-112.0;824.0
249.0;-931.0;-596.0;374.0;-57.0;789.0
252.0;-934.0;-570.0;375.0;-69.0;773.0
280.0;-939.0;-590.0;385.0;-69.0;772.0
176.0;-959.0;-702.0;99.0;-141.0;538.0
266.0;-907.0;-566.0;397.0;-136.0;743.0
285.0;-939.0;-590.0;405.0;-58.0;782.0
281.0;-941.0;-589.0;417.0;-49.0;782.0
283.0;-943.0;-605.0;421.0;-63.0;781.0
308.0;-932.0;-616.0;401.0;-88.0;776.0
214.0;-951.0;-655.0;292.0;-35.0;723.0
241.0;-947.0;-613.0;267.0;-57.0;781.0
237.0;-1048.0;-716.0;127.0;-148.0;763.0
337.0;-1090.0;-490.0;336.0;-71.0;867.0
281.0;-917.0;-566.0;249.0;-11.0;800.0
281.0;-931.0;-602.0;324.0;-33.0;797.0
344.0;-913.0;-691.0;354.0;-228.0;727.0
306.0;-884.0;-602.0;420.0;-118.0;791.0
278.0;-934.0;-599.0;338.0;-40.0;770.0
283.0;-935.0;-624.0;341.0;-35.0;770.0
202.0;-968.0;-653.0;364.0;108.0;770.0
260.0;-937.0;-594.0;406.0;-25.0;783.0
403.0;-928.0;-420.0;155.0;-49.0;670.0
310.0;-940.0;-632.0;388.0;-87.0;777.0
254.0;-971.0;-521.0;270.0;-46.0;777.0
287.0;-938.0;-618.0;309.0;-27.0;784.0
243.0;-977.0;-710.0;547.0;-14.0;761.0
358.0;-917.0;-643.0;378.0;-105.0;768.0
306.0;-932.0;-630.0;376.0;-70.0;773.0
128.0;-823.0;-642.0;331.0;-39.0;918.0
296.0;-924.0;-615.0;342.0;-30.0;773.0
167.0;-971.0;-683.0;485.0;17.0;732.0
224.0;-947.0;-668.0;421.0;-5.0;799.0
302.0;-925.0;-618.0;332.0;-27.0;745.0
364.0;-875.0;-669.0;264.0;-33.0;652.0
344.0;-986.0;-640.0;289.0;-81.0;746.0
297.0;-950.0;-669.0;337.0;-38.0;744.0
216.0;-997.0;-636.0;393.0;-4.0;809.0
264.0;-936.0;-579.0;415.0;-12.0;775.0
264.0;-931.0;-582.0;400.0;-3.0;764.0
248.0;-920.0;-572.0;413.0;24.0;720.0
266.0;-924.0;-578.0;398.0;-12.0;771.0
420.0;-886.0;-720.0;285.0;-137.0;688.0
268.0;-925.0;-580.0;390.0;-16.0;790.0
265.0;-930.0;-590.0;408.0;-9.0;791.0
156.0;-989.0;-624.0;456.0;17.0;810.0
193.0;-1030.0;-714.0;397.0;-40.0;793.0
264.0;-933.0;-566.0;403.0;-9.0;792.0
340.0;-945.0;-671.0;376.0;-57.0;753.0
261.0;-932.0;-554.0;405.0;-15.0;787.0
259.0;-986.0;-504.0;233.0;-71.0;846.0
338.0;-975.0;-752.0;282.0;-108.0;641.0
305.0;-930.0;-622.0;375.0;-96.0;763.0
144.0;-987.0;-516.0;532.0;-82.0;851.0
407.0;-957.0;-591.0;444.0;-69.0;794.0
247.0;-953.0;-673.0;325.0;13.0;728.0
118.0;-999.0;-613.0;465.0;2.0;779.0
259.0;-827.0;-765.0;251.0;-122.0;741.0
124.0;-964.0;-647.0;352.0;-243.0;595.0
214.0;-860.0;-506.0;349.0;-94.0;807.0
189.0;-1070.0;-440.0;270.0;18.0;867.0
259.0;-930.0;-582.0;406.0;-26.0;759.0
257.0;-928.0;-596.0;396.0;-31.0;766.0
197.0;-915.0;-550.0;390.0;-33.0;779.0
253.0;-933.0;-607.0;403.0;-20.0;756.0
403.0;-920.0;-402.0;240.0;92.0;624.0
408.0;-904.0;-769.0;456.0;-8.0;650.0
121.0;-929.0;-519.0;233.0;-197.0;744.0
258.0;-939.0;-582.0;397.0;-28.0;757.0
859.0;-475.0;-964.0;-15.0;-335.0;33.0
252.0;-933.0;-580.0;403.0;-29.0;761.0
302.0;-934.0;-610.0;404.0;-97.0;771.0
300.0;-932.0;-611.0;406.0;-88.0;764.0
259.0;-932.0;-580.0;405.0;-39.0;774.0
352.0;-939.0;-555.0;435.0;-265.0;803.0
163.0;-1093.0;-826.0;215.0;-246.0;869.0
263.0;-932.0;-578.0;405.0;-20.0;776.0
258.0;-932.0;-593.0;392.0;-20.0;780.0
259.0;-935.0;-602.0;381.0;-19.0;796.0
295.0;-946.0;-552.0;310.0;-8.0;800.0
241.0;-928.0;-573.0;295.0;-49.0;774.0
192.0;-848.0;-510.0;89.0;-58.0;744.0
269.0;-953.0;-603.0;431.0;-20.0;751.0
135.0;-794.0;-646.0;354.0;49.0;791.0
261.0;-938.0;-573.0;399.0;-15.0;781.0
259.0;-942.0;-569.0;410.0;-14.0;772.0
152.0;-972.0;-651.0;449.0;-2.0;789.0
263.0;-942.0;-580.0;397.0;0.0;782.0
270.0;-938.0;-561.0;400.0;-13.0;772.0
203.0;-918.0;-571.0;286.0;-107.0;944.0
276.0;-929.0;-580.0;403.0;-12.0;793.0
24.0;-993.0;-407.0;443.0;41.0;918.0
212.0;-921.0;-571.0;348.0;-38.0;779.0
231.0;-918.0;-572.0;346.0;-47.0;776.0
241.0;-929.0;-552.0;375.0;-41.0;788.0
243.0;-926.0;-566.0;390.0;-40.0;814.0
277.0;-922.0;-556.0;420.0;-21.0;785.0
303.0;-935.0;-619.0;403.0;-87.0;783.0
303.0;-935.0;-622.0;388.0;-75.0;780.0
299.0;-938.0;-629.0;375.0;-70.0;783.0
300.0;-937.0;-614.0;388.0;-86.0;778.0
248.0;-911.0;-561.0;352.0;-30.0;805.0
300.0;-936.0;-610.0;385.0;-82.0;769.0
238.0;-891.0;-588.0;325.0;-46.0;790.0
260.0;-835.0;-538.0;303.0;-34.0;801.0
230.0;-955.0;-545.0;318.0;-22.0;837.0
151.0;-1221.0;-493.0;195.0;-85.0;743.0
223.0;-870.0;-423.0;316.0;-41.0;753.0
251.0;-897.0;-572.0;323.0;-59.0;743.0
213.0;-950.0;-611.0;135.0;141.0;806.0
383.0;-855.0;-576.0;348.0;-68.0;783.0
315.0;-896.0;-610.0;375.0;-33.0;744.0
422.0;-897.0;-714.0;475.0;4.0;726.0
489.0;-826.0;-584.0;446.0;-87.0;798.0
134.0;-936.0;-471.0;343.0;-28.0;782.0
301.0;-936.0;-605.0;406.0;-85.0;777.0
396.0;-911.0;-643.0;431.0;-66.0;720.0
321.0;-894.0;-613.0;367.0;-47.0;713.0
542.0;-874.0;-453.0;227.0;7.0;628.0
320.0;-897.0;-621.0;344.0;-34.0;706.0
353.0;-848.0;-594.0;237.0;0.0;733.0
297.0;-936.0;-601.0;393.0;-78.0;782.0
294.0;-944.0;-640.0;433.0;-69.0;780.0
142.0;-926.0;-558.0;473.0;-127.0;836.0
71.0;-954.0;-464.0;448.0;-248.0;761.0
398.0;-855.0;-720.0;223.0;-58.0;592.0
588.0;-833.0;-891.0;273.0;-292.0;517.0
294.0;-936.0;-605.0;391.0;-79.0;781.0
404.0;-901.0;-770.0;375.0;-49.0;645.0
165.0;-921.0;-473.0;288.0;-56.0;730.0
85.0;-1048.0;-526.0;402.0;42.0;767.0
81.0;-990.0;-444.0;410.0;-29.0;902.0
144.0;-982.0;-608.0;347.0;79.0;829.0
89.0;-966.0;-570.0;292.0;-177.0;866.0
214.0;-941.0;-567.0;330.0;-28.0;820.0
149.0;-979.0;-638.0;379.0;-80.0;701.0
365.0;-970.0;-398.0;310.0;-52.0;825.0
277.0;-1108.0;-583.0;476.0;13.0;822.0
211.0;-956.0;-384.0;475.0;-5.0;798.0
114.0;-858.0;-819.0;353.0;60.0;913.0
208.0;-950.0;-558.0;301.0;-25.0;828.0
202.0;-951.0;-519.0;316.0;-28.0;768.0
189.0;-946.0;-553.0;272.0;-18.0;794.0
204.0;-966.0;-548.0;215.0;61.0;716.0
213.0;-942.0;-570.0;321.0;0.0;799.0
207.0;-912.0;-573.0;326.0;43.0;802.0
203.0;-945.0;-570.0;314.0;-1.0;801.0
207.0;-949.0;-558.0;289.0;-4.0;789.0
195.0;-971.0;-556.0;304.0;19.0;810.0
294.0;-933.0;-599.0;399.0;-71.0;783.0
232.0;-974.0;-640.0;360.0;-9.0;769.0
179.0;-936.0;-532.0;345.0;19.0;810.0
135.0;-1012.0;-572.0;270.0;9.0;670.0
133.0;-1030.0;-503.0;118.0;83.0;751.0
136.0;-1010.0;-519.0;182.0;-39.0;829.0
166.0;-970.0;-528.0;275.0;4.0;880.0
186.0;-967.0;-559.0;312.0;-20.0;814.0
125.0;-982.0;-518.0;333.0;7.0;808.0
182.0;-1066.0;-450.0;294.0;71.0;848.0
231.0;-962.0;-650.0;357.0;19.0;763.0
243.0;-946.0;-623.0;408.0;119.0;808.0
503.0;-1060.0;-599.0;222.0;25.0;838.0
313.0;-887.0;-562.0;91.0;55.0;733.0
218.0;-956.0;-535.0;319.0;70.0;813.0
86.0;-854.0;-775.0;304.0;38.0;761.0
161.0;-978.0;-522.0;349.0;-70.0;845.0
237.0;-971.0;-542.0;494.0;-234.0;695.0
200.0;-954.0;-752.0;355.0;-119.0;464.0
209.0;-925.0;-518.0;295.0;67.0;858.0
219.0;-959.0;-459.0;152.0;48.0;855.0
233.0;-939.0;-583.0;287.0;-18.0;819.0
225.0;-934.0;-593.0;259.0;-25.0;827.0
142.0;-1132.0;-394.0;324.0;-79.0;784.0
276.0;-851.0;-386.0;191.0;41.0;768.0
405.0;-764.0;-665.0;57.0;-88.0;925.0
377.0;-810.0;-496.0;148.0;-22.0;761.0
364.0;-973.0;-752.0;-10.0;-197.0;404.0
226.0;-804.0;-389.0;384.0;-146.0;787.0
293.0;-937.0;-599.0;398.0;-77.0;773.0
295.0;-938.0;-600.0;403.0;-88.0;780.0
379.0;-892.0;-525.0;492.0;-51.0;858.0
144.0;-968.0;-532.0;414.0;-30.0;847.0
250.0;-951.0;-701.0;332.0;12.0;701.0
208.0;-975.0;-502.0;419.0;-60.0;874.0
291.0;-935.0;-620.0;415.0;-69.0;791.0
292.0;-938.0;-610.0;414.0;-71.0;791.0
289.0;-937.0;-619.0;391.0;-78.0;790.0
289.0;-937.0;-597.0;404.0;-69.0;779.0
289.0;-938.0;-602.0;422.0;-68.0;774.0
285.0;-936.0;-597.0;402.0;-74.0;795.0
287.0;-939.0;-605.0;404.0;-72.0;781.0
283.0;-939.0;-605.0;414.0;-56.0;772.0
284.0;-940.0;-599.0;420.0;-60.0;769.0
284.0;-941.0;-598.0;382.0;-63.0;784.0
323.0;-884.0;-638.0;342.0;-46.0;730.0
544.0;-595.0;-622.0;178.0;-105.0;774.0
395.0;-916.0;-783.0;590.0;-46.0;636.0
259.0;-1319.0;-558.0;326.0;-71.0;738.0
169.0;-1019.0;-603.0;323.0;21.0;754.0
158.0;-1158.0;-629.0;330.0;-315.0;749.0
365.0;-866.0;-843.0;-22.0;-276.0;-249.0
212.0;-997.0;-612.0;360.0;-22.0;771.0
298.0;-934.0;-434.0;341.0;-64.0;877.0
208.0;-964.0;-540.0;398.0;-165.0;829.0
282.0;-939.0;-606.0;387.0;-72.0;785.0
176.0;-983.0;-640.0;433.0;12.0;791.0
305.0;-952.0;-675.0;489.0;-53.0;753.0
107.0;-828.0;-829.0;369.0;35.0;1083.0
216.0;-970.0;-618.0;414.0;58.0;775.0
282.0;-940.0;-618.0;409.0;-79.0;785.0
193.0;-970.0;-605.0;435.0;76.0;961.0
314.0;-990.0;-740.0;432.0;-19.0;1047.0
133.0;-860.0;-591.0;443.0;31.0;664.0
252.0;-1119.0;-712.0;471.0;-24.0;1065.0
310.0;-948.0;-707.0;601.0;-51.0;721.0
251.0;-929.0;-443.0;410.0;-21.0;876.0
191.0;-971.0;-550.0;417.0;-20.0;819.0
342.0;-905.0;-533.0;290.0;4.0;866.0
118.0;-956.0;-649.0;433.0;-56.0;1068.0
358.0;-938.0;-472.0;334.0;-121.0;866.0
352.0;-925.0;-530.0;669.0;90.0;881.0
152.0;-1001.0;-559.0;518.0;-38.0;853.0
332.0;-891.0;-782.0;341.0;-72.0;550.0
449.0;-848.0;-716.0;405.0;-243.0;721.0
219.0;-1074.0;-434.0;284.0;-126.0;895.0
409.0;-903.0;-716.0;445.0;49.0;657.0
210.0;-919.0;-598.0;324.0;107.0;864.0
918.0;-86.0;-848.0;-399.0;-454.0;-381.0
89.0;-997.0;-483.0;417.0;68.0;780.0
167.0;-975.0;-640.0;374.0;57.0;770.0
68.0;-919.0;-617.0;600.0;232.0;586.0
96.0;-976.0;-460.0;466.0;19.0;876.0
205.0;-936.0;-403.0;514.0;49.0;949.0
92.0;-978.0;-398.0;366.0;66.0;917.0
191.0;-973.0;-478.0;396.0;-67.0;886.0
146.0;-950.0;-519.0;433.0;25.0;828.0
128.0;-863.0;-532.0;248.0;77.0;954.0
135.0;-972.0;-670.0;78.0;-146.0;855.0
214.0;-964.0;-439.0;422.0;-91.0;903.0
512.0;-695.0;-722.0;13.0;-116.0;472.0
322.0;-820.0;-601.0;188.0;-108.0;780.0
244.0;-958.0;-470.0;419.0;15.0;1008.0
229.0;-968.0;-428.0;318.0;-92.0;853.0
472.0;-983.0;-426.0;299.0;-198.0;673.0
406.0;-906.0;-736.0;413.0;-46.0;683.0
194.0;-1064.0;-450.0;417.0;-28.0;932.0
177.0;-983.0;-634.0;444.0;98.0;790.0
277.0;-832.0;-447.0;287.0;54.0;1003.0
166.0;-988.0;-734.0;130.0;-24.0;607.0
