InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
8;0;804;180.0;-10.0;60;1;377;-1;8
27;-5;797;193.0;-30.0;64;-19;379;19;27
-4;-3;789;146.0;-48.0;72;-9;373;9;-4
23;1;796;150.0;-51.0;67;6;372;-6;23
57;1;801;141.0;-31.0;63;-3;376;3;57
1;5;798;160.0;-40.0;69;-13;369;13;1
-28;5;794;161.0;-10.0;73;-17;367;17;-28
-32;-2;798;178.0;-1.0;65;7;374;-7;-32
21;-1;800;178.0;-11.0;63;18;374;-18;21
-23;-7;796;195.0;-2.0;67;4;378;-4;-23
-67;-3;797;199.0;26.0;68;6;376;-6;-67
-31;3;799;208.0;-13.0;66;-1;370;1;-31
-18;0;796;159.0;2.0;66;-15;371;15;-18
33;-2;797;174.0;-3.0;66;-44;375;44;33
45;-3;795;182.0;-21.0;67;-50;375;50;45
-23;-1;795;172.0;-10.0;69;-35;373;35;-23
-6;3;797;151.0;21.0;71;-64;372;64;-6
12;-4;791;183.0;38.0;72;-48;376;48;12
-9;-6;796;204.0;-5.0;63;3;380;-3;-9
34;2;796;202.0;-20.0;68;-7;371;7;34
14;1;793;160.0;-3.0;72;-10;372;10;14
-36;1;801;203.0;10.0;64;-7;377;7;-36
3;5;799;173.0;17.0;67;-34;370;34;3
16;-3;795;171.0;30.0;67;9;376;-9;16
25;-3;793;200.0;12.0;69;35;376;-35;25
34;0;797;200.0;10.0;67;-36;374;36;34
8;-2;797;198.0;10.0;65;-29;377;29;8
6;2;795;179.0;5.0;69;-8;371;8;6
15;5;801;197.0;-10.0;67;-25;371;25;15
12;4;797;186.0;-2.0;71;36;372;-36;12
-19;3;798;179.0;8.0;?;22;372;-22;-19
-19;2;801;182.0;20.0;?;-5;374;5;-19
-4;4;800;161.0;10.0;?;17;372;-17;-4
8;2;798;192.0;9.0;?;-28;372;28;8
43;-3;793;189.0;3.0;?;-19;375;19;43
34;0;798;181.0;32.0;?;10;375;-10;34
15;5;802;197.0;14.0;?;-9;370;9;15
11;5;800;210.0;12.0;?;-14;369;14;11
43;-3;803;158.0;-13.0;?;8;380;-8;43
33;-6;785;140.0;-17.0;?;-29;372;29;33
19;-2;798;157.0;-43.0;?;16;376;-16;19
45;3;805;188.0;-12.0;?;36;374;-36;45
-5;0;798;220.0;0.0;66;26;374;-26;-5
-13;-1;795;220.0;0.0;69;28;373;-28;-13
-6;-3;804;201.0;20.0;59;19;379;-19;-6
21;4;798;198.0;7.0;69;1;367;-1;21
27;2;796;165.0;2.0;70;-3;368;3;27
-34;0;803;165.0;10.0;62;6;375;-6;-34
-44;7;793;170.0;8.0;73;43;360;-43;-44
-117;-7;804;176.0;-29.0;55;59;380;-59;-117
-47;45;769;177.0;-42.0;115;-53;302;53;-47
68;55;749;166.0;-1.0;141;-77;279;77;68
-27;-1;809;156.0;22.0;52;22;373;-22;-27
-40;28;816;183.0;29.0;53;1;340;-1;-40
-26;13;791;180.0;7.0;70;17;343;-17;-26
-41;-21;789;166.0;40.0;57;83;380;-83;-41
43;7;794;189.0;45.0;70;-22;354;22;43
53;10;805;175.0;29.0;64;-48;359;48;53
-19;-3;802;151.0;40.0;57;26;369;-26;-19
-9;-4;795;171.0;20.0;65;-35;369;35;-9
6;-12;797;160.0;31.0;58;-35;?;35;6
14;?;793;175.0;51.0;60;3;?;-3;14
28;?;797;204.0;58.0;65;-33;?;33;28
9;?;805;211.0;63.0;59;-28;?;28;9
-6;?;792;191.0;64.0;68;-26;?;26;-6
-40;?;789;167.0;45.0;69;-35;?;35;-40
-75;?;798;176.0;59.0;56;-15;?;15;?
-66;?;784;186.0;105.0;66;-24;?;24;?
-57;?;787;193.0;143.0;72;-32;?;32;?
-70;-4;784;192.0;179.0;69;-20;?;20;?
-56;-14;765;229.0;283.0;77;-1;?;1;?
-29;3;785;282.0;355.0;68;26;?;-26;?
-31;4;791;306.0;474.0;63;-3;?;3;?
-34;10;783;254.0;446.0;74;-11;?;11;-34
4;14;785;252.0;581.0;77;9;?;-9;4
40;-6;780;1.0;53.0;69;-10;372;10;40
46;-3;785;191.0;-32.0;66;-25;371;25;46
30;5;795;15.0;-151.0;65;-35;372;35;30
21;3;799;-54.0;3.0;59;-13;377;13;21
71;6;794;-10.0;59.0;62;28;369;-28;71
76;5;786;136.0;172.0;72;30;366;-30;76
30;3;790;144.0;217.0;69;27;372;-27;30
25;7;799;232.0;312.0;60;54;369;-54;25
24;7;800;241.0;335.0;62;46;369;-46;24
47;4;795;129.0;286.0;70;2;371;-2;47
55;2;795;70.0;142.0;68;30;371;-30;55
44;6;800;152.0;310.0;68;43;371;-43;44
44;3;798;325.0;?;66;49;?;-49;44
26;3;801;255.0;?;61;29;?;-29;26
4;7;801;238.0;?;68;-34;?;34;4
-21;-1;783;276.0;?;70;54;?;-54;-21
33;29;805;182.0;?;74;-2;341;2;33
40;14;818;?;?;85;-117;381;117;40
-41;-37;783;?;?;72;-23;409;23;-41
-1;-13;786;?;?;55;-30;373;30;-1
78;0;803;223.0;?;64;-30;381;30;78
82;7;795;306.0;?;77;53;368;-53;82
41;21;797;301.0;?;77;28;348;-28;41
9;0;800;300.0;?;70;-8;374;8;9
4;-6;799;263.0;?;60;-18;377;18;4
-4;2;801;236.0;?;64;-61;370;61;-4
-5;7;793;215.0;253.0;79;-36;363;36;-5
-12;5;799;212.0;309.0;68;19;366;-19;-12
-12;1;804;268.0;265.0;61;0;373;0;-12
9;1;794;270.0;391.0;72;-12;367;12;9
-10;5;797;328.0;327.0;72;19;?;-19;-10
-54;?;797;304.0;425.0;71;29;?;-29;-54
-36;3;796;10.0;179.0;72;2;?;-2;-36
11;6;805;-16.0;349.0;65;-2;?;2;11
-19;-5;805;1488.0;-994.0;58;13;?;-13;-19
-47;-3;803;-791.0;?;63;14;?;-14;-47
-36;7;807;-40.0;?;65;-16;364;16;-36
-21;-6;799;77.0;?;61;-44;374;44;-21
30;-4;791;260.0;?;71;-28;369;28;30
11;4;797;310.0;?;70;?;365;33;11
-14;-2;796;317.0;?;64;?;371;40;-14
19;-3;790;185.0;?;68;?;368;-9;19
-18;3;789;242.0;?;73;?;363;-36;-18
-49;7;793;233.0;?;72;?;361;-10;-49
-22;2;799;214.0;?;64;?;368;-13;-22
-15;2;795;265.0;?;72;?;368;-43;-15
10;4;797;267.0;?;70;22;366;-22;10
50;2;800;256.0;219.0;66;10;367;-10;50
35;-2;793;213.0;208.0;72;46;368;-46;35
6;-6;800;171.0;208.0;59;27;372;-27;6
16;5;797;184.0;200.0;70;-9;360;9;16
34;9;794;199.0;213.0;78;20;355;-20;34
26;0;797;238.0;200.0;66;32;364;-32;26
-25;4;797;224.0;300.0;70;-13;360;13;-25
-36;8;799;40.0;208.0;72;-44;358;44;-36
3;6;792;190.0;41.0;79;-31;357;31;3
-9;1;792;302.0;55.0;76;1;362;-1;-9
28;-9;801;237.0;162.0;56;30;379;-30;28
66;-12;802;221.0;225.0;54;35;381;-35;66
19;-6;804;180.0;206.0;57;38;375;-38;19
23;-6;804;185.0;260.0;57;37;376;?;23
40;-3;796;189.0;323.0;68;24;367;?;?
5;0;802;223.0;375.0;63;38;?;?;?
-31;1;804;263.0;362.0;64;23;?;?;?
-17;-7;806;347.0;407.0;58;18;?;?;?
-8;-9;802;312.0;241.0;61;-25;?;?;?
-17;11;798;281.0;250.0;79;-66;?;?;?
35;14;819;255.0;265.0;47;-25;?;?;?
30;-3;808;192.0;255.0;53;-159;377;?;?
-24;-12;787;158.0;238.0;74;-203;384;?;?
-2;-13;786;167.0;264.0;65;?;389;?;?
-10;-19;780;185.0;246.0;77;?;399;44;?
-40;-11;789;202.0;242.0;73;?;391;-189;?
23;16;804;248.0;240.0;62;?;357;-178;?
41;17;807;216.0;224.0;67;?;358;-51;?
-26;-2;800;246.0;238.0;68;?;375;-28;-26
5;-3;794;276.0;263.0;68;3;372;-3;5
55;0;799;265.0;261.0;68;27;372;-27;55
28;-3;799;248.0;248.0;66;13;374;-13;28
40;-4;796;287.0;263.0;68;-26;374;26;40
30;-1;799;273.0;277.0;68;-6;372;6;?
-4;2;803;262.0;286.0;64;8;371;-8;?
24;0;796;259.0;263.0;71;7;368;-7;?
22;1;793;-17.0;140.0;74;6;366;-6;?
-29;2;804;114.0;560.0;64;-3;371;3;?
-35;1;800;867.0;156.0;66;-7;370;7;?
16;1;799;-160.0;-324.0;67;-19;370;19;?
-10;-3;799;-357.0;178.0;66;44;373;-44;-10
-48;-10;795;458.0;-161.0;68;65;379;-65;-48
-26;-7;801;197.0;90.0;65;-24;378;24;-26
-19;0;798;169.0;74.0;66;-13;365;13;-19
16;0;798;278.0;115.0;66;6;367;-6;16
3;-5;800;128.0;183.0;61;-10;375;10;3
-71;-4;794;354.0;236.0;68;17;371;-17;-71
-58;-1;795;322.0;200.0;71;-2;370;2;-58
-37;-1;797;203.0;136.0;66;-33;370;33;-37
-58;-2;795;203.0;121.0;66;-16;370;16;-58
-25;-5;796;181.0;117.0;60;-23;375;23;-25
-1;1;794;211.0;198.0;66;-43;367;43;-1
-22;0;786;210.0;165.0;73;-44;364;44;-22
2;-4;788;196.0;146.0;66;-43;369;43;2
35;5;793;142.0;114.0;68;-25;364;25;35
35;6;793;151.0;140.0;69;-23;363;23;35
51;7;796;158.0;128.0;66;-11;364;11;51
79;5;801;205.0;210.0;62;62;369;-62;79
63;-4;796;149.0;234.0;63;110;374;-110;63
20;-5;793;151.0;98.0;68;68;374;-68;20
23;-7;795;308.0;99.0;69;55;376;-55;23
54;-4;792;194.0;154.0;72;74;368;-74;54
36;1;798;197.0;256.0;66;22;366;-22;36
-1;-2;803;194.0;206.0;62;20;372;-20;-1
-5;-1;796;168.0;181.0;69;66;368;-66;-5
-7;-2;800;172.0;232.0;66;53;370;-53;-7
-7;-2;805;188.0;257.0;64;11;371;-11;-7
12;6;799;221.0;228.0;73;-47;358;47;12
8;1;800;192.0;209.0;70;-37;366;37;8
-22;-8;803;224.0;252.0;60;-5;375;5;-22
-36;1;803;244.0;264.0;64;-16;366;16;-36
-14;2;798;246.0;262.0;71;21;364;-21;-14
-12;1;798;233.0;272.0;71;24;364;-24;-12
-89;9;809;237.0;222.0;70;-95;366;95;-89
-135;-10;789;240.0;228.0;70;-159;377;159;-135
-64;-18;775;237.0;240.0;74;-78;382;78;-64
-9;-33;766;198.0;260.0;82;-28;403;28;-9
17;-34;769;217.0;256.0;76;33;404;-33;17
53;15;811;251.0;253.0;63;108;364;-108;53
18;7;803;252.0;294.0;68;12;364;-12;18
7;-15;787;284.0;309.0;69;-27;378;27;7
36;-4;798;279.0;333.0;65;43;373;-43;36
46;-7;794;348.0;286.0;67;41;376;-41;46
33;-2;799;153.0;250.0;66;36;374;-36;33
-4;0;799;216.0;135.0;67;13;371;-13;-4
12;-2;799;285.0;208.0;65;-5;373;5;12
-9;-1;802;156.0;400.0;62;26;373;-26;-9
-41;2;799;310.0;216.0;67;-6;369;6;-41
-21;4;799;-557.0;308.0;69;-15;366;15;-21
4;-3;799;1536.0;-88.0;69;57;374;-57;4
26;-8;793;1937.0;-1057.0;72;23;375;-23;26
-2;-1;797;-1465.0;356.0;69;-17;369;17;-2
18;-2;802;606.0;-221.0;62;47;372;-47;18
38;-3;799;106.0;-189.0;67;5;372;-5;38
-41;-2;799;269.0;-73.0;68;-12;370;12;-41
-58;-1;805;216.0;16.0;60;47;368;-47;-58
-26;6;812;249.0;126.0;58;-35;364;35;-26
-43;-3;810;218.0;191.0;56;-44;374;44;-43
-40;-6;797;361.0;194.0;63;7;370;-7;-40
-42;0;800;256.0;200.0;65;-14;367;14;-42
-54;-4;807;253.0;129.0;56;-27;379;27;-54
-27;-4;809;332.0;168.0;51;-54;380;54;-27
-9;2;811;273.0;149.0;56;-30;377;30;-9
12;?;786;174.0;195.0;87;11;358;-11;12
-5;?;782;203.0;162.0;91;-19;357;19;-5
-60;?;798;202.0;135.0;72;-45;366;45;-60
-41;?;797;175.0;85.0;71;-6;364;6;-41
-26;?;797;168.0;95.0;69;44;371;-44;-26
-36;?;791;151.0;181.0;74;53;370;-53;-36
17;?;799;143.0;179.0;64;25;373;-25;17
27;0;809;212.0;193.0;54;17;373;-17;27
4;2;796;276.0;241.0;69;27;363;-27;4
39;-2;789;250.0;303.0;77;2;363;-2;39
47;?;796;203.0;289.0;71;-6;363;6;47
24;?;805;302.0;155.0;61;11;370;-11;24
1;?;805;239.0;204.0;63;-18;370;18;1
19;?;801;171.0;208.0;67;-10;367;10;19
17;?;803;102.0;172.0;66;19;370;-19;17
-4;?;803;76.0;100.0;68;6;370;-6;-4
23;?;801;165.0;157.0;67;15;369;-15;23
-3;?;802;99.0;189.0;?;10;368;-10;-3
-22;?;803;227.0;254.0;?;6;366;-6;-22
-19;?;803;285.0;291.0;66;5;369;-5;-19
-40;?;805;274.0;299.0;66;23;369;-23;-40
-36;?;807;290.0;299.0;65;14;364;-14;-36
-43;?;804;325.0;303.0;67;0;366;0;-43
-68;?;796;224.0;218.0;70;46;366;-46;-68
-100;?;795;253.0;225.0;73;-76;346;76;-100
-151;19;805;247.0;255.0;72;-157;354;157;-151
-189;-3;797;218.0;250.0;62;-98;377;98;-189
-91;-29;765;222.0;230.0;69;-144;387;144;-91
79;-26;766;203.0;219.0;84;-6;398;6;79
76;6;803;171.0;198.0;67;225;378;-225;76
1;15;809;201.0;210.0;58;123;360;-123;1
-21;14;804;190.0;238.0;68;-9;358;9;-21
-9;9;803;163.0;238.0;64;22;362;-22;-9
35;-11;791;202.0;205.0;67;6;380;-6;35
38;-2;794;291.0;183.0;69;-20;374;20;38
35;3;799;293.0;223.0;66;-35;370;35;35
26;0;793;228.0;295.0;72;15;370;-15;26
-11;4;797;312.0;293.0;71;46;367;-46;-11
-39;2;798;209.0;445.0;69;42;370;-42;-39
-18;-4;793;397.0;284.0;69;76;373;-76;-18
3;-7;797;-389.0;270.0;63;35;377;-35;3
-48;5;804;1608.0;362.0;63;38;366;-38;-48
-3;7;804;411.0;-253.0;62;30;361;-30;-3
43;4;801;-802.0;28.0;65;-8;363;8;43
-23;2;796;104.0;-207.0;71;32;362;-32;-23
0;-1;799;238.0;-197.0;66;28;365;-28;0
42;8;804;190.0;-30.0;68;10;360;-10;42
7;0;797;249.0;41.0;71;28;365;-28;7
16;2;801;314.0;125.0;65;-17;364;17;16
-2;?;806;393.0;194.0;67;-42;360;42;-2
-73;?;801;298.0;208.0;67;-11;368;11;-73
-88;?;805;234.0;174.0;64;5;362;-5;-88
-68;?;799;286.0;166.0;66;22;363;-22;-68
-22;?;797;279.0;89.0;64;-18;367;18;-22
-2;1;804;187.0;119.0;58;-25;367;25;-2
15;3;801;157.0;131.0;61;-6;364;6;15
47;3;801;208.0;111.0;62;-36;366;36;47
36;-2;800;217.0;85.0;62;-9;372;9;36
52;1;796;215.0;41.0;66;-2;366;2;52
47;-4;807;239.0;84.0;53;-37;379;37;47
39;-4;809;233.0;189.0;50;-13;381;13;39
57;7;798;221.0;218.0;70;50;364;-50;57
23;7;792;241.0;218.0;82;40;364;-40;23
12;6;787;250.0;283.0;86;-21;360;21;12
40;8;790;226.0;300.0;83;-2;360;2;40
5;4;796;238.0;267.0;76;35;367;-35;5
-14;-8;801;406.0;167.0;63;31;383;-31;-14
23;-2;807;399.0;22.0;61;12;380;-12;23
24;10;805;204.0;145.0;72;28;366;-28;24
14;3;799;174.0;186.0;75;42;370;-42;14
13;10;794;140.0;207.0;81;-16;357;16;13
-16;5;793;32.0;233.0;78;-9;360;9;-16
-24;-5;807;96.0;228.0;60;-43;378;43;-24
-15;3;?;268.0;255.0;58;-77;371;77;-15
-26;1;?;233.0;256.0;73;-14;368;14;-26
-19;-1;?;295.0;256.0;74;-14;371;14;-19
-23;-4;?;307.0;314.0;63;19;376;-19;-23
-51;-13;?;263.0;299.0;67;7;383;-7;-51
-17;-6;?;231.0;287.0;67;20;377;-20;-17
-16;10;?;240.0;266.0;67;77;360;-77;-16
-67;?;?;197.0;272.0;79;28;352;-28;-67
-48;?;?;194.0;295.0;73;-1;352;1;-48
-106;?;?;199.0;290.0;67;-104;360;104;-106
-187;?;?;174.0;292.0;55;-169;381;169;-187
-57;?;?;219.0;274.0;49;-93;391;93;-57
90;?;?;262.0;256.0;67;?;384;50;90
117;?;?;250.0;285.0;71;?;378;-12;117
115;?;?;229.0;326.0;66;?;367;-69;115
57;?;801;192.0;340.0;71;?;358;-22;57
39;?;810;251.0;306.0;67;-14;364;14;39
51;?;?;224.0;201.0;63;4;371;-4;51
-15;?;?;251.0;220.0;66;31;374;-31;-15
-28;?;?;274.0;202.0;60;46;379;-46;-28
17;?;803;251.0;266.0;62;15;379;-15;17
37;?;796;203.0;342.0;69;-8;376;8;37
53;-7;798;238.0;419.0;65;-20;379;20;53
34;-4;794;244.0;517.0;72;-4;374;4;34
6;5;793;329.0;346.0;81;1;363;-1;6
33;8;804;-250.0;439.0;72;-51;365;51;33
29;2;805;879.0;344.0;65;-17;372;17;29
-25;-1;804;1010.0;-907.0;65;27;374;-27;-25
-44;1;802;-1031.0;415.0;70;-26;372;26;-44
33;0;798;245.0;-165.0;74;-36;372;36;33
50;-2;801;207.0;-60.0;70;8;376;-8;50
-14;-1;801;378.0;48.0;70;9;374;-9;-14
21;1;802;110.0;124.0;68;-4;373;4;21
-4;-1;804;257.0;113.0;65;-2;376;2;-4
11;1;804;240.0;141.0;65;-9;374;9;11
50;1;798;200.0;181.0;71;-32;371;32;50
-39;-1;795;148.0;225.0;73;-54;374;54;-39
-34;1;800;209.0;228.0;68;-30;376;30;-34
2;1;797;272.0;217.0;71;-2;375;2;2
15;3;800;288.0;200.0;69;-12;376;12;15
21;6;805;248.0;229.0;67;14;375;-14;21
-12;4;799;236.0;232.0;73;17;374;-17;-12
-5;1;797;207.0;245.0;73;-45;376;45;-5
6;3;800;210.0;221.0;69;-33;376;33;6
2;5;801;184.0;178.0;69;7;374;-7;2
10;4;799;225.0;190.0;72;-6;374;6;10
-7;0;798;232.0;220.0;71;-14;376;14;-7
-24;0;796;220.0;236.0;71;-15;375;15;-24
15;2;797;209.0;213.0;72;-14;374;14;15
31;2;800;200.0;142.0;69;4;375;-4;31
-8;2;799;187.0;175.0;72;-3;377;3;-8
-16;-1;798;185.0;154.0;69;-26;380;26;-16
-36;-5;801;194.0;138.0;63;-37;385;37;-36
-26;-3;798;170.0;148.0;67;-45;383;45;-26
25;-2;795;211.0;139.0;69;-44;382;44;25
-12;-4;797;170.0;150.0;66;-30;386;30;-12
-36;1;794;?;167.0;70;0;378;0;-36
-10;9;798;?;157.0;70;1;371;-1;-10
13;4;802;?;157.0;65;-17;379;17;13
24;-1;796;?;143.0;70;1;381;-1;24
-4;3;797;?;140.0;72;17;376;-17;-4
-10;3;800;?;137.0;68;6;377;-6;-10
5;-1;793;?;142.0;72;24;377;-24;5
1;2;796;?;126.0;72;42;374;-42;1
9;1;804;?;128.0;62;32;380;-32;9
14;2;800;?;144.0;68;14;374;-14;14
5;11;?;?;134.0;77;15;362;-15;5
19;4;?;?;157.0;69;24;372;-24;19
29;0;?;183.0;149.0;70;-3;375;3;29
20;4;?;181.0;141.0;74;34;367;-34;20
12;2;?;161.0;109.0;66;13;?;-13;12
-7;3;?;151.0;117.0;67;-52;369;52;-7
-26;5;?;140.0;64.0;70;27;365;?;-26
-13;3;?;131.0;66.0;64;49;371;?;-13
5;1;?;147.0;106.0;69;16;368;?;5
-2;2;?;158.0;119.0;70;-3;366;?;-2
-18;0;?;156.0;121.0;69;8;371;?;-18
-4;-1;794;195.0;113.0;75;57;367;-57;-4
6;0;798;192.0;115.0;70;24;367;-24;6
-27;-3;801;177.0;112.0;66;-11;373;11;-27
-36;-2;799;185.0;120.0;68;-13;371;13;-36
-18;0;802;170.0;126.0;67;10;370;-10;-18
1;1;802;193.0;115.0;68;10;369;-10;1
37;5;801;197.0;136.0;71;-14;364;14;37
47;2;804;173.0;132.0;68;-12;368;12;47
31;1;805;171.0;110.0;67;-36;369;36;31
22;8;803;190.0;128.0;71;0;360;0;22
28;0;798;211.0;149.0;72;16;366;-16;28
22;-3;800;189.0;181.0;70;-58;370;58;22
-6;7;807;195.0;184.0;66;-32;364;32;-6
-25;-3;802;198.0;153.0;65;19;372;-19;-25
-26;-4;800;211.0;149.0;66;-18;372;18;-26
-26;7;806;208.0;144.0;65;-6;363;6;-26
-26;3;804;186.0;143.0;66;1;365;-1;-26
-26;3;803;215.0;167.0;68;-9;365;9;-26
-27;5;805;189.0;161.0;67;37;364;-37;-27
-19;0;801;199.0;164.0;68;18;367;-18;-19
-6;0;802;204.0;167.0;67;-16;367;16;-6
-11;1;799;228.0;176.0;70;-7;364;7;-11
-18;-6;795;224.0;171.0;70;-21;368;21;-18
-27;-3;804;213.0;167.0;62;-21;371;21;-27
-17;3;805;192.0;160.0;65;-13;366;13;-17
-7;2;800;191.0;167.0;70;-10;363;10;-7
-45;5;806;171.0;208.0;64;14;364;-14;-45
7;3;807;160.0;186.0;62;-18;367;?;7
23;0;801;152.0;181.0;66;-5;366;?;23
-27;4;804;175.0;185.0;65;49;363;?;-27
12;4;807;181.0;181.0;63;28;366;?;12
-5;2;801;182.0;184.0;70;29;364;?;-5
-12;2;803;200.0;165.0;68;-9;364;?;-12
10;0;804;214.0;169.0;63;-37;366;?;10
-10;3;802;233.0;171.0;68;-19;361;?;-10
21;7;803;229.0;185.0;69;-11;358;?;21
37;2;803;197.0;189.0;66;-2;363;?;37
1;0;803;218.0;187.0;66;-41;365;?;1
-2;0;802;214.0;184.0;68;-12;366;?;-2
5;2;804;218.0;152.0;66;24;364;?;5
-11;6;807;223.0;156.0;65;18;361;?;-11
-16;5;807;202.0;149.0;67;37;362;-37;-16
-33;1;807;201.0;148.0;63;3;365;-3;-33
-40;-1;809;212.0;157.0;60;-15;367;15;-40
12;4;806;208.0;138.0;66;28;360;-28;12
12;0;801;191.0;141.0;69;30;362;-30;12
-18;-2;804;202.0;150.0;65;16;367;-16;-18
6;2;805;201.0;179.0;67;27;364;-27;6
7;-4;797;218.0;179.0;71;19;365;-19;7
6;-2;798;241.0;177.0;73;0;363;0;6
33;-1;798;250.0;207.0;72;-6;362;6;33
24;-5;801;232.0;207.0;68;1;368;-1;24
-12;0;807;233.0;203.0;64;6;367;-6;-12
-4;1;805;217.0;191.0;66;-4;364;4;-4
24;1;805;203.0;162.0;69;3;364;-3;24
10;2;804;186.0;119.0;68;28;364;-28;10
7;2;806;179.0;144.0;66;44;364;-44;7
15;-1;805;200.0;166.0;66;23;366;-23;15
2;-1;803;201.0;188.0;67;-8;365;8;2
-6;1;807;222.0;190.0;64;-13;366;13;-6
-22;-7;802;219.0;227.0;64;11;371;-11;-22
-28;-8;797;200.0;194.0;69;33;368;-33;-28
5;-3;801;201.0;169.0;67;0;365;0;5
-8;-5;802;186.0;137.0;65;-27;368;27;-8
-23;0;801;203.0;151.0;67;-10;364;10;-23
-6;5;805;218.0;150.0;66;-3;362;3;-6
-31;1;802;194.0;159.0;68;-26;365;26;-31
-34;-1;800;215.0;166.0;69;-47;366;47;-34
-53;1;800;211.0;187.0;69;5;365;-5;-53
-62;-2;797;192.0;183.0;70;37;366;-37;-62
-32;0;800;191.0;163.0;67;3;365;-3;-32
2;1;803;191.0;156.0;65;16;365;-16;2
49;-4;798;199.0;167.0;69;15;367;-15;49
-4;4;799;202.0;168.0;72;-16;358;16;-4
-11;4;805;191.0;168.0;64;1;362;-1;-11
29;-6;799;232.0;168.0;66;3;370;-3;29
-10;1;798;228.0;170.0;72;10;363;-10;-10
-7;1;803;201.0;201.0;67;18;365;-18;-7
-8;-7;796;199.0;193.0;70;-31;369;31;-8
-23;-4;799;194.0;176.0;67;2;369;-2;-23
-1;4;807;216.0;162.0;64;19;366;-19;-1
17;1;803;204.0;167.0;68;-34;366;34;17
2;2;803;203.0;197.0;66;16;365;-16;2
-16;6;805;193.0;192.0;66;58;361;-58;-16
7;-5;798;209.0;194.0;69;17;370;-17;7
9;-5;796;248.0;238.0;70;-1;369;1;9
-42;2;800;214.0;232.0;69;-7;364;7;-42
-34;-1;800;227.0;185.0;67;5;366;-5;-34
4;1;801;216.0;168.0;66;26;363;-26;4
-5;5;803;201.0;186.0;68;-8;361;8;-5
17;1;802;192.0;170.0;66;-15;365;15;17
19;-2;805;191.0;139.0;63;18;370;-18;19
-1;1;806;202.0;169.0;64;0;367;0;-1
7;0;802;212.0;168.0;66;-41;366;41;7
5;-1;803;209.0;179.0;65;-32;368;32;5
5;3;807;201.0;177.0;64;-14;366;14;5
14;2;805;216.0;178.0;62;-7;365;7;14
49;7;805;220.0;179.0;65;27;360;-27;49
50;6;803;223.0;171.0;68;-34;361;34;50
50;0;800;214.0;150.0;69;-64;366;64;50
33;3;803;213.0;148.0;69;-4;366;4;33
-32;-1;803;202.0;153.0;66;-53;371;53;-32
5;0;801;215.0;162.0;67;-49;369;49;5
18;4;804;215.0;147.0;68;2;368;-2;18
-26;-3;803;216.0;165.0;68;-9;374;9;-26
