InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK accX;Accelerometer BACK accZ;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
237.0;-940.0;-531.0;363.0;-114.0;859.0
228.0;-950.0;-539.0;350.0;-84.0;898.0
224.0;-953.0;-513.0;334.0;-99.0;899.0
211.0;-972.0;-489.0;349.0;-127.0;885.0
198.0;-986.0;-504.0;392.0;-136.0;897.0
183.0;-992.0;-495.0;395.0;-137.0;910.0
178.0;-991.0;-534.0;395.0;-129.0;921.0
171.0;-995.0;-524.0;407.0;-157.0;884.0
170.0;-1008.0;-482.0;414.0;-132.0;873.0
182.0;-1022.0;-527.0;420.0;-100.0;850.0
186.0;-1015.0;-515.0;416.0;-65.0;851.0
175.0;-980.0;-514.0;401.0;-108.0;828.0
183.0;-979.0;-530.0;443.0;-123.0;861.0
192.0;-978.0;-520.0;400.0;-103.0;843.0
187.0;-959.0;-529.0;377.0;-124.0;846.0
181.0;-978.0;-530.0;344.0;-180.0;867.0
193.0;-965.0;-541.0;367.0;-208.0;846.0
207.0;-957.0;-550.0;371.0;-240.0;827.0
207.0;-973.0;-552.0;415.0;-213.0;829.0
241.0;-967.0;-576.0;418.0;-130.0;810.0
239.0;-964.0;-592.0;423.0;-72.0;808.0
240.0;-954.0;?;435.0;-96.0;833.0
263.0;-955.0;-595.0;434.0;-168.0;844.0
260.0;-957.0;-600.0;416.0;-209.0;834.0
257.0;-971.0;-597.0;407.0;-225.0;814.0
265.0;-972.0;-578.0;383.0;-215.0;825.0
274.0;-977.0;-597.0;422.0;-197.0;836.0
249.0;-958.0;-578.0;378.0;-176.0;831.0
259.0;-955.0;-574.0;400.0;-170.0;828.0
275.0;-959.0;-591.0;399.0;-163.0;813.0
259.0;-972.0;-552.0;430.0;-199.0;800.0
249.0;-959.0;-530.0;461.0;-183.0;819.0
253.0;-947.0;-539.0;448.0;-173.0;831.0
240.0;-945.0;-542.0;431.0;-146.0;809.0
229.0;-958.0;-523.0;431.0;-132.0;827.0
223.0;-955.0;-549.0;378.0;-147.0;718.0
215.0;-940.0;-406.0;299.0;-162.0;660.0
211.0;-925.0;-692.0;348.0;-125.0;933.0
242.0;-910.0;-773.0;354.0;-137.0;943.0
229.0;-752.0;?;189.0;-248.0;874.0
373.0;-1044.0;?;247.0;95.0;736.0
331.0;-1076.0;?;250.0;12.0;738.0
293.0;-980.0;?;146.0;-83.0;793.0
233.0;-966.0;?;207.0;-215.0;861.0
224.0;-843.0;?;324.0;-235.0;877.0
233.0;-891.0;?;459.0;-121.0;816.0
286.0;-1019.0;?;367.0;-2.0;782.0
257.0;-1026.0;?;280.0;-45.0;811.0
246.0;-969.0;?;295.0;-41.0;851.0
210.0;-922.0;?;333.0;-106.0;866.0
220.0;-930.0;?;391.0;-156.0;867.0
187.0;-959.0;?;367.0;-140.0;832.0
194.0;-978.0;?;284.0;-123.0;851.0
212.0;-988.0;-493.0;296.0;-72.0;878.0
189.0;-973.0;-469.0;384.0;-97.0;882.0
144.0;-949.0;-477.0;356.0;-56.0;893.0
144.0;-989.0;-480.0;413.0;-12.0;883.0
158.0;-978.0;-465.0;390.0;-25.0;920.0
120.0;-984.0;-415.0;448.0;14.0;900.0
141.0;-985.0;-432.0;405.0;-29.0;934.0
126.0;-991.0;-443.0;447.0;-57.0;951.0
109.0;-994.0;-420.0;499.0;-30.0;950.0
95.0;-992.0;-420.0;444.0;-37.0;961.0
93.0;-1017.0;-411.0;420.0;-64.0;962.0
88.0;-1025.0;-433.0;473.0;-92.0;956.0
79.0;-1029.0;-468.0;415.0;-57.0;921.0
89.0;-1032.0;-487.0;399.0;-31.0;906.0
103.0;-1028.0;-484.0;389.0;-64.0;884.0
113.0;-1009.0;-480.0;432.0;-76.0;875.0
164.0;-994.0;-481.0;391.0;-122.0;855.0
160.0;-978.0;-507.0;384.0;-166.0;846.0
177.0;-977.0;-544.0;415.0;-167.0;843.0
170.0;-958.0;-520.0;403.0;-177.0;835.0
208.0;-964.0;-540.0;398.0;-165.0;829.0
?;-952.0;-565.0;414.0;-157.0;825.0
?;-953.0;-573.0;404.0;-157.0;841.0
?;-959.0;-591.0;399.0;-174.0;786.0
?;-950.0;-598.0;366.0;-171.0;817.0
?;-963.0;-630.0;391.0;-178.0;810.0
?;?;-598.0;405.0;-204.0;829.0
?;?;-602.0;414.0;-211.0;795.0
?;?;-597.0;431.0;-209.0;796.0
?;?;-606.0;403.0;-171.0;808.0
?;?;-601.0;380.0;-185.0;797.0
?;?;-591.0;356.0;-223.0;789.0
283.0;?;-580.0;371.0;-226.0;820.0
289.0;?;-598.0;385.0;-235.0;834.0
281.0;?;-595.0;395.0;-226.0;830.0
272.0;?;-575.0;392.0;-216.0;821.0
268.0;?;-575.0;366.0;-203.0;836.0
257.0;?;-587.0;372.0;-183.0;769.0
245.0;?;-607.0;397.0;-163.0;748.0
242.0;?;-621.0;?;-193.0;667.0
262.0;?;-605.0;?;-194.0;641.0
295.0;?;-573.0;?;-164.0;586.0
326.0;-864.0;-847.0;?;-57.0;1278.0
308.0;-820.0;-454.0;?;-234.0;581.0
300.0;-737.0;-648.0;?;-224.0;903.0
321.0;-1153.0;-575.0;?;-19.0;717.0
417.0;-972.0;-521.0;?;-4.0;860.0
320.0;-987.0;-553.0;?;-100.0;780.0
288.0;-968.0;-559.0;?;-189.0;874.0
263.0;-909.0;-580.0;250.0;-252.0;851.0
251.0;-944.0;-500.0;373.0;-170.0;829.0
294.0;-976.0;-547.0;374.0;-86.0;831.0
246.0;-998.0;-459.0;317.0;-61.0;823.0
229.0;-968.0;-428.0;318.0;-92.0;853.0
196.0;-953.0;-470.0;406.0;-110.0;864.0
140.0;-950.0;-478.0;429.0;-68.0;894.0
154.0;-944.0;-480.0;392.0;-69.0;904.0
148.0;-978.0;-431.0;374.0;-76.0;959.0
160.0;-1002.0;-460.0;355.0;-36.0;866.0
141.0;-1018.0;-451.0;334.0;-136.0;845.0
136.0;-1026.0;-470.0;459.0;-114.0;877.0
156.0;-988.0;-422.0;430.0;-30.0;842.0
100.0;-977.0;-396.0;411.0;-44.0;854.0
59.0;-995.0;?;430.0;-72.0;868.0
121.0;-955.0;?;438.0;-59.0;873.0
140.0;-933.0;?;406.0;-60.0;917.0
128.0;-978.0;-396.0;424.0;-59.0;918.0
112.0;-967.0;-452.0;405.0;-79.0;937.0
110.0;-993.0;-386.0;416.0;-68.0;885.0
92.0;-988.0;-406.0;415.0;-69.0;912.0
110.0;-1008.0;-399.0;426.0;-53.0;872.0
117.0;-1011.0;-386.0;391.0;-44.0;892.0
112.0;-995.0;-440.0;385.0;-94.0;895.0
93.0;-995.0;-400.0;421.0;-81.0;905.0
86.0;-974.0;-406.0;411.0;-38.0;899.0
61.0;-961.0;-370.0;418.0;-45.0;875.0
130.0;-1005.0;-409.0;407.0;-54.0;889.0
81.0;-998.0;-404.0;415.0;-62.0;895.0
87.0;-993.0;?;430.0;-50.0;908.0
61.0;-981.0;-378.0;438.0;-39.0;894.0
60.0;-977.0;-350.0;492.0;20.0;908.0
74.0;-985.0;-396.0;394.0;24.0;900.0
62.0;-993.0;-425.0;421.0;-18.0;912.0
25.0;-973.0;-423.0;425.0;-49.0;914.0
38.0;-971.0;-428.0;433.0;-50.0;881.0
82.0;-995.0;-399.0;394.0;-83.0;865.0
107.0;-1015.0;-427.0;433.0;-95.0;901.0
90.0;-1002.0;-430.0;442.0;-60.0;886.0
92.0;-978.0;-470.0;432.0;-35.0;885.0
89.0;-983.0;-456.0;442.0;-29.0;875.0
78.0;-976.0;-444.0;434.0;-50.0;876.0
106.0;-984.0;-457.0;429.0;-55.0;876.0
86.0;-962.0;-438.0;403.0;-53.0;888.0
109.0;-981.0;-436.0;424.0;-56.0;876.0
104.0;-986.0;-419.0;440.0;-40.0;869.0
88.0;-980.0;-459.0;411.0;-40.0;875.0
89.0;-987.0;-436.0;432.0;-31.0;890.0
73.0;-974.0;-422.0;437.0;-44.0;929.0
98.0;-978.0;-436.0;398.0;-61.0;906.0
78.0;-975.0;-444.0;414.0;-11.0;942.0
67.0;-995.0;-421.0;433.0;-41.0;902.0
62.0;-1004.0;-446.0;400.0;-58.0;917.0
69.0;-1011.0;-424.0;473.0;-46.0;899.0
72.0;-999.0;-410.0;454.0;0.0;894.0
104.0;-1002.0;-420.0;419.0;-33.0;903.0
84.0;-998.0;-430.0;422.0;-57.0;895.0
75.0;-949.0;-418.0;450.0;-17.0;906.0
89.0;-966.0;-425.0;414.0;-24.0;916.0
101.0;-985.0;-457.0;423.0;-11.0;939.0
80.0;-988.0;-432.0;452.0;-19.0;933.0
87.0;-982.0;-416.0;428.0;-5.0;926.0
113.0;-991.0;-459.0;425.0;-20.0;918.0
118.0;-1023.0;-502.0;424.0;0.0;881.0
94.0;-998.0;-493.0;418.0;31.0;894.0
125.0;-994.0;-471.0;412.0;-16.0;881.0
146.0;-989.0;-455.0;?;-11.0;874.0
160.0;-988.0;-448.0;?;0.0;876.0
177.0;-980.0;-450.0;?;-1.0;875.0
139.0;-979.0;-450.0;?;-33.0;884.0
132.0;-979.0;-450.0;?;-51.0;885.0
132.0;-965.0;-460.0;?;-79.0;885.0
133.0;-979.0;-450.0;?;-99.0;884.0
124.0;-969.0;-447.0;?;-100.0;889.0
120.0;-970.0;-427.0;417.0;-83.0;917.0
114.0;-967.0;-432.0;393.0;-45.0;923.0
111.0;-977.0;-424.0;439.0;-37.0;903.0
112.0;-983.0;-423.0;398.0;-48.0;900.0
100.0;-993.0;-432.0;405.0;-31.0;889.0
105.0;-992.0;-427.0;456.0;-9.0;885.0
103.0;-984.0;-442.0;407.0;-19.0;920.0
117.0;-985.0;-452.0;422.0;-28.0;922.0
104.0;-977.0;-442.0;434.0;-21.0;916.0
107.0;-986.0;-439.0;435.0;0.0;913.0
133.0;-996.0;-432.0;415.0;-10.0;898.0
111.0;-997.0;-411.0;425.0;-1.0;911.0
111.0;-993.0;-390.0;413.0;-38.0;998.0
113.0;-984.0;-372.0;433.0;-55.0;975.0
110.0;-975.0;-426.0;421.0;-36.0;905.0
115.0;-1016.0;-453.0;398.0;-41.0;851.0
31.0;-1047.0;-459.0;437.0;-35.0;851.0
64.0;-1013.0;-468.0;422.0;-26.0;856.0
118.0;-984.0;-489.0;426.0;-38.0;881.0
112.0;-963.0;-458.0;466.0;-23.0;903.0
142.0;-957.0;-467.0;439.0;-10.0;868.0
145.0;-968.0;-421.0;425.0;-33.0;918.0
140.0;-984.0;-375.0;456.0;-4.0;968.0
123.0;-979.0;-431.0;437.0;-16.0;923.0
113.0;-979.0;-432.0;444.0;-29.0;869.0
91.0;-1014.0;-445.0;435.0;-39.0;890.0
73.0;-1008.0;-451.0;447.0;-18.0;887.0
97.0;-993.0;-431.0;462.0;19.0;894.0
93.0;-965.0;-431.0;424.0;-18.0;923.0
122.0;-983.0;-449.0;454.0;-52.0;913.0
113.0;-977.0;-441.0;459.0;-60.0;903.0
103.0;-989.0;-461.0;427.0;-37.0;904.0
101.0;-996.0;-428.0;449.0;-45.0;902.0
107.0;-993.0;-426.0;438.0;-89.0;905.0
120.0;-988.0;-428.0;413.0;-56.0;898.0
114.0;-988.0;-458.0;437.0;-21.0;899.0
105.0;-984.0;-432.0;410.0;-13.0;898.0
103.0;-984.0;-453.0;408.0;-59.0;900.0
105.0;-988.0;-476.0;490.0;-27.0;902.0
119.0;-994.0;-453.0;429.0;-42.0;907.0
111.0;-990.0;-470.0;456.0;-51.0;886.0
138.0;-998.0;-477.0;367.0;-67.0;895.0
121.0;-995.0;-490.0;446.0;-78.0;852.0
124.0;-983.0;-480.0;441.0;-28.0;856.0
131.0;-975.0;-479.0;438.0;-42.0;877.0
137.0;-982.0;-446.0;443.0;-51.0;918.0
170.0;-965.0;-432.0;432.0;-76.0;928.0
172.0;-965.0;-438.0;444.0;-54.0;928.0
154.0;-989.0;-431.0;450.0;-28.0;919.0
125.0;-1011.0;-445.0;455.0;-19.0;880.0
123.0;-1012.0;-470.0;456.0;6.0;903.0
96.0;-1016.0;-452.0;452.0;-8.0;893.0
115.0;-986.0;-449.0;466.0;-14.0;857.0
109.0;-986.0;-465.0;453.0;-24.0;885.0
119.0;-974.0;-476.0;502.0;-2.0;903.0
135.0;-957.0;-441.0;469.0;-29.0;890.0
141.0;-975.0;-473.0;433.0;-52.0;897.0
159.0;-979.0;-463.0;465.0;-11.0;877.0
131.0;-986.0;-469.0;456.0;-29.0;884.0
138.0;-983.0;-450.0;455.0;-29.0;895.0
142.0;-998.0;-480.0;445.0;-39.0;904.0
132.0;-989.0;-457.0;443.0;-40.0;915.0
126.0;-979.0;-464.0;436.0;-35.0;910.0
121.0;-988.0;-467.0;446.0;-34.0;907.0
120.0;-989.0;-462.0;424.0;-48.0;907.0
122.0;-997.0;-490.0;398.0;-40.0;895.0
108.0;-1001.0;-474.0;419.0;-55.0;881.0
114.0;-1003.0;-463.0;417.0;-65.0;867.0
122.0;-993.0;-464.0;419.0;-64.0;849.0
133.0;-1000.0;-478.0;395.0;-52.0;850.0
122.0;-982.0;-519.0;426.0;-41.0;879.0
131.0;-977.0;-474.0;414.0;?;860.0
118.0;-963.0;-494.0;402.0;?;868.0
120.0;-980.0;-492.0;389.0;?;896.0
124.0;-980.0;-489.0;374.0;?;858.0
115.0;-973.0;-500.0;415.0;-49.0;895.0
116.0;-995.0;-499.0;393.0;-37.0;865.0
126.0;-989.0;-478.0;396.0;-45.0;869.0
115.0;-989.0;-482.0;379.0;-83.0;863.0
122.0;-999.0;-473.0;382.0;-72.0;875.0
125.0;-990.0;-464.0;392.0;-41.0;878.0
115.0;-986.0;-495.0;387.0;-64.0;864.0
110.0;-986.0;-438.0;396.0;-46.0;845.0
104.0;-1000.0;-469.0;395.0;-35.0;880.0
111.0;-988.0;-513.0;395.0;-80.0;922.0
112.0;-966.0;-440.0;435.0;24.0;899.0
107.0;?;-410.0;427.0;?;885.0
110.0;?;-463.0;403.0;?;?
101.0;?;-439.0;413.0;?;?
89.0;?;-426.0;424.0;?;?
92.0;?;-469.0;415.0;?;?
102.0;-989.0;-470.0;425.0;?;?
94.0;-980.0;-447.0;424.0;?;?
89.0;-996.0;-450.0;415.0;?;905.0
90.0;-986.0;-513.0;429.0;?;949.0
78.0;-988.0;-446.0;444.0;?;884.0
80.0;-972.0;-444.0;414.0;?;891.0
85.0;-1031.0;-452.0;429.0;?;910.0
72.0;-1001.0;-468.0;429.0;?;884.0
82.0;-978.0;-463.0;384.0;?;873.0
86.0;-1004.0;-461.0;448.0;-52.0;909.0
