Accelerometer LUA^ accZ;Accelerometer LUA^ accY;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;Accelerometer LWR accY;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;InertialMeasurementUnit LUA accX
772.0;242.0;801.0;?;-1308.0;-1024.0;-1044.0;1049.0;1413.0;-753.0;-205.0
902.0;253.0;662.0;?;-1185.0;-880.0;-921.0;1041.0;1347.0;-870.0;-209.0
1059.0;166.0;647.0;?;-1039.0;-795.0;-855.0;1007.0;1132.0;-968.0;-276.0
1297.0;185.0;690.0;?;-1005.0;-818.0;-891.0;1024.0;904.0;-982.0;-381.0
1374.0;126.0;685.0;?;-1051.0;-909.0;-867.0;1040.0;745.0;-859.0;-388.0
1247.0;119.0;715.0;-733.0;-999.0;-1013.0;-965.0;1025.0;652.0;-802.0;-434.0
1068.0;206.0;830.0;-689.0;-916.0;-1073.0;-905.0;1019.0;645.0;-663.0;-403.0
989.0;226.0;888.0;-704.0;-857.0;-1017.0;-870.0;1030.0;745.0;-605.0;-342.0
871.0;222.0;863.0;-787.0;-791.0;-989.0;-975.0;1031.0;851.0;-581.0;-350.0
1051.0;69.0;876.0;-330.0;-1062.0;-751.0;-932.0;1026.0;682.0;-723.0;-245.0
718.0;115.0;920.0;-278.0;-1028.0;-683.0;-779.0;1041.0;695.0;-699.0;-234.0
995.0;80.0;906.0;-330.0;-1021.0;-529.0;-640.0;1011.0;649.0;-720.0;-245.0
896.0;118.0;917.0;-379.0;-1065.0;-431.0;-630.0;1004.0;585.0;-785.0;-247.0
1007.0;155.0;904.0;-371.0;-1083.0;-430.0;-715.0;1051.0;520.0;-813.0;-262.0
989.0;153.0;935.0;-384.0;-1098.0;-435.0;-791.0;1016.0;376.0;-907.0;-303.0
970.0;119.0;947.0;-387.0;-991.0;-484.0;-750.0;1042.0;242.0;-890.0;-302.0
944.0;91.0;994.0;-413.0;-974.0;-494.0;-764.0;1035.0;182.0;-943.0;-356.0
944.0;119.0;909.0;-398.0;-993.0;-493.0;-813.0;1020.0;169.0;-984.0;-407.0
871.0;82.0;890.0;-379.0;-992.0;-524.0;-902.0;1031.0;194.0;-1008.0;-424.0
782.0;26.0;858.0;-409.0;-1005.0;-564.0;-814.0;1020.0;226.0;-1027.0;-451.0
780.0;100.0;796.0;-429.0;-1002.0;-529.0;-797.0;1022.0;263.0;-1018.0;-451.0
875.0;114.0;735.0;-409.0;-926.0;-559.0;-738.0;1018.0;255.0;-1069.0;-501.0
855.0;144.0;703.0;-476.0;-900.0;-553.0;-624.0;1029.0;308.0;-1145.0;-514.0
890.0;163.0;653.0;-568.0;-826.0;-526.0;-564.0;1033.0;277.0;-1137.0;-567.0
861.0;186.0;656.0;-767.0;-756.0;-562.0;-674.0;1027.0;316.0;-1045.0;-554.0
843.0;232.0;709.0;-1093.0;-715.0;-686.0;-709.0;1034.0;365.0;-961.0;-533.0
857.0;270.0;774.0;-1112.0;-695.0;-755.0;-597.0;1022.0;359.0;-867.0;-545.0
813.0;265.0;790.0;-1121.0;-660.0;-1140.0;-987.0;1027.0;387.0;-719.0;-509.0
812.0;267.0;824.0;-957.0;-700.0;-1311.0;-1475.0;1018.0;497.0;-715.0;-473.0
800.0;289.0;830.0;-856.0;-851.0;-1369.0;-1290.0;1019.0;628.0;-636.0;-421.0
795.0;271.0;816.0;-737.0;-1186.0;-1343.0;-1406.0;1036.0;931.0;-486.0;-331.0
751.0;232.0;762.0;-672.0;-1407.0;-1206.0;-1131.0;1034.0;1270.0;-501.0;-161.0
817.0;249.0;690.0;-682.0;-1236.0;-1030.0;-1029.0;1021.0;1225.0;-890.0;-294.0
872.0;215.0;639.0;-756.0;-1210.0;-914.0;-973.0;1021.0;1277.0;-930.0;-204.0
1044.0;135.0;642.0;-870.0;-1048.0;-836.0;-836.0;1021.0;1128.0;-944.0;-227.0
1197.0;134.0;760.0;-978.0;-1034.0;-889.0;-892.0;1012.0;965.0;-855.0;-301.0
1300.0;163.0;855.0;-971.0;-1049.0;-1006.0;-1034.0;1041.0;810.0;-754.0;-319.0
1200.0;66.0;923.0;-934.0;-940.0;-1161.0;-1104.0;1029.0;704.0;-730.0;-321.0
1084.0;147.0;922.0;-828.0;-850.0;-1256.0;-1174.0;1032.0;737.0;-590.0;-321.0
981.0;157.0;947.0;-777.0;-814.0;-1277.0;-1157.0;1044.0;845.0;-544.0;-328.0
1037.0;140.0;644.0;-2.0;-940.0;45.0;90.0;1036.0;356.0;-712.0;-317.0
726.0;46.0;697.0;-87.0;-852.0;93.0;238.0;1048.0;157.0;-647.0;-401.0
972.0;135.0;762.0;-224.0;-764.0;183.0;619.0;1013.0;-24.0;-482.0;-481.0
874.0;141.0;677.0;246.0;-592.0;269.0;784.0;1028.0;-151.0;-414.0;-508.0
795.0;149.0;886.0;567.0;-551.0;391.0;1066.0;1032.0;-226.0;-448.0;-572.0
678.0;184.0;1005.0;962.0;-534.0;652.0;1616.0;1002.0;-281.0;-406.0;-708.0
595.0;235.0;970.0;1097.0;-638.0;968.0;2014.0;1041.0;-330.0;-341.0;-806.0
488.0;257.0;771.0;1489.0;-721.0;1386.0;2099.0;1004.0;-412.0;-367.0;-856.0
494.0;354.0;838.0;1447.0;-853.0;1562.0;2011.0;1041.0;-567.0;-649.0;-826.0
541.0;520.0;596.0;1384.0;-860.0;1710.0;2261.0;1062.0;-823.0;-976.0;-736.0
630.0;618.0;546.0;1253.0;-751.0;1770.0;2193.0;993.0;-1204.0;-1087.0;-794.0
940.0;798.0;507.0;1156.0;-789.0;1585.0;1612.0;1033.0;-1507.0;-1188.0;-929.0
998.0;725.0;579.0;1115.0;-711.0;1316.0;1227.0;1026.0;-1691.0;-1314.0;-907.0
863.0;524.0;554.0;1043.0;-479.0;971.0;1044.0;1038.0;-1824.0;-1287.0;-1039.0
734.0;749.0;568.0;986.0;-604.0;932.0;1144.0;1036.0;-1627.0;-989.0;-1015.0
694.0;878.0;548.0;929.0;-518.0;853.0;1275.0;1026.0;-1409.0;-1028.0;-1040.0
546.0;905.0;502.0;919.0;-406.0;812.0;1246.0;1042.0;-1098.0;-1076.0;-1052.0
389.0;929.0;469.0;973.0;-441.0;765.0;1135.0;1022.0;-991.0;-888.0;-998.0
487.0;847.0;440.0;1081.0;-429.0;748.0;1101.0;1038.0;-975.0;-779.0;-975.0
306.0;885.0;371.0;1120.0;-377.0;791.0;1128.0;1032.0;-955.0;-701.0;-938.0
210.0;969.0;322.0;1070.0;-352.0;893.0;1191.0;1049.0;-897.0;-612.0;-891.0
344.0;1013.0;303.0;1067.0;-338.0;1006.0;1187.0;1041.0;-871.0;-595.0;-861.0
386.0;999.0;281.0;1019.0;-349.0;1025.0;1128.0;1020.0;-860.0;-659.0;-848.0
397.0;?;321.0;982.0;-330.0;1025.0;1114.0;1024.0;-939.0;-610.0;-928.0
386.0;911.0;308.0;997.0;-260.0;1001.0;1135.0;1039.0;-1062.0;-534.0;-1031.0
358.0;908.0;303.0;967.0;-170.0;965.0;1112.0;1018.0;-1099.0;-441.0;-1054.0
286.0;912.0;314.0;956.0;-139.0;962.0;1143.0;1038.0;-1073.0;-340.0;-1019.0
304.0;1010.0;339.0;889.0;-107.0;948.0;1112.0;1034.0;-1054.0;-281.0;-988.0
232.0;1043.0;367.0;875.0;-54.0;935.0;1044.0;1035.0;-1042.0;-249.0;-977.0
164.0;1021.0;383.0;892.0;-50.0;908.0;983.0;1038.0;-1038.0;-250.0;-979.0
192.0;?;370.0;861.0;-50.0;848.0;936.0;1050.0;-1035.0;-254.0;-989.0
142.0;?;385.0;868.0;-88.0;814.0;942.0;1037.0;-1029.0;-240.0;-1005.0
147.0;?;405.0;900.0;-113.0;820.0;936.0;1036.0;-995.0;-222.0;-995.0
134.0;?;426.0;872.0;-142.0;829.0;940.0;979.0;-954.0;-211.0;-982.0
168.0;?;454.0;914.0;-169.0;813.0;945.0;1049.0;-939.0;-230.0;-992.0
150.0;?;450.0;923.0;-163.0;816.0;942.0;989.0;-930.0;-248.0;-995.0
161.0;?;413.0;957.0;-160.0;797.0;1017.0;1130.0;-916.0;-241.0;-988.0
230.0;?;397.0;962.0;-193.0;855.0;1080.0;786.0;-925.0;-243.0;-994.0
225.0;?;417.0;990.0;-218.0;896.0;1101.0;1337.0;-936.0;-272.0;-994.0
245.0;?;395.0;1001.0;-217.0;899.0;1093.0;1054.0;-923.0;-323.0;-960.0
276.0;?;381.0;1019.0;-217.0;908.0;1099.0;1102.0;-956.0;-380.0;-971.0
285.0;?;383.0;1007.0;-164.0;921.0;1078.0;977.0;-982.0;-421.0;-977.0
271.0;?;372.0;1011.0;-158.0;914.0;1069.0;961.0;-985.0;-411.0;-971.0
267.0;?;388.0;1005.0;-194.0;891.0;1050.0;945.0;-976.0;-379.0;-972.0
271.0;951.0;378.0;980.0;-225.0;871.0;1051.0;884.0;-996.0;-399.0;-987.0
225.0;937.0;388.0;963.0;-161.0;879.0;1016.0;940.0;-988.0;-457.0;-975.0
226.0;915.0;344.0;914.0;-130.0;854.0;1005.0;926.0;-973.0;-451.0;-966.0
245.0;942.0;315.0;885.0;-139.0;847.0;1000.0;920.0;-961.0;-397.0;-971.0
215.0;982.0;326.0;863.0;-150.0;842.0;995.0;1076.0;-962.0;-387.0;-972.0
198.0;952.0;415.0;841.0;-158.0;793.0;901.0;940.0;-957.0;-413.0;-963.0
221.0;934.0;228.0;627.0;-187.0;787.0;803.0;1027.0;-936.0;-404.0;-945.0
215.0;956.0;524.0;907.0;-203.0;747.0;775.0;1065.0;-927.0;-382.0;-936.0
222.0;958.0;414.0;1429.0;-245.0;626.0;548.0;1006.0;-894.0;-315.0;-905.0
215.0;960.0;422.0;1252.0;-283.0;585.0;1186.0;982.0;-850.0;-361.0;-880.0
232.0;940.0;272.0;905.0;-135.0;1184.0;1538.0;1021.0;-853.0;-393.0;-841.0
244.0;920.0;359.0;835.0;-157.0;1289.0;1135.0;995.0;-779.0;-337.0;-781.0
256.0;894.0;404.0;815.0;-131.0;947.0;770.0;963.0;-586.0;-304.0;-597.0
223.0;834.0;473.0;903.0;-347.0;779.0;824.0;967.0;-1006.0;-251.0;-1134.0
245.0;839.0;539.0;956.0;-201.0;827.0;1007.0;936.0;-1507.0;-410.0;-1461.0
194.0;633.0;459.0;940.0;-156.0;810.0;1261.0;948.0;-1162.0;-312.0;-1123.0
226.0;779.0;424.0;906.0;-372.0;900.0;1258.0;970.0;-798.0;-255.0;-865.0
493.0;1470.0;430.0;908.0;-492.0;868.0;1116.0;987.0;-842.0;-338.0;-889.0
?;1159.0;440.0;945.0;-185.0;820.0;1016.0;993.0;-913.0;-620.0;-820.0
?;869.0;422.0;958.0;-157.0;821.0;978.0;998.0;-974.0;-524.0;-955.0
?;686.0;387.0;952.0;-287.0;839.0;1010.0;970.0;-1047.0;-269.0;-1071.0
?;797.0;375.0;929.0;-241.0;868.0;1057.0;1003.0;-959.0;-297.0;-1017.0
?;811.0;393.0;893.0;-248.0;877.0;1029.0;882.0;-927.0;-387.0;-969.0
?;1037.0;407.0;917.0;-233.0;863.0;1010.0;898.0;-936.0;-415.0;-970.0
?;1045.0;408.0;942.0;-175.0;834.0;953.0;832.0;-971.0;-371.0;-1000.0
?;935.0;398.0;943.0;-156.0;833.0;958.0;911.0;-980.0;-303.0;-1013.0
?;921.0;408.0;952.0;-185.0;841.0;1016.0;664.0;-964.0;-299.0;-1001.0
?;931.0;417.0;964.0;-218.0;855.0;980.0;1909.0;-941.0;-330.0;-974.0
?;959.0;418.0;1006.0;-226.0;851.0;951.0;1230.0;-917.0;-353.0;-952.0
?;946.0;413.0;1023.0;-228.0;858.0;990.0;?;-926.0;-362.0;-954.0
?;925.0;396.0;950.0;-241.0;875.0;1050.0;?;-944.0;-358.0;-976.0
?;909.0;400.0;930.0;-238.0;911.0;1028.0;?;-943.0;-363.0;-973.0
?;912.0;413.0;933.0;-238.0;875.0;943.0;968.0;-935.0;-374.0;-968.0
?;929.0;411.0;918.0;-236.0;839.0;972.0;1039.0;-953.0;-382.0;-986.0
?;934.0;383.0;956.0;-227.0;840.0;981.0;1141.0;?;-376.0;-1026.0
?;913.0;359.0;936.0;-237.0;831.0;993.0;938.0;?;-392.0;-1026.0
?;939.0;366.0;935.0;-260.0;830.0;996.0;1018.0;?;-411.0;-961.0
322.0;958.0;367.0;917.0;-268.0;839.0;958.0;982.0;?;-413.0;-940.0
329.0;986.0;378.0;926.0;-229.0;823.0;1005.0;1000.0;-915.0;-424.0;-927.0
301.0;952.0;370.0;948.0;-197.0;848.0;955.0;987.0;-908.0;-405.0;-919.0
286.0;920.0;378.0;977.0;-211.0;828.0;983.0;1000.0;-918.0;-376.0;-929.0
267.0;929.0;361.0;990.0;-185.0;845.0;1016.0;1020.0;-911.0;-367.0;-919.0
254.0;922.0;349.0;1000.0;-180.0;869.0;1056.0;1011.0;-917.0;-347.0;-928.0
244.0;922.0;339.0;1000.0;-178.0;906.0;1059.0;1033.0;-914.0;-336.0;-925.0
253.0;937.0;345.0;986.0;-175.0;920.0;1018.0;1037.0;-919.0;-330.0;-932.0
244.0;899.0;380.0;958.0;-178.0;915.0;995.0;1009.0;-960.0;-323.0;-979.0
241.0;901.0;365.0;948.0;-157.0;892.0;994.0;1030.0;-995.0;-326.0;-1005.0
220.0;891.0;376.0;926.0;-142.0;876.0;986.0;1088.0;-1004.0;-300.0;-1019.0
227.0;926.0;409.0;927.0;-152.0;880.0;1007.0;1098.0;-991.0;-286.0;-1010.0
220.0;973.0;412.0;932.0;-180.0;853.0;1012.0;1038.0;-975.0;-297.0;-991.0
235.0;988.0;410.0;936.0;-178.0;849.0;1007.0;1031.0;-961.0;-310.0;-980.0
243.0;983.0;391.0;948.0;-173.0;831.0;1022.0;995.0;-961.0;-310.0;-985.0
248.0;962.0;376.0;960.0;-176.0;858.0;989.0;989.0;-964.0;-312.0;-984.0
221.0;933.0;379.0;979.0;-188.0;868.0;1008.0;1007.0;-953.0;-313.0;-978.0
232.0;928.0;386.0;956.0;-185.0;868.0;1009.0;971.0;-949.0;-331.0;-975.0
249.0;936.0;381.0;949.0;-207.0;879.0;1005.0;957.0;-959.0;-355.0;-984.0
233.0;948.0;395.0;883.0;-194.0;870.0;988.0;958.0;-953.0;-360.0;-976.0
252.0;941.0;337.0;779.0;-189.0;871.0;940.0;886.0;-950.0;-355.0;-970.0
265.0;958.0;349.0;658.0;-187.0;812.0;895.0;941.0;-952.0;-364.0;-969.0
254.0;958.0;561.0;1385.0;-177.0;792.0;674.0;982.0;-949.0;-369.0;-966.0
256.0;921.0;404.0;1150.0;-191.0;499.0;984.0;1003.0;-948.0;-361.0;-965.0
262.0;941.0;334.0;877.0;-189.0;1048.0;1524.0;1024.0;-920.0;-357.0;-939.0
245.0;938.0;364.0;790.0;-199.0;1271.0;930.0;1039.0;-872.0;-346.0;-892.0
252.0;925.0;368.0;898.0;-186.0;759.0;?;996.0;-710.0;-365.0;-723.0
226.0;933.0;433.0;1042.0;-284.0;737.0;?;987.0;-722.0;-280.0;-750.0
234.0;869.0;441.0;1067.0;-400.0;760.0;?;1002.0;-1475.0;-372.0;-1436.0
239.0;828.0;400.0;896.0;-198.0;932.0;?;1000.0;-1111.0;-457.0;-1068.0
165.0;611.0;447.0;810.0;-348.0;1034.0;?;996.0;-723.0;-376.0;-767.0
468.0;1166.0;475.0;836.0;-366.0;904.0;?;985.0;-757.0;-376.0;-793.0
408.0;1311.0;471.0;879.0;-89.0;772.0;?;976.0;-905.0;-471.0;-846.0
154.0;794.0;425.0;911.0;-159.0;775.0;?;993.0;-1098.0;-370.0;-1049.0
249.0;697.0;391.0;922.0;-231.0;776.0;?;961.0;-1068.0;-283.0;-1054.0
189.0;720.0;404.0;924.0;-259.0;813.0;?;939.0;-905.0;-341.0;-909.0
158.0;909.0;409.0;924.0;-278.0;848.0;?;962.0;-862.0;-403.0;-863.0
281.0;1061.0;398.0;905.0;-270.0;858.0;?;951.0;-898.0;-388.0;-911.0
294.0;926.0;398.0;907.0;-267.0;856.0;1005.0;951.0;?;-359.0;-962.0
267.0;823.0;421.0;935.0;-266.0;842.0;974.0;995.0;?;-331.0;-978.0
298.0;839.0;419.0;929.0;-257.0;867.0;992.0;558.0;?;-334.0;-963.0
305.0;929.0;407.0;926.0;-210.0;839.0;996.0;1366.0;?;-342.0;-953.0
305.0;913.0;452.0;934.0;-181.0;848.0;993.0;1511.0;?;-335.0;-947.0
301.0;912.0;428.0;968.0;-206.0;853.0;985.0;731.0;?;-319.0;-953.0
249.0;910.0;425.0;962.0;-216.0;848.0;989.0;1361.0;?;-345.0;-953.0
228.0;904.0;413.0;894.0;-235.0;848.0;1004.0;739.0;?;-364.0;-959.0
256.0;885.0;423.0;867.0;-253.0;868.0;954.0;1242.0;?;-371.0;-959.0
275.0;906.0;428.0;908.0;-267.0;821.0;915.0;929.0;-933.0;-372.0;-961.0
269.0;898.0;420.0;920.0;-283.0;811.0;943.0;1043.0;-949.0;-378.0;-976.0
302.0;895.0;411.0;923.0;-298.0;791.0;958.0;1002.0;-962.0;-379.0;-994.0
286.0;918.0;386.0;958.0;-306.0;808.0;950.0;998.0;-935.0;-405.0;-965.0
?;921.0;336.0;978.0;-296.0;820.0;958.0;964.0;-878.0;-413.0;?
?;928.0;337.0;999.0;-293.0;825.0;998.0;1030.0;-886.0;-401.0;?
?;940.0;379.0;1010.0;-259.0;847.0;1014.0;1031.0;-899.0;-407.0;-918.0
?;891.0;349.0;1018.0;?;867.0;1011.0;1021.0;-902.0;-399.0;-917.0
?;872.0;358.0;?;?;908.0;1058.0;1008.0;-911.0;-405.0;-917.0
?;877.0;353.0;?;?;922.0;1035.0;999.0;-914.0;-390.0;-923.0
?;905.0;379.0;1001.0;?;906.0;1043.0;1062.0;-934.0;-359.0;-945.0
?;913.0;368.0;961.0;?;932.0;1048.0;1035.0;-967.0;-337.0;-982.0
?;918.0;361.0;971.0;?;911.0;1030.0;1056.0;-1000.0;-348.0;-1011.0
?;914.0;354.0;975.0;?;903.0;1040.0;1026.0;-996.0;-353.0;-1005.0
?;943.0;342.0;978.0;?;905.0;1048.0;1051.0;-992.0;-325.0;-1011.0
240.0;979.0;319.0;992.0;-180.0;905.0;1057.0;1065.0;-1004.0;-315.0;-1020.0
262.0;998.0;339.0;976.0;-179.0;896.0;1038.0;1058.0;-994.0;-323.0;-1000.0
260.0;966.0;349.0;934.0;-162.0;904.0;1035.0;1014.0;-984.0;-328.0;-990.0
251.0;984.0;376.0;954.0;-136.0;885.0;1012.0;1017.0;-991.0;-310.0;-999.0
238.0;972.0;372.0;962.0;-113.0;884.0;995.0;1029.0;-989.0;-290.0;-990.0
198.0;975.0;351.0;978.0;-115.0;876.0;1006.0;995.0;-986.0;-277.0;-993.0
203.0;970.0;349.0;972.0;-131.0;875.0;999.0;973.0;-996.0;-283.0;-1006.0
174.0;967.0;330.0;962.0;-143.0;886.0;1033.0;972.0;-978.0;-285.0;-990.0
184.0;967.0;332.0;930.0;-169.0;910.0;1030.0;982.0;-959.0;-281.0;-980.0
206.0;951.0;311.0;885.0;-188.0;892.0;1006.0;1010.0;-963.0;-295.0;-984.0
226.0;965.0;326.0;741.0;-154.0;874.0;987.0;992.0;-970.0;-315.0;-983.0
222.0;922.0;442.0;1006.0;-123.0;813.0;801.0;1010.0;-983.0;-309.0;-989.0
227.0;942.0;400.0;1244.0;-98.0;689.0;867.0;986.0;-976.0;-307.0;-978.0
215.0;955.0;405.0;854.0;-100.0;759.0;1339.0;994.0;-957.0;-306.0;-958.0
200.0;970.0;410.0;864.0;-110.0;1184.0;1034.0;982.0;-911.0;-307.0;-913.0
163.0;968.0;407.0;860.0;-151.0;879.0;786.0;968.0;-847.0;-316.0;-853.0
161.0;946.0;396.0;880.0;-163.0;754.0;764.0;980.0;-688.0;-327.0;-702.0
160.0;887.0;461.0;981.0;-322.0;773.0;875.0;993.0;-1274.0;-268.0;-1307.0
203.0;894.0;374.0;1037.0;-257.0;?;1115.0;983.0;-1123.0;-385.0;-1124.0
136.0;701.0;408.0;932.0;-358.0;?;1339.0;987.0;-799.0;-336.0;-810.0
331.0;1010.0;394.0;881.0;-518.0;?;1197.0;986.0;-829.0;-394.0;-862.0
432.0;1209.0;411.0;866.0;-189.0;?;1018.0;972.0;-852.0;-550.0;-789.0
250.0;854.0;410.0;902.0;-161.0;?;958.0;964.0;-894.0;-443.0;-853.0
324.0;767.0;388.0;933.0;-296.0;?;996.0;952.0;-1030.0;-296.0;-1010.0
208.0;794.0;378.0;932.0;-186.0;?;1054.0;1009.0;-1046.0;-331.0;-1011.0
119.0;730.0;368.0;913.0;-196.0;888.0;1013.0;978.0;-923.0;-364.0;-888.0
255.0;925.0;371.0;912.0;-207.0;874.0;981.0;913.0;-893.0;-341.0;-861.0
260.0;1015.0;376.0;919.0;-171.0;856.0;961.0;920.0;-918.0;-306.0;-908.0
168.0;891.0;355.0;931.0;-167.0;838.0;964.0;928.0;-972.0;-283.0;-969.0
197.0;820.0;383.0;942.0;-195.0;849.0;988.0;944.0;-981.0;-284.0;-988.0
184.0;865.0;400.0;961.0;-203.0;832.0;1000.0;628.0;-963.0;-293.0;-968.0
214.0;909.0;417.0;946.0;-179.0;846.0;1013.0;1872.0;-941.0;-302.0;-943.0
212.0;944.0;398.0;931.0;-166.0;868.0;1010.0;1108.0;-936.0;-291.0;-941.0
211.0;939.0;401.0;927.0;-183.0;877.0;993.0;789.0;-934.0;-290.0;-949.0
193.0;911.0;433.0;938.0;-192.0;865.0;969.0;1341.0;-935.0;-311.0;-947.0
207.0;885.0;446.0;958.0;-204.0;849.0;983.0;799.0;-949.0;-331.0;-963.0
224.0;889.0;425.0;955.0;-203.0;860.0;1004.0;1138.0;-960.0;-333.0;-974.0
215.0;892.0;390.0;936.0;-221.0;873.0;1016.0;997.0;-946.0;-338.0;-965.0
240.0;908.0;397.0;923.0;-247.0;882.0;985.0;1022.0;-925.0;-350.0;-947.0
265.0;930.0;417.0;962.0;-265.0;836.0;968.0;1014.0;-939.0;-369.0;-961.0
255.0;920.0;417.0;951.0;-262.0;826.0;982.0;925.0;-960.0;-386.0;-984.0
285.0;900.0;414.0;943.0;-264.0;845.0;995.0;1002.0;-986.0;-391.0;-1005.0
289.0;906.0;384.0;944.0;-258.0;828.0;986.0;999.0;-946.0;-391.0;-961.0
319.0;948.0;362.0;952.0;-268.0;844.0;1001.0;1016.0;-912.0;-396.0;-930.0
316.0;?;352.0;956.0;-254.0;842.0;1004.0;1011.0;-921.0;-411.0;-937.0
327.0;?;369.0;993.0;-228.0;851.0;985.0;996.0;-931.0;-403.0;-947.0
303.0;?;330.0;993.0;-227.0;883.0;987.0;1019.0;-927.0;-388.0;-943.0
278.0;?;324.0;995.0;-220.0;895.0;1028.0;977.0;-933.0;-402.0;-940.0
297.0;928.0;329.0;998.0;-194.0;905.0;1039.0;1026.0;-929.0;-403.0;-939.0
272.0;917.0;336.0;1007.0;-192.0;913.0;1047.0;1085.0;-931.0;-369.0;-942.0
280.0;924.0;329.0;1001.0;-194.0;906.0;1039.0;1056.0;-947.0;-371.0;-959.0
258.0;910.0;309.0;1013.0;-193.0;927.0;1079.0;1017.0;-976.0;-360.0;-983.0
240.0;926.0;314.0;1006.0;-177.0;917.0;1056.0;983.0;-983.0;-346.0;-984.0
231.0;922.0;300.0;989.0;-166.0;922.0;1073.0;1037.0;-977.0;-329.0;-982.0
220.0;937.0;329.0;991.0;-153.0;943.0;1053.0;1059.0;-990.0;-317.0;?
254.0;967.0;320.0;971.0;-99.0;944.0;1042.0;1038.0;-1014.0;-299.0;?
193.0;958.0;330.0;959.0;-79.0;924.0;1011.0;973.0;-1002.0;-269.0;?
205.0;963.0;347.0;934.0;-67.0;895.0;1024.0;1021.0;-1004.0;-242.0;?
190.0;983.0;386.0;939.0;-97.0;896.0;1027.0;1021.0;-1016.0;-245.0;?
179.0;958.0;371.0;929.0;-101.0;892.0;996.0;1016.0;-1011.0;-254.0;-1012.0
