InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit BACK gyroZ
-59.0;-36.0;50.0;-9.0;-24.0;-171;38.0;-9.0
-59.0;-17.0;-1.0;-9.0;-49.0;-176;55.0;-13.0
-68.0;5.0;-16.0;16.0;-30.0;-171;-2.0;4.0
-54.0;22.0;29.0;-15.0;-2.0;-175;30.0;-11.0
-43.0;10.0;-9.0;1.0;-34.0;-171;-16.0;8.0
-72.0;8.0;33.0;-37.0;-42.0;-174;16.0;-10.0
-41.0;19.0;11.0;3.0;-47.0;-175;25.0;9.0
-84.0;8.0;15.0;-16.0;-49.0;-175;3.0;0.0
-40.0;0.0;5.0;23.0;-43.0;-175;4.0;-15.0
-63.0;-9.0;23.0;-35.0;-41.0;-171;-7.0;-9.0
-62.0;-9.0;16.0;29.0;-30.0;-174;-5.0;-2.0
-78.0;-28.0;-12.0;-12.0;-34.0;-171;22.0;17.0
-48.0;-30.0;4.0;-2.0;-35.0;-175;1.0;-22.0
-58.0;8.0;-10.0;-30.0;-18.0;-171;-62.0;-5.0
-73.0;-43.0;-18.0;8.0;-56.0;-174;-16.0;-10.0
-60.0;-13.0;12.0;3.0;-47.0;-174;18.0;-26.0
-101.0;-7.0;12.0;14.0;-41.0;-176;-8.0;-7.0
-40.0;-1.0;14.0;-11.0;-35.0;-171;-18.0;15.0
-86.0;-7.0;5.0;-60.0;-39.0;-171;13.0;-18.0
-52.0;4.0;57.0;11.0;-47.0;-176;9.0;11.0
-54.0;-19.0;12.0;-22.0;-42.0;-174;7.0;-13.0
-28.0;4.0;3.0;-31.0;-30.0;-174;1.0;-25.0
-98.0;15.0;8.0;-16.0;-42.0;-174;39.0;-15.0
-91.0;15.0;9.0;10.0;-55.0;-174;9.0;-15.0
-71.0;38.0;34.0;-4.0;-80.0;-176;-8.0;21.0
-71.0;-13.0;45.0;-5.0;-43.0;-174;10.0;-7.0
-90.0;8.0;14.0;13.0;-37.0;-174;3.0;-19.0
-67.0;4.0;-29.0;2.0;-66.0;-174;-1.0;-13.0
-54.0;-34.0;20.0;-10.0;-51.0;-174;-4.0;0.0
-50.0;23.0;14.0;-22.0;-37.0;-176;-7.0;8.0
-41.0;2.0;-22.0;6.0;-53.0;-176;12.0;17.0
-81.0;-4.0;7.0;-28.0;-30.0;-176;-8.0;-22.0
-71.0;1.0;-20.0;-3.0;-44.0;-176;30.0;6.0
-102.0;6.0;-3.0;-16.0;-22.0;-176;20.0;17.0
-55.0;6.0;20.0;4.0;-66.0;-171;3.0;-17.0
-71.0;-2.0;-16.0;-9.0;-43.0;-176;28.0;11.0
-32.0;14.0;-1.0;-4.0;-15.0;-176;-8.0;26.0
-41.0;2.0;-24.0;4.0;-37.0;-176;20.0;20.0
-71.0;-17.0;-10.0;-36.0;-48.0;-176;40.0;-5.0
-82.0;-5.0;-23.0;-11.0;-32.0;-176;-2.0;-26.0
-60.0;-15.0;31.0;23.0;-35.0;-171;33.0;-30.0
-59.0;27.0;48.0;-44.0;-35.0;-174;-19.0;1.0
-84.0;-7.0;8.0;-12.0;-40.0;-171;22.0;0.0
-93.0;19.0;27.0;-40.0;-17.0;-174;-17.0;-51.0
-71.0;39.0;46.0;-35.0;-10.0;-174;-2.0;-2.0
-104.0;28.0;34.0;-20.0;-51.0;-174;5.0;5.0
-130.0;27.0;38.0;-29.0;-46.0;-174;-28.0;16.0
-68.0;2.0;38.0;-27.0;-57.0;-174;0.0;17.0
-62.0;-17.0;-18.0;-3.0;-56.0;-171;23.0;5.0
-36.0;14.0;6.0;-29.0;-57.0;-171;-10.0;21.0
-65.0;-28.0;-2.0;12.0;-52.0;-171;-16.0;-11.0
-73.0;-7.0;-5.0;-18.0;-35.0;-171;-14.0;-15.0
-46.0;-3.0;59.0;-2.0;-35.0;-171;3.0;8.0
-100.0;-12.0;8.0;5.0;-25.0;-176;0.0;-8.0
-65.0;-12.0;20.0;2.0;-48.0;-176;18.0;-26.0
-63.0;-15.0;-9.0;-24.0;-28.0;-171;23.0;-2.0
-82.0;8.0;18.0;-12.0;-52.0;-174;-8.0;-13.0
-74.0;-7.0;31.0;-34.0;-28.0;-174;10.0;6.0
-49.0;-42.0;-2.0;-31.0;-2.0;-178;10.0;7.0
-55.0;0.0;27.0;33.0;-26.0;-174;7.0;-13.0
-41.0;16.0;33.0;15.0;-48.0;-174;16.0;-28.0
-71.0;35.0;-3.0;-34.0;-52.0;-176;-1.0;-30.0
-92.0;-7.0;19.0;0.0;-27.0;-174;13.0;-28.0
-69.0;48.0;31.0;-3.0;-32.0;-176;20.0;-11.0
-82.0;-32.0;38.0;-17.0;-62.0;-174;25.0;-25.0
-60.0;8.0;29.0;6.0;-41.0;-171;31.0;11.0
-67.0;0.0;10.0;-7.0;-23.0;-171;29.0;-9.0
-89.0;-7.0;48.0;-40.0;-24.0;-171;1.0;-5.0
-86.0;-19.0;31.0;12.0;-34.0;-174;1.0;8.0
-90.0;18.0;18.0;16.0;-37.0;-174;-1.0;-14.0
-69.0;-19.0;27.0;-40.0;-48.0;-174;39.0;-28.0
-59.0;-7.0;45.0;-9.0;-17.0;-176;19.0;6.0
-76.0;33.0;34.0;-49.0;-51.0;-171;9.0;12.0
-76.0;10.0;33.0;-35.0;-62.0;-176;14.0;12.0
-55.0;-7.0;-3.0;-26.0;-39.0;-176;22.0;-9.0
-52.0;14.0;25.0;-9.0;-50.0;-177;0.0;-11.0
-80.0;-12.0;1.0;10.0;-49.0;-176;1.0;-11.0
-67.0;7.0;20.0;-15.0;-2.0;-174;20.0;-2.0
-38.0;10.0;3.0;-54.0;-24.0;-174;25.0;-13.0
-41.0;-23.0;35.0;-23.0;-51.0;-174;-10.0;-13.0
-56.0;-23.0;48.0;-25.0;-27.0;-174;34.0;6.0
-99.0;1.0;47.0;-8.0;-54.0;-177;8.0;-1.0
-68.0;0.0;30.0;-5.0;-22.0;-177;-38.0;6.0
-71.0;-28.0;52.0;-18.0;-56.0;-171;9.0;-14.0
-75.0;-8.0;75.0;-3.0;-39.0;-174;14.0;-9.0
-74.0;27.0;-3.0;-20.0;-26.0;-174;-14.0;19.0
-63.0;21.0;41.0;-5.0;-44.0;-174;-23.0;-22.0
-80.0;37.0;27.0;-23.0;-81.0;-174;-13.0;-9.0
-79.0;12.0;7.0;-28.0;-30.0;-174;59.0;-13.0
-71.0;12.0;19.0;-3.0;-25.0;-174;25.0;-7.0
-66.0;21.0;28.0;-31.0;-47.0;-174;27.0;3.0
-50.0;21.0;31.0;-15.0;-44.0;-179;41.0;-24.0
-45.0;5.0;23.0;-5.0;-38.0;-174;7.0;-45.0
-32.0;-6.0;12.0;-22.0;-30.0;-174;4.0;-11.0
-81.0;0.0;19.0;5.0;-53.0;-179;42.0;-13.0
-35.0;-4.0;16.0;-22.0;-19.0;-179;33.0;25.0
-64.0;0.0;53.0;-17.0;-29.0;-179;-30.0;-12.0
-39.0;-27.0;25.0;-12.0;-25.0;-179;-14.0;-8.0
-57.0;2.0;41.0;-19.0;-53.0;-179;21.0;-11.0
-65.0;-7.0;21.0;-22.0;-17.0;-179;14.0;-3.0
-58.0;8.0;29.0;-36.0;-75.0;-174;20.0;-4.0
-92.0;0.0;38.0;-33.0;-60.0;-174;11.0;0.0
-69.0;17.0;49.0;-6.0;-21.0;-179;4.0;36.0
-64.0;22.0;45.0;-5.0;-23.0;-179;34.0;-8.0
-49.0;-4.0;49.0;-1.0;-28.0;-177;-7.0;-33.0
-73.0;-2.0;36.0;-21.0;-52.0;-179;9.0;15.0
-101.0;22.0;4.0;-46.0;-61.0;-179;-13.0;8.0
-80.0;-8.0;43.0;-42.0;-25.0;-179;-9.0;26.0
-62.0;-11.0;50.0;-11.0;-30.0;-176;34.0;-26.0
-83.0;4.0;71.0;-54.0;-38.0;-179;-24.0;5.0
-76.0;2.0;32.0;-5.0;-59.0;-179;20.0;4.0
-59.0;9.0;51.0;-17.0;-32.0;-179;26.0;-10.0
-67.0;-23.0;29.0;16.0;-58.0;-176;10.0;6.0
-63.0;-4.0;48.0;-8.0;-51.0;-179;-34.0;4.0
-105.0;-29.0;21.0;-41.0;-49.0;-179;-9.0;17.0
-48.0;16.0;-6.0;30.0;-50.0;-171;-8.0;10.0
-102.0;-37.0;35.0;4.0;-42.0;-178;6.0;12.0
-87.0;-13.0;63.0;-40.0;-74.0;-178;15.0;20.0
-55.0;-36.0;-22.0;-25.0;-46.0;-179;-25.0;19.0
-70.0;11.0;-21.0;-24.0;-44.0;-178;-32.0;-6.0
-49.0;-24.0;-6.0;-33.0;-20.0;-176;-20.0;17.0
-84.0;-12.0;-8.0;-14.0;-26.0;-178;13.0;-23.0
-49.0;-12.0;-22.0;-43.0;-54.0;-176;-9.0;-4.0
-64.0;-21.0;-6.0;12.0;-35.0;-176;14.0;-17.0
-66.0;1.0;42.0;-24.0;-35.0;-176;22.0;-4.0
-64.0;0.0;22.0;18.0;-32.0;-173;16.0;13.0
-70.0;12.0;15.0;-19.0;-77.0;-173;-12.0;13.0
-83.0;0.0;25.0;3.0;-86.0;-176;1.0;-7.0
-62.0;0.0;-8.0;13.0;-32.0;-171;3.0;11.0
-99.0;37.0;43.0;-18.0;-53.0;-177;25.0;-10.0
-74.0;-11.0;46.0;-12.0;-47.0;-171;12.0;6.0
-74.0;9.0;5.0;-10.0;-35.0;-171;7.0;0.0
-85.0;-23.0;49.0;-15.0;-58.0;-171;-7.0;15.0
-40.0;2.0;-1.0;-19.0;-41.0;-171;-8.0;17.0
-80.0;35.0;7.0;-10.0;-51.0;-171;5.0;15.0
-27.0;4.0;16.0;-42.0;-38.0;-171;-8.0;9.0
-70.0;2.0;25.0;-21.0;11.0;-172;14.0;-28.0
-23.0;7.0;33.0;-35.0;-22.0;-176;-1.0;-24.0
-81.0;-5.0;30.0;-21.0;-59.0;-171;5.0;12.0
-13.0;-1.0;16.0;-7.0;-24.0;-176;15.0;-8.0
-46.0;1.0;29.0;1.0;-7.0;-176;22.0;2.0
-37.0;21.0;44.0;-14.0;-20.0;-172;8.0;-4.0
-66.0;2.0;14.0;-11.0;-36.0;-172;-5.0;-2.0
-96.0;-9.0;16.0;-15.0;-26.0;-172;-16.0;-16.0
-82.0;-6.0;9.0;-40.0;-45.0;-178;-23.0;18.0
-138.0;6.0;12.0;-11.0;-62.0;-171;-6.0;-9.0
-69.0;7.0;6.0;-10.0;-47.0;-172;44.0;-28.0
-30.0;21.0;-5.0;-12.0;-31.0;-172;7.0;6.0
-124.0;9.0;10.0;6.0;-56.0;-171;-14.0;-11.0
-28.0;-5.0;51.0;-16.0;-28.0;-176;14.0;8.0
-66.0;-5.0;48.0;-16.0;-30.0;-176;7.0;16.0
-80.0;-9.0;8.0;-23.0;-33.0;-176;-3.0;6.0
-93.0;-24.0;42.0;-29.0;-40.0;-176;12.0;21.0
-68.0;-7.0;-32.0;-45.0;-20.0;-176;6.0;-15.0
-40.0;-22.0;17.0;-27.0;-49.0;-176;-7.0;13.0
-13.0;-24.0;-22.0;-22.0;-28.0;-171;8.0;6.0
-91.0;-26.0;-20.0;2.0;-37.0;-171;22.0;26.0
-69.0;-1.0;6.0;-15.0;-33.0;-176;2.0;1.0
-75.0;-5.0;1.0;-27.0;-47.0;-176;-18.0;-18.0
-65.0;-22.0;-8.0;-35.0;-47.0;-176;35.0;15.0
-52.0;-13.0;59.0;-4.0;-41.0;-177;19.0;23.0
-65.0;-25.0;-4.0;-23.0;-24.0;-176;4.0;23.0
-38.0;12.0;19.0;-25.0;-49.0;-171;41.0;6.0
-45.0;14.0;-6.0;3.0;-28.0;-171;5.0;-25.0
-106.0;-35.0;-12.0;-6.0;-30.0;-179;-4.0;4.0
-59.0;-52.0;3.0;-46.0;-23.0;-179;-10.0;16.0
-61.0;-6.0;21.0;-28.0;-11.0;-180;-2.0;11.0
-32.0;-3.0;10.0;-23.0;-21.0;-180;33.0;-23.0
-80.0;-12.0;42.0;-38.0;-42.0;-179;-28.0;0.0
-93.0;20.0;21.0;-9.0;-38.0;-179;-18.0;7.0
-68.0;5.0;13.0;-33.0;-22.0;-179;-2.0;-1.0
-69.0;13.0;26.0;-36.0;-34.0;-180;3.0;-23.0
-74.0;15.0;38.0;-23.0;-42.0;-180;34.0;3.0
-72.0;5.0;22.0;28.0;-31.0;-179;11.0;3.0
-58.0;-30.0;37.0;-3.0;-47.0;-176;4.0;-11.0
-72.0;22.0;9.0;-64.0;-56.0;-176;-16.0;2.0
-94.0;16.0;-32.0;2.0;-52.0;-171;-2.0;34.0
-110.0;-1.0;-18.0;-36.0;-32.0;-171;-3.0;16.0
-82.0;-17.0;-24.0;-22.0;-53.0;-171;-22.0;-17.0
-58.0;8.0;-14.0;-1.0;-10.0;-171;-8.0;0.0
-63.0;11.0;51.0;9.0;-44.0;-180;9.0;9.0
-116.0;-34.0;6.0;-29.0;-48.0;-176;39.0;13.0
-59.0;0.0;49.0;8.0;-23.0;-179;0.0;-5.0
-84.0;-56.0;23.0;-23.0;-72.0;-176;10.0;-9.0
-83.0;11.0;61.0;-29.0;-30.0;-176;6.0;23.0
-45.0;2.0;5.0;0.0;-47.0;-171;-12.0;17.0
-62.0;-22.0;44.0;-70.0;-47.0;-171;31.0;-26.0
-56.0;14.0;8.0;-55.0;-52.0;-171;-21.0;21.0
-91.0;12.0;34.0;2.0;-62.0;-176;34.0;-26.0
-61.0;28.0;-9.0;6.0;-58.0;-176;17.0;11.0
-69.0;-33.0;57.0;-18.0;-47.0;-171;21.0;-19.0
-114.0;-34.0;42.0;-30.0;-53.0;-176;-22.0;17.0
-102.0;5.0;-5.0;-46.0;-72.0;-173;13.0;11.0
-65.0;-5.0;20.0;-4.0;-32.0;-179;31.0;15.0
-58.0;17.0;-4.0;-12.0;-16.0;-176;20.0;27.0
-77.0;13.0;8.0;11.0;-54.0;-176;-16.0;-2.0
-118.0;-15.0;-7.0;-18.0;-65.0;-176;-18.0;26.0
-78.0;-17.0;-12.0;10.0;-35.0;-176;14.0;26.0
-71.0;-17.0;-25.0;-1.0;-10.0;-176;19.0;-26.0
-28.0;1.0;-16.0;-29.0;-20.0;-171;-9.0;20.0
-75.0;-13.0;16.0;-15.0;-15.0;-171;-46.0;2.0
-107.0;-40.0;2.0;-23.0;-24.0;-176;10.0;-7.0
-83.0;-13.0;45.0;-12.0;-40.0;-176;-7.0;-12.0
-92.0;4.0;32.0;-31.0;-23.0;-176;3.0;-25.0
-77.0;25.0;20.0;-21.0;-24.0;-176;-10.0;-15.0
-67.0;10.0;28.0;-29.0;-58.0;-176;-30.0;-15.0
-50.0;-10.0;-1.0;-37.0;-52.0;-176;40.0;3.0
-75.0;18.0;-18.0;-13.0;-42.0;-176;53.0;2.0
-51.0;20.0;-9.0;-29.0;-66.0;-176;-47.0;8.0
-107.0;-30.0;5.0;-54.0;-81.0;-176;-41.0;21.0
-95.0;-7.0;10.0;-48.0;-52.0;-176;-28.0;33.0
-69.0;-22.0;9.0;-41.0;-26.0;-176;-22.0;13.0
-113.0;-4.0;27.0;-37.0;-93.0;-176;-28.0;15.0
-54.0;-14.0;18.0;-11.0;-35.0;-176;-13.0;-7.0
-61.0;-21.0;17.0;-28.0;-47.0;-176;4.0;13.0
-49.0;-5.0;-1.0;-10.0;-52.0;-176;0.0;-15.0
-110.0;-1.0;49.0;-21.0;-69.0;-176;-41.0;15.0
-131.0;-7.0;27.0;-21.0;-84.0;-176;-16.0;14.0
-89.0;-3.0;22.0;-18.0;-34.0;-171;36.0;-14.0
-57.0;14.0;-18.0;-40.0;-74.0;-176;4.0;-17.0
-57.0;37.0;3.0;-24.0;-56.0;-176;-3.0;-15.0
-119.0;5.0;1.0;-19.0;-52.0;-176;10.0;-26.0
-81.0;-26.0;0.0;8.0;-39.0;-176;37.0;23.0
-62.0;8.0;-25.0;-39.0;-63.0;-176;12.0;-32.0
-115.0;-33.0;-13.0;-36.0;-73.0;-176;5.0;-16.0
-51.0;-28.0;-11.0;-16.0;-9.0;-176;15.0;-19.0
-83.0;-36.0;-4.0;-25.0;-56.0;-176;13.0;-31.0
-74.0;-11.0;0.0;-65.0;-27.0;-177;19.0;-19.0
-62.0;-54.0;-11.0;-20.0;-37.0;-176;-30.0;8.0
-68.0;-40.0;-10.0;-9.0;-22.0;-176;1.0;-31.0
-63.0;-30.0;2.0;-6.0;-11.0;-176;24.0;13.0
-81.0;11.0;62.0;-48.0;-36.0;-179;20.0;-4.0
-68.0;-17.0;25.0;6.0;-54.0;-176;49.0;-17.0
-73.0;12.0;-10.0;-14.0;-73.0;-176;36.0;12.0
-84.0;4.0;23.0;-6.0;-40.0;-171;-3.0;3.0
-54.0;12.0;5.0;5.0;-26.0;-176;30.0;4.0
-100.0;20.0;13.0;-27.0;-35.0;-177;-50.0;-11.0
-100.0;14.0;27.0;-64.0;-66.0;-177;-47.0;12.0
-73.0;-19.0;36.0;-11.0;-18.0;-176;46.0;-19.0
-77.0;-6.0;41.0;-9.0;-43.0;-177;-38.0;25.0
-101.0;21.0;9.0;7.0;-73.0;-177;17.0;-5.0
-107.0;-5.0;27.0;-29.0;-62.0;-171;8.0;0.0
-47.0;-21.0;-17.0;-46.0;-43.0;-177;14.0;-13.0
-25.0;-16.0;-10.0;-15.0;-31.0;-177;32.0;8.0
-46.0;6.0;-3.0;-11.0;-13.0;-176;5.0;-16.0
-69.0;6.0;-23.0;-3.0;-40.0;-171;-8.0;10.0
-66.0;-26.0;17.0;31.0;-39.0;-171;-7.0;-17.0
-63.0;34.0;38.0;-15.0;-35.0;-176;29.0;29.0
-49.0;11.0;16.0;-40.0;-20.0;-176;13.0;21.0
-56.0;-4.0;-6.0;-37.0;-36.0;-176;29.0;-7.0
-71.0;2.0;9.0;-1.0;-61.0;-176;21.0;-12.0
-107.0;-21.0;25.0;14.0;-73.0;-176;24.0;-5.0
-16.0;-23.0;-62.0;5.0;-24.0;-171;53.0;27.0
-19.0;-15.0;33.0;-47.0;-32.0;-176;27.0;11.0
-57.0;-14.0;-15.0;3.0;-106.0;-177;-37.0;-9.0
-16.0;21.0;15.0;4.0;-53.0;-176;31.0;26.0
-55.0;42.0;35.0;2.0;-37.0;-174;-2.0;-61.0
-88.0;17.0;59.0;-76.0;-88.0;-177;-58.0;27.0
-33.0;32.0;-12.0;-16.0;-69.0;-174;23.0;-15.0
-121.0;-40.0;-21.0;-68.0;-80.0;-178;-64.0;-5.0
-129.0;14.0;59.0;-11.0;-50.0;-174;0.0;-18.0
-374.0;-115.0;-68.0;-134.0;71.0;-177;15.0;3.0
-64.0;46.0;43.0;-22.0;-37.0;-176;76.0;-5.0
-55.0;29.0;-49.0;-54.0;-56.0;-176;-34.0;-5.0
-168.0;-17.0;8.0;16.0;-31.0;-174;-29.0;-31.0
-27.0;0.0;28.0;-22.0;-88.0;-176;-8.0;-14.0
-39.0;25.0;35.0;-8.0;-40.0;-176;60.0;4.0
-98.0;-12.0;6.0;30.0;-50.0;-176;42.0;-20.0
-44.0;56.0;41.0;0.0;-39.0;-176;39.0;28.0
-41.0;36.0;61.0;-36.0;-59.0;-176;37.0;32.0
-60.0;35.0;57.0;24.0;-39.0;-176;24.0;6.0
-15.0;-28.0;-28.0;8.0;-40.0;-176;-18.0;-24.0
-124.0;0.0;39.0;-14.0;-27.0;-176;27.0;-19.0
-86.0;46.0;36.0;-53.0;-111.0;-174;-32.0;2.0
-46.0;8.0;22.0;24.0;-22.0;-176;27.0;13.0
-69.0;36.0;-4.0;0.0;-41.0;-176;90.0;17.0
-77.0;-63.0;11.0;-81.0;-42.0;-178;-25.0;15.0
18.0;-23.0;40.0;29.0;-26.0;-176;30.0;-24.0
2.0;-7.0;48.0;-7.0;-38.0;-176;-1.0;-16.0
-51.0;-8.0;2.0;-14.0;-20.0;-176;65.0;23.0
-26.0;25.0;29.0;-23.0;-21.0;-176;31.0;-2.0
-52.0;39.0;24.0;14.0;-22.0;-176;84.0;-13.0
-67.0;13.0;1.0;-36.0;-111.0;-176;-18.0;-26.0
-56.0;-10.0;51.0;-4.0;-49.0;-176;95.0;17.0
-38.0;37.0;46.0;-59.0;-41.0;-176;-36.0;-12.0
-146.0;-6.0;-47.0;23.0;-17.0;-174;0.0;-27.0
-63.0;39.0;20.0;-60.0;-52.0;-176;-64.0;19.0
-192.0;6.0;39.0;3.0;-48.0;-175;12.0;-7.0
-46.0;17.0;20.0;11.0;-64.0;-176;38.0;20.0
-46.0;27.0;-10.0;3.0;-8.0;-176;50.0;12.0
-128.0;67.0;-61.0;-60.0;-37.0;-171;-45.0;-11.0
192.0;-54.0;35.0;-87.0;-293.0;-176;-40.0;38.0
-84.0;-36.0;45.0;38.0;-39.0;-176;19.0;-24.0
-46.0;0.0;83.0;-6.0;-39.0;-176;42.0;-22.0
-42.0;9.0;15.0;7.0;-39.0;-176;57.0;11.0
-78.0;15.0;4.0;15.0;-56.0;-171;37.0;-41.0
81.0;15.0;52.0;-10.0;-128.0;-176;42.0;3.0
-137.0;-2.0;76.0;-37.0;-9.0;-174;-32.0;-13.0
-37.0;13.0;54.0;9.0;-52.0;-176;27.0;15.0
-52.0;-79.0;7.0;-35.0;-59.0;-178;-45.0;16.0
-57.0;-35.0;-7.0;-34.0;8.0;-178;-28.0;-11.0
-47.0;-37.0;51.0;-9.0;-23.0;-174;27.0;-26.0
-37.0;20.0;47.0;54.0;-30.0;-177;-21.0;-24.0
-18.0;20.0;-43.0;-104.0;-56.0;-177;-127.0;-7.0
34.0;-89.0;-78.0;32.0;78.0;-177;7.0;17.0
-40.0;23.0;180.0;-70.0;-59.0;-177;-28.0;-17.0
-93.0;25.0;111.0;-22.0;-76.0;-178;-93.0;0.0
-28.0;-6.0;-36.0;34.0;15.0;-178;26.0;13.0
-69.0;4.0;21.0;14.0;-32.0;-176;98.0;16.0
-99.0;-25.0;37.0;24.0;-22.0;-174;18.0;0.0
-22.0;-31.0;6.0;-5.0;24.0;-178;57.0;7.0
-51.0;5.0;-23.0;24.0;-26.0;-174;-33.0;0.0
-47.0;25.0;33.0;-36.0;-60.0;-174;-77.0;11.0
-34.0;33.0;54.0;18.0;-59.0;-176;11.0;2.0
-94.0;9.0;48.0;1.0;-32.0;-176;93.0;-9.0
14.0;-19.0;38.0;-10.0;-32.0;-176;-24.0;-9.0
-21.0;-23.0;-27.0;2.0;-64.0;-176;27.0;2.0
-106.0;-21.0;34.0;25.0;-39.0;-176;38.0;-13.0
-67.0;-11.0;-25.0;-9.0;10.0;-176;-11.0;-8.0
-72.0;-18.0;55.0;60.0;4.0;-177;-28.0;8.0
-77.0;-15.0;-25.0;33.0;-5.0;-177;34.0;-11.0
-25.0;-82.0;18.0;-26.0;-26.0;-179;18.0;-33.0
-134.0;-40.0;87.0;-18.0;-56.0;-175;36.0;-20.0
-147.0;0.0;15.0;-41.0;-67.0;-174;24.0;-25.0
-41.0;-28.0;0.0;65.0;-1.0;-177;13.0;21.0
-59.0;-36.0;-1.0;34.0;-22.0;-177;50.0;21.0
-132.0;0.0;21.0;27.0;-47.0;-174;-1.0;-2.0
-61.0;20.0;103.0;-28.0;-7.0;-177;-211.0;0.0
-93.0;-3.0;25.0;-61.0;-83.0;-177;-87.0;4.0
-97.0;8.0;128.0;-33.0;-30.0;-176;-38.0;3.0
