InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit RLA magneticZ;Accelerometer HIP accZ;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA magneticZ;Accelerometer RUA_ accX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RLA accY
278.0;141.0;66.0;-219.0;-125.0;55;10.0;557.0;-461.0;717.0
267.0;126.0;?;-271.0;-101.0;55;43.0;706.0;-465.0;798.0
248.0;108.0;82.0;-268.0;-55.0;55;76.0;828.0;-475.0;880.0
-643.0;?;33.0;152.0;564.0;55;272.0;-235.0;-556.0;-81.0
?;-673.0;20.0;?;564.0;55;273.0;?;-554.0;-84.0
-644.0;-673.0;61.0;225.0;565.0;55;278.0;-213.0;-552.0;-78.0
-646.0;-675.0;24.0;179.0;553.0;55;273.0;?;-552.0;-82.0
-648.0;?;29.0;146.0;552.0;55;273.0;-198.0;-550.0;-87.0
-646.0;-675.0;30.0;126.0;561.0;55;278.0;-231.0;-547.0;-92.0
-645.0;-673.0;41.0;110.0;564.0;55;284.0;-237.0;?;-84.0
-638.0;-666.0;39.0;-46.0;566.0;55;293.0;-227.0;-543.0;-107.0
-630.0;-655.0;42.0;-5.0;567.0;55;311.0;-267.0;-539.0;-149.0
-612.0;-638.0;37.0;-101.0;583.0;55;338.0;-263.0;-535.0;-176.0
-587.0;-615.0;50.0;-120.0;599.0;?;367.0;?;-531.0;-143.0
-550.0;-582.0;72.0;-118.0;602.0;55;400.0;-202.0;-525.0;-100.0
-501.0;-537.0;60.0;-156.0;591.0;55;431.0;-72.0;-519.0;71.0
-432.0;?;74.0;-286.0;557.0;55;453.0;97.0;-511.0;242.0
-361.0;-401.0;52.0;-561.0;503.0;55;463.0;238.0;-504.0;?
?;-325.0;109.0;-1163.0;?;55;?;392.0;-502.0;826.0
-203.0;-249.0;25.0;-1327.0;355.0;55;449.0;554.0;-498.0;986.0
-114.0;-189.0;11.0;-1590.0;257.0;?;416.0;619.0;-493.0;1234.0
-23.0;-129.0;25.0;-1885.0;155.0;55;320.0;825.0;-490.0;1462.0
59.0;-72.0;102.0;-1842.0;64.0;55;201.0;1020.0;-486.0;1561.0
130.0;-21.0;67.0;-1564.0;-18.0;55;100.0;1024.0;-481.0;1373.0
191.0;25.0;20.0;-1182.0;-93.0;55;16.0;?;-480.0;1178.0
236.0;58.0;1.0;-654.0;-148.0;55;-47.0;659.0;-477.0;1017.0
258.0;89.0;56.0;-392.0;-184.0;55;-98.0;675.0;-482.0;870.0
279.0;110.0;57.0;-190.0;-195.0;55;-112.0;680.0;-481.0;691.0
298.0;129.0;?;153.0;-196.0;55;-104.0;491.0;-480.0;544.0
306.0;146.0;74.0;160.0;-191.0;55;-92.0;321.0;-480.0;549.0
307.0;153.0;25.0;-268.0;-180.0;?;-74.0;383.0;-485.0;630.0
300.0;?;31.0;-389.0;-162.0;55;-50.0;386.0;-483.0;555.0
289.0;153.0;63.0;-289.0;-153.0;55;-52.0;287.0;-486.0;385.0
282.0;?;73.0;-40.0;-151.0;55;-55.0;188.0;-486.0;263.0
277.0;147.0;69.0;85.0;-147.0;55;-47.0;154.0;-489.0;285.0
268.0;139.0;76.0;28.0;-142.0;55;-31.0;146.0;-486.0;421.0
254.0;127.0;47.0;-162.0;-133.0;55;-10.0;221.0;-488.0;587.0
237.0;112.0;53.0;-208.0;-115.0;55;18.0;442.0;-486.0;679.0
219.0;90.0;65.0;-191.0;-88.0;55;54.0;483.0;-487.0;710.0
187.0;67.0;40.0;-297.0;-43.0;55;97.0;534.0;-490.0;811.0
?;-681.0;0.0;63.0;585.0;55;261.0;-130.0;-540.0;-20.0
-635.0;-679.0;3.0;57.0;586.0;55;258.0;-114.0;-539.0;-25.0
-638.0;-677.0;-10.0;?;587.0;55;261.0;-134.0;-536.0;-29.0
-638.0;-675.0;10.0;-107.0;582.0;55;261.0;-126.0;-538.0;-40.0
-636.0;-670.0;10.0;-156.0;587.0;55;277.0;?;-537.0;-48.0
-630.0;-663.0;47.0;-503.0;?;55;297.0;-145.0;-531.0;53.0
-623.0;-650.0;35.0;-368.0;602.0;55;324.0;-134.0;-533.0;55.0
-606.0;-628.0;30.0;-173.0;613.0;55;356.0;-138.0;-528.0;-78.0
-586.0;-596.0;?;-235.0;?;55;390.0;-232.0;-529.0;-69.0
-550.0;-554.0;77.0;-40.0;603.0;55;423.0;-125.0;-527.0;-31.0
-506.0;-500.0;91.0;122.0;586.0;55;450.0;-60.0;-523.0;43.0
-441.0;-443.0;39.0;-78.0;548.0;55;?;-17.0;-522.0;158.0
-365.0;-382.0;28.0;-587.0;494.0;55;479.0;134.0;-519.0;412.0
-273.0;-305.0;-10.0;-840.0;418.0;55;471.0;317.0;-513.0;727.0
-172.0;-223.0;-39.0;-1337.0;344.0;55;442.0;511.0;-505.0;?
-76.0;-142.0;6.0;-1363.0;275.0;55;390.0;745.0;-496.0;1092.0
26.0;-57.0;20.0;-1344.0;191.0;55;329.0;810.0;-485.0;1166.0
123.0;17.0;63.0;-1741.0;100.0;55;256.0;752.0;-472.0;1225.0
215.0;94.0;20.0;-1373.0;7.0;55;180.0;807.0;-469.0;1318.0
?;151.0;8.0;-1196.0;-69.0;55;126.0;894.0;-464.0;1167.0
338.0;185.0;32.0;-685.0;-122.0;55;88.0;793.0;-467.0;1057.0
358.0;209.0;32.0;-322.0;-153.0;55;43.0;813.0;-469.0;897.0
362.0;216.0;?;-116.0;-162.0;55;15.0;795.0;-469.0;780.0
352.0;218.0;43.0;23.0;-146.0;55;14.0;577.0;?;649.0
352.0;?;?;?;-128.0;55;30.0;536.0;-472.0;617.0
358.0;224.0;42.0;-86.0;-119.0;55;46.0;535.0;-470.0;584.0
353.0;223.0;-10.0;0.0;-106.0;55;55.0;420.0;-469.0;460.0
348.0;221.0;62.0;-397.0;-97.0;55;65.0;360.0;-471.0;531.0
343.0;219.0;25.0;-282.0;-89.0;55;69.0;441.0;-474.0;493.0
341.0;218.0;26.0;-177.0;-84.0;55;60.0;328.0;-475.0;396.0
341.0;220.0;55.0;-111.0;-88.0;55;57.0;275.0;-475.0;371.0
341.0;221.0;42.0;-39.0;-89.0;55;58.0;?;-476.0;357.0
338.0;222.0;56.0;-75.0;-92.0;55;55.0;265.0;-474.0;384.0
338.0;223.0;49.0;-31.0;?;55;53.0;313.0;-475.0;?
332.0;217.0;7.0;59.0;-94.0;55;47.0;325.0;-474.0;525.0
328.0;205.0;19.0;-182.0;-91.0;55;51.0;405.0;-471.0;680.0
319.0;?;12.0;-223.0;-71.0;55;64.0;613.0;-471.0;829.0
-638.0;-673.0;-29.0;28.0;535.0;55;199.0;-8.0;-556.0;54.0
-640.0;-676.0;-11.0;55.0;539.0;55;201.0;-34.0;-553.0;39.0
-640.0;-679.0;-47.0;-39.0;?;55;204.0;-19.0;-550.0;69.0
-645.0;-681.0;-26.0;4.0;528.0;55;202.0;1.0;-550.0;69.0
-646.0;-683.0;-2.0;-79.0;531.0;55;?;-15.0;-550.0;110.0
-644.0;?;-6.0;3.0;538.0;55;208.0;42.0;-546.0;105.0
-644.0;-683.0;14.0;-119.0;540.0;55;213.0;13.0;-546.0;75.0
-642.0;-685.0;7.0;-196.0;542.0;?;218.0;-13.0;-545.0;48.0
-640.0;-681.0;10.0;-141.0;539.0;55;227.0;-8.0;-542.0;25.0
-634.0;-675.0;-14.0;-36.0;547.0;55;247.0;-77.0;-539.0;-21.0
-621.0;-668.0;13.0;-33.0;565.0;55;270.0;-65.0;-540.0;13.0
-607.0;-660.0;31.0;-75.0;581.0;55;301.0;-19.0;-533.0;33.0
-590.0;-651.0;?;?;597.0;?;335.0;1.0;-530.0;119.0
-568.0;-638.0;51.0;?;601.0;?;368.0;100.0;-527.0;166.0
-550.0;-621.0;89.0;-97.0;604.0;?;402.0;170.0;-523.0;143.0
-527.0;-605.0;61.0;-111.0;604.0;55;?;219.0;-517.0;195.0
-511.0;-587.0;102.0;-113.0;587.0;55;458.0;260.0;-511.0;304.0
-493.0;-574.0;77.0;-125.0;563.0;55;464.0;303.0;?;238.0
-478.0;-569.0;74.0;-351.0;525.0;55;464.0;270.0;-501.0;292.0
-464.0;-568.0;83.0;-893.0;484.0;55;461.0;349.0;-499.0;518.0
-449.0;-567.0;92.0;?;?;55;453.0;457.0;-500.0;676.0
-431.0;-572.0;93.0;-989.0;397.0;55;441.0;516.0;-497.0;784.0
-413.0;-587.0;101.0;-1100.0;350.0;55;425.0;419.0;-496.0;840.0
-388.0;-604.0;82.0;-1063.0;304.0;55;383.0;485.0;-493.0;853.0
-368.0;-619.0;99.0;-1356.0;266.0;55;342.0;?;-497.0;991.0
-353.0;-638.0;142.0;-1215.0;238.0;55;321.0;581.0;-494.0;820.0
-346.0;-654.0;115.0;-1374.0;219.0;55;303.0;512.0;-493.0;?
?;-674.0;101.0;-1404.0;208.0;55;258.0;482.0;-493.0;866.0
-332.0;-689.0;133.0;-1127.0;202.0;55;217.0;435.0;-493.0;786.0
-323.0;-701.0;?;-941.0;194.0;55;192.0;342.0;-491.0;699.0
-309.0;-705.0;92.0;-1065.0;187.0;55;177.0;281.0;-487.0;739.0
-306.0;-712.0;90.0;-1196.0;186.0;55;160.0;322.0;?;783.0
-314.0;-727.0;141.0;-1156.0;189.0;55;141.0;356.0;-482.0;720.0
-335.0;-741.0;100.0;-1029.0;194.0;55;147.0;346.0;-481.0;602.0
-374.0;-763.0;97.0;-922.0;202.0;55;151.0;291.0;-478.0;599.0
-417.0;?;91.0;-735.0;212.0;55;168.0;286.0;-475.0;476.0
-470.0;-797.0;146.0;-468.0;234.0;55;199.0;219.0;-476.0;348.0
-507.0;-807.0;113.0;-478.0;263.0;55;237.0;108.0;-475.0;294.0
-543.0;-814.0;124.0;-419.0;290.0;55;286.0;48.0;-474.0;200.0
-563.0;-816.0;127.0;-301.0;320.0;?;322.0;3.0;-474.0;173.0
?;-815.0;151.0;-367.0;352.0;55;354.0;17.0;-476.0;?
-585.0;-813.0;152.0;?;388.0;55;391.0;-9.0;-472.0;180.0
-593.0;-815.0;141.0;-358.0;?;55;427.0;-40.0;-474.0;142.0
-598.0;-815.0;121.0;-257.0;457.0;55;468.0;-47.0;-472.0;153.0
-599.0;-814.0;122.0;-294.0;484.0;55;503.0;?;-476.0;226.0
-600.0;-816.0;136.0;-312.0;507.0;55;529.0;65.0;-476.0;233.0
-598.0;-819.0;163.0;-293.0;529.0;55;555.0;91.0;-477.0;236.0
-595.0;-821.0;122.0;-325.0;545.0;55;571.0;41.0;-475.0;214.0
-590.0;-825.0;142.0;-290.0;554.0;55;584.0;15.0;-477.0;218.0
-587.0;-828.0;118.0;-273.0;563.0;55;590.0;87.0;-476.0;289.0
-585.0;-830.0;103.0;-363.0;569.0;55;595.0;144.0;-477.0;285.0
-585.0;-831.0;124.0;-328.0;573.0;55;594.0;96.0;-475.0;252.0
-583.0;-833.0;115.0;-341.0;574.0;55;592.0;95.0;-474.0;303.0
-582.0;-832.0;118.0;-431.0;573.0;55;589.0;143.0;-476.0;327.0
-582.0;-831.0;108.0;-401.0;570.0;55;590.0;166.0;-476.0;347.0
-581.0;-833.0;95.0;-403.0;570.0;?;591.0;171.0;-475.0;350.0
-581.0;-835.0;94.0;?;569.0;55;591.0;184.0;-476.0;346.0
?;-835.0;110.0;-390.0;568.0;55;593.0;174.0;-475.0;357.0
-580.0;-838.0;105.0;-374.0;568.0;55;594.0;193.0;-473.0;361.0
-582.0;-836.0;?;-402.0;568.0;54;592.0;173.0;-471.0;351.0
-582.0;-835.0;119.0;-372.0;571.0;54;594.0;172.0;?;329.0
-586.0;?;115.0;-380.0;570.0;53;595.0;151.0;-470.0;306.0
-589.0;-831.0;100.0;-327.0;573.0;51;596.0;143.0;-467.0;282.0
-593.0;-828.0;131.0;-295.0;572.0;50;600.0;135.0;-470.0;272.0
-596.0;?;101.0;-301.0;572.0;49;602.0;133.0;-469.0;275.0
-600.0;-828.0;114.0;-333.0;571.0;?;604.0;124.0;-467.0;293.0
-601.0;-827.0;156.0;-344.0;571.0;49;605.0;126.0;-465.0;296.0
-603.0;-826.0;171.0;-391.0;573.0;49;609.0;135.0;-464.0;294.0
-608.0;-828.0;162.0;-351.0;575.0;49;609.0;152.0;-461.0;292.0
-610.0;-826.0;179.0;-379.0;578.0;50;609.0;127.0;-461.0;274.0
-612.0;-826.0;214.0;-362.0;581.0;50;610.0;136.0;?;272.0
-611.0;-827.0;199.0;-342.0;582.0;51;610.0;118.0;-460.0;275.0
-611.0;-829.0;211.0;-361.0;583.0;52;612.0;126.0;-458.0;284.0
-609.0;-835.0;240.0;-382.0;582.0;52;618.0;98.0;-459.0;281.0
-610.0;-837.0;?;-423.0;581.0;53;621.0;97.0;-457.0;275.0
-609.0;-840.0;204.0;-424.0;580.0;53;621.0;86.0;-457.0;263.0
-607.0;-842.0;205.0;-431.0;579.0;53;622.0;90.0;-457.0;268.0
-603.0;-844.0;206.0;-406.0;?;53;625.0;96.0;-459.0;262.0
-601.0;-845.0;210.0;-362.0;578.0;53;627.0;82.0;-458.0;236.0
-602.0;-847.0;222.0;-339.0;580.0;53;627.0;64.0;-455.0;245.0
-599.0;-847.0;233.0;-405.0;583.0;54;628.0;77.0;-455.0;257.0
-596.0;-846.0;213.0;-394.0;587.0;54;626.0;80.0;-454.0;227.0
-592.0;-846.0;208.0;-353.0;587.0;54;627.0;32.0;-450.0;?
-587.0;?;175.0;-354.0;587.0;54;?;18.0;-449.0;192.0
-585.0;-850.0;220.0;-348.0;591.0;54;615.0;18.0;-446.0;196.0
-579.0;-854.0;224.0;-342.0;591.0;54;613.0;27.0;-441.0;196.0
-575.0;-855.0;228.0;-370.0;589.0;54;607.0;28.0;-436.0;221.0
-570.0;-858.0;192.0;-358.0;590.0;56;602.0;45.0;-437.0;225.0
-567.0;?;221.0;-403.0;592.0;56;600.0;41.0;-429.0;215.0
-564.0;-859.0;226.0;-400.0;591.0;57;596.0;29.0;-424.0;224.0
-560.0;-858.0;202.0;-398.0;589.0;?;593.0;48.0;-425.0;215.0
-557.0;-859.0;?;-386.0;590.0;59;591.0;37.0;-422.0;198.0
-554.0;-859.0;185.0;-379.0;588.0;58;?;4.0;-419.0;182.0
?;-860.0;182.0;?;586.0;58;585.0;-6.0;-420.0;208.0
-544.0;-894.0;150.0;-354.0;591.0;56;606.0;109.0;-435.0;267.0
-547.0;-891.0;157.0;-401.0;591.0;56;607.0;97.0;-437.0;260.0
-548.0;-889.0;180.0;-331.0;590.0;56;606.0;?;-437.0;251.0
-552.0;-887.0;159.0;-333.0;590.0;?;608.0;93.0;-437.0;252.0
-553.0;-887.0;181.0;-320.0;591.0;57;609.0;84.0;-439.0;237.0
-555.0;-885.0;?;-328.0;590.0;57;607.0;68.0;-437.0;230.0
-554.0;-884.0;162.0;-288.0;588.0;57;609.0;68.0;-439.0;230.0
-559.0;-884.0;?;-287.0;587.0;57;610.0;78.0;-439.0;252.0
-559.0;-886.0;151.0;-351.0;587.0;57;610.0;96.0;-438.0;235.0
-559.0;-887.0;190.0;-300.0;586.0;57;608.0;78.0;?;228.0
-561.0;-885.0;158.0;-306.0;586.0;58;610.0;76.0;-439.0;?
-561.0;-887.0;204.0;-277.0;586.0;58;611.0;55.0;-439.0;214.0
-561.0;-886.0;190.0;-313.0;585.0;58;613.0;43.0;-438.0;205.0
-560.0;-886.0;180.0;-295.0;587.0;57;610.0;25.0;-439.0;197.0
-560.0;-888.0;182.0;-296.0;589.0;58;612.0;15.0;?;181.0
-557.0;-888.0;192.0;-236.0;592.0;59;611.0;33.0;?;162.0
-554.0;?;205.0;-266.0;597.0;59;610.0;20.0;-438.0;152.0
-550.0;-891.0;228.0;-255.0;600.0;59;606.0;-10.0;-437.0;154.0
-545.0;-894.0;182.0;-286.0;602.0;59;605.0;-16.0;-436.0;155.0
?;-897.0;221.0;-218.0;609.0;59;603.0;-13.0;-436.0;167.0
-530.0;-900.0;220.0;-335.0;608.0;59;597.0;-10.0;-434.0;143.0
-525.0;-903.0;222.0;-308.0;610.0;59;593.0;-1.0;-430.0;186.0
-519.0;-907.0;211.0;-282.0;611.0;58;592.0;0.0;-427.0;204.0
-513.0;-907.0;244.0;-380.0;611.0;58;588.0;19.0;-425.0;?
-507.0;-911.0;261.0;-280.0;612.0;57;585.0;19.0;-421.0;192.0
-502.0;-911.0;205.0;-350.0;613.0;57;580.0;-5.0;?;173.0
-496.0;-912.0;212.0;-368.0;612.0;55;577.0;?;-415.0;211.0
-490.0;-917.0;264.0;-388.0;612.0;56;574.0;29.0;-409.0;237.0
-486.0;-918.0;238.0;-393.0;611.0;56;572.0;23.0;-409.0;246.0
-485.0;-918.0;240.0;-453.0;608.0;55;569.0;39.0;-408.0;270.0
-484.0;-919.0;235.0;-481.0;605.0;?;571.0;52.0;-409.0;284.0
-483.0;-919.0;223.0;-471.0;607.0;56;571.0;61.0;-406.0;267.0
-485.0;-916.0;231.0;-479.0;606.0;56;571.0;45.0;-408.0;249.0
-487.0;-914.0;?;-405.0;605.0;56;570.0;8.0;-407.0;216.0
