InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK accY;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA gyroY;Accelerometer LUA^ accY;Accelerometer RKN^ accX;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit LUA accZ;Accelerometer BACK accX
2;-308.0;-961.0;-29.0;942.0;-176.0;5.0;133.0;142.0
3;-307.0;-958.0;-28.0;930.0;-178.0;38.0;126.0;146.0
0;-279.0;-983.0;137.0;972.0;-29.0;-164.0;101.0;124.0
4;-309.0;-952.0;-26.0;948.0;-188.0;30.0;124.0;122.0
-140;-140.0;-952.0;-275.0;1026.0;-1209.0;17.0;477.0;31.0
2;-309.0;-951.0;-29.0;956.0;-177.0;-36.0;131.0;144.0
14;-332.0;-950.0;-35.0;940.0;-184.0;37.0;131.0;157.0
10;-296.0;-949.0;-64.0;943.0;-180.0;61.0;127.0;146.0
-5;-275.0;-945.0;-67.0;971.0;-12.0;95.0;36.0;106.0
-8;-275.0;-806.0;-1464.0;957.0;-114.0;468.0;251.0;11.0
3;-275.0;-881.0;-22.0;919.0;-173.0;-51.0;165.0;127.0
-4;-274.0;-951.0;-45.0;939.0;-151.0;-13.0;154.0;107.0
-3;-271.0;-960.0;-37.0;943.0;-160.0;13.0;150.0;114.0
3;-272.0;-954.0;-18.0;947.0;-171.0;13.0;146.0;104.0
1;-271.0;-954.0;-13.0;938.0;-162.0;-30.0;136.0;97.0
4;-270.0;-958.0;-43.0;952.0;-173.0;-5.0;136.0;111.0
-1;-260.0;-946.0;55.0;997.0;-286.0;142.0;215.0;144.0
1;-286.0;-949.0;-14.0;975.0;-270.0;46.0;229.0;135.0
-2;-272.0;-955.0;-28.0;943.0;-161.0;20.0;146.0;110.0
4;-276.0;-952.0;-23.0;956.0;-176.0;-4.0;138.0;104.0
0;-248.0;-915.0;-46.0;891.0;-161.0;57.0;164.0;106.0
2;-272.0;-958.0;-41.0;948.0;-169.0;25.0;145.0;115.0
-3;-274.0;-955.0;-14.0;950.0;-176.0;0.0;142.0;95.0
-7;-249.0;-965.0;-5.0;988.0;-248.0;-48.0;216.0;87.0
-1;-275.0;-961.0;-28.0;956.0;-163.0;23.0;142.0;109.0
2;-268.0;-954.0;-5.0;944.0;-169.0;16.0;150.0;110.0
-3;-273.0;-955.0;-11.0;938.0;-171.0;14.0;135.0;110.0
-2;-272.0;-945.0;-26.0;945.0;-160.0;19.0;139.0;100.0
-3;-280.0;-954.0;-5.0;943.0;-162.0;8.0;148.0;95.0
3;-284.0;-965.0;-13.0;942.0;-172.0;16.0;148.0;102.0
-2;-278.0;-959.0;1.0;952.0;-170.0;-13.0;147.0;108.0
-6;-272.0;-960.0;-37.0;923.0;-183.0;52.0;146.0;95.0
-6;-273.0;-957.0;-34.0;940.0;-160.0;16.0;138.0;105.0
-2;-278.0;-962.0;-35.0;940.0;-167.0;12.0;156.0;106.0
3;-308.0;-937.0;-49.0;964.0;-241.0;-175.0;268.0;136.0
-1;-273.0;-972.0;-13.0;956.0;-163.0;-8.0;163.0;114.0
-2;-272.0;-951.0;-50.0;938.0;-183.0;15.0;147.0;106.0
5;-96.0;-838.0;120.0;815.0;-214.0;-86.0;24.0;146.0
-4;-265.0;-938.0;-29.0;943.0;-179.0;23.0;119.0;106.0
-4;-320.0;-957.0;-148.0;978.0;-182.0;109.0;157.0;74.0
-4;-290.0;-958.0;-30.0;942.0;-161.0;30.0;156.0;87.0
-3;-323.0;-946.0;13.0;997.0;-122.0;-34.0;318.0;163.0
-3;-280.0;-956.0;13.0;939.0;-174.0;-58.0;147.0;100.0
4;-244.0;-915.0;34.0;907.0;-161.0;-30.0;168.0;62.0
1;-279.0;-952.0;-34.0;928.0;-165.0;-21.0;129.0;96.0
-31;-316.0;-936.0;-218.0;908.0;-289.0;169.0;124.0;113.0
2;-286.0;-948.0;-39.0;929.0;-172.0;3.0;136.0;113.0
2;-299.0;-966.0;39.0;976.0;-20.0;5.0;96.0;140.0
11;-157.0;-956.0;165.0;977.0;-261.0;301.0;216.0;-51.0
0;-152.0;-950.0;88.0;996.0;-268.0;-73.0;182.0;-38.0
-4;-161.0;-761.0;156.0;838.0;-169.0;112.0;224.0;18.0
0;-154.0;-962.0;70.0;1001.0;-242.0;-22.0;195.0;-29.0
15;-184.0;-801.0;29.0;887.0;-266.0;118.0;317.0;20.0
71;-277.0;-987.0;-53.0;970.0;-86.0;17.0;80.0;142.0
0;-184.0;-792.0;-2.0;804.0;-247.0;-8.0;242.0;-4.0
2;-98.0;-820.0;-41.0;849.0;-217.0;-12.0;415.0;-104.0
-100;-198.0;-923.0;-78.0;971.0;-247.0;-6.0;269.0;12.0
10;-305.0;-795.0;-383.0;862.0;-104.0;-252.0;291.0;105.0
-5;-258.0;-952.0;-37.0;967.0;-119.0;-201.0;318.0;48.0
3;-168.0;-885.0;-17.0;933.0;-202.0;-44.0;404.0;-1.0
3;-180.0;-772.0;41.0;795.0;-231.0;-179.0;254.0;8.0
-7;-264.0;-810.0;34.0;880.0;-140.0;-134.0;394.0;63.0
-940;-188.0;-967.0;-15.0;855.0;101.0;92.0;218.0;94.0
-773;-266.0;-941.0;-128.0;939.0;-101.0;359.0;118.0;151.0
0;-204.0;-961.0;-38.0;956.0;-17.0;136.0;68.0;124.0
-3;-283.0;-920.0;40.0;957.0;-220.0;-3.0;275.0;145.0
0;-234.0;-974.0;0.0;1044.0;-121.0;-25.0;107.0;62.0
-2;-236.0;-970.0;-11.0;995.0;-130.0;-39.0;115.0;68.0
1;-257.0;-1077.0;-21.0;1044.0;-146.0;-143.0;43.0;55.0
-13;-234.0;-988.0;-68.0;1008.0;-212.0;-39.0;62.0;70.0
7;-211.0;-950.0;-711.0;966.0;-9.0;53.0;28.0;21.0
3;-202.0;-994.0;163.0;977.0;-53.0;248.0;45.0;135.0
1333;-239.0;-935.0;149.0;1036.0;-58.0;-576.0;6.0;-39.0
2013;-248.0;-1100.0;191.0;1088.0;-2.0;972.0;178.0;26.0
203;-276.0;-1264.0;-179.0;1186.0;-250.0;498.0;131.0;77.0
0;-144.0;-1059.0;-362.0;1091.0;42.0;179.0;281.0;100.0
8;-222.0;-985.0;-31.0;991.0;-109.0;-35.0;134.0;78.0
7;-249.0;-1028.0;-127.0;917.0;-158.0;-1444.0;142.0;90.0
7;-232.0;-957.0;-19.0;1028.0;-166.0;-75.0;140.0;58.0
1;-264.0;-973.0;50.0;988.0;-278.0;373.0;187.0;104.0
1;-329.0;-919.0;119.0;902.0;-65.0;1722.0;173.0;261.0
1;-219.0;-951.0;-85.0;943.0;-152.0;-16.0;101.0;48.0
-5;-53.0;-904.0;-32.0;902.0;84.0;16.0;37.0;-67.0
61;-227.0;-994.0;-151.0;982.0;-151.0;-93.0;64.0;75.0
154;-122.0;-1009.0;-63.0;985.0;85.0;-575.0;111.0;66.0
-313;-322.0;-1061.0;-389.0;910.0;41.0;35.0;304.0;45.0
-1;-188.0;-980.0;-74.0;953.0;-13.0;-265.0;-6.0;29.0
2;-111.0;-974.0;-55.0;959.0;-238.0;228.0;191.0;-8.0
-398;-203.0;-926.0;119.0;979.0;-187.0;-218.0;133.0;-17.0
-7;-194.0;-996.0;33.0;1010.0;-91.0;87.0;84.0;73.0
-19;-248.0;-975.0;-9.0;990.0;-151.0;-8.0;116.0;88.0
-332;-224.0;-996.0;-9.0;1003.0;-179.0;24.0;63.0;74.0
284;-259.0;-936.0;-12.0;980.0;-9.0;64.0;153.0;41.0
-13;-71.0;-969.0;-31.0;991.0;-121.0;48.0;18.0;67.0
2;-151.0;-969.0;-70.0;989.0;-161.0;0.0;109.0;1.0
39;-72.0;-879.0;-418.0;840.0;-445.0;87.0;56.0;-38.0
0;-279.0;-982.0;-31.0;993.0;98.0;62.0;117.0;128.0
2;-198.0;-967.0;-25.0;962.0;-134.0;0.0;156.0;59.0
-1;-199.0;-959.0;-5.0;976.0;-131.0;17.0;157.0;55.0
3;-121.0;-992.0;176.0;930.0;-62.0;-29.0;55.0;-79.0
4;-226.0;-971.0;6.0;946.0;-110.0;-26.0;129.0;42.0
-4;-168.0;-936.0;489.0;942.0;-123.0;262.0;158.0;-16.0
117;-378.0;-955.0;-311.0;896.0;102.0;164.0;239.0;140.0
3;-412.0;-883.0;-25.0;920.0;-237.0;-198.0;363.0;298.0
-1;-199.0;-957.0;-9.0;979.0;-120.0;10.0;155.0;50.0
-2;-264.0;-939.0;22.0;970.0;-124.0;-2.0;328.0;88.0
-7;-326.0;-944.0;-120.0;966.0;-120.0;66.0;337.0;169.0
1;-161.0;-976.0;-291.0;961.0;-173.0;-294.0;20.0;-1.0
-10;-60.0;-975.0;-40.0;968.0;-128.0;-176.0;43.0;56.0
-4;-174.0;-820.0;-36.0;834.0;-219.0;442.0;241.0;0.0
-3;-225.0;-962.0;73.0;964.0;-130.0;-14.0;177.0;50.0
2;-294.0;-876.0;151.0;871.0;-171.0;-43.0;205.0;122.0
3;-183.0;-798.0;-88.0;805.0;-251.0;137.0;272.0;-2.0
1;-334.0;-879.0;-30.0;904.0;-140.0;-93.0;202.0;183.0
2;-198.0;-967.0;-17.0;981.0;-134.0;-23.0;162.0;39.0
-6;-400.0;-801.0;-303.0;708.0;-81.0;-17.0;406.0;236.0
-1;-297.0;-915.0;-452.0;969.0;-162.0;694.0;225.0;99.0
-1;-296.0;-972.0;-26.0;949.0;-22.0;21.0;88.0;107.0
-3;-178.0;-968.0;76.0;979.0;-150.0;-539.0;160.0;-7.0
3;-318.0;-854.0;417.0;937.0;-171.0;-231.0;296.0;171.0
-9;-141.0;-966.0;700.0;913.0;-191.0;-12.0;-20.0;-82.0
10;-209.0;-973.0;154.0;977.0;-159.0;-52.0;104.0;20.0
-3;-233.0;-938.0;113.0;941.0;-174.0;50.0;153.0;46.0
-6;-150.0;-957.0;50.0;956.0;-241.0;-236.0;179.0;-11.0
-4;-232.0;-962.0;20.0;982.0;-140.0;-74.0;187.0;74.0
-7;-222.0;-930.0;141.0;982.0;-151.0;132.0;331.0;39.0
4;-209.0;-954.0;-37.0;960.0;-127.0;-55.0;167.0;68.0
6;-229.0;-966.0;-153.0;972.0;-65.0;103.0;192.0;58.0
4;-256.0;-920.0;-198.0;1012.0;-106.0;-93.0;313.0;9.0
0;-208.0;-963.0;-32.0;991.0;-121.0;5.0;173.0;64.0
-6;-209.0;-965.0;-42.0;970.0;-132.0;0.0;165.0;83.0
-14;-148.0;-961.0;-129.0;1002.0;-271.0;-315.0;197.0;-11.0
2;-210.0;-960.0;-22.0;966.0;-131.0;-22.0;170.0;67.0
1;-210.0;-966.0;-17.0;961.0;-130.0;-17.0;170.0;48.0
-2;-210.0;-963.0;-6.0;983.0;-149.0;4.0;178.0;65.0
3;-224.0;-929.0;8.0;936.0;-171.0;33.0;173.0;39.0
-1;-229.0;-924.0;-166.0;915.0;-154.0;6.0;186.0;37.0
-21;-42.0;-942.0;-107.0;1014.0;-138.0;-6.0;303.0;-154.0
-1;-228.0;-954.0;25.0;974.0;-141.0;-3.0;173.0;58.0
2;-209.0;-961.0;-3.0;977.0;-131.0;-6.0;160.0;60.0
-1;-197.0;-966.0;-10.0;965.0;-141.0;107.0;159.0;55.0
-3;-208.0;-957.0;-50.0;960.0;-130.0;-6.0;164.0;49.0
2;-205.0;-969.0;-34.0;979.0;-131.0;38.0;161.0;47.0
0;-204.0;-965.0;-5.0;985.0;-130.0;9.0;165.0;49.0
3;-153.0;-964.0;17.0;978.0;-250.0;46.0;204.0;-28.0
-4;-193.0;-945.0;-18.0;1027.0;-294.0;-66.0;195.0;-36.0
3;-155.0;-979.0;39.0;997.0;-148.0;-135.0;129.0;-56.0
2;-206.0;-968.0;3.0;976.0;-140.0;-33.0;157.0;47.0
0;-205.0;-957.0;4.0;978.0;-124.0;-28.0;159.0;57.0
0;-152.0;-965.0;-642.0;959.0;-141.0;-595.0;-23.0;-29.0
2;-205.0;-970.0;-63.0;976.0;-122.0;-31.0;159.0;62.0
-1;-204.0;-959.0;-47.0;980.0;-130.0;-70.0;152.0;40.0
-2;-203.0;-964.0;-22.0;977.0;-140.0;-33.0;156.0;48.0
4;-81.0;-963.0;-130.0;969.0;-106.0;-90.0;49.0;70.0
2;-200.0;-964.0;-16.0;970.0;-134.0;-11.0;154.0;47.0
3;-196.0;-959.0;-9.0;977.0;-127.0;-5.0;152.0;46.0
-1;-279.0;-961.0;-17.0;929.0;-19.0;-17.0;44.0;133.0
-9;-294.0;-872.0;18.0;839.0;-52.0;148.0;196.0;121.0
-1;-349.0;-880.0;-203.0;888.0;-150.0;-660.0;211.0;180.0
2;-244.0;-953.0;-223.0;959.0;-151.0;221.0;207.0;64.0
-3;-236.0;-944.0;34.0;931.0;-21.0;-110.0;8.0;45.0
1;-280.0;-958.0;-15.0;938.0;-7.0;10.0;61.0;116.0
2;-402.0;-916.0;75.0;896.0;-210.0;178.0;292.0;269.0
1;-285.0;-999.0;52.0;1008.0;-10.0;-54.0;21.0;127.0
10;-406.0;-913.0;-10.0;907.0;-122.0;36.0;293.0;314.0
-1765;-273.0;-750.0;-199.0;994.0;52.0;-617.0;61.0;45.0
-2;-290.0;-959.0;-43.0;974.0;-16.0;-15.0;46.0;107.0
-9;-280.0;-957.0;117.0;1045.0;-125.0;-281.0;264.0;202.0
-24;-311.0;-986.0;-144.0;959.0;-171.0;-154.0;112.0;161.0
4;-227.0;-940.0;-55.0;935.0;-29.0;-35.0;7.0;37.0
-78;-190.0;-922.0;273.0;943.0;-26.0;-74.0;173.0;86.0
1;831.0;-76.0;-133.0;107.0;-980.0;-208.0;-261.0;-765.0
0;-250.0;-1004.0;-35.0;1006.0;-26.0;-1.0;-10.0;96.0
-3;-338.0;-797.0;380.0;806.0;-158.0;756.0;346.0;140.0
-4;-272.0;-971.0;-42.0;945.0;-30.0;24.0;43.0;118.0
54;-260.0;-881.0;-126.0;1023.0;-541.0;-159.0;251.0;136.0
-8;-242.0;-1003.0;-26.0;1015.0;-22.0;137.0;-11.0;85.0
1;-166.0;-967.0;-35.0;950.0;-153.0;101.0;-19.0;-19.0
4;-311.0;-1012.0;6.0;998.0;-139.0;-18.0;90.0;173.0
2;-252.0;-995.0;-14.0;992.0;96.0;12.0;49.0;114.0
2;-321.0;-984.0;-24.0;1005.0;27.0;216.0;101.0;181.0
4;-70.0;-968.0;55.0;957.0;-189.0;16.0;-88.0;-50.0
13;-356.0;-1093.0;270.0;846.0;-710.0;51.0;302.0;332.0
4;-137.0;-965.0;-14.0;1046.0;-91.0;307.0;100.0;28.0
0;-289.0;-947.0;-10.0;1019.0;-259.0;67.0;169.0;171.0
-7;-86.0;-963.0;178.0;963.0;-193.0;-56.0;-74.0;-123.0
-1;-281.0;-998.0;25.0;1007.0;7.0;47.0;-3.0;137.0
1;-324.0;-1010.0;109.0;1032.0;23.0;44.0;84.0;190.0
8;-259.0;-951.0;538.0;992.0;-109.0;685.0;179.0;105.0
-1;-324.0;-956.0;15.0;928.0;-177.0;-37.0;126.0;221.0
-14;-216.0;-980.0;-166.0;942.0;56.0;59.0;61.0;213.0
-18;-236.0;-997.0;79.0;1102.0;-591.0;314.0;44.0;170.0
1;76.0;-1005.0;18.0;1023.0;107.0;-20.0;-83.0;-204.0
693;-262.0;-855.0;-188.0;1067.0;22.0;79.0;179.0;54.0
-9;-341.0;-932.0;92.0;998.0;-142.0;-387.0;242.0;202.0
4;-160.0;-957.0;-96.0;942.0;-151.0;-38.0;14.0;-16.0
-2;-136.0;-964.0;37.0;990.0;-167.0;176.0;24.0;-82.0
127;-339.0;-1029.0;-20.0;965.0;64.0;-275.0;163.0;242.0
19;-243.0;-1002.0;-24.0;978.0;-174.0;31.0;67.0;48.0
0;-242.0;-967.0;-1178.0;918.0;-162.0;-984.0;57.0;14.0
-1;-224.0;-949.0;335.0;929.0;9.0;-42.0;31.0;46.0
1;-271.0;-983.0;-39.0;981.0;107.0;-38.0;137.0;126.0
9;-177.0;-957.0;-3.0;944.0;-160.0;19.0;24.0;-12.0
218;-192.0;-1009.0;214.0;1291.0;-243.0;-130.0;17.0;139.0
