InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit RUA gyroX
-60.0;-12;702.0;15;-70.0;607.0;157.0;971.0;?;-965.0;349.0;-12;-455.0
-93.0;26;793.0;5;23.0;893.0;193.0;1091.0;-5;-956.0;632.0;26;-556.0
-109.0;-4;979.0;30;38.0;1150.0;238.0;1385.0;-30;-770.0;874.0;-4;-564.0
-184.0;-20;1077.0;39;106.0;1350.0;203.0;1775.0;-39;-610.0;1128.0;-20;-571.0
94.0;-2;-7.0;10;39.0;111.0;-74.0;73.0;-10;-40.0;-72.0;-2;-32.0
79.0;-19;-75.0;33;-14.0;106.0;-101.0;?;-33;202.0;-109.0;-19;-79.0
94.0;-37;?;70;-20.0;141.0;-60.0;97.0;-70;212.0;-17.0;-37;-33.0
52.0;-46;-193.0;23;6.0;223.0;-113.0;62.0;-23;195.0;-41.0;-46;-72.0
-11.0;-32;-267.0;-29;89.0;410.0;-126.0;-78.0;29;170.0;-72.0;-32;-93.0
-26.0;20;-456.0;-34;?;662.0;-252.0;-399.0;34;624.0;-41.0;20;80.0
-1.0;13;-1111.0;-28;50.0;781.0;-277.0;-823.0;28;1114.0;90.0;13;202.0
214.0;29;-1354.0;-60;?;657.0;-305.0;-1399.0;60;1673.0;168.0;29;363.0
538.0;36;-1583.0;-43;382.0;394.0;-393.0;-1449.0;43;2467.0;99.0;36;553.0
950.0;3;-2061.0;-7;-84.0;-183.0;-684.0;-1553.0;7;2839.0;-353.0;3;738.0
1274.0;13;-2663.0;-13;-116.0;-797.0;-1125.0;-2005.0;13;?;-653.0;13;1075.0
1840.0;11;?;5;-12.0;-1502.0;-1347.0;-3296.0;-5;2151.0;-1205.0;11;?
2211.0;-7;-4115.0;4;14.0;-2174.0;-1651.0;-3620.0;-4;2755.0;-1662.0;-7;1378.0
2253.0;-12;-4792.0;-21;196.0;-2782.0;-1849.0;-3290.0;21;3420.0;-2098.0;-12;1798.0
2408.0;?;-5405.0;?;246.0;-3352.0;-1930.0;-3440.0;17;3841.0;-2309.0;-6;?
2470.0;2;?;2;414.0;-3809.0;-2070.0;-2871.0;-2;2071.0;-2932.0;?;2151.0
2234.0;-1;-4962.0;6;-67.0;-4424.0;-2050.0;-2209.0;-6;1936.0;-3119.0;-1;2440.0
2186.0;0;-4453.0;-21;-24.0;-4859.0;-2034.0;-2507.0;21;3483.0;-2914.0;0;2708.0
1879.0;3;-3767.0;-32;-295.0;-4808.0;-1963.0;-2665.0;32;2780.0;-3631.0;3;2816.0
1607.0;-8;-3157.0;9;-404.0;-4740.0;-1797.0;-2077.0;-9;2135.0;-3905.0;-8;2780.0
1318.0;-11;-2371.0;26;-1046.0;-4135.0;-1499.0;-1313.0;-26;1166.0;-3554.0;-11;2813.0
1079.0;-28;-1759.0;-15;-518.0;-3263.0;-1308.0;-679.0;15;-330.0;-3218.0;-28;2473.0
743.0;-39;-1213.0;2;-539.0;-2119.0;-1063.0;-557.0;-2;466.0;-2001.0;-39;1611.0
419.0;-22;-691.0;46;-541.0;-1036.0;-670.0;-752.0;-46;770.0;-933.0;-22;885.0
100.0;-34;-422.0;10;-437.0;?;-430.0;-336.0;-10;187.0;-417.0;-34;404.0
-83.0;-39;-69.0;-1;-153.0;31.0;?;-14.0;1;359.0;-42.0;-39;244.0
-155.0;-27;160.0;25;-93.0;-76.0;170.0;135.0;-25;405.0;15.0;-27;116.0
-240.0;-30;278.0;12;43.0;-61.0;281.0;23.0;-12;-507.0;-192.0;-30;17.0
?;2;343.0;8;91.0;27.0;322.0;97.0;-8;?;?;2;-67.0
-224.0;6;350.0;8;-1.0;125.0;257.0;202.0;-8;237.0;76.0;6;-54.0
-157.0;-33;404.0;-3;37.0;163.0;212.0;201.0;3;302.0;67.0;?;-57.0
-107.0;-3;407.0;?;30.0;124.0;160.0;555.0;-8;-247.0;3.0;-3;-36.0
-82.0;-29;543.0;?;62.0;160.0;138.0;1244.0;-41;-804.0;50.0;-29;?
-116.0;-98;?;43;274.0;490.0;43.0;1650.0;-43;-1243.0;216.0;-98;-317.0
-156.0;-48;895.0;16;?;902.0;-67.0;1565.0;-16;-1203.0;595.0;-48;-694.0
-258.0;7;1157.0;-9;628.0;1278.0;-74.0;1786.0;9;-1058.0;1106.0;7;-1047.0
139.0;23;41.0;-4;-80.0;-115.0;-82.0;93.0;4;52.0;-72.0;23;95.0
97.0;-16;?;?;-96.0;-101.0;-65.0;?;?;?;-69.0;-16;36.0
94.0;-18;10.0;23;-99.0;-63.0;-19.0;128.0;-23;-41.0;-62.0;-18;-10.0
78.0;-33;-55.0;4;-128.0;1.0;-7.0;77.0;-4;?;-18.0;-33;-45.0
63.0;-31;-76.0;-17;-58.0;?;12.0;31.0;17;252.0;-9.0;-31;-61.0
12.0;23;-100.0;40;-48.0;119.0;-56.0;-35.0;-40;266.0;8.0;23;42.0
39.0;23;-229.0;39;-9.0;16.0;?;-451.0;-39;593.0;-152.0;23;211.0
158.0;15;-425.0;38;62.0;-396.0;-144.0;-840.0;-38;947.0;?;?;478.0
?;30;-833.0;?;63.0;-676.0;-308.0;-1191.0;-15;1289.0;-769.0;30;794.0
299.0;33;-1357.0;-5;?;-819.0;-492.0;-1599.0;5;1926.0;-1319.0;33;1163.0
829.0;40;-2025.0;8;64.0;-1089.0;-850.0;-2068.0;-8;2209.0;-1491.0;40;1344.0
1181.0;-27;-2846.0;-15;?;-1635.0;-1369.0;?;15;2752.0;-1983.0;-27;1666.0
1424.0;-75;?;-32;-8.0;?;-1618.0;-3300.0;32;3761.0;-2200.0;-75;2126.0
1788.0;1;-4680.0;-44;92.0;-2452.0;-1841.0;-4034.0;44;3695.0;-2629.0;1;2307.0
1860.0;-23;-5400.0;-25;59.0;-3091.0;-2043.0;-4497.0;25;3557.0;-2895.0;-23;2274.0
2104.0;-32;-5689.0;6;228.0;-3873.0;-2227.0;-4912.0;-6;3644.0;-3140.0;-32;2399.0
1994.0;56;-5674.0;-10;327.0;-4581.0;-2265.0;-4562.0;10;2677.0;-3832.0;56;2744.0
1766.0;18;-5512.0;-23;-60.0;-5092.0;-2340.0;-3595.0;23;3076.0;-4095.0;18;?
1821.0;-22;-5115.0;-14;-289.0;-5179.0;-2322.0;-3333.0;14;4621.0;-3570.0;-22;2971.0
1529.0;6;-4455.0;-13;-700.0;-4735.0;-2167.0;-3647.0;13;4215.0;-3916.0;6;2801.0
1430.0;4;-3662.0;?;-797.0;-3834.0;-1994.0;-3141.0;12;3152.0;-3740.0;4;2785.0
1281.0;6;-2733.0;-16;-1145.0;-2619.0;-1859.0;-2094.0;16;2200.0;-2828.0;?;2537.0
822.0;23;-1842.0;-9;-224.0;-1430.0;-1667.0;-1378.0;9;1844.0;-1601.0;23;1670.0
472.0;10;-1204.0;6;226.0;-784.0;-1202.0;-1166.0;-6;1233.0;-606.0;10;1173.0
322.0;0;-752.0;-10;-80.0;-618.0;-608.0;-940.0;10;-342.0;-455.0;0;976.0
46.0;3;-166.0;-6;-298.0;-317.0;206.0;-56.0;6;-718.0;-304.0;3;560.0
?;-2;254.0;23;-89.0;120.0;633.0;731.0;-23;-592.0;127.0;-2;90.0
-299.0;25;551.0;23;80.0;621.0;843.0;490.0;-23;-672.0;522.0;25;-245.0
?;37;802.0;17;108.0;737.0;736.0;350.0;-17;-129.0;648.0;37;-409.0
-140.0;-9;930.0;27;222.0;644.0;548.0;446.0;-27;288.0;447.0;-9;-533.0
?;?;774.0;14;99.0;438.0;397.0;494.0;-14;-143.0;264.0;-18;-410.0
-16.0;23;571.0;-8;56.0;269.0;257.0;775.0;8;-510.0;89.0;23;-262.0
-63.0;25;696.0;8;26.0;279.0;244.0;1232.0;-8;-716.0;41.0;25;-359.0
-115.0;2;918.0;1;39.0;381.0;323.0;1368.0;-1;-908.0;215.0;2;-591.0
-185.0;-24;1176.0;28;172.0;533.0;456.0;1492.0;-28;-1174.0;495.0;-24;-907.0
-352.0;-22;1589.0;67;?;965.0;562.0;2103.0;-67;?;817.0;-22;-1100.0
?;-3;1859.0;29;?;1400.0;637.0;2673.0;-29;-1478.0;?;-3;-1318.0
77.0;32;-13.0;12;107.0;52.0;14.0;-140.0;-12;-355.0;-11.0;32;-46.0
91.0;44;-123.0;34;?;95.0;57.0;-160.0;?;?;-110.0;44;-61.0
111.0;13;-201.0;-3;101.0;-49.0;10.0;-163.0;3;254.0;-105.0;13;-101.0
174.0;-11;-429.0;-23;200.0;-203.0;-105.0;-374.0;23;488.0;-223.0;-11;97.0
159.0;0;-718.0;-3;129.0;-530.0;-216.0;-517.0;3;763.0;-310.0;0;345.0
166.0;-6;-888.0;-1;140.0;-709.0;-191.0;-846.0;1;1139.0;-465.0;-6;388.0
216.0;-18;-866.0;-14;144.0;-1027.0;-308.0;-1540.0;14;1349.0;-850.0;-18;619.0
317.0;16;?;-3;24.0;-1164.0;-459.0;-2037.0;3;?;-1159.0;16;1067.0
468.0;27;-1624.0;6;-41.0;-1355.0;-600.0;-2482.0;-6;2325.0;-1410.0;27;1417.0
550.0;-6;-2326.0;-20;56.0;-1471.0;-862.0;-3233.0;20;2779.0;-1671.0;-6;1544.0
909.0;-10;-3019.0;-33;13.0;-1825.0;-1205.0;-3547.0;33;3336.0;-1653.0;-10;2072.0
1009.0;8;-3647.0;-30;140.0;-2215.0;-1309.0;-3261.0;30;4053.0;-1861.0;8;2361.0
1186.0;24;-4293.0;-59;167.0;-2627.0;-1543.0;-3524.0;59;4244.0;-2199.0;24;2563.0
1473.0;40;-4621.0;-48;-1.0;-3318.0;-1566.0;-3950.0;48;4246.0;-2467.0;40;2876.0
1907.0;39;-4768.0;-16;?;-4069.0;-1534.0;-4224.0;16;4902.0;-2416.0;39;3213.0
2288.0;28;-4875.0;-13;-256.0;-4708.0;-1528.0;-4616.0;13;4340.0;-2865.0;28;?
2377.0;1;-4794.0;-13;217.0;-5473.0;-1682.0;-4254.0;13;3363.0;-4521.0;1;3213.0
2089.0;-28;-4336.0;-24;278.0;-5741.0;-1772.0;-3323.0;24;2506.0;-4688.0;-28;3301.0
1772.0;-23;-3654.0;-4;-517.0;-5114.0;?;-2817.0;4;1285.0;-4855.0;-23;3139.0
1472.0;-35;-2973.0;?;-691.0;-3529.0;-1612.0;-2272.0;-2;1082.0;-3568.0;-35;2809.0
1447.0;-86;-2103.0;-34;-1314.0;-2054.0;-1613.0;-1512.0;34;1241.0;-1744.0;-86;1877.0
1175.0;-60;-1430.0;-18;226.0;-601.0;-1348.0;-830.0;18;1496.0;-184.0;-60;?
656.0;-11;-732.0;-3;-124.0;226.0;-877.0;-85.0;3;763.0;447.0;-11;231.0
122.0;-50;-172.0;-24;-54.0;423.0;-350.0;?;24;-355.0;560.0;-50;-80.0
-225.0;-51;90.0;3;?;422.0;66.0;359.0;-3;-725.0;424.0;-51;-68.0
-312.0;?;366.0;12;-50.0;494.0;368.0;115.0;-12;-385.0;429.0;-16;-137.0
-335.0;-25;411.0;-22;28.0;610.0;410.0;?;22;-240.0;434.0;-25;-322.0
-347.0;-16;?;-10;144.0;627.0;352.0;331.0;10;-177.0;335.0;-16;-349.0
-276.0;18;353.0;?;32.0;517.0;282.0;-65.0;11;292.0;348.0;18;?
-207.0;27;314.0;-23;88.0;367.0;148.0;87.0;23;409.0;175.0;27;-108.0
-123.0;7;285.0;21;?;285.0;159.0;143.0;-21;-123.0;12.0;7;-63.0
-47.0;24;182.0;9;?;?;?;91.0;-9;-18.0;-36.0;?;-21.0
9.0;28;152.0;-14;-69.0;150.0;104.0;-26.0;14;167.0;-21.0;?;38.0
10.0;34;205.0;-16;-126.0;90.0;123.0;25.0;16;229.0;-43.0;34;-135.0
-81.0;37;424.0;-18;-52.0;116.0;139.0;717.0;18;20.0;47.0;37;-164.0
-190.0;-54;670.0;56;23.0;450.0;164.0;?;-56;-344.0;300.0;-54;-383.0
-283.0;-64;1032.0;50;34.0;908.0;265.0;1275.0;?;-118.0;727.0;-64;?
263.0;9;-102.0;-4;-33.0;-92.0;-189.0;209.0;4;-191.0;-159.0;9;-4.0
271.0;-7;-72.0;-39;-63.0;-123.0;-200.0;319.0;39;-162.0;-121.0;-7;-74.0
?;-33;-121.0;-49;-108.0;-66.0;-219.0;210.0;?;-161.0;?;-33;-44.0
211.0;-31;-123.0;-5;-51.0;-56.0;-153.0;151.0;5;-58.0;-80.0;-31;-77.0
213.0;9;-108.0;2;-31.0;?;-152.0;200.0;-2;9.0;-23.0;9;-61.0
227.0;44;-96.0;-16;-1.0;-52.0;-159.0;61.0;16;-32.0;16.0;44;-57.0
284.0;22;-131.0;-5;-16.0;-163.0;-224.0;15.0;5;-17.0;-64.0;?;89.0
340.0;-2;-238.0;-10;-94.0;-264.0;-303.0;-139.0;10;253.0;-237.0;-2;300.0
472.0;13;-476.0;?;-56.0;-455.0;-426.0;-559.0;35;416.0;-308.0;13;412.0
632.0;11;-697.0;-25;-136.0;-711.0;-527.0;-616.0;25;571.0;?;11;603.0
773.0;-12;-1060.0;-11;-211.0;-1012.0;-681.0;-509.0;11;520.0;-875.0;-12;859.0
828.0;-39;-1411.0;-22;-297.0;-1336.0;-906.0;-674.0;?;789.0;-1402.0;-39;1062.0
980.0;-26;-1702.0;-13;-233.0;-1336.0;-1066.0;-939.0;13;1304.0;-1320.0;-26;1150.0
1339.0;7;-2027.0;13;-74.0;-1446.0;-1272.0;-1311.0;-13;1433.0;-1430.0;7;1037.0
1479.0;-3;-2548.0;5;137.0;-1761.0;-1482.0;-1509.0;?;1265.0;-1530.0;-3;1035.0
1711.0;-20;-3144.0;14;359.0;-1949.0;-1705.0;-1665.0;-14;1940.0;-1603.0;-20;897.0
1871.0;-14;-3598.0;36;373.0;-2001.0;?;-1801.0;-36;2719.0;-1641.0;-14;826.0
1925.0;1;-4054.0;-11;237.0;-1912.0;-1950.0;-1573.0;11;?;-1670.0;1;676.0
2009.0;25;?;-3;397.0;-2071.0;-2028.0;-974.0;3;1957.0;-1709.0;?;576.0
2036.0;59;-5148.0;58;276.0;-2312.0;-2235.0;-897.0;-58;1513.0;-1604.0;59;743.0
?;47;-5328.0;44;158.0;-2348.0;-2120.0;-1225.0;-44;1415.0;-1762.0;?;807.0
1807.0;3;-4960.0;19;40.0;-2374.0;-1963.0;-1123.0;-19;639.0;-1631.0;3;803.0
1540.0;-1;-4626.0;1;118.0;-2368.0;-1792.0;-300.0;-1;662.0;-1971.0;-1;1067.0
1127.0;-3;-4426.0;3;32.0;-2083.0;-1426.0;185.0;-3;1317.0;-1737.0;-3;1086.0
723.0;11;-3972.0;26;-221.0;-1685.0;-789.0;?;-26;763.0;-1289.0;11;?
507.0;15;-3701.0;25;21.0;-1662.0;-654.0;130.0;-25;-676.0;-875.0;15;521.0
387.0;-21;-3679.0;27;36.0;-1696.0;-221.0;348.0;-27;-87.0;-717.0;-21;254.0
245.0;-22;-3347.0;29;-14.0;-1572.0;-263.0;355.0;-29;1041.0;-516.0;-22;327.0
-62.0;-13;-2964.0;4;-38.0;-1274.0;-435.0;564.0;-4;540.0;-755.0;-13;431.0
-38.0;1;-2512.0;-6;67.0;-1048.0;-519.0;1149.0;6;-957.0;-937.0;1;466.0
137.0;15;-2023.0;-4;99.0;-1018.0;-571.0;1166.0;4;-1718.0;-635.0;15;501.0
302.0;23;-1455.0;-16;36.0;-1009.0;-662.0;420.0;16;-1024.0;-244.0;23;52.0
619.0;20;-768.0;-13;156.0;-650.0;-578.0;-543.0;13;-320.0;-96.0;20;-657.0
933.0;-16;-223.0;12;55.0;-36.0;-557.0;-1291.0;-12;352.0;156.0;-16;-1314.0
1029.0;-17;196.0;33;70.0;629.0;-576.0;-1972.0;-33;1177.0;783.0;-17;-1987.0
1099.0;-7;?;39;63.0;1046.0;-622.0;-2339.0;-39;1865.0;911.0;-7;-2538.0
1217.0;-12;644.0;36;104.0;1261.0;-598.0;-2255.0;-36;?;1572.0;-12;-2614.0
1030.0;-10;747.0;38;102.0;1278.0;-523.0;-1924.0;-38;2226.0;1419.0;-10;-2197.0
818.0;-10;758.0;37;-44.0;?;-310.0;-1503.0;-37;1630.0;697.0;-10;-1698.0
933.0;-9;580.0;36;?;1399.0;-313.0;-1080.0;-36;1076.0;1206.0;-9;-1505.0
961.0;-20;529.0;31;-137.0;1446.0;-159.0;-975.0;-31;1077.0;1592.0;?;-1313.0
805.0;-8;587.0;-4;-150.0;1443.0;-35.0;-859.0;4;1125.0;1502.0;-8;-1097.0
663.0;16;551.0;12;-188.0;1388.0;-23.0;-589.0;-12;963.0;1339.0;16;-946.0
550.0;8;508.0;34;-189.0;1402.0;-44.0;-300.0;-34;1054.0;1275.0;8;-620.0
367.0;0;?;-2;?;1465.0;-46.0;-127.0;2;1451.0;1057.0;0;-452.0
181.0;0;355.0;2;-121.0;1463.0;-40.0;-93.0;-2;1867.0;900.0;0;-291.0
296.0;-1;291.0;22;-183.0;1308.0;-20.0;-63.0;?;1799.0;1071.0;-1;-273.0
171.0;5;341.0;60;-236.0;1097.0;-114.0;113.0;-60;1686.0;484.0;5;77.0
39.0;7;267.0;33;-89.0;905.0;-129.0;239.0;-33;1427.0;289.0;7;168.0
-9.0;-26;148.0;-35;-26.0;711.0;-36.0;186.0;35;1107.0;307.0;-26;47.0
-61.0;-42;112.0;13;71.0;509.0;-28.0;55.0;-13;723.0;319.0;-42;26.0
-133.0;7;22.0;59;72.0;237.0;-34.0;70.0;-59;366.0;258.0;7;86.0
-128.0;29;-7.0;56;75.0;18.0;-53.0;96.0;-56;-25.0;86.0;29;82.0
-55.0;12;-53.0;51;74.0;-66.0;?;73.0;-51;-228.0;-59.0;12;69.0
