InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
61;492;5;-3;11;-91;-5;-884;-61;?;-16;-5
-27;491;-1;-1;-17;-84;-7;-881;27;-17;-12;-7
-18;488;10;2;-25;-95;-1;-885;18;-25;-15;-1
16;493;15;-1;-6;-103;?;-890;-16;-6;-22;30
18;490;4;2;?;-93;-29;-889;-18;-11;?;-29
2;490;1;1;-34;-91;-43;-886;-2;-34;-16;-43
-18;493;1;-3;3;-93;-19;-885;18;3;-18;-19
-33;499;14;-10;4;-109;-15;-883;33;4;-20;-15
-39;494;3;-3;-12;-97;?;-887;39;-12;-20;17
-39;481;-19;9;34;-73;31;-890;39;34;-14;31
-39;483;4;2;8;?;?;-886;39;8;-13;25
-34;?;-4;8;-28;-87;-1;-892;34;-28;-15;-1
-15;477;-8;7;6;-83;-12;-892;15;6;-15;?
16;478;?;?;-7;-96;-9;-890;-16;-7;?;-9
-7;492;1;2;-11;-94;21;-889;7;-11;-20;21
10;497;-1;-5;1;-93;-6;-883;-10;1;-17;-6
10;493;2;-3;-18;-95;-34;-881;-10;-18;-14;-34
-16;491;11;0;-6;-104;-20;-886;16;-6;-19;-20
-15;493;7;-2;21;-101;6;-884;15;21;-17;?
-6;490;5;?;35;-97;20;-878;6;35;-9;20
12;490;1;1;11;-93;5;-885;-12;11;-16;5
17;493;4;-3;-25;-96;-11;-885;-17;-25;-18;-11
-25;492;-1;-1;-7;-91;-6;-884;25;-7;-16;-6
-34;495;-2;-4;17;-91;-17;-884;34;17;-17;-17
-18;494;-1;-6;-12;-91;-16;-879;18;-12;-12;-16
-50;489;-11;1;15;-81;11;-884;50;15;-13;11
-56;492;-1;-3;60;-90;4;-887;56;60;-18;4
-24;495;4;-8;5;-96;1;-882;24;5;-16;1
-17;496;-1;-6;?;-90;24;-889;17;20;?;24
-13;493;-1;-1;56;-88;11;-894;13;56;-24;11
10;489;-3;0;7;-85;3;-889;-10;7;-18;3
37;493;4;-5;14;-93;30;-888;-37;14;-20;30
43;493;7;-6;21;-96;34;-887;-43;21;-20;34
7;491;-7;0;-2;-80;13;-891;-7;-2;-21;?
-9;483;-5;9;?;-80;-15;-894;9;21;-20;-15
-9;480;5;7;14;-89;-13;?;9;14;-15;-13
-31;486;-1;0;-18;-84;25;?;31;-18;-13;25
-29;486;0;0;-16;-85;22;-886;29;-16;-13;22
-8;488;3;0;-32;-89;-15;-892;8;-32;-21;?
-21;489;2;-2;-29;-90;-26;-894;?;-29;-23;-26
-58;483;11;0;-7;-98;-33;-888;58;-7;-16;-33
-51;479;9;1;-24;-97;-8;-886;51;-24;-12;-8
-14;482;1;1;-23;-91;-4;-891;14;-23;-17;-4
-16;480;5;3;12;?;-30;-893;16;12;-17;-30
-23;477;?;2;25;-94;11;-886;23;25;?;?
6;482;2;-1;24;-92;13;-891;?;24;-17;13
17;485;-6;1;20;-83;0;-898;-17;20;-25;0
18;?;-9;2;-6;-79;8;-893;-18;-6;-18;8
27;477;-6;6;-28;-83;-34;-890;-27;-28;-13;-34
26;477;-6;6;-27;-82;-34;-890;-26;-27;-13;-34
0;485;-7;2;18;-90;-19;?;0;18;-12;-19
-15;483;-9;8;-3;-89;14;-893;15;-3;-20;14
14;487;?;0;5;-107;19;-890;-14;?;-20;19
2;487;6;-2;31;?;-16;-885;-2;31;-16;-16
-28;487;0;-2;21;-99;-26;-886;28;21;-15;-26
3;487;9;-3;14;-108;0;-886;-3;14;?;0
-5;491;-10;-2;3;-90;-24;-889;?;3;-20;-24
-44;486;-4;0;-26;-96;-23;-887;44;-26;-16;-23
-15;483;4;0;17;?;0;?;15;17;-15;?
5;485;-8;0;22;-91;0;-887;?;?;-16;0
-5;483;1;0;-14;-99;0;-886;5;-14;-14;0
14;489;7;-5;50;-104;-9;-890;-14;50;-20;-9
20;491;7;-6;67;-105;-10;-890;-20;67;-22;-10
-3;483;0;0;24;-94;-15;-888;3;24;-16;-15
-26;482;-9;1;13;-84;-22;-887;26;13;?;-22
-3;479;-4;4;14;-89;-20;-889;3;14;-14;-20
26;476;-2;7;1;-91;-19;-890;-26;1;-13;-19
-13;487;-1;-4;-7;-93;7;-888;13;-7;-16;7
-19;484;1;1;27;-96;20;-895;19;27;-22;20
23;479;-9;8;34;-83;-22;-900;-23;34;-23;-22
17;484;-11;2;13;?;-14;-895;-17;13;-21;-14
5;484;1;-1;-14;-94;27;-891;-5;-14;-19;27
3;481;1;2;-2;-93;8;-890;-3;-2;-16;8
-34;485;1;-2;26;-92;-1;-888;34;26;-16;?
-27;488;7;-7;-14;-99;11;-886;?;-14;-16;11
34;483;5;-1;14;-96;0;-886;-34;14;-14;0
19;483;1;0;25;-92;-14;-889;-19;25;-17;-14
-6;489;1;-5;-8;-93;-6;-892;6;-8;-22;-6
4;?;1;3;15;-91;0;-892;-4;15;-17;0
-24;475;2;7;?;-91;8;-892;24;14;-14;8
-25;481;2;2;32;-91;12;-894;25;32;-19;12
0;478;1;?;14;-90;-31;-894;0;14;-19;-31
29;482;-2;3;-4;-87;-22;-897;-29;-4;-22;-22
15;484;-6;1;29;-82;41;-894;-15;29;-20;41
-39;480;-4;0;3;-81;30;?;39;3;-10;30
-7;492;3;-13;-10;-89;9;-884;7;-10;-15;9
5;487;-3;1;-7;-91;3;-892;-5;-7;-20;3
-22;489;0;-5;-6;-94;-10;-883;22;-6;-13;-10
?;489;2;?;1;-96;-9;-886;10;1;-17;-9
29;489;-1;-2;0;-94;-10;-889;-29;0;-19;-10
?;489;-4;0;-5;-90;-10;-889;-4;-5;-19;-10
-18;489;-2;2;?;-92;3;-896;18;4;-25;3
-17;488;4;-1;-4;-97;20;-889;17;-4;-18;20
-23;485;0;2;-13;-92;6;-888;23;-13;-16;6
-40;488;-1;-1;?;-93;-6;-891;40;-24;-20;?
-26;488;4;-6;-22;-99;-16;-885;26;-22;-15;-16
16;485;-2;-1;-15;-93;-17;-887;-16;?;-16;-17
38;490;-5;-2;6;-92;0;-892;-38;6;-21;0
21;492;1;-6;26;-97;-16;-889;-21;26;-20;-16
-21;485;-1;-2;-4;-94;-20;-887;21;-4;-16;-20
-24;481;-8;3;13;-86;10;-888;24;13;-14;10
-16;482;-7;1;12;-87;-1;-887;16;12;-13;-1
-15;484;6;-2;-32;?;-21;-889;15;-32;-17;-21
-6;485;5;-2;-4;-101;-9;-892;6;-4;-20;-9
1;484;-8;1;-1;?;?;?;-1;-1;-17;0
26;481;-1;2;-29;-94;13;-890;-26;-29;-16;13
13;481;2;5;-6;-97;24;-894;?;-6;-20;24
?;478;-2;5;-2;-92;-5;-888;-8;-2;-13;-5
-3;483;1;1;-31;-96;-17;-890;3;-31;-17;-17
-16;485;3;2;-26;-99;11;?;16;-26;-24;11
33;474;5;8;0;-100;21;-889;-33;?;-12;21
14;484;-4;1;10;?;15;?;-14;10;-19;15
19;494;-6;-8;-14;-92;0;-891;-19;-14;-24;0
?;485;3;-2;-28;-100;-10;?;-33;-28;-17;-10
3;484;1;1;-26;-98;4;-892;-3;-26;-20;4
16;489;-5;-5;-7;-93;21;-888;-16;-7;-18;21
6;488;-3;-2;48;-93;31;-891;-6;48;-20;31
26;485;0;1;46;-95;15;?;-26;46;-20;?
30;486;4;-3;25;-98;-18;-886;-30;25;-16;-18
0;486;-5;-2;2;-88;-12;-883;0;2;-12;-12
34;481;-5;5;-28;-87;12;-887;-34;-28;-13;12
39;485;5;1;-17;-97;11;-889;-39;-17;-16;11
30;485;1;1;7;-94;10;-884;-30;7;-12;10
-21;487;9;1;0;-105;-32;-890;21;0;-20;-32
2;488;1;-1;12;-97;-10;-884;-2;12;-15;-10
19;495;2;-8;-9;-99;19;-883;-19;-9;-17;19
14;496;2;-7;-9;-99;3;-887;-14;-9;-21;3
4;489;-6;0;24;-89;-20;-888;-4;24;?;-20
-7;489;4;-5;9;-98;-11;-882;7;9;-13;-11
5;488;-1;2;-5;-94;-7;-891;-5;-5;-21;-7
-9;488;2;2;-10;-97;21;-895;9;-10;-24;?
-10;488;18;-5;?;-113;25;-885;10;6;-17;?
19;485;3;3;23;-97;10;-890;-19;23;-18;10
5;485;-5;4;4;?;0;-892;-5;4;-19;0
-24;481;14;3;12;-107;-22;-889;24;12;-16;-22
-33;476;12;9;10;-105;7;-896;33;10;-20;?
-14;481;-10;4;1;-83;-11;-891;14;1;-16;-11
-10;485;-4;-3;?;-89;-21;-885;10;3;-14;-21
-30;480;7;4;-7;-101;23;-893;30;-7;-19;23
-28;474;-4;11;-6;-89;-8;-895;28;-6;-16;-8
-27;?;-6;11;-6;-87;-16;?;27;-6;-15;-16
-30;474;-2;8;-1;-93;2;-894;30;-1;-16;2
-15;478;-7;1;6;-89;-3;-889;15;6;-13;-3
34;485;3;-6;-16;-99;?;-888;-34;-16;-17;?
31;484;5;-4;-23;-102;10;-890;-31;-23;-18;10
-6;480;-5;1;12;-91;1;-888;6;12;-13;1
16;484;3;-3;27;-100;-8;-887;-16;27;-15;-8
-13;489;1;-8;15;-99;?;-884;13;15;-15;-11
-19;488;-3;-5;18;?;-6;-889;19;18;-18;-6
8;481;-2;1;9;-91;6;-888;-8;9;-14;6
-6;482;-6;0;?;-86;21;-887;6;5;-13;21
23;487;7;-2;5;-98;-5;-894;-23;5;-23;-5
34;480;10;0;-11;-101;-44;-885;-34;?;-12;-44
7;486;4;-4;23;-97;-10;-886;-7;23;-15;-10
-19;495;-1;-12;22;-92;-12;-884;19;22;-18;-12
-24;486;1;-4;-9;?;-26;-883;24;-9;?;-26
7;484;14;3;16;-104;12;-897;-7;16;-24;12
7;484;14;2;16;-104;12;-897;-7;16;-24;?
-3;481;2;6;10;-92;6;-895;3;10;-20;6
38;490;-1;?;30;-90;-14;-888;-38;30;-18;-14
-13;492;-3;-2;9;-90;27;-887;13;9;-18;27
5;493;6;-6;-3;-99;3;-881;-5;-3;-14;3
12;?;6;1;13;-98;-15;-887;-12;13;-17;-15
-26;487;-3;4;-15;-89;11;-888;26;-15;-17;11
-24;487;1;1;-4;-93;-19;-885;24;-4;-15;-19
-5;489;-1;0;11;-92;16;-888;5;11;-18;16
-5;491;6;-3;-5;-99;13;-886;5;-5;-18;?
31;488;3;2;-4;-94;-19;-890;-31;-4;-20;-19
32;492;-10;3;5;-81;22;-896;-32;5;-25;22
-15;494;4;-3;14;-94;-25;-891;15;14;?;-25
-4;484;2;5;6;-91;-45;-888;4;6;-15;-45
16;488;-7;0;3;-83;7;-885;-16;3;-14;7
13;489;2;-3;?;-92;-4;-884;-13;5;-15;-4
-2;485;0;?;20;-89;-19;-889;2;20;-17;?
-16;492;0;-2;?;-90;-10;-888;16;22;-18;?
3;488;5;1;4;-95;-19;-889;-3;4;-19;-19
7;484;-1;9;20;-88;-12;-896;-7;20;-23;-12
-4;486;0;3;28;-89;-15;-890;4;28;-19;-15
-28;488;0;1;45;-89;-18;-889;28;45;-18;-18
-2;489;-7;2;36;-82;-7;-891;2;36;-20;-7
12;487;0;0;15;-88;2;-886;-12;15;-14;2
-28;490;4;-3;34;-91;?;-888;28;34;-18;20
16;493;-2;-4;9;-86;?;-888;-16;9;-19;7
7;486;-3;3;12;-84;-3;-888;-7;12;-16;-3
-16;487;-2;2;-2;-85;4;-889;16;-2;-17;4
5;488;-2;0;-23;-85;14;-885;-5;-23;-14;14
-17;486;1;3;15;-87;20;-888;17;15;-16;20
1;491;?;-3;-10;-91;3;-887;-1;?;-18;3
-1;485;?;2;-17;-86;3;-883;1;-17;-11;3
2;487;-7;4;2;-80;18;?;-2;2;-20;18
16;493;-1;-2;-12;-87;0;-894;-16;-12;-24;0
-13;485;6;1;-2;-93;-7;-887;13;-2;-16;-7
-17;481;4;7;4;-91;0;-893;17;4;-18;0
-6;477;4;10;-7;-91;-17;-893;6;-7;-16;-17
-12;484;0;3;18;-88;-9;?;12;18;-19;-9
-23;488;-3;1;48;?;8;-895;23;48;-24;8
-6;487;-1;0;14;-87;-6;-892;6;14;?;-6
18;492;-1;-5;-18;-87;-8;-890;-18;?;-20;-8
16;491;-1;-5;?;-87;?;-890;-16;-16;-20;-10
16;491;-2;-5;-18;-87;-13;-889;-16;-18;-19;-13
3;491;1;-3;?;-89;13;-894;-3;1;-24;13
-16;485;0;3;-8;-88;13;-894;16;-8;-21;13
-11;484;2;1;-26;-92;-21;?;?;-26;-15;-21
21;488;3;-3;11;-95;-16;-888;-21;11;-18;-16
17;487;-2;-1;25;-89;0;-890;-17;25;-18;0
-27;487;1;-1;5;-92;-7;-889;27;5;-17;-7
0;486;1;-2;11;-92;-16;-885;0;?;-14;-16
18;485;3;0;9;-93;-21;-887;-18;?;-15;-21
23;489;2;-3;-15;-94;0;-886;-23;-15;-17;0
49;489;-10;?;-28;-81;-5;-884;-49;-28;?;-5
28;?;-10;5;-46;-82;-39;-888;-28;-46;-15;-39
24;490;-6;2;-66;-88;-16;-889;-24;-66;-19;-16
28;491;-9;1;-67;-84;-9;-891;-28;-67;-21;-9
28;492;2;-1;-59;-98;3;-885;-28;-59;-18;3
20;496;18;-5;-6;-118;21;-881;-20;-6;-18;21
-8;500;12;-6;-3;-113;-1;-884;8;-3;-21;-1
3;499;7;-5;-55;-108;9;-884;-3;-55;-20;?
4;498;11;-2;27;-111;35;-886;-4;27;-23;35
-33;502;0;-10;110;-99;48;-879;33;?;-17;48
-28;494;?;-3;69;-84;25;-876;28;69;-9;25
-2;482;1;9;78;-91;15;-883;2;78;-10;15
-20;490;3;?;104;-92;53;?;20;?;?;53
-30;490;-14;5;69;-70;36;-891;30;69;-19;36
-2;488;-12;4;56;-68;11;-889;2;?;-16;11
13;500;1;-12;44;-80;51;-880;-13;44;-15;51
11;500;1;-8;31;-78;27;-886;-11;31;-21;27
-31;494;-5;3;18;-71;?;-895;31;18;-24;-10
-35;495;3;-2;-6;-77;21;-892;35;-6;-22;?
22;?;1;-1;2;-74;-10;-886;-22;2;-16;-10
-6;492;-20;1;-10;-52;-54;-887;6;-10;-16;-54
?;498;6;-6;-16;-81;-27;-890;51;?;-24;-27
-44;497;19;-13;?;-95;-5;-878;44;-2;-14;-5
-18;491;-10;-4;-26;-67;-13;-876;18;-26;-6;-13
27;485;-16;13;?;-62;-30;-897;-27;-69;-21;-30
13;486;-10;11;-80;-70;-32;-897;-13;?;-22;-32
-21;495;9;-7;-48;-94;-13;-882;21;-48;-16;-13
7;500;?;-9;-36;-100;-19;-885;-7;-36;-22;-19
30;486;-8;6;-73;-80;-52;-885;-30;-73;-13;-52
10;484;1;4;-56;-90;-44;-879;-10;-56;-7;-44
-6;498;?;-9;-16;-102;-20;-878;6;?;-13;-20
-14;496;12;-6;26;-106;-6;-879;14;26;-15;-6
-32;498;36;-5;133;-131;33;-890;32;133;-27;33
-53;496;-2;-6;116;-85;39;-881;53;116;-16;39
-79;489;5;5;87;-84;47;-898;79;87;-26;47
-49;486;-19;2;77;-58;35;-883;49;77;-9;35
-6;487;-9;4;74;-67;40;-893;6;74;-19;40
-11;491;31;13;144;-105;136;-928;11;144;-55;136
46;470;-102;-13;-100;35;46;-804;-46;-100;74;46
122;458;?;2;-253;-257;-103;-873;-122;-253;-2;-103
195;472;239;42;23;-314;-8;-988;-195;23;-113;-8
172;512;-104;-8;17;27;29;-873;-172;17;-7;29
12;543;72;-52;-145;-160;-67;-869;-12;-145;-33;-67
-43;505;71;-8;26;-156;-9;-891;43;26;-33;-9
-34;480;-68;22;93;?;55;-881;34;93;?;55
48;488;-3;6;56;-91;18;-880;-48;56;-10;18
-5;494;-2;1;?;-89;-27;-883;5;66;-15;-27
-45;497;2;-1;44;-92;-4;-885;45;44;-19;-4
-20;497;9;-2;28;-97;21;-886;20;28;?;21
4;491;2;2;41;-88;22;-884;-4;?;-16;22
14;484;?;12;25;-68;16;-887;-14;25;-13;16
-18;489;-10;8;-17;-75;-10;-890;18;-17;-18;-10
-40;490;-6;1;-3;-79;14;-882;40;-3;-12;14
?;484;-13;9;16;-70;24;-886;17;?;-12;24
-3;490;-1;1;-27;-80;-14;-885;3;-27;-15;-14
-27;491;-3;-1;-21;-78;-12;-882;27;?;-13;-12
-23;485;6;7;47;-87;15;-891;23;47;-18;15
?;487;15;1;75;-95;41;-890;17;75;-19;41
-63;488;-2;1;60;-78;62;-891;63;60;-19;62
-68;?;20;-7;48;-99;36;-891;68;48;-23;36
-26;486;-3;-3;?;-73;14;-884;26;73;-12;14
-19;473;-36;16;60;-36;24;-891;19;60;-8;24
-13;489;7;-5;23;-80;20;-890;13;23;-19;20
15;495;3;-12;44;-76;21;-886;-15;44;-17;?
12;476;-23;14;40;-46;30;-899;-12;40;-18;30
-16;485;1;2;6;-71;24;-899;16;6;-24;?
-7;492;?;-9;-37;-61;?;-887;7;-37;-16;-8
6;473;-1;13;-14;-68;?;?;-6;-14;-18;-21
5;480;-5;5;-48;-66;-33;-896;-5;-48;?;-33
5;489;-1;-6;-43;-73;-31;-890;-5;-43;-18;-31
7;486;38;-3;0;-113;-5;-898;-7;0;-26;-5
52;484;-81;7;-196;7;-36;-883;?;-196;-4;-36
88;423;-70;82;41;0;15;-924;-88;41;-11;15
146;459;-57;57;143;-14;49;-931;-146;143;-35;49
107;555;-103;?;-250;21;-70;-858;-107;-250;-16;-70
-61;509;153;-33;-77;-242;-59;-876;61;-77;-30;-59
-61;485;189;0;143;-278;43;-909;61;143;-50;43
-22;496;-40;5;99;-40;27;?;22;99;-18;27
-54;481;-40;16;34;-35;-10;-886;54;34;-8;-10
-43;491;28;?;-33;-105;8;-889;43;-33;-21;8
-27;488;?;1;18;-85;9;-886;?;18;-15;9
-8;481;-1;10;26;-75;8;-890;8;26;-14;8
-11;488;-11;4;18;-65;21;-887;11;18;-14;21
-19;493;-7;-2;?;-69;-23;-884;19;-8;-15;-23
7;484;9;5;-1;-83;-9;-886;-7;-1;-13;-9
-4;486;10;1;58;-85;35;-883;4;58;?;35
-27;495;0;-2;75;-75;9;-889;27;75;-19;9
-8;489;?;5;51;-60;9;-892;8;?;-19;9
-20;497;24;-10;8;-97;7;-886;20;8;-20;7
-23;490;?;-1;16;-87;-3;-890;23;16;-20;-3
-2;470;-23;23;19;-43;3;-897;2;19;-13;?
-40;493;11;-3;21;-80;-1;-895;40;21;-25;-1
-37;502;1;-11;54;-72;-10;-892;37;54;-25;-10
?;469;-37;18;?;-30;-20;-884;-31;-2;0;-20
33;476;24;7;-40;-94;-7;-887;-33;-40;-11;-7
27;498;40;-13;59;-112;17;-890;-27;59;?;?
14;?;4;-6;155;-72;63;-883;-14;155;-14;63
-36;489;8;-2;160;-70;91;-885;36;160;-13;91
-39;491;3;-1;95;-58;61;-890;39;95;-18;61
-28;491;12;?;68;-64;80;-887;28;68;-15;80
-30;490;17;-5;97;-68;113;-884;30;97;-13;113
-23;?;15;-5;6;-65;27;-888;23;6;-17;27
-10;?;9;1;-30;-58;-46;-884;10;-30;-10;-46
?;473;-14;13;-16;-34;-65;-882;-23;-16;-1;-65
38;483;-6;8;-97;-47;-71;-892;-38;-97;-15;-71
10;500;21;-8;-70;-79;?;-897;-10;-70;-30;-24
8;501;8;-6;-65;-69;-49;-899;-8;-65;-31;-49
17;490;-7;3;-98;-57;-78;-893;-17;-98;-20;?
0;489;18;-3;-40;-85;-65;?;0;?;-15;-65
21;500;47;-16;38;-117;-3;-884;-21;38;-21;-3
?;494;9;-4;132;-76;80;-886;-18;132;-16;80
-43;483;-35;14;167;-24;45;-891;43;167;-13;45
-37;495;23;-5;172;-77;79;-890;37;172;-22;79
-40;492;29;-2;215;-77;95;-896;40;215;-25;95
-82;473;-40;22;229;3;71;-899;82;229;-15;71
-70;499;2;-9;123;-37;80;-896;70;123;-26;80
-90;501;27;-12;146;-59;88;-904;90;?;?;88
?;479;-2;10;259;-19;146;-910;113;259;-29;146
-108;517;48;-30;157;-61;121;-919;108;157;-54;121
-179;424;-55;50;252;60;?;-895;179;252;9;222
39;293;-194;150;5;217;94;-831;-39;?;128;94
288;438;39;7;-445;-38;-239;-846;-288;-445;48;-239
133;594;196;-103;-81;-224;-45;-921;-133;-81;-96;-45
80;535;8;-26;150;-29;117;-921;-80;150;-65;117
21;478;-27;12;0;15;-16;-887;-21;0;-8;-16
-41;499;25;-11;-18;-40;-24;-888;41;-18;-19;-24
47;498;-16;-7;-79;-1;-18;-887;-47;-79;-17;-18
?;482;-5;4;-97;-11;-73;-879;-24;-97;?;-73
22;493;-8;-4;-41;-66;-28;-886;-22;-41;-17;-28
20;488;-14;1;-54;-61;-38;-885;?;-54;-12;-38
4;489;3;-1;8;-80;-17;-886;?;8;-15;-17
5;485;-4;6;-25;-73;-10;-890;-5;-25;-16;-10
2;485;-6;7;?;-70;-7;-890;-2;-35;-16;-7
28;488;0;3;-15;-78;-27;-888;?;?;-17;-27
33;497;-9;-4;-52;-72;-14;-887;-33;-52;-19;-14
?;500;-8;-3;-62;?;15;-892;-8;-62;-25;15
-9;492;3;4;-21;-83;-2;-894;9;-21;-23;-2
-27;489;1;6;-15;-79;0;-890;27;-15;-18;0
-7;488;-5;8;-38;-74;10;-892;7;-38;-19;10
27;494;-1;-1;-24;-78;16;-887;-27;-24;-18;16
19;?;-3;-4;-44;-76;19;-883;-19;-44;-16;19
?;?;-11;5;-50;-69;-9;-890;-17;-50;-19;?
1;493;-11;4;-4;-71;-6;-889;-1;-4;-19;-6
-8;493;-1;1;-21;-80;12;-886;8;-21;-16;12
18;492;-4;4;-79;-78;-37;-890;-18;-79;-20;-37
0;491;-13;2;-82;-69;-45;-885;0;-82;-15;-45
23;498;30;-7;-22;-115;1;-888;-23;-22;-24;1
-7;489;-31;5;18;-54;-3;-884;?;18;-12;-3
-31;502;2;-8;19;-87;39;-888;31;19;-23;39
?;?;79;-17;146;-165;117;-915;-76;146;-60;117
-59;466;-135;58;238;68;140;-931;59;238;-34;140
-185;452;-118;72;26;57;171;-944;185;26;-39;171
51;464;-111;27;-121;49;43;-872;-51;-121;18;43
?;?;-174;-10;-132;105;-123;-824;-120;-132;50;-123
-79;?;88;-36;-184;-176;-75;-898;79;-184;-52;-75
-87;495;105;-2;3;-192;-15;-911;87;3;-49;?
?;489;-22;9;?;-58;28;-898;6;206;-24;28
-29;490;-20;9;109;-54;35;-903;?;109;-28;?
-33;470;-34;?;52;-34;-26;-877;33;52;5;-26
-15;487;-21;-1;22;-50;-36;-880;15;22;-7;-36
-17;493;-1;?;-99;-72;-20;-903;?;-99;-30;-20
-18;483;-11;9;-79;-63;-21;-898;18;-79;-21;-21
-15;487;-8;4;-44;-69;1;-895;15;-44;-21;1
-20;490;0;2;-46;-78;16;-900;20;-46;-28;16
-10;487;-6;3;-58;-72;6;-894;10;-58;-21;6
7;482;-6;6;-90;-76;0;-892;-7;-90;-17;0
5;483;-6;5;-87;-75;?;-892;-5;-87;-17;1
3;484;-7;4;-91;-74;2;-891;-3;-91;?;2
14;477;-5;13;-46;-79;-7;-897;-14;-46;-19;?
11;482;-3;8;-13;-85;-3;-894;-11;-13;-20;-3
2;484;7;2;19;-94;?;-889;-2;19;-17;17
-7;482;0;6;1;-88;6;-893;7;1;-18;6
4;491;-14;0;-56;-75;-9;-894;-4;-56;-22;-9
28;488;-4;2;2;-85;-9;-894;-28;2;-22;-9
-2;485;-5;3;-4;-83;-9;-891;2;-4;-18;-9
-19;483;-17;5;-29;-70;22;-889;19;-29;-14;22
-2;483;-14;4;-3;-72;21;-890;2;-3;-15;21
-7;492;-11;?;-43;-74;-24;-892;7;-43;-21;-24
-6;491;-11;-4;-39;-74;-21;-892;6;-39;-21;-21
1;484;-7;1;-5;-79;-3;-890;-1;-5;-16;-3
20;483;-1;3;-17;-84;14;-892;-20;-17;-18;14
26;487;-1;2;-7;-83;20;-894;-26;-7;-22;20
11;485;-9;3;-15;-76;6;-894;-11;-15;?;6
5;481;-13;9;-36;?;1;-897;-5;-36;-19;1
5;485;-5;4;-18;-80;10;?;-5;-18;-22;?
-10;488;5;-4;-35;-89;-4;-889;10;-35;-19;-4
?;483;-2;?;-60;-83;-58;-886;23;-60;-13;-58
