InertialMeasurementUnit R-SHOE EuY;Accelerometer RUA^ accY;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit RUA accX;InertialMeasurementUnit LLA gyroZ
-20;1007.0;-12.0;-3.0;258.0;-154;12.0;343;-961.0;94.0
-20;1010.0;-7.0;-3.0;256.0;-154;8.0;347;-964.0;68.0
-20;1010.0;-5.0;3.0;258.0;-154;-3.0;345;-963.0;64.0
-20;1000.0;3.0;-16.0;257.0;-154;-4.0;341;-962.0;61.0
-26;810.0;31.0;17.0;284.0;-71;-6.0;405;-750.0;39.0
-26;812.0;-17.0;12.0;300.0;-71;39.0;408;-745.0;142.0
-20;1011.0;-9.0;5.0;259.0;-154;9.0;343;-965.0;36.0
-20;1001.0;1.0;1.0;257.0;-154;-4.0;346;-964.0;29.0
-20;1010.0;11.0;-13.0;257.0;-154;1.0;341;-961.0;35.0
-25;812.0;28.0;19.0;306.0;-75;70.0;398;-674.0;177.0
-20;1014.0;17.0;-11.0;260.0;-154;-13.0;343;-963.0;63.0
-20;1023.0;20.0;7.0;258.0;-153;23.0;344;-963.0;44.0
-20;999.0;14.0;20.0;255.0;-154;10.0;345;-963.0;18.0
-20;1000.0;21.0;-15.0;259.0;-154;18.0;343;-963.0;38.0
-20;1020.0;15.0;-7.0;254.0;-153;0.0;344;-970.0;24.0
-20;1007.0;22.0;17.0;257.0;-154;2.0;341;-962.0;10.0
-20;1005.0;28.0;-3.0;253.0;-154;-25.0;343;-963.0;36.0
-27;845.0;15.0;24.0;320.0;-71;38.0;421;-759.0;-75.0
-27;836.0;31.0;8.0;332.0;-71;47.0;417;-762.0;54.0
-27;875.0;-10.0;18.0;318.0;-71;34.0;412;-763.0;72.0
-27;849.0;42.0;23.0;327.0;-71;31.0;422;-794.0;78.0
-27;821.0;19.0;13.0;345.0;-71;4.0;417;-791.0;42.0
-27;846.0;0.0;28.0;328.0;-71;25.0;421;-794.0;21.0
-27;842.0;12.0;28.0;313.0;-71;-8.0;421;-786.0;77.0
-27;888.0;0.0;41.0;295.0;-71;-38.0;416;-788.0;85.0
-27;867.0;-112.0;-60.0;366.0;-71;-86.0;422;-770.0;222.0
-20;1016.0;9.0;-3.0;249.0;-153;5.0;341;-966.0;22.0
-27;863.0;-47.0;10.0;314.0;-71;0.0;417;-780.0;107.0
-29;679.0;36.0;-13.0;284.0;-72;9.0;453;-834.0;91.0
-27;861.0;-80.0;10.0;347.0;-71;61.0;423;-793.0;120.0
-27;862.0;-89.0;2.0;366.0;-71;37.0;422;-773.0;162.0
-28;840.0;-101.0;23.0;419.0;-24;129.0;376;-797.0;173.0
-20;1020.0;-5.0;-37.0;250.0;-153;-6.0;342;-970.0;20.0
-20;1013.0;3.0;14.0;255.0;-154;6.0;345;-970.0;54.0
-20;1015.0;3.0;-3.0;255.0;-154;8.0;341;-963.0;52.0
-20;1010.0;-7.0;-14.0;250.0;-154;-7.0;344;-962.0;18.0
-20;1000.0;-38.0;-14.0;252.0;-154;-2.0;343;-965.0;28.0
-20;1011.0;-16.0;10.0;255.0;-154;-2.0;337;-968.0;58.0
-20;990.0;-31.0;-3.0;250.0;-153;-8.0;348;-966.0;18.0
-20;1001.0;-1.0;-1.0;257.0;-153;16.0;343;-968.0;54.0
-20;1032.0;14.0;-12.0;255.0;-154;17.0;345;-958.0;61.0
-20;1016.0;8.0;16.0;251.0;-154;16.0;343;-961.0;46.0
-20;1012.0;-13.0;8.0;253.0;-153;-4.0;342;-966.0;48.0
-20;997.0;-3.0;16.0;251.0;-154;-19.0;347;-964.0;35.0
-20;1002.0;12.0;-1.0;250.0;-154;6.0;346;-965.0;42.0
-20;1004.0;-15.0;-8.0;253.0;-153;8.0;342;-966.0;45.0
-20;1021.0;3.0;-18.0;252.0;-153;-2.0;337;-963.0;32.0
-27;979.0;-30.0;-28.0;181.0;-71;-8.0;430;-955.0;49.0
-27;999.0;-42.0;-12.0;181.0;-71;-5.0;433;-955.0;47.0
-28;1028.0;-25.0;8.0;185.0;-71;23.0;406;-939.0;12.0
-28;1022.0;-19.0;27.0;182.0;-71;50.0;417;-954.0;53.0
-28;996.0;-30.0;13.0;177.0;-71;44.0;427;-949.0;27.0
-20;1009.0;4.0;-5.0;254.0;-154;-2.0;348;-962.0;42.0
-20;1010.0;0.0;-37.0;251.0;-154;-9.0;348;-972.0;45.0
-20;1010.0;-27.0;3.0;253.0;-154;14.0;343;-966.0;40.0
-29;1060.0;-15.0;21.0;228.0;-71;6.0;441;-951.0;-2.0
-20;1008.0;-17.0;-14.0;254.0;-153;-1.0;346;-962.0;69.0
-20;1013.0;1.0;-17.0;256.0;-153;18.0;345;-961.0;29.0
-20;999.0;-16.0;-4.0;250.0;-153;23.0;340;-965.0;46.0
-20;998.0;-15.0;-2.0;255.0;-154;1.0;341;-968.0;55.0
-20;993.0;6.0;1.0;253.0;-153;2.0;344;-967.0;65.0
-20;1019.0;-17.0;8.0;256.0;-153;-2.0;342;-965.0;69.0
-20;1017.0;-27.0;7.0;254.0;-153;-7.0;338;-964.0;64.0
-20;991.0;1.0;3.0;255.0;-153;0.0;345;-960.0;42.0
-20;1009.0;-19.0;16.0;261.0;-153;-9.0;344;-964.0;40.0
-20;1020.0;-9.0;20.0;258.0;-153;12.0;345;-967.0;30.0
-20;1019.0;-36.0;-1.0;258.0;-153;18.0;345;-965.0;33.0
-27;1028.0;130.0;-47.0;209.0;-16;-27.0;354;-945.0;-27.0
-20;1008.0;-16.0;13.0;263.0;-153;4.0;344;-957.0;11.0
-20;997.0;-17.0;29.0;263.0;-153;19.0;341;-959.0;10.0
-20;988.0;-15.0;-11.0;265.0;-153;26.0;341;-960.0;34.0
-20;991.0;7.0;-4.0;260.0;-153;-9.0;340;-957.0;52.0
-20;996.0;-13.0;9.0;260.0;-153;-13.0;340;-965.0;63.0
-20;1002.0;-11.0;14.0;255.0;-153;-13.0;346;-963.0;80.0
-20;991.0;-9.0;14.0;260.0;-153;6.0;339;-966.0;20.0
-20;996.0;-5.0;1.0;262.0;-153;0.0;339;-963.0;5.0
-20;1010.0;3.0;10.0;261.0;-153;8.0;345;-961.0;48.0
-20;1008.0;-45.0;33.0;259.0;-153;5.0;342;-968.0;10.0
-20;1010.0;-11.0;-5.0;261.0;-153;-4.0;341;-962.0;57.0
-20;997.0;1.0;18.0;265.0;-153;15.0;340;-963.0;29.0
-20;1005.0;-3.0;-5.0;263.0;-153;-12.0;343;-965.0;46.0
-20;1004.0;-4.0;31.0;264.0;-153;10.0;339;-958.0;56.0
-20;1004.0;-17.0;-5.0;264.0;-153;31.0;340;-960.0;41.0
-20;1010.0;-25.0;3.0;263.0;-153;6.0;341;-957.0;42.0
-20;1010.0;-11.0;-5.0;262.0;-153;-12.0;342;-959.0;45.0
-20;999.0;5.0;-5.0;265.0;-153;9.0;340;-961.0;48.0
-20;999.0;-12.0;-15.0;265.0;-153;-10.0;348;-962.0;45.0
-20;1010.0;17.0;8.0;264.0;-153;-7.0;350;-961.0;42.0
-20;1000.0;-5.0;-16.0;260.0;-153;-18.0;349;-962.0;37.0
-20;1020.0;-29.0;14.0;265.0;-153;2.0;345;-961.0;22.0
-20;1004.0;31.0;8.0;260.0;-154;-18.0;339;-957.0;49.0
-20;1000.0;9.0;-10.0;258.0;-153;-21.0;343;-959.0;25.0
-20;994.0;1.0;-25.0;259.0;-153;-11.0;345;-964.0;20.0
-20;1014.0;7.0;-14.0;257.0;-154;29.0;349;-968.0;36.0
-20;1008.0;-8.0;-65.0;258.0;-153;4.0;349;-961.0;67.0
-20;1011.0;-14.0;-48.0;257.0;-153;-15.0;345;-961.0;58.0
-20;999.0;3.0;-31.0;257.0;-154;-21.0;341;-964.0;68.0
-20;1000.0;-5.0;-22.0;256.0;-154;-27.0;347;-963.0;20.0
-20;1030.0;-1.0;1.0;257.0;-154;-11.0;346;-964.0;64.0
-20;1009.0;-38.0;-40.0;254.0;-154;-17.0;353;-969.0;42.0
-20;1020.0;-28.0;-14.0;254.0;-154;-10.0;346;-968.0;35.0
-20;1008.0;-24.0;-26.0;255.0;-154;-31.0;338;-959.0;42.0
-20;996.0;13.0;-20.0;254.0;-154;-16.0;351;-964.0;80.0
-20;1003.0;-11.0;-14.0;254.0;-154;-2.0;347;-964.0;46.0
-20;1015.0;-16.0;-31.0;252.0;-154;-23.0;344;-966.0;47.0
-20;1014.0;-3.0;-18.0;252.0;-154;9.0;348;-967.0;34.0
-20;1008.0;1.0;-15.0;254.0;-154;-4.0;348;-965.0;29.0
-20;1009.0;7.0;-15.0;255.0;-154;-8.0;343;-963.0;52.0
-20;1001.0;12.0;4.0;252.0;-154;-5.0;346;-965.0;26.0
-20;1007.0;5.0;13.0;254.0;-153;4.0;344;-965.0;25.0
-20;1010.0;9.0;16.0;255.0;-153;-2.0;342;-965.0;5.0
-20;1020.0;7.0;3.0;252.0;-154;31.0;346;-965.0;4.0
-20;1010.0;8.0;-12.0;252.0;-154;13.0;345;-962.0;3.0
-20;1006.0;10.0;18.0;251.0;-154;13.0;341;-969.0;16.0
-20;979.0;3.0;-1.0;251.0;-154;15.0;342;-969.0;22.0
-20;1008.0;-3.0;3.0;256.0;-154;7.0;344;-962.0;49.0
-20;1017.0;-5.0;3.0;252.0;-154;4.0;349;-962.0;48.0
-20;1013.0;-21.0;-20.0;249.0;-154;6.0;342;-965.0;46.0
-20;1000.0;1.0;-12.0;251.0;-153;-3.0;337;-969.0;64.0
-20;1007.0;16.0;-10.0;255.0;-153;1.0;342;-967.0;56.0
-20;1001.0;-3.0;3.0;248.0;-154;4.0;350;-966.0;59.0
-20;1013.0;-33.0;20.0;252.0;-154;10.0;343;-968.0;58.0
-20;990.0;-13.0;1.0;254.0;-154;18.0;345;-964.0;26.0
-20;1001.0;-13.0;16.0;251.0;-154;18.0;346;-963.0;40.0
-20;1012.0;1.0;-5.0;249.0;-154;10.0;351;-971.0;44.0
-20;1019.0;0.0;3.0;253.0;-154;9.0;342;-967.0;54.0
-20;1006.0;21.0;-12.0;253.0;-154;14.0;341;-963.0;57.0
-20;1016.0;20.0;-14.0;251.0;-154;-6.0;349;-960.0;48.0
-20;997.0;34.0;-7.0;247.0;-154;-7.0;343;-963.0;58.0
-20;1003.0;1.0;-15.0;249.0;-154;17.0;339;-969.0;24.0
-20;1018.0;-5.0;-8.0;249.0;-154;2.0;341;-970.0;13.0
-20;1011.0;19.0;-12.0;251.0;-154;-17.0;345;-966.0;17.0
-20;991.0;14.0;12.0;245.0;-154;14.0;347;-967.0;26.0
-20;1010.0;18.0;3.0;247.0;-153;23.0;344;-965.0;18.0
-20;1009.0;1.0;-16.0;245.0;-153;10.0;343;-966.0;30.0
-20;1012.0;-3.0;-3.0;244.0;-153;6.0;346;-973.0;50.0
-20;1017.0;-43.0;18.0;248.0;-153;18.0;342;-965.0;56.0
-20;1018.0;-27.0;-10.0;248.0;-154;-13.0;347;-965.0;56.0
-20;998.0;-21.0;-7.0;250.0;-153;45.0;347;-961.0;32.0
-20;1010.0;-38.0;-9.0;251.0;-153;-17.0;345;-969.0;90.0
-20;1010.0;-30.0;-18.0;251.0;-153;-13.0;349;-968.0;95.0
-20;1020.0;-25.0;-12.0;249.0;-154;-13.0;345;-963.0;52.0
-20;1021.0;-50.0;-20.0;251.0;-154;-19.0;345;-963.0;56.0
-20;1015.0;-21.0;17.0;257.0;-154;-12.0;344;-963.0;8.0
-20;1012.0;-5.0;10.0;250.0;-153;-7.0;347;-959.0;66.0
-20;1010.0;-25.0;-12.0;250.0;-153;23.0;346;-967.0;34.0
-20;993.0;0.0;-13.0;250.0;-153;26.0;341;-965.0;68.0
-20;1012.0;-1.0;9.0;243.0;-153;-8.0;347;-963.0;30.0
-20;989.0;2.0;14.0;253.0;-153;-13.0;346;-971.0;-12.0
-20;1020.0;3.0;-3.0;252.0;-153;-4.0;343;-969.0;44.0
-20;999.0;-28.0;-16.0;253.0;-153;4.0;345;-963.0;16.0
-20;1008.0;-42.0;-4.0;243.0;-153;-11.0;349;-961.0;50.0
-20;997.0;-38.0;-29.0;254.0;-153;-4.0;346;-965.0;48.0
-20;1014.0;-38.0;-14.0;257.0;-153;-16.0;353;-967.0;64.0
-20;994.0;-70.0;-28.0;250.0;-153;-36.0;345;-957.0;61.0
-20;1016.0;-43.0;-8.0;262.0;-153;-11.0;344;-962.0;95.0
-21;1005.0;-6.0;-36.0;292.0;-145;-5.0;341;-944.0;125.0
-21;1020.0;34.0;-19.0;278.0;-145;-24.0;343;-954.0;61.0
-21;978.0;-74.0;13.0;293.0;-145;56.0;342;-951.0;34.0
-21;992.0;-43.0;-4.0;246.0;-145;41.0;340;-962.0;37.0
-34;889.0;-29.0;12.0;384.0;-75;-44.0;516;-810.0;269.0
-32;710.0;-462.0;-12.0;658.0;64;83.0;1033;-532.0;195.0
-34;886.0;6.0;-5.0;379.0;-75;-74.0;515;-801.0;53.0
-34;898.0;-15.0;4.0;394.0;-75;-36.0;513;-800.0;67.0
-34;883.0;-78.0;-22.0;338.0;-75;68.0;516;-806.0;90.0
-34;885.0;-80.0;0.0;347.0;-75;98.0;523;-792.0;-16.0
-32;823.0;-160.0;251.0;92.0;-23;386.0;886;-649.0;-134.0
-29;846.0;-17.0;11.0;190.0;-71;-4.0;439;-957.0;41.0
-29;914.0;-27.0;12.0;190.0;-71;-2.0;439;-948.0;4.0
-34;768.0;-41.0;22.0;400.0;-79;56.0;541;-740.0;5.0
-34;879.0;-32.0;13.0;330.0;-75;21.0;508;-800.0;83.0
-34;899.0;-66.0;-5.0;348.0;-75;68.0;518;-803.0;16.0
-29;1018.0;-44.0;-30.0;187.0;-71;-5.0;441;-947.0;71.0
-29;1046.0;-44.0;1.0;193.0;-71;6.0;443;-950.0;22.0
-34;944.0;-70.0;29.0;348.0;-75;54.0;510;-795.0;-62.0
-33;912.0;-48.0;-9.0;327.0;-75;-20.0;493;-814.0;101.0
-31;890.0;-299.0;-14.0;293.0;-123;191.0;511;-939.0;-119.0
-20;1122.0;-106.0;-16.0;285.0;8;-28.0;353;-972.0;93.0
-21;1018.0;-11.0;-2.0;246.0;-145;15.0;352;-980.0;78.0
-26;812.0;8.0;-12.0;431.0;-78;7.0;427;-709.0;12.0
-21;1013.0;-32.0;-8.0;257.0;-143;-28.0;349;-976.0;70.0
-21;1019.0;21.0;-30.0;261.0;-143;-22.0;351;-956.0;55.0
-21;1010.0;0.0;-49.0;269.0;-143;-7.0;359;-954.0;39.0
-21;1029.0;0.0;-25.0;278.0;-144;-24.0;344;-954.0;35.0
-21;1003.0;-12.0;-15.0;278.0;-144;-43.0;350;-951.0;32.0
-21;990.0;7.0;-15.0;275.0;-144;13.0;350;-947.0;52.0
-21;1008.0;-16.0;9.0;271.0;-145;9.0;351;-957.0;60.0
-21;988.0;-11.0;-1.0;265.0;-146;-5.0;348;-964.0;46.0
-21;986.0;-3.0;-4.0;261.0;-148;11.0;344;-966.0;74.0
-21;1006.0;-16.0;-15.0;270.0;-149;-26.0;350;-959.0;62.0
-21;1020.0;-19.0;22.0;270.0;-149;-18.0;348;-959.0;102.0
-21;994.0;-12.0;-8.0;267.0;-149;3.0;346;-957.0;73.0
-21;1000.0;-22.0;0.0;273.0;-149;21.0;352;-957.0;11.0
-21;992.0;17.0;13.0;268.0;-149;33.0;351;-955.0;48.0
-21;1006.0;-1.0;13.0;263.0;-149;58.0;359;-970.0;60.0
-37;996.0;-23.0;31.0;316.0;-77;46.0;552;-922.0;12.0
-37;1026.0;-21.0;-19.0;294.0;-77;-27.0;554;-909.0;28.0
-37;1020.0;-10.0;14.0;274.0;-77;63.0;549;-925.0;-15.0
-37;1020.0;-29.0;19.0;313.0;-77;-6.0;546;-917.0;34.0
-37;1019.0;-22.0;30.0;315.0;-77;-31.0;544;-929.0;24.0
-37;1020.0;-21.0;-3.0;311.0;-77;-14.0;543;-922.0;37.0
-37;1020.0;0.0;-2.0;306.0;-78;3.0;546;-913.0;59.0
-38;1017.0;-24.0;-14.0;305.0;-77;2.0;550;-911.0;12.0
-37;1001.0;-4.0;5.0;304.0;-77;-4.0;546;-923.0;34.0
-37;1007.0;-27.0;-9.0;307.0;-77;27.0;546;-920.0;46.0
-37;1022.0;-4.0;-15.0;309.0;-77;-22.0;549;-923.0;47.0
-38;1038.0;-23.0;20.0;309.0;-77;-2.0;547;-920.0;22.0
-38;1022.0;-8.0;-3.0;304.0;-77;29.0;545;-918.0;28.0
-37;1024.0;-10.0;14.0;299.0;-77;26.0;550;-916.0;30.0
-37;1032.0;1.0;-28.0;300.0;-77;-8.0;551;-916.0;38.0
-37;1008.0;-5.0;-19.0;311.0;-77;-1.0;540;-918.0;51.0
-38;1014.0;-11.0;10.0;310.0;-77;8.0;552;-931.0;51.0
-37;1008.0;8.0;21.0;308.0;-77;-8.0;545;-925.0;50.0
-37;1020.0;-17.0;-12.0;308.0;-77;17.0;551;-920.0;24.0
-29;1041.0;-48.0;2.0;185.0;-71;31.0;441;-948.0;10.0
-37;1030.0;-50.0;0.0;310.0;-77;9.0;545;-923.0;24.0
-37;1016.0;-31.0;26.0;310.0;-77;-8.0;552;-915.0;45.0
-37;1013.0;-33.0;-23.0;311.0;-77;-1.0;549;-920.0;30.0
-38;1007.0;-23.0;-20.0;319.0;-77;-6.0;545;-926.0;20.0
-21;1007.0;26.0;37.0;266.0;-149;29.0;348;-962.0;40.0
-21;994.0;-1.0;13.0;266.0;-149;8.0;343;-961.0;30.0
-21;1011.0;14.0;8.0;262.0;-149;11.0;346;-958.0;54.0
-21;993.0;11.0;4.0;263.0;-149;11.0;346;-956.0;45.0
-21;1009.0;8.0;22.0;263.0;-149;0.0;345;-962.0;74.0
-38;978.0;-6.0;-9.0;282.0;-75;1.0;562;-929.0;24.0
-38;966.0;-24.0;13.0;397.0;-75;14.0;556;-867.0;5.0
-38;947.0;-28.0;26.0;397.0;-75;22.0;561;-873.0;28.0
-38;971.0;-35.0;-10.0;399.0;-75;0.0;560;-854.0;5.0
-15;768.0;180.0;-152.0;614.0;-145;64.0;1883;-859.0;-468.0
-35;969.0;-25.0;-17.0;413.0;-75;-5.0;546;-884.0;49.0
-35;941.0;-2.0;15.0;422.0;-75;5.0;547;-863.0;14.0
-35;952.0;-14.0;11.0;426.0;-75;14.0;537;-871.0;36.0
-21;987.0;-34.0;-30.0;261.0;-149;-12.0;353;-963.0;82.0
-21;1008.0;-5.0;14.0;260.0;-149;-4.0;350;-964.0;98.0
-21;1011.0;-24.0;-13.0;248.0;-149;4.0;354;-957.0;78.0
