InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;Accelerometer HIP accY;Accelerometer RUA^ accX;Accelerometer BACK accZ
-934.0;522.0;-245.0;230.0;925.0;985.0;-260.0;-397.0
-960.0;595.0;-187.0;86.0;959.0;995.0;-204.0;-312.0
-961.0;568.0;-150.0;108.0;946.0;1000.0;-377.0;-378.0
-953.0;588.0;-147.0;104.0;969.0;1005.0;-220.0;-276.0
-962.0;612.0;-189.0;99.0;960.0;1015.0;-88.0;-322.0
-984.0;652.0;-187.0;89.0;991.0;1004.0;-263.0;-215.0
-950.0;680.0;-130.0;132.0;950.0;997.0;-302.0;-338.0
-911.0;716.0;-91.0;-47.0;1005.0;1050.0;-237.0;-388.0
-1140.0;734.0;-169.0;259.0;816.0;766.0;-211.0;-216.0
-382.0;-564.0;-184.0;-374.0;623.0;154.0;-525.0;-96.0
-967.0;510.0;-286.0;53.0;932.0;951.0;-414.0;-390.0
-931.0;1047.0;-246.0;53.0;931.0;968.0;-342.0;-349.0
-964.0;516.0;-261.0;68.0;924.0;944.0;-406.0;-404.0
-978.0;568.0;-190.0;51.0;951.0;990.0;-447.0;-359.0
-908.0;542.0;-135.0;97.0;842.0;885.0;-443.0;-336.0
-947.0;647.0;-142.0;125.0;910.0;1009.0;-446.0;-459.0
-925.0;471.0;-249.0;34.0;840.0;899.0;-408.0;-391.0
-906.0;663.0;-333.0;26.0;931.0;1173.0;-442.0;-572.0
-958.0;411.0;-135.0;-181.0;921.0;1011.0;-122.0;-427.0
-957.0;494.0;-186.0;8.0;942.0;995.0;-108.0;-342.0
-940.0;596.0;-229.0;155.0;912.0;986.0;-381.0;-437.0
-968.0;586.0;-209.0;212.0;906.0;1058.0;-380.0;-446.0
-935.0;717.0;-428.0;321.0;923.0;906.0;-388.0;-431.0
-949.0;593.0;-257.0;141.0;914.0;988.0;-333.0;-428.0
-987.0;522.0;-403.0;102.0;885.0;943.0;-344.0;-489.0
-955.0;581.0;-238.0;138.0;891.0;985.0;-323.0;-416.0
-971.0;594.0;-352.0;188.0;848.0;953.0;-411.0;-480.0
-957.0;446.0;-198.0;194.0;916.0;1000.0;-437.0;-473.0
-1027.0;1140.0;-155.0;145.0;756.0;774.0;-394.0;-307.0
-968.0;614.0;-111.0;44.0;943.0;1008.0;-171.0;-378.0
-748.0;309.0;-354.0;483.0;593.0;917.0;-385.0;-731.0
-963.0;494.0;-305.0;28.0;945.0;962.0;-400.0;-348.0
-957.0;628.0;-206.0;226.0;838.0;965.0;-528.0;-555.0
-970.0;522.0;-121.0;67.0;964.0;1007.0;-557.0;-336.0
-953.0;520.0;-235.0;178.0;959.0;997.0;-517.0;-381.0
-987.0;732.0;-275.0;120.0;956.0;974.0;-516.0;-298.0
-947.0;668.0;-57.0;30.0;937.0;1019.0;-377.0;-387.0
-699.0;616.0;-114.0;20.0;733.0;861.0;-187.0;-291.0
-968.0;726.0;-431.0;237.0;924.0;918.0;-582.0;-408.0
-968.0;904.0;-392.0;280.0;797.0;916.0;-646.0;-620.0
-871.0;444.0;-171.0;27.0;1157.0;1187.0;-343.0;-511.0
-964.0;637.0;-216.0;141.0;889.0;1004.0;-498.0;-474.0
-958.0;451.0;-175.0;-90.0;914.0;988.0;-296.0;-399.0
-954.0;737.0;-373.0;263.0;955.0;943.0;-285.0;-367.0
-1176.0;1003.0;-417.0;66.0;965.0;1057.0;-434.0;-578.0
-721.0;657.0;-604.0;674.0;405.0;808.0;-445.0;-900.0
-963.0;669.0;-110.0;-15.0;962.0;1018.0;-323.0;-288.0
-964.0;677.0;-365.0;-34.0;1006.0;1047.0;-299.0;-497.0
-241.0;-65.0;-505.0;861.0;24.0;781.0;-450.0;-887.0
-941.0;515.0;-274.0;40.0;958.0;974.0;-342.0;-320.0
-950.0;495.0;-220.0;74.0;960.0;1166.0;-394.0;-501.0
-1227.0;573.0;-284.0;105.0;962.0;1078.0;-464.0;-549.0
-899.0;623.0;-264.0;186.0;840.0;967.0;-147.0;-508.0
-980.0;593.0;-384.0;146.0;896.0;935.0;-672.0;-507.0
-932.0;495.0;-244.0;151.0;927.0;986.0;-299.0;-353.0
-944.0;598.0;-239.0;145.0;882.0;971.0;-255.0;-467.0
-948.0;669.0;-63.0;-113.0;995.0;1021.0;-264.0;-206.0
-971.0;528.0;-132.0;43.0;969.0;1007.0;-346.0;-312.0
-973.0;671.0;-461.0;242.0;1024.0;948.0;-485.0;-507.0
-1001.0;514.0;-393.0;-2.0;860.0;945.0;-657.0;-546.0
-885.0;603.0;-361.0;301.0;800.0;943.0;-205.0;-597.0
-977.0;621.0;-384.0;147.0;890.0;952.0;-594.0;-523.0
-983.0;548.0;-153.0;57.0;953.0;1025.0;-384.0;-404.0
