InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit RLA magneticZ;Accelerometer HIP accZ;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA magneticZ;Accelerometer RUA_ accX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RLA accY
78.0;-172.0;-249.0;-489.0;214.0;-152;157.0;503.0;-12.0;685.0
-29.0;-387.0;100.0;-659.0;272.0;-161;53.0;-107.0;-15.0;432.0
-437.0;-888.0;175.0;-356.0;56.0;99;20.0;30.0;25.0;366.0
-342.0;-830.0;-244.0;-430.0;103.0;1;-32.0;174.0;46.0;470.0
-105.0;-124.0;69.0;-915.0;-371.0;-98;268.0;640.0;377.0;765.0
-250.0;-534.0;-126.0;-550.0;-119.0;131;7.0;367.0;153.0;848.0
-60.0;-440.0;354.0;-542.0;-4.0;161;-138.0;416.0;151.0;422.0
220.0;-71.0;-133.0;-635.0;-248.0;-152;-177.0;533.0;482.0;736.0
18.0;-293.0;131.0;-551.0;102.0;-123;-195.0;347.0;246.0;617.0
18.0;-296.0;130.0;-697.0;119.0;-123;-180.0;400.0;242.0;650.0
192.0;-191.0;258.0;-657.0;-107.0;-106;-276.0;413.0;368.0;686.0
20.0;-285.0;151.0;-621.0;83.0;-123;-198.0;390.0;250.0;531.0
165.0;6.0;-104.0;-953.0;-577.0;-88;-363.0;650.0;694.0;714.0
251.0;-118.0;107.0;-897.0;-249.0;-94;-428.0;86.0;576.0;503.0
4.0;-296.0;130.0;-816.0;94.0;-123;-217.0;413.0;246.0;651.0
105.0;-571.0;89.0;-234.0;171.0;-90;-30.0;138.0;125.0;268.0
166.0;-554.0;34.0;-277.0;145.0;120;-212.0;267.0;163.0;283.0
76.0;-197.0;-88.0;-942.0;29.0;-103;-164.0;555.0;162.0;735.0
-188.0;-121.0;9.0;-315.0;-311.0;10;-246.0;152.0;309.0;249.0
140.0;-200.0;57.0;-1062.0;138.0;-156;-382.0;640.0;205.0;625.0
20.0;-282.0;134.0;-779.0;78.0;-123;-222.0;390.0;246.0;487.0
6.0;-288.0;152.0;-840.0;163.0;-123;-320.0;410.0;232.0;583.0
218.0;-100.0;-29.0;-902.0;-39.0;-113;-481.0;596.0;367.0;727.0
102.0;-294.0;38.0;-636.0;78.0;-156;-420.0;379.0;254.0;884.0
0.0;-296.0;164.0;-707.0;169.0;-123;-302.0;391.0;224.0;631.0
2.0;-293.0;163.0;-601.0;168.0;-122;-289.0;329.0;224.0;591.0
-30.0;-278.0;-141.0;-697.0;70.0;-105;-395.0;252.0;198.0;656.0
10.0;-267.0;115.0;-609.0;192.0;-113;-333.0;175.0;230.0;499.0
49.0;-192.0;114.0;-369.0;270.0;-113;-307.0;-11.0;203.0;352.0
1.0;-796.0;-19.0;-311.0;425.0;-96;195.0;172.0;-115.0;335.0
-19.0;-745.0;178.0;-561.0;205.0;-131;-79.0;192.0;124.0;397.0
-36.0;-623.0;77.0;-569.0;96.0;20;-240.0;421.0;171.0;538.0
-26.0;-602.0;21.0;-539.0;95.0;89;-221.0;410.0;186.0;527.0
214.0;-111.0;-499.0;-457.0;-99.0;-174;38.0;325.0;259.0;612.0
46.0;-640.0;-19.0;-660.0;49.0;125;-227.0;187.0;208.0;495.0
127.0;-384.0;226.0;-687.0;171.0;-126;-393.0;162.0;470.0;476.0
312.0;-124.0;99.0;-226.0;320.0;-107;-262.0;-91.0;157.0;7.0
3.0;-562.0;1.0;-621.0;79.0;123;-236.0;425.0;199.0;598.0
-260.0;-817.0;-7.0;-627.0;425.0;-87;262.0;322.0;-175.0;482.0
-124.0;-82.0;12.0;-441.0;304.0;-109;-756.0;48.0;-58.0;292.0
-628.0;-522.0;81.0;-403.0;-98.0;-100;-132.0;-2.0;158.0;285.0
-342.0;-493.0;-101.0;-828.0;297.0;-93;175.0;823.0;-73.0;901.0
-554.0;-444.0;210.0;-104.0;31.0;-68;-41.0;-155.0;-16.0;26.0
-173.0;-342.0;171.0;-411.0;343.0;-106;-337.0;380.0;-47.0;923.0
149.0;-169.0;66.0;-640.0;284.0;-108;-189.0;413.0;225.0;457.0
-171.0;-337.0;132.0;-1024.0;367.0;-105;-413.0;612.0;-96.0;879.0
184.0;-199.0;17.0;-663.0;-40.0;-103;-678.0;354.0;264.0;728.0
-200.0;-595.0;-118.0;-999.0;27.0;-106;-34.0;578.0;165.0;842.0
253.0;-101.0;40.0;-752.0;-108.0;-109;-620.0;518.0;195.0;739.0
-413.0;-586.0;-68.0;-705.0;-620.0;11;-526.0;215.0;235.0;352.0
169.0;-68.0;-1.0;-1023.0;-51.0;-102;-711.0;519.0;89.0;732.0
309.0;347.0;-139.0;-652.0;-678.0;0;-707.0;349.0;639.0;465.0
5.0;-269.0;99.0;-608.0;299.0;-107;-184.0;154.0;179.0;649.0
312.0;-67.0;-16.0;-158.0;-88.0;-101;-644.0;-57.0;115.0;70.0
6.0;-515.0;-179.0;20.0;44.0;-92;-117.0;-53.0;217.0;11.0
72.0;-287.0;23.0;-326.0;-249.0;-169;-482.0;37.0;330.0;180.0
2.0;-240.0;-111.0;-1144.0;-146.0;-101;-469.0;801.0;135.0;714.0
-342.0;-611.0;-66.0;-793.0;297.0;165;150.0;446.0;-136.0;645.0
-66.0;-332.0;164.0;-1101.0;339.0;-106;-291.0;465.0;31.0;517.0
165.0;-158.0;54.0;-309.0;279.0;-107;-182.0;232.0;239.0;801.0
214.0;-109.0;78.0;-662.0;309.0;-107;-187.0;426.0;178.0;664.0
19.0;-238.0;65.0;-679.0;296.0;-106;-228.0;198.0;215.0;641.0
-368.0;-190.0;-17.0;-393.0;-112.0;33;-15.0;242.0;42.0;341.0
-15.0;-166.0;93.0;-273.0;-454.0;-58;-575.0;203.0;591.0;286.0
-542.0;-838.0;65.0;-343.0;591.0;42;596.0;169.0;-481.0;345.0
402.0;-96.0;103.0;-412.0;303.0;-109;-251.0;-10.0;225.0;70.0
133.0;-165.0;79.0;-626.0;291.0;-108;-164.0;365.0;211.0;621.0
-34.0;-395.0;92.0;-905.0;343.0;-106;-332.0;558.0;155.0;642.0
18.0;-299.0;114.0;-742.0;349.0;-107;-287.0;190.0;74.0;394.0
-661.0;-1144.0;105.0;-261.0;121.0;96;26.0;-194.0;-57.0;140.0
-284.0;-266.0;51.0;-509.0;-308.0;-58;-250.0;61.0;322.0;691.0
